1b#app#app11#app1173/O  0.404 0.408  0.500 0.513  0.500 0.657  0.492 0.794  0.404 0.849  0.330 0.963  0.296 1.093  0.188 1.179  0.043 1.179  -0.066 1.095  -0.174 1.052  -0.230 0.931  -0.332 0.829  -0.434 0.727  -0.536 0.625  -0.595 0.496  -0.640 0.359  -0.723 0.245  -0.798 0.124  -0.849 -0.009  -0.905 -0.130  -0.945 -0.257  -0.945 -0.402  -0.945 -0.546  -0.945 -0.690  -0.945 -0.834  -0.849 -0.939  -0.747 -1.041  -0.641 -1.133  -0.497 -1.133  -0.353 -1.133  -0.208 -1.133  -0.066 -1.126  0.063 -1.062  0.202 -1.036  0.306 -0.941  0.408 -0.839  0.510 -0.737  0.612 -0.635  0.706 -0.527  0.771 -0.398  0.835 -0.269  0.885 -0.136  0.885 0.008  0.885 0.152  0.885 0.296  0.885 0.441  0.885 0.585  0.794 0.692  0.692 0.794
1b#app#app11#app1173/N  -0.431 0.831  -0.431 0.626  -0.534 0.465  -0.534 0.260  -0.559 0.062  -0.636 -0.124  -0.636 -0.329  -0.650 -0.530  -0.739 -0.713  -0.739 -0.918  -0.739 -1.122  -0.730 -1.116  -0.713 -0.912  -0.696 -0.708  -0.679 -0.505  -0.662 -0.301  -0.645 -0.097  -0.628 0.106  -0.611 0.310  -0.594 0.514  -0.577 0.718  -0.560 0.921  -0.543 1.125  -0.472 1.179  -0.387 1.036  -0.329 0.890  -0.226 0.728  -0.226 0.524  -0.123 0.362  -0.082 0.174  -0.014 -0.003  0.077 -0.186  0.184 -0.287  0.271 -0.471  0.333 -0.652  0.405 -0.826  0.492 -0.995  0.676 -1.016  0.800 -0.935  0.902 -0.773  0.965 -0.584  1.013 -0.392  1.108 -0.227  1.108 -0.023  1.184 0.164  1.224 0.360  1.289 0.554  1.313 0.754  1.370 0.945  1.415 1.139
1b#app#app11#app1173/T  0.128 0.599  0.128 0.453  0.128 0.307  0.128 0.161  0.128 0.015  0.128 -0.132  0.128 -0.278  0.128 -0.424  0.128 -0.570  0.128 -0.716  0.128 -0.862  0.128 -1.008  0.128 -1.154  0.128 -1.300  0.128 -1.446  0.128 -1.592  0.228 -1.604  0.172 -1.469  0.115 -1.334  0.059 -1.199  0.003 -1.064  -0.053 -0.930  -0.109 -0.795  -0.165 -0.660  -0.222 -0.525  -0.278 -0.390  -0.334 -0.255  -0.390 -0.121  -0.446 0.014  -0.503 0.149  -0.559 0.284  -0.615 0.419  -0.671 0.554  -0.727 0.688  -0.783 0.823  -0.776 0.916  -0.630 0.916  -0.484 0.916  -0.337 0.916  -0.191 0.916  -0.045 0.916  0.093 0.951  0.223 1.016  0.368 1.021  0.494 1.070  0.616 1.127  0.763 1.127  0.906 1.140  1.045 1.186  1.184 1.232
1b#app#app11#app1173/H  -0.925 1.518  -0.925 1.284  -0.925 1.050  -0.925 0.816  -0.925 0.583  -0.925 0.349  -0.898 0.118  -0.841 -0.109  -0.796 -0.337  -0.796 -0.571  -0.796 -0.805  -0.796 -1.039  -0.667 -1.220  -0.666 -1.449  -0.578 -1.232  -0.489 -1.016  -0.400 -0.799  -0.312 -0.583  -0.223 -0.366  -0.135 -0.150  -0.046 0.067  0.042 0.283  0.131 0.500  0.220 0.716  0.308 0.933  0.397 1.149  0.485 1.366  0.495 1.180  0.520 0.952  0.624 0.743  0.624 0.509  0.624 0.275  0.624 0.041  0.624 -0.193  0.624 -0.427  0.704 -0.627  0.753 -0.841  0.761 -1.072  0.871 -1.131  0.829 -0.901  0.787 -0.671  0.745 -0.441  0.704 -0.211  0.662 0.019  0.624 0.250  0.496 0.356  0.262 0.356  0.037 0.321  -0.175 0.227  -0.409 0.227
1b#app#app11#app1173/E  0.493 1.181  0.658 1.181  0.679 1.078  0.514 1.078  0.349 1.078  0.184 1.078  0.019 1.078  -0.140 1.063  -0.269 0.974  -0.404 0.903  -0.554 0.863  -0.702 0.790  -0.828 0.686  -0.944 0.569  -0.951 0.407  -0.951 0.242  -0.951 0.077  -0.920 -0.057  -0.848 -0.150  -0.848 -0.315  -0.848 -0.480  -0.848 -0.645  -0.745 -0.707  -0.745 -0.872  -0.642 -0.934  -0.532 -0.993  -0.406 -1.089  -0.241 -1.089  -0.076 -1.089  0.056 -1.010  0.211 -0.986  0.350 -0.923  0.498 -0.883  0.656 -0.853  0.804 -0.780  0.969 -0.780  0.986 -0.656  0.957 -0.494  0.927 -0.332  0.898 -0.169  0.868 -0.007  0.839 0.156  0.809 0.318  0.682 0.339  0.553 0.252  0.388 0.252  0.242 0.207  0.101 0.149  -0.064 0.149  -0.229 0.149
1b#app#app11#app1173/V  -1.145 0.952  -1.145 0.821  -1.020 0.814  -1.008 0.696  -0.928 0.597  -0.870 0.490  -0.828 0.401  -0.732 0.365  -0.732 0.234  -0.709 0.125  -0.594 0.109  -0.594 -0.023  -0.594 -0.154  -0.594 -0.285  -0.466 -0.288  -0.457 -0.410  -0.457 -0.541  -0.379 -0.641  -0.319 -0.747  -0.279 -0.839  -0.181 -0.872  -0.154 -0.976  -0.043 -0.997  -0.029 -1.114  0.100 -1.120  0.193 -1.212  0.232 -1.176  0.232 -1.045  0.232 -0.914  0.272 -0.799  0.365 -0.706  0.370 -0.577  0.370 -0.445  0.449 -0.347  0.508 -0.240  0.508 -0.109  0.508 0.023  0.528 0.146  0.621 0.239  0.689 0.350  0.747 0.467  0.783 0.590  0.783 0.721  0.783 0.853  0.783 0.984  0.783 1.115  0.783 1.247  0.796 1.365  0.921 1.372  0.921 1.503
1b#app#app11#app1173/E  0.592 0.925  0.754 0.925  0.721 0.925  0.560 0.925  0.399 0.925  0.237 0.925  0.076 0.925  -0.086 0.925  -0.247 0.925  -0.408 0.925  -0.570 0.925  -0.731 0.925  -0.779 0.813  -0.922 0.767  -0.989 0.633  -0.876 0.585  -0.876 0.424  -0.876 0.262  -0.876 0.101  -0.876 -0.060  -0.876 -0.222  -0.876 -0.383  -0.875 -0.544  -0.763 -0.659  -0.763 -0.821  -0.692 -0.953  -0.548 -0.995  -0.391 -1.011  -0.247 -1.083  -0.091 -1.108  0.058 -1.077  0.185 -0.995  0.346 -0.995  0.499 -0.974  0.622 -0.882  0.784 -0.882  0.930 -0.868  0.915 -0.707  0.901 -0.546  0.886 -0.386  0.871 -0.225  0.857 -0.064  0.842 0.096  0.827 0.257  0.761 0.361  0.611 0.313  0.465 0.248  0.322 0.203  0.189 0.135  0.027 0.135
1b#app#app11#app1173/L  -0.328 1.758  -0.328 1.663  -0.290 1.606  -0.195 1.606  -0.176 1.529  -0.176 1.434  -0.176 1.339  -0.176 1.244  -0.176 1.149  -0.176 1.054  -0.176 0.959  -0.176 0.864  -0.176 0.769  -0.176 0.674  -0.176 0.578  -0.176 0.483  -0.176 0.388  -0.176 0.293  -0.176 0.198  -0.176 0.103  -0.254 0.085  -0.328 0.065  -0.328 -0.030  -0.328 -0.125  -0.328 -0.220  -0.328 -0.316  -0.328 -0.411  -0.328 -0.506  -0.328 -0.601  -0.328 -0.696  -0.328 -0.791  -0.328 -0.886  -0.326 -0.979  -0.230 -0.979  -0.135 -0.979  -0.040 -0.979  0.055 -0.979  0.144 -0.963  0.211 -0.896  0.278 -0.829  0.372 -0.827  0.467 -0.827  0.562 -0.827  0.658 -0.827  0.751 -0.819  0.836 -0.777  0.921 -0.734  1.006 -0.692  1.097 -0.675  1.192 -0.675
1b#app#app11#app1173/V  -1.108 1.226  -1.108 1.097  -0.979 1.097  -0.978 0.967  -0.849 0.967  -0.849 0.838  -0.849 0.709  -0.849 0.579  -0.720 0.578  -0.719 0.450  -0.629 0.358  -0.590 0.245  -0.537 0.137  -0.460 0.040  -0.446 -0.084  -0.354 -0.175  -0.331 -0.295  -0.263 -0.396  -0.201 -0.500  -0.171 -0.617  -0.080 -0.709  -0.071 -0.835  -0.071 -0.964  0.011 -1.059  0.058 -1.169  0.058 -1.298  0.058 -1.302  0.103 -1.191  0.197 -1.106  0.317 -1.097  0.317 -0.967  0.323 -0.840  0.415 -0.749  0.447 -0.633  0.447 -0.503  0.484 -0.383  0.542 -0.267  0.593 -0.148  0.634 -0.026  0.675 0.097  0.706 0.222  0.706 0.351  0.706 0.480  0.706 0.610  0.706 0.739  0.720 0.865  0.778 0.981  0.835 1.097  0.835 1.226  0.835 1.356
1b#app#app11#app1173/E  1.169 1.067  1.114 0.939  0.932 0.939  0.749 0.939  0.567 0.939  0.385 0.939  0.210 0.906  0.047 0.825  -0.132 0.812  -0.314 0.812  -0.494 0.807  -0.626 0.684  -0.789 0.639  -0.937 0.557  -1.000 0.437  -1.127 0.382  -1.127 0.200  -1.016 0.063  -0.887 -0.066  -0.744 -0.114  -0.683 -0.271  -0.617 -0.426  -0.617 -0.608  -0.617 -0.790  -0.617 -0.972  -0.489 -1.102  -0.360 -1.229  -0.177 -1.229  -0.028 -1.150  0.134 -1.101  0.317 -1.101  0.471 -1.034  0.628 -0.974  0.810 -0.974  0.914 -0.895  0.899 -0.713  0.879 -0.532  0.858 -0.351  0.838 -0.170  0.818 0.011  0.798 0.192  0.714 0.301  0.531 0.301  0.349 0.301  0.167 0.301  -0.015 0.301  -0.198 0.301  -0.380 0.301  -0.562 0.301  -0.744 0.301
1b#app#app11#app1173/T  -0.017 0.761  -0.017 0.603  -0.017 0.445  -0.017 0.287  -0.017 0.129  -0.017 -0.029  -0.017 -0.187  -0.003 -0.342  0.067 -0.483  0.091 -0.636  0.091 -0.794  0.091 -0.952  0.138 -1.102  0.188 -1.252  0.199 -1.409  0.199 -1.567  0.142 -1.505  0.066 -1.367  -0.010 -1.228  -0.086 -1.090  -0.162 -0.951  -0.238 -0.813  -0.315 -0.674  -0.391 -0.536  -0.467 -0.397  -0.543 -0.259  -0.619 -0.120  -0.695 0.018  -0.772 0.157  -0.848 0.295  -0.924 0.434  -0.986 0.516  -0.905 0.438  -0.754 0.455  -0.634 0.546  -0.476 0.546  -0.324 0.561  -0.204 0.654  -0.046 0.654  0.110 0.663  0.251 0.734  0.402 0.761  0.545 0.827  0.686 0.897  0.828 0.968  0.977 1.021  1.127 1.071  1.282 1.084  1.441 1.084  1.599 1.084
