3#apa#apa09#app0945/a  0.232 0.484  0.232 0.643  0.304 0.730  0.464 0.730  0.334 0.730  0.175 0.730  0.016 0.730  -0.143 0.730  -0.302 0.730  -0.462 0.730  -0.621 0.730  -0.780 0.730  -0.939 0.730  -1.069 0.660  -1.182 0.548  -1.245 0.415  -1.245 0.255  -1.245 0.096  -1.245 -0.063  -1.245 -0.222  -1.155 -0.344  -1.043 -0.457  -0.902 -0.501  -0.743 -0.501  -0.583 -0.501  -0.438 -0.455  -0.306 -0.367  -0.173 -0.279  -0.041 -0.190  0.092 -0.102  0.224 -0.014  0.232 0.141  0.276 0.282  0.389 0.395  0.479 0.452  0.479 0.293  0.479 0.133  0.479 -0.026  0.479 -0.185  0.542 -0.318  0.654 -0.430  0.767 -0.543  0.880 -0.656  0.971 -0.777  0.971 -0.936  1.073 -0.993  1.232 -0.993  1.391 -0.993  1.551 -0.993  1.710 -0.993
3#apa#apa09#app0945/q  0.331 1.076  0.331 1.215  0.281 1.304  0.141 1.304  0.007 1.273  -0.125 1.229  -0.253 1.178  -0.352 1.079  -0.430 0.964  -0.507 0.848  -0.584 0.732  -0.584 0.593  -0.584 0.453  -0.517 0.355  -0.392 0.293  -0.268 0.319  -0.143 0.381  -0.041 0.475  0.032 0.592  0.094 0.717  0.102 0.854  0.135 0.961  0.216 0.904  0.216 0.764  0.216 0.625  0.216 0.485  0.216 0.346  0.216 0.207  0.216 0.067  0.216 -0.072  0.193 -0.210  0.170 -0.347  0.147 -0.485  0.124 -0.622  0.102 -0.760  0.102 -0.899  0.102 -1.039  0.102 -1.178  0.102 -1.318  0.102 -1.457  0.084 -1.592  0.022 -1.717  -0.012 -1.722  -0.012 -1.582  -0.012 -1.443  0.010 -1.305  0.033 -1.168  0.056 -1.030  0.079 -0.893  0.102 -0.755
3#apa#apa09#app0945/u  -0.050 0.641  -0.145 0.736  -0.239 0.830  -0.334 0.925  -0.347 1.053  -0.347 1.187  -0.385 1.160  -0.445 1.040  -0.505 0.921  -0.565 0.801  -0.625 0.681  -0.645 0.552  -0.645 0.418  -0.645 0.284  -0.645 0.150  -0.645 0.017  -0.645 -0.117  -0.645 -0.251  -0.645 -0.385  -0.645 -0.519  -0.645 -0.653  -0.645 -0.787  -0.645 -0.920  -0.645 -1.054  -0.601 -1.144  -0.467 -1.144  -0.333 -1.144  -0.199 -1.144  -0.065 -1.144  0.056 -1.091  0.176 -1.031  0.296 -0.971  0.415 -0.911  0.535 -0.851  0.584 -0.730  0.626 -0.603  0.668 -0.476  0.711 -0.349  0.753 -0.222  0.795 -0.095  0.838 0.032  0.842 0.165  0.842 0.299  0.842 0.433  0.842 0.567  0.842 0.701  0.842 0.834  0.842 0.968  0.842 1.102  0.842 1.236
3#apa#apa09#app0945/i  0.078 0.295  0.078 0.422  0.045 0.410  -0.012 0.296  -0.068 0.182  -0.125 0.069  -0.182 -0.045  -0.239 -0.159  -0.296 -0.273  -0.353 -0.387  -0.410 -0.500  -0.464 -0.615  -0.464 -0.742  -0.464 -0.869  -0.464 -0.996  -0.464 -1.124  -0.374 -1.196  -0.261 -1.252  -0.147 -1.309  -0.029 -1.307  0.092 -1.267  0.213 -1.226  0.333 -1.186  0.438 -1.136  0.420 -1.010  0.402 -0.884  0.384 -0.758  0.366 -0.632  0.348 -0.506  0.330 -0.380  0.312 -0.254  0.294 -0.128  0.276 -0.002  0.258 0.124  0.240 0.250  0.222 0.376  0.204 0.502  0.186 0.627  0.168 0.753  0.150 0.879  0.132 1.005  0.114 1.131  0.096 1.257  0.076 1.382  -0.014 1.472  -0.104 1.562  -0.194 1.652  -0.284 1.742  -0.374 1.832  -0.464 1.922
3#apa#apa09#app0945/c  1.194 0.800  1.087 0.800  0.980 0.800  0.873 0.800  0.766 0.800  0.659 0.800  0.552 0.800  0.445 0.800  0.338 0.800  0.231 0.800  0.124 0.800  0.017 0.800  -0.090 0.800  -0.197 0.800  -0.304 0.800  -0.402 0.762  -0.498 0.714  -0.594 0.666  -0.690 0.618  -0.785 0.570  -0.881 0.523  -0.933 0.448  -0.933 0.341  -0.933 0.234  -0.933 0.127  -0.933 0.020  -0.933 -0.087  -0.865 -0.157  -0.776 -0.217  -0.686 -0.276  -0.597 -0.335  -0.508 -0.395  -0.419 -0.454  -0.330 -0.513  -0.241 -0.573  -0.152 -0.632  -0.063 -0.691  0.019 -0.759  0.094 -0.835  0.170 -0.911  0.246 -0.986  0.338 -1.023  0.445 -1.023  0.552 -1.023  0.659 -1.023  0.766 -1.023  0.873 -1.023  0.980 -1.023  1.087 -1.023  1.194 -1.023
3#apa#apa09#app0945/k  -0.327 1.201  -0.450 1.325  -0.497 1.454  -0.602 1.364  -0.644 1.195  -0.687 1.025  -0.706 0.853  -0.706 0.678  -0.706 0.504  -0.706 0.329  -0.706 0.154  -0.706 -0.020  -0.706 -0.195  -0.706 -0.370  -0.706 -0.544  -0.600 -0.675  -0.580 -0.548  -0.580 -0.374  -0.580 -0.199  -0.580 -0.024  -0.518 0.125  -0.395 0.249  -0.261 0.360  -0.116 0.457  0.029 0.554  0.156 0.673  0.280 0.797  0.444 0.822  0.585 0.768  0.663 0.611  0.684 0.442  0.684 0.267  0.615 0.121  0.492 -0.003  0.368 -0.126  0.224 -0.216  0.058 -0.272  -0.043 -0.331  0.114 -0.409  0.251 -0.514  0.387 -0.623  0.532 -0.720  0.677 -0.817  0.706 -0.981  0.803 -1.126  0.900 -1.271  0.937 -1.435  0.967 -1.580  1.064 -1.502  1.190 -1.453
3#apa#apa09#app0945/b  0.273 1.284  0.197 1.398  0.121 1.513  0.044 1.627  -0.061 1.687  -0.178 1.640  -0.268 1.539  -0.302 1.406  -0.335 1.272  -0.368 1.139  -0.402 1.006  -0.446 0.876  -0.489 0.746  -0.533 0.615  -0.534 0.478  -0.534 0.341  -0.534 0.204  -0.534 0.066  -0.534 -0.071  -0.534 -0.208  -0.530 -0.345  -0.496 -0.478  -0.463 -0.612  -0.430 -0.745  -0.391 -0.875  -0.294 -0.972  -0.222 -1.087  -0.160 -1.210  -0.064 -1.248  0.067 -1.204  0.197 -1.161  0.291 -1.081  0.334 -0.951  0.378 -0.821  0.407 -0.688  0.407 -0.551  0.357 -0.463  0.249 -0.416  0.188 -0.293  0.112 -0.195  0.025 -0.216  0.122 -0.313  0.253 -0.329  0.390 -0.329  0.527 -0.329  0.665 -0.329  0.802 -0.329  0.939 -0.329  1.077 -0.329  1.214 -0.329
3#apa#apa09#app0945/r  0.387 -0.085  0.273 -0.085  0.158 -0.085  0.119 -0.161  0.119 -0.275  0.103 -0.386  0.052 -0.488  0.001 -0.591  -0.051 -0.693  -0.102 -0.796  -0.148 -0.899  -0.148 -1.014  -0.148 -1.128  -0.148 -1.243  -0.148 -1.357  -0.182 -1.390  -0.263 -1.309  -0.344 -1.228  -0.416 -1.144  -0.416 -1.029  -0.416 -0.915  -0.416 -0.800  -0.416 -0.686  -0.416 -0.572  -0.416 -0.457  -0.416 -0.343  -0.416 -0.228  -0.416 -0.114  -0.416 0.001  -0.416 0.115  -0.416 0.230  -0.416 0.344  -0.410 0.456  -0.329 0.537  -0.248 0.618  -0.167 0.699  -0.086 0.780  -0.005 0.861  0.076 0.942  0.167 1.009  0.269 1.060  0.371 1.112  0.474 1.163  0.576 1.214  0.679 1.265  0.781 1.316  0.883 1.368  0.986 1.419  1.088 1.470  1.190 1.521
3#apa#apa09#app0945/o  0.197 0.409  0.197 0.572  0.114 0.651  -0.048 0.649  -0.193 0.576  -0.338 0.504  -0.484 0.431  -0.578 0.308  -0.651 0.162  -0.723 0.017  -0.812 -0.117  -0.927 -0.232  -0.997 -0.357  -0.945 -0.511  -0.894 -0.665  -0.843 -0.819  -0.791 -0.973  -0.677 -1.040  -0.515 -1.040  -0.353 -1.040  -0.190 -1.040  -0.028 -1.040  0.135 -1.040  0.297 -1.040  0.459 -1.040  0.622 -1.040  0.727 -0.948  0.799 -0.802  0.872 -0.657  0.958 -0.521  1.073 -0.407  1.148 -0.285  1.076 -0.140  1.003 0.005  0.931 0.150  0.843 0.287  0.752 0.422  0.662 0.557  0.572 0.692  0.482 0.827  0.359 0.919  0.205 0.970  0.051 1.022  -0.103 1.073  -0.257 1.124  -0.404 1.075  -0.549 1.002  -0.695 0.930  -0.769 0.813  -0.769 0.651
3#apa#apa09#app0945/w  -0.989 0.532  -0.989 0.647  -1.021 0.686  -1.103 0.604  -1.175 0.519  -1.175 0.404  -1.175 0.288  -1.175 0.173  -1.175 0.057  -1.175 -0.058  -1.175 -0.174  -1.120 -0.266  -1.039 -0.348  -0.944 -0.397  -0.828 -0.397  -0.722 -0.357  -0.619 -0.305  -0.516 -0.254  -0.432 -0.190  -0.432 -0.075  -0.385 0.021  -0.303 0.103  -0.246 0.126  -0.246 0.011  -0.190 -0.082  -0.108 -0.163  -0.027 -0.245  0.055 -0.326  0.139 -0.404  0.242 -0.456  0.346 -0.507  0.449 -0.559  0.552 -0.556  0.655 -0.504  0.759 -0.453  0.862 -0.401  0.976 -0.397  1.071 -0.364  1.123 -0.261  1.175 -0.158  1.226 -0.055  1.241 0.057  1.241 0.173  1.241 0.288  1.241 0.404  1.241 0.519  1.241 0.634  1.218 0.740  1.137 0.822  1.055 0.904
3#apa#apa09#app0945/n  -0.190 0.563  -0.357 0.563  -0.480 0.520  -0.480 0.353  -0.480 0.186  -0.480 0.020  -0.480 -0.147  -0.480 -0.314  -0.480 -0.480  -0.480 -0.647  -0.480 -0.814  -0.522 -0.970  -0.596 -1.119  -0.671 -1.268  -0.745 -1.417  -0.770 -1.354  -0.770 -1.188  -0.770 -1.021  -0.760 -0.856  -0.707 -0.698  -0.654 -0.540  -0.602 -0.382  -0.549 -0.224  -0.496 -0.066  -0.416 0.079  -0.324 0.218  -0.231 0.356  -0.139 0.495  -0.046 0.634  0.046 0.772  0.100 0.923  0.100 1.090  0.213 1.143  0.380 1.143  0.546 1.143  0.713 1.143  0.880 1.143  0.970 1.066  0.970 0.900  0.970 0.733  0.970 0.566  0.970 0.400  0.970 0.233  0.970 0.066  0.943 -0.096  0.891 -0.254  0.838 -0.412  0.785 -0.570  0.732 -0.728  0.680 -0.887
