3#apa#apa04#app0411/1  0.790 1.478  0.790 1.406  0.790 1.334  0.747 1.280  0.696 1.229  0.645 1.178  0.633 1.111  0.633 1.039  0.603 0.979  0.552 0.928  0.501 0.877  0.450 0.826  0.399 0.775  0.348 0.724  0.321 0.663  0.321 0.591  0.305 0.525  0.254 0.475  0.204 0.424  0.157 0.369  0.125 0.305  0.092 0.240  0.060 0.176  0.028 0.111  -0.004 0.047  -0.036 -0.018  -0.069 -0.082  -0.101 -0.147  -0.133 -0.211  -0.165 -0.276  -0.198 -0.340  -0.230 -0.404  -0.262 -0.469  -0.294 -0.533  -0.340 -0.589  -0.391 -0.639  -0.442 -0.690  -0.460 -0.755  -0.460 -0.827  -0.484 -0.889  -0.535 -0.940  -0.586 -0.991  -0.617 -1.051  -0.617 -1.123  -0.617 -1.195  -0.617 -1.267  -0.620 -1.338  -0.671 -1.389  -0.722 -1.440  -0.773 -1.491
3#apa#apa04#app0411/0  0.308 0.853  0.300 0.699  0.143 0.687  0.028 0.573  -0.086 0.458  -0.201 0.344  -0.315 0.229  -0.430 0.115  -0.544 0.000  -0.659 -0.114  -0.773 -0.229  -0.888 -0.343  -0.924 -0.490  -1.008 -0.617  -1.078 -0.750  -1.078 -0.912  -1.022 -1.051  -0.901 -1.149  -0.739 -1.149  -0.577 -1.149  -0.420 -1.128  -0.275 -1.056  -0.131 -0.983  0.014 -0.911  0.158 -0.837  0.273 -0.723  0.387 -0.608  0.518 -0.533  0.680 -0.533  0.821 -0.482  0.935 -0.368  1.050 -0.253  1.078 -0.103  1.078 0.059  1.078 0.221  1.078 0.383  0.992 0.519  0.903 0.653  0.813 0.788  0.694 0.890  0.549 0.963  0.398 1.007  0.236 1.007  0.074 1.007  -0.088 1.007  -0.222 0.939  -0.348 0.853  -0.496 0.819  -0.610 0.704  -0.770 0.699
3#apa#apa04#app0411/0  0.040 1.037  0.040 0.857  -0.090 0.808  -0.270 0.808  -0.418 0.776  -0.418 0.596  -0.581 0.579  -0.728 0.498  -0.855 0.371  -0.876 0.200  -0.876 0.020  -0.876 -0.160  -0.876 -0.340  -0.876 -0.520  -0.744 -0.567  -0.647 -0.651  -0.613 -0.796  -0.433 -0.796  -0.418 -0.962  -0.302 -1.026  -0.122 -1.026  0.058 -1.026  0.238 -1.026  0.418 -1.026  0.598 -1.026  0.728 -0.976  0.729 -0.796  0.909 -0.796  1.089 -0.796  1.186 -0.714  1.186 -0.534  1.186 -0.354  1.186 -0.174  1.186 0.006  1.128 0.150  0.967 0.230  0.806 0.311  0.662 0.415  0.535 0.543  0.370 0.579  0.213 0.635  0.086 0.762  -0.075 0.808  -0.255 0.808  -0.435 0.808  -0.615 0.808  -0.795 0.808  -0.876 0.710  -0.827 0.579  -0.647 0.579
3#apa#apa04#app0411/%  -0.572 0.962  -0.773 0.962  -0.974 0.962  -1.132 0.857  -1.220 0.734  -1.306 0.568  -1.411 0.410  -1.393 0.228  -1.192 0.228  -0.991 0.228  -0.790 0.228  -0.632 0.333  -0.467 0.369  -0.467 0.570  -0.591 0.648  -0.782 0.637  -0.675 0.543  -0.474 0.543  -0.273 0.543  -0.072 0.543  0.129 0.543  0.162 0.375  0.107 0.228  0.025 0.091  -0.048 -0.080  -0.186 -0.224  -0.357 -0.296  -0.426 -0.465  -0.431 -0.601  -0.237 -0.545  -0.044 -0.490  0.150 -0.435  0.343 -0.380  0.536 -0.324  0.730 -0.269  0.923 -0.214  0.986 -0.296  0.890 -0.401  0.719 -0.474  0.582 -0.557  0.619 -0.735  0.799 -0.821  1.001 -0.821  1.202 -0.821  1.359 -0.716  1.526 -0.681  1.526 -0.480  1.403 -0.401  1.202 -0.401  1.001 -0.401
3#apa#apa04#app0411/o  0.420 0.294  0.248 0.294  0.075 0.294  -0.097 0.294  -0.269 0.294  -0.441 0.294  -0.613 0.294  -0.777 0.286  -0.777 0.114  -0.890 0.055  -1.017 0.009  -1.017 -0.164  -1.168 -0.185  -1.256 -0.269  -1.268 -0.436  -1.389 -0.558  -1.473 -0.664  -1.301 -0.664  -1.129 -0.664  -0.956 -0.664  -0.784 -0.664  -0.612 -0.664  -0.440 -0.664  -0.268 -0.664  -0.096 -0.664  0.077 -0.664  0.180 -0.595  0.182 -0.424  0.354 -0.424  0.526 -0.424  0.687 -0.397  0.808 -0.275  0.943 -0.185  1.115 -0.185  1.138 -0.035  1.220 0.055  1.377 0.070  1.377 0.242  1.377 0.414  1.324 0.533  1.152 0.533  1.026 0.645  0.904 0.767  0.735 0.773  0.562 0.773  0.390 0.773  0.218 0.773  0.046 0.773  -0.126 0.773  -0.298 0.773
3#apa#apa04#app0411/f  1.212 1.554  1.054 1.554  0.896 1.554  0.742 1.537  0.601 1.466  0.465 1.388  0.354 1.276  0.242 1.165  0.103 1.118  0.051 1.013  0.051 0.855  -0.042 0.736  -0.095 0.600  -0.095 0.442  -0.095 0.284  -0.095 0.126  -0.095 -0.032  -0.095 -0.190  -0.095 -0.348  -0.095 -0.506  -0.095 -0.664  -0.095 -0.822  -0.095 -0.980  -0.095 -1.138  -0.095 -1.296  -0.095 -1.454  -0.159 -1.399  -0.247 -1.267  -0.334 -1.136  -0.422 -1.004  -0.510 -0.873  -0.597 -0.741  -0.685 -0.610  -0.772 -0.479  -0.860 -0.347  -0.948 -0.216  -0.841 -0.188  -0.683 -0.188  -0.525 -0.188  -0.385 -0.170  -0.354 -0.043  -0.196 -0.043  -0.039 -0.043  0.119 -0.043  0.277 -0.043  0.435 -0.043  0.593 -0.043  0.751 -0.043  0.909 -0.043  1.067 -0.043
3#apa#apa04#app0411/#  0.345 1.401  0.309 0.994  0.149 0.637  -0.048 0.267  -0.215 -0.085  -0.396 -0.432  -0.418 -0.844  -0.581 -1.198  -0.369 -1.327  -0.171 -0.955  0.028 -0.584  0.226 -0.212  0.424 0.160  0.622 0.532  0.821 0.903  1.019 1.275  1.086 1.122  0.901 0.886  0.762 0.522  0.557 0.157  0.530 -0.258  0.491 -0.621  0.097 -0.470  -0.296 -0.319  -0.689 -0.167  -1.082 -0.016  -1.476 0.135  -1.869 0.286  -1.542 0.104  -1.179 0.247  -0.776 0.290  -0.354 0.290  0.067 0.290  0.488 0.290  0.833 0.475  0.929 0.414  0.536 0.263  0.142 0.112  -0.251 -0.039  -0.644 -0.191  -1.037 -0.342  -1.322 -0.568  -0.969 -0.636  -0.548 -0.636  -0.203 -0.451  0.218 -0.451  0.639 -0.451  0.984 -0.266  1.405 -0.266  1.827 -0.266
3#apa#apa04#app0411/'  0.514 1.592  0.514 1.518  0.514 1.445  0.514 1.371  0.514 1.297  0.513 1.224  0.461 1.172  0.409 1.120  0.357 1.068  0.305 1.016  0.252 0.964  0.200 0.911  0.148 0.859  0.146 0.786  0.146 0.713  0.146 0.639  0.146 0.565  0.146 0.492  0.095 0.439  0.043 0.387  -0.009 0.335  -0.061 0.283  -0.113 0.231  -0.165 0.179  -0.217 0.127  -0.221 0.055  -0.221 -0.019  -0.221 -0.093  -0.221 -0.166  -0.221 -0.240  -0.221 -0.314  -0.221 -0.387  -0.221 -0.461  -0.221 -0.535  -0.221 -0.608  -0.221 -0.682  -0.221 -0.756  -0.221 -0.829  -0.221 -0.903  -0.221 -0.977  -0.221 -1.050  -0.221 -1.124  -0.221 -1.198  -0.221 -1.271  -0.221 -1.345  -0.221 -1.419  -0.221 -1.492  -0.221 -1.566  -0.221 -1.640  -0.221 -1.713
3#apa#apa04#app0411/s  0.971 1.028  0.823 1.028  0.675 1.028  0.528 1.028  0.380 1.028  0.233 1.028  0.085 1.028  -0.063 1.028  -0.210 1.028  -0.358 1.028  -0.477 0.959  -0.581 0.854  -0.706 0.798  -0.853 0.798  -0.867 0.664  -0.867 0.517  -0.867 0.369  -0.750 0.338  -0.603 0.338  -0.455 0.338  -0.337 0.267  -0.232 0.163  -0.107 0.109  0.040 0.109  0.188 0.109  0.336 0.109  0.483 0.109  0.511 -0.011  0.549 -0.121  0.696 -0.121  0.814 -0.194  0.918 -0.298  0.971 -0.424  0.971 -0.572  0.832 -0.580  0.701 -0.621  0.596 -0.725  0.484 -0.810  0.337 -0.810  0.216 -0.876  0.112 -0.980  -0.011 -1.040  -0.159 -1.040  -0.306 -1.040  -0.454 -1.040  -0.602 -1.040  -0.717 -1.119  -0.821 -1.223  -0.949 -1.270  -1.097 -1.270
3#apa#apa04#app0411/  0.815 1.152  0.888 1.152  0.918 1.195  0.909 1.246  0.857 1.194  0.805 1.143  0.754 1.091  0.702 1.039  0.650 0.987  0.608 0.931  0.608 0.858  0.567 0.801  0.516 0.749  0.464 0.697  0.412 0.646  0.360 0.594  0.308 0.542  0.272 0.479  0.239 0.413  0.206 0.348  0.173 0.282  0.140 0.217  0.108 0.151  0.065 0.092  0.014 0.040  -0.029 -0.018  -0.062 -0.084  -0.094 -0.149  -0.127 -0.215  -0.160 -0.281  -0.193 -0.346  -0.229 -0.409  -0.281 -0.461  -0.333 -0.513  -0.385 -0.565  -0.437 -0.617  -0.488 -0.668  -0.536 -0.723  -0.569 -0.789  -0.602 -0.854  -0.637 -0.917  -0.710 -0.917  -0.737 -0.963  -0.748 -1.032  -0.800 -1.084  -0.840 -1.141  -0.840 -1.214  -0.840 -1.287  -0.840 -1.360  -0.840 -1.434
3#apa#apa04#app0411/0  -0.356 0.624  -0.259 0.624  -0.386 0.595  -0.484 0.497  -0.582 0.399  -0.715 0.384  -0.813 0.286  -0.945 0.270  -1.044 0.173  -1.114 0.055  -1.176 -0.069  -1.183 -0.206  -1.183 -0.345  -1.183 -0.484  -1.137 -0.604  -1.028 -0.675  -0.889 -0.675  -0.758 -0.710  -0.634 -0.773  -0.500 -0.793  -0.361 -0.793  -0.223 -0.789  -0.088 -0.756  0.046 -0.722  0.181 -0.688  0.318 -0.675  0.457 -0.675  0.596 -0.675  0.726 -0.655  0.825 -0.557  0.957 -0.543  1.055 -0.444  1.154 -0.346  1.179 -0.218  1.179 -0.079  1.161 0.052  1.063 0.150  1.051 0.285  0.974 0.401  0.897 0.516  0.817 0.628  0.693 0.690  0.589 0.765  0.546 0.861  0.407 0.861  0.293 0.920  0.178 0.979  0.039 0.979  -0.100 0.979  -0.238 0.979
