2#apb#apb22#app2237/a  0.761 0.808  0.784 0.972  0.705 1.116  0.601 1.234  0.448 1.260  0.287 1.216  0.148 1.131  0.016 1.030  -0.110 0.923  -0.220 0.799  -0.331 0.676  -0.442 0.552  -0.543 0.421  -0.633 0.282  -0.724 0.143  -0.815 0.004  -0.901 -0.138  -0.981 -0.283  -1.061 -0.428  -1.141 -0.574  -1.190 -0.732  -1.239 -0.891  -1.170 -1.040  -1.038 -1.086  -0.873 -1.072  -0.732 -0.990  -0.596 -0.895  -0.460 -0.800  -0.327 -0.702  -0.203 -0.591  -0.079 -0.481  0.044 -0.370  0.165 -0.257  0.283 -0.139  0.400 -0.022  0.517 0.095  0.635 0.213  0.752 0.330  0.869 0.447  0.988 0.559  1.007 0.423  0.963 0.264  0.901 0.110  0.840 -0.044  0.777 -0.198  0.706 -0.348  0.635 -0.498  0.564 -0.648  0.526 -0.809  0.489 -0.971
2#apb#apb22#app2237/b  0.224 1.775  0.272 1.880  0.272 1.841  0.267 1.722  0.243 1.606  0.219 1.489  0.188 1.374  0.157 1.259  0.127 1.144  0.099 1.028  0.072 0.913  0.044 0.797  0.016 0.681  -0.018 0.567  -0.056 0.454  -0.093 0.341  -0.131 0.229  -0.169 0.116  -0.206 0.003  -0.248 -0.108  -0.291 -0.220  -0.333 -0.331  -0.375 -0.442  -0.412 -0.555  -0.439 -0.671  -0.466 -0.787  -0.493 -0.903  -0.534 -1.014  -0.577 -1.125  -0.616 -1.237  -0.568 -1.320  -0.464 -1.270  -0.380 -1.186  -0.296 -1.102  -0.209 -1.021  -0.118 -0.944  -0.028 -0.866  0.062 -0.789  0.156 -0.715  0.250 -0.643  0.345 -0.570  0.429 -0.488  0.503 -0.395  0.578 -0.302  0.638 -0.199  0.667 -0.095  0.593 -0.011  0.483 0.036  0.367 0.033  0.248 0.020
2#apb#apb22#app2237/c  1.402 0.907  1.321 0.907  1.241 0.907  1.160 0.907  1.079 0.907  0.999 0.907  0.918 0.907  0.838 0.907  0.757 0.907  0.685 0.878  0.619 0.833  0.553 0.787  0.486 0.741  0.420 0.695  0.354 0.649  0.287 0.603  0.221 0.557  0.156 0.510  0.090 0.463  0.025 0.416  -0.041 0.370  -0.107 0.323  -0.172 0.276  -0.238 0.229  -0.302 0.181  -0.362 0.127  -0.423 0.073  -0.483 0.020  -0.543 -0.034  -0.604 -0.087  -0.639 -0.156  -0.658 -0.234  -0.678 -0.313  -0.697 -0.391  -0.717 -0.469  -0.736 -0.547  -0.714 -0.623  -0.685 -0.698  -0.656 -0.773  -0.628 -0.849  -0.599 -0.924  -0.570 -0.999  -0.527 -1.064  -0.461 -1.109  -0.394 -1.155  -0.328 -1.201  -0.262 -1.247  -0.196 -1.293  -0.129 -1.339  -0.063 -1.385
2#apb#apb22#app2237/d  0.665 1.843  0.662 1.742  0.605 1.657  0.563 1.566  0.545 1.465  0.527 1.364  0.509 1.263  0.487 1.163  0.456 1.066  0.426 0.968  0.395 0.870  0.364 0.772  0.347 0.672  0.339 0.570  0.330 0.468  0.321 0.366  0.312 0.264  0.300 0.162  0.279 0.062  0.258 -0.038  0.237 -0.139  0.217 -0.239  0.196 -0.339  0.175 -0.440  0.154 -0.540  0.132 -0.640  0.111 -0.740  0.090 -0.841  0.056 -0.937  0.021 -1.033  -0.020 -1.126  -0.084 -1.206  -0.176 -1.229  -0.263 -1.183  -0.347 -1.124  -0.422 -1.055  -0.494 -0.982  -0.567 -0.910  -0.622 -0.827  -0.657 -0.730  -0.691 -0.634  -0.726 -0.537  -0.727 -0.435  -0.727 -0.333  -0.707 -0.233  -0.675 -0.136  -0.642 -0.039  -0.584 0.042  -0.511 0.115  -0.439 0.187
2#apb#apb22#app2237/e  -0.735 -0.661  -0.613 -0.600  -0.488 -0.544  -0.359 -0.497  -0.230 -0.451  -0.104 -0.397  0.020 -0.339  0.144 -0.281  0.269 -0.223  0.378 -0.143  0.478 -0.050  0.579 0.043  0.680 0.136  0.777 0.233  0.869 0.334  0.961 0.436  1.054 0.537  1.125 0.653  1.193 0.772  1.176 0.907  1.104 1.003  0.978 1.057  0.846 1.056  0.712 1.027  0.578 0.998  0.447 0.963  0.323 0.905  0.198 0.847  0.074 0.789  -0.042 0.720  -0.139 0.623  -0.236 0.526  -0.333 0.429  -0.430 0.332  -0.510 0.221  -0.588 0.109  -0.666 -0.004  -0.739 -0.119  -0.774 -0.252  -0.809 -0.384  -0.844 -0.517  -0.879 -0.649  -0.886 -0.782  -0.855 -0.916  -0.825 -1.049  -0.778 -1.174  -0.677 -1.267  -0.576 -1.359  -0.476 -1.452  -0.375 -1.545
2#apb#apb22#app2237/f  -0.906 -1.940  -0.865 -1.794  -0.818 -1.651  -0.762 -1.511  -0.710 -1.369  -0.670 -1.224  -0.634 -1.077  -0.590 -0.933  -0.540 -0.791  -0.490 -0.648  -0.446 -0.503  -0.403 -0.359  -0.361 -0.214  -0.328 -0.067  -0.294 0.081  -0.262 0.228  -0.246 0.378  -0.230 0.529  -0.207 0.677  -0.173 0.825  -0.123 0.967  -0.033 1.039  0.105 0.983  0.240 0.918  0.389 0.891  0.538 0.870  0.688 0.852  0.839 0.840  0.990 0.840  1.140 0.834  1.291 0.821  1.205 0.749  1.079 0.667  0.952 0.585  0.825 0.503  0.698 0.421  0.572 0.338  0.445 0.256  0.318 0.174  0.192 0.092  0.065 0.010  -0.062 -0.072  -0.188 -0.154  -0.315 -0.237  -0.442 -0.319  -0.569 -0.401  -0.439 -0.354  -0.298 -0.302  -0.156 -0.249  -0.014 -0.197
2#apb#apb22#app2237/g  0.202 0.792  0.192 0.932  0.157 1.045  0.023 1.039  -0.111 0.995  -0.239 0.937  -0.365 0.874  -0.460 0.770  -0.555 0.666  -0.655 0.566  -0.735 0.451  -0.719 0.311  -0.591 0.264  -0.451 0.245  -0.311 0.239  -0.171 0.257  -0.031 0.275  0.107 0.302  0.241 0.345  0.376 0.387  0.508 0.437  0.639 0.488  0.760 0.555  0.859 0.655  0.929 0.758  0.807 0.806  0.674 0.768  0.551 0.702  0.446 0.611  0.383 0.485  0.320 0.359  0.259 0.231  0.200 0.104  0.154 -0.030  0.114 -0.165  0.074 -0.300  0.041 -0.437  0.008 -0.574  -0.025 -0.711  -0.062 -0.847  -0.100 -0.983  -0.138 -1.119  -0.184 -1.252  -0.241 -1.381  -0.297 -1.511  -0.357 -1.638  -0.428 -1.760  -0.500 -1.881  -0.595 -1.983  -0.700 -2.078
2#apb#apb22#app2237/h  -0.187 1.581  -0.136 1.694  -0.224 1.620  -0.252 1.477  -0.271 1.333  -0.298 1.191  -0.334 1.050  -0.369 0.909  -0.393 0.766  -0.415 0.622  -0.437 0.479  -0.461 0.335  -0.488 0.192  -0.514 0.050  -0.541 -0.093  -0.568 -0.236  -0.595 -0.379  -0.623 -0.521  -0.652 -0.664  -0.682 -0.806  -0.712 -0.948  -0.754 -1.087  -0.796 -1.190  -0.726 -1.063  -0.652 -0.938  -0.572 -0.816  -0.493 -0.695  -0.414 -0.573  -0.319 -0.463  -0.223 -0.353  -0.128 -0.244  -0.032 -0.135  0.082 -0.044  0.195 0.047  0.308 0.138  0.434 0.209  0.564 0.274  0.696 0.334  0.837 0.369  0.970 0.345  1.074 0.257  1.107 0.115  1.118 -0.028  1.109 -0.173  1.086 -0.315  1.035 -0.451  0.983 -0.587  0.934 -0.724  0.888 -0.861  0.842 -0.999
2#apb#apb22#app2237/i  0.360 0.611  0.294 0.522  0.284 0.401  0.283 0.279  0.249 0.161  0.216 0.043  0.182 -0.074  0.143 -0.190  0.087 -0.299  0.028 -0.405  -0.022 -0.517  -0.070 -0.629  -0.104 -0.747  -0.137 -0.865  -0.173 -0.981  -0.231 -1.089  -0.289 -1.197  -0.347 -1.304  -0.402 -1.414  -0.345 -1.465  -0.224 -1.448  -0.203 -1.332  -0.188 -1.211  -0.173 -1.089  -0.159 -0.968  -0.144 -0.846  -0.129 -0.725  -0.114 -0.604  -0.099 -0.482  -0.084 -0.361  -0.069 -0.239  -0.054 -0.118  -0.039 0.003  -0.024 0.125  -0.009 0.246  0.006 0.367  0.021 0.489  0.036 0.610  0.051 0.732  0.066 0.853  0.081 0.974  0.096 1.096  0.111 1.217  0.126 1.339  0.141 1.460  0.156 1.581  0.170 1.703  0.185 1.824  0.200 1.945  0.259 2.017
2#apb#apb22#app2237/j  0.309 0.855  0.366 0.828  0.418 0.710  0.434 0.579  0.444 0.447  0.455 0.316  0.455 0.184  0.450 0.052  0.429 -0.078  0.409 -0.208  0.382 -0.337  0.329 -0.457  0.276 -0.578  0.225 -0.700  0.176 -0.822  0.127 -0.945  0.073 -1.065  0.019 -1.185  -0.074 -1.278  -0.186 -1.336  -0.314 -1.313  -0.438 -1.267  -0.562 -1.222  -0.676 -1.162  -0.764 -1.064  -0.830 -0.963  -0.769 -0.846  -0.709 -0.729  -0.648 -0.612  -0.588 -0.494  -0.528 -0.377  -0.467 -0.260  -0.407 -0.143  -0.346 -0.026  -0.286 0.092  -0.226 0.209  -0.165 0.326  -0.105 0.443  -0.044 0.561  0.016 0.678  0.077 0.795  0.137 0.912  0.197 1.029  0.258 1.147  0.318 1.264  0.379 1.381  0.439 1.498  0.499 1.615  0.558 1.732  0.476 1.815
2#apb#apb22#app2237/k  -0.045 1.326  -0.061 1.495  -0.144 1.324  -0.205 1.139  -0.269 0.954  -0.336 0.771  -0.402 0.587  -0.462 0.401  -0.521 0.215  -0.585 0.030  -0.654 -0.153  -0.724 -0.336  -0.789 -0.519  -0.846 -0.706  -0.903 -0.893  -0.961 -1.080  -1.020 -1.266  -1.005 -1.238  -0.881 -1.088  -0.760 -0.934  -0.641 -0.780  -0.506 -0.639  -0.363 -0.506  -0.231 -0.362  -0.099 -0.218  0.033 -0.073  0.177 0.058  0.321 0.190  0.464 0.323  0.601 0.462  0.734 0.606  0.884 0.730  1.039 0.849  1.200 0.961  1.303 0.997  1.173 0.852  1.042 0.707  0.911 0.561  0.781 0.416  0.650 0.271  0.520 0.125  0.389 -0.020  0.258 -0.165  0.128 -0.311  -0.003 -0.456  -0.081 -0.627  0.024 -0.786  0.141 -0.942  0.279 -1.075  0.447 -1.174
