2#tos#t1#t1041065/!  0.043 1.707  -0.028 1.672  -0.057 1.611  -0.057 1.532  -0.057 1.453  -0.057 1.374  -0.057 1.295  -0.057 1.216  -0.057 1.137  -0.057 1.057  -0.007 1.028  -0.007 0.949  -0.007 0.870  -0.007 0.791  -0.007 0.712  -0.007 0.633  -0.007 0.554  -0.057 0.525  -0.017 0.463  0.008 0.403  0.043 0.358  0.043 0.279  0.043 0.200  0.043 0.121  0.043 0.042  0.043 -0.037  0.043 -0.116  0.043 -0.195  0.043 -0.275  0.043 -0.354  0.043 -0.433  0.043 -0.512  0.043 -0.591  0.043 -0.670  0.043 -0.749  0.043 -0.828  0.043 -0.907  0.043 -0.987  0.043 -1.066  0.043 -1.145  0.004 -1.212  -0.040 -1.278  -0.057 -1.352  -0.030 -1.404  -0.007 -1.348  -0.007 -1.269  -0.007 -1.317  -0.049 -1.354  -0.057 -1.282  -0.057 -1.303
2#tos#t1#t1041065/#  -0.902 0.502  -1.325 0.438  -0.946 0.438  -0.515 0.438  -0.085 0.438  0.336 0.480  0.762 0.502  1.140 0.630  0.941 0.459  0.540 0.300  0.139 0.142  -0.261 -0.016  -0.662 -0.174  -1.063 -0.332  -1.443 -0.488  -1.100 -0.524  -0.669 -0.524  -0.238 -0.524  0.189 -0.502  0.613 -0.460  0.980 -0.395  0.883 -0.140  0.615 0.198  0.348 0.535  0.081 0.873  -0.219 1.143  -0.518 1.276  -0.582 1.029  -0.582 0.598  -0.557 0.171  -0.518 -0.253  -0.518 -0.684  -0.518 -1.115  -0.454 -1.531  -0.256 -1.790  -0.125 -1.379  0.006 -0.969  0.138 -0.559  0.269 -0.149  0.400 0.262  0.532 0.672  0.663 1.082  0.667 1.400  0.572 1.064  0.508 0.643  0.508 0.212  0.508 -0.218  0.508 -0.649  0.572 -1.065  0.636 -1.485
2#tos#t1#t1041065/$  0.672 0.527  0.570 0.604  0.315 0.629  0.238 0.833  0.008 0.884  -0.272 0.884  -0.501 0.803  -0.638 0.629  -0.654 0.364  -0.527 0.196  -0.351 0.017  -0.070 0.017  0.211 0.017  0.441 -0.034  0.568 -0.187  0.726 -0.340  0.825 -0.521  0.825 -0.802  0.746 -1.003  0.621 -1.159  0.451 -1.309  0.171 -1.309  -0.110 -1.309  -0.340 -1.258  -0.515 -1.135  -0.654 -0.969  -0.579 -0.699  -0.499 -0.430  -0.420 -0.161  -0.340 0.108  -0.260 0.378  -0.180 0.647  -0.101 0.916  -0.021 1.185  0.059 1.454  0.139 1.723  0.009 1.757  0.009 1.477  0.009 1.196  0.009 0.915  0.009 0.635  -0.011 0.374  -0.042 0.124  -0.042 -0.156  -0.088 -0.391  -0.093 -0.667  -0.093 -0.947  -0.093 -1.228  -0.093 -1.509  -0.042 -1.768
2#tos#t1#t1041065/%  -0.409 0.985  -0.643 0.943  -0.892 0.872  -1.048 0.705  -1.016 0.442  -0.779 0.346  -0.588 0.261  -0.396 0.346  -0.211 0.469  -0.239 0.692  -0.409 0.823  -0.609 0.900  -0.835 0.850  -0.680 0.748  -0.405 0.780  -0.131 0.811  0.144 0.843  0.418 0.875  0.693 0.907  0.968 0.939  0.775 0.857  0.587 0.704  0.463 0.484  0.336 0.261  0.230 0.024  0.101 -0.133  -0.106 -0.286  -0.313 -0.436  -0.439 -0.658  -0.664 -0.814  -0.774 -1.041  -0.920 -1.242  -0.959 -1.414  -0.725 -1.266  -0.491 -1.119  -0.258 -0.971  -0.024 -0.824  0.210 -0.677  0.444 -0.529  0.678 -0.382  0.912 -0.234  0.770 -0.250  0.656 -0.413  0.613 -0.671  0.757 -0.804  1.034 -0.804  1.210 -0.679  1.209 -0.463  1.017 -0.378  0.741 -0.378
2#tos#t1#t1041065/&  1.399 -0.928  1.295 -1.041  1.120 -1.083  0.978 -0.975  0.809 -0.858  0.630 -0.758  0.464 -0.675  0.308 -0.570  0.168 -0.436  0.049 -0.283  -0.055 -0.130  -0.159 -0.016  -0.259 0.159  -0.314 0.354  -0.470 0.459  -0.470 0.676  -0.472 0.893  -0.522 1.098  -0.522 1.315  -0.389 1.460  -0.193 1.512  0.024 1.512  0.207 1.408  0.412 1.396  0.412 1.179  0.412 0.962  0.332 0.785  0.200 0.630  0.047 0.526  -0.065 0.417  -0.254 0.327  -0.342 0.162  -0.522 0.126  -0.626 0.012  -0.734 -0.097  -0.834 -0.215  -0.901 -0.390  -0.989 -0.533  -0.959 -0.720  -0.836 -0.873  -0.641 -0.928  -0.424 -0.928  -0.207 -0.928  -0.003 -0.914  0.116 -0.790  0.308 -0.721  0.439 -0.614  0.568 -0.476  0.637 -0.288  0.828 -0.201
2#tos#t1#t1041065/*  0.808 0.733  0.570 0.622  0.425 0.436  0.233 0.306  0.078 0.081  -0.214 -0.036  -0.396 -0.220  -0.572 -0.392  -0.826 -0.582  -0.980 -0.814  -1.008 -0.788  -0.927 -0.477  -0.847 -0.165  -0.767 0.146  -0.686 0.457  -0.606 0.768  -0.561 1.052  -0.852 1.022  -0.766 0.733  -0.597 0.532  -0.338 0.414  -0.229 0.173  -0.082 -0.101  0.111 -0.335  0.358 -0.508  0.612 -0.669  0.808 -0.909  1.058 -1.055  1.255 -1.217  1.412 -1.245  1.264 -0.960  1.115 -0.676  0.966 -0.391  0.817 -0.106  0.668 0.179  0.519 0.464  0.370 0.748  0.222 1.033  0.073 1.318  -0.139 1.499  -0.277 1.316  -0.277 0.995  -0.277 0.673  -0.277 0.352  -0.277 0.031  -0.277 -0.291  -0.236 -0.605  -0.150 -0.859  -0.150 -1.180  -0.150 -1.502
2#tos#t1#t1041065/  0.751 1.480  0.693 1.456  0.693 1.374  0.622 1.362  0.575 1.327  0.575 1.245  0.517 1.187  0.517 1.105  0.517 1.023  0.447 1.011  0.399 0.976  0.399 0.894  0.374 0.816  0.348 0.738  0.298 0.675  0.240 0.617  0.197 0.548  0.165 0.474  0.165 0.391  0.165 0.309  0.165 0.227  0.165 0.145  0.098 0.127  0.024 0.090  -0.011 0.030  -0.011 -0.052  -0.011 -0.134  -0.049 -0.201  -0.070 -0.274  -0.129 -0.298  -0.170 -0.338  -0.246 -0.344  -0.246 -0.427  -0.246 -0.509  -0.280 -0.583  -0.305 -0.659  -0.305 -0.741  -0.338 -0.815  -0.388 -0.866  -0.456 -0.901  -0.480 -0.973  -0.480 -1.055  -0.480 -1.137  -0.539 -1.160  -0.563 -1.218  -0.598 -1.266  -0.607 -1.344  -0.668 -1.394  -0.715 -1.429  -0.715 -1.511
2#tos#t1#t1041065/:  0.264 1.664  0.210 1.610  0.152 1.565  0.076 1.565  0.066 1.498  0.066 1.422  0.066 1.345  0.066 1.268  0.066 1.192  0.066 1.115  0.066 1.039  0.066 0.962  0.066 0.886  0.066 0.809  0.066 0.733  0.066 0.656  0.066 0.580  0.066 0.503  0.066 0.426  0.066 0.350  0.066 0.273  0.066 0.197  0.066 0.120  0.066 0.044  0.066 -0.033  0.066 -0.109  0.066 -0.186  0.066 -0.262  0.066 -0.339  0.066 -0.416  0.066 -0.492  0.066 -0.569  0.066 -0.645  0.066 -0.722  0.066 -0.798  0.066 -0.875  0.028 -0.914  -0.033 -0.929  -0.033 -1.005  -0.102 -1.013  -0.179 -1.013  -0.232 -1.037  -0.232 -1.113  -0.232 -1.190  -0.270 -1.250  -0.325 -1.304  -0.331 -1.378  -0.286 -1.410  -0.254 -1.410  -0.331 -1.410
2#tos#t1#t1041065/;  -0.098 1.689  -0.187 1.689  -0.245 1.659  -0.245 1.570  -0.245 1.482  -0.241 1.397  -0.153 1.397  -0.094 1.363  -0.082 1.275  -0.070 1.187  -0.059 1.100  -0.047 1.012  -0.035 0.924  -0.024 0.837  -0.012 0.749  -0.000 0.661  0.011 0.573  0.023 0.486  0.035 0.398  0.046 0.310  0.058 0.223  0.070 0.135  0.082 0.047  0.093 -0.041  0.105 -0.128  0.117 -0.216  0.128 -0.304  0.140 -0.391  0.152 -0.479  0.163 -0.567  0.175 -0.654  0.187 -0.742  0.194 -0.830  0.147 -0.871  0.121 -0.934  0.116 -1.018  0.028 -1.018  -0.025 -0.982  -0.025 -0.894  -0.025 -0.805  0.048 -0.806  0.048 -0.895  0.048 -0.983  0.048 -1.072  0.048 -1.160  -0.025 -1.176  -0.025 -1.264  -0.068 -1.310  -0.156 -1.310  -0.245 -1.310
2#tos#t1#t1041065/<  0.859 1.440  0.766 1.393  0.727 1.313  0.628 1.308  0.525 1.304  0.451 1.230  0.396 1.149  0.396 1.044  0.293 1.043  0.195 1.034  0.162 0.935  0.127 0.837  0.069 0.750  0.011 0.664  -0.084 0.646  -0.172 0.607  -0.246 0.533  -0.320 0.459  -0.394 0.385  -0.466 0.311  -0.513 0.217  -0.530 0.117  -0.634 0.117  -0.672 0.051  -0.777 0.051  -0.774 -0.016  -0.670 -0.016  -0.662 -0.112  -0.597 -0.170  -0.498 -0.203  -0.464 -0.283  -0.428 -0.365  -0.334 -0.411  -0.275 -0.497  -0.217 -0.584  -0.194 -0.679  -0.093 -0.704  0.009 -0.729  0.065 -0.789  0.078 -0.888  0.159 -0.951  0.258 -0.984  0.343 -1.033  0.389 -1.127  0.396 -1.229  0.457 -1.273  0.507 -1.362  0.529 -1.461  0.557 -1.537  0.661 -1.537
2#tos#t1#t1041065/=  -0.780 0.902  -0.869 0.822  -1.008 0.809  -0.866 0.742  -0.697 0.742  -0.528 0.742  -0.358 0.742  -0.189 0.742  -0.020 0.742  0.150 0.742  0.312 0.699  0.476 0.662  0.645 0.662  0.814 0.662  0.904 0.742  1.073 0.742  1.208 0.733  1.060 0.651  0.911 0.570  0.763 0.488  0.615 0.406  0.467 0.324  0.318 0.242  0.170 0.160  0.022 0.079  -0.127 -0.003  -0.275 -0.085  -0.423 -0.167  -0.572 -0.249  -0.720 -0.331  -0.868 -0.412  -1.017 -0.494  -1.153 -0.592  -1.261 -0.717  -1.156 -0.781  -0.987 -0.781  -0.818 -0.781  -0.648 -0.781  -0.479 -0.781  -0.309 -0.781  -0.140 -0.781  0.029 -0.781  0.199 -0.781  0.368 -0.781  0.537 -0.781  0.707 -0.781  0.876 -0.781  1.046 -0.781  1.215 -0.781  1.384 -0.781
2#tos#t1#t1041065/@  0.326 -1.332  0.218 -1.489  0.066 -1.601  -0.198 -1.601  -0.398 -1.521  -0.570 -1.350  -0.665 -1.171  -0.747 -0.958  -0.782 -0.708  -0.811 -0.455  -0.856 -0.201  -0.856 0.063  -0.856 0.328  -0.814 0.549  -0.737 0.775  -0.652 1.012  -0.445 1.140  -0.288 1.248  -0.154 1.409  0.088 1.463  0.272 1.382  0.348 1.194  0.465 1.022  0.541 0.817  0.595 0.606  0.648 0.396  0.595 0.185  0.648 -0.025  0.648 -0.289  0.595 -0.500  0.595 -0.395  0.595 -0.131  0.590 0.133  0.502 0.373  0.433 0.577  0.302 0.710  0.091 0.764  -0.153 0.715  -0.265 0.561  -0.319 0.309  -0.319 0.045  -0.319 -0.220  -0.311 -0.480  -0.226 -0.687  0.025 -0.741  0.272 -0.724  0.392 -0.580  0.541 -0.432  0.648 -0.199  0.702 0.012
2#tos#t1#t1041065/[  0.120 0.957  0.018 0.957  -0.078 0.950  -0.018 0.908  0.085 0.908  0.187 0.908  0.290 0.908  0.392 0.908  0.495 0.908  0.588 0.885  0.554 0.879  0.457 0.911  0.360 0.943  0.263 0.976  0.165 1.008  0.068 1.041  -0.031 1.054  -0.114 1.007  -0.167 0.957  -0.177 0.865  -0.177 0.762  -0.177 0.660  -0.177 0.557  -0.177 0.455  -0.177 0.352  -0.177 0.250  -0.177 0.148  -0.177 0.045  -0.177 -0.057  -0.177 -0.160  -0.177 -0.262  -0.177 -0.365  -0.177 -0.467  -0.177 -0.570  -0.177 -0.672  -0.177 -0.774  -0.177 -0.877  -0.177 -0.979  -0.177 -1.082  -0.191 -1.170  -0.226 -1.237  -0.226 -1.340  -0.226 -1.442  -0.198 -1.516  -0.095 -1.516  0.007 -1.516  0.110 -1.516  0.212 -1.516  0.315 -1.516  0.417 -1.516
2#tos#t1#t1041065/]  -0.515 1.061  -0.606 1.061  -0.697 1.061  -0.638 1.061  -0.547 1.061  -0.455 1.061  -0.364 1.061  -0.273 1.061  -0.185 1.077  -0.102 1.110  -0.011 1.110  0.081 1.110  0.151 1.061  0.243 1.061  0.230 1.056  0.230 0.965  0.230 0.873  0.230 0.782  0.197 0.698  0.180 0.611  0.180 0.520  0.180 0.429  0.180 0.337  0.180 0.246  0.180 0.155  0.180 0.063  0.180 -0.028  0.180 -0.119  0.216 -0.202  0.230 -0.290  0.230 -0.381  0.230 -0.473  0.230 -0.564  0.230 -0.655  0.230 -0.747  0.230 -0.838  0.230 -0.929  0.230 -1.020  0.230 -1.112  0.230 -1.203  0.230 -1.294  0.166 -1.322  0.075 -1.322  -0.017 -1.322  -0.108 -1.322  -0.199 -1.322  -0.291 -1.322  -0.382 -1.322  -0.473 -1.322  -0.564 -1.322
2#tos#t1#t1041065/}  -0.154 1.577  -0.194 1.527  -0.133 1.498  -0.051 1.466  0.004 1.425  0.004 1.336  0.004 1.246  -0.023 1.183  -0.073 1.143  -0.075 1.056  -0.075 0.966  -0.075 0.877  -0.077 0.789  -0.115 0.737  -0.115 0.647  -0.115 0.558  -0.077 0.477  -0.069 0.394  -0.036 0.338  0.031 0.315  0.121 0.315  0.132 0.236  0.219 0.246  0.257 0.276  0.177 0.253  0.122 0.186  0.082 0.113  0.082 0.023  0.082 -0.066  0.082 -0.156  0.076 -0.243  0.043 -0.319  0.043 -0.409  0.043 -0.498  0.043 -0.588  0.043 -0.677  0.037 -0.766  0.009 -0.851  0.004 -0.940  0.004 -1.029  0.004 -1.119  0.004 -1.209  0.004 -1.298  0.004 -1.388  0.004 -1.478  0.043 -1.528  0.015 -1.606  -0.054 -1.656  -0.115 -1.685  -0.194 -1.696
2#tos#t1#t1041065/~  -1.177 -0.103  -1.205 -0.175  -1.304 -0.175  -1.379 -0.175  -1.320 -0.134  -1.320 -0.034  -1.294 0.040  -1.224 0.088  -1.180 0.177  -1.105 0.204  -1.071 0.289  -1.000 0.360  -0.916 0.398  -0.817 0.398  -0.717 0.398  -0.650 0.450  -0.605 0.539  -0.507 0.541  -0.407 0.541  -0.308 0.541  -0.220 0.513  -0.138 0.469  -0.104 0.404  -0.011 0.398  0.039 0.348  0.044 0.250  0.111 0.178  0.111 0.078  0.111 -0.021  0.200 -0.032  0.299 -0.032  0.327 -0.105  0.397 -0.175  0.467 -0.245  0.555 -0.269  0.610 -0.351  0.665 -0.434  0.751 -0.461  0.850 -0.461  0.897 -0.513  0.978 -0.532  1.077 -0.532  1.177 -0.532  1.249 -0.466  1.320 -0.396  1.390 -0.325  1.460 -0.255  1.556 -0.246  1.656 -0.246  1.684 -0.175
2#tos#t1#t1041065/1  -0.011 1.454  0.002 1.511  0.046 1.538  0.046 1.529  0.046 1.458  0.046 1.386  0.046 1.315  0.046 1.244  0.046 1.173  0.046 1.102  0.046 1.031  0.046 0.960  0.046 0.889  0.046 0.818  0.046 0.747  0.046 0.676  0.046 0.605  0.046 0.533  0.046 0.462  0.046 0.391  0.046 0.320  0.046 0.249  0.046 0.178  0.046 0.107  0.046 0.036  0.046 -0.035  0.046 -0.106  0.046 -0.177  0.046 -0.248  0.027 -0.315  -0.005 -0.379  -0.011 -0.448  -0.033 -0.516  -0.056 -0.583  -0.069 -0.652  -0.069 -0.723  -0.069 -0.794  -0.069 -0.865  -0.069 -0.936  -0.069 -1.007  -0.069 -1.079  -0.069 -1.150  -0.069 -1.221  -0.069 -1.292  -0.069 -1.363  -0.069 -1.434  -0.069 -1.505  -0.069 -1.576  -0.069 -1.647  -0.127 -1.661
2#tos#t1#t1041065/2  -0.251 0.921  -0.334 0.865  -0.473 0.865  -0.479 0.997  -0.479 1.136  -0.430 1.255  -0.294 1.262  -0.178 1.319  -0.039 1.319  0.097 1.312  0.215 1.262  0.317 1.225  0.355 1.093  0.450 1.025  0.544 0.945  0.571 0.812  0.615 0.694  0.658 0.598  0.629 0.466  0.567 0.342  0.544 0.208  0.443 0.132  0.342 0.037  0.284 -0.078  0.181 -0.170  0.090 -0.252  -0.026 -0.277  -0.093 -0.398  -0.213 -0.443  -0.307 -0.527  -0.400 -0.613  -0.482 -0.672  -0.593 -0.742  -0.690 -0.784  -0.810 -0.830  -0.877 -0.942  -0.864 -0.955  -0.726 -0.955  -0.587 -0.955  -0.448 -0.955  -0.309 -0.955  -0.170 -0.955  -0.031 -0.955  0.108 -0.955  0.247 -0.955  0.386 -0.955  0.525 -0.955  0.664 -0.955  0.803 -0.955  0.942 -0.955
2#tos#t1#t1041065/4  -0.351 1.262  -0.528 1.227  -0.574 1.042  -0.724 0.924  -0.727 0.726  -0.831 0.570  -0.895 0.398  -0.952 0.220  -0.995 0.034  -1.045 -0.114  -1.151 -0.206  -1.205 -0.352  -1.046 -0.392  -0.848 -0.392  -0.649 -0.392  -0.504 -0.446  -0.318 -0.478  -0.128 -0.499  0.012 -0.574  0.203 -0.606  0.402 -0.606  0.601 -0.606  0.800 -0.606  0.884 -0.484  0.896 -0.286  0.909 -0.087  0.921 0.111  0.933 0.309  0.946 0.508  0.958 0.706  0.971 0.905  0.983 1.103  0.836 1.155  0.798 0.995  0.706 0.888  0.609 0.786  0.556 0.599  0.463 0.429  0.396 0.247  0.292 0.091  0.207 -0.081  0.095 -0.223  0.066 -0.407  -0.038 -0.575  -0.129 -0.742  -0.244 -0.879  -0.244 -1.078  -0.403 -1.192  -0.458 -1.367  -0.458 -1.566
2#tos#t1#t1041065/7  0.068 0.900  -0.075 0.900  -0.190 0.834  -0.268 0.752  -0.356 0.664  -0.477 0.612  -0.507 0.500  -0.518 0.362  -0.589 0.294  -0.498 0.403  -0.407 0.512  -0.316 0.622  -0.225 0.731  -0.134 0.840  -0.251 0.852  -0.238 0.852  -0.095 0.852  -0.001 0.804  0.141 0.804  0.284 0.804  0.426 0.804  0.568 0.804  0.691 0.756  0.738 0.661  0.880 0.660  0.766 0.621  0.738 0.485  0.649 0.379  0.594 0.288  0.502 0.184  0.435 0.069  0.402 -0.058  0.355 -0.154  0.271 -0.244  0.239 -0.377  0.190 -0.504  0.071 -0.583  0.068 -0.723  -0.012 -0.817  -0.124 -0.890  -0.138 -1.023  -0.256 -1.100  -0.316 -1.218  -0.316 -1.360  -0.316 -1.502  -0.411 -1.575  -0.459 -1.683  -0.459 -1.825  -0.522 -1.942  -0.603 -2.022
2#tos#t1#t1041065/8  0.866 0.664  0.866 0.476  0.928 0.480  0.928 0.668  0.813 0.785  0.652 0.879  0.554 0.990  0.477 1.100  0.366 1.226  0.188 1.285  -0.000 1.287  -0.188 1.287  -0.361 1.350  -0.504 1.304  -0.504 1.116  -0.442 0.954  -0.426 0.773  -0.293 0.640  -0.195 0.482  -0.111 0.314  -0.068 0.136  0.088 0.104  0.181 0.009  0.249 -0.151  0.338 -0.302  0.368 -0.478  0.368 -0.666  0.430 -0.828  0.430 -1.016  0.331 -1.142  0.181 -1.180  0.022 -1.236  -0.161 -1.267  -0.349 -1.267  -0.527 -1.244  -0.699 -1.204  -0.816 -1.096  -0.940 -0.985  -1.003 -0.860  -1.003 -0.672  -0.859 -0.589  -0.692 -0.519  -0.510 -0.474  -0.348 -0.386  -0.197 -0.273  -0.039 -0.193  0.129 -0.109  0.311 -0.083  0.497 -0.066  0.679 -0.021
