1c#app#app31#app3196/p  0.210 1.310  0.126 1.430  0.042 1.551  -0.031 1.419  -0.031 1.215  -0.031 1.010  -0.031 0.806  -0.031 0.601  -0.031 0.397  -0.031 0.192  -0.031 -0.012  -0.031 -0.217  -0.031 -0.421  -0.031 -0.626  -0.031 -0.830  -0.031 -1.035  -0.031 -1.239  -0.031 -1.444  -0.078 -1.629  -0.151 -1.803  -0.197 -1.896  -0.271 -1.723  -0.271 -1.518  -0.375 -1.357  -0.392 -1.159  -0.392 -0.954  -0.392 -0.750  -0.392 -0.545  -0.343 -0.349  -0.278 -0.155  -0.271 0.049  -0.252 0.245  -0.124 0.401  -0.032 0.584  0.090 0.668  0.206 0.824  0.331 0.977  0.443 1.069  0.598 1.189  0.692 1.079  0.692 0.875  0.581 0.716  0.521 0.537  0.377 0.392  0.268 0.221  0.157 0.052  -0.019 -0.015  -0.103 -0.136  -0.271 -0.099  -0.271 0.105
1c#app#app31#app3196/r  0.319 -0.120  0.191 -0.120  0.086 -0.143  0.086 -0.270  0.086 -0.398  0.086 -0.525  0.020 -0.587  -0.108 -0.587  -0.147 -0.675  -0.147 -0.803  -0.147 -0.930  -0.147 -1.058  -0.147 -1.186  -0.166 -1.305  -0.257 -1.395  -0.347 -1.486  -0.380 -1.438  -0.380 -1.311  -0.380 -1.183  -0.380 -1.055  -0.380 -0.928  -0.380 -0.800  -0.380 -0.673  -0.380 -0.545  -0.380 -0.417  -0.335 -0.308  -0.245 -0.218  -0.155 -0.128  -0.147 -0.003  -0.147 0.124  -0.147 0.252  -0.147 0.379  -0.147 0.507  -0.091 0.579  0.036 0.579  0.086 0.657  0.086 0.784  0.086 0.912  0.086 1.040  0.208 1.045  0.319 1.062  0.319 1.189  0.319 1.317  0.319 1.445  0.380 1.511  0.508 1.511  0.635 1.511  0.763 1.511  0.785 1.406  0.785 1.278
1c#app#app31#app3196/e  -0.409 0.365  -0.409 0.207  -0.281 0.178  -0.293 0.248  -0.404 0.359  -0.409 0.514  -0.289 0.551  -0.132 0.551  0.026 0.551  0.183 0.551  0.340 0.553  0.451 0.665  0.578 0.738  0.711 0.762  0.711 0.920  0.604 1.033  0.479 1.112  0.321 1.112  0.164 1.112  0.006 1.112  -0.117 1.030  -0.229 0.919  -0.340 0.808  -0.451 0.696  -0.563 0.585  -0.631 0.447  -0.681 0.298  -0.731 0.148  -0.780 -0.001  -0.783 -0.158  -0.783 -0.315  -0.783 -0.473  -0.783 -0.630  -0.761 -0.779  -0.649 -0.890  -0.514 -0.943  -0.372 -0.980  -0.261 -1.092  -0.119 -1.130  0.039 -1.130  0.196 -1.130  0.354 -1.130  0.511 -1.130  0.626 -1.028  0.749 -0.943  0.906 -0.943  1.063 -0.943  1.181 -0.847  1.301 -0.756  1.458 -0.756
1c#app#app31#app3196/s  0.614 1.193  0.518 1.289  0.422 1.385  0.297 1.413  0.161 1.413  0.025 1.413  -0.111 1.413  -0.247 1.413  -0.266 1.295  -0.289 1.169  -0.385 1.073  -0.482 0.977  -0.578 0.881  -0.674 0.784  -0.705 0.661  -0.705 0.525  -0.705 0.389  -0.705 0.253  -0.705 0.117  -0.626 0.014  -0.530 -0.082  -0.485 -0.200  -0.485 -0.336  -0.360 -0.346  -0.224 -0.346  -0.088 -0.346  0.020 -0.412  0.116 -0.509  0.229 -0.566  0.365 -0.566  0.501 -0.566  0.637 -0.566  0.773 -0.566  0.909 -0.566  1.045 -0.566  0.927 -0.566  0.791 -0.566  0.655 -0.566  0.614 -0.661  0.603 -0.786  0.467 -0.786  0.331 -0.786  0.195 -0.786  0.071 -0.838  -0.051 -0.899  -0.172 -0.959  -0.297 -1.006  -0.433 -1.006  -0.485 -1.090  -0.485 -1.226
1c#app#app31#app3196/s  0.591 1.183  0.519 1.255  0.447 1.327  0.373 1.391  0.271 1.391  0.170 1.391  0.068 1.391  -0.033 1.391  -0.033 1.290  -0.033 1.188  -0.102 1.115  -0.173 1.043  -0.245 0.971  -0.317 0.900  -0.389 0.828  -0.450 0.752  -0.450 0.650  -0.450 0.549  -0.450 0.447  -0.450 0.346  -0.450 0.244  -0.450 0.143  -0.378 0.071  -0.306 -0.001  -0.242 -0.076  -0.242 -0.177  -0.238 -0.277  -0.166 -0.349  -0.094 -0.421  -0.023 -0.493  0.049 -0.564  0.121 -0.636  0.193 -0.708  0.265 -0.780  0.336 -0.852  0.419 -0.898  0.520 -0.898  0.591 -0.929  0.591 -1.030  0.566 -1.106  0.464 -1.106  0.362 -1.106  0.261 -1.106  0.159 -1.106  0.058 -1.106  -0.044 -1.106  -0.145 -1.106  -0.247 -1.106  -0.348 -1.106  -0.450 -1.106
1c#app#app31#app3196/e  -0.373 0.171  -0.373 0.017  -0.310 0.016  -0.201 0.125  -0.066 0.171  0.088 0.171  0.242 0.171  0.397 0.171  0.536 0.206  0.645 0.315  0.769 0.390  0.923 0.390  0.939 0.528  0.939 0.682  0.930 0.827  0.776 0.827  0.720 0.926  0.686 1.046  0.532 1.046  0.378 1.046  0.224 1.046  0.069 1.046  -0.069 0.980  -0.207 0.911  -0.345 0.842  -0.460 0.741  -0.569 0.632  -0.592 0.487  -0.649 0.390  -0.803 0.390  -0.811 0.244  -0.811 0.089  -0.811 -0.065  -0.811 -0.219  -0.811 -0.373  -0.811 -0.527  -0.811 -0.681  -0.717 -0.797  -0.608 -0.906  -0.499 -1.015  -0.390 -1.124  -0.243 -1.141  -0.089 -1.141  0.065 -1.141  0.203 -1.210  0.341 -1.279  0.479 -1.348  0.631 -1.359  0.785 -1.359  0.939 -1.359
1c#app#app31#app3196/d  0.349 -0.356  0.155 -0.356  0.000 -0.261  -0.181 -0.230  -0.376 -0.230  -0.570 -0.230  -0.735 -0.301  -0.872 -0.438  -0.917 -0.614  -0.917 -0.808  -0.908 -0.999  -0.790 -1.144  -0.695 -1.243  -0.500 -1.243  -0.306 -1.243  -0.162 -1.121  -0.114 -0.946  -0.031 -0.787  0.071 -0.635  0.096 -0.451  0.096 -0.256  0.215 -0.111  0.223 0.080  0.223 0.274  0.223 0.469  0.223 0.663  0.223 0.857  0.223 1.051  0.223 1.246  0.223 1.440  0.223 1.634  0.223 1.829  0.191 1.828  0.129 1.644  0.096 1.455  0.096 1.260  0.096 1.066  0.096 0.872  0.096 0.678  0.096 0.483  0.147 0.301  0.223 0.124  0.223 -0.070  0.223 -0.264  0.295 -0.429  0.349 -0.600  0.432 -0.775  0.544 -0.931  0.681 -1.068  0.856 -1.116
1c#app#app31#app3196/t  0.420 1.708  0.405 1.851  0.277 1.821  0.234 1.708  0.135 1.650  0.135 1.493  0.135 1.336  0.135 1.179  0.135 1.022  0.135 0.864  0.135 0.707  0.135 0.550  0.135 0.393  0.135 0.236  0.135 0.079  0.135 -0.078  0.135 -0.235  0.135 -0.392  0.135 -0.549  0.135 -0.706  0.135 -0.863  0.135 -1.020  0.135 -1.177  0.135 -1.334  0.201 -1.425  0.277 -1.506  0.223 -1.489  0.133 -1.360  0.042 -1.232  -0.048 -1.103  -0.138 -0.974  -0.228 -0.846  -0.318 -0.717  -0.408 -0.588  -0.498 -0.460  -0.588 -0.331  -0.678 -0.202  -0.719 -0.228  -0.719 -0.186  -0.719 -0.029  -0.628 0.090  -0.493 0.142  -0.365 0.212  -0.238 0.284  -0.081 0.284  0.076 0.284  0.234 0.284  0.391 0.284  0.548 0.284  0.705 0.284
1c#app#app31#app3196/h  0.060 2.141  0.060 2.015  0.060 1.888  0.024 1.777  -0.049 1.681  -0.049 1.554  -0.049 1.428  -0.049 1.302  -0.049 1.175  -0.097 1.060  -0.154 0.947  -0.159 0.822  -0.159 0.695  -0.159 0.569  -0.159 0.443  -0.192 0.324  -0.248 0.211  -0.268 0.089  -0.268 -0.037  -0.268 -0.164  -0.268 -0.290  -0.268 -0.416  -0.268 -0.543  -0.321 -0.647  -0.377 -0.750  -0.377 -0.877  -0.377 -1.003  -0.280 -1.032  -0.187 -0.951  -0.159 -0.836  -0.086 -0.740  -0.049 -0.629  -0.008 -0.512  0.048 -0.399  0.060 -0.275  0.143 -0.183  0.170 -0.068  0.275 -0.047  0.279 -0.170  0.279 -0.296  0.279 -0.423  0.279 -0.549  0.279 -0.675  0.279 -0.802  0.283 -0.927  0.373 -1.016  0.389 -1.136  0.474 -1.227  0.590 -1.251  0.717 -1.251
1c#app#app31#app3196/e  -0.374 0.015  -0.374 0.155  -0.293 0.214  -0.153 0.214  -0.013 0.214  0.096 0.287  0.195 0.386  0.324 0.412  0.451 0.444  0.550 0.543  0.618 0.654  0.618 0.794  0.618 0.934  0.551 1.007  0.411 1.007  0.271 1.007  0.132 1.007  -0.008 1.007  -0.148 1.007  -0.288 1.007  -0.428 1.007  -0.568 1.007  -0.633 0.887  -0.696 0.761  -0.758 0.636  -0.771 0.499  -0.771 0.359  -0.771 0.220  -0.771 0.080  -0.771 -0.060  -0.771 -0.200  -0.771 -0.340  -0.702 -0.451  -0.603 -0.550  -0.504 -0.649  -0.405 -0.748  -0.278 -0.779  -0.149 -0.805  -0.050 -0.904  0.060 -0.977  0.200 -0.977  0.327 -1.030  0.452 -1.093  0.577 -1.155  0.712 -1.176  0.852 -1.176  0.992 -1.176  1.132 -1.176  1.272 -1.176  1.412 -1.176
1c#app#app31#app3196/e  -0.103 0.088  -0.266 0.088  -0.281 0.235  -0.413 0.266  -0.343 0.266  -0.181 0.266  -0.018 0.266  0.145 0.266  0.307 0.266  0.470 0.266  0.632 0.266  0.788 0.273  0.788 0.436  0.942 0.445  1.105 0.445  1.144 0.568  1.068 0.699  0.948 0.801  0.788 0.803  0.788 0.966  0.638 0.979  0.476 0.979  0.313 0.979  0.151 0.979  0.014 0.917  -0.101 0.802  -0.216 0.687  -0.352 0.623  -0.459 0.567  -0.499 0.445  -0.637 0.420  -0.644 0.260  -0.759 0.145  -0.816 0.006  -0.816 -0.157  -0.816 -0.319  -0.816 -0.482  -0.816 -0.644  -0.812 -0.806  -0.697 -0.921  -0.637 -1.058  -0.575 -1.159  -0.426 -1.192  -0.311 -1.307  -0.161 -1.337  -0.010 -1.384  0.136 -1.456  0.285 -1.515  0.447 -1.515  0.610 -1.515
1c#app#app31#app3196/n  -0.390 0.290  -0.547 0.290  -0.662 0.189  -0.773 0.078  -0.884 -0.033  -0.904 -0.181  -0.904 -0.338  -0.904 -0.495  -0.904 -0.652  -0.904 -0.809  -0.904 -0.852  -0.904 -0.696  -0.876 -0.567  -0.727 -0.554  -0.657 -0.414  -0.586 -0.274  -0.530 -0.128  -0.480 0.021  -0.430 0.170  -0.369 0.312  -0.258 0.423  -0.219 0.564  -0.157 0.695  -0.046 0.806  0.065 0.917  0.124 1.049  0.183 1.147  0.295 1.192  0.326 1.318  0.478 1.307  0.589 1.196  0.638 1.059  0.638 0.902  0.638 0.745  0.638 0.588  0.638 0.431  0.638 0.274  0.638 0.117  0.638 -0.039  0.638 -0.196  0.638 -0.353  0.638 -0.510  0.638 -0.667  0.638 -0.824  0.638 -0.981  0.638 -1.138  0.681 -1.252  0.809 -1.281  0.824 -1.423  0.981 -1.423
1c#app#app31#app3196/c  0.406 0.703  0.288 0.703  0.210 0.745  0.210 0.863  0.152 0.958  0.068 1.041  -0.028 1.095  -0.147 1.095  -0.265 1.095  -0.384 1.095  -0.502 1.095  -0.573 1.047  -0.573 0.929  -0.573 0.810  -0.584 0.703  -0.703 0.703  -0.769 0.651  -0.769 0.532  -0.769 0.414  -0.769 0.295  -0.769 0.177  -0.769 0.058  -0.769 -0.060  -0.769 -0.179  -0.747 -0.276  -0.628 -0.276  -0.573 -0.339  -0.573 -0.457  -0.499 -0.545  -0.415 -0.629  -0.313 -0.667  -0.194 -0.667  -0.107 -0.742  -0.023 -0.826  0.080 -0.863  0.199 -0.863  0.317 -0.863  0.436 -0.863  0.554 -0.863  0.602 -0.792  0.602 -0.674  0.714 -0.667  0.833 -0.667  0.951 -0.667  1.070 -0.667  1.188 -0.667  1.272 -0.584  1.356 -0.501  1.463 -0.471  1.581 -0.471
1c#app#app31#app3196/h  0.142 0.741  0.142 0.890  0.142 1.039  0.101 1.170  0.046 1.296  -0.041 1.409  -0.077 1.543  -0.148 1.662  -0.242 1.710  -0.148 1.655  -0.148 1.506  -0.148 1.358  -0.148 1.209  -0.148 1.060  -0.148 0.911  -0.148 0.763  -0.148 0.614  -0.148 0.465  -0.148 0.316  -0.148 0.168  -0.148 0.019  -0.148 -0.130  -0.171 -0.273  -0.237 -0.406  -0.245 -0.553  -0.245 -0.702  -0.245 -0.851  -0.245 -0.999  -0.342 -1.108  -0.342 -1.257  -0.245 -1.280  -0.245 -1.131  -0.162 -1.017  -0.057 -0.912  -0.020 -0.778  0.046 -0.656  0.053 -0.511  0.142 -0.399  0.176 -0.258  0.246 -0.131  0.336 -0.189  0.336 -0.338  0.336 -0.487  0.336 -0.636  0.336 -0.784  0.336 -0.933  0.392 -1.059  0.433 -1.190  0.530 -1.242  0.627 -1.294
1c#app#app31#app3196/a  0.689 0.798  0.689 0.595  0.509 0.571  0.306 0.571  0.236 0.705  0.159 0.876  0.015 1.019  -0.186 1.024  -0.389 1.024  -0.592 1.024  -0.669 0.898  -0.742 0.725  -0.886 0.581  -0.896 0.382  -0.896 0.179  -0.996 0.018  -1.122 -0.133  -1.122 -0.336  -1.122 -0.540  -1.122 -0.743  -1.122 -0.946  -0.986 -1.013  -0.896 -1.126  -0.806 -1.240  -0.603 -1.240  -0.413 -1.210  -0.269 -1.066  -0.125 -0.922  0.018 -0.779  0.162 -0.635  0.236 -0.463  0.303 -0.301  0.485 -0.210  0.666 -0.119  0.689 0.070  0.844 0.119  0.916 0.250  0.916 0.453  0.916 0.656  0.854 0.798  0.689 0.760  0.679 0.561  0.535 0.417  0.463 0.244  0.463 0.041  0.501 -0.146  0.645 -0.290  0.689 -0.474  0.772 -0.643  0.916 -0.787
1c#app#app31#app3196/n  -0.461 0.741  -0.461 0.573  -0.461 0.405  -0.461 0.237  -0.620 0.228  -0.788 0.228  -0.955 0.228  -0.974 0.079  -0.974 -0.089  -0.974 -0.257  -0.974 -0.425  -0.974 -0.593  -0.974 -0.761  -0.882 -0.706  -0.763 -0.587  -0.718 -0.438  -0.707 -0.275  -0.589 -0.156  -0.470 -0.037  -0.351 0.081  -0.233 0.200  -0.205 0.356  -0.205 0.524  -0.205 0.692  -0.120 0.825  -0.002 0.944  0.117 1.062  0.236 1.181  0.373 1.253  0.541 1.253  0.564 1.109  0.564 0.941  0.564 0.773  0.564 0.605  0.564 0.437  0.564 0.270  0.564 0.102  0.564 -0.066  0.564 -0.234  0.564 -0.402  0.564 -0.570  0.564 -0.737  0.672 -0.798  0.821 -0.817  0.821 -0.985  0.821 -1.152  0.830 -1.311  0.998 -1.311  1.166 -1.311  1.334 -1.311
