3#app#app11#app1191/O  0.486 0.046  0.572 0.120  0.659 0.245  0.649 0.402  0.572 0.531  0.481 0.652  0.399 0.731  0.313 0.856  0.238 0.986  0.082 0.998  -0.079 0.998  -0.230 0.975  -0.344 0.861  -0.458 0.747  -0.572 0.634  -0.686 0.520  -0.727 0.376  -0.815 0.302  -0.887 0.158  -0.900 -0.000  -0.985 -0.126  -0.987 -0.287  -0.987 -0.448  -0.987 -0.609  -0.987 -0.770  -0.909 -0.898  -0.856 -1.038  -0.768 -1.170  -0.659 -1.254  -0.498 -1.254  -0.349 -1.223  -0.211 -1.167  -0.071 -1.117  0.063 -1.032  0.193 -0.940  0.307 -0.826  0.381 -0.684  0.507 -0.593  0.600 -0.477  0.651 -0.325  0.720 -0.179  0.753 -0.026  0.825 0.118  0.832 0.277  0.832 0.438  0.832 0.599  0.832 0.760  0.764 0.893  0.746 1.046  0.659 1.172
3#app#app11#app1191/v  -1.139 1.092  -1.008 1.092  -0.979 0.991  -0.979 0.861  -0.949 0.743  -0.857 0.650  -0.819 0.536  -0.785 0.419  -0.693 0.327  -0.659 0.210  -0.622 0.095  -0.530 0.003  -0.499 -0.115  -0.458 -0.228  -0.366 -0.321  -0.339 -0.440  -0.295 -0.552  -0.202 -0.644  -0.179 -0.765  -0.111 -0.828  -0.019 -0.866  -0.019 -0.996  -0.019 -1.127  -0.019 -1.257  0.061 -1.308  0.141 -1.257  0.141 -1.127  0.141 -0.996  0.263 -0.988  0.301 -0.895  0.301 -0.765  0.325 -0.644  0.417 -0.552  0.461 -0.440  0.461 -0.309  0.461 -0.179  0.461 -0.048  0.510 0.070  0.569 0.187  0.621 0.305  0.621 0.436  0.621 0.566  0.621 0.697  0.621 0.827  0.633 0.955  0.691 1.072  0.749 1.188  0.781 1.311  0.781 1.442  0.781 1.572
3#app#app11#app1191/e  -1.185 -0.304  -1.006 -0.304  -0.827 -0.304  -0.649 -0.304  -0.470 -0.304  -0.291 -0.304  -0.113 -0.304  0.029 -0.214  0.178 -0.144  0.357 -0.144  0.420 -0.028  0.554 0.017  0.733 0.017  0.748 0.184  0.874 0.310  0.902 0.478  1.060 0.499  1.063 0.675  1.063 0.853  1.011 0.980  0.902 1.050  0.814 1.141  0.635 1.141  0.456 1.141  0.278 1.141  0.099 1.140  -0.027 1.014  -0.154 0.888  -0.280 0.761  -0.406 0.635  -0.533 0.508  -0.703 0.494  -0.719 0.322  -0.845 0.196  -0.864 0.025  -0.864 -0.154  -0.864 -0.333  -0.864 -0.511  -0.864 -0.690  -0.781 -0.786  -0.632 -0.857  -0.490 -0.946  -0.319 -0.978  -0.159 -1.058  0.008 -1.107  0.187 -1.107  0.366 -1.107  0.545 -1.107  0.723 -1.107  0.902 -1.107
3#app#app11#app1191/r  -0.663 0.542  -0.663 0.383  -0.581 0.258  -0.469 0.145  -0.460 -0.011  -0.460 -0.171  -0.418 -0.312  -0.305 -0.425  -0.257 -0.565  -0.209 -0.675  -0.054 -0.681  -0.054 -0.840  -0.054 -0.999  0.023 -1.081  0.149 -1.115  0.149 -1.275  0.149 -1.434  0.149 -1.381  0.104 -1.240  -0.008 -1.127  -0.054 -0.987  -0.090 -0.842  -0.203 -0.730  -0.257 -0.593  -0.285 -0.445  -0.398 -0.332  -0.460 -0.198  -0.460 -0.039  -0.460 0.120  -0.604 0.137  -0.663 0.236  -0.663 0.396  -0.651 0.542  -0.491 0.542  -0.460 0.671  -0.375 0.745  -0.216 0.745  -0.057 0.745  0.057 0.857  0.178 0.948  0.338 0.948  0.497 0.948  0.656 0.948  0.816 0.948  0.975 0.948  1.135 0.948  1.294 0.948  1.454 0.948  1.613 0.948  1.772 0.948
3#app#app11#app1191/T  -0.130 0.598  -0.102 0.460  -0.020 0.344  -0.020 0.194  -0.020 0.044  -0.020 -0.106  -0.020 -0.255  -0.011 -0.401  0.090 -0.510  0.090 -0.660  0.090 -0.809  0.146 -0.946  0.200 -1.083  0.200 -1.233  0.278 -1.351  0.310 -1.487  0.412 -1.595  0.405 -1.467  0.327 -1.338  0.250 -1.210  0.173 -1.081  0.096 -0.953  0.019 -0.824  -0.058 -0.696  -0.135 -0.567  -0.212 -0.439  -0.290 -0.310  -0.367 -0.182  -0.444 -0.053  -0.521 0.075  -0.598 0.204  -0.675 0.332  -0.752 0.461  -0.829 0.589  -0.889 0.708  -0.755 0.744  -0.635 0.818  -0.494 0.857  -0.360 0.924  -0.212 0.928  -0.062 0.928  0.056 1.005  0.193 1.038  0.339 1.053  0.473 1.120  0.616 1.148  0.753 1.205  0.890 1.258  1.040 1.258  1.190 1.258
3#app#app11#app1191/h  -0.999 1.702  -0.994 1.543  -0.880 1.430  -0.847 1.283  -0.847 1.123  -0.847 0.962  -0.847 0.802  -0.782 0.657  -0.710 0.513  -0.694 0.356  -0.600 0.235  -0.542 0.099  -0.481 -0.037  -0.389 -0.159  -0.389 -0.320  -0.389 -0.480  -0.389 -0.641  -0.345 -0.783  -0.237 -0.898  -0.237 -1.059  -0.237 -1.219  -0.206 -1.349  -0.084 -1.311  -0.084 -1.151  -0.084 -0.990  -0.084 -0.830  -0.084 -0.669  -0.084 -0.509  -0.084 -0.348  -0.017 -0.215  0.069 -0.090  0.069 0.070  0.069 0.231  0.131 0.329  0.221 0.399  0.300 0.481  0.374 0.568  0.468 0.634  0.599 0.561  0.726 0.481  0.831 0.426  0.831 0.266  0.902 0.176  0.984 0.097  1.045 -0.038  1.136 -0.160  1.136 -0.321  1.136 -0.481  1.176 -0.626  1.289 -0.739
3#app#app11#app1191/e  -0.764 -0.179  -0.595 -0.179  -0.465 -0.141  -0.408 -0.030  -0.239 -0.030  -0.071 -0.030  0.098 -0.030  0.266 -0.030  0.285 0.120  0.447 0.135  0.566 0.254  0.686 0.373  0.805 0.492  0.924 0.611  1.031 0.735  1.031 0.904  0.975 1.017  0.881 1.091  0.788 1.166  0.619 1.166  0.451 1.166  0.326 1.060  0.176 1.017  0.133 0.891  -0.011 0.867  -0.132 0.751  -0.286 0.718  -0.315 0.578  -0.471 0.562  -0.590 0.443  -0.614 0.284  -0.683 0.132  -0.758 -0.019  -0.874 -0.140  -0.913 -0.292  -0.913 -0.461  -0.913 -0.629  -0.899 -0.792  -0.780 -0.911  -0.618 -0.927  -0.498 -1.044  -0.378 -1.163  -0.236 -1.226  -0.068 -1.226  0.101 -1.226  0.269 -1.226  0.438 -1.226  0.599 -1.209  0.718 -1.090  0.881 -1.076
3#app#app11#app1191/L  -0.489 1.785  -0.489 1.690  -0.489 1.594  -0.489 1.499  -0.489 1.404  -0.489 1.309  -0.489 1.214  -0.489 1.118  -0.489 1.023  -0.489 0.928  -0.489 0.833  -0.428 0.763  -0.369 0.692  -0.369 0.597  -0.369 0.502  -0.369 0.407  -0.369 0.312  -0.369 0.216  -0.369 0.121  -0.369 0.026  -0.369 -0.069  -0.369 -0.164  -0.367 -0.259  -0.300 -0.326  -0.249 -0.400  -0.249 -0.495  -0.249 -0.590  -0.249 -0.686  -0.249 -0.781  -0.230 -0.858  -0.135 -0.858  -0.128 -0.769  -0.065 -0.738  0.030 -0.738  0.125 -0.738  0.221 -0.738  0.316 -0.738  0.352 -0.679  0.386 -0.618  0.481 -0.618  0.576 -0.618  0.672 -0.618  0.767 -0.618  0.862 -0.618  0.957 -0.618  1.052 -0.618  1.147 -0.618  1.243 -0.618  1.338 -0.618  1.433 -0.618
3#app#app11#app1191/a  -1.152 1.323  -0.990 1.323  -0.829 1.323  -0.668 1.323  -0.507 1.323  -0.346 1.323  -0.250 1.217  -0.178 1.072  -0.090 0.940  0.024 0.826  0.180 0.814  0.301 0.718  0.415 0.604  0.529 0.490  0.545 0.335  0.676 0.305  0.715 0.183  0.715 0.021  0.640 0.040  0.518 0.135  0.357 0.135  0.196 0.135  0.035 0.135  -0.126 0.135  -0.288 0.135  -0.449 0.135  -0.473 -0.002  -0.601 -0.034  -0.643 -0.154  -0.721 -0.283  -0.812 -0.406  -0.812 -0.568  -0.801 -0.724  -0.687 -0.838  -0.643 -0.981  -0.553 -1.052  -0.392 -1.052  -0.231 -1.052  -0.070 -1.052  0.036 -0.997  0.083 -0.883  0.244 -0.883  0.397 -0.861  0.511 -0.747  0.658 -0.713  0.819 -0.713  0.980 -0.713  1.116 -0.651  1.232 -0.543  1.393 -0.543
3#app#app11#app1191/z  -1.257 0.974  -1.129 0.974  -1.000 0.974  -0.872 0.974  -0.744 0.974  -0.615 0.974  -0.487 0.974  -0.358 0.974  -0.230 0.974  -0.102 0.974  0.027 0.974  0.155 0.974  0.283 0.974  0.412 0.974  0.540 0.974  0.584 0.889  0.584 0.761  0.526 0.691  0.442 0.646  0.411 0.549  0.301 0.531  0.301 0.403  0.301 0.274  0.181 0.266  0.159 0.159  0.066 0.124  0.017 0.044  0.017 -0.084  0.017 -0.213  -0.023 -0.300  -0.124 -0.328  -0.134 -0.452  -0.225 -0.543  -0.266 -0.654  -0.266 -0.782  -0.310 -0.867  -0.407 -0.897  -0.407 -1.026  -0.403 -1.150  -0.275 -1.150  -0.146 -1.150  -0.018 -1.150  0.110 -1.150  0.239 -1.150  0.367 -1.150  0.495 -1.150  0.624 -1.150  0.752 -1.150  0.880 -1.150  1.009 -1.150
3#app#app11#app1191/y  -0.612 1.269  -0.530 1.187  -0.608 1.171  -0.612 1.059  -0.612 0.943  -0.612 0.827  -0.545 0.779  -0.514 0.693  -0.514 0.577  -0.491 0.485  -0.416 0.443  -0.357 0.386  -0.240 0.386  -0.124 0.386  -0.024 0.402  0.010 0.485  0.110 0.521  0.172 0.612  0.219 0.681  0.270 0.746  0.353 0.779  0.368 0.880  0.368 0.953  0.368 0.837  0.368 0.721  0.368 0.605  0.368 0.489  0.358 0.377  0.276 0.295  0.270 0.181  0.263 0.066  0.235 -0.046  0.207 -0.159  0.179 -0.272  0.172 -0.387  0.172 -0.503  0.160 -0.616  0.109 -0.720  0.074 -0.828  0.074 -0.944  0.074 -1.060  0.074 -1.176  0.074 -1.292  0.074 -1.408  0.074 -1.524  0.074 -1.640  0.074 -1.756  0.077 -1.871  0.159 -1.953  0.172 -2.064
