2#app#app25#app2557/V  -0.372 1.723  -0.372 1.576  -0.372 1.429  -0.372 1.282  -0.372 1.135  -0.372 0.988  -0.372 0.841  -0.372 0.694  -0.378 0.549  -0.482 0.445  -0.586 0.341  -0.606 0.202  -0.606 0.055  -0.606 -0.092  -0.606 -0.239  -0.606 -0.386  -0.606 -0.533  -0.606 -0.681  -0.606 -0.828  -0.732 -0.849  -0.801 -0.849  -0.653 -0.849  -0.606 -0.948  -0.593 -1.082  -0.446 -1.082  -0.299 -1.082  -0.152 -1.082  -0.139 -0.948  -0.139 -0.801  -0.139 -0.654  -0.031 -0.615  0.095 -0.594  0.095 -0.447  0.177 -0.381  0.324 -0.381  0.329 -0.239  0.384 -0.147  0.531 -0.147  0.563 -0.032  0.592 0.087  0.739 0.087  0.797 0.176  0.799 0.321  0.946 0.321  1.075 0.365  1.179 0.469  1.264 0.581  1.264 0.728  1.351 0.788  1.498 0.788
2#app#app25#app2557/E  -0.045 0.998  -0.166 0.758  -0.318 0.540  -0.416 0.312  -0.602 0.229  -0.713 0.071  -0.794 -0.121  -0.984 -0.311  -1.158 -0.508  -1.265 -0.670  -1.343 -0.861  -1.343 -0.953  -1.171 -0.856  -0.902 -0.856  -0.633 -0.856  -0.434 -1.024  -0.243 -0.868  0.020 -0.856  0.140 -1.005  0.373 -1.041  0.511 -1.172  0.725 -1.227  0.835 -1.124  0.722 -0.880  0.609 -0.636  0.496 -0.392  0.384 -0.148  0.271 0.097  0.158 0.341  0.046 0.585  -0.067 0.829  -0.180 1.073  -0.083 1.184  0.140 1.138  0.269 0.998  0.538 0.998  0.807 0.998  0.891 0.813  1.160 0.813  1.253 0.637  0.999 0.571  0.737 0.513  0.474 0.455  0.212 0.396  -0.051 0.338  -0.314 0.280  -0.270 0.183  -0.027 0.071  0.242 0.071  0.511 0.071
2#app#app25#app2557/X  -0.941 1.285  -0.747 1.285  -0.553 1.285  -0.377 1.242  -0.245 1.103  -0.245 0.909  -0.245 0.715  -0.177 0.589  -0.071 0.501  -0.071 0.307  -0.071 0.114  -0.071 -0.080  -0.071 -0.274  -0.071 -0.468  -0.037 -0.628  0.156 -0.628  0.350 -0.628  0.450 -0.722  0.564 -0.802  0.719 -0.896  0.880 -0.975  0.972 -1.077  1.094 -1.149  1.108 -1.012  1.057 -0.825  1.006 -0.638  0.955 -0.451  0.904 -0.264  0.853 -0.077  0.802 0.110  0.751 0.297  0.700 0.484  0.649 0.671  0.531 0.732  0.347 0.671  0.163 0.609  0.010 0.497  -0.149 0.415  -0.245 0.317  -0.363 0.242  -0.419 0.104  -0.577 0.068  -0.770 0.065  -0.907 -0.072  -0.941 -0.252  -1.058 -0.397  -1.228 -0.454  -1.288 -0.588  -1.442 -0.628  -1.636 -0.628
2#app#app25#app2557/I  0.872 1.494  0.872 1.406  0.872 1.317  0.850 1.251  0.762 1.251  0.674 1.251  0.630 1.207  0.630 1.119  0.630 1.030  0.583 0.962  0.520 0.899  0.458 0.837  0.396 0.775  0.387 0.690  0.387 0.602  0.380 0.516  0.317 0.454  0.255 0.392  0.193 0.329  0.145 0.261  0.145 0.173  0.145 0.084  0.145 -0.004  0.145 -0.092  0.145 -0.180  0.080 -0.204  -0.008 -0.204  -0.097 -0.204  -0.185 -0.204  -0.273 -0.204  -0.340 -0.225  -0.340 -0.313  -0.340 -0.401  -0.340 -0.489  -0.340 -0.578  -0.340 -0.666  -0.406 -0.689  -0.494 -0.689  -0.582 -0.689  -0.583 -0.776  -0.583 -0.864  -0.583 -0.953  -0.583 -1.041  -0.583 -1.129  -0.626 -1.174  -0.715 -1.174  -0.803 -1.174  -0.825 -1.240  -0.825 -1.328  -0.825 -1.416
2#app#app25#app2557/N  -1.494 -1.129  -1.365 -1.000  -1.236 -0.871  -1.138 -0.729  -1.108 -0.557  -0.994 -0.415  -0.880 -0.273  -0.766 -0.130  -0.652 0.012  -0.539 0.154  -0.425 0.297  -0.343 0.460  -0.262 0.623  -0.180 0.786  -0.099 0.949  -0.070 1.125  0.052 1.185  0.108 1.059  0.108 0.877  0.108 0.694  0.010 0.553  -0.070 0.403  -0.070 0.221  -0.125 0.062  -0.248 -0.070  -0.248 -0.252  -0.248 -0.434  -0.248 -0.617  -0.248 -0.799  -0.248 -0.981  -0.213 -1.129  -0.070 -1.089  -0.026 -0.951  0.108 -0.903  0.160 -0.773  0.286 -0.716  0.286 -0.534  0.332 -0.371  0.461 -0.242  0.590 -0.113  0.642 0.048  0.722 0.197  0.864 0.295  1.032 0.329  1.161 0.458  1.176 0.634  1.176 0.816  1.345 0.829  1.354 1.003  1.532 1.007
2#app#app25#app2557/G  1.018 0.922  1.018 1.112  0.828 1.112  0.693 1.247  0.526 1.303  0.336 1.303  0.145 1.303  -0.045 1.303  -0.203 1.225  -0.337 1.090  -0.472 0.956  -0.648 0.922  -0.696 0.780  -0.838 0.732  -0.987 0.631  -1.077 0.478  -1.077 0.288  -1.077 0.098  -1.077 -0.093  -1.033 -0.265  -0.899 -0.399  -0.764 -0.534  -0.602 -0.602  -0.412 -0.602  -0.221 -0.602  -0.031 -0.602  0.159 -0.602  0.350 -0.602  0.446 -0.508  0.540 -0.411  0.554 -0.370  0.383 -0.285  0.213 -0.199  0.043 -0.114  -0.122 -0.030  0.068 -0.030  0.258 -0.030  0.448 -0.030  0.637 -0.032  0.637 -0.222  0.637 -0.413  0.637 -0.603  0.636 -0.792  0.446 -0.793  0.446 -0.983  0.255 -0.983  0.066 -0.983  0.066 -1.173  0.066 -1.364  0.066 -1.554
2#app#app25#app2557/D  0.073 0.997  0.073 0.773  0.073 0.549  0.073 0.325  -0.049 0.152  -0.107 -0.048  -0.238 -0.218  -0.288 -0.421  -0.426 -0.587  -0.585 -0.746  -0.649 -0.943  -0.825 -0.991  -0.830 -1.210  -0.804 -1.275  -0.734 -1.063  -0.663 -0.850  -0.592 -0.638  -0.521 -0.426  -0.450 -0.213  -0.380 -0.001  -0.309 0.212  -0.238 0.424  -0.167 0.637  -0.096 0.849  -0.026 1.061  0.045 1.274  0.208 1.358  0.432 1.358  0.656 1.358  0.880 1.358  0.977 1.231  1.097 1.057  1.158 0.859  1.157 0.635  0.999 0.477  0.977 0.262  0.921 0.093  0.726 0.024  0.548 -0.087  0.435 -0.198  0.281 -0.268  0.238 -0.449  0.073 -0.508  -0.029 -0.629  -0.107 -0.775  -0.288 -0.818  -0.339 -0.991  -0.563 -0.991  -0.787 -0.991  -1.011 -0.991
2#app#app25#app2557/A  -1.329 -1.032  -1.286 -0.855  -1.152 -0.770  -1.062 -0.588  -0.879 -0.501  -0.798 -0.362  -0.670 -0.196  -0.515 -0.040  -0.391 0.137  -0.293 0.333  -0.268 0.547  -0.078 0.586  0.020 0.783  0.137 0.965  0.263 1.132  0.347 1.268  0.440 1.394  0.559 1.564  0.617 1.484  0.794 1.442  0.794 1.222  0.794 1.003  0.794 0.783  0.794 0.564  0.794 0.345  0.794 0.125  0.794 -0.094  0.627 -0.147  0.617 -0.356  0.564 -0.554  0.440 -0.721  0.354 -0.855  0.263 -0.983  0.092 -1.032  0.086 -1.245  0.086 -1.306  0.008 -1.115  -0.132 -0.946  -0.273 -0.778  -0.413 -0.609  -0.554 -0.441  -0.694 -0.272  -0.798 -0.091  -0.699 0.030  -0.480 0.030  -0.261 0.030  -0.041 0.030  0.178 0.030  0.398 0.030  0.617 0.030
2#app#app25#app2557/F  -0.135 0.917  -0.135 0.674  -0.238 0.473  -0.305 0.258  -0.461 0.080  -0.476 -0.158  -0.564 -0.364  -0.646 -0.573  -0.676 -0.786  -0.816 -0.889  -0.987 -0.962  -0.987 -1.205  -1.137 -1.297  -1.138 -1.419  -1.051 -1.192  -0.964 -0.965  -0.876 -0.738  -0.789 -0.511  -0.702 -0.284  -0.615 -0.057  -0.527 0.169  -0.440 0.396  -0.353 0.623  -0.194 0.746  0.049 0.746  0.292 0.746  0.376 0.905  0.607 0.917  0.811 0.822  1.023 0.746  1.205 0.598  1.439 0.576  1.682 0.576  1.564 0.509  1.337 0.422  1.111 0.335  0.884 0.247  0.657 0.160  0.430 0.073  0.203 -0.014  -0.024 -0.102  -0.251 -0.189  -0.476 -0.274  -0.401 -0.105  -0.158 -0.105  0.085 -0.105  0.328 -0.105  0.571 -0.105  0.814 -0.105  1.057 -0.105
2#app#app25#app2557/T  0.563 1.062  0.563 0.896  0.446 0.779  0.397 0.634  0.330 0.497  0.213 0.380  0.096 0.263  0.065 0.110  0.065 -0.056  0.065 -0.221  -0.020 -0.351  -0.101 -0.483  -0.101 -0.649  -0.137 -0.800  -0.254 -0.917  -0.267 -1.077  -0.413 -1.096  -0.536 -1.199  -0.599 -1.338  -0.523 -1.428  -0.451 -1.354  -0.491 -1.194  -0.532 -1.033  -0.572 -0.873  -0.612 -0.712  -0.652 -0.552  -0.692 -0.391  -0.732 -0.231  -0.772 -0.070  -0.813 0.090  -0.853 0.251  -0.893 0.412  -0.923 0.564  -0.757 0.564  -0.592 0.564  -0.426 0.564  -0.261 0.564  -0.095 0.564  0.070 0.564  0.236 0.564  0.401 0.564  0.567 0.564  0.732 0.564  0.898 0.564  1.063 0.564  1.229 0.564  1.393 0.565  1.394 0.730  1.559 0.730  1.725 0.730
2#app#app25#app2557/J  0.631 0.694  0.631 0.800  0.631 0.629  0.562 0.486  0.492 0.343  0.417 0.202  0.296 0.081  0.215 -0.057  0.215 -0.229  0.160 -0.388  0.083 -0.541  -0.034 -0.666  -0.063 -0.825  -0.178 -0.949  -0.300 -1.070  -0.421 -1.192  -0.568 -1.251  -0.740 -1.251  -0.897 -1.236  -0.944 -1.112  -1.036 -1.031  -1.036 -0.860  -1.036 -0.688  -0.996 -0.556  -0.824 -0.556  -0.653 -0.556  -0.481 -0.556  -0.341 -0.524  -0.341 -0.353  -0.341 -0.181  -0.341 -0.009  -0.341 0.162  -0.341 0.334  -0.341 0.506  -0.341 0.677  -0.357 0.833  -0.431 0.833  -0.260 0.833  -0.088 0.833  0.084 0.833  0.255 0.833  0.427 0.833  0.599 0.833  0.770 0.833  0.942 0.833  1.113 0.833  1.187 0.735  1.318 0.694  1.442 0.578  1.604 0.555
