1d#tos#f3#f3067059/!  0.514 1.603  0.483 1.563  0.483 1.491  0.483 1.420  0.482 1.349  0.464 1.280  0.445 1.212  0.418 1.146  0.392 1.080  0.361 1.016  0.329 0.953  0.297 0.889  0.284 0.819  0.273 0.749  0.254 0.681  0.217 0.620  0.181 0.559  0.158 0.493  0.141 0.424  0.124 0.355  0.105 0.286  0.079 0.220  0.053 0.154  0.036 0.085  0.022 0.015  0.015 -0.055  0.015 -0.126  0.004 -0.196  -0.010 -0.266  -0.043 -0.326  -0.085 -0.381  -0.108 -0.448  -0.110 -0.519  -0.129 -0.586  -0.160 -0.649  -0.172 -0.718  -0.205 -0.777  -0.249 -0.833  -0.293 -0.889  -0.337 -0.945  -0.381 -1.001  -0.425 -1.057  -0.469 -1.113  -0.513 -1.169  -0.535 -1.233  -0.575 -1.292  -0.577 -1.363  -0.577 -1.434  -0.577 -1.505  -0.577 -1.576
1d#tos#f3#f3067059/\"  -0.484 0.135  -0.484 0.277  -0.551 0.352  -0.693 0.352  -0.700 0.217  -0.700 0.076  -0.700 -0.066  -0.700 -0.208  -0.700 -0.349  -0.700 -0.491  -0.700 -0.633  -0.700 -0.774  -0.700 -0.916  -0.700 -1.058  -0.700 -1.199  -0.669 -1.334  -0.605 -1.460  -0.543 -1.386  -0.482 -1.258  -0.420 -1.130  -0.359 -1.003  -0.298 -0.875  -0.236 -0.747  -0.175 -0.620  -0.113 -0.492  -0.052 -0.364  0.010 -0.237  0.071 -0.109  0.133 0.019  0.194 0.146  0.256 0.274  0.317 0.402  0.379 0.529  0.440 0.657  0.502 0.785  0.563 0.912  0.624 1.040  0.686 1.168  0.747 1.295  0.809 1.423  0.814 1.302  0.814 1.161  0.814 1.019  0.814 0.877  0.814 0.736  0.814 0.594  0.814 0.452  0.814 0.311  0.814 0.169  0.814 0.027
1d#tos#f3#f3067059/#  -0.841 0.086  -1.123 -0.157  -1.018 -0.226  -0.620 -0.076  -0.250 0.137  0.125 0.337  0.503 0.512  0.851 0.757  0.952 0.913  0.613 0.653  0.274 0.392  -0.065 0.132  -0.403 -0.129  -0.742 -0.390  -1.068 -0.663  -1.393 -0.932  -1.365 -0.920  -0.973 -0.791  -0.613 -0.572  -0.244 -0.356  0.144 -0.179  0.515 0.027  0.900 0.191  1.077 0.396  0.703 0.604  0.330 0.811  0.007 1.059  -0.257 1.018  -0.257 0.591  -0.257 0.163  -0.227 -0.261  -0.218 -0.688  -0.218 -1.115  -0.178 -1.174  -0.086 -0.756  0.006 -0.339  0.099 0.078  0.191 0.496  0.283 0.913  0.375 1.330  0.416 1.722  0.405 1.305  0.405 0.877  0.405 0.450  0.405 0.022  0.405 -0.405  0.422 -0.830  0.522 -1.245  0.523 -1.672  0.561 -2.096
1d#tos#f3#f3067059/$  0.981 0.917  0.874 0.914  0.638 0.917  0.402 0.917  0.167 0.906  -0.068 0.889  -0.254 0.778  -0.144 0.655  -0.005 0.471  0.089 0.255  0.170 0.034  0.272 -0.178  0.334 -0.403  0.362 -0.636  0.362 -0.872  0.362 -1.109  0.338 -1.342  0.234 -1.500  0.062 -1.536  -0.122 -1.431  -0.288 -1.296  -0.381 -1.094  -0.488 -0.930  -0.614 -0.769  -0.615 -0.560  -0.508 -0.349  -0.401 -0.138  -0.294 0.073  -0.187 0.284  -0.081 0.495  0.026 0.706  0.133 0.917  0.240 1.128  0.347 1.338  0.453 1.549  0.362 1.515  0.263 1.308  0.250 1.074  0.154 0.877  0.049 0.675  -0.013 0.446  -0.130 0.244  -0.190 0.022  -0.246 -0.206  -0.330 -0.427  -0.391 -0.654  -0.453 -0.882  -0.535 -1.103  -0.565 -1.336  -0.621 -1.556
1d#tos#f3#f3067059/'  0.573 1.572  0.573 1.501  0.573 1.429  0.573 1.358  0.573 1.286  0.573 1.215  0.573 1.144  0.573 1.072  0.573 1.001  0.546 0.936  0.514 0.872  0.482 0.808  0.450 0.744  0.421 0.679  0.398 0.612  0.376 0.544  0.353 0.476  0.330 0.408  0.308 0.341  0.285 0.273  0.282 0.202  0.282 0.131  0.241 0.076  0.190 0.026  0.140 -0.025  0.090 -0.075  0.039 -0.126  -0.011 -0.177  -0.051 -0.236  -0.090 -0.295  -0.130 -0.355  -0.169 -0.414  -0.209 -0.474  -0.249 -0.533  -0.288 -0.592  -0.328 -0.652  -0.367 -0.711  -0.407 -0.771  -0.447 -0.830  -0.486 -0.889  -0.526 -0.949  -0.565 -1.008  -0.612 -1.061  -0.671 -1.100  -0.731 -1.140  -0.790 -1.180  -0.850 -1.219  -0.909 -1.259  -0.968 -1.298  -1.028 -1.338
1d#tos#f3#f3067059/(  0.546 1.566  0.484 1.525  0.423 1.483  0.388 1.425  0.329 1.378  0.290 1.310  0.234 1.254  0.193 1.187  0.146 1.124  0.091 1.067  0.047 1.001  0.005 0.934  -0.028 0.863  -0.030 0.784  -0.086 0.728  -0.142 0.672  -0.198 0.616  -0.234 0.551  -0.234 0.472  -0.279 0.412  -0.316 0.348  -0.316 0.268  -0.316 0.189  -0.316 0.110  -0.316 0.031  -0.316 -0.049  -0.316 -0.128  -0.316 -0.207  -0.312 -0.285  -0.275 -0.349  -0.275 -0.428  -0.231 -0.489  -0.193 -0.552  -0.177 -0.625  -0.132 -0.689  -0.110 -0.763  -0.086 -0.827  -0.028 -0.871  -0.020 -0.947  0.036 -1.003  0.054 -1.075  0.100 -1.126  0.136 -1.183  0.171 -1.254  0.201 -1.308  0.268 -1.327  0.300 -1.398  0.347 -1.431  0.385 -1.472  0.423 -1.513
1d#tos#f3#f3067059/<  0.171 1.639  0.221 1.593  0.308 1.584  0.308 1.488  0.354 1.437  0.354 1.341  0.345 1.246  0.315 1.155  0.287 1.068  0.219 1.000  0.171 0.924  0.148 0.837  0.080 0.769  0.012 0.701  -0.056 0.633  -0.100 0.547  -0.143 0.461  -0.186 0.375  -0.249 0.303  -0.311 0.230  -0.364 0.150  -0.417 0.070  -0.471 -0.011  -0.557 -0.054  -0.620 -0.125  -0.668 -0.207  -0.736 -0.275  -0.756 -0.286  -0.671 -0.314  -0.582 -0.332  -0.506 -0.383  -0.420 -0.426  -0.334 -0.469  -0.239 -0.472  -0.171 -0.540  -0.090 -0.591  -0.004 -0.634  0.063 -0.698  0.117 -0.778  0.198 -0.827  0.270 -0.889  0.351 -0.927  0.406 -1.005  0.456 -1.086  0.504 -1.169  0.537 -1.251  0.537 -1.348  0.590 -1.412  0.652 -1.478  0.675 -1.569
1d#tos#f3#f3067059/=  -0.856 0.618  -0.885 0.487  -0.702 0.487  -0.519 0.490  -0.351 0.552  -0.167 0.552  0.016 0.552  0.188 0.590  0.343 0.684  0.526 0.684  0.710 0.684  0.893 0.684  1.077 0.684  1.194 0.750  1.314 0.813  1.154 0.733  0.991 0.649  0.827 0.566  0.664 0.482  0.501 0.399  0.338 0.315  0.175 0.231  0.011 0.148  -0.152 0.064  -0.315 -0.019  -0.478 -0.103  -0.641 -0.186  -0.805 -0.270  -0.968 -0.354  -1.131 -0.437  -1.294 -0.521  -1.382 -0.651  -1.504 -0.758  -1.340 -0.763  -1.184 -0.697  -1.001 -0.697  -0.817 -0.697  -0.649 -0.631  -0.466 -0.631  -0.298 -0.566  -0.115 -0.566  0.069 -0.566  0.248 -0.536  0.427 -0.500  0.610 -0.500  0.794 -0.500  0.964 -0.445  1.145 -0.434  1.328 -0.434  1.512 -0.434
1d#tos#f3#f3067059/>  -0.628 1.163  -0.737 1.163  -0.806 1.123  -0.710 1.105  -0.647 1.030  -0.539 1.029  -0.522 0.929  -0.431 0.869  -0.336 0.817  -0.229 0.807  -0.123 0.787  -0.022 0.749  0.076 0.700  0.173 0.651  0.271 0.603  0.372 0.563  0.473 0.524  0.571 0.475  0.658 0.412  0.759 0.374  0.846 0.313  0.938 0.273  1.029 0.229  1.032 0.184  0.970 0.136  0.878 0.095  0.808 0.031  0.719 -0.019  0.621 -0.066  0.531 -0.126  0.436 -0.178  0.375 -0.269  0.293 -0.334  0.195 -0.383  0.127 -0.464  0.055 -0.542  -0.042 -0.591  -0.099 -0.666  -0.176 -0.743  -0.253 -0.820  -0.330 -0.897  -0.407 -0.973  -0.511 -1.008  -0.595 -1.073  -0.662 -1.158  -0.728 -1.239  -0.829 -1.273  -0.877 -1.365  -0.942 -1.441  -1.028 -1.506
1d#tos#f3#f3067059/?  -0.176 0.289  -0.299 0.289  -0.422 0.289  -0.544 0.289  -0.642 0.314  -0.712 0.366  -0.720 0.482  -0.720 0.605  -0.711 0.724  -0.606 0.773  -0.526 0.833  -0.455 0.926  -0.338 0.949  -0.217 0.961  -0.099 0.988  0.024 0.988  0.147 0.988  0.270 0.988  0.393 0.988  0.514 0.978  0.601 0.918  0.699 0.851  0.756 0.752  0.756 0.630  0.756 0.507  0.718 0.393  0.692 0.276  0.601 0.234  0.556 0.133  0.439 0.111  0.368 0.017  0.293 -0.060  0.209 -0.148  0.165 -0.260  0.089 -0.333  0.018 -0.385  0.018 -0.508  -0.020 -0.615  -0.059 -0.722  -0.097 -0.836  -0.098 -0.958  -0.098 -1.081  -0.098 -1.204  -0.126 -1.323  -0.159 -1.441  -0.193 -1.559  -0.227 -1.677  -0.254 -1.796  -0.254 -1.919  -0.215 -2.003
1d#tos#f3#f3067059/[  0.003 0.961  -0.110 0.961  -0.047 0.922  0.066 0.922  0.174 0.952  0.286 0.961  0.355 1.019  0.463 1.040  0.576 1.040  0.672 1.057  0.740 1.076  0.632 1.043  0.523 1.010  0.415 0.977  0.307 0.944  0.199 0.911  0.091 0.878  -0.017 0.845  -0.125 0.812  -0.237 0.803  -0.273 0.726  -0.273 0.613  -0.273 0.500  -0.273 0.387  -0.273 0.274  -0.273 0.161  -0.273 0.048  -0.273 -0.065  -0.273 -0.178  -0.290 -0.289  -0.312 -0.399  -0.312 -0.512  -0.312 -0.625  -0.312 -0.738  -0.312 -0.851  -0.312 -0.964  -0.352 -1.038  -0.376 -1.126  -0.391 -1.224  -0.430 -1.298  -0.347 -1.301  -0.239 -1.284  -0.126 -1.284  -0.020 -1.267  0.068 -1.205  0.181 -1.205  0.279 -1.220  0.368 -1.244  0.481 -1.244  0.554 -1.284
