1b#tos#t2#t2018065/B  -0.602 1.380  -0.658 1.168  -0.556 0.943  -0.547 0.679  -0.547 0.412  -0.547 0.144  -0.547 -0.123  -0.547 -0.391  -0.547 -0.659  -0.547 -0.926  -0.547 -1.194  -0.535 -1.240  -0.507 -0.974  -0.478 -0.708  -0.450 -0.442  -0.422 -0.176  -0.393 0.090  -0.365 0.356  -0.337 0.622  -0.308 0.888  -0.280 1.154  -0.411 1.225  -0.195 1.213  0.011 1.151  0.229 1.101  0.473 1.046  0.696 0.956  0.902 0.822  0.958 0.577  0.904 0.433  0.692 0.377  0.447 0.321  0.318 0.140  0.073 0.043  -0.194 0.043  -0.297 0.043  -0.029 0.043  0.238 0.043  0.506 0.043  0.735 -0.071  0.847 -0.292  0.902 -0.537  0.958 -0.791  0.870 -1.004  0.720 -1.138  0.506 -1.295  0.251 -1.350  -0.016 -1.350  -0.280 -1.390  -0.547 -1.406
1b#tos#t2#t2018065/D  -0.319 1.292  -0.436 1.198  -0.436 0.987  -0.436 0.776  -0.436 0.564  -0.436 0.353  -0.436 0.142  -0.436 -0.069  -0.436 -0.280  -0.504 -0.475  -0.552 -0.674  -0.552 -0.885  -0.510 -1.079  -0.492 -1.255  -0.463 -1.046  -0.434 -0.837  -0.404 -0.628  -0.375 -0.419  -0.346 -0.210  -0.317 -0.001  -0.288 0.208  -0.259 0.417  -0.230 0.626  -0.200 0.835  -0.171 1.044  -0.153 1.216  -0.226 1.141  -0.043 1.234  0.160 1.198  0.307 1.118  0.453 1.015  0.545 0.885  0.714 0.783  0.845 0.694  0.961 0.600  0.961 0.389  0.961 0.178  0.961 -0.034  0.945 -0.238  0.796 -0.387  0.787 -0.594  0.727 -0.747  0.539 -0.803  0.496 -0.970  0.321 -1.051  0.159 -1.129  -0.047 -1.162  -0.246 -1.211  -0.409 -1.327  -0.610 -1.385
1b#tos#t2#t2018065/E  -0.296 1.265  -0.499 1.225  -0.267 1.214  -0.024 1.214  0.219 1.214  0.462 1.214  0.694 1.188  0.917 1.164  0.675 1.174  0.432 1.184  0.189 1.194  -0.053 1.204  -0.296 1.214  -0.448 1.094  -0.448 0.851  -0.448 0.608  -0.448 0.365  -0.448 0.122  -0.448 -0.121  -0.398 -0.342  -0.398 -0.585  -0.398 -0.828  -0.489 -1.050  -0.486 -1.155  -0.438 -0.917  -0.391 -0.679  -0.343 -0.441  -0.295 -0.202  -0.248 0.036  -0.318 0.047  -0.076 0.047  0.167 0.047  0.410 0.047  0.653 0.047  0.868 -0.006  0.667 -0.143  0.466 -0.279  0.265 -0.416  0.064 -0.552  -0.136 -0.689  -0.337 -0.826  -0.510 -0.948  -0.567 -1.120  -0.324 -1.120  -0.081 -1.120  0.162 -1.120  0.402 -1.108  0.639 -1.070  0.882 -1.070  1.125 -1.070
1b#tos#t2#t2018065/H  -0.640 1.121  -0.795 1.097  -0.795 0.917  -0.795 0.738  -0.795 0.558  -0.795 0.379  -0.795 0.199  -0.899 0.084  -0.899 -0.096  -0.899 -0.275  -0.899 -0.455  -0.899 -0.635  -0.909 -0.810  -0.951 -0.972  -0.917 -0.974  -0.850 -0.807  -0.784 -0.641  -0.717 -0.474  -0.650 -0.307  -0.584 -0.140  -0.585 -0.038  -0.729 -0.073  -0.549 -0.073  -0.370 -0.073  -0.190 -0.073  -0.010 -0.073  0.169 -0.073  0.336 -0.021  0.509 -0.009  0.615 0.106  0.677 0.275  0.739 0.443  0.801 0.612  0.863 0.780  0.925 0.949  0.970 1.018  0.843 0.965  0.866 0.836  0.866 0.656  0.866 0.476  0.866 0.297  0.866 0.117  0.866 -0.062  0.866 -0.242  0.866 -0.421  0.866 -0.601  0.866 -0.781  0.866 -0.960  0.866 -1.140  0.866 -1.319
1b#tos#t2#t2018065/J  -0.308 1.105  -0.417 1.105  -0.408 1.025  -0.308 1.017  -0.230 0.985  -0.121 0.985  -0.012 0.985  0.097 0.985  0.206 0.985  0.315 0.985  0.423 0.985  0.532 0.985  0.641 0.985  0.710 1.025  0.639 0.989  0.539 0.947  0.438 0.905  0.338 0.863  0.242 0.816  0.181 0.725  0.169 0.620  0.169 0.511  0.169 0.402  0.169 0.293  0.169 0.184  0.169 0.075  0.169 -0.034  0.169 -0.142  0.169 -0.251  0.169 -0.360  0.169 -0.469  0.169 -0.578  0.129 -0.647  0.129 -0.756  0.110 -0.862  0.070 -0.963  -0.015 -1.003  -0.069 -1.057  -0.069 -1.166  -0.126 -1.241  -0.235 -1.241  -0.344 -1.241  -0.374 -1.321  -0.483 -1.321  -0.592 -1.321  -0.666 -1.263  -0.674 -1.162  -0.745 -1.124  -0.785 -1.032  -0.785 -0.923
1b#tos#t2#t2018065/L  -0.292 1.707  -0.345 1.670  -0.345 1.580  -0.345 1.490  -0.345 1.400  -0.345 1.310  -0.345 1.221  -0.345 1.131  -0.345 1.041  -0.345 0.951  -0.345 0.862  -0.345 0.772  -0.345 0.682  -0.345 0.592  -0.345 0.503  -0.372 0.417  -0.397 0.332  -0.397 0.242  -0.397 0.152  -0.405 0.064  -0.446 -0.016  -0.449 -0.105  -0.449 -0.195  -0.449 -0.284  -0.449 -0.374  -0.449 -0.464  -0.453 -0.552  -0.481 -0.601  -0.397 -0.607  -0.353 -0.653  -0.267 -0.666  -0.186 -0.705  -0.097 -0.705  -0.007 -0.705  0.083 -0.705  0.173 -0.705  0.263 -0.705  0.352 -0.705  0.442 -0.705  0.532 -0.705  0.622 -0.705  0.711 -0.705  0.801 -0.705  0.891 -0.705  0.981 -0.705  1.070 -0.705  1.160 -0.705  1.244 -0.720  1.307 -0.784  1.386 -0.810
1b#tos#t2#t2018065/P  -0.099 1.411  -0.310 1.407  -0.310 1.193  -0.310 0.978  -0.257 0.786  -0.257 0.571  -0.257 0.357  -0.257 0.142  -0.257 -0.072  -0.257 -0.287  -0.257 -0.501  -0.257 -0.716  -0.257 -0.930  -0.310 -1.092  -0.310 -1.306  -0.310 -1.521  -0.310 -1.735  -0.306 -1.870  -0.289 -1.656  -0.271 -1.442  -0.254 -1.229  -0.236 -1.015  -0.219 -0.801  -0.201 -0.587  -0.184 -0.374  -0.166 -0.160  -0.149 0.054  -0.131 0.267  -0.114 0.481  -0.096 0.695  -0.079 0.909  -0.061 1.122  -0.077 1.305  -0.117 1.200  0.090 1.154  0.298 1.129  0.486 1.042  0.635 0.936  0.775 0.831  0.850 0.691  0.903 0.530  0.903 0.315  0.782 0.164  0.714 -0.020  0.572 -0.170  0.376 -0.189  0.307 -0.344  0.135 -0.471  -0.043 -0.590  -0.257 -0.592
1b#tos#t2#t2018065/S  0.822 1.009  0.697 1.009  0.665 1.102  0.555 1.136  0.454 1.195  0.329 1.195  0.204 1.195  0.079 1.195  -0.045 1.195  -0.124 1.149  -0.204 1.104  -0.250 0.998  -0.250 0.873  -0.226 0.763  -0.110 0.728  -0.041 0.636  0.078 0.604  0.201 0.589  0.317 0.574  0.393 0.496  0.425 0.403  0.511 0.325  0.542 0.208  0.542 0.083  0.542 -0.042  0.542 -0.167  0.542 -0.292  0.542 -0.417  0.483 -0.483  0.418 -0.561  0.356 -0.660  0.299 -0.768  0.194 -0.832  0.138 -0.934  0.066 -0.996  -0.059 -0.996  -0.164 -1.042  -0.289 -1.042  -0.414 -1.042  -0.533 -1.051  -0.572 -1.170  -0.688 -1.182  -0.720 -1.089  -0.834 -1.064  -0.903 -0.968  -0.903 -0.843  -0.903 -0.718  -0.903 -0.593  -0.903 -0.468  -0.903 -0.343
1b#tos#t2#t2018065/V  -0.908 1.205  -1.038 1.205  -1.061 1.101  -0.960 1.073  -0.908 0.995  -0.856 0.917  -0.856 0.787  -0.819 0.665  -0.761 0.549  -0.747 0.424  -0.701 0.313  -0.673 0.195  -0.598 0.096  -0.562 -0.019  -0.543 -0.142  -0.451 -0.233  -0.377 -0.336  -0.329 -0.454  -0.236 -0.526  -0.236 -0.656  -0.157 -0.706  -0.133 -0.813  -0.133 -0.943  -0.093 -1.056  -0.072 -1.171  0.048 -1.197  0.074 -1.233  0.177 -1.206  0.196 -1.081  0.269 -0.975  0.280 -0.850  0.318 -0.758  0.332 -0.642  0.332 -0.512  0.415 -0.416  0.487 -0.316  0.513 -0.189  0.538 -0.063  0.641 -0.035  0.682 0.087  0.693 0.216  0.751 0.330  0.848 0.399  0.848 0.529  0.848 0.659  0.848 0.789  0.866 0.912  0.981 0.946  1.063 1.036  1.158 1.101
1b#tos#t2#t2018065/W  -1.289 1.031  -1.416 0.988  -1.414 0.903  -1.331 0.783  -1.277 0.625  -1.204 0.479  -1.123 0.337  -1.075 0.180  -0.992 0.035  -0.909 -0.111  -0.907 -0.281  -0.792 -0.370  -0.757 -0.519  -0.630 -0.624  -0.567 -0.733  -0.500 -0.837  -0.476 -0.746  -0.373 -0.624  -0.313 -0.481  -0.263 -0.327  -0.228 -0.192  -0.176 -0.072  -0.143 0.065  -0.058 0.184  -0.026 0.341  -0.015 0.508  0.070 0.425  0.154 0.306  0.196 0.161  0.239 0.017  0.279 -0.115  0.364 -0.234  0.494 -0.334  0.536 -0.488  0.613 -0.582  0.684 -0.729  0.786 -0.837  0.876 -0.756  0.876 -0.585  0.919 -0.421  0.919 -0.250  0.961 -0.096  1.003 0.032  1.003 0.203  1.088 0.289  1.131 0.418  1.173 0.546  1.221 0.697  1.282 0.843  1.385 0.946
1b#tos#t2#t2018065/Z  -0.301 1.246  -0.305 1.109  -0.430 1.071  -0.420 1.017  -0.279 1.017  -0.139 1.017  0.002 1.017  0.142 1.017  0.237 1.063  0.377 1.063  0.518 1.063  0.658 1.063  0.753 1.017  0.830 0.972  0.748 0.914  0.748 0.773  0.637 0.744  0.565 0.648  0.517 0.537  0.402 0.461  0.292 0.401  0.231 0.310  0.153 0.193  0.109 0.063  -0.013 -0.002  -0.134 -0.072  -0.232 -0.167  -0.318 -0.276  -0.417 -0.375  -0.523 -0.448  -0.607 -0.561  -0.683 -0.675  -0.715 -0.807  -0.803 -0.860  -0.859 -0.944  -0.894 -1.049  -0.803 -1.063  -0.691 -1.035  -0.550 -1.035  -0.501 -0.944  -0.360 -0.944  -0.220 -0.944  -0.080 -0.944  0.061 -0.944  0.201 -0.944  0.342 -0.944  0.482 -0.944  0.623 -0.944  0.763 -0.944  0.885 -0.990
