3#apa#apa13#app1313/A  -0.019 1.175  -0.019 0.921  -0.019 0.666  -0.019 0.412  -0.115 0.197  -0.151 -0.048  -0.211 -0.289  -0.293 -0.524  -0.407 -0.751  -0.498 -0.984  -0.577 -1.205  -0.594 -1.453  -0.679 -1.545  -0.631 -1.295  -0.584 -1.046  -0.537 -0.796  -0.490 -0.546  -0.442 -0.296  -0.395 -0.046  -0.348 0.204  -0.300 0.454  -0.253 0.704  -0.206 0.954  -0.159 1.203  -0.111 1.453  -0.064 1.703  -0.019 1.930  0.033 1.698  0.077 1.462  0.148 1.224  0.177 0.977  0.318 0.765  0.441 0.543  0.555 0.316  0.704 0.113  0.817 -0.114  0.940 -0.322  1.036 -0.554  0.875 -0.637  0.621 -0.621  0.367 -0.605  0.113 -0.589  -0.141 -0.573  -0.394 -0.558  -0.364 -0.589  -0.133 -0.647  0.121 -0.647  0.375 -0.647  0.608 -0.595  0.844 -0.551
3#apa#apa13#app1313/B  -0.582 -0.180  -0.491 -0.364  -0.462 -0.573  -0.413 -0.686  -0.480 -0.475  -0.547 -0.264  -0.614 -0.053  -0.681 0.158  -0.749 0.369  -0.816 0.580  -0.883 0.791  -0.950 1.002  -1.017 1.214  -0.884 1.278  -0.663 1.278  -0.479 1.187  -0.296 1.092  -0.086 1.022  0.133 1.005  0.294 0.858  0.477 0.766  0.603 0.596  0.603 0.375  0.451 0.216  0.243 0.185  0.058 0.096  -0.163 0.094  -0.384 0.094  -0.580 0.185  -0.359 0.185  -0.137 0.185  0.085 0.185  0.306 0.185  0.522 0.137  0.738 0.094  0.922 0.002  1.058 -0.083  1.210 -0.241  1.240 -0.450  1.240 -0.672  1.123 -0.844  0.966 -1.001  0.782 -1.092  0.582 -1.182  0.376 -1.250  0.160 -1.273  -0.061 -1.273  -0.264 -1.227  -0.458 -1.132  -0.673 -1.091
3#apa#apa13#app1313/C  0.524 0.777  0.524 0.646  0.524 0.516  0.524 0.386  0.524 0.255  0.548 0.149  0.629 0.198  0.629 0.329  0.629 0.459  0.539 0.552  0.524 0.676  0.503 0.798  0.411 0.890  0.318 0.982  0.294 1.091  0.177 1.123  0.077 1.195  -0.054 1.195  -0.161 1.139  -0.243 1.039  -0.316 0.930  -0.388 0.822  -0.472 0.723  -0.549 0.620  -0.607 0.503  -0.665 0.386  -0.724 0.270  -0.732 0.141  -0.732 0.011  -0.732 -0.119  -0.732 -0.250  -0.732 -0.380  -0.732 -0.510  -0.732 -0.641  -0.732 -0.771  -0.729 -0.900  -0.612 -0.958  -0.496 -1.016  -0.379 -1.075  -0.256 -1.107  -0.126 -1.107  0.004 -1.107  0.135 -1.107  0.265 -1.107  0.396 -1.107  0.526 -1.107  0.656 -1.107  0.787 -1.107  0.917 -1.107  1.047 -1.107
3#apa#apa13#app1313/D  -0.758 0.702  -0.659 0.615  -0.568 0.512  -0.499 0.357  -0.499 0.172  -0.499 -0.012  -0.499 -0.197  -0.499 -0.381  -0.499 -0.566  -0.449 -0.730  -0.412 -0.899  -0.436 -0.797  -0.466 -0.615  -0.497 -0.433  -0.527 -0.251  -0.557 -0.069  -0.588 0.113  -0.618 0.295  -0.648 0.477  -0.679 0.659  -0.709 0.841  -0.739 1.023  -0.685 1.134  -0.536 1.047  -0.352 1.047  -0.167 1.047  0.008 1.010  0.181 0.961  0.356 0.922  0.507 0.819  0.679 0.788  0.779 0.652  0.899 0.514  1.029 0.383  1.142 0.246  1.229 0.097  1.229 -0.088  1.212 -0.265  1.142 -0.421  1.028 -0.563  0.932 -0.718  0.859 -0.869  0.705 -0.971  0.537 -1.025  0.381 -1.095  0.204 -1.112  0.019 -1.112  -0.165 -1.112  -0.350 -1.112  -0.499 -1.025
3#apa#apa13#app1313/E  -0.938 0.768  -0.938 0.537  -0.938 0.305  -0.938 0.074  -0.938 -0.158  -0.926 -0.386  -0.825 -0.594  -0.818 -0.822  -0.630 -0.928  -0.399 -0.928  -0.189 -0.836  0.038 -0.815  0.269 -0.815  0.501 -0.815  0.685 -0.928  0.870 -1.040  1.067 -1.124  1.231 -1.288  1.255 -1.307  1.096 -1.139  0.937 -0.970  0.779 -0.802  0.620 -0.633  0.461 -0.464  0.303 -0.296  0.144 -0.127  -0.015 0.041  -0.173 0.210  -0.332 0.378  -0.479 0.542  -0.248 0.542  -0.016 0.542  0.215 0.542  0.447 0.542  0.675 0.527  0.860 0.433  0.639 0.502  0.418 0.571  0.197 0.640  -0.024 0.709  -0.245 0.778  -0.466 0.847  -0.687 0.916  -0.908 0.985  -0.852 0.881  -0.620 0.881  -0.389 0.881  -0.157 0.881  0.074 0.881  0.306 0.881
3#apa#apa13#app1313/F  -0.846 0.312  -0.726 0.192  -0.611 -0.000  -0.522 -0.219  -0.453 -0.435  -0.367 -0.639  -0.257 -0.834  -0.257 -1.073  -0.257 -1.313  -0.257 -1.553  -0.282 -1.597  -0.343 -1.365  -0.404 -1.133  -0.465 -0.902  -0.526 -0.670  -0.587 -0.438  -0.648 -0.206  -0.709 0.026  -0.770 0.258  -0.831 0.490  -0.728 0.609  -0.553 0.695  -0.334 0.784  -0.142 0.899  0.097 0.902  0.324 0.956  0.548 1.020  0.788 1.020  1.028 1.020  1.267 1.020  1.507 1.020  1.532 0.961  1.326 0.837  1.121 0.714  0.915 0.591  0.709 0.467  0.504 0.344  0.298 0.221  0.093 0.097  -0.113 -0.026  -0.319 -0.149  -0.524 -0.273  -0.727 -0.395  -0.487 -0.395  -0.248 -0.395  -0.022 -0.337  0.204 -0.277  0.444 -0.277  0.683 -0.277  0.923 -0.277
3#apa#apa13#app1313/G  0.002 1.278  0.187 1.278  0.328 1.234  0.328 1.049  0.328 0.864  0.328 0.679  0.328 0.495  0.328 0.310  0.259 0.410  0.219 0.555  0.219 0.740  0.162 0.901  0.108 1.063  -0.032 1.169  -0.216 1.168  -0.357 1.061  -0.509 0.983  -0.603 0.826  -0.686 0.661  -0.775 0.500  -0.891 0.359  -0.974 0.194  -0.974 0.009  -0.974 -0.176  -0.974 -0.361  -0.974 -0.546  -0.865 -0.685  -0.803 -0.844  -0.650 -0.944  -0.479 -0.999  -0.294 -0.999  -0.109 -0.999  0.076 -0.999  0.261 -0.999  0.445 -0.999  0.630 -0.999  0.815 -0.999  0.962 -0.908  1.122 -0.819  1.195 -0.679  1.145 -0.515  0.984 -0.457  0.799 -0.457  0.622 -0.411  0.447 -0.352  0.263 -0.349  0.078 -0.349  -0.107 -0.349  -0.292 -0.349  -0.431 -0.240
3#apa#apa13#app1313/H  -0.816 1.562  -0.816 1.274  -0.816 0.985  -0.816 0.697  -0.744 0.439  -0.666 0.183  -0.666 -0.106  -0.666 -0.394  -0.565 -0.640  -0.516 -0.908  -0.516 -1.196  -0.516 -1.485  -0.468 -1.411  -0.392 -1.133  -0.316 -0.855  -0.240 -0.577  -0.165 -0.299  -0.089 -0.021  -0.013 0.258  0.063 0.536  0.139 0.814  0.215 1.092  0.290 1.370  0.366 1.648  0.384 1.490  0.384 1.202  0.384 0.913  0.410 0.636  0.534 0.399  0.534 0.111  0.597 -0.151  0.684 -0.404  0.686 -0.691  0.834 -0.918  0.834 -1.206  0.798 -1.396  0.614 -1.174  0.429 -0.953  0.244 -0.732  0.060 -0.510  -0.125 -0.289  -0.309 -0.067  -0.494 0.154  -0.648 0.362  -0.360 0.362  -0.072 0.362  0.217 0.362  0.437 0.185  0.696 0.062  0.984 0.062
3#apa#apa13#app1313/I  0.498 0.978  0.498 0.960  0.498 0.743  0.498 0.527  0.498 0.310  0.498 0.093  0.498 -0.124  0.498 -0.341  0.498 -0.557  0.557 -0.716  0.422 -0.716  0.205 -0.716  -0.012 -0.716  -0.229 -0.716  -0.445 -0.716  -0.662 -0.716  -0.715 -0.716  -0.598 -0.815  -0.404 -0.912  -0.220 -0.994  -0.012 -1.014  0.183 -1.106  0.398 -1.114  0.615 -1.114  0.832 -1.114  0.789 -1.006  0.636 -0.853  0.482 -0.700  0.329 -0.547  0.176 -0.393  0.022 -0.240  -0.131 -0.087  -0.284 0.067  -0.437 0.220  -0.591 0.373  -0.744 0.527  -0.897 0.680  -1.051 0.833  -1.204 0.986  -1.207 1.077  -0.990 1.077  -0.773 1.077  -0.556 1.077  -0.340 1.077  -0.123 1.077  0.094 1.077  0.311 1.077  0.490 0.986  0.703 0.975  0.897 0.878
3#apa#apa13#app1313/J  0.082 0.349  0.178 0.232  0.178 0.075  0.226 -0.033  0.322 -0.131  0.369 -0.276  0.449 -0.400  0.504 -0.510  0.563 -0.609  0.655 -0.728  0.655 -0.885  0.601 -0.987  0.540 -1.083  0.384 -1.083  0.227 -1.083  0.071 -1.083  -0.086 -1.083  -0.243 -1.083  -0.370 -1.012  -0.480 -0.901  -0.619 -0.858  -0.697 -0.729  -0.733 -0.577  -0.768 -0.424  -0.804 -0.272  -0.840 -0.120  -0.876 0.033  -0.912 0.185  -0.948 0.337  -0.984 0.490  -1.019 0.642  -1.055 0.795  -0.975 0.738  -0.861 0.635  -0.704 0.635  -0.548 0.635  -0.391 0.635  -0.235 0.635  -0.078 0.635  0.078 0.635  0.235 0.635  0.379 0.688  0.525 0.730  0.682 0.730  0.836 0.752  0.988 0.790  1.140 0.826  1.296 0.826  1.453 0.826  1.609 0.826
3#apa#apa13#app1313/K  -0.664 1.687  -0.664 1.470  -0.664 1.252  -0.640 1.045  -0.510 0.881  -0.510 0.663  -0.510 0.446  -0.479 0.235  -0.382 0.040  -0.355 -0.171  -0.309 -0.369  -0.200 -0.542  -0.110 -0.722  -0.046 -0.913  -0.046 -1.131  0.052 -1.251  0.109 -1.090  0.109 -0.872  0.109 -0.655  0.109 -0.437  0.109 -0.219  0.109 -0.002  0.109 0.216  0.109 0.434  0.109 0.651  0.109 0.869  -0.058 0.902  -0.217 0.760  -0.411 0.703  -0.588 0.605  -0.764 0.505  -0.819 0.310  -0.973 0.247  -0.973 0.029  -0.819 -0.034  -0.736 -0.168  -0.561 -0.272  -0.364 -0.323  -0.147 -0.323  0.071 -0.323  0.289 -0.323  0.506 -0.323  0.724 -0.323  0.942 -0.323  1.159 -0.323  1.323 -0.454  1.530 -0.477  1.748 -0.477  1.965 -0.478  2.119 -0.632
