2#apb#apb38#app3831/A  -0.829 -1.350  -0.891 -1.219  -0.897 -1.020  -0.851 -0.824  -0.775 -0.635  -0.729 -0.437  -0.677 -0.241  -0.592 -0.056  -0.518 0.132  -0.487 0.333  -0.433 0.527  -0.348 0.712  -0.293 0.905  -0.261 1.106  -0.203 1.300  -0.126 1.489  -0.037 1.672  0.052 1.761  0.139 1.599  0.148 1.396  0.188 1.197  0.231 0.998  0.296 0.805  0.360 0.612  0.375 0.409  0.399 0.208  0.448 0.011  0.498 -0.187  0.523 -0.389  0.548 -0.590  0.585 -0.790  0.609 -0.992  0.609 -1.195  0.642 -1.394  0.628 -1.376  0.506 -1.213  0.384 -1.051  0.262 -0.888  0.140 -0.725  0.018 -0.563  -0.104 -0.400  -0.226 -0.237  -0.348 -0.074  -0.441 0.048  -0.259 0.088  -0.056 0.088  0.147 0.098  0.349 0.121  0.551 0.143  0.747 0.088
2#apb#apb38#app3831/B  -0.271 1.027  -0.311 0.828  -0.291 0.625  -0.277 0.422  -0.248 0.221  -0.211 0.021  -0.189 -0.181  -0.170 -0.384  -0.170 -0.588  -0.170 -0.791  -0.170 -0.995  -0.190 -1.197  -0.241 -1.168  -0.287 -0.971  -0.373 -0.787  -0.450 -0.598  -0.503 -0.403  -0.530 -0.201  -0.546 0.002  -0.559 0.205  -0.572 0.408  -0.517 0.603  -0.457 0.798  -0.384 0.986  -0.267 1.152  -0.130 1.304  0.018 1.443  0.195 1.536  0.396 1.548  0.550 1.427  0.620 1.237  0.648 1.037  0.601 0.840  0.499 0.665  0.361 0.516  0.209 0.380  0.094 0.279  0.248 0.146  0.388 -0.001  0.499 -0.168  0.570 -0.359  0.606 -0.558  0.604 -0.761  0.569 -0.960  0.508 -1.154  0.414 -1.332  0.259 -1.452  0.066 -1.516  -0.126 -1.584  -0.311 -1.548
2#apb#apb38#app3831/C  0.616 1.477  0.593 1.506  0.533 1.461  0.476 1.412  0.420 1.363  0.363 1.314  0.316 1.256  0.275 1.194  0.233 1.132  0.192 1.070  0.151 1.007  0.116 0.941  0.080 0.875  0.045 0.809  0.009 0.743  -0.023 0.676  -0.055 0.608  -0.086 0.540  -0.117 0.472  -0.145 0.403  -0.166 0.331  -0.187 0.259  -0.207 0.187  -0.228 0.115  -0.249 0.044  -0.271 -0.028  -0.293 -0.099  -0.315 -0.171  -0.318 -0.244  -0.313 -0.319  -0.307 -0.394  -0.301 -0.468  -0.294 -0.543  -0.287 -0.617  -0.279 -0.692  -0.257 -0.762  -0.227 -0.831  -0.197 -0.899  -0.176 -0.970  -0.161 -1.044  -0.147 -1.117  -0.113 -1.180  -0.060 -1.233  -0.007 -1.286  0.057 -1.324  0.122 -1.360  0.188 -1.397  0.260 -1.406  0.335 -1.406  0.410 -1.406
2#apb#apb38#app3831/D  -0.263 0.892  -0.292 0.713  -0.316 0.531  -0.336 0.348  -0.355 0.165  -0.358 -0.018  -0.358 -0.202  -0.370 -0.386  -0.382 -0.569  -0.382 -0.753  -0.382 -0.936  -0.382 -1.120  -0.390 -1.301  -0.358 -1.264  -0.372 -1.081  -0.375 -0.898  -0.356 -0.715  -0.337 -0.533  -0.334 -0.349  -0.336 -0.165  -0.370 0.015  -0.404 0.196  -0.445 0.375  -0.483 0.555  -0.511 0.736  -0.548 0.916  -0.572 1.097  -0.541 1.271  -0.439 1.424  -0.263 1.430  -0.090 1.381  0.062 1.280  0.192 1.150  0.329 1.026  0.459 0.898  0.574 0.755  0.671 0.599  0.758 0.438  0.847 0.277  0.907 0.107  0.922 -0.076  0.925 -0.260  0.912 -0.443  0.889 -0.625  0.828 -0.793  0.723 -0.943  0.621 -1.096  0.501 -1.234  0.364 -1.356  0.212 -1.459
2#apb#apb38#app3831/E  0.636 1.595  0.532 1.616  0.391 1.602  0.252 1.571  0.110 1.557  -0.022 1.507  -0.157 1.461  -0.239 1.360  -0.356 1.287  -0.351 1.156  -0.326 1.015  -0.288 0.878  -0.271 0.737  -0.246 0.598  -0.238 0.456  -0.201 0.319  -0.184 0.177  -0.198 0.035  -0.212 -0.107  -0.226 -0.249  -0.238 -0.391  -0.251 -0.534  -0.265 -0.676  -0.322 -0.805  -0.372 -0.936  -0.372 -1.079  -0.372 -1.222  -0.316 -1.330  -0.183 -1.352  -0.050 -1.300  0.078 -1.238  0.217 -1.203  0.353 -1.160  0.464 -1.072  0.597 -1.030  0.644 -0.960  0.563 -0.843  0.482 -0.726  0.400 -0.608  0.319 -0.491  0.238 -0.374  0.156 -0.256  0.075 -0.139  -0.007 -0.022  -0.088 0.096  -0.169 0.213  -0.191 0.305  -0.062 0.245  0.071 0.196  0.195 0.125
2#apb#apb38#app3831/F  0.029 -1.880  0.023 -1.880  -0.020 -1.787  -0.052 -1.657  -0.104 -1.531  -0.147 -1.401  -0.190 -1.271  -0.231 -1.141  -0.271 -1.010  -0.310 -0.880  -0.347 -0.748  -0.385 -0.617  -0.407 -0.482  -0.424 -0.347  -0.441 -0.211  -0.460 -0.076  -0.479 0.059  -0.496 0.195  -0.506 0.331  -0.517 0.467  -0.493 0.601  -0.464 0.734  -0.444 0.869  -0.444 1.006  -0.394 1.093  -0.274 1.122  -0.140 1.124  -0.004 1.107  0.132 1.107  0.260 1.062  0.390 1.032  0.527 1.032  0.662 1.027  0.786 0.971  0.891 0.920  0.809 0.811  0.727 0.701  0.645 0.592  0.563 0.483  0.481 0.374  0.399 0.264  0.317 0.155  0.235 0.046  0.153 -0.063  0.071 -0.173  -0.011 -0.282  -0.087 -0.370  0.018 -0.456  0.142 -0.511  0.278 -0.511
2#apb#apb38#app3831/G  0.959 1.441  0.852 1.500  0.698 1.525  0.553 1.501  0.416 1.426  0.279 1.351  0.141 1.277  0.012 1.190  -0.111 1.094  -0.236 1.000  -0.351 0.897  -0.440 0.769  -0.517 0.634  -0.573 0.489  -0.630 0.343  -0.688 0.198  -0.746 0.053  -0.792 -0.096  -0.833 -0.247  -0.847 -0.402  -0.859 -0.558  -0.829 -0.711  -0.768 -0.851  -0.671 -0.972  -0.541 -1.058  -0.395 -1.113  -0.250 -1.172  -0.107 -1.170  0.035 -1.106  0.185 -1.086  0.303 -0.985  0.346 -0.840  0.353 -0.684  0.283 -0.551  0.221 -0.408  0.144 -0.273  0.007 -0.206  -0.142 -0.159  -0.294 -0.138  -0.240 -0.113  -0.084 -0.111  0.073 -0.111  0.229 -0.111  0.385 -0.111  0.539 -0.136  0.693 -0.163  0.846 -0.188  0.992 -0.232  1.125 -0.302  1.274 -0.329
2#apb#apb38#app3831/H  -0.618 1.209  -0.531 1.012  -0.489 0.797  -0.489 0.577  -0.482 0.358  -0.469 0.138  -0.468 -0.081  -0.470 -0.301  -0.481 -0.520  -0.508 -0.737  -0.574 -0.947  -0.625 -1.159  -0.647 -1.378  -0.685 -1.593  -0.694 -1.652  -0.609 -1.450  -0.524 -1.247  -0.439 -1.044  -0.354 -0.842  -0.269 -0.639  -0.184 -0.436  -0.100 -0.233  -0.015 -0.031  0.070 0.172  0.155 0.375  0.240 0.577  0.325 0.780  0.410 0.983  0.494 1.185  0.579 1.388  0.664 1.591  0.711 1.646  0.676 1.430  0.655 1.211  0.639 0.992  0.627 0.773  0.638 0.553  0.647 0.334  0.647 0.114  0.640 -0.105  0.628 -0.325  0.579 -0.538  0.474 -0.638  0.285 -0.526  0.096 -0.415  -0.093 -0.303  -0.283 -0.192  -0.124 -0.219  0.064 -0.331  0.282 -0.312
2#apb#apb38#app3831/I  -0.030 0.993  -0.030 0.777  -0.030 0.562  -0.030 0.346  -0.038 0.131  -0.054 -0.084  -0.022 -0.297  -0.014 -0.510  -0.030 -0.725  -0.030 -0.941  -0.074 -0.910  -0.147 -0.708  -0.221 -0.505  -0.295 -0.303  -0.369 -0.100  -0.443 0.102  -0.516 0.304  -0.590 0.507  -0.664 0.709  -0.738 0.911  -0.683 0.993  -0.468 1.003  -0.256 1.040  -0.048 1.091  0.167 1.106  0.379 1.141  0.589 1.188  0.802 1.223  1.007 1.288  0.967 1.164  0.856 0.979  0.744 0.795  0.633 0.611  0.521 0.426  0.409 0.242  0.298 0.058  0.186 -0.126  0.075 -0.311  -0.037 -0.495  -0.148 -0.679  -0.260 -0.864  -0.371 -1.048  -0.483 -1.232  -0.594 -1.416  -0.524 -1.414  -0.309 -1.414  -0.093 -1.414  0.122 -1.414  0.337 -1.413  0.548 -1.366
2#apb#apb38#app3831/J  -0.471 -1.313  -0.484 -1.416  -0.473 -1.517  -0.432 -1.589  -0.331 -1.586  -0.240 -1.540  -0.154 -1.482  -0.068 -1.425  -0.002 -1.352  0.032 -1.254  0.066 -1.156  0.100 -1.058  0.135 -0.960  0.166 -0.862  0.197 -0.763  0.228 -0.664  0.253 -0.564  0.260 -0.461  0.266 -0.357  0.268 -0.254  0.262 -0.151  0.256 -0.047  0.251 0.056  0.251 0.160  0.251 0.263  0.242 0.365  0.203 0.461  0.165 0.557  0.126 0.653  0.081 0.746  0.021 0.830  -0.016 0.925  -0.073 0.992  -0.176 1.005  -0.278 1.024  -0.374 1.008  -0.453 0.949  -0.528 0.894  -0.477 0.847  -0.398 0.781  -0.296 0.778  -0.198 0.800  -0.105 0.847  -0.011 0.888  0.088 0.911  0.192 0.911  0.285 0.952  0.373 1.005  0.460 1.062  0.556 1.101
2#apb#apb38#app3831/K  -0.355 2.194  -0.355 2.074  -0.355 1.897  -0.334 1.723  -0.307 1.548  -0.300 1.373  -0.300 1.196  -0.300 1.020  -0.300 0.844  -0.300 0.668  -0.300 0.491  -0.300 0.315  -0.300 0.139  -0.300 -0.037  -0.300 -0.214  -0.300 -0.390  -0.300 -0.566  -0.300 -0.743  -0.300 -0.919  -0.297 -1.095  -0.286 -1.271  -0.275 -1.447  -0.249 -1.382  -0.215 -1.209  -0.181 -1.036  -0.148 -0.863  -0.114 -0.690  -0.081 -0.517  -0.056 -0.379  0.012 -0.216  0.120 -0.077  0.229 0.061  0.337 0.200  0.446 0.339  0.562 0.472  0.687 0.596  0.699 0.614  0.568 0.495  0.438 0.376  0.307 0.258  0.177 0.139  0.132 -0.022  0.124 -0.197  0.167 -0.368  0.222 -0.533  0.320 -0.680  0.414 -0.829  0.505 -0.980  0.612 -1.119  0.728 -1.252
