1b#app#app13#app1316/Z  -0.810 1.252  -0.964 1.252  -1.006 1.139  -0.934 1.056  -0.780 1.056  -0.626 1.056  -0.471 1.056  -0.317 1.056  -0.163 1.056  -0.009 1.056  0.145 1.056  0.260 0.963  0.373 0.861  0.527 0.861  0.681 0.861  0.753 0.779  0.753 0.625  0.753 0.471  0.753 0.317  0.641 0.275  0.558 0.204  0.528 0.079  0.374 0.079  0.362 -0.063  0.261 -0.116  0.106 -0.116  -0.029 -0.135  -0.029 -0.289  -0.161 -0.311  -0.288 -0.376  -0.397 -0.485  -0.542 -0.507  -0.672 -0.564  -0.781 -0.673  -0.810 -0.816  -0.738 -0.898  -0.584 -0.898  -0.430 -0.898  -0.419 -1.041  -0.317 -1.093  -0.163 -1.093  -0.014 -1.079  0.095 -0.970  0.219 -0.898  0.373 -0.898  0.527 -0.898  0.681 -0.898  0.835 -0.898  0.948 -0.856  0.948 -0.702
1b#app#app13#app1316/A  -0.750 0.891  -0.750 0.622  -0.750 0.353  -0.810 0.098  -0.930 -0.142  -0.974 -0.400  -0.974 -0.669  -0.974 -0.938  -0.974 -1.207  -0.974 -1.226  -0.855 -1.007  -0.750 -0.782  -0.633 -0.561  -0.526 -0.337  -0.475 -0.077  -0.390 0.178  -0.305 0.433  -0.078 0.478  -0.021 0.723  0.146 0.922  0.200 1.169  0.371 1.367  0.443 1.563  0.595 1.446  0.709 1.224  0.819 1.001  0.819 0.732  0.819 0.464  0.819 0.195  0.788 -0.067  0.668 -0.307  0.595 -0.559  0.595 -0.827  0.595 -1.096  0.609 -1.351  0.819 -1.292  0.752 -1.048  0.577 -0.844  0.402 -0.640  0.227 -0.436  0.052 -0.232  -0.123 -0.028  -0.298 0.176  -0.473 0.380  -0.394 0.310  -0.163 0.218  0.105 0.218  0.374 0.218  0.629 0.252  0.819 0.442
1b#app#app13#app1316/P  -0.829 0.602  -0.706 0.479  -0.601 0.348  -0.601 0.174  -0.601 -0.000  -0.601 -0.174  -0.601 -0.348  -0.601 -0.523  -0.601 -0.697  -0.601 -0.871  -0.601 -1.045  -0.601 -1.219  -0.601 -1.393  -0.601 -1.567  -0.582 -1.617  -0.531 -1.450  -0.480 -1.284  -0.428 -1.117  -0.377 -0.951  -0.326 -0.784  -0.275 -0.618  -0.224 -0.452  -0.172 -0.285  -0.121 -0.119  -0.070 0.048  -0.019 0.214  0.032 0.381  0.084 0.547  0.135 0.713  0.186 0.880  0.237 1.046  0.288 1.213  0.409 1.286  0.583 1.286  0.757 1.286  0.767 1.122  0.877 1.058  0.995 1.001  0.995 0.827  0.995 0.653  0.995 0.479  0.926 0.374  0.767 0.359  0.767 0.185  0.631 0.146  0.481 0.088  0.358 -0.035  0.203 -0.082  0.029 -0.082  -0.145 -0.082
1b#app#app13#app1316/K  -0.379 1.550  -0.404 1.350  -0.580 1.300  -0.580 1.075  -0.580 0.849  -0.580 0.624  -0.580 0.399  -0.580 0.173  -0.580 -0.052  -0.737 -0.212  -0.780 -0.420  -0.780 -0.645  -0.780 -0.871  -0.819 -1.058  -0.981 -0.995  -0.893 -0.857  -0.710 -0.769  -0.569 -0.593  -0.429 -0.417  -0.288 -0.241  -0.147 -0.065  -0.006 0.111  0.135 0.287  0.275 0.463  0.416 0.639  0.557 0.815  0.698 0.991  0.825 1.126  0.777 0.948  0.624 0.876  0.527 0.748  0.302 0.748  0.223 0.601  0.051 0.547  0.022 0.351  0.002 0.146  -0.179 0.101  -0.179 -0.124  -0.179 -0.350  -0.059 -0.456  0.022 -0.600  0.191 -0.657  0.416 -0.657  0.441 -0.857  0.654 -0.887  0.813 -1.046  1.034 -1.058  1.259 -1.058  1.468 -1.016  1.627 -0.857
1b#app#app13#app1316/A  -0.600 0.316  -0.600 0.058  -0.600 -0.201  -0.600 -0.459  -0.600 -0.718  -0.600 -0.976  -0.731 -1.104  -0.803 -1.290  -0.764 -1.104  -0.600 -1.009  -0.600 -0.750  -0.455 -0.552  -0.397 -0.317  -0.293 -0.084  -0.195 0.151  -0.195 0.410  -0.089 0.625  0.062 0.830  0.178 1.061  0.211 1.312  0.381 1.500  0.420 1.742  0.603 1.925  0.617 1.700  0.617 1.442  0.617 1.183  0.473 0.984  0.414 0.750  0.414 0.492  0.414 0.234  0.414 -0.025  0.414 -0.283  0.381 -0.528  0.211 -0.716  0.211 -0.975  0.211 -1.233  0.211 -1.491  0.249 -1.306  0.414 -1.213  0.414 -0.955  0.312 -0.723  0.184 -0.499  0.056 -0.274  -0.072 -0.050  -0.201 0.174  -0.329 0.399  -0.277 0.519  -0.070 0.395  0.155 0.316  0.414 0.316
1b#app#app13#app1316/P  -0.468 1.491  -0.468 1.335  -0.468 1.179  -0.468 1.024  -0.468 0.868  -0.468 0.712  -0.468 0.556  -0.468 0.400  -0.468 0.245  -0.468 0.089  -0.468 -0.067  -0.504 -0.214  -0.574 -0.354  -0.643 -0.493  -0.713 -0.632  -0.740 -0.782  -0.740 -0.938  -0.740 -1.093  -0.740 -1.249  -0.740 -1.405  -0.704 -1.457  -0.609 -1.334  -0.513 -1.211  -0.417 -1.088  -0.322 -0.965  -0.226 -0.842  -0.130 -0.719  -0.035 -0.596  0.061 -0.473  0.157 -0.350  0.252 -0.227  0.348 -0.104  0.444 0.019  0.539 0.142  0.635 0.265  0.731 0.388  0.826 0.511  0.922 0.634  1.018 0.757  1.113 0.880  1.165 0.876  1.165 0.720  1.087 0.596  0.977 0.486  0.856 0.402  0.700 0.402  0.544 0.402  0.388 0.402  0.232 0.402  0.077 0.402
1b#app#app13#app1316/O  -0.063 1.203  -0.063 1.040  -0.210 1.025  -0.240 0.893  -0.358 0.848  -0.417 0.745  -0.480 0.608  -0.595 0.493  -0.595 0.331  -0.595 0.169  -0.654 0.020  -0.727 -0.125  -0.772 -0.277  -0.772 -0.440  -0.772 -0.602  -0.772 -0.764  -0.772 -0.927  -0.772 -1.089  -0.623 -1.103  -0.595 -1.237  -0.475 -1.280  -0.313 -1.280  -0.150 -1.280  -0.063 -1.205  -0.003 -1.103  0.115 -1.058  0.145 -0.925  0.292 -0.910  0.292 -0.748  0.455 -0.748  0.469 -0.600  0.469 -0.437  0.588 -0.393  0.647 -0.290  0.647 -0.127  0.647 0.035  0.647 0.198  0.678 0.347  0.793 0.462  0.824 0.611  0.824 0.774  0.736 0.848  0.647 0.922  0.588 1.025  0.469 1.069  0.440 1.203  0.282 1.193  0.167 1.078  0.052 0.963  -0.063 0.848
1b#app#app13#app1316/W  -1.280 1.100  -1.130 1.100  -1.110 0.972  -1.110 0.823  -1.023 0.760  -0.939 0.695  -0.939 0.546  -0.939 0.396  -0.939 0.247  -0.939 0.098  -0.939 -0.051  -0.939 -0.200  -0.939 -0.349  -0.939 -0.499  -0.893 -0.601  -0.751 -0.583  -0.645 -0.477  -0.540 -0.372  -0.435 -0.266  -0.329 -0.161  -0.224 -0.055  -0.118 0.050  -0.089 0.187  -0.002 0.250  0.081 0.184  0.081 0.035  0.098 -0.107  0.204 -0.213  0.251 -0.342  0.251 -0.491  0.251 -0.641  0.251 -0.790  0.251 -0.939  0.398 -0.941  0.511 -0.852  0.592 -0.736  0.601 -0.591  0.707 -0.486  0.812 -0.380  0.918 -0.275  0.932 -0.132  0.932 0.018  0.994 0.141  1.099 0.247  1.102 0.395  1.226 0.420  1.318 0.512  1.385 0.645  1.442 0.781  1.442 0.930
1b#app#app13#app1316/K  -0.368 1.785  -0.368 1.564  -0.368 1.344  -0.368 1.124  -0.368 0.903  -0.368 0.683  -0.368 0.462  -0.368 0.242  -0.368 0.021  -0.446 -0.166  -0.576 -0.333  -0.576 -0.554  -0.576 -0.774  -0.628 -0.973  -0.784 -1.129  -0.772 -1.337  -0.565 -1.314  -0.466 -1.117  -0.368 -0.920  -0.269 -0.723  -0.171 -0.526  -0.072 -0.329  0.026 -0.132  0.125 0.066  0.224 0.263  0.322 0.460  0.421 0.657  0.519 0.854  0.618 1.051  0.771 1.160  0.881 1.050  0.758 0.952  0.537 0.952  0.317 0.952  0.256 0.792  0.084 0.744  0.048 0.560  -0.091 0.397  -0.160 0.205  -0.160 -0.015  -0.055 -0.192  0.048 -0.370  0.109 -0.565  0.256 -0.725  0.281 -0.920  0.464 -0.957  0.514 -1.128  0.716 -1.172  0.872 -1.328  0.881 -1.545
1b#app#app13#app1316/E  0.504 1.005  0.501 1.183  0.319 1.183  0.138 1.183  -0.039 1.193  -0.168 1.321  -0.332 1.361  -0.385 1.233  -0.385 1.051  -0.385 0.870  -0.385 0.689  -0.528 0.650  -0.563 0.504  -0.563 0.322  -0.563 0.141  -0.563 -0.040  -0.563 -0.222  -0.726 -0.240  -0.741 -0.406  -0.741 -0.588  -0.741 -0.769  -0.741 -0.951  -0.739 -1.130  -0.563 -1.135  -0.554 -1.307  -0.373 -1.307  -0.191 -1.307  -0.016 -1.294  0.113 -1.165  0.279 -1.130  0.421 -1.035  0.568 -0.952  0.750 -0.952  0.826 -0.890  0.738 -0.731  0.649 -0.573  0.561 -0.414  0.473 -0.255  0.385 -0.097  0.297 0.062  0.209 0.220  0.121 0.379  0.033 0.537  0.023 0.650  0.205 0.650  0.369 0.607  0.497 0.479  0.675 0.472  0.857 0.472  1.038 0.472
1b#app#app13#app1316/R  -0.556 0.731  -0.556 0.519  -0.556 0.306  -0.556 0.094  -0.556 -0.118  -0.556 -0.330  -0.556 -0.543  -0.556 -0.755  -0.676 -0.847  -0.732 -1.004  -0.732 -0.829  -0.693 -0.633  -0.556 -0.477  -0.556 -0.265  -0.556 -0.052  -0.464 0.122  -0.381 0.299  -0.288 0.473  -0.206 0.651  -0.206 0.864  -0.086 1.026  -0.030 1.216  0.140 1.257  0.177 1.432  0.390 1.432  0.496 1.326  0.639 1.257  0.671 1.077  0.701 0.877  0.847 0.725  0.847 0.513  0.767 0.380  0.671 0.264  0.518 0.205  0.361 0.339  0.166 0.380  0.129 0.205  -0.030 0.152  -0.030 -0.060  -0.030 -0.273  -0.030 -0.485  -0.030 -0.697  -0.030 -0.910  0.040 -1.093  0.145 -1.262  0.245 -1.373  0.418 -1.471  0.597 -1.549  0.810 -1.549  1.022 -1.549
