3#apa#apa01#app0162/[  0.542 1.083  0.542 0.985  0.625 0.970  0.655 1.037  0.603 1.083  0.505 1.083  0.408 1.083  0.310 1.083  0.212 1.083  0.115 1.083  0.017 1.083  -0.080 1.083  -0.178 1.083  -0.247 1.054  -0.260 0.970  -0.358 0.970  -0.360 0.874  -0.360 0.777  -0.360 0.679  -0.360 0.582  -0.360 0.484  -0.360 0.386  -0.360 0.289  -0.360 0.191  -0.360 0.094  -0.360 -0.004  -0.360 -0.101  -0.360 -0.199  -0.360 -0.297  -0.360 -0.394  -0.360 -0.492  -0.360 -0.589  -0.360 -0.687  -0.360 -0.785  -0.360 -0.882  -0.326 -0.946  -0.247 -0.965  -0.244 -1.059  -0.146 -1.059  -0.049 -1.059  0.028 -1.109  0.100 -1.172  0.197 -1.172  0.295 -1.172  0.392 -1.172  0.490 -1.172  0.588 -1.172  0.685 -1.172  0.783 -1.172  0.880 -1.172
3#apa#apa01#app0162/O  -0.685 0.789  -0.822 0.789  -0.959 0.789  -0.967 0.659  -0.967 0.522  -0.967 0.386  -0.967 0.249  -1.080 0.226  -1.107 0.116  -1.107 -0.021  -1.005 -0.056  -0.967 -0.154  -0.967 -0.291  -0.876 -0.337  -0.826 -0.424  -0.743 -0.478  -0.685 -0.557  -0.610 -0.619  -0.494 -0.669  -0.395 -0.760  -0.258 -0.760  -0.121 -0.760  0.016 -0.760  0.019 -0.894  0.149 -0.900  0.249 -0.811  0.365 -0.760  0.501 -0.760  0.581 -0.703  0.634 -0.619  0.722 -0.570  0.768 -0.478  0.863 -0.437  0.890 -0.311  0.986 -0.214  1.004 -0.084  1.004 0.053  1.004 0.189  1.004 0.326  1.004 0.463  1.004 0.600  0.941 0.711  0.863 0.816  0.840 0.929  0.703 0.929  0.566 0.929  0.429 0.929  0.292 0.929  0.155 0.929  0.019 0.929
3#apa#apa01#app0162/R  -0.512 0.760  -0.371 0.584  -0.371 0.350  -0.371 0.116  -0.371 -0.118  -0.371 -0.352  -0.292 -0.507  -0.230 -0.679  -0.230 -0.913  -0.154 -1.070  -0.060 -1.211  -0.015 -1.109  -0.141 -0.912  -0.268 -0.715  -0.394 -0.518  -0.521 -0.321  -0.647 -0.124  -0.774 0.073  -0.900 0.269  -1.027 0.466  -1.153 0.663  -1.097 0.760  -1.004 0.901  -0.770 0.901  -0.652 1.018  -0.463 1.091  -0.267 1.182  -0.033 1.182  0.201 1.182  0.435 1.182  0.612 1.044  0.704 0.901  0.756 0.718  0.756 0.484  0.756 0.250  0.628 0.069  0.421 0.003  0.224 -0.085  0.048 -0.226  -0.158 -0.294  -0.098 -0.366  0.136 -0.366  0.359 -0.392  0.545 -0.507  0.731 -0.624  0.938 -0.689  1.121 -0.831  1.319 -0.942  1.425 -1.070  1.600 -1.211
3#apa#apa01#app0162/E  -0.411 1.251  -0.224 1.251  -0.038 1.251  0.149 1.251  0.336 1.251  0.522 1.251  0.709 1.251  0.774 1.239  0.591 1.203  0.408 1.166  0.225 1.129  0.042 1.093  -0.141 1.056  -0.324 1.020  -0.411 0.904  -0.375 0.753  -0.286 0.656  -0.286 0.469  -0.286 0.283  -0.399 0.143  -0.411 -0.039  -0.411 -0.226  -0.411 -0.412  -0.411 -0.599  -0.530 -0.736  -0.535 -0.921  -0.535 -1.107  -0.480 -1.239  -0.411 -1.122  -0.232 -1.114  -0.045 -1.114  0.142 -1.114  0.328 -1.114  0.515 -1.114  0.701 -1.114  0.888 -1.114  0.866 -1.045  0.717 -0.933  0.568 -0.821  0.418 -0.709  0.269 -0.597  0.120 -0.485  -0.030 -0.373  -0.179 -0.261  -0.328 -0.149  -0.477 -0.037  -0.421 0.006  -0.250 -0.031  -0.099 -0.118  0.087 -0.118
3#apa#apa01#app0162/L  -0.412 1.688  -0.412 1.597  -0.412 1.505  -0.412 1.413  -0.412 1.321  -0.412 1.229  -0.412 1.138  -0.412 1.046  -0.412 0.954  -0.412 0.862  -0.412 0.770  -0.412 0.679  -0.412 0.587  -0.412 0.495  -0.412 0.403  -0.412 0.311  -0.412 0.220  -0.471 0.152  -0.536 0.087  -0.576 0.012  -0.576 -0.080  -0.576 -0.172  -0.576 -0.263  -0.576 -0.355  -0.576 -0.447  -0.576 -0.539  -0.554 -0.609  -0.462 -0.609  -0.371 -0.609  -0.279 -0.609  -0.187 -0.609  -0.095 -0.609  -0.003 -0.609  0.088 -0.609  0.180 -0.609  0.272 -0.609  0.364 -0.609  0.456 -0.609  0.547 -0.609  0.639 -0.609  0.731 -0.609  0.823 -0.609  0.915 -0.609  1.006 -0.609  1.098 -0.609  1.190 -0.609  1.282 -0.609  1.374 -0.609  1.465 -0.609  1.557 -0.609
3#apa#apa01#app0162/S  0.324 1.226  0.227 1.129  0.109 1.083  -0.028 1.083  -0.148 1.040  -0.245 0.943  -0.380 0.940  -0.517 0.940  -0.619 0.855  -0.732 0.797  -0.855 0.762  -0.952 0.665  -1.084 0.654  -1.106 0.539  -0.998 0.511  -0.963 0.408  -0.866 0.368  -0.729 0.368  -0.592 0.368  -0.455 0.368  -0.318 0.368  -0.181 0.368  -0.044 0.368  0.093 0.368  0.215 0.333  0.312 0.236  0.445 0.225  0.467 0.109  0.544 0.004  0.641 -0.093  0.738 -0.189  0.869 -0.204  0.895 -0.314  0.895 -0.451  0.895 -0.589  0.895 -0.726  0.895 -0.863  0.815 -0.919  0.752 -0.994  0.684 -1.062  0.565 -1.107  0.468 -1.203  0.332 -1.205  0.195 -1.205  0.071 -1.150  -0.052 -1.089  -0.183 -1.062  -0.320 -1.062  -0.438 -1.016  -0.534 -0.919
3#apa#apa01#app0162/E  -0.507 1.129  -0.360 0.989  -0.155 0.989  0.050 0.989  0.255 0.989  0.460 0.989  0.665 0.989  0.758 1.101  0.586 1.086  0.387 1.037  0.188 0.987  -0.011 0.937  -0.210 0.887  -0.409 0.838  -0.608 0.788  -0.807 0.738  -0.929 0.628  -0.929 0.423  -0.929 0.218  -0.929 0.013  -0.790 -0.135  -0.789 -0.339  -0.789 -0.545  -0.789 -0.750  -0.789 -0.955  -0.608 -0.980  -0.403 -0.980  -0.198 -0.980  0.007 -0.980  0.213 -0.980  0.418 -0.980  0.623 -0.980  0.828 -0.980  1.033 -0.980  1.180 -0.921  1.303 -0.839  1.139 -0.815  0.962 -0.712  0.785 -0.608  0.607 -0.505  0.430 -0.402  0.253 -0.298  0.076 -0.195  -0.102 -0.092  -0.279 0.012  -0.456 0.115  -0.404 0.042  -0.215 0.005  -0.010 0.005  0.196 0.005
3#apa#apa01#app0162/{  0.658 1.538  0.531 1.538  0.420 1.501  0.320 1.438  0.257 1.374  0.167 1.338  0.074 1.255  -0.044 1.236  -0.071 1.137  -0.144 1.083  -0.144 0.956  -0.044 0.930  -0.044 0.803  -0.044 0.677  -0.044 0.550  -0.123 0.456  -0.144 0.338  -0.267 0.335  -0.344 0.286  -0.420 0.235  -0.545 0.233  -0.573 0.135  -0.590 0.135  -0.463 0.135  -0.368 0.059  -0.252 0.035  -0.144 0.016  -0.099 -0.066  -0.044 -0.137  -0.044 -0.264  -0.144 -0.290  -0.144 -0.417  -0.221 -0.466  -0.246 -0.569  -0.336 -0.658  -0.344 -0.781  -0.344 -0.908  -0.277 -0.968  -0.244 -1.061  -0.130 -1.082  -0.039 -1.168  0.088 -1.168  0.214 -1.168  0.341 -1.168  0.464 -1.175  0.554 -1.264  0.679 -1.268  0.806 -1.268  0.932 -1.268  0.959 -1.168
3#apa#apa01#app0162/y  -1.264 1.036  -1.099 1.036  -1.054 0.915  -0.978 0.826  -0.843 0.794  -0.843 0.629  -0.707 0.547  -0.559 0.473  -0.423 0.392  -0.423 0.226  -0.327 0.100  -0.210 -0.017  -0.093 -0.135  -0.002 -0.262  -0.002 -0.428  0.156 -0.437  0.209 -0.324  0.227 -0.161  0.273 -0.001  0.318 0.158  0.364 0.317  0.410 0.477  0.455 0.636  0.501 0.795  0.546 0.955  0.592 1.114  0.630 1.219  0.630 1.054  0.630 0.888  0.526 0.826  0.419 0.767  0.419 0.601  0.419 0.436  0.419 0.270  0.355 0.131  0.238 0.014  0.209 -0.140  0.209 -0.306  0.209 -0.471  0.209 -0.637  0.098 -0.757  -0.002 -0.881  -0.002 -1.047  -0.002 -1.213  -0.002 -1.379  -0.041 -1.528  -0.158 -1.645  -0.212 -1.789  -0.212 -1.954  -0.212 -2.120
3#apa#apa01#app0162/o  -0.865 0.943  -0.865 0.806  -0.865 0.669  -0.865 0.532  -0.865 0.396  -0.865 0.259  -0.865 0.122  -0.865 -0.015  -0.865 -0.152  -0.865 -0.288  -0.865 -0.425  -0.862 -0.559  -0.725 -0.559  -0.651 -0.621  -0.651 -0.758  -0.565 -0.859  -0.468 -0.956  -0.345 -0.988  -0.208 -0.988  -0.071 -0.988  0.065 -0.988  0.202 -0.988  0.339 -0.988  0.422 -0.934  0.422 -0.797  0.535 -0.773  0.636 -0.738  0.636 -0.602  0.730 -0.559  0.851 -0.543  0.851 -0.406  0.851 -0.269  0.851 -0.132  0.851 0.005  0.851 0.141  0.851 0.278  0.851 0.415  0.824 0.540  0.727 0.637  0.628 0.728  0.491 0.728  0.422 0.795  0.422 0.932  0.333 1.032  0.236 1.129  0.111 1.157  -0.026 1.157  -0.163 1.157  -0.299 1.157  -0.436 1.157
3#apa#apa01#app0162/u  -1.151 1.281  -1.151 1.132  -1.151 0.982  -1.151 0.832  -1.151 0.682  -1.151 0.532  -1.151 0.382  -1.151 0.232  -1.148 0.085  -0.998 0.085  -0.951 -0.018  -0.951 -0.168  -0.951 -0.318  -0.951 -0.468  -0.847 -0.513  -0.752 -0.568  -0.747 -0.713  -0.597 -0.713  -0.447 -0.713  -0.297 -0.713  -0.147 -0.713  0.003 -0.713  0.046 -0.606  0.103 -0.513  0.245 -0.506  0.245 -0.356  0.353 -0.314  0.445 -0.255  0.445 -0.106  0.445 0.044  0.522 0.162  0.628 0.268  0.644 0.411  0.644 0.561  0.644 0.711  0.644 0.861  0.644 0.754  0.644 0.604  0.644 0.454  0.644 0.305  0.736 0.193  0.842 0.087  0.843 -0.062  0.941 -0.115  1.043 -0.163  1.043 -0.313  1.043 -0.463  1.142 -0.513  1.292 -0.513  1.442 -0.513
