2#apa#apa10#app1000/@  0.231 0.117  0.280 0.291  0.308 0.291  0.085 0.291  -0.135 0.282  -0.335 0.183  -0.466 0.041  -0.466 -0.182  -0.293 -0.231  -0.078 -0.205  0.108 -0.081  0.293 0.042  0.467 0.179  0.579 0.356  0.500 0.386  0.405 0.202  0.405 -0.021  0.405 -0.244  0.466 -0.406  0.689 -0.406  0.865 -0.294  1.023 -0.136  1.152 0.042  1.251 0.241  1.276 0.458  1.242 0.663  1.057 0.786  0.871 0.910  0.672 0.988  0.449 0.988  0.226 0.988  0.004 0.988  -0.219 0.988  -0.398 0.882  -0.556 0.724  -0.702 0.557  -0.836 0.379  -0.969 0.201  -1.103 0.022  -1.163 -0.181  -1.163 -0.403  -1.163 -0.626  -1.163 -0.849  -1.163 -1.072  -1.027 -1.238  -0.822 -1.305  -0.603 -1.341  -0.383 -1.378  -0.163 -1.414  0.057 -1.451
2#apa#apa10#app1000/1  0.243 1.030  0.243 1.186  0.243 1.154  0.243 0.997  0.243 0.841  0.243 0.685  0.243 0.529  0.243 0.373  0.243 0.216  0.243 0.060  0.234 -0.095  0.197 -0.246  0.159 -0.398  0.121 -0.550  0.083 -0.701  0.045 -0.853  0.002 -1.003  -0.048 -1.151  -0.097 -1.299  -0.146 -1.447  -0.194 -1.596  -0.194 -1.752  -0.179 -1.707  -0.157 -1.552  -0.135 -1.397  -0.113 -1.243  -0.091 -1.088  -0.069 -0.933  -0.047 -0.779  -0.025 -0.624  -0.003 -0.470  0.020 -0.315  0.042 -0.160  0.064 -0.006  0.086 0.149  0.108 0.303  0.130 0.458  0.152 0.613  0.174 0.767  0.196 0.922  0.218 1.077  0.240 1.231  0.103 1.248  -0.053 1.248  -0.207 1.241  -0.347 1.171  -0.487 1.101  -0.626 1.031  -0.738 0.922  -0.848 0.811
2#apa#apa10#app1000/2  -0.509 0.900  -0.587 0.977  -0.664 1.054  -0.742 1.132  -0.684 1.153  -0.575 1.153  -0.466 1.153  -0.356 1.153  -0.247 1.153  -0.137 1.153  -0.028 1.153  0.073 1.116  0.170 1.067  0.268 1.018  0.366 0.969  0.464 0.920  0.505 0.836  0.505 0.727  0.505 0.618  0.505 0.508  0.505 0.399  0.459 0.300  0.410 0.202  0.361 0.105  0.313 0.007  0.264 -0.091  0.193 -0.173  0.116 -0.251  0.039 -0.328  -0.039 -0.406  -0.116 -0.483  -0.193 -0.560  -0.271 -0.638  -0.348 -0.715  -0.426 -0.792  -0.503 -0.870  -0.509 -0.976  -0.509 -1.086  -0.444 -1.130  -0.335 -1.130  -0.226 -1.130  -0.116 -1.130  -0.007 -1.130  0.103 -1.130  0.212 -1.130  0.321 -1.130  0.431 -1.130  0.540 -1.130  0.650 -1.130  0.759 -1.130
2#apa#apa10#app1000/:  0.326 0.625  0.258 0.692  0.191 0.760  0.124 0.827  0.056 0.895  -0.011 0.962  -0.079 1.029  -0.158 1.069  -0.253 1.069  -0.348 1.069  -0.444 1.069  -0.539 1.069  -0.492 1.069  -0.396 1.069  -0.301 1.069  -0.206 1.069  -0.119 1.061  -0.119 0.966  -0.119 0.870  -0.119 0.775  -0.119 0.679  -0.111 0.585  -0.092 0.491  -0.073 0.398  -0.055 0.304  -0.036 0.211  -0.017 0.117  0.002 0.024  0.020 -0.070  0.039 -0.163  0.058 -0.257  0.076 -0.350  0.095 -0.444  0.114 -0.537  0.132 -0.631  0.151 -0.724  0.170 -0.818  0.189 -0.911  0.207 -1.005  0.226 -1.099  0.245 -1.192  0.263 -1.286  0.282 -1.379  0.301 -1.473  0.320 -1.566  0.263 -1.598  0.167 -1.598  0.072 -1.598  -0.023 -1.598  -0.119 -1.598
2#apa#apa10#app1000/3  -0.436 1.160  -0.436 1.273  -0.371 1.321  -0.259 1.321  -0.146 1.321  -0.034 1.321  0.079 1.321  0.191 1.321  0.276 1.253  0.355 1.173  0.368 1.066  0.368 0.953  0.368 0.841  0.277 0.777  0.183 0.715  0.089 0.652  -0.004 0.590  -0.098 0.527  -0.114 0.423  -0.159 0.356  -0.272 0.356  -0.275 0.247  -0.214 0.195  -0.108 0.184  -0.058 0.083  -0.008 -0.018  0.043 -0.118  0.139 -0.173  0.240 -0.223  0.341 -0.274  0.405 -0.360  0.455 -0.461  0.506 -0.562  0.529 -0.669  0.524 -0.780  0.474 -0.881  0.423 -0.982  0.373 -1.082  0.268 -1.112  0.158 -1.134  0.047 -1.156  -0.063 -1.178  -0.173 -1.200  -0.284 -1.222  -0.394 -1.244  -0.506 -1.252  -0.616 -1.243  -0.717 -1.192  -0.818 -1.142  -0.918 -1.092
2#apa#apa10#app1000/4  0.028 1.521  0.028 1.697  -0.052 1.681  -0.176 1.557  -0.212 1.396  -0.239 1.226  -0.318 1.069  -0.397 0.912  -0.475 0.754  -0.554 0.597  -0.633 0.439  -0.691 0.277  -0.691 0.101  -0.691 -0.075  -0.605 -0.198  -0.448 -0.277  -0.291 -0.355  -0.133 -0.434  0.024 -0.513  0.181 -0.591  0.347 -0.634  0.523 -0.634  0.699 -0.634  0.861 -0.577  1.019 -0.498  1.176 -0.420  1.153 -0.298  1.048 -0.158  0.942 -0.017  0.836 0.124  0.731 0.265  0.625 0.405  0.520 0.546  0.352 0.563  0.176 0.563  0.016 0.539  -0.063 0.381  -0.142 0.224  -0.212 0.064  -0.212 -0.112  -0.253 -0.281  -0.309 -0.448  -0.365 -0.614  -0.420 -0.781  -0.451 -0.952  -0.451 -1.128  -0.451 -1.304  -0.451 -1.480  -0.451 -1.656  -0.451 -1.832
2#apa#apa10#app1000/:  0.269 1.007  0.269 1.083  0.269 1.159  0.269 1.234  0.269 1.310  0.269 1.386  0.266 1.427  0.254 1.352  0.241 1.277  0.229 1.202  0.216 1.128  0.204 1.053  0.191 0.978  0.179 0.903  0.167 0.828  0.154 0.754  0.142 0.679  0.129 0.604  0.117 0.529  0.104 0.455  0.092 0.380  0.079 0.305  0.067 0.230  0.054 0.155  0.042 0.081  0.029 0.006  0.017 -0.069  0.005 -0.144  -0.008 -0.219  -0.020 -0.293  -0.033 -0.368  -0.045 -0.443  -0.058 -0.518  -0.070 -0.592  -0.083 -0.667  -0.095 -0.742  -0.108 -0.817  -0.120 -0.892  -0.133 -0.966  -0.145 -1.041  -0.158 -1.116  -0.176 -1.187  -0.230 -1.241  -0.284 -1.295  -0.337 -1.348  -0.391 -1.402  -0.444 -1.455  -0.498 -1.509  -0.552 -1.563  -0.605 -1.616
2#apa#apa10#app1000/5  0.468 0.943  0.284 0.943  0.099 0.943  -0.086 0.943  -0.229 0.845  -0.372 0.744  -0.530 0.717  -0.521 0.536  -0.391 0.405  -0.248 0.290  -0.094 0.187  0.059 0.085  0.213 -0.018  0.352 -0.138  0.477 -0.272  0.560 -0.438  0.642 -0.603  0.668 -0.781  0.668 -0.966  0.581 -1.097  0.415 -1.179  0.248 -1.253  0.063 -1.253  -0.121 -1.253  -0.306 -1.253  -0.490 -1.253  -0.675 -1.253  -0.860 -1.253  -0.929 -1.137  -0.929 -0.953  -0.880 -0.784  -0.772 -0.634  -0.665 -0.483  -0.558 -0.333  -0.450 -0.183  -0.343 -0.033  -0.236 0.118  -0.128 0.268  -0.021 0.418  0.056 0.571  -0.027 0.736  -0.109 0.901  0.007 0.943  0.191 0.943  0.376 0.943  0.556 0.973  0.731 1.031  0.906 1.089  1.082 1.143  1.267 1.143
2#apa#apa10#app1000/6  0.679 1.690  0.572 1.690  0.474 1.665  0.398 1.589  0.322 1.513  0.246 1.437  0.170 1.361  0.094 1.285  0.017 1.209  -0.051 1.128  -0.085 1.026  -0.119 0.924  -0.153 0.822  -0.187 0.720  -0.221 0.618  -0.267 0.521  -0.315 0.424  -0.363 0.328  -0.411 0.232  -0.460 0.136  -0.508 0.039  -0.556 -0.057  -0.574 -0.155  -0.540 -0.257  -0.506 -0.359  -0.472 -0.461  -0.438 -0.564  -0.403 -0.665  -0.355 -0.762  -0.307 -0.858  -0.259 -0.954  -0.203 -1.044  -0.127 -1.120  -0.050 -1.197  0.054 -1.203  0.159 -1.192  0.256 -1.143  0.352 -1.095  0.448 -1.047  0.498 -0.971  0.498 -0.863  0.498 -0.755  0.498 -0.648  0.498 -0.540  0.451 -0.480  0.344 -0.480  0.245 -0.443  0.148 -0.395  0.052 -0.347  -0.044 -0.299
2#apa#apa10#app1000/_  -1.695 0.082  -1.624 0.082  -1.552 0.082  -1.481 0.082  -1.410 0.082  -1.341 0.065  -1.272 0.048  -1.203 0.030  -1.134 0.013  -1.065 -0.004  -0.997 -0.021  -0.928 -0.039  -0.859 -0.056  -0.790 -0.073  -0.721 -0.090  -0.652 -0.108  -0.583 -0.125  -0.514 -0.142  -0.445 -0.159  -0.376 -0.177  -0.307 -0.194  -0.239 -0.188  -0.171 -0.166  -0.104 -0.144  -0.036 -0.121  0.031 -0.099  0.098 -0.076  0.166 -0.054  0.233 -0.031  0.301 -0.009  0.368 0.014  0.436 0.036  0.503 0.059  0.570 0.081  0.641 0.082  0.712 0.082  0.784 0.082  0.855 0.082  0.926 0.082  0.997 0.082  1.068 0.082  1.139 0.082  1.210 0.082  1.281 0.082  1.352 0.082  1.423 0.082  1.494 0.082  1.566 0.082  1.637 0.082  1.708 0.082
2#apa#apa10#app1000/J  0.035 0.293  0.035 0.455  0.180 0.382  0.324 0.310  0.427 0.190  0.517 0.055  0.607 -0.080  0.701 -0.211  0.815 -0.326  0.898 -0.463  0.970 -0.608  1.005 -0.761  1.005 -0.923  0.920 -1.000  0.758 -1.000  0.596 -1.000  0.434 -1.000  0.272 -1.000  0.110 -1.000  -0.052 -1.000  -0.214 -1.000  -0.375 -1.000  -0.512 -0.939  -0.615 -0.819  -0.642 -0.659  -0.669 -0.499  -0.695 -0.340  -0.722 -0.180  -0.748 -0.020  -0.780 0.136  -0.915 0.226  -1.050 0.316  -1.185 0.405  -1.259 0.528  -1.193 0.649  -1.049 0.722  -0.900 0.778  -0.738 0.778  -0.576 0.778  -0.414 0.778  -0.252 0.778  -0.091 0.778  0.071 0.778  0.233 0.778  0.395 0.778  0.557 0.778  0.719 0.778  0.877 0.795  1.022 0.867  1.166 0.940
