2#app#app35#app3500/[  0.250 1.339  0.159 1.339  0.093 1.279  0.017 1.242  -0.074 1.242  -0.140 1.267  -0.159 1.339  -0.237 1.326  -0.244 1.242  -0.335 1.241  -0.335 1.150  -0.335 1.059  -0.335 0.968  -0.335 0.877  -0.335 0.785  -0.335 0.694  -0.335 0.603  -0.335 0.512  -0.306 0.433  -0.241 0.368  -0.237 0.279  -0.237 0.187  -0.237 0.096  -0.237 0.005  -0.237 -0.086  -0.237 -0.177  -0.237 -0.269  -0.237 -0.360  -0.237 -0.451  -0.237 -0.542  -0.237 -0.633  -0.237 -0.725  -0.237 -0.816  -0.234 -0.904  -0.143 -0.904  -0.140 -0.992  -0.058 -1.001  0.034 -1.001  0.125 -1.001  0.216 -1.001  0.307 -1.001  0.398 -1.001  0.490 -1.001  0.581 -1.001  0.672 -1.001  0.763 -1.001  0.854 -1.001  0.946 -1.001  1.037 -1.001  1.128 -1.001
2#app#app35#app3500/O  0.010 0.967  -0.135 0.967  -0.279 0.967  -0.397 0.903  -0.499 0.801  -0.618 0.739  -0.675 0.651  -0.679 0.511  -0.789 0.476  -0.789 0.332  -0.789 0.187  -0.845 0.056  -0.903 -0.075  -0.903 -0.219  -0.880 -0.360  -0.834 -0.497  -0.789 -0.634  -0.789 -0.779  -0.744 -0.905  -0.642 -1.007  -0.531 -1.088  -0.386 -1.088  -0.242 -1.088  -0.097 -1.088  0.047 -1.088  0.185 -1.058  0.314 -0.993  0.437 -0.917  0.557 -0.837  0.678 -0.757  0.702 -0.625  0.804 -0.522  0.906 -0.420  1.038 -0.397  1.038 -0.252  1.038 -0.108  1.038 0.037  1.028 0.177  0.926 0.280  0.860 0.408  0.788 0.532  0.686 0.634  0.584 0.736  0.481 0.838  0.343 0.853  0.210 0.881  0.101 0.967  -0.043 0.967  -0.188 0.967  -0.333 0.967
2#app#app35#app3500/R  -0.927 0.950  -0.838 0.819  -0.797 0.642  -0.797 0.423  -0.755 0.213  -0.659 0.016  -0.590 -0.192  -0.536 -0.403  -0.536 -0.622  -0.469 -0.813  -0.405 -1.006  -0.405 -1.226  -0.405 -1.352  -0.501 -1.172  -0.536 -0.967  -0.536 -0.748  -0.536 -0.529  -0.550 -0.312  -0.620 -0.104  -0.666 0.108  -0.666 0.327  -0.666 0.546  -0.536 0.712  -0.457 0.898  -0.302 1.053  -0.147 1.208  0.071 1.211  0.291 1.211  0.510 1.211  0.702 1.146  0.894 1.080  0.959 0.890  1.029 0.700  1.029 0.481  1.029 0.262  1.029 0.043  0.840 -0.022  0.685 -0.177  0.492 -0.240  0.321 -0.355  0.101 -0.355  -0.118 -0.355  -0.014 -0.417  0.137 -0.485  0.324 -0.562  0.521 -0.616  0.711 -0.688  0.906 -0.746  1.097 -0.814  1.290 -0.876
2#app#app35#app3500/E  0.688 1.163  0.584 1.267  0.438 1.270  0.291 1.270  0.144 1.270  -0.003 1.270  -0.150 1.270  -0.260 1.179  -0.398 1.156  -0.530 1.090  -0.598 0.985  -0.705 0.945  -0.705 0.798  -0.705 0.650  -0.689 0.520  -0.598 0.463  -0.512 0.370  -0.380 0.305  -0.233 0.305  -0.110 0.246  0.017 0.198  0.164 0.198  0.311 0.198  0.459 0.198  0.367 0.174  0.302 0.091  0.155 0.091  0.050 -0.011  -0.054 -0.115  -0.169 -0.152  -0.200 -0.292  -0.266 -0.423  -0.395 -0.456  -0.491 -0.563  -0.491 -0.711  -0.491 -0.858  -0.398 -0.966  -0.370 -1.102  -0.261 -1.195  -0.114 -1.195  0.033 -1.195  0.180 -1.195  0.327 -1.195  0.474 -1.195  0.610 -1.166  0.724 -1.088  0.871 -1.088  0.985 -1.006  1.089 -0.902  1.010 -0.873
2#app#app35#app3500/L  -0.340 1.845  -0.340 1.754  -0.309 1.675  -0.244 1.610  -0.201 1.537  -0.201 1.446  -0.201 1.354  -0.201 1.263  -0.201 1.172  -0.201 1.080  -0.201 0.989  -0.201 0.897  -0.201 0.806  -0.201 0.715  -0.201 0.623  -0.201 0.532  -0.201 0.441  -0.201 0.349  -0.201 0.258  -0.201 0.167  -0.201 0.075  -0.201 -0.016  -0.201 -0.108  -0.201 -0.199  -0.201 -0.290  -0.201 -0.382  -0.201 -0.473  -0.201 -0.564  -0.201 -0.656  -0.201 -0.747  -0.201 -0.838  -0.201 -0.930  -0.201 -1.021  -0.159 -1.071  -0.068 -1.071  0.024 -1.071  0.077 -1.033  0.077 -0.941  0.159 -0.932  0.240 -0.908  0.305 -0.843  0.375 -0.793  0.467 -0.793  0.558 -0.793  0.644 -0.781  0.709 -0.716  0.775 -0.654  0.866 -0.654  0.957 -0.654  1.049 -0.654
2#app#app35#app3500/S  0.409 0.948  0.295 0.970  0.252 1.063  0.116 1.063  -0.019 1.063  -0.155 1.063  -0.291 1.063  -0.426 1.063  -0.504 1.005  -0.583 0.948  -0.719 0.948  -0.740 0.834  -0.860 0.808  -0.920 0.687  -0.993 0.574  -1.075 0.473  -1.046 0.349  -0.961 0.249  -0.925 0.149  -0.806 0.109  -0.701 0.035  -0.565 0.035  -0.429 0.035  -0.294 0.035  -0.158 0.035  -0.023 0.035  0.113 0.035  0.248 0.035  0.384 0.035  0.487 -0.043  0.608 -0.079  0.712 -0.154  0.808 -0.250  0.904 -0.346  1.000 -0.442  1.094 -0.538  1.094 -0.674  1.061 -0.796  0.965 -0.892  0.869 -0.988  0.736 -0.992  0.611 -1.018  0.512 -1.106  0.376 -1.106  0.241 -1.106  0.105 -1.106  -0.031 -1.106  -0.132 -1.022  -0.255 -0.992  -0.390 -0.992
2#app#app35#app3500/E  0.287 1.133  0.455 1.133  0.396 1.142  0.327 1.242  0.160 1.242  -0.008 1.242  -0.167 1.222  -0.298 1.133  -0.454 1.088  -0.607 1.025  -0.749 0.965  -0.868 0.846  -0.911 0.699  -1.015 0.636  -1.001 0.482  -0.907 0.409  -0.814 0.280  -0.653 0.265  -0.513 0.197  -0.363 0.156  -0.195 0.156  -0.028 0.156  0.140 0.156  0.307 0.156  0.475 0.156  0.483 0.244  0.365 0.126  0.230 0.048  0.070 0.040  0.010 -0.091  -0.139 -0.165  -0.197 -0.278  -0.255 -0.387  -0.298 -0.537  -0.364 -0.677  -0.364 -0.845  -0.281 -0.929  -0.155 -1.029  0.009 -1.037  0.177 -1.037  0.344 -1.037  0.512 -1.037  0.660 -0.990  0.802 -0.929  0.830 -0.851  0.920 -0.929  0.938 -1.078  0.938 -1.245  0.830 -1.304  0.938 -1.363
2#app#app35#app3500/{  0.271 1.440  0.220 1.511  0.102 1.498  -0.007 1.444  -0.128 1.440  -0.222 1.374  -0.329 1.339  -0.434 1.298  -0.471 1.196  -0.512 1.091  -0.512 0.970  -0.496 0.855  -0.410 0.769  -0.370 0.664  -0.267 0.626  -0.181 0.540  -0.074 0.505  0.022 0.444  0.135 0.405  0.200 0.324  0.171 0.231  0.121 0.159  -0.001 0.159  -0.122 0.159  -0.173 0.088  -0.227 0.021  -0.181 -0.054  -0.130 -0.125  -0.031 -0.179  0.057 -0.222  0.111 -0.322  0.128 -0.436  0.124 -0.556  0.038 -0.642  -0.014 -0.742  -0.083 -0.835  -0.156 -0.885  -0.156 -1.006  -0.156 -1.128  -0.156 -1.249  -0.059 -1.289  0.043 -1.335  0.165 -1.335  0.261 -1.273  0.379 -1.264  0.491 -1.224  0.605 -1.192  0.697 -1.121  0.804 -1.086  0.911 -1.050
2#app#app35#app3500/y  -1.112 0.868  -1.005 0.822  -0.913 0.761  -0.868 0.654  -0.791 0.578  -0.776 0.440  -0.684 0.380  -0.684 0.227  -0.578 0.182  -0.487 0.120  -0.441 0.013  -0.310 0.066  -0.180 0.120  -0.063 0.207  0.044 0.314  0.184 0.347  0.297 0.440  0.384 0.506  0.463 0.626  0.491 0.767  0.491 0.920  0.491 1.072  0.491 1.225  0.491 1.213  0.491 1.061  0.424 0.975  0.384 0.862  0.420 0.725  0.491 0.601  0.491 0.449  0.491 0.296  0.491 0.144  0.491 -0.009  0.491 -0.161  0.491 -0.314  0.491 -0.467  0.491 -0.619  0.491 -0.772  0.433 -0.900  0.384 -1.033  0.261 -1.072  0.170 -1.187  0.121 -1.319  -0.000 -1.408  -0.137 -1.476  -0.288 -1.483  -0.440 -1.483  -0.593 -1.483  -0.684 -1.422  -0.791 -1.376
2#app#app35#app3500/o  0.343 0.851  0.186 0.851  0.029 0.851  -0.121 0.844  -0.131 0.697  -0.285 0.688  -0.396 0.577  -0.507 0.465  -0.618 0.354  -0.730 0.243  -0.804 0.105  -0.874 -0.036  -0.973 -0.156  -1.050 -0.281  -1.050 -0.439  -1.012 -0.580  -0.900 -0.691  -0.895 -0.846  -0.787 -0.959  -0.649 -1.006  -0.519 -1.072  -0.399 -1.161  -0.242 -1.161  -0.084 -1.161  0.073 -1.161  0.218 -1.132  0.329 -1.020  0.481 -1.006  0.498 -0.866  0.641 -0.851  0.653 -0.707  0.757 -0.593  0.808 -0.456  0.808 -0.299  0.808 -0.142  0.808 0.016  0.712 0.077  0.653 0.176  0.653 0.333  0.653 0.490  0.578 0.617  0.498 0.741  0.452 0.851  0.343 0.901  0.343 1.058  0.289 1.161  0.149 1.201  0.037 1.312  0.034 1.164  0.189 1.161
2#app#app35#app3500/u  -1.042 0.878  -1.042 0.776  -1.042 0.673  -1.042 0.571  -1.042 0.469  -1.042 0.366  -1.042 0.264  -1.042 0.162  -1.042 0.059  -1.042 -0.043  -1.042 -0.145  -0.952 -0.157  -0.870 -0.178  -0.870 -0.280  -0.833 -0.367  -0.760 -0.439  -0.688 -0.511  -0.616 -0.584  -0.543 -0.656  -0.448 -0.674  -0.346 -0.674  -0.244 -0.674  -0.141 -0.674  -0.039 -0.674  0.063 -0.674  0.165 -0.674  0.268 -0.674  0.370 -0.674  0.472 -0.674  0.556 -0.628  0.628 -0.556  0.700 -0.484  0.773 -0.411  0.845 -0.339  0.855 -0.241  0.855 -0.138  0.855 -0.036  0.855 0.066  0.855 0.169  0.855 0.271  0.855 0.373  0.855 0.476  0.855 0.578  0.855 0.680  0.855 0.783  0.855 0.885  0.855 0.987  0.883 1.078  0.955 1.151  1.027 1.223
