2#app#app34#app3479/W  -1.200 0.983  -1.128 0.885  -1.102 0.742  -1.102 0.573  -1.102 0.404  -1.102 0.235  -1.102 0.066  -1.102 -0.103  -1.102 -0.272  -1.005 -0.401  -1.005 -0.570  -0.907 -0.699  -0.840 -0.840  -0.712 -0.842  -0.612 -0.773  -0.465 -0.721  -0.414 -0.573  -0.295 -0.453  -0.175 -0.334  -0.124 -0.185  -0.029 -0.056  -0.029 0.113  -0.029 0.282  -0.029 0.451  -0.029 0.620  -0.127 0.689  -0.127 0.520  -0.127 0.350  -0.127 0.181  -0.127 0.012  -0.080 -0.137  0.040 -0.257  0.160 -0.376  0.286 -0.480  0.427 -0.546  0.583 -0.578  0.752 -0.578  0.922 -0.578  1.050 -0.480  1.197 -0.425  1.288 -0.285  1.337 -0.128  1.337 0.041  1.337 0.210  1.337 0.379  1.239 0.508  1.179 0.652  1.060 0.772  0.978 0.919  0.946 1.081
2#app#app34#app3479/I  -0.204 1.688  -0.204 1.616  -0.204 1.545  -0.204 1.473  -0.204 1.401  -0.204 1.329  -0.204 1.257  -0.204 1.185  -0.204 1.113  -0.204 1.042  -0.204 0.970  -0.204 0.898  -0.204 0.826  -0.204 0.754  -0.198 0.685  -0.147 0.634  -0.096 0.583  -0.046 0.532  -0.005 0.478  -0.005 0.406  -0.005 0.334  -0.005 0.262  -0.005 0.190  -0.005 0.118  -0.005 0.046  -0.005 -0.025  -0.005 -0.097  -0.005 -0.169  -0.005 -0.241  -0.002 -0.312  0.030 -0.376  0.063 -0.441  0.095 -0.505  0.127 -0.569  0.159 -0.633  0.191 -0.698  0.195 -0.769  0.195 -0.840  0.195 -0.912  0.195 -0.984  0.195 -1.056  0.195 -1.128  0.195 -1.200  0.195 -1.272  0.195 -1.343  0.195 -1.415  0.195 -1.487  0.195 -1.559  0.195 -1.631  0.195 -1.703
2#app#app34#app3479/T  0.061 1.048  0.061 0.879  0.071 0.713  0.147 0.561  0.218 0.409  0.218 0.240  0.218 0.070  0.218 -0.099  0.259 -0.251  0.376 -0.372  0.376 -0.541  0.376 -0.710  0.415 -0.840  0.533 -0.891  0.533 -1.060  0.533 -1.230  0.533 -1.399  0.533 -1.568  0.468 -1.539  0.368 -1.403  0.268 -1.266  0.168 -1.130  0.068 -0.993  -0.032 -0.857  -0.132 -0.721  -0.232 -0.584  -0.332 -0.448  -0.432 -0.311  -0.532 -0.175  -0.632 -0.038  -0.732 0.098  -0.832 0.234  -0.932 0.371  -1.033 0.507  -1.133 0.644  -1.141 0.734  -0.972 0.734  -0.802 0.734  -0.633 0.734  -0.495 0.808  -0.360 0.891  -0.191 0.891  -0.022 0.891  0.148 0.891  0.317 0.891  0.486 0.891  0.655 0.891  0.824 0.891  0.993 0.891  1.163 0.891
2#app#app34#app3479/H  -0.907 1.503  -0.907 1.301  -0.907 1.100  -0.907 0.898  -0.907 0.697  -0.907 0.495  -0.849 0.317  -0.781 0.144  -0.781 -0.057  -0.777 -0.257  -0.656 -0.408  -0.656 -0.610  -0.615 -0.794  -0.531 -0.961  -0.531 -1.163  -0.543 -1.146  -0.565 -0.946  -0.587 -0.746  -0.609 -0.546  -0.632 -0.345  -0.654 -0.145  -0.473 -0.127  -0.271 -0.127  -0.070 -0.127  0.132 -0.127  0.333 -0.127  0.483 -0.252  0.583 -0.167  0.550 0.032  0.517 0.231  0.484 0.430  0.451 0.628  0.418 0.827  0.384 1.026  0.351 1.225  0.347 1.078  0.471 1.001  0.472 0.800  0.540 0.615  0.597 0.427  0.597 0.226  0.668 0.053  0.723 -0.126  0.848 -0.275  0.848 -0.477  0.972 -0.627  0.973 -0.828  1.080 -0.985  1.099 -1.179  1.099 -1.380
2#app#app34#app3479/A  -0.388 1.123  -0.392 0.870  -0.472 0.630  -0.509 0.382  -0.509 0.128  -0.582 -0.108  -0.629 -0.351  -0.629 -0.604  -0.629 -0.858  -0.629 -1.111  -0.706 -1.289  -0.750 -1.079  -0.750 -0.826  -0.750 -0.572  -0.661 -0.355  -0.629 -0.115  -0.629 0.139  -0.629 0.393  -0.519 0.620  -0.509 0.871  -0.432 1.113  -0.388 1.359  -0.262 1.490  -0.057 1.606  0.046 1.413  0.177 1.198  0.336 1.074  0.379 0.839  0.521 0.632  0.580 0.393  0.694 0.166  0.753 -0.074  0.818 -0.312  0.971 -0.508  1.059 -0.741  1.127 -0.927  1.180 -1.128  0.992 -1.067  0.769 -0.947  0.545 -0.826  0.322 -0.706  0.099 -0.586  -0.125 -0.466  -0.348 -0.345  -0.205 -0.262  0.024 -0.203  0.228 -0.083  0.474 -0.065  0.685 0.038  0.939 0.038
2#app#app34#app3479/T  0.166 0.739  0.166 0.836  0.166 0.670  0.166 0.504  0.166 0.338  0.166 0.172  0.166 0.006  0.166 -0.161  0.173 -0.324  0.291 -0.442  0.298 -0.605  0.298 -0.771  0.298 -0.937  0.298 -1.103  0.298 -1.269  0.342 -1.417  0.430 -1.547  0.388 -1.574  0.296 -1.435  0.204 -1.297  0.111 -1.159  0.019 -1.021  -0.073 -0.882  -0.165 -0.744  -0.257 -0.606  -0.349 -0.468  -0.442 -0.329  -0.534 -0.191  -0.626 -0.053  -0.718 0.086  -0.810 0.224  -0.903 0.362  -0.995 0.500  -1.087 0.639  -1.108 0.739  -0.941 0.739  -0.775 0.739  -0.609 0.739  -0.448 0.761  -0.299 0.836  -0.142 0.871  0.025 0.871  0.191 0.871  0.357 0.871  0.523 0.871  0.689 0.871  0.856 0.871  1.022 0.871  1.188 0.871  1.354 0.871
2#app#app34#app3479/H  -0.922 1.132  -0.922 0.925  -0.922 0.719  -0.922 0.512  -0.922 0.306  -0.810 0.146  -0.777 -0.047  -0.777 -0.254  -0.777 -0.460  -0.777 -0.667  -0.777 -0.873  -0.777 -1.080  -0.687 -1.197  -0.664 -1.050  -0.709 -0.849  -0.754 -0.647  -0.798 -0.445  -0.843 -0.244  -0.888 -0.042  -0.922 0.065  -0.814 -0.033  -0.607 -0.033  -0.400 -0.033  -0.194 -0.033  0.013 -0.033  0.219 -0.033  0.426 -0.033  0.632 -0.033  0.839 -0.033  0.946 0.039  0.881 0.235  0.815 0.431  0.750 0.627  0.685 0.823  0.619 1.019  0.554 1.215  0.533 1.137  0.589 0.986  0.679 0.869  0.679 0.663  0.679 0.456  0.685 0.252  0.824 0.103  0.824 -0.103  0.824 -0.310  0.824 -0.516  0.933 -0.615  0.970 -0.784  0.970 -0.991  0.970 -1.197
2#app#app34#app3479/E  0.785 0.996  0.778 1.141  0.641 1.156  0.625 1.301  0.517 1.409  0.374 1.430  0.222 1.430  0.110 1.333  0.003 1.225  -0.114 1.141  -0.266 1.141  -0.370 1.093  -0.409 0.957  -0.517 0.850  -0.624 0.742  -0.659 0.605  -0.659 0.453  -0.659 0.301  -0.659 0.149  -0.526 0.130  -0.415 0.031  -0.282 -0.015  -0.158 -0.082  -0.038 -0.159  0.114 -0.159  0.266 -0.159  0.399 -0.112  0.496 -0.028  0.475 -0.159  0.332 -0.179  0.224 -0.287  0.117 -0.394  -0.013 -0.448  -0.165 -0.448  -0.226 -0.539  -0.325 -0.592  -0.370 -0.698  -0.451 -0.817  -0.515 -0.943  -0.515 -1.095  -0.438 -1.170  -0.286 -1.170  -0.134 -1.170  0.018 -1.170  0.170 -1.170  0.322 -1.170  0.474 -1.170  0.626 -1.170  0.778 -1.170  0.930 -1.170
2#app#app34#app3479/J  0.558 0.568  0.558 0.428  0.558 0.288  0.558 0.148  0.558 0.008  0.558 -0.132  0.558 -0.272  0.558 -0.412  0.558 -0.552  0.558 -0.692  0.558 -0.831  0.558 -0.971  0.558 -1.111  0.496 -1.189  0.356 -1.189  0.216 -1.189  0.089 -1.159  -0.010 -1.060  -0.113 -0.969  -0.240 -0.939  -0.347 -0.860  -0.471 -0.819  -0.582 -0.750  -0.650 -0.678  -0.752 -0.640  -0.866 -0.618  -0.846 -0.479  -0.827 -0.340  -0.807 -0.202  -0.787 -0.063  -0.767 0.075  -0.747 0.214  -0.728 0.352  -0.708 0.491  -0.688 0.630  -0.668 0.768  -0.641 0.898  -0.501 0.898  -0.361 0.898  -0.250 0.968  -0.126 1.008  0.014 1.008  0.154 1.008  0.294 1.008  0.434 1.008  0.572 1.014  0.697 1.077  0.828 1.117  0.968 1.117  1.108 1.117
2#app#app34#app3479/O  0.273 0.958  0.134 0.958  -0.004 0.958  -0.142 0.958  -0.279 0.949  -0.402 0.887  -0.526 0.825  -0.661 0.821  -0.667 0.685  -0.765 0.587  -0.862 0.489  -0.927 0.378  -0.964 0.255  -1.060 0.156  -1.060 0.018  -1.060 -0.120  -1.060 -0.259  -1.045 -0.391  -0.947 -0.489  -0.849 -0.586  -0.794 -0.702  -0.729 -0.775  -0.591 -0.775  -0.452 -0.775  -0.337 -0.832  -0.231 -0.909  -0.093 -0.909  0.046 -0.909  0.184 -0.909  0.322 -0.909  0.445 -0.870  0.544 -0.775  0.681 -0.771  0.805 -0.709  0.929 -0.647  0.939 -0.515  0.939 -0.377  1.036 -0.279  1.073 -0.155  1.073 -0.017  1.004 0.093  0.939 0.204  0.893 0.314  0.769 0.376  0.673 0.455  0.673 0.593  0.644 0.720  0.546 0.817  0.539 0.953  0.406 0.958
2#app#app34#app3479/L  -1.178 1.011  -1.078 0.998  -1.078 0.885  -1.078 0.771  -1.078 0.658  -1.078 0.545  -1.078 0.432  -1.014 0.345  -0.978 0.247  -0.978 0.134  -0.978 0.021  -0.978 -0.093  -0.978 -0.206  -0.959 -0.311  -0.879 -0.391  -0.878 -0.504  -0.854 -0.594  -0.741 -0.594  -0.633 -0.572  -0.532 -0.521  -0.425 -0.493  -0.312 -0.493  -0.199 -0.493  -0.086 -0.493  0.027 -0.493  0.141 -0.493  0.254 -0.493  0.326 -0.535  0.326 -0.540  0.326 -0.426  0.406 -0.393  0.426 -0.300  0.530 -0.289  0.610 -0.209  0.716 -0.193  0.830 -0.193  0.927 -0.177  0.956 -0.092  1.057 -0.063  1.128 0.021  1.153 0.108  1.228 0.147  1.228 0.260  1.228 0.373  1.151 0.409  1.128 0.499  1.055 0.582  1.028 0.684  0.940 0.710  0.927 0.810
