2#apa#apa03#app0307/f  0.272 1.736  0.272 1.844  0.249 1.736  0.153 1.702  0.107 1.617  0.034 1.560  -0.035 1.499  -0.085 1.418  -0.150 1.315  -0.204 1.207  -0.204 1.077  -0.204 0.946  -0.204 0.816  -0.204 0.686  -0.125 0.588  -0.085 0.474  -0.085 0.344  -0.085 0.214  -0.037 0.095  0.022 -0.022  0.034 -0.149  0.034 -0.280  0.034 -0.410  0.034 -0.540  0.055 -0.662  0.147 -0.754  0.153 -0.882  0.153 -1.012  0.153 -1.143  0.153 -1.273  0.103 -1.354  -0.002 -1.304  -0.077 -1.198  -0.153 -1.092  -0.229 -0.986  -0.305 -0.880  -0.380 -0.774  -0.456 -0.668  -0.532 -0.561  -0.479 -0.522  -0.349 -0.522  -0.218 -0.522  -0.088 -0.522  0.041 -0.518  0.158 -0.460  0.275 -0.403  0.405 -0.403  0.535 -0.403  0.655 -0.376  0.747 -0.284
2#apa#apa03#app0307/a  -0.027 0.835  -0.205 0.835  -0.383 0.835  -0.561 0.835  -0.714 0.810  -0.714 0.632  -0.866 0.606  -0.943 0.505  -0.978 0.342  -1.104 0.216  -1.172 0.066  -1.172 -0.112  -1.172 -0.290  -1.172 -0.468  -1.097 -0.615  -0.971 -0.741  -0.943 -0.907  -0.856 -0.998  -0.678 -0.998  -0.500 -0.998  -0.322 -0.998  -0.256 -0.886  -0.195 -0.769  -0.020 -0.762  0.106 -0.636  0.202 -0.498  0.202 -0.320  0.371 -0.311  0.431 -0.193  0.431 -0.015  0.431 0.163  0.431 0.341  0.431 0.519  0.431 0.697  0.431 0.875  0.431 1.053  0.431 0.897  0.431 0.719  0.431 0.541  0.445 0.377  0.623 0.377  0.760 0.277  0.886 0.152  0.890 -0.025  1.011 -0.082  1.168 -0.131  1.294 -0.257  1.348 -0.413  1.399 -0.540  1.577 -0.540
2#apa#apa03#app0307/i  -0.332 0.430  -0.332 0.314  -0.332 0.199  -0.332 0.083  -0.332 -0.033  -0.332 -0.148  -0.332 -0.264  -0.332 -0.380  -0.332 -0.495  -0.332 -0.611  -0.293 -0.711  -0.212 -0.793  -0.148 -0.882  -0.148 -0.998  -0.096 -1.092  -0.014 -1.174  0.035 -1.269  0.035 -1.385  0.128 -1.407  0.218 -1.382  0.211 -1.267  0.205 -1.151  0.199 -1.036  0.192 -0.920  0.186 -0.805  0.179 -0.689  0.173 -0.574  0.166 -0.458  0.160 -0.343  0.154 -0.227  0.147 -0.112  0.141 0.004  0.134 0.120  0.128 0.235  0.122 0.351  0.115 0.466  0.109 0.582  0.102 0.697  0.096 0.813  0.089 0.928  0.083 1.044  0.077 1.159  0.070 1.275  0.064 1.390  0.057 1.506  0.051 1.621  0.045 1.737  0.038 1.852  0.103 1.900  0.219 1.900
2#apa#apa03#app0307/l  -0.178 1.567  -0.107 1.567  -0.037 1.567  -0.016 1.517  -0.016 1.446  -0.016 1.375  -0.016 1.305  -0.016 1.234  -0.016 1.163  -0.016 1.092  -0.016 1.022  -0.016 0.951  -0.016 0.880  -0.016 0.810  -0.016 0.739  -0.016 0.668  -0.016 0.597  -0.016 0.527  -0.016 0.456  -0.016 0.385  -0.016 0.315  -0.016 0.244  -0.016 0.173  -0.016 0.103  -0.016 0.032  -0.016 -0.039  -0.016 -0.110  -0.016 -0.180  -0.016 -0.251  -0.016 -0.322  -0.016 -0.392  -0.016 -0.463  -0.016 -0.534  -0.016 -0.604  -0.016 -0.675  -0.016 -0.746  -0.016 -0.817  -0.016 -0.887  -0.016 -0.958  -0.016 -1.029  -0.016 -1.099  -0.016 -1.170  0.024 -1.224  0.074 -1.274  0.124 -1.324  0.146 -1.386  0.146 -1.457  0.146 -1.527  0.146 -1.598  0.146 -1.669
2#apa#apa03#app0307/e  -0.534 -0.454  -0.360 -0.454  -0.185 -0.454  -0.087 -0.377  -0.060 -0.230  0.115 -0.230  0.137 -0.077  0.241 -0.006  0.361 0.048  0.366 0.218  0.541 0.218  0.585 0.349  0.585 0.523  0.585 0.698  0.585 0.873  0.585 1.047  0.475 1.113  0.361 1.173  0.350 1.337  0.175 1.337  0.001 1.337  -0.087 1.249  -0.125 1.113  -0.300 1.113  -0.311 0.949  -0.425 0.889  -0.534 0.824  -0.546 0.654  -0.669 0.530  -0.758 0.392  -0.758 0.218  -0.758 0.043  -0.758 -0.132  -0.758 -0.306  -0.758 -0.481  -0.758 -0.656  -0.605 -0.677  -0.534 -0.781  -0.496 -0.940  -0.372 -1.063  -0.223 -1.125  -0.049 -1.125  0.126 -1.125  0.301 -1.125  0.475 -1.125  0.650 -1.125  0.825 -1.125  0.999 -1.125  1.132 -1.025  1.256 -0.901
2#apa#apa03#app0307/d  0.279 2.251  0.279 2.094  0.279 1.937  0.279 1.780  0.279 1.623  0.279 1.467  0.279 1.310  0.279 1.153  0.279 0.996  0.279 0.839  0.279 0.682  0.279 0.525  0.279 0.368  0.279 0.211  0.279 0.054  0.279 -0.103  0.279 -0.260  0.279 -0.417  0.279 -0.574  0.388 -0.622  0.459 -0.535  0.459 -0.378  0.418 -0.263  0.279 -0.244  0.279 -0.087  0.127 -0.083  -0.030 -0.083  -0.187 -0.083  -0.344 -0.083  -0.501 -0.083  -0.658 -0.083  -0.798 -0.100  -0.798 -0.257  -0.949 -0.263  -0.978 -0.391  -0.978 -0.548  -0.918 -0.681  -0.807 -0.792  -0.696 -0.903  -0.572 -0.981  -0.415 -0.981  -0.258 -0.981  -0.101 -0.981  0.056 -0.981  0.100 -0.868  0.190 -0.801  0.347 -0.801  0.459 -0.756  0.482 -0.622  0.639 -0.622
2#apa#apa03#app0307/w  -1.512 0.118  -1.512 -0.013  -1.400 -0.032  -1.362 -0.125  -1.362 -0.256  -1.306 -0.331  -1.213 -0.369  -1.194 -0.481  -1.063 -0.481  -0.931 -0.481  -0.800 -0.481  -0.669 -0.481  -0.614 -0.405  -0.574 -0.291  -0.481 -0.198  -0.464 -0.074  -0.376 -0.032  -0.314 0.038  -0.314 0.169  -0.282 0.268  -0.165 0.282  -0.165 0.413  -0.165 0.291  -0.165 0.160  -0.165 0.029  -0.165 -0.102  -0.113 -0.181  -0.015 -0.214  -0.005 -0.341  0.088 -0.434  0.200 -0.481  0.331 -0.481  0.462 -0.481  0.593 -0.481  0.724 -0.481  0.819 -0.395  0.901 -0.295  0.960 -0.178  1.019 -0.060  1.033 0.067  1.090 0.175  1.183 0.267  1.183 0.398  1.183 0.529  1.183 0.661  1.183 0.792  1.183 0.923  1.183 1.054  1.183 1.185  1.183 1.316
2#apa#apa03#app0307/i  -0.058 0.299  -0.058 0.180  -0.058 0.062  -0.058 -0.057  -0.058 -0.176  -0.058 -0.295  -0.058 -0.414  -0.058 -0.532  -0.058 -0.651  -0.157 -0.670  -0.219 -0.727  -0.219 -0.846  -0.219 -0.965  -0.219 -1.084  -0.219 -1.203  -0.215 -1.317  -0.096 -1.317  -0.058 -1.398  -0.056 -1.441  -0.049 -1.322  -0.042 -1.203  -0.036 -1.085  -0.029 -0.966  -0.023 -0.847  -0.016 -0.729  -0.009 -0.610  -0.003 -0.491  0.004 -0.373  0.010 -0.254  0.017 -0.135  0.023 -0.017  0.030 0.102  0.037 0.220  0.043 0.339  0.050 0.458  0.056 0.576  0.063 0.695  0.070 0.814  0.076 0.932  0.083 1.051  0.089 1.170  0.096 1.288  0.103 1.407  0.104 1.526  0.104 1.645  0.113 1.754  0.232 1.754  0.266 1.668  0.308 1.592  0.427 1.592
2#apa#apa03#app0307/z  -1.093 1.004  -0.981 1.004  -0.870 1.004  -0.759 1.004  -0.647 1.004  -0.536 1.004  -0.425 1.004  -0.313 1.004  -0.202 1.004  -0.091 1.004  0.021 1.004  0.132 1.004  0.243 1.004  0.355 1.004  0.431 0.968  0.431 0.857  0.431 0.746  0.431 0.634  0.385 0.569  0.274 0.569  0.213 0.518  0.213 0.407  0.174 0.312  0.095 0.233  0.016 0.154  -0.063 0.075  -0.141 -0.003  -0.220 -0.082  -0.222 -0.192  -0.224 -0.303  -0.302 -0.382  -0.381 -0.461  -0.440 -0.548  -0.440 -0.659  -0.416 -0.761  -0.337 -0.839  -0.259 -0.918  -0.180 -0.997  -0.101 -1.075  -0.023 -1.154  0.081 -1.172  0.193 -1.172  0.304 -1.172  0.415 -1.172  0.527 -1.172  0.638 -1.172  0.749 -1.172  0.861 -1.172  0.972 -1.172  1.083 -1.172
2#apa#apa03#app0307/a  -0.325 0.289  -0.325 0.466  -0.325 0.644  -0.483 0.663  -0.661 0.663  -0.839 0.663  -0.887 0.534  -1.007 0.476  -1.074 0.365  -1.074 0.188  -1.139 0.037  -1.262 -0.090  -1.262 -0.268  -1.262 -0.446  -1.099 -0.461  -1.074 -0.614  -0.931 -0.648  -0.887 -0.782  -0.763 -0.836  -0.585 -0.836  -0.438 -0.762  -0.307 -0.648  -0.132 -0.643  -0.006 -0.517  0.050 -0.363  0.139 -0.274  0.238 -0.194  0.238 -0.017  0.280 0.144  0.406 0.269  0.425 0.439  0.425 0.617  0.425 0.795  0.425 0.972  0.537 1.038  0.612 0.936  0.612 0.758  0.612 0.580  0.612 0.402  0.612 0.225  0.651 0.063  0.777 -0.063  0.800 -0.231  0.935 -0.274  1.076 -0.363  1.213 -0.461  1.362 -0.490  1.381 -0.648  1.559 -0.648  1.737 -0.648
2#apa#apa03#app0307/r  -0.828 0.889  -0.684 0.889  -0.591 0.837  -0.591 0.693  -0.591 0.549  -0.591 0.405  -0.591 0.261  -0.591 0.117  -0.591 -0.027  -0.591 -0.171  -0.577 -0.309  -0.475 -0.410  -0.373 -0.512  -0.355 -0.649  -0.355 -0.793  -0.355 -0.937  -0.355 -1.081  -0.355 -1.225  -0.355 -1.369  -0.355 -1.441  -0.355 -1.297  -0.355 -1.153  -0.355 -1.009  -0.355 -0.865  -0.355 -0.721  -0.355 -0.577  -0.355 -0.433  -0.355 -0.289  -0.355 -0.145  -0.315 -0.017  -0.213 0.084  -0.118 0.189  -0.118 0.333  -0.118 0.477  -0.118 0.621  -0.005 0.652  0.139 0.652  0.283 0.652  0.427 0.652  0.571 0.652  0.715 0.652  0.859 0.652  1.003 0.652  1.147 0.652  1.291 0.652  1.435 0.652  1.538 0.611  1.538 0.467  1.630 0.416  1.774 0.416
