2#apb#apb22#app2240/E  -0.566 1.013  -0.621 0.794  -0.627 0.557  -0.648 0.322  -0.680 0.087  -0.719 -0.147  -0.755 -0.381  -0.789 -0.615  -0.806 -0.851  -0.805 -1.088  -0.728 -1.083  -0.731 -0.847  -0.735 -0.610  -0.738 -0.373  -0.742 -0.136  -0.745 0.101  -0.741 0.335  -0.568 0.494  -0.356 0.595  -0.139 0.690  0.073 0.796  0.291 0.887  0.512 0.972  0.723 1.080  0.935 1.175  1.171 1.180  1.294 1.195  1.120 1.034  0.947 0.873  0.773 0.712  0.600 0.550  0.426 0.389  0.253 0.228  0.079 0.067  -0.094 -0.095  0.114 -0.023  0.333 0.067  0.557 0.143  0.703 0.131  0.592 -0.079  0.481 -0.288  0.370 -0.497  0.259 -0.706  0.148 -0.916  0.037 -1.125  -0.074 -1.334  -0.150 -1.498  0.046 -1.369  0.253 -1.255  0.467 -1.154
2#apb#apb22#app2240/a  0.404 0.847  0.377 1.009  0.370 1.172  0.240 1.264  0.081 1.282  -0.067 1.246  -0.183 1.130  -0.299 1.015  -0.400 0.886  -0.495 0.753  -0.590 0.620  -0.681 0.485  -0.758 0.340  -0.835 0.196  -0.911 0.051  -0.980 -0.097  -1.029 -0.253  -1.078 -0.409  -1.127 -0.565  -1.135 -0.728  -1.135 -0.891  -1.024 -0.992  -0.871 -1.009  -0.709 -0.983  -0.551 -0.949  -0.413 -0.860  -0.276 -0.771  -0.138 -0.682  -0.001 -0.593  0.111 -0.474  0.223 -0.355  0.335 -0.236  0.447 -0.116  0.553 0.008  0.653 0.138  0.753 0.267  0.852 0.398  0.947 0.531  1.039 0.632  0.994 0.478  0.928 0.328  0.879 0.173  0.839 0.014  0.800 -0.145  0.755 -0.302  0.700 -0.456  0.645 -0.610  0.601 -0.767  0.586 -0.929  0.571 -1.092
2#apb#apb22#app2240/s  1.070 1.308  0.988 1.247  0.897 1.233  0.797 1.253  0.698 1.273  0.603 1.251  0.511 1.208  0.419 1.166  0.327 1.123  0.243 1.068  0.165 1.003  0.086 0.939  0.008 0.875  -0.067 0.807  -0.138 0.735  -0.210 0.663  -0.274 0.586  -0.323 0.497  -0.373 0.409  -0.415 0.317  -0.447 0.221  -0.459 0.121  -0.421 0.039  -0.340 -0.021  -0.252 -0.072  -0.164 -0.122  -0.067 -0.151  0.032 -0.173  0.129 -0.199  0.213 -0.256  0.296 -0.313  0.368 -0.385  0.406 -0.470  0.403 -0.571  0.336 -0.647  0.269 -0.723  0.202 -0.799  0.121 -0.860  0.040 -0.921  -0.043 -0.978  -0.135 -1.021  -0.227 -1.063  -0.319 -1.106  -0.412 -1.147  -0.510 -1.173  -0.608 -1.200  -0.705 -1.227  -0.806 -1.239  -0.907 -1.249  -1.008 -1.259
2#apb#apb22#app2240/t  0.824 1.939  0.765 1.808  0.720 1.672  0.666 1.540  0.610 1.408  0.553 1.276  0.497 1.144  0.440 1.012  0.384 0.881  0.343 0.743  0.310 0.604  0.276 0.465  0.242 0.325  0.209 0.186  0.159 0.051  0.109 -0.083  0.059 -0.217  0.008 -0.351  -0.025 -0.491  -0.055 -0.631  -0.086 -0.771  -0.116 -0.911  -0.148 -1.051  -0.179 -1.191  -0.212 -1.330  -0.257 -1.466  -0.256 -1.560  -0.297 -1.423  -0.337 -1.285  -0.377 -1.148  -0.418 -1.010  -0.458 -0.872  -0.498 -0.735  -0.539 -0.597  -0.579 -0.460  -0.620 -0.322  -0.660 -0.184  -0.700 -0.047  -0.741 0.091  -0.660 0.166  -0.527 0.221  -0.394 0.271  -0.250 0.280  -0.107 0.288  0.036 0.286  0.178 0.270  0.320 0.253  0.459 0.276  0.596 0.319  0.733 0.362
2#apb#apb22#app2240/e  -0.905 -0.500  -0.767 -0.500  -0.653 -0.427  -0.542 -0.344  -0.432 -0.261  -0.314 -0.189  -0.190 -0.128  -0.067 -0.066  0.057 -0.004  0.174 0.068  0.287 0.148  0.400 0.228  0.513 0.307  0.626 0.387  0.729 0.480  0.831 0.573  0.932 0.667  1.018 0.771  1.069 0.900  1.121 1.028  1.123 1.129  0.986 1.125  0.851 1.092  0.717 1.058  0.589 1.010  0.471 0.938  0.354 0.866  0.236 0.793  0.134 0.700  0.032 0.606  -0.069 0.512  -0.170 0.418  -0.250 0.306  -0.331 0.193  -0.411 0.081  -0.486 -0.035  -0.542 -0.162  -0.597 -0.288  -0.652 -0.415  -0.690 -0.545  -0.690 -0.684  -0.690 -0.822  -0.690 -0.960  -0.646 -1.091  -0.603 -1.222  -0.559 -1.354  -0.486 -1.464  -0.380 -1.553  -0.273 -1.641  -0.167 -1.730
2#apb#apb22#app2240/r  -0.044 0.545  -0.085 0.662  -0.178 0.506  -0.258 0.345  -0.339 0.183  -0.415 0.019  -0.487 -0.146  -0.560 -0.312  -0.634 -0.476  -0.709 -0.640  -0.785 -0.804  -0.897 -0.945  -1.016 -1.081  -1.111 -1.234  -1.122 -1.194  -1.032 -1.037  -0.948 -0.877  -0.863 -0.718  -0.779 -0.558  -0.694 -0.398  -0.594 -0.248  -0.494 -0.098  -0.394 0.052  -0.291 0.200  -0.167 0.332  -0.044 0.464  0.080 0.596  0.204 0.727  0.332 0.855  0.459 0.982  0.596 1.099  0.751 1.192  0.911 1.266  1.091 1.266  1.169 1.117  1.169 0.937  1.145 0.762  1.059 0.603  0.973 0.444  0.881 0.289  0.784 0.137  0.682 -0.012  0.562 -0.147  0.441 -0.281  0.302 -0.396  0.170 -0.520  0.120 -0.660  0.228 -0.803  0.353 -0.934  0.481 -1.061
2#apb#apb22#app2240/n  -1.291 -1.156  -1.404 -1.072  -1.327 -0.977  -1.291 -0.944  -1.244 -0.817  -1.163 -0.702  -1.081 -0.587  -1.010 -0.465  -0.939 -0.343  -0.867 -0.222  -0.784 -0.108  -0.701 0.006  -0.617 0.119  -0.531 0.231  -0.445 0.343  -0.359 0.455  -0.263 0.557  -0.163 0.657  -0.065 0.758  0.005 0.880  0.094 0.982  0.140 0.896  0.122 0.756  0.101 0.617  0.079 0.478  0.041 0.342  0.004 0.206  -0.017 0.067  -0.029 -0.074  -0.038 -0.214  -0.028 -0.355  -0.017 -0.495  0.005 -0.634  0.111 -0.702  0.243 -0.668  0.374 -0.615  0.484 -0.535  0.575 -0.427  0.666 -0.320  0.757 -0.212  0.845 -0.101  0.932 0.010  1.019 0.120  1.103 0.233  1.170 0.358  1.236 0.482  1.302 0.607  1.364 0.733  1.422 0.862  1.481 0.990
2#apb#apb22#app2240/F  -0.947 -1.647  -1.026 -1.614  -1.021 -1.482  -1.009 -1.345  -1.009 -1.207  -0.975 -1.074  -0.936 -0.942  -0.897 -0.810  -0.858 -0.678  -0.819 -0.546  -0.778 -0.414  -0.737 -0.282  -0.685 -0.155  -0.633 -0.027  -0.578 0.099  -0.518 0.224  -0.459 0.348  -0.394 0.470  -0.326 0.590  -0.246 0.702  -0.160 0.809  -0.061 0.876  -0.004 0.753  0.025 0.622  0.143 0.552  0.277 0.538  0.415 0.540  0.550 0.564  0.686 0.589  0.821 0.617  0.955 0.647  1.090 0.678  1.224 0.711  1.340 0.736  1.233 0.649  1.126 0.563  1.018 0.476  0.911 0.389  0.804 0.303  0.697 0.216  0.590 0.129  0.482 0.042  0.375 -0.044  0.268 -0.131  0.161 -0.218  0.054 -0.304  -0.054 -0.391  -0.158 -0.424  -0.047 -0.356  0.091 -0.342
2#apb#apb22#app2240/u  -0.367 1.094  -0.422 1.176  -0.514 1.067  -0.568 0.932  -0.622 0.797  -0.681 0.664  -0.742 0.532  -0.803 0.401  -0.860 0.267  -0.908 0.131  -0.957 -0.006  -1.006 -0.143  -1.030 -0.286  -1.049 -0.430  -1.069 -0.574  -1.077 -0.718  -1.059 -0.862  -0.994 -0.967  -0.856 -1.013  -0.730 -0.950  -0.604 -0.877  -0.479 -0.804  -0.364 -0.716  -0.255 -0.620  -0.147 -0.524  -0.038 -0.428  0.071 -0.332  0.176 -0.231  0.272 -0.122  0.368 -0.014  0.464 0.095  0.560 0.204  0.656 0.313  0.753 0.421  0.850 0.529  0.948 0.637  1.030 0.756  1.097 0.881  1.075 0.756  1.043 0.615  1.008 0.474  0.970 0.334  0.932 0.194  0.904 0.051  0.877 -0.092  0.850 -0.234  0.825 -0.377  0.825 -0.522  0.825 -0.667  0.825 -0.813
2#apb#apb22#app2240/r  -0.367 0.691  -0.468 0.546  -0.549 0.391  -0.601 0.222  -0.656 0.055  -0.730 -0.106  -0.804 -0.266  -0.887 -0.422  -0.970 -0.578  -1.052 -0.734  -1.133 -0.891  -1.144 -0.859  -1.074 -0.697  -0.995 -0.539  -0.915 -0.381  -0.826 -0.229  -0.736 -0.077  -0.647 0.076  -0.539 0.216  -0.432 0.356  -0.317 0.490  -0.192 0.614  -0.067 0.739  0.074 0.841  0.232 0.920  0.390 0.999  0.553 1.067  0.716 1.135  0.892 1.137  1.061 1.111  1.138 0.974  1.138 0.797  1.118 0.622  1.089 0.448  1.020 0.286  0.941 0.128  0.849 -0.021  0.730 -0.151  0.612 -0.282  0.474 -0.393  0.336 -0.503  0.190 -0.602  0.036 -0.667  -0.096 -0.658  0.054 -0.751  0.202 -0.847  0.366 -0.913  0.521 -0.993  0.663 -1.099  0.804 -1.205
2#apb#apb22#app2240/n  -0.574 -0.071  -0.592 0.048  -0.498 0.237  -0.404 0.425  -0.310 0.613  -0.216 0.801  -0.122 0.989  -0.033 1.179  -0.042 1.321  -0.010 1.215  -0.122 1.041  -0.169 0.836  -0.216 0.631  -0.291 0.435  -0.374 0.242  -0.457 0.048  -0.517 -0.153  -0.576 -0.355  -0.636 -0.557  -0.707 -0.755  -0.782 -0.951  -0.851 -1.150  -0.890 -1.355  -0.915 -1.393  -0.800 -1.218  -0.700 -1.032  -0.600 -0.847  -0.497 -0.664  -0.386 -0.485  -0.276 -0.306  -0.161 -0.130  -0.041 0.043  0.079 0.216  0.206 0.383  0.338 0.548  0.474 0.708  0.623 0.856  0.772 1.005  0.897 0.929  0.991 0.741  1.010 0.535  1.010 0.324  1.002 0.114  0.988 -0.096  0.974 -0.306  0.937 -0.513  0.896 -0.719  0.856 -0.925  0.856 -1.136  0.856 -1.346
