2#app#app08#app0851/{  0.655 0.681  0.655 0.793  0.655 0.905  0.655 1.017  0.603 1.077  0.572 1.160  0.491 1.236  0.379 1.236  0.267 1.236  0.155 1.236  0.043 1.236  -0.068 1.231  -0.168 1.181  -0.274 1.157  -0.296 1.066  -0.296 0.954  -0.296 0.842  -0.296 0.730  -0.296 0.618  -0.284 0.511  -0.205 0.431  -0.137 0.347  -0.137 0.235  -0.079 0.147  0.000 0.068  0.079 -0.011  0.101 -0.114  0.126 -0.216  0.180 -0.306  0.228 -0.398  0.259 -0.497  0.259 -0.609  0.220 -0.705  0.141 -0.784  0.046 -0.825  -0.066 -0.825  -0.178 -0.825  -0.282 -0.792  -0.383 -0.746  -0.454 -0.787  -0.454 -0.899  -0.379 -0.980  -0.375 -1.090  -0.375 -1.202  -0.296 -1.235  -0.263 -1.333  -0.217 -1.426  -0.160 -1.515  -0.081 -1.594  0.021 -1.618
2#app#app08#app0851/B  -0.624 0.740  -0.599 0.511  -0.535 0.291  -0.535 0.055  -0.445 -0.159  -0.445 -0.394  -0.355 -0.608  -0.355 -0.844  -0.355 -1.079  -0.355 -1.156  -0.445 -0.958  -0.490 -0.741  -0.535 -0.524  -0.535 -0.289  -0.535 -0.054  -0.535 0.182  -0.535 0.417  -0.534 0.652  -0.445 0.867  -0.316 1.049  -0.175 1.226  -0.003 1.337  0.227 1.369  0.463 1.369  0.698 1.369  0.896 1.279  0.992 1.139  0.992 0.904  0.902 0.759  0.732 0.610  0.598 0.471  0.389 0.407  0.170 0.367  -0.034 0.291  0.071 0.225  0.284 0.151  0.495 0.046  0.634 -0.069  0.737 -0.262  0.812 -0.466  0.809 -0.700  0.642 -0.867  0.476 -1.033  0.283 -1.136  0.089 -1.235  -0.146 -1.235  -0.376 -1.198  -0.603 -1.145  -0.748 -1.056  -0.804 -0.876
2#app#app08#app0851/r  -0.423 1.101  -0.569 1.101  -0.586 1.230  -0.586 1.375  -0.586 1.332  -0.508 1.264  -0.423 1.203  -0.423 1.057  -0.423 0.911  -0.423 0.766  -0.423 0.620  -0.423 0.474  -0.423 0.328  -0.349 0.213  -0.260 0.104  -0.260 -0.042  -0.260 -0.187  -0.260 -0.333  -0.224 -0.473  -0.178 -0.611  -0.132 -0.750  -0.097 -0.890  -0.083 -1.029  0.020 -1.133  0.065 -1.260  0.065 -1.405  0.065 -1.551  0.065 -1.635  0.065 -1.489  0.065 -1.344  0.065 -1.198  0.065 -1.052  0.065 -0.906  0.065 -0.760  0.065 -0.615  0.065 -0.469  0.084 -0.328  0.149 -0.197  0.214 -0.067  0.228 0.076  0.297 0.193  0.391 0.300  0.391 0.446  0.491 0.550  0.594 0.653  0.697 0.756  0.800 0.859  0.913 0.938  1.059 0.938  1.205 0.938
2#app#app08#app0851/a  0.675 0.872  0.675 1.042  0.535 1.071  0.366 1.071  0.220 1.013  0.100 0.893  -0.061 0.872  -0.198 0.794  -0.317 0.674  -0.318 0.505  -0.457 0.475  -0.627 0.475  -0.716 0.394  -0.752 0.240  -0.872 0.120  -1.012 0.028  -1.164 -0.047  -1.312 -0.125  -1.312 -0.295  -1.312 -0.464  -1.312 -0.633  -1.252 -0.778  -1.132 -0.898  -0.970 -0.916  -0.800 -0.916  -0.631 -0.916  -0.467 -0.891  -0.316 -0.816  -0.164 -0.740  -0.035 -0.633  0.085 -0.513  0.204 -0.393  0.344 -0.320  0.502 -0.294  0.622 -0.174  0.675 -0.027  0.721 0.123  0.841 0.243  0.874 0.399  0.874 0.569  0.874 0.609  0.874 0.439  0.874 0.270  0.874 0.100  0.874 -0.069  0.874 -0.238  0.874 -0.408  0.932 -0.519  1.073 -0.548  1.073 -0.718
2#app#app08#app0851/c  0.868 0.631  0.868 0.738  0.816 0.824  0.740 0.900  0.727 1.002  0.671 1.054  0.564 1.054  0.456 1.054  0.349 1.054  0.241 1.054  0.134 1.054  0.026 1.054  -0.051 0.982  -0.127 0.906  -0.203 0.830  -0.279 0.754  -0.355 0.678  -0.431 0.602  -0.507 0.526  -0.583 0.450  -0.659 0.374  -0.735 0.298  -0.811 0.222  -0.827 0.121  -0.827 0.013  -0.827 -0.094  -0.827 -0.202  -0.827 -0.309  -0.827 -0.417  -0.809 -0.517  -0.733 -0.593  -0.647 -0.653  -0.545 -0.687  -0.443 -0.721  -0.341 -0.755  -0.245 -0.799  -0.169 -0.875  -0.081 -0.923  0.026 -0.923  0.134 -0.923  0.241 -0.923  0.349 -0.923  0.456 -0.923  0.564 -0.923  0.671 -0.923  0.779 -0.923  0.881 -0.910  0.957 -0.834  1.043 -0.782  1.151 -0.782
2#app#app08#app0851/e  -0.967 0.255  -0.957 0.092  -0.784 0.092  -0.611 0.092  -0.437 0.092  -0.264 0.092  -0.091 0.092  0.082 0.092  0.255 0.092  0.403 0.154  0.534 0.255  0.707 0.255  0.866 0.291  0.988 0.413  1.156 0.421  1.156 0.594  1.156 0.767  1.124 0.908  0.951 0.908  0.778 0.908  0.605 0.908  0.431 0.908  0.258 0.908  0.085 0.908  -0.058 0.837  -0.189 0.725  -0.344 0.648  -0.494 0.564  -0.617 0.442  -0.780 0.418  -0.909 0.312  -0.967 0.163  -0.967 -0.010  -0.967 -0.184  -0.967 -0.357  -0.967 -0.530  -0.967 -0.703  -0.815 -0.725  -0.690 -0.839  -0.537 -0.888  -0.376 -0.939  -0.221 -1.016  -0.056 -1.052  0.117 -1.052  0.291 -1.052  0.464 -1.052  0.637 -1.052  0.810 -1.052  0.983 -1.052  1.156 -1.052
2#app#app08#app0851/Y  -0.730 1.132  -0.619 1.021  -0.507 0.910  -0.396 0.798  -0.321 0.661  -0.285 0.514  -0.173 0.403  -0.125 0.265  -0.051 0.181  -0.038 0.037  -0.008 -0.108  0.048 -0.242  0.144 -0.313  0.201 -0.166  0.258 -0.019  0.315 0.128  0.372 0.274  0.429 0.421  0.487 0.568  0.544 0.714  0.601 0.861  0.658 1.008  0.715 1.155  0.740 1.303  0.666 1.219  0.653 1.074  0.562 0.955  0.451 0.843  0.394 0.709  0.366 0.559  0.296 0.418  0.226 0.277  0.155 0.136  0.085 -0.005  -0.005 -0.131  -0.038 -0.275  -0.081 -0.423  -0.151 -0.563  -0.211 -0.707  -0.217 -0.862  -0.328 -0.973  -0.384 -1.107  -0.451 -1.249  -0.551 -1.369  -0.601 -1.505  -0.643 -1.645  -0.726 -1.720  -0.663 -1.634  -0.592 -1.720  -0.471 -1.807
2#app#app08#app0851/o  0.326 0.869  0.188 0.845  0.140 0.732  -0.001 0.680  -0.115 0.566  -0.230 0.451  -0.344 0.337  -0.459 0.222  -0.533 0.083  -0.584 -0.070  -0.635 -0.224  -0.746 -0.341  -0.776 -0.490  -0.776 -0.652  -0.776 -0.814  -0.776 -0.976  -0.696 -1.058  -0.638 -1.162  -0.510 -1.196  -0.349 -1.196  -0.187 -1.196  -0.025 -1.196  0.137 -1.196  0.266 -1.118  0.404 -1.058  0.536 -0.986  0.650 -0.872  0.755 -0.750  0.828 -0.606  0.876 -0.455  0.876 -0.293  0.876 -0.131  0.876 0.030  0.876 0.192  0.876 0.354  0.876 0.516  0.817 0.653  0.688 0.732  0.548 0.785  0.433 0.899  0.316 1.007  0.154 1.007  -0.008 1.007  -0.170 1.007  -0.331 1.007  -0.493 1.007  -0.610 0.898  -0.747 0.815  -0.892 0.742  -0.914 0.594
2#app#app08#app0851/u  -1.009 1.204  -1.009 1.332  -1.009 1.191  -1.009 1.049  -1.009 0.908  -1.009 0.767  -1.009 0.626  -0.976 0.498  -0.876 0.398  -0.874 0.257  -0.874 0.116  -0.874 -0.025  -0.874 -0.167  -0.874 -0.308  -0.847 -0.438  -0.747 -0.538  -0.740 -0.676  -0.603 -0.680  -0.461 -0.680  -0.325 -0.669  -0.225 -0.569  -0.125 -0.469  -0.040 -0.358  0.023 -0.232  0.109 -0.142  0.202 -0.094  0.202 0.047  0.246 0.171  0.342 0.273  0.406 0.399  0.469 0.525  0.472 0.666  0.472 0.793  0.472 0.652  0.472 0.511  0.472 0.369  0.496 0.238  0.596 0.138  0.606 0.001  0.606 -0.140  0.610 -0.280  0.710 -0.380  0.810 -0.480  0.910 -0.580  1.009 -0.680  1.109 -0.780  1.236 -0.815  1.349 -0.884  1.449 -0.984  1.548 -1.084
2#app#app08#app0851/r  -0.686 0.662  -0.544 0.662  -0.537 0.527  -0.409 0.513  -0.388 0.392  -0.388 0.250  -0.388 0.108  -0.388 -0.033  -0.323 -0.148  -0.240 -0.255  -0.240 -0.397  -0.240 -0.539  -0.240 -0.681  -0.240 -0.823  -0.240 -0.965  -0.240 -1.106  -0.240 -1.248  -0.240 -1.390  -0.240 -1.532  -0.240 -1.466  -0.240 -1.324  -0.240 -1.182  -0.299 -1.064  -0.388 -0.960  -0.388 -0.818  -0.388 -0.676  -0.388 -0.534  -0.388 -0.393  -0.388 -0.251  -0.334 -0.122  -0.271 0.005  -0.240 0.140  -0.210 0.275  -0.147 0.401  -0.091 0.530  -0.081 0.662  0.058 0.665  0.058 0.807  0.196 0.811  0.299 0.903  0.418 0.959  0.560 0.959  0.702 0.959  0.843 0.959  0.985 0.959  1.127 0.959  1.269 0.959  1.411 0.959  1.553 0.959  1.694 0.959
2#app#app08#app0851/s  0.171 1.572  0.044 1.572  -0.082 1.572  -0.159 1.523  -0.205 1.416  -0.305 1.352  -0.431 1.352  -0.488 1.283  -0.488 1.157  -0.488 1.031  -0.483 0.907  -0.394 0.818  -0.274 0.803  -0.183 0.717  -0.094 0.628  -0.005 0.539  0.085 0.450  0.175 0.362  0.287 0.305  0.398 0.246  0.487 0.157  0.576 0.068  0.666 -0.022  0.755 -0.111  0.830 -0.206  0.830 -0.332  0.830 -0.458  0.781 -0.564  0.691 -0.653  0.602 -0.742  0.513 -0.832  0.392 -0.844  0.270 -0.855  0.181 -0.944  0.060 -0.955  -0.030 -1.045  -0.148 -1.064  -0.274 -1.064  -0.394 -1.049  -0.483 -0.960  -0.607 -0.954  -0.708 -0.929  -0.708 -0.803  -0.667 -0.694  -0.570 -0.625  -0.444 -0.625  -0.318 -0.625  -0.191 -0.625  -0.065 -0.625  0.061 -0.625
