2#apa#apa15#app1521/!  0.007 1.708  0.007 1.638  0.007 1.568  0.007 1.498  0.007 1.428  0.007 1.358  0.007 1.288  0.007 1.218  0.007 1.148  0.007 1.078  0.007 1.008  0.007 0.938  0.007 0.868  0.007 0.798  0.007 0.728  0.007 0.658  0.007 0.588  0.007 0.518  0.007 0.448  0.007 0.378  0.007 0.308  0.007 0.238  0.007 0.168  0.007 0.098  0.007 0.028  0.007 -0.042  0.007 -0.112  0.007 -0.182  0.007 -0.252  0.007 -0.322  0.007 -0.392  0.007 -0.462  0.007 -0.532  0.007 -0.602  0.007 -0.672  0.007 -0.742  0.007 -0.812  0.007 -0.882  0.007 -0.952  0.007 -1.022  0.007 -1.092  0.007 -1.162  0.007 -1.232  0.007 -1.302  0.007 -1.372  0.007 -1.442  0.007 -1.512  -0.034 -1.541  -0.104 -1.541  -0.174 -1.541
2#apa#apa15#app1521/@  0.930 -0.663  0.730 -0.463  0.666 -0.207  0.517 0.014  0.348 0.236  0.222 0.489  0.042 0.655  -0.241 0.655  -0.449 0.534  -0.575 0.281  -0.652 0.017  -0.652 -0.266  -0.652 -0.548  -0.484 -0.663  -0.201 -0.663  0.060 -0.571  0.312 -0.444  0.402 -0.217  0.402 0.065  0.182 0.128  -0.100 0.128  -0.125 -0.130  0.152 -0.136  0.435 -0.136  0.682 -0.087  0.772 0.181  0.861 0.449  0.930 0.721  0.870 0.979  0.670 1.178  0.470 1.378  0.215 1.446  -0.067 1.446  -0.350 1.446  -0.561 1.273  -0.721 1.044  -0.847 0.792  -0.916 0.525  -0.916 0.242  -0.916 -0.040  -0.832 -0.303  -0.705 -0.556  -0.652 -0.826  -0.652 -1.108  -0.457 -1.239  -0.183 -1.307  0.091 -1.376  0.366 -1.445  0.647 -1.454  0.930 -1.454
2#apa#apa15#app1521/#  -0.779 0.350  -0.779 0.015  -0.749 -0.317  -0.668 -0.642  -0.586 -0.967  -0.506 -1.292  -0.506 -1.627  -0.506 -1.704  -0.469 -1.373  -0.403 -1.045  -0.337 -0.716  -0.272 -0.388  -0.206 -0.059  -0.140 0.269  -0.075 0.598  -0.009 0.926  0.079 1.089  0.229 0.789  0.417 0.518  0.585 0.252  0.585 -0.083  0.585 -0.418  0.585 -0.753  0.585 -1.087  0.654 -1.172  0.827 -0.884  0.999 -0.597  1.171 -0.310  1.344 -0.023  1.184 0.077  0.849 0.077  0.514 0.077  0.179 0.077  -0.155 0.077  -0.490 0.077  -0.825 0.077  -1.160 0.077  -1.172 0.153  -0.873 0.303  -0.573 0.453  -0.273 0.602  0.026 0.752  0.326 0.902  0.625 1.052  0.783 1.168  0.488 1.071  0.226 0.895  -0.109 0.895  -0.444 0.895  -0.779 0.895
2#apa#apa15#app1521/$  0.504 0.545  0.448 0.748  0.201 0.698  -0.031 0.582  -0.281 0.545  -0.515 0.441  -0.714 0.305  -0.714 0.046  -0.565 -0.064  -0.312 -0.114  -0.061 -0.176  0.190 -0.239  0.446 -0.267  0.694 -0.330  0.940 -0.412  1.113 -0.547  1.019 -0.767  0.836 -0.950  0.653 -1.133  0.456 -1.282  0.197 -1.282  -0.062 -1.282  -0.321 -1.282  -0.502 -1.213  -0.470 -0.956  -0.438 -0.699  -0.406 -0.442  -0.374 -0.185  -0.342 0.072  -0.310 0.329  -0.277 0.585  -0.245 0.842  -0.213 1.099  -0.181 1.356  -0.149 1.613  -0.117 1.870  -0.105 1.803  -0.105 1.544  -0.105 1.285  -0.105 1.026  -0.105 0.767  -0.105 0.508  -0.105 0.250  -0.105 -0.009  -0.104 -0.268  -0.008 -0.509  0.088 -0.749  0.184 -0.989  0.280 -1.230  0.301 -1.485
2#apa#apa15#app1521/%  -0.229 0.203  -0.229 0.459  -0.229 0.715  -0.390 0.751  -0.502 0.531  -0.564 0.282  -0.662 0.047  -0.702 -0.200  -0.536 -0.222  -0.395 -0.011  -0.281 0.218  -0.151 0.438  -0.009 0.651  -0.165 0.766  -0.385 0.638  -0.349 0.638  -0.138 0.783  0.072 0.929  0.283 1.075  0.493 1.221  0.704 1.367  0.915 1.512  1.070 1.553  0.931 1.352  0.788 1.139  0.654 0.921  0.527 0.699  0.400 0.476  0.272 0.254  0.134 0.039  -0.008 -0.174  -0.150 -0.388  -0.265 -0.614  -0.346 -0.857  -0.441 -1.095  -0.536 -1.333  -0.693 -1.445  -0.476 -1.310  -0.258 -1.174  -0.041 -1.038  0.176 -0.902  0.125 -0.801  0.164 -0.742  0.007 -0.910  0.007 -1.166  0.007 -1.423  0.159 -1.282  0.301 -1.069  0.465 -0.874  0.479 -0.624
2#apa#apa15#app1521/^  -1.229 -1.228  -1.122 -1.228  -1.035 -1.196  -0.988 -1.101  -0.940 -1.005  -0.892 -0.910  -0.873 -0.807  -0.873 -0.700  -0.873 -0.593  -0.864 -0.488  -0.830 -0.387  -0.796 -0.285  -0.763 -0.184  -0.729 -0.083  -0.695 0.019  -0.619 0.094  -0.543 0.170  -0.468 0.245  -0.392 0.321  -0.325 0.402  -0.277 0.498  -0.229 0.594  -0.182 0.689  -0.106 0.757  -0.011 0.805  0.085 0.853  0.180 0.901  0.259 0.972  0.335 1.048  0.410 1.049  0.486 0.973  0.558 0.895  0.605 0.800  0.653 0.704  0.701 0.608  0.729 0.508  0.729 0.401  0.729 0.294  0.729 0.188  0.729 0.081  0.729 -0.026  0.729 -0.133  0.765 -0.231  0.813 -0.327  0.860 -0.423  0.907 -0.519  0.907 -0.625  0.934 -0.721  1.010 -0.797  1.085 -0.872
2#apa#apa15#app1521/&  -0.085 1.490  -0.085 1.687  0.046 1.754  0.180 1.691  0.180 1.494  0.180 1.296  0.220 1.105  0.282 0.918  0.345 0.730  0.407 0.543  0.444 0.352  0.444 0.154  0.444 -0.043  0.444 -0.241  0.444 -0.438  0.444 -0.636  0.444 -0.833  0.444 -1.031  0.444 -1.228  0.451 -1.419  0.648 -1.419  0.709 -1.282  0.659 -1.105  0.520 -0.966  0.444 -0.799  0.444 -0.602  0.444 -0.404  0.335 -0.252  0.196 -0.113  0.005 -0.097  -0.193 -0.097  -0.390 -0.097  -0.588 -0.097  -0.785 -0.097  -0.983 -0.097  -1.180 -0.097  -1.377 -0.097  -1.407 -0.265  -1.317 -0.316  -1.140 -0.228  -0.963 -0.139  -0.779 -0.072  -0.587 -0.024  -0.396 0.024  -0.204 0.072  -0.013 0.120  0.179 0.167  0.356 0.256  0.532 0.344  0.709 0.432
2#apa#apa15#app1521/*  -1.035 1.158  -0.823 0.947  -0.628 0.721  -0.462 0.472  -0.283 0.233  -0.071 0.021  0.141 -0.191  0.353 -0.403  0.565 -0.614  0.812 -0.742  0.814 -0.502  0.751 -0.209  0.688 0.084  0.626 0.377  0.563 0.670  0.500 0.963  0.437 1.256  0.375 1.549  0.347 1.508  0.347 1.209  0.287 0.916  0.214 0.626  0.099 0.354  -0.068 0.104  -0.242 -0.139  -0.429 -0.373  -0.616 -0.607  -0.803 -0.841  -1.007 -1.060  -1.219 -1.272  -1.319 -1.399  -1.058 -1.252  -0.797 -1.105  -0.536 -0.958  -0.274 -0.811  -0.013 -0.664  0.248 -0.517  0.509 -0.370  0.770 -0.224  1.031 -0.077  1.293 0.070  1.189 0.122  0.889 0.122  0.590 0.122  0.290 0.122  -0.010 0.122  -0.309 0.122  -0.609 0.122  -0.908 0.122  -1.208 0.122
2#apa#apa15#app1521/(  0.195 1.660  0.195 1.586  0.195 1.512  0.195 1.438  0.195 1.364  0.174 1.299  0.121 1.246  0.069 1.194  0.017 1.142  -0.035 1.089  -0.088 1.037  -0.140 0.985  -0.146 0.913  -0.146 0.839  -0.146 0.765  -0.146 0.691  -0.146 0.617  -0.146 0.543  -0.146 0.469  -0.146 0.395  -0.146 0.321  -0.146 0.247  -0.146 0.173  -0.146 0.099  -0.146 0.025  -0.146 -0.049  -0.146 -0.123  -0.146 -0.197  -0.146 -0.271  -0.146 -0.345  -0.146 -0.419  -0.146 -0.493  -0.146 -0.567  -0.146 -0.641  -0.146 -0.715  -0.116 -0.782  -0.083 -0.848  -0.050 -0.915  -0.017 -0.981  0.016 -1.047  0.049 -1.113  0.082 -1.179  0.115 -1.246  0.148 -1.312  0.181 -1.378  0.239 -1.404  0.313 -1.404  0.387 -1.404  0.461 -1.404  0.535 -1.404
2#apa#apa15#app1521/)  -0.626 1.464  -0.552 1.464  -0.477 1.464  -0.442 1.424  -0.442 1.349  -0.442 1.274  -0.442 1.200  -0.442 1.125  -0.410 1.064  -0.358 1.011  -0.305 0.958  -0.252 0.906  -0.199 0.853  -0.147 0.800  -0.094 0.747  -0.053 0.686  -0.020 0.619  0.013 0.552  0.047 0.485  0.080 0.419  0.113 0.352  0.147 0.285  0.180 0.219  0.214 0.152  0.247 0.085  0.280 0.018  0.293 -0.053  0.293 -0.128  0.293 -0.202  0.293 -0.277  0.293 -0.352  0.293 -0.426  0.293 -0.501  0.293 -0.576  0.293 -0.650  0.293 -0.725  0.293 -0.799  0.293 -0.874  0.279 -0.942  0.226 -0.995  0.173 -1.048  0.120 -1.101  0.091 -1.168  0.067 -1.239  0.044 -1.309  0.020 -1.380  -0.004 -1.451  -0.027 -1.522  -0.051 -1.593  -0.074 -1.663
2#apa#apa15#app1521/`  -0.965 1.390  -0.915 1.340  -0.865 1.291  -0.815 1.241  -0.765 1.191  -0.715 1.141  -0.665 1.091  -0.616 1.041  -0.566 0.991  -0.516 0.941  -0.466 0.891  -0.416 0.841  -0.366 0.791  -0.316 0.741  -0.266 0.692  -0.218 0.640  -0.186 0.577  -0.155 0.514  -0.123 0.451  -0.092 0.388  -0.060 0.325  -0.029 0.261  0.003 0.198  0.035 0.135  0.066 0.072  0.098 0.009  0.129 -0.054  0.161 -0.117  0.192 -0.181  0.224 -0.244  0.256 -0.307  0.287 -0.370  0.319 -0.433  0.350 -0.496  0.382 -0.559  0.413 -0.623  0.445 -0.686  0.477 -0.749  0.508 -0.812  0.523 -0.879  0.523 -0.950  0.523 -1.020  0.523 -1.091  0.523 -1.162  0.523 -1.232  0.523 -1.303  0.523 -1.373  0.523 -1.444  0.523 -1.515  0.523 -1.585
