3#apa#apa03#app0377/W  -0.604 1.287  -0.715 1.176  -0.859 1.152  -0.859 0.995  -0.859 0.838  -0.927 0.710  -0.986 0.577  -0.986 0.420  -0.991 0.265  -1.102 0.154  -1.113 0.002  -1.113 -0.155  -1.113 -0.312  -1.113 -0.469  -1.017 -0.587  -0.874 -0.619  -0.717 -0.619  -0.560 -0.619  -0.403 -0.619  -0.350 -0.514  -0.223 -0.484  -0.197 -0.338  -0.096 -0.223  -0.065 -0.079  0.031 0.039  0.031 0.196  0.031 0.353  0.110 0.477  0.158 0.435  0.158 0.278  0.158 0.121  0.158 -0.036  0.240 -0.111  0.285 -0.223  0.295 -0.375  0.406 -0.486  0.434 -0.619  0.591 -0.619  0.748 -0.619  0.905 -0.619  1.047 -0.603  1.079 -0.460  1.190 -0.349  1.301 -0.238  1.301 -0.081  1.343 0.059  1.428 0.181  1.428 0.338  1.428 0.495  1.555 0.525
3#apa#apa03#app0377/I  0.555 1.538  0.555 1.461  0.555 1.383  0.538 1.323  0.460 1.323  0.383 1.323  0.340 1.288  0.340 1.211  0.340 1.133  0.303 1.071  0.248 1.016  0.193 0.961  0.139 0.906  0.125 0.834  0.125 0.757  0.125 0.679  0.125 0.602  0.125 0.524  0.118 0.448  0.083 0.379  0.049 0.309  0.014 0.240  -0.021 0.171  -0.056 0.101  -0.090 0.032  -0.091 -0.046  -0.091 -0.123  -0.091 -0.201  -0.091 -0.278  -0.091 -0.356  -0.091 -0.434  -0.091 -0.511  -0.091 -0.589  -0.142 -0.615  -0.219 -0.615  -0.297 -0.615  -0.306 -0.684  -0.306 -0.761  -0.306 -0.839  -0.306 -0.916  -0.306 -0.994  -0.306 -1.072  -0.306 -1.149  -0.306 -1.227  -0.306 -1.304  -0.306 -1.382  -0.306 -1.459  -0.306 -1.537  -0.306 -1.615  -0.306 -1.692
3#apa#apa03#app0377/T  0.413 0.821  0.413 0.668  0.413 0.516  0.413 0.363  0.413 0.211  0.306 0.102  0.260 -0.031  0.198 -0.158  0.107 -0.273  0.107 -0.425  0.107 -0.578  0.097 -0.728  0.029 -0.864  -0.039 -1.001  -0.046 -1.152  -0.143 -1.264  -0.199 -1.393  -0.199 -1.546  -0.219 -1.556  -0.261 -1.410  -0.303 -1.263  -0.345 -1.117  -0.387 -0.970  -0.428 -0.823  -0.470 -0.677  -0.512 -0.530  -0.554 -0.383  -0.596 -0.237  -0.638 -0.090  -0.680 0.056  -0.722 0.203  -0.764 0.350  -0.805 0.496  -0.811 0.648  -0.678 0.668  -0.525 0.668  -0.412 0.761  -0.284 0.821  -0.131 0.821  0.021 0.821  0.154 0.868  0.263 0.973  0.415 0.973  0.568 0.973  0.720 0.973  0.873 0.973  1.025 0.973  1.178 0.973  1.330 0.973  1.330 0.821
3#apa#apa03#app0377/H  -0.506 0.990  -0.690 0.901  -0.690 0.627  -0.874 0.430  -0.874 0.157  -0.874 -0.117  -0.874 -0.390  -0.874 -0.664  -0.874 -0.937  -0.874 -1.211  -0.827 -1.342  -0.666 -1.121  -0.504 -0.900  -0.342 -0.680  -0.181 -0.459  -0.019 -0.239  0.143 -0.018  0.305 0.202  0.466 0.423  0.628 0.643  0.790 0.864  0.951 1.084  1.113 1.305  1.142 1.154  1.020 0.909  0.968 0.648  0.968 0.375  0.968 0.101  0.968 -0.172  0.968 -0.446  0.968 -0.719  0.835 -0.808  0.576 -0.722  0.316 -0.635  0.057 -0.549  -0.202 -0.462  -0.462 -0.376  -0.721 -0.289  -0.981 -0.203  -1.240 -0.116  -0.972 -0.115  -0.874 0.060  -0.633 0.126  -0.412 0.253  -0.139 0.253  0.059 0.437  0.332 0.437  0.606 0.437  0.879 0.437  1.152 0.437
3#apa#apa03#app0377/A  -0.154 0.697  -0.348 0.503  -0.431 0.264  -0.539 0.035  -0.708 -0.169  -0.829 -0.393  -0.847 -0.659  -0.985 -0.875  -0.985 -1.149  -0.985 -1.337  -0.946 -1.103  -0.847 -0.928  -0.823 -0.664  -0.708 -0.438  -0.660 -0.176  -0.519 0.056  -0.423 0.290  -0.293 0.510  -0.232 0.758  -0.038 0.952  0.169 1.112  0.390 1.241  0.659 1.251  0.676 1.507  0.561 1.666  0.538 1.416  0.538 1.142  0.538 0.868  0.538 0.595  0.538 0.321  0.606 0.075  0.676 -0.169  0.676 -0.443  0.697 -0.708  0.815 -0.933  0.815 -1.207  0.872 -1.183  0.651 -1.021  0.429 -0.860  0.208 -0.699  -0.014 -0.538  -0.235 -0.377  -0.457 -0.216  -0.436 -0.134  -0.293 -0.003  -0.064 0.095  0.170 0.190  0.406 0.281  0.680 0.281  0.953 0.281
3#apa#apa03#app0377/Q  0.383 1.083  0.166 1.083  -0.050 1.083  -0.242 1.025  -0.325 0.843  -0.499 0.800  -0.684 0.724  -0.837 0.571  -0.891 0.378  -1.043 0.224  -1.174 0.062  -1.174 -0.154  -1.174 -0.370  -1.174 -0.587  -1.129 -0.757  -1.033 -0.878  -0.838 -0.899  -0.621 -0.899  -0.405 -0.899  -0.189 -0.899  0.028 -0.899  0.202 -0.796  0.355 -0.643  0.524 -0.580  0.634 -0.474  0.666 -0.289  0.666 -0.073  0.666 0.143  0.666 0.360  0.666 0.576  0.571 0.753  0.524 0.950  0.465 1.142  0.283 1.225  0.208 1.083  0.099 0.976  0.070 0.762  0.034 0.548  -0.002 0.335  -0.037 0.122  0.090 -0.040  0.241 -0.110  0.377 -0.191  0.524 -0.343  0.584 -0.534  0.666 -0.717  0.666 -0.933  0.743 -1.117  0.807 -1.307  0.949 -1.465
3#apa#apa03#app0377/U  -0.998 0.814  -0.998 0.707  -0.998 0.600  -0.998 0.492  -0.998 0.385  -0.998 0.278  -0.998 0.171  -0.998 0.063  -0.998 -0.044  -0.998 -0.151  -0.998 -0.259  -0.952 -0.319  -0.844 -0.319  -0.809 -0.392  -0.809 -0.499  -0.809 -0.606  -0.793 -0.697  -0.686 -0.697  -0.578 -0.697  -0.471 -0.697  -0.364 -0.697  -0.256 -0.697  -0.149 -0.697  -0.042 -0.697  0.065 -0.697  0.162 -0.671  0.238 -0.595  0.313 -0.519  0.416 -0.508  0.520 -0.501  0.596 -0.425  0.672 -0.349  0.702 -0.254  0.702 -0.147  0.793 -0.130  0.891 -0.121  0.891 -0.014  0.891 0.094  0.891 0.201  0.891 0.308  0.891 0.415  0.891 0.523  0.891 0.630  0.891 0.737  0.891 0.845  0.891 0.952  0.891 1.059  0.891 1.166  0.891 1.274  0.891 1.381
3#apa#apa03#app0377/A  -0.124 0.957  -0.257 1.109  -0.391 0.957  -0.429 0.710  -0.482 0.446  -0.581 0.202  -0.638 -0.071  -0.784 -0.313  -0.886 -0.556  -1.039 -0.779  -1.039 -1.064  -1.025 -1.011  -0.823 -0.809  -0.734 -0.560  -0.734 -0.274  -0.581 -0.052  -0.554 0.222  -0.352 0.424  -0.196 0.660  -0.069 0.915  0.028 1.178  0.171 1.404  0.390 1.566  0.620 1.432  0.638 1.154  0.638 0.869  0.687 0.603  0.790 0.361  0.790 0.075  0.790 -0.211  0.943 -0.433  0.943 -0.719  0.943 -1.004  1.095 -1.137  1.164 -1.136  0.909 -1.008  0.653 -0.880  0.398 -0.752  0.142 -0.625  -0.113 -0.497  -0.368 -0.369  -0.624 -0.242  -0.879 -0.114  -0.645 -0.199  -0.386 -0.263  -0.119 -0.184  0.149 -0.110  0.372 0.042  0.657 0.042  0.943 0.042
3#apa#apa03#app0377/L  0.255 1.525  0.357 1.525  0.415 1.507  0.342 1.434  0.270 1.362  0.198 1.290  0.125 1.217  0.053 1.145  -0.019 1.072  -0.092 1.000  -0.103 0.902  -0.110 0.803  -0.183 0.731  -0.255 0.658  -0.282 0.567  -0.282 0.464  -0.373 0.453  -0.460 0.438  -0.460 0.336  -0.460 0.234  -0.460 0.131  -0.507 0.048  -0.580 -0.024  -0.639 -0.102  -0.639 -0.204  -0.639 -0.307  -0.639 -0.409  -0.639 -0.511  -0.639 -0.614  -0.639 -0.716  -0.618 -0.798  -0.516 -0.798  -0.414 -0.798  -0.311 -0.798  -0.209 -0.798  -0.106 -0.798  -0.004 -0.798  0.098 -0.798  0.201 -0.798  0.303 -0.798  0.405 -0.798  0.508 -0.798  0.610 -0.798  0.712 -0.798  0.815 -0.798  0.917 -0.798  1.020 -0.798  1.122 -0.798  1.224 -0.798  1.327 -0.798
3#apa#apa03#app0377/M  -0.710 0.656  -0.590 0.495  -0.718 0.407  -0.831 0.243  -0.851 0.052  -1.001 -0.046  -1.073 -0.241  -1.073 -0.452  -1.151 -0.630  -1.193 -0.824  -1.073 -0.914  -1.073 -1.125  -0.952 -1.094  -0.921 -0.913  -0.831 -0.792  -0.831 -0.581  -0.669 -0.470  -0.590 -0.308  -0.525 -0.124  -0.376 0.025  -0.348 0.225  -0.248 0.394  -0.228 0.597  -0.085 0.678  0.014 0.849  0.134 0.856  0.126 0.648  0.014 0.483  0.014 0.272  0.014 0.061  0.095 -0.068  0.185 0.052  0.397 0.052  0.496 0.164  0.648 0.294  0.738 0.415  0.887 0.564  1.060 0.656  1.136 0.813  1.221 0.806  1.221 0.595  1.114 0.428  1.100 0.223  1.059 0.052  0.979 -0.079  0.979 -0.290  0.979 -0.501  1.007 -0.700  1.100 -0.873  1.221 -1.034
3#apa#apa03#app0377/T  0.235 0.664  0.235 0.523  0.234 0.381  0.133 0.281  0.094 0.156  0.094 0.014  0.094 -0.128  0.031 -0.243  -0.047 -0.353  -0.047 -0.495  -0.071 -0.627  -0.171 -0.727  -0.187 -0.862  -0.187 -1.003  -0.187 -1.145  -0.273 -1.251  -0.328 -1.370  -0.328 -1.512  -0.263 -1.588  -0.191 -1.522  -0.198 -1.380  -0.206 -1.239  -0.213 -1.097  -0.221 -0.956  -0.228 -0.814  -0.236 -0.672  -0.243 -0.531  -0.251 -0.389  -0.258 -0.248  -0.265 -0.106  -0.273 0.035  -0.280 0.177  -0.288 0.318  -0.295 0.460  -0.303 0.601  -0.310 0.743  -0.318 0.884  -0.325 1.026  -0.247 1.087  -0.106 1.087  0.036 1.087  0.153 1.146  0.261 1.227  0.403 1.227  0.545 1.227  0.687 1.227  0.828 1.227  0.967 1.213  1.094 1.150  1.220 1.087
3#apa#apa03#app0377/H  -0.233 1.020  -0.320 0.787  -0.510 0.597  -0.700 0.407  -0.819 0.187  -0.965 -0.022  -0.965 -0.291  -1.112 -0.499  -1.112 -0.768  -1.112 -1.037  -1.112 -1.306  -0.905 -1.236  -0.751 -1.016  -0.596 -0.795  -0.442 -0.575  -0.288 -0.355  -0.134 -0.134  0.020 0.086  0.175 0.306  0.329 0.527  0.483 0.747  0.637 0.967  0.792 1.188  0.946 1.408  1.084 1.578  1.084 1.309  0.995 1.077  0.908 0.844  0.745 0.634  0.645 0.389  0.526 0.169  0.499 -0.088  0.499 -0.357  0.499 -0.626  0.507 -0.892  0.645 -1.103  0.492 -1.054  0.282 -0.886  0.072 -0.718  -0.138 -0.550  -0.348 -0.382  -0.558 -0.214  -0.768 -0.046  -0.615 -0.005  -0.356 0.019  -0.138 0.141  0.131 0.141  0.400 0.141  0.669 0.141  0.938 0.141
3#apa#apa03#app0377/E  0.056 1.163  -0.030 0.953  -0.137 0.794  -0.313 0.652  -0.391 0.430  -0.527 0.226  -0.605 0.009  -0.682 -0.204  -0.682 -0.449  -0.671 -0.684  -0.559 -0.550  -0.559 -0.305  -0.559 -0.059  -0.559 0.186  -0.559 0.431  -0.559 0.677  -0.559 0.922  -0.432 1.040  -0.309 1.163  -0.101 1.252  0.130 1.286  0.376 1.286  0.621 1.286  0.845 1.236  0.909 1.022  0.800 0.803  0.690 0.584  0.580 0.364  0.470 0.145  0.361 -0.075  0.418 -0.191  0.663 -0.191  0.909 -0.191  0.699 -0.279  0.471 -0.370  0.244 -0.461  0.016 -0.552  -0.212 -0.643  -0.440 -0.734  -0.668 -0.825  -0.896 -0.917  -0.718 -0.930  -0.528 -1.068  -0.308 -1.176  -0.062 -1.176  0.183 -1.176  0.428 -1.176  0.674 -1.176  0.919 -1.176  1.164 -1.176
3#apa#apa03#app0377/J  0.298 0.428  0.298 0.287  0.298 0.146  0.251 0.025  0.179 -0.087  0.179 -0.228  0.179 -0.369  0.179 -0.510  0.179 -0.651  0.146 -0.759  0.061 -0.814  0.061 -0.955  -0.010 -1.067  -0.131 -1.115  -0.272 -1.115  -0.413 -1.115  -0.513 -1.016  -0.646 -0.997  -0.669 -0.878  -0.810 -0.878  -0.889 -0.816  -0.973 -0.759  -1.008 -0.653  -0.954 -0.524  -0.895 -0.396  -0.836 -0.268  -0.777 -0.140  -0.718 -0.012  -0.659 0.117  -0.600 0.245  -0.540 0.373  -0.481 0.501  -0.422 0.629  -0.363 0.757  -0.304 0.885  -0.175 0.903  -0.034 0.903  0.107 0.903  0.248 0.903  0.390 0.903  0.531 0.903  0.632 0.807  0.763 0.784  0.891 0.726  1.018 0.666  1.159 0.666  1.300 0.666  1.441 0.666  1.582 0.666  1.723 0.666
3#apa#apa03#app0377/O  -0.236 0.305  -0.381 0.305  -0.525 0.305  -0.670 0.305  -0.814 0.305  -0.943 0.269  -1.046 0.167  -1.075 0.034  -1.075 -0.110  -1.075 -0.254  -1.075 -0.399  -1.066 -0.538  -0.937 -0.602  -0.808 -0.667  -0.679 -0.732  -0.550 -0.796  -0.420 -0.861  -0.278 -0.869  -0.134 -0.869  0.011 -0.869  0.155 -0.869  0.300 -0.869  0.444 -0.869  0.589 -0.869  0.733 -0.869  0.846 -0.793  0.948 -0.691  1.050 -0.589  1.105 -0.467  1.105 -0.323  1.105 -0.178  1.105 -0.034  1.105 0.111  1.022 0.221  0.920 0.323  0.818 0.425  0.716 0.527  0.614 0.629  0.602 0.769  0.508 0.855  0.379 0.920  0.248 0.976  0.104 0.976  -0.041 0.976  -0.185 0.976  -0.330 0.976  -0.474 0.976  -0.572 0.929  -0.572 0.785  -0.572 0.641
3#apa#apa03#app0377/L  0.270 1.507  0.345 1.431  0.420 1.356  0.448 1.261  0.448 1.155  0.345 1.151  0.239 1.151  0.132 1.151  0.092 1.085  0.092 0.978  -0.009 0.973  -0.086 0.943  -0.086 0.837  -0.132 0.749  -0.207 0.674  -0.276 0.594  -0.323 0.499  -0.371 0.403  -0.418 0.308  -0.480 0.223  -0.555 0.148  -0.620 0.068  -0.620 -0.038  -0.655 -0.130  -0.730 -0.206  -0.798 -0.284  -0.798 -0.391  -0.798 -0.497  -0.798 -0.604  -0.718 -0.630  -0.614 -0.636  -0.539 -0.711  -0.463 -0.786  -0.366 -0.808  -0.259 -0.808  -0.153 -0.808  -0.046 -0.808  0.060 -0.808  0.167 -0.808  0.273 -0.808  0.380 -0.808  0.486 -0.808  0.593 -0.808  0.699 -0.808  0.806 -0.808  0.912 -0.808  1.019 -0.808  1.125 -0.808  1.232 -0.808  1.338 -0.808
