3#app#app12#app1215/8  0.197 0.703  0.306 0.852  0.250 1.087  0.014 1.140  -0.232 1.089  -0.471 1.018  -0.654 0.835  -0.791 0.698  -0.896 0.483  -1.005 0.270  -1.005 0.012  -0.895 -0.137  -0.780 -0.280  -0.522 -0.280  -0.264 -0.280  -0.006 -0.280  0.207 -0.171  0.451 -0.136  0.556 0.079  0.738 0.261  0.844 0.476  0.852 0.731  0.852 0.989  0.743 1.202  0.532 1.249  0.378 1.113  0.310 0.864  0.242 0.615  0.174 0.366  0.106 0.117  -0.099 0.048  -0.312 -0.062  -0.458 -0.173  -0.586 -0.318  -0.716 -0.538  -0.822 -0.753  -0.895 -0.980  -0.811 -1.154  -0.698 -1.351  -0.449 -1.372  -0.191 -1.372  0.067 -1.372  0.288 -1.281  0.493 -1.154  0.666 -0.980  0.804 -0.765  0.933 -0.608  0.961 -0.378  0.852 -0.165  0.743 0.048
3#app#app12#app1215/:  -0.249 1.295  -0.171 1.295  -0.094 1.295  -0.017 1.295  0.061 1.295  0.138 1.295  0.197 1.277  0.197 1.200  0.197 1.122  0.170 1.072  0.093 1.072  0.015 1.072  -0.026 1.036  -0.026 0.958  -0.026 0.881  -0.026 0.804  -0.026 0.726  -0.026 0.649  -0.026 0.572  -0.026 0.494  -0.026 0.417  -0.026 0.340  -0.026 0.262  -0.026 0.185  -0.026 0.107  -0.026 0.030  -0.026 -0.047  -0.026 -0.125  -0.026 -0.202  -0.026 -0.279  -0.026 -0.357  -0.026 -0.434  -0.026 -0.511  -0.026 -0.589  -0.026 -0.666  -0.026 -0.743  -0.026 -0.821  -0.026 -0.898  -0.026 -0.975  -0.026 -1.053  -0.026 -1.130  -0.026 -1.208  -0.026 -1.285  -0.026 -1.362  -0.026 -1.440  -0.026 -1.517  -0.026 -1.594  0.043 -1.603  0.120 -1.603  0.197 -1.603
3#app#app12#app1215/4  0.021 1.396  0.021 1.156  0.021 0.915  0.021 0.675  0.094 0.452  0.153 0.226  0.153 -0.014  0.153 -0.255  0.226 -0.478  0.286 -0.704  0.382 -0.922  0.419 -1.153  0.512 -1.355  0.552 -1.579  0.528 -1.506  0.492 -1.269  0.455 -1.031  0.419 -0.794  0.382 -0.556  0.346 -0.319  0.309 -0.081  0.273 0.156  0.236 0.394  0.200 0.631  0.163 0.869  0.126 1.106  0.090 1.344  0.053 1.582  0.021 1.771  0.021 1.530  -0.112 1.345  -0.130 1.112  -0.245 0.919  -0.282 0.694  -0.452 0.524  -0.511 0.309  -0.604 0.107  -0.774 -0.063  -0.850 -0.272  -0.926 -0.481  -1.096 -0.651  -1.049 -0.731  -0.809 -0.731  -0.591 -0.678  -0.383 -0.598  -0.143 -0.598  0.097 -0.598  0.338 -0.598  0.578 -0.598  0.818 -0.598
3#app#app12#app1215/&  0.667 1.198  0.480 1.063  0.215 0.928  -0.078 0.858  -0.345 0.727  -0.572 0.499  -0.839 0.367  -0.953 0.093  -0.742 -0.017  -0.420 -0.017  -0.155 0.118  0.116 0.242  0.397 0.289  0.619 0.388  0.667 0.385  0.477 0.253  0.290 0.118  0.025 -0.017  -0.241 -0.152  -0.427 -0.287  -0.548 -0.488  -0.548 -0.809  -0.548 -1.130  -0.384 -1.367  -0.062 -1.367  0.259 -1.367  0.581 -1.367  0.610 -1.138  0.532 -0.826  0.454 -0.514  0.376 -0.203  0.298 0.109  0.220 0.421  0.142 0.733  0.064 1.045  -0.014 1.357  -0.092 1.669  -0.143 1.762  -0.143 1.441  -0.143 1.119  -0.143 0.798  -0.143 0.476  -0.143 0.155  -0.143 -0.166  -0.080 -0.478  -0.008 -0.787  0.058 -1.093  0.127 -1.399  0.127 -1.720  0.262 -1.906
3#app#app12#app1215/4  0.390 1.091  0.390 0.848  0.390 0.604  0.390 0.361  0.390 0.118  0.390 -0.126  0.390 -0.369  0.402 -0.610  0.511 -0.827  0.530 -1.066  0.530 -1.310  0.530 -1.553  0.492 -1.338  0.452 -1.098  0.412 -0.858  0.372 -0.618  0.332 -0.378  0.292 -0.138  0.252 0.103  0.212 0.343  0.172 0.583  0.132 0.823  0.092 1.063  0.052 1.303  0.012 1.543  -0.028 1.783  -0.029 1.554  -0.089 1.371  -0.169 1.207  -0.296 1.091  -0.309 0.860  -0.446 0.674  -0.549 0.532  -0.588 0.328  -0.707 0.134  -0.780 -0.079  -0.868 -0.286  -1.008 -0.472  -1.008 -0.715  -1.148 -0.819  -1.008 -0.811  -0.848 -0.727  -0.605 -0.727  -0.420 -0.587  -0.176 -0.587  0.067 -0.587  0.289 -0.497  0.521 -0.447  0.737 -0.380  0.950 -0.307
3#app#app12#app1215/:  -0.095 1.694  -0.095 1.624  -0.095 1.555  -0.095 1.486  -0.095 1.416  -0.095 1.347  -0.095 1.278  -0.095 1.208  -0.095 1.139  -0.095 1.069  -0.095 1.000  -0.095 0.931  -0.095 0.861  -0.095 0.792  -0.095 0.723  -0.095 0.653  -0.095 0.584  -0.089 0.515  -0.080 0.446  -0.071 0.377  -0.063 0.308  -0.054 0.239  -0.046 0.171  -0.037 0.102  -0.028 0.033  -0.020 -0.036  -0.011 -0.105  -0.003 -0.174  0.006 -0.242  0.015 -0.311  0.023 -0.380  0.032 -0.449  0.040 -0.518  0.049 -0.587  0.058 -0.655  0.066 -0.724  0.075 -0.793  0.083 -0.862  0.092 -0.931  0.101 -1.000  0.109 -1.069  0.118 -1.137  0.126 -1.206  0.135 -1.275  0.144 -1.344  0.152 -1.413  0.161 -1.482  0.169 -1.550  0.178 -1.619  0.187 -1.688
3#app#app12#app1215/2  -1.169 0.506  -1.045 0.506  -1.032 0.619  -0.961 0.714  -0.873 0.803  -0.785 0.891  -0.672 0.918  -0.620 0.992  -0.559 1.056  -0.434 1.056  -0.310 1.056  -0.185 1.056  -0.060 1.056  0.065 1.056  0.190 1.056  0.314 1.056  0.341 0.957  0.427 0.918  0.478 0.845  0.478 0.720  0.478 0.595  0.452 0.481  0.364 0.393  0.341 0.277  0.341 0.153  0.293 0.047  0.205 -0.041  0.203 -0.165  0.126 -0.258  0.066 -0.358  0.054 -0.479  -0.002 -0.591  -0.058 -0.703  -0.167 -0.729  -0.267 -0.788  -0.346 -0.880  -0.346 -1.005  -0.346 -1.130  -0.232 -1.141  -0.107 -1.141  0.017 -1.141  0.142 -1.141  0.267 -1.141  0.377 -1.104  0.465 -1.016  0.585 -1.003  0.709 -1.003  0.834 -1.003  0.939 -0.954  1.027 -0.866
3#app#app12#app1215/&  0.431 0.994  0.587 1.121  0.628 0.994  0.431 0.909  0.191 0.868  0.036 0.741  -0.120 0.614  -0.349 0.488  -0.504 0.361  -0.692 0.217  -0.455 0.107  -0.182 0.128  0.056 0.234  0.305 0.201  0.178 0.046  0.013 -0.146  -0.212 -0.283  -0.445 -0.400  -0.675 -0.526  -0.767 -0.653  -0.486 -0.653  -0.204 -0.653  -0.048 -0.780  0.178 -0.835  0.389 -0.906  0.398 -0.670  0.358 -0.391  0.318 -0.112  0.278 0.168  0.238 0.447  0.198 0.726  0.158 1.005  0.118 1.284  0.079 1.563  0.051 1.667  -0.031 1.419  -0.076 1.155  -0.076 0.873  -0.076 0.591  -0.076 0.310  -0.076 0.028  -0.076 -0.254  -0.076 -0.536  -0.076 -0.818  -0.076 -1.100  -0.076 -1.382  -0.076 -1.664  0.049 -1.916  0.158 -2.153  0.178 -2.427
3#app#app12#app1215/2  -0.876 0.648  -0.876 0.778  -0.746 0.779  -0.744 0.908  -0.616 0.910  -0.523 1.000  -0.410 1.041  -0.279 1.041  -0.220 1.112  -0.150 1.172  -0.019 1.172  0.111 1.172  0.241 1.172  0.372 1.172  0.483 1.125  0.567 1.029  0.559 0.902  0.467 0.810  0.436 0.693  0.436 0.562  0.376 0.457  0.304 0.356  0.284 0.234  0.192 0.142  0.100 0.049  0.042 -0.057  -0.006 -0.139  -0.123 -0.173  -0.215 -0.265  -0.220 -0.393  -0.307 -0.488  -0.351 -0.600  -0.418 -0.663  -0.482 -0.729  -0.482 -0.860  -0.482 -0.990  -0.418 -1.057  -0.351 -1.120  -0.289 -1.188  -0.158 -1.188  -0.028 -1.188  0.102 -1.188  0.215 -1.146  0.309 -1.057  0.439 -1.057  0.570 -1.057  0.698 -1.055  0.699 -0.926  0.830 -0.926  0.960 -0.926
3#app#app12#app1215/:  0.106 1.735  0.106 1.663  0.106 1.591  0.106 1.519  0.103 1.447  0.096 1.375  0.090 1.303  0.083 1.231  0.077 1.159  0.070 1.087  0.064 1.015  0.057 0.943  0.050 0.871  0.044 0.799  0.037 0.727  0.031 0.655  0.024 0.583  0.018 0.511  0.011 0.439  0.005 0.367  -0.002 0.295  -0.008 0.223  -0.015 0.151  -0.022 0.079  -0.028 0.007  -0.035 -0.065  -0.041 -0.137  -0.048 -0.209  -0.054 -0.280  -0.061 -0.352  -0.067 -0.424  -0.074 -0.496  -0.080 -0.568  -0.087 -0.640  -0.093 -0.712  -0.100 -0.784  -0.107 -0.856  -0.113 -0.928  -0.120 -1.000  -0.126 -1.072  -0.133 -1.144  -0.139 -1.216  -0.146 -1.288  -0.075 -1.290  -0.003 -1.290  0.069 -1.290  0.106 -1.325  0.106 -1.397  0.106 -1.469  0.106 -1.542
3#app#app12#app1215/1  -0.112 1.698  -0.112 1.628  -0.112 1.558  -0.112 1.487  -0.112 1.417  -0.112 1.346  -0.112 1.276  -0.112 1.206  -0.112 1.135  -0.112 1.065  -0.112 0.994  -0.112 0.924  -0.112 0.854  -0.112 0.783  -0.112 0.713  -0.112 0.642  -0.112 0.572  -0.104 0.503  -0.073 0.440  -0.041 0.377  -0.010 0.314  0.022 0.251  0.053 0.189  0.056 0.119  0.056 0.049  0.056 -0.022  0.056 -0.092  0.056 -0.163  0.056 -0.233  0.056 -0.304  0.056 -0.374  0.056 -0.444  0.056 -0.515  0.056 -0.585  0.056 -0.656  0.056 -0.726  0.056 -0.796  0.056 -0.867  0.056 -0.937  0.056 -1.008  0.056 -1.078  0.056 -1.148  0.056 -1.219  0.056 -1.289  0.067 -1.357  0.099 -1.420  0.130 -1.483  0.162 -1.546  0.193 -1.609  0.225 -1.672
3#app#app12#app1215/;  -0.326 1.256  -0.326 1.339  -0.326 1.322  -0.309 1.256  -0.225 1.256  -0.141 1.256  -0.092 1.291  -0.093 1.371  -0.100 1.287  -0.108 1.204  -0.115 1.120  -0.123 1.037  -0.131 0.953  -0.138 0.870  -0.146 0.786  -0.153 0.703  -0.161 0.619  -0.168 0.536  -0.176 0.452  -0.184 0.369  -0.191 0.285  -0.199 0.202  -0.206 0.118  -0.159 0.085  -0.080 0.073  -0.021 0.014  0.025 -0.052  0.025 -0.135  0.095 -0.149  0.142 -0.186  0.142 -0.270  0.142 -0.354  0.142 -0.438  0.142 -0.521  0.142 -0.605  0.193 -0.668  0.252 -0.727  0.259 -0.808  0.259 -0.892  0.259 -0.976  0.259 -1.060  0.259 -1.144  0.259 -1.228  0.259 -1.311  0.259 -1.395  0.239 -1.475  0.202 -1.550  0.164 -1.625  0.142 -1.703  0.142 -1.787
3#app#app12#app1215/>  -0.975 1.428  -0.975 1.323  -0.959 1.233  -0.853 1.233  -0.781 1.201  -0.781 1.095  -0.732 1.039  -0.626 1.039  -0.521 1.039  -0.415 1.039  -0.391 0.957  -0.391 0.852  -0.322 0.775  -0.247 0.700  -0.173 0.626  -0.098 0.551  -0.023 0.476  0.051 0.402  0.126 0.327  0.200 0.252  0.275 0.178  0.350 0.103  0.424 0.029  0.499 -0.046  0.574 -0.121  0.675 -0.129  0.777 -0.133  0.777 -0.239  0.797 -0.324  0.903 -0.324  0.935 -0.324  0.830 -0.324  0.740 -0.362  0.665 -0.436  0.590 -0.511  0.488 -0.519  0.384 -0.522  0.309 -0.597  0.235 -0.672  0.160 -0.746  0.086 -0.821  0.011 -0.895  -0.064 -0.970  -0.138 -1.045  -0.213 -1.119  -0.287 -1.194  -0.362 -1.269  -0.437 -1.343  -0.511 -1.418  -0.586 -1.492
