3#app#app35#app3532/p  -0.388 1.343  -0.388 1.119  -0.291 0.935  -0.291 0.710  -0.291 0.486  -0.193 0.302  -0.192 0.078  -0.096 -0.107  -0.096 -0.331  -0.096 -0.556  -0.096 -0.780  -0.002 -0.982  0.001 -1.206  0.001 -1.430  0.001 -1.489  -0.193 -1.459  -0.193 -1.429  -0.096 -1.301  -0.193 -1.174  -0.193 -0.950  -0.242 -0.746  -0.291 -0.541  -0.330 -0.326  -0.411 -0.118  -0.465 0.099  -0.549 0.306  -0.606 0.517  -0.679 0.724  -0.679 0.948  -0.679 1.173  -0.568 1.343  -0.344 1.343  -0.119 1.343  0.105 1.343  0.228 1.229  0.421 1.118  0.545 0.934  0.681 0.759  0.738 0.548  0.805 0.345  0.895 0.158  0.972 -0.035  0.972 -0.259  0.917 -0.461  0.808 -0.600  0.624 -0.697  0.399 -0.697  0.215 -0.600  0.022 -0.524  -0.096 -0.406
3#app#app35#app3532/a  0.029 0.594  0.029 0.760  0.029 0.926  0.029 1.092  -0.045 1.227  -0.111 1.366  -0.209 1.433  -0.339 1.345  -0.456 1.228  -0.574 1.110  -0.670 0.985  -0.709 0.835  -0.810 0.711  -0.826 0.547  -0.878 0.390  -0.931 0.233  -0.950 0.070  -0.950 -0.096  -0.950 -0.262  -0.950 -0.428  -0.901 -0.574  -0.810 -0.702  -0.765 -0.849  -0.639 -0.944  -0.473 -0.944  -0.307 -0.944  -0.141 -0.944  -0.015 -0.848  0.133 -0.804  0.169 -0.674  0.279 -0.554  0.433 -0.525  0.448 -0.374  0.474 -0.219  0.588 -0.101  0.588 0.065  0.588 0.231  0.588 0.397  0.588 0.345  0.588 0.179  0.588 0.014  0.588 -0.152  0.640 -0.297  0.728 -0.426  0.728 -0.592  0.822 -0.665  0.952 -0.749  1.095 -0.804  1.261 -0.804  1.427 -0.804
3#app#app35#app3532/s  0.248 0.878  0.238 1.013  0.139 1.112  0.007 1.129  -0.132 1.129  -0.271 1.129  -0.411 1.129  -0.504 1.083  -0.546 0.961  -0.645 0.863  -0.743 0.764  -0.842 0.666  -0.940 0.567  -1.006 0.455  -1.049 0.334  -1.131 0.229  -1.131 0.089  -1.095 -0.035  -0.996 -0.133  -0.898 -0.232  -0.766 -0.250  -0.627 -0.250  -0.493 -0.238  -0.394 -0.139  -0.261 -0.124  -0.136 -0.065  -0.011 -0.003  0.126 0.004  0.224 0.103  0.354 0.126  0.493 0.126  0.632 0.126  0.771 0.126  0.900 0.100  0.998 0.002  0.999 -0.137  0.999 -0.276  0.999 -0.415  0.999 -0.555  0.999 -0.694  0.941 -0.809  0.830 -0.876  0.749 -0.934  0.677 -1.001  0.563 -1.062  0.464 -1.161  0.363 -1.252  0.223 -1.252  0.095 -1.225  -0.003 -1.127
3#app#app35#app3532/s  -0.015 1.312  -0.131 1.299  -0.156 1.197  -0.284 1.197  -0.361 1.145  -0.425 1.082  -0.476 1.004  -0.566 0.967  -0.664 0.894  -0.706 0.783  -0.787 0.737  -0.821 0.643  -0.928 0.621  -0.936 0.502  -0.936 0.374  -0.936 0.246  -0.893 0.161  -0.765 0.161  -0.637 0.161  -0.509 0.161  -0.381 0.161  -0.253 0.161  -0.125 0.161  0.003 0.161  0.131 0.161  0.259 0.161  0.387 0.161  0.515 0.161  0.643 0.161  0.743 0.094  0.851 0.046  0.905 -0.028  0.905 -0.156  0.905 -0.283  0.905 -0.411  0.905 -0.539  0.889 -0.660  0.798 -0.751  0.789 -0.875  0.698 -0.966  0.580 -0.989  0.560 -1.097  0.441 -1.108  0.351 -1.198  0.231 -1.219  0.103 -1.219  -0.025 -1.219  -0.152 -1.219  -0.270 -1.195  -0.361 -1.104
3#app#app35#app3532/e  -0.752 -0.537  -0.752 -0.367  -0.752 -0.196  -0.657 -0.121  -0.613 0.005  -0.455 0.018  -0.335 0.069  -0.253 0.157  -0.083 0.157  0.045 0.260  0.200 0.296  0.327 0.402  0.484 0.435  0.636 0.452  0.686 0.573  0.775 0.654  0.887 0.712  0.914 0.856  0.914 1.026  0.846 1.129  0.676 1.129  0.505 1.129  0.335 1.129  0.165 1.129  0.081 1.042  -0.037 0.990  -0.164 0.884  -0.320 0.851  -0.347 0.700  -0.468 0.580  -0.588 0.459  -0.613 0.299  -0.613 0.129  -0.613 -0.041  -0.613 -0.212  -0.613 -0.382  -0.613 -0.552  -0.580 -0.709  -0.474 -0.836  -0.422 -0.954  -0.335 -1.038  -0.232 -1.144  -0.080 -1.220  0.088 -1.231  0.247 -1.259  0.371 -1.370  0.542 -1.370  0.712 -1.370  0.883 -1.370  1.053 -1.370
3#app#app35#app3532/d  0.150 -0.037  0.150 0.176  0.008 0.247  -0.204 0.247  -0.417 0.247  -0.590 0.152  -0.745 0.013  -0.896 -0.138  -0.984 -0.314  -1.079 -0.432  -1.079 -0.644  -0.984 -0.763  -0.906 -0.927  -0.732 -1.045  -0.533 -1.077  -0.320 -1.077  -0.108 -1.077  0.105 -1.077  0.318 -1.077  0.510 -0.991  0.503 -0.792  0.475 -0.581  0.447 -0.370  0.419 -0.159  0.390 0.052  0.362 0.262  0.334 0.473  0.306 0.684  0.278 0.895  0.250 1.106  0.222 1.316  0.194 1.527  0.166 1.738  0.056 1.852  0.056 1.640  0.056 1.427  0.056 1.214  0.098 1.012  0.150 0.811  0.150 0.599  0.150 0.386  0.150 0.173  0.236 -0.019  0.246 -0.230  0.297 -0.436  0.367 -0.632  0.434 -0.817  0.434 -1.030  0.528 -1.148  0.528 -1.360
3#app#app35#app3532/t  0.147 1.609  0.147 1.658  0.147 1.473  0.147 1.287  0.147 1.102  0.147 0.917  0.147 0.732  0.205 0.560  0.264 0.389  0.264 0.204  0.264 0.018  0.264 -0.167  0.264 -0.352  0.264 -0.537  0.264 -0.723  0.309 -0.889  0.381 -1.045  0.381 -1.230  0.381 -1.415  0.259 -1.307  0.128 -1.176  -0.003 -1.045  -0.134 -0.914  -0.265 -0.783  -0.396 -0.652  -0.527 -0.521  -0.658 -0.390  -0.789 -0.259  -0.920 -0.128  -1.051 0.003  -1.200 0.091  -1.372 0.077  -1.372 0.055  -1.222 0.091  -1.036 0.091  -0.851 0.091  -0.666 0.091  -0.481 0.091  -0.303 0.108  -0.159 0.207  0.027 0.207  0.212 0.207  0.397 0.207  0.582 0.207  0.767 0.207  0.942 0.254  1.110 0.324  1.296 0.324  1.481 0.324  1.666 0.324
3#app#app35#app3532/h  -0.666 1.918  -0.666 1.789  -0.666 1.660  -0.666 1.531  -0.666 1.402  -0.666 1.273  -0.666 1.144  -0.624 1.025  -0.566 0.909  -0.565 0.780  -0.541 0.657  -0.483 0.541  -0.464 0.417  -0.464 0.288  -0.464 0.159  -0.433 0.037  -0.375 -0.079  -0.363 -0.205  -0.363 -0.334  -0.345 -0.460  -0.304 -0.583  -0.263 -0.705  -0.262 -0.834  -0.225 -0.948  -0.161 -1.050  -0.161 -1.047  -0.161 -0.918  -0.161 -0.789  -0.161 -0.660  -0.106 -0.553  -0.060 -0.444  -0.060 -0.315  0.024 -0.220  0.116 -0.129  0.207 -0.038  0.298 0.053  0.408 0.099  0.537 0.099  0.667 0.099  0.748 0.052  0.802 -0.055  0.849 -0.164  0.913 -0.267  0.950 -0.381  1.024 -0.479  1.052 -0.597  1.052 -0.726  1.052 -0.855  1.052 -0.984  1.052 -1.113
3#app#app35#app3532/r  -0.744 0.348  -0.744 0.230  -0.744 0.111  -0.699 0.011  -0.615 -0.074  -0.598 -0.185  -0.598 -0.304  -0.598 -0.423  -0.593 -0.541  -0.539 -0.647  -0.486 -0.753  -0.451 -0.864  -0.442 -0.979  -0.358 -1.063  -0.305 -1.160  -0.322 -1.262  -0.441 -1.262  -0.451 -1.154  -0.451 -1.035  -0.451 -0.916  -0.451 -0.797  -0.451 -0.678  -0.451 -0.559  -0.388 -0.467  -0.305 -0.382  -0.305 -0.263  -0.305 -0.145  -0.305 -0.026  -0.288 0.089  -0.235 0.196  -0.182 0.302  -0.111 0.396  -0.027 0.480  0.057 0.564  0.141 0.648  0.225 0.732  0.321 0.788  0.436 0.796  0.520 0.881  0.617 0.934  0.735 0.934  0.854 0.934  0.973 0.934  1.092 0.934  1.211 0.934  1.323 0.917  1.407 0.833  1.452 0.733  1.479 0.641  1.598 0.641
3#app#app35#app3532/o  -0.130 1.034  0.011 1.034  -0.093 1.034  -0.204 0.960  -0.304 0.860  -0.404 0.760  -0.450 0.637  -0.508 0.555  -0.609 0.514  -0.625 0.379  -0.725 0.279  -0.769 0.156  -0.769 0.015  -0.799 -0.114  -0.899 -0.214  -0.929 -0.344  -0.929 -0.485  -0.929 -0.626  -0.897 -0.755  -0.797 -0.855  -0.697 -0.955  -0.592 -1.043  -0.451 -1.043  -0.310 -1.043  -0.168 -1.043  -0.027 -1.043  0.115 -1.043  0.256 -1.043  0.383 -1.009  0.483 -0.909  0.614 -0.883  0.730 -0.822  0.828 -0.721  0.828 -0.580  0.828 -0.438  0.828 -0.297  0.828 -0.155  0.828 -0.014  0.828 0.128  0.805 0.259  0.705 0.359  0.669 0.486  0.636 0.619  0.573 0.746  0.510 0.872  0.509 1.014  0.388 1.034  0.349 1.137  0.289 1.253  0.189 1.353
3#app#app35#app3532/u  -0.767 1.187  -0.767 1.086  -0.805 1.001  -0.877 0.930  -0.914 0.845  -0.914 0.744  -0.914 0.643  -0.914 0.542  -0.914 0.442  -0.914 0.341  -0.914 0.240  -0.914 0.139  -0.914 0.038  -0.914 -0.062  -0.896 -0.156  -0.825 -0.227  -0.754 -0.298  -0.682 -0.370  -0.620 -0.444  -0.620 -0.545  -0.553 -0.580  -0.458 -0.594  -0.387 -0.665  -0.312 -0.727  -0.211 -0.727  -0.110 -0.727  -0.009 -0.727  0.091 -0.727  0.192 -0.727  0.284 -0.706  0.356 -0.635  0.431 -0.569  0.521 -0.524  0.612 -0.479  0.702 -0.434  0.774 -0.364  0.845 -0.293  0.916 -0.221  0.988 -0.150  1.000 -0.054  1.000 0.046  1.000 0.147  1.064 0.221  1.136 0.293  1.147 0.389  1.147 0.489  1.147 0.590  1.147 0.691  1.147 0.792  1.147 0.893
