2#app#app25#app2548/f  1.497 1.161  1.363 1.296  1.175 1.300  0.985 1.300  0.837 1.197  0.662 1.161  0.611 1.022  0.421 1.022  0.370 0.883  0.199 0.837  0.106 0.685  0.106 0.495  -0.048 0.451  -0.172 0.312  -0.107 0.187  -0.033 0.071  0.085 -0.070  0.219 -0.205  0.245 -0.384  0.245 -0.574  0.245 -0.764  0.106 -0.815  0.027 -0.926  -0.033 -1.056  -0.214 -1.065  -0.312 -1.158  -0.455 -1.204  -0.590 -1.260  -0.665 -1.419  -0.729 -1.382  -0.742 -1.193  -0.757 -1.003  -0.773 -0.814  -0.789 -0.625  -0.805 -0.435  -0.820 -0.246  -0.836 -0.056  -0.852 0.133  -0.868 0.322  -0.682 0.326  -0.492 0.326  -0.302 0.326  -0.112 0.326  -0.033 0.215  0.129 0.187  0.319 0.187  0.510 0.187  0.662 0.224  0.574 0.326  0.523 0.187
2#app#app25#app2548/e  -0.136 0.024  -0.136 0.195  0.008 0.223  0.063 0.106  0.152 0.024  0.324 0.024  0.495 0.024  0.665 0.029  0.786 0.150  0.927 0.223  1.099 0.223  1.257 0.236  1.257 0.408  1.257 0.580  1.127 0.621  1.058 0.724  0.982 0.820  0.811 0.820  0.639 0.820  0.468 0.820  0.296 0.820  0.124 0.820  -0.047 0.820  -0.219 0.820  -0.374 0.781  -0.496 0.660  -0.651 0.621  -0.796 0.558  -0.918 0.436  -0.932 0.271  -0.932 0.099  -1.028 0.024  -1.131 -0.045  -1.131 -0.216  -1.131 -0.388  -1.131 -0.560  -0.974 -0.573  -0.932 -0.704  -0.830 -0.772  -0.733 -0.848  -0.685 -0.971  -0.514 -0.971  -0.342 -0.971  -0.171 -0.971  0.001 -0.971  0.173 -0.971  0.344 -0.971  0.516 -0.971  0.687 -0.971  0.859 -0.971
2#app#app25#app2548/w  -0.554 1.033  -0.723 1.012  -0.751 0.835  -0.885 0.701  -1.019 0.567  -1.061 0.395  -1.212 0.356  -1.230 0.185  -1.246 0.002  -1.380 -0.132  -1.399 -0.313  -1.385 -0.489  -1.196 -0.489  -1.006 -0.489  -0.817 -0.489  -0.723 -0.394  -0.607 -0.320  -0.418 -0.320  -0.385 -0.164  -0.215 -0.143  -0.188 0.018  0.002 0.018  0.123 0.087  0.186 0.250  0.331 0.356  0.461 0.416  0.461 0.445  0.461 0.256  0.340 0.187  0.292 0.046  0.130 0.018  0.110 -0.151  -0.046 -0.184  -0.046 -0.374  -0.046 -0.563  0.048 -0.658  0.237 -0.658  0.387 -0.563  0.546 -0.489  0.705 -0.414  0.799 -0.264  0.875 -0.151  1.065 -0.151  1.254 -0.151  1.306 -0.014  1.418 0.130  1.583 0.187  1.644 0.316  1.793 0.356  1.983 0.356
2#app#app25#app2548/q  1.000 1.069  0.796 1.146  0.621 1.235  0.472 1.322  0.363 1.195  0.161 1.114  -0.010 1.023  -0.136 0.914  -0.263 0.805  -0.263 0.570  -0.389 0.460  -0.263 0.277  -0.119 0.185  0.116 0.186  0.226 0.312  0.409 0.438  0.518 0.564  0.627 0.690  0.747 0.806  0.874 0.915  0.792 0.817  0.683 0.690  0.461 0.657  0.295 0.491  0.208 0.312  0.098 0.185  -0.100 0.096  -0.263 -0.072  -0.377 -0.193  -0.458 -0.389  -0.543 -0.572  -0.649 -0.706  -0.816 -0.873  -0.982 -1.039  -1.020 -1.259  -1.020 -1.494  -0.873 -1.582  -0.638 -1.579  -0.454 -1.456  -0.345 -1.330  -0.236 -1.204  -0.126 -1.077  -0.010 -0.958  0.116 -0.849  0.242 -0.740  0.242 -0.504  0.242 -0.269  0.208 -0.067  -0.027 -0.067  -0.136 -0.193
2#app#app25#app2548/u  -0.894 0.558  -1.030 0.422  -1.186 0.334  -1.342 0.297  -1.342 0.105  -1.342 -0.088  -1.342 -0.281  -1.342 -0.473  -1.342 -0.666  -1.272 -0.788  -1.080 -0.788  -0.894 -0.781  -0.894 -0.589  -0.726 -0.564  -0.669 -0.428  -0.565 -0.339  -0.373 -0.339  -0.221 -0.299  -0.212 -0.115  -0.019 -0.115  0.174 -0.115  0.366 -0.115  0.452 -0.009  0.527 0.109  0.677 0.152  0.688 0.334  0.881 0.334  0.901 0.506  1.000 0.657  1.137 0.793  1.273 0.930  1.266 1.007  1.073 1.007  0.901 0.986  0.901 0.794  0.720 0.782  0.677 0.633  0.677 0.440  0.591 0.334  0.452 0.279  0.436 0.093  0.300 -0.043  0.228 -0.206  0.186 -0.381  0.050 -0.517  0.004 -0.691  0.099 -0.788  0.291 -0.788  0.484 -0.788  0.677 -0.788
2#app#app25#app2548/i  0.127 0.422  -0.002 0.422  -0.100 0.349  -0.179 0.253  -0.179 0.125  -0.299 0.117  -0.331 0.020  -0.404 -0.036  -0.518 -0.070  -0.609 -0.160  -0.636 -0.277  -0.701 -0.341  -0.789 -0.382  -0.789 -0.510  -0.789 -0.638  -0.789 -0.767  -0.789 -0.895  -0.717 -0.951  -0.636 -1.000  -0.613 -1.104  -0.484 -1.104  -0.356 -1.104  -0.227 -1.104  -0.099 -1.104  0.030 -1.104  0.133 -1.073  0.158 -0.948  0.183 -0.822  0.208 -0.696  0.234 -0.570  0.259 -0.444  0.284 -0.318  0.309 -0.192  0.334 -0.066  0.360 0.060  0.385 0.186  0.410 0.312  0.435 0.438  0.460 0.564  0.485 0.690  0.511 0.816  0.536 0.941  0.561 1.067  0.586 1.193  0.611 1.319  0.637 1.445  0.662 1.571  0.687 1.697  0.712 1.823  0.737 1.949
2#app#app25#app2548/p  0.078 0.686  0.050 0.505  -0.075 0.365  -0.075 0.173  -0.141 0.008  -0.228 -0.148  -0.305 -0.309  -0.381 -0.469  -0.381 -0.661  -0.496 -0.806  -0.632 -0.942  -0.768 -1.077  -0.904 -1.213  -1.059 -1.303  -1.146 -1.408  -1.146 -1.311  -1.115 -1.150  -0.944 -1.100  -0.808 -0.964  -0.672 -0.828  -0.536 -0.693  -0.498 -0.538  -0.381 -0.462  -0.300 -0.304  -0.228 -0.141  -0.098 -0.079  -0.075 0.090  -0.075 0.282  -0.075 0.474  0.059 0.533  0.231 0.553  0.290 0.686  0.384 0.784  0.521 0.839  0.536 1.016  0.600 1.145  0.792 1.145  0.842 1.286  0.995 1.270  0.995 1.078  0.995 0.886  0.995 0.693  0.995 0.501  0.995 0.309  0.885 0.227  0.842 0.078  0.654 0.074  0.462 0.074  0.270 0.074  0.078 0.074
2#app#app25#app2548/s  1.042 0.962  0.917 0.962  0.839 1.010  0.839 1.135  0.744 1.165  0.620 1.165  0.495 1.165  0.370 1.165  0.245 1.165  0.120 1.165  -0.005 1.165  -0.130 1.165  -0.173 1.083  -0.177 0.962  -0.302 0.962  -0.375 0.910  -0.375 0.785  -0.375 0.660  -0.375 0.536  -0.375 0.411  -0.326 0.306  -0.237 0.218  -0.149 0.129  -0.061 0.041  0.028 -0.047  0.116 -0.136  0.204 -0.224  0.232 -0.337  0.232 -0.462  0.232 -0.587  0.287 -0.657  0.412 -0.657  0.435 -0.759  0.409 -0.859  0.284 -0.859  0.232 -0.932  0.232 -1.057  0.112 -1.061  -0.013 -1.061  -0.138 -1.061  -0.263 -1.061  -0.375 -1.049  -0.375 -0.924  -0.435 -0.859  -0.560 -0.859  -0.685 -0.859  -0.780 -0.889  -0.780 -1.014  -0.857 -1.061  -0.982 -1.061
2#app#app25#app2548/g  1.004 0.538  1.090 0.711  1.114 0.899  1.000 0.978  0.807 0.978  0.724 1.088  0.530 1.088  0.447 0.978  0.343 0.889  0.171 0.868  0.020 0.765  -0.097 0.620  -0.097 0.427  -0.097 0.234  0.070 0.208  0.254 0.229  0.411 0.318  0.560 0.424  0.642 0.538  0.725 0.648  0.784 0.783  0.707 0.792  0.648 0.623  0.563 0.465  0.453 0.317  0.453 0.124  0.343 0.041  0.244 -0.112  0.123 -0.255  0.018 -0.343  -0.043 -0.508  -0.103 -0.673  -0.207 -0.762  -0.334 -0.894  -0.527 -0.894  -0.675 -1.004  -0.758 -1.114  -0.952 -1.114  -1.088 -1.170  -1.220 -1.203  -1.309 -1.046  -1.268 -0.894  -1.185 -0.783  -0.992 -0.783  -0.908 -0.673  -0.838 -0.533  -0.677 -0.453  -0.484 -0.453  -0.291 -0.453  -0.097 -0.453
2#app#app25#app2548/a  1.018 0.238  1.090 0.454  1.161 0.669  1.171 0.840  0.944 0.840  0.717 0.840  0.527 0.929  0.346 1.040  0.119 1.040  -0.072 0.953  -0.232 0.793  -0.396 0.639  -0.623 0.639  -0.787 0.576  -0.876 0.439  -0.987 0.323  -1.130 0.238  -1.188 0.069  -1.326 -0.100  -1.486 -0.261  -1.589 -0.446  -1.480 -0.564  -1.253 -0.564  -1.026 -0.564  -0.799 -0.564  -0.572 -0.564  -0.345 -0.564  -0.138 -0.516  0.015 -0.353  0.052 -0.163  0.279 -0.163  0.416 -0.073  0.499 0.120  0.617 0.298  0.703 0.439  0.704 0.439  0.617 0.299  0.451 0.238  0.416 0.046  0.261 -0.117  0.216 -0.325  0.027 -0.363  0.015 -0.579  0.015 -0.806  0.083 -0.965  0.310 -0.965  0.537 -0.965  0.764 -0.965  0.991 -0.965  1.218 -0.965
2#app#app25#app2548/l  0.651 1.379  0.730 1.458  0.809 1.537  0.703 1.540  0.651 1.481  0.644 1.372  0.565 1.293  0.486 1.214  0.407 1.135  0.330 1.056  0.330 0.944  0.264 0.897  0.169 0.881  0.169 0.770  0.113 0.681  0.034 0.602  0.009 0.501  -0.010 0.397  -0.089 0.318  -0.152 0.233  -0.152 0.121  -0.237 0.095  -0.312 0.059  -0.312 -0.053  -0.312 -0.165  -0.363 -0.226  -0.473 -0.227  -0.473 -0.339  -0.537 -0.387  -0.633 -0.402  -0.633 -0.513  -0.633 -0.625  -0.633 -0.737  -0.633 -0.848  -0.633 -0.960  -0.591 -1.029  -0.479 -1.029  -0.368 -1.029  -0.312 -0.972  -0.305 -0.868  -0.193 -0.868  -0.082 -0.868  0.030 -0.868  0.142 -0.868  0.253 -0.868  0.330 -0.903  0.330 -1.015  0.427 -1.029  0.490 -1.078  0.490 -1.189
