1d#tos#f2#f2024065/!  0.286 1.327  0.286 1.401  0.220 1.410  0.204 1.467  0.163 1.484  0.163 1.410  0.163 1.336  0.163 1.262  0.163 1.187  0.157 1.116  0.105 1.063  0.080 0.999  0.080 0.925  0.080 0.851  0.080 0.777  0.080 0.703  0.080 0.629  0.080 0.555  0.080 0.480  0.080 0.406  0.080 0.332  0.080 0.258  0.080 0.184  0.071 0.111  0.059 0.037  0.048 -0.036  0.037 -0.109  0.025 -0.182  0.014 -0.256  0.003 -0.329  -0.008 -0.402  -0.020 -0.476  -0.031 -0.549  -0.042 -0.622  -0.053 -0.695  -0.065 -0.769  -0.076 -0.842  -0.085 -0.915  -0.085 -0.989  -0.085 -1.063  -0.085 -1.138  -0.124 -1.198  -0.169 -1.258  -0.217 -1.310  -0.291 -1.310  -0.365 -1.310  -0.373 -1.376  -0.373 -1.450  -0.373 -1.525  -0.373 -1.599
1d#tos#f2#f2024065/$  0.204 1.667  0.014 1.696  0.129 1.643  0.278 1.507  0.428 1.371  0.577 1.235  0.501 1.187  0.299 1.187  0.097 1.187  -0.105 1.187  -0.275 1.081  -0.449 1.014  -0.565 0.854  -0.597 0.658  -0.556 0.465  -0.382 0.386  -0.181 0.386  -0.019 0.289  0.179 0.280  0.379 0.272  0.517 0.173  0.684 0.097  0.745 -0.048  0.791 -0.232  0.758 -0.426  0.631 -0.516  0.487 -0.574  0.471 -0.760  0.299 -0.795  0.150 -0.918  -0.010 -1.001  -0.199 -1.054  -0.401 -1.054  -0.602 -1.052  -0.757 -0.965  -0.839 -0.783  -0.970 -0.693  -0.889 -0.773  -0.690 -0.737  -0.491 -0.701  -0.293 -0.664  -0.094 -0.628  0.105 -0.592  0.204 -0.675  0.191 -0.807  0.120 -0.618  0.049 -0.429  -0.010 -0.588  -0.010 -0.790  0.097 -0.948
1d#tos#f2#f2024065/(  0.840 1.095  0.761 1.095  0.682 1.095  0.604 1.095  0.525 1.095  0.446 1.095  0.368 1.095  0.333 1.139  0.283 1.167  0.204 1.167  0.125 1.167  0.115 1.099  0.114 1.020  0.079 0.950  0.044 0.880  0.028 0.803  0.012 0.725  -0.003 0.648  -0.019 0.571  -0.045 0.500  -0.101 0.444  -0.157 0.388  -0.188 0.319  -0.207 0.243  -0.226 0.166  -0.245 0.090  -0.247 0.011  -0.247 -0.067  -0.247 -0.146  -0.247 -0.225  -0.247 -0.303  -0.247 -0.382  -0.247 -0.461  -0.247 -0.540  -0.247 -0.618  -0.247 -0.697  -0.247 -0.776  -0.227 -0.851  -0.202 -0.926  -0.177 -1.000  -0.175 -1.079  -0.175 -1.157  -0.175 -1.236  -0.169 -1.314  -0.144 -1.389  -0.119 -1.463  -0.088 -1.535  -0.045 -1.601  -0.001 -1.666  0.043 -1.732
1d#tos#f2#f2024065/*  0.110 2.004  -0.059 1.874  -0.059 1.575  -0.059 1.276  -0.059 0.977  -0.059 0.679  -0.059 0.380  -0.059 0.081  -0.059 -0.218  -0.003 -0.508  -0.003 -0.807  -0.003 -1.106  0.020 -1.403  0.053 -1.699  0.040 -1.885  -0.026 -1.594  -0.093 -1.302  -0.160 -1.011  -0.227 -0.720  -0.293 -0.428  -0.360 -0.137  -0.427 0.155  -0.494 0.446  -0.561 0.737  -0.825 0.821  -0.742 0.764  -0.606 0.544  -0.422 0.329  -0.279 0.079  -0.116 -0.164  -0.005 -0.417  0.166 -0.655  0.270 -0.707  0.390 -0.433  0.511 -0.160  0.632 0.114  0.752 0.387  0.873 0.661  0.994 0.934  0.970 1.061  0.789 0.933  0.544 0.804  0.448 0.545  0.281 0.315  0.049 0.127  -0.108 -0.121  -0.236 -0.386  -0.410 -0.627  -0.505 -0.910  -0.510 -1.208
1d#tos#f2#f2024065/  -0.667 -0.006  -0.749 -0.006  -0.831 -0.006  -0.914 -0.006  -0.996 -0.006  -1.078 -0.006  -1.161 -0.006  -1.243 -0.006  -1.326 -0.006  -1.408 -0.006  -1.345 -0.006  -1.263 -0.006  -1.181 -0.006  -1.098 -0.006  -1.016 -0.006  -0.933 -0.006  -0.851 -0.006  -0.769 -0.006  -0.686 -0.006  -0.604 -0.006  -0.522 -0.006  -0.439 -0.006  -0.357 -0.006  -0.274 -0.006  -0.192 -0.006  -0.110 -0.006  -0.027 -0.006  0.055 -0.006  0.137 -0.006  0.220 -0.006  0.302 -0.006  0.385 -0.006  0.467 -0.006  0.549 -0.006  0.632 -0.006  0.714 -0.006  0.796 -0.006  0.879 -0.006  0.961 -0.006  1.044 -0.006  1.126 -0.006  1.208 -0.006  1.291 -0.006  1.373 -0.006  1.455 -0.006  1.538 -0.006  1.617 0.009  1.690 0.046  1.764 0.083  1.838 0.120
1d#tos#f2#f2024065/.  0.333 1.679  0.333 1.605  0.333 1.531  0.333 1.456  0.333 1.382  0.333 1.308  0.333 1.234  0.333 1.160  0.333 1.086  0.333 1.011  0.333 0.937  0.333 0.863  0.333 0.789  0.333 0.715  0.333 0.641  0.333 0.567  0.333 0.492  0.333 0.418  0.333 0.344  0.333 0.270  0.330 0.197  0.277 0.145  0.225 0.092  0.172 0.040  0.120 -0.013  0.068 -0.065  0.015 -0.118  -0.037 -0.170  -0.090 -0.222  -0.142 -0.275  -0.195 -0.327  -0.247 -0.380  -0.299 -0.432  -0.352 -0.485  -0.404 -0.537  -0.407 -0.610  -0.407 -0.684  -0.407 -0.758  -0.407 -0.833  -0.407 -0.907  -0.407 -0.981  -0.407 -1.055  -0.407 -1.129  -0.407 -1.203  -0.407 -1.278  -0.407 -1.352  -0.407 -1.426  -0.407 -1.500  -0.407 -1.574  -0.407 -1.648
1d#tos#f2#f2024065/:  0.447 1.315  0.374 1.315  0.301 1.315  0.227 1.315  0.154 1.315  0.081 1.315  0.007 1.315  0.011 1.284  0.062 1.232  0.096 1.172  0.096 1.099  0.096 1.026  0.095 0.953  0.087 0.880  0.079 0.807  0.072 0.734  0.064 0.661  0.056 0.588  0.049 0.515  0.041 0.442  0.033 0.369  0.026 0.296  0.018 0.223  0.010 0.150  0.003 0.077  -0.005 0.005  -0.013 -0.068  -0.020 -0.141  -0.028 -0.214  -0.036 -0.287  -0.043 -0.360  -0.051 -0.433  -0.059 -0.506  -0.066 -0.579  -0.074 -0.652  -0.082 -0.725  -0.089 -0.798  -0.097 -0.871  -0.105 -0.943  -0.112 -1.016  -0.120 -1.089  -0.128 -1.162  -0.135 -1.235  -0.138 -1.308  -0.139 -1.382  -0.163 -1.451  -0.186 -1.521  -0.209 -1.590  -0.232 -1.660  -0.255 -1.729
1d#tos#f2#f2024065/<  0.755 1.351  0.671 1.351  0.588 1.351  0.505 1.351  0.422 1.351  0.347 1.330  0.302 1.263  0.276 1.184  0.243 1.108  0.197 1.039  0.151 0.970  0.113 0.896  0.061 0.834  -0.008 0.788  -0.075 0.740  -0.122 0.671  -0.168 0.602  -0.201 0.526  -0.227 0.447  -0.259 0.371  -0.299 0.298  -0.358 0.239  -0.416 0.180  -0.458 0.115  -0.510 0.083  -0.489 0.028  -0.458 -0.025  -0.433 -0.104  -0.407 -0.183  -0.403 -0.265  -0.371 -0.335  -0.312 -0.394  -0.268 -0.463  -0.231 -0.538  -0.194 -0.612  -0.164 -0.690  -0.138 -0.769  -0.105 -0.845  -0.068 -0.919  -0.030 -0.994  0.031 -1.044  0.101 -1.086  0.147 -1.156  0.193 -1.225  0.232 -1.298  0.269 -1.373  0.306 -1.447  0.361 -1.509  0.420 -1.568  0.479 -1.626
1d#tos#f2#f2024065/=  -0.811 0.905  -0.941 0.905  -0.928 0.905  -0.798 0.905  -0.667 0.905  -0.537 0.905  -0.407 0.905  -0.277 0.905  -0.147 0.905  -0.017 0.905  0.113 0.905  0.243 0.905  0.373 0.905  0.504 0.905  0.634 0.905  0.764 0.905  0.894 0.905  0.950 0.871  0.866 0.772  0.782 0.672  0.697 0.573  0.613 0.474  0.529 0.375  0.445 0.276  0.360 0.177  0.276 0.078  0.192 -0.022  0.108 -0.121  0.023 -0.220  -0.061 -0.319  -0.145 -0.418  -0.229 -0.517  -0.314 -0.616  -0.398 -0.716  -0.482 -0.815  -0.567 -0.914  -0.653 -1.011  -0.757 -1.074  -0.735 -1.074  -0.605 -1.074  -0.474 -1.074  -0.344 -1.074  -0.214 -1.074  -0.084 -1.074  0.046 -1.074  0.176 -1.074  0.306 -1.074  0.436 -1.074  0.566 -1.074  0.697 -1.074
1d#tos#f2#f2024065/?  -0.702 0.435  -0.789 0.478  -0.798 0.569  -0.798 0.666  -0.798 0.763  -0.721 0.800  -0.652 0.869  -0.578 0.929  -0.489 0.963  -0.392 0.963  -0.302 0.995  -0.209 1.011  -0.112 1.011  -0.015 1.011  0.082 1.011  0.179 1.011  0.264 0.995  0.295 0.903  0.367 0.867  0.430 0.813  0.451 0.721  0.451 0.624  0.451 0.527  0.414 0.445  0.350 0.373  0.320 0.281  0.293 0.188  0.270 0.094  0.230 0.007  0.176 -0.074  0.111 -0.146  0.067 -0.224  0.042 -0.311  0.019 -0.398  0.022 -0.495  0.042 -0.590  0.062 -0.685  0.082 -0.780  0.102 -0.875  0.122 -0.970  0.142 -1.065  0.162 -1.160  0.182 -1.255  0.202 -1.350  0.211 -1.446  0.211 -1.543  0.203 -1.635  0.116 -1.678  0.115 -1.774  0.115 -1.872
1d#tos#f2#f2024065/@  0.409 0.475  0.308 0.470  0.308 0.667  0.183 0.779  -0.015 0.779  -0.148 0.715  -0.209 0.535  -0.300 0.401  -0.300 0.203  -0.300 0.006  -0.300 -0.192  -0.207 -0.332  -0.018 -0.386  0.179 -0.386  0.276 -0.285  0.395 -0.176  0.409 0.020  0.510 0.155  0.510 0.352  0.552 0.537  0.611 0.717  0.611 0.914  0.586 1.108  0.550 1.296  0.380 1.364  0.196 1.376  0.036 1.285  -0.047 1.141  -0.148 1.045  -0.268 0.894  -0.317 0.711  -0.401 0.548  -0.467 0.391  -0.503 0.216  -0.548 0.029  -0.562 -0.166  -0.604 -0.359  -0.604 -0.556  -0.604 -0.754  -0.601 -0.951  -0.553 -1.141  -0.513 -1.298  -0.370 -1.430  -0.237 -1.538  -0.092 -1.601  0.105 -1.601  0.303 -1.601  0.493 -1.579  0.616 -1.449  0.713 -1.348
1d#tos#f2#f2024065/_  -1.034 0.194  -1.112 0.194  -1.189 0.194  -1.266 0.194  -1.343 0.194  -1.420 0.194  -1.428 0.194  -1.351 0.194  -1.274 0.194  -1.202 0.171  -1.133 0.137  -1.064 0.102  -0.991 0.087  -0.914 0.087  -0.837 0.087  -0.760 0.087  -0.683 0.087  -0.605 0.087  -0.528 0.087  -0.456 0.066  -0.388 0.031  -0.319 -0.003  -0.246 -0.020  -0.168 -0.020  -0.091 -0.020  -0.014 -0.020  0.063 -0.020  0.140 -0.020  0.217 -0.020  0.294 -0.020  0.371 -0.020  0.448 -0.020  0.525 -0.020  0.602 -0.020  0.679 -0.020  0.756 -0.020  0.833 -0.020  0.904 -0.034  0.959 -0.088  1.013 -0.143  1.068 -0.197  1.130 -0.234  1.207 -0.234  1.284 -0.234  1.361 -0.234  1.438 -0.234  1.515 -0.234  1.592 -0.234  1.669 -0.234  1.746 -0.234
1d#tos#f2#f2024065/`  -0.317 1.718  -0.317 1.641  -0.317 1.564  -0.317 1.487  -0.317 1.410  -0.317 1.333  -0.317 1.256  -0.317 1.179  -0.317 1.102  -0.317 1.025  -0.317 0.948  -0.317 0.871  -0.317 0.794  -0.317 0.717  -0.317 0.640  -0.291 0.574  -0.236 0.519  -0.182 0.465  -0.127 0.410  -0.073 0.356  -0.018 0.301  0.036 0.247  0.056 0.178  0.056 0.101  0.056 0.024  0.056 -0.053  0.056 -0.130  0.056 -0.207  0.056 -0.284  0.056 -0.361  0.056 -0.438  0.056 -0.515  0.129 -0.519  0.206 -0.519  0.243 -0.560  0.243 -0.637  0.243 -0.714  0.243 -0.791  0.243 -0.868  0.243 -0.945  0.243 -1.022  0.243 -1.099  0.243 -1.176  0.243 -1.253  0.289 -1.311  0.343 -1.365  0.398 -1.420  0.429 -1.484  0.429 -1.561  0.429 -1.638
1d#tos#f2#f2024065/}  -0.197 1.633  -0.106 1.633  -0.059 1.589  -0.025 1.533  -0.025 1.443  0.008 1.360  0.009 1.270  -0.025 1.213  -0.025 1.123  -0.042 1.049  -0.094 1.010  -0.094 0.920  -0.094 0.829  -0.110 0.742  -0.128 0.656  -0.128 0.565  -0.128 0.475  -0.128 0.384  -0.128 0.294  -0.059 0.272  -0.040 0.186  0.032 0.156  0.054 0.087  0.145 0.087  0.235 0.087  0.215 0.114  0.186 0.053  0.124 0.007  0.103 -0.079  0.078 -0.166  0.078 -0.256  0.056 -0.325  0.044 -0.403  0.044 -0.494  0.044 -0.584  0.044 -0.675  0.072 -0.737  0.078 -0.822  0.079 -0.912  0.108 -0.998  0.112 -1.088  0.099 -1.175  0.078 -1.261  0.078 -1.352  0.002 -1.397  -0.025 -1.476  -0.077 -1.545  -0.094 -1.629  -0.175 -1.665  -0.197 -1.733
1d#tos#f2#f2024065/~  -1.118 -0.592  -1.205 -0.575  -1.205 -0.471  -1.205 -0.367  -1.205 -0.262  -1.205 -0.158  -1.205 -0.054  -1.205 0.050  -1.205 0.155  -1.137 0.191  -1.033 0.191  -0.959 0.263  -0.860 0.278  -0.825 0.373  -0.792 0.472  -0.736 0.539  -0.632 0.539  -0.527 0.539  -0.423 0.539  -0.335 0.522  -0.335 0.418  -0.290 0.342  -0.196 0.295  -0.161 0.213  -0.161 0.109  -0.149 0.017  -0.074 -0.013  -0.041 -0.103  0.041 -0.157  0.145 -0.157  0.187 -0.220  0.266 -0.244  0.368 -0.251  0.442 -0.325  0.543 -0.331  0.647 -0.331  0.752 -0.331  0.796 -0.272  0.873 -0.244  0.977 -0.244  1.082 -0.244  1.186 -0.244  1.284 -0.218  1.377 -0.171  1.457 -0.106  1.530 -0.032  1.579 0.052  1.579 0.156  1.649 0.191  1.666 0.278
