2#apb#apb08#app0804/F  -0.380 0.581  -0.358 0.373  -0.336 0.165  -0.356 -0.043  -0.376 -0.251  -0.394 -0.459  -0.412 -0.667  -0.431 -0.876  -0.452 -1.084  -0.487 -1.288  -0.562 -1.483  -0.668 -1.662  -0.728 -1.627  -0.678 -1.426  -0.643 -1.222  -0.643 -1.012  -0.643 -0.803  -0.643 -0.594  -0.643 -0.385  -0.643 -0.176  -0.643 0.033  -0.643 0.242  -0.643 0.451  -0.564 0.581  -0.356 0.569  -0.151 0.544  0.054 0.585  0.259 0.627  0.446 0.720  0.633 0.814  0.822 0.904  1.017 0.979  1.210 1.058  1.402 1.130  1.414 0.963  1.228 0.867  1.042 0.772  0.856 0.676  0.670 0.581  0.484 0.486  0.298 0.390  0.112 0.295  -0.074 0.199  -0.260 0.104  -0.200 -0.071  -0.004 -0.121  0.205 -0.121  0.414 -0.121  0.623 -0.121  0.827 -0.077
2#apb#apb08#app0804/o  -0.288 0.785  -0.240 0.729  -0.341 0.641  -0.444 0.556  -0.530 0.453  -0.616 0.349  -0.696 0.241  -0.777 0.134  -0.836 0.014  -0.878 -0.113  -0.913 -0.241  -0.887 -0.373  -0.860 -0.505  -0.805 -0.623  -0.716 -0.724  -0.628 -0.825  -0.530 -0.917  -0.429 -1.006  -0.328 -1.094  -0.200 -1.135  -0.071 -1.174  0.058 -1.194  0.187 -1.159  0.317 -1.124  0.435 -1.069  0.522 -0.967  0.610 -0.865  0.677 -0.748  0.741 -0.630  0.805 -0.512  0.828 -0.383  0.828 -0.249  0.828 -0.114  0.828 0.020  0.820 0.154  0.788 0.284  0.755 0.415  0.722 0.545  0.690 0.676  0.597 0.772  0.502 0.867  0.400 0.953  0.286 1.025  0.173 1.098  0.059 1.169  -0.072 1.202  -0.202 1.235  -0.336 1.239  -0.406 1.162  -0.428 1.029
2#apb#apb08#app0804/r  -0.895 -0.934  -0.818 -0.976  -0.741 -1.018  -0.663 -1.060  -0.586 -1.102  -0.509 -1.144  -0.428 -1.180  -0.347 -1.213  -0.288 -1.196  -0.263 -1.113  -0.275 -1.025  -0.288 -0.938  -0.301 -0.851  -0.326 -0.767  -0.350 -0.682  -0.374 -0.597  -0.402 -0.514  -0.430 -0.430  -0.458 -0.347  -0.485 -0.263  -0.486 -0.175  -0.486 -0.087  -0.486 0.001  -0.486 0.089  -0.459 0.172  -0.424 0.253  -0.390 0.334  -0.338 0.402  -0.271 0.460  -0.205 0.518  -0.139 0.576  -0.072 0.632  0.015 0.651  0.101 0.669  0.187 0.688  0.273 0.706  0.359 0.724  0.445 0.743  0.531 0.763  0.617 0.782  0.703 0.802  0.788 0.822  0.874 0.842  0.961 0.855  1.049 0.855  1.137 0.855  1.225 0.855  1.313 0.855  1.401 0.855  1.489 0.855
2#apb#apb08#app0804/d  0.505 0.203  0.424 0.275  0.278 0.387  0.106 0.465  -0.096 0.467  -0.294 0.442  -0.475 0.353  -0.628 0.220  -0.749 0.058  -0.857 -0.114  -0.954 -0.292  -1.033 -0.479  -1.094 -0.671  -1.127 -0.871  -1.125 -1.073  -1.007 -1.238  -0.826 -1.329  -0.624 -1.334  -0.437 -1.278  -0.264 -1.172  -0.112 -1.039  0.028 -0.894  0.101 -0.704  0.163 -0.512  0.210 -0.314  0.261 -0.118  0.322 0.075  0.383 0.269  0.416 0.469  0.447 0.669  0.476 0.870  0.502 1.071  0.541 1.270  0.533 1.471  0.429 1.613  0.274 1.545  0.187 1.372  0.167 1.170  0.149 0.968  0.169 0.767  0.202 0.567  0.242 0.368  0.317 0.180  0.376 -0.014  0.432 -0.209  0.489 -0.404  0.543 -0.600  0.605 -0.793  0.655 -0.989  0.769 -1.142
2#apb#apb08#app0804/i  -0.458 0.315  -0.423 0.210  -0.388 0.105  -0.356 -0.001  -0.324 -0.107  -0.292 -0.213  -0.273 -0.322  -0.265 -0.432  -0.256 -0.542  -0.248 -0.652  -0.228 -0.760  -0.182 -0.861  -0.137 -0.961  -0.091 -1.062  -0.050 -1.165  -0.018 -1.271  0.014 -1.377  0.045 -1.483  0.051 -1.380  0.056 -1.269  0.061 -1.159  0.066 -1.048  0.071 -0.938  0.076 -0.827  0.081 -0.717  0.087 -0.606  0.092 -0.496  0.097 -0.385  0.102 -0.275  0.107 -0.164  0.112 -0.054  0.117 0.057  0.122 0.167  0.127 0.278  0.132 0.388  0.137 0.499  0.142 0.609  0.147 0.720  0.152 0.830  0.157 0.941  0.162 1.051  0.167 1.162  0.172 1.272  0.177 1.383  0.182 1.493  0.187 1.604  0.185 1.714  0.167 1.823  0.121 1.899  0.119 2.007
2#apb#apb08#app0804/r  -0.854 -0.987  -0.772 -1.068  -0.691 -1.149  -0.609 -1.231  -0.536 -1.320  -0.467 -1.412  -0.368 -1.421  -0.259 -1.389  -0.177 -1.308  -0.096 -1.226  -0.014 -1.145  0.017 -1.039  0.030 -0.925  0.043 -0.810  0.053 -0.695  0.053 -0.580  0.053 -0.465  0.053 -0.350  0.016 -0.240  -0.020 -0.131  -0.057 -0.022  -0.104 0.081  -0.179 0.169  -0.254 0.256  -0.329 0.344  -0.379 0.446  -0.415 0.555  -0.452 0.664  -0.488 0.774  -0.530 0.881  -0.573 0.988  -0.510 1.063  -0.401 1.100  -0.293 1.060  -0.185 1.019  -0.077 0.979  0.027 0.929  0.128 0.874  0.229 0.819  0.330 0.763  0.431 0.708  0.539 0.668  0.649 0.635  0.760 0.602  0.870 0.569  0.974 0.522  1.074 0.465  1.174 0.407  1.259 0.334  1.323 0.238
2#apb#apb08#app0804/e  -0.830 0.271  -0.681 0.197  -0.532 0.123  -0.398 0.026  -0.263 -0.071  -0.125 -0.164  0.014 -0.256  0.180 -0.256  0.346 -0.256  0.512 -0.256  0.679 -0.256  0.813 -0.165  0.943 -0.061  1.062 0.055  1.106 0.214  1.079 0.369  1.013 0.522  0.936 0.667  0.818 0.785  0.701 0.902  0.564 0.992  0.412 1.057  0.257 1.115  0.091 1.115  -0.075 1.115  -0.237 1.095  -0.386 1.021  -0.532 0.942  -0.661 0.838  -0.783 0.729  -0.835 0.571  -0.887 0.413  -0.933 0.253  -0.979 0.093  -0.952 -0.066  -0.906 -0.226  -0.838 -0.376  -0.746 -0.514  -0.653 -0.652  -0.556 -0.787  -0.459 -0.922  -0.338 -1.029  -0.190 -1.103  -0.035 -1.152  0.131 -1.152  0.298 -1.152  0.464 -1.152  0.630 -1.152  0.796 -1.152  0.963 -1.152
2#apb#apb08#app0804/c  0.175 0.415  0.228 0.509  0.282 0.603  0.315 0.703  0.294 0.807  0.246 0.903  0.150 0.953  0.053 1.002  -0.050 0.990  -0.155 0.964  -0.259 0.934  -0.356 0.886  -0.453 0.837  -0.550 0.789  -0.647 0.740  -0.743 0.691  -0.827 0.623  -0.912 0.555  -0.946 0.452  -0.980 0.350  -1.010 0.245  -1.040 0.141  -1.016 0.046  -0.956 -0.045  -0.889 -0.128  -0.803 -0.195  -0.718 -0.261  -0.632 -0.328  -0.539 -0.381  -0.439 -0.424  -0.340 -0.468  -0.241 -0.511  -0.142 -0.555  -0.042 -0.598  0.064 -0.615  0.172 -0.631  0.279 -0.646  0.386 -0.661  0.493 -0.677  0.601 -0.692  0.708 -0.707  0.816 -0.715  0.924 -0.723  1.032 -0.732  1.140 -0.740  1.248 -0.741  1.357 -0.741  1.465 -0.741  1.573 -0.741  1.682 -0.741
2#apb#apb08#app0804/t  0.022 1.827  0.100 1.920  0.100 1.756  0.100 1.592  0.101 1.427  0.116 1.263  0.131 1.100  0.152 0.937  0.183 0.775  0.213 0.614  0.243 0.452  0.267 0.289  0.286 0.126  0.306 -0.037  0.325 -0.201  0.340 -0.364  0.352 -0.528  0.364 -0.692  0.368 -0.856  0.341 -1.018  0.249 -1.147  0.132 -1.263  0.010 -1.218  -0.115 -1.111  -0.240 -1.004  -0.365 -0.897  -0.489 -0.790  -0.614 -0.683  -0.739 -0.576  -0.864 -0.469  -0.989 -0.362  -1.114 -0.255  -1.239 -0.148  -1.180 -0.143  -1.029 -0.079  -0.872 -0.041  -0.707 -0.031  -0.543 -0.021  -0.379 -0.010  -0.215 -0.007  -0.050 -0.007  0.114 -0.007  0.278 -0.007  0.443 -0.007  0.607 -0.007  0.772 -0.007  0.936 -0.007  1.101 -0.007  1.264 -0.026  1.427 -0.046
2#apb#apb08#app0804/i  -0.642 0.203  -0.565 0.125  -0.543 0.019  -0.525 -0.089  -0.479 -0.187  -0.418 -0.278  -0.358 -0.369  -0.301 -0.463  -0.244 -0.557  -0.188 -0.651  -0.132 -0.745  -0.076 -0.839  -0.022 -0.935  0.033 -1.030  0.078 -1.129  0.112 -1.233  0.147 -1.337  0.182 -1.441  0.182 -1.354  0.177 -1.245  0.173 -1.135  0.169 -1.025  0.165 -0.916  0.161 -0.806  0.157 -0.697  0.152 -0.587  0.148 -0.478  0.144 -0.368  0.140 -0.259  0.136 -0.149  0.132 -0.039  0.128 0.070  0.123 0.180  0.119 0.289  0.115 0.399  0.111 0.508  0.107 0.618  0.103 0.728  0.098 0.837  0.094 0.947  0.090 1.056  0.086 1.166  0.082 1.275  0.078 1.385  0.073 1.494  0.069 1.604  0.065 1.714  0.064 1.822  0.113 1.920  0.185 1.982
2#apb#apb08#app0804/o  -0.613 0.920  -0.487 0.919  -0.511 0.797  -0.545 0.675  -0.593 0.562  -0.683 0.473  -0.772 0.383  -0.840 0.281  -0.880 0.161  -0.915 0.040  -0.940 -0.083  -0.941 -0.208  -0.927 -0.334  -0.913 -0.459  -0.845 -0.554  -0.744 -0.630  -0.644 -0.706  -0.543 -0.782  -0.443 -0.859  -0.344 -0.937  -0.244 -1.014  -0.132 -1.060  -0.006 -1.074  0.119 -1.088  0.241 -1.074  0.359 -1.030  0.477 -0.986  0.563 -0.901  0.630 -0.794  0.697 -0.687  0.748 -0.573  0.785 -0.452  0.821 -0.332  0.856 -0.211  0.846 -0.085  0.837 0.041  0.827 0.167  0.817 0.293  0.789 0.415  0.751 0.536  0.714 0.656  0.677 0.777  0.629 0.889  0.524 0.959  0.419 1.029  0.306 1.084  0.190 1.133  0.074 1.185  -0.039 1.241  -0.152 1.298
