3#apa#apa01#app0182/8  -0.064 0.665  0.188 0.698  0.188 0.982  0.062 1.141  -0.195 1.169  -0.432 1.053  -0.670 0.941  -0.819 0.792  -0.945 0.633  -0.945 0.349  -0.876 0.093  -0.693 -0.116  -0.526 -0.257  -0.276 -0.342  -0.013 -0.291  0.188 -0.163  0.313 -0.005  0.313 0.280  0.420 0.520  0.439 0.797  0.439 1.081  0.313 1.240  0.084 1.294  -0.201 1.294  -0.305 1.126  -0.236 0.850  -0.167 0.574  -0.098 0.298  -0.029 0.022  0.040 -0.254  -0.064 -0.410  -0.261 -0.539  -0.397 -0.719  -0.556 -0.845  -0.568 -1.118  -0.440 -1.349  -0.281 -1.474  -0.049 -1.600  0.235 -1.600  0.520 -1.600  0.734 -1.431  0.859 -1.223  0.943 -1.022  0.943 -0.738  0.844 -0.494  0.817 -0.221  0.565 -0.188  0.379 -0.090  0.220 0.036  0.062 0.162
3#apa#apa01#app0182/:  -0.330 1.341  -0.406 1.341  -0.481 1.341  -0.556 1.341  -0.569 1.279  -0.569 1.204  -0.569 1.129  -0.520 1.103  -0.445 1.103  -0.369 1.103  -0.320 1.068  -0.298 0.996  -0.277 0.924  -0.255 0.852  -0.233 0.780  -0.212 0.708  -0.190 0.636  -0.169 0.564  -0.147 0.492  -0.125 0.420  -0.104 0.348  -0.082 0.276  -0.061 0.204  -0.039 0.132  -0.017 0.060  0.004 -0.013  0.026 -0.085  0.047 -0.157  0.069 -0.229  0.091 -0.301  0.112 -0.373  0.134 -0.445  0.156 -0.517  0.177 -0.589  0.199 -0.661  0.220 -0.733  0.242 -0.805  0.264 -0.877  0.285 -0.949  0.307 -1.021  0.328 -1.093  0.350 -1.165  0.372 -1.237  0.412 -1.284  0.487 -1.284  0.562 -1.284  0.625 -1.297  0.625 -1.373  0.625 -1.448  0.625 -1.523
3#apa#apa01#app0182/4  -1.054 1.002  -1.169 0.887  -1.201 0.736  -1.201 0.573  -1.201 0.409  -1.201 0.245  -1.167 0.116  -1.054 0.066  -0.988 -0.032  -0.906 -0.114  -0.808 -0.179  -0.678 -0.260  -0.542 -0.327  -0.403 -0.387  -0.276 -0.475  -0.112 -0.475  0.051 -0.475  0.135 -0.388  0.149 -0.225  0.162 -0.062  0.176 0.101  0.189 0.265  0.203 0.428  0.216 0.591  0.230 0.754  0.244 0.917  0.257 1.080  0.271 1.243  0.275 1.189  0.275 1.025  0.275 0.862  0.423 0.846  0.423 0.682  0.423 0.519  0.423 0.355  0.495 0.264  0.571 0.176  0.571 0.012  0.571 -0.152  0.571 -0.315  0.571 -0.479  0.571 -0.643  0.571 -0.806  0.571 -0.970  0.571 -1.133  0.655 -1.213  0.718 -1.313  0.718 -1.477  0.718 -1.640  0.718 -1.804
3#apa#apa01#app0182/&  0.681 0.786  0.566 0.967  0.269 0.967  0.139 0.800  -0.144 0.786  -0.377 0.632  -0.584 0.527  -0.765 0.411  -0.636 0.244  -0.339 0.244  -0.042 0.244  0.254 0.244  0.465 0.208  0.255 -0.001  0.007 -0.118  -0.089 -0.346  -0.331 -0.479  -0.562 -0.638  -0.669 -0.841  -0.623 -0.983  -0.413 -1.192  -0.121 -1.202  0.176 -1.202  0.428 -1.310  0.678 -1.371  0.599 -1.085  0.519 -0.799  0.440 -0.513  0.360 -0.228  0.281 0.058  0.202 0.344  0.122 0.630  0.043 0.916  -0.037 1.202  -0.116 1.488  -0.195 1.773  -0.223 1.675  -0.223 1.379  -0.042 1.263  -0.042 0.966  -0.042 0.670  -0.042 0.373  -0.042 0.076  -0.042 -0.220  -0.042 -0.517  -0.042 -0.814  -0.042 -1.110  0.103 -1.347  0.139 -1.629  0.139 -1.926
3#apa#apa01#app0182/4  -1.051 1.147  -0.905 1.135  -0.922 0.985  -1.033 0.873  -1.051 0.722  -1.051 0.565  -1.162 0.453  -1.197 0.309  -1.197 0.152  -1.104 0.032  -1.051 -0.104  -0.957 -0.167  -0.830 -0.242  -0.702 -0.313  -0.544 -0.313  -0.386 -0.313  -0.228 -0.313  -0.070 -0.313  0.088 -0.313  0.245 -0.313  0.403 -0.313  0.517 -0.206  0.544 -0.065  0.527 0.092  0.509 0.249  0.492 0.406  0.474 0.563  0.457 0.719  0.440 0.876  0.422 1.033  0.409 1.104  0.409 0.946  0.409 0.789  0.409 0.631  0.409 0.473  0.409 0.315  0.409 0.157  0.409 -0.001  0.409 -0.159  0.515 -0.273  0.555 -0.414  0.555 -0.572  0.555 -0.729  0.555 -0.887  0.555 -1.045  0.565 -1.199  0.677 -1.311  0.702 -1.458  0.702 -1.616  0.702 -1.774
3#apa#apa01#app0182/:  -0.420 0.935  -0.357 0.873  -0.294 0.810  -0.231 0.747  -0.170 0.689  -0.170 0.777  -0.170 0.866  -0.184 0.949  -0.247 1.012  -0.309 1.074  -0.372 1.137  -0.398 1.184  -0.309 1.184  -0.221 1.184  -0.170 1.146  -0.170 1.057  -0.170 0.969  -0.160 0.881  -0.142 0.794  -0.125 0.707  -0.107 0.620  -0.090 0.533  -0.073 0.446  -0.055 0.359  -0.038 0.272  -0.020 0.185  -0.003 0.098  0.014 0.012  0.032 -0.075  0.049 -0.162  0.067 -0.249  0.084 -0.336  0.101 -0.423  0.119 -0.510  0.136 -0.597  0.153 -0.684  0.171 -0.771  0.188 -0.858  0.206 -0.945  0.223 -1.032  0.240 -1.119  0.258 -1.206  0.275 -1.293  0.293 -1.380  0.310 -1.467  0.327 -1.553  0.389 -1.617  0.452 -1.680  0.514 -1.742  0.577 -1.805
3#apa#apa01#app0182/2  -1.162 1.137  -1.045 1.137  -0.928 1.137  -0.812 1.137  -0.695 1.137  -0.579 1.137  -0.462 1.137  -0.345 1.137  -0.229 1.137  -0.112 1.137  -0.003 1.119  0.079 1.037  0.179 0.994  0.264 0.964  0.264 0.847  0.264 0.730  0.264 0.614  0.264 0.497  0.221 0.424  0.122 0.407  0.122 0.290  0.045 0.205  -0.021 0.116  -0.021 -0.001  -0.101 -0.084  -0.184 -0.167  -0.266 -0.249  -0.306 -0.349  -0.306 -0.466  -0.314 -0.574  -0.431 -0.574  -0.449 -0.673  -0.449 -0.790  -0.402 -0.859  -0.291 -0.874  -0.209 -0.956  -0.111 -1.002  0.006 -1.002  0.122 -1.002  0.239 -1.002  0.356 -1.002  0.472 -1.002  0.589 -1.002  0.692 -0.988  0.692 -0.872  0.796 -0.859  0.913 -0.859  1.029 -0.859  1.120 -0.833  1.120 -0.717
3#apa#apa01#app0182/&  0.839 0.540  0.742 0.732  0.646 0.923  0.357 0.923  0.126 0.785  -0.140 0.732  -0.394 0.648  -0.638 0.540  -0.654 0.348  -0.366 0.348  -0.077 0.348  0.072 0.209  0.264 0.113  0.123 -0.035  0.027 -0.227  -0.119 -0.369  -0.359 -0.418  -0.503 -0.563  -0.694 -0.660  -0.548 -0.802  -0.451 -0.993  -0.163 -0.993  0.054 -1.167  0.335 -1.185  0.623 -1.185  0.583 -0.929  0.513 -0.649  0.443 -0.369  0.373 -0.090  0.304 0.190  0.234 0.470  0.164 0.750  0.094 1.030  0.024 1.309  -0.046 1.589  -0.116 1.869  -0.119 1.606  -0.119 1.318  -0.119 1.029  -0.119 0.741  -0.119 0.452  -0.119 0.164  -0.119 -0.125  -0.119 -0.413  -0.119 -0.701  -0.119 -0.990  -0.119 -1.278  -0.119 -1.567  -0.119 -1.855  -0.119 -2.143
3#apa#apa01#app0182/2  -0.998 0.999  -0.883 0.999  -0.768 0.999  -0.653 0.999  -0.613 1.074  -0.551 1.127  -0.436 1.127  -0.321 1.127  -0.206 1.127  -0.091 1.127  0.024 1.127  0.030 1.017  0.126 0.999  0.241 0.999  0.356 0.999  0.415 0.942  0.415 0.827  0.415 0.712  0.415 0.597  0.413 0.484  0.298 0.484  0.240 0.391  0.189 0.288  0.158 0.180  0.158 0.065  0.144 -0.044  0.062 -0.125  -0.019 -0.207  -0.100 -0.288  -0.182 -0.370  -0.227 -0.466  -0.265 -0.544  -0.356 -0.568  -0.356 -0.683  -0.356 -0.798  -0.356 -0.913  -0.356 -1.028  -0.270 -1.058  -0.155 -1.058  -0.099 -1.117  -0.053 -1.186  0.062 -1.186  0.177 -1.186  0.292 -1.186  0.407 -1.186  0.522 -1.186  0.637 -1.186  0.729 -1.130  0.814 -1.058  0.929 -1.058
3#apa#apa01#app0182/:  -0.171 1.673  -0.171 1.596  -0.171 1.519  -0.171 1.441  -0.171 1.364  -0.163 1.294  -0.086 1.294  -0.009 1.294  0.018 1.244  0.018 1.167  0.018 1.089  0.018 1.012  0.018 0.935  0.018 0.857  0.018 0.780  0.018 0.703  0.018 0.625  0.018 0.548  0.018 0.471  0.018 0.393  0.018 0.316  0.018 0.239  0.018 0.161  0.018 0.084  0.018 0.007  0.018 -0.071  0.018 -0.148  0.018 -0.225  0.018 -0.303  0.018 -0.380  0.018 -0.457  0.018 -0.535  0.018 -0.612  0.018 -0.689  0.018 -0.767  0.018 -0.844  0.018 -0.921  0.018 -0.999  0.018 -1.076  0.018 -1.153  0.018 -1.231  0.018 -1.308  0.018 -1.331  0.018 -1.254  0.018 -1.176  0.018 -1.238  0.018 -1.316  0.053 -1.358  0.131 -1.358  0.208 -1.358
3#apa#apa01#app0182/1  0.029 1.589  0.107 1.589  0.165 1.569  0.165 1.492  0.165 1.414  0.165 1.336  0.165 1.258  0.165 1.180  0.165 1.102  0.146 1.044  0.068 1.044  0.029 1.005  0.029 0.927  0.029 0.849  0.029 0.772  0.029 0.694  0.029 0.616  0.029 0.538  0.029 0.460  0.029 0.382  0.029 0.304  0.029 0.227  0.029 0.149  0.029 0.071  0.029 -0.007  0.029 -0.085  0.029 -0.163  -0.030 -0.182  -0.107 -0.182  -0.107 -0.260  -0.107 -0.338  -0.107 -0.416  -0.107 -0.494  -0.107 -0.571  -0.107 -0.649  -0.107 -0.727  -0.107 -0.805  -0.107 -0.883  -0.107 -0.961  -0.107 -1.039  -0.107 -1.116  -0.107 -1.194  -0.107 -1.272  -0.107 -1.350  -0.107 -1.428  -0.107 -1.506  -0.069 -1.545  0.009 -1.545  0.029 -1.486  0.029 -1.408
