3#apb#apb09#app0910/a  0.439 -0.001  0.495 0.167  0.542 0.336  0.528 0.511  0.464 0.676  0.367 0.821  0.248 0.951  0.100 1.043  -0.061 1.118  -0.234 1.136  -0.411 1.136  -0.576 1.075  -0.739 1.008  -0.855 0.882  -0.955 0.736  -1.053 0.588  -1.120 0.425  -1.187 0.261  -1.229 0.094  -1.206 -0.082  -1.183 -0.257  -1.116 -0.417  -1.018 -0.564  -0.920 -0.711  -0.786 -0.820  -0.631 -0.906  -0.472 -0.977  -0.296 -0.999  -0.128 -0.983  0.026 -0.897  0.175 -0.802  0.300 -0.677  0.425 -0.552  0.493 -0.390  0.554 -0.224  0.602 -0.054  0.636 0.120  0.664 0.294  0.652 0.471  0.647 0.550  0.657 0.373  0.669 0.196  0.690 0.020  0.710 -0.155  0.732 -0.331  0.763 -0.505  0.795 -0.679  0.852 -0.845  0.935 -1.001  1.017 -1.158
3#apb#apb09#app0910/b  -0.477 1.898  -0.488 1.742  -0.479 1.566  -0.472 1.390  -0.465 1.215  -0.458 1.039  -0.458 0.863  -0.458 0.687  -0.458 0.512  -0.456 0.336  -0.445 0.160  -0.434 -0.015  -0.423 -0.190  -0.404 -0.365  -0.382 -0.539  -0.362 -0.714  -0.373 -0.889  -0.369 -1.064  -0.346 -1.203  -0.352 -1.032  -0.362 -0.856  -0.369 -0.681  -0.376 -0.505  -0.380 -0.329  -0.380 -0.154  -0.380 0.022  -0.351 0.194  -0.300 0.362  -0.233 0.521  -0.121 0.657  0.023 0.752  0.192 0.793  0.362 0.793  0.524 0.724  0.667 0.625  0.797 0.507  0.870 0.348  0.939 0.186  0.982 0.016  1.010 -0.155  0.985 -0.329  0.944 -0.500  0.894 -0.668  0.799 -0.816  0.683 -0.946  0.553 -1.064  0.396 -1.144  0.236 -1.213  0.065 -1.256  -0.109 -1.280
3#apb#apb09#app0910/c  0.553 0.758  0.539 0.857  0.534 0.957  0.514 1.052  0.458 1.135  0.364 1.170  0.270 1.178  0.175 1.146  0.080 1.114  -0.011 1.071  -0.102 1.029  -0.193 0.986  -0.272 0.928  -0.341 0.854  -0.409 0.781  -0.478 0.708  -0.541 0.631  -0.595 0.546  -0.650 0.462  -0.704 0.378  -0.741 0.286  -0.765 0.189  -0.789 0.091  -0.814 -0.006  -0.796 -0.101  -0.763 -0.196  -0.729 -0.291  -0.696 -0.385  -0.634 -0.462  -0.563 -0.533  -0.493 -0.604  -0.415 -0.665  -0.324 -0.707  -0.232 -0.748  -0.141 -0.789  -0.048 -0.825  0.052 -0.838  0.151 -0.852  0.250 -0.865  0.350 -0.879  0.450 -0.884  0.550 -0.889  0.650 -0.894  0.750 -0.894  0.851 -0.888  0.951 -0.883  1.049 -0.867  1.140 -0.827  1.232 -0.787  1.324 -0.747
3#apb#apb09#app0910/d  0.155 1.904  0.180 1.726  0.213 1.548  0.246 1.370  0.289 1.195  0.341 1.022  0.392 0.849  0.428 0.672  0.462 0.494  0.497 0.317  0.538 0.141  0.580 -0.035  0.612 -0.212  0.627 -0.392  0.642 -0.572  0.655 -0.753  0.657 -0.933  0.623 -1.108  0.565 -0.943  0.518 -0.769  0.486 -0.591  0.436 -0.419  0.360 -0.255  0.284 -0.091  0.196 0.067  0.102 0.221  0.009 0.376  -0.107 0.512  -0.243 0.631  -0.393 0.720  -0.571 0.754  -0.741 0.707  -0.900 0.627  -1.033 0.504  -1.128 0.356  -1.194 0.188  -1.172 0.018  -1.112 -0.153  -1.020 -0.306  -0.912 -0.451  -0.791 -0.582  -0.638 -0.678  -0.485 -0.774  -0.325 -0.858  -0.161 -0.932  0.007 -0.995  0.186 -1.018  0.366 -1.041  0.546 -1.033  0.727 -1.024
3#apb#apb09#app0910/e  -0.199 -0.418  -0.156 -0.291  -0.066 -0.192  0.037 -0.102  0.143 -0.015  0.249 0.071  0.341 0.172  0.433 0.273  0.516 0.382  0.596 0.492  0.615 0.623  0.615 0.759  0.593 0.894  0.566 1.028  0.510 1.149  0.425 1.253  0.290 1.278  0.159 1.271  0.034 1.217  -0.091 1.162  -0.203 1.085  -0.312 1.002  -0.420 0.919  -0.510 0.818  -0.587 0.705  -0.664 0.592  -0.733 0.476  -0.762 0.343  -0.791 0.209  -0.820 0.075  -0.810 -0.058  -0.780 -0.191  -0.750 -0.324  -0.708 -0.453  -0.638 -0.571  -0.569 -0.689  -0.487 -0.795  -0.380 -0.881  -0.274 -0.967  -0.161 -1.040  -0.030 -1.079  0.101 -1.118  0.233 -1.151  0.369 -1.151  0.506 -1.151  0.643 -1.151  0.779 -1.140  0.914 -1.124  1.050 -1.107  1.185 -1.090
3#apb#apb09#app0910/f  0.672 1.225  0.608 1.351  0.538 1.473  0.445 1.577  0.325 1.648  0.189 1.635  0.062 1.583  -0.047 1.493  -0.132 1.381  -0.204 1.261  -0.237 1.124  -0.270 0.987  -0.279 0.846  -0.285 0.705  -0.280 0.565  -0.254 0.426  -0.227 0.288  -0.200 0.149  -0.172 0.011  -0.144 -0.127  -0.117 -0.266  -0.083 -0.403  -0.047 -0.539  -0.012 -0.676  0.022 -0.813  0.051 -0.951  0.071 -1.090  0.071 -1.231  0.060 -1.372  0.043 -1.512  -0.009 -1.519  -0.054 -1.385  -0.100 -1.252  -0.145 -1.118  -0.190 -0.984  -0.235 -0.850  -0.280 -0.717  -0.325 -0.583  -0.370 -0.449  -0.415 -0.315  -0.436 -0.192  -0.296 -0.186  -0.155 -0.186  -0.014 -0.182  0.126 -0.169  0.267 -0.156  0.408 -0.156  0.549 -0.152  0.685 -0.116  0.822 -0.080
3#apb#apb09#app0910/g  0.358 0.603  0.418 0.722  0.443 0.852  0.424 0.980  0.361 1.098  0.255 1.179  0.137 1.241  0.013 1.263  -0.115 1.227  -0.233 1.163  -0.312 1.058  -0.377 0.943  -0.393 0.810  -0.375 0.681  -0.336 0.553  -0.255 0.451  -0.157 0.361  -0.035 0.306  0.092 0.270  0.224 0.267  0.346 0.322  0.429 0.427  0.485 0.548  0.489 0.678  0.379 0.630  0.333 0.504  0.319 0.372  0.312 0.239  0.319 0.105  0.343 -0.026  0.374 -0.156  0.403 -0.286  0.431 -0.417  0.431 -0.551  0.421 -0.683  0.391 -0.813  0.319 -0.922  0.232 -1.023  0.120 -1.096  0.006 -1.166  -0.124 -1.196  -0.254 -1.225  -0.386 -1.247  -0.519 -1.260  -0.652 -1.273  -0.785 -1.284  -0.918 -1.295  -1.052 -1.305  -1.185 -1.314  -1.144 -1.314
3#apb#apb09#app0910/h  -0.882 1.376  -0.827 1.354  -0.816 1.212  -0.789 1.072  -0.758 0.932  -0.728 0.793  -0.703 0.652  -0.678 0.512  -0.653 0.371  -0.626 0.231  -0.598 0.091  -0.570 -0.049  -0.548 -0.189  -0.530 -0.331  -0.512 -0.473  -0.492 -0.614  -0.469 -0.755  -0.450 -0.896  -0.441 -1.038  -0.462 -1.036  -0.492 -0.896  -0.506 -0.755  -0.506 -0.612  -0.506 -0.469  -0.477 -0.330  -0.445 -0.191  -0.412 -0.052  -0.343 0.070  -0.259 0.185  -0.174 0.300  -0.075 0.403  0.026 0.504  0.144 0.580  0.273 0.639  0.415 0.628  0.547 0.586  0.669 0.511  0.777 0.419  0.878 0.318  0.969 0.210  1.035 0.084  1.102 -0.042  1.151 -0.175  1.194 -0.312  1.229 -0.449  1.247 -0.591  1.262 -0.733  1.272 -0.875  1.261 -1.017  1.275 -1.158
3#apb#apb09#app0910/i  -0.084 0.528  -0.021 0.477  0.015 0.363  0.052 0.249  0.096 0.138  0.140 0.027  0.183 -0.084  0.198 -0.203  0.211 -0.321  0.225 -0.440  0.238 -0.559  0.250 -0.678  0.262 -0.796  0.271 -0.916  0.279 -1.035  0.288 -1.154  0.295 -1.273  0.295 -1.393  0.317 -1.509  0.307 -1.459  0.279 -1.343  0.251 -1.227  0.223 -1.111  0.195 -0.995  0.167 -0.879  0.139 -0.762  0.111 -0.646  0.083 -0.530  0.055 -0.414  0.027 -0.298  -0.001 -0.182  -0.029 -0.066  -0.057 0.051  -0.085 0.167  -0.112 0.283  -0.140 0.399  -0.168 0.515  -0.196 0.631  -0.224 0.747  -0.252 0.864  -0.280 0.980  -0.308 1.096  -0.336 1.212  -0.364 1.328  -0.392 1.444  -0.420 1.560  -0.448 1.677  -0.476 1.793  -0.533 1.871  -0.527 1.871
3#apb#apb09#app0910/j  0.369 0.853  0.282 0.778  0.243 0.648  0.231 0.511  0.237 0.373  0.246 0.236  0.266 0.100  0.290 -0.036  0.323 -0.170  0.363 -0.302  0.402 -0.434  0.435 -0.567  0.453 -0.704  0.453 -0.841  0.428 -0.976  0.372 -1.099  0.276 -1.197  0.167 -1.280  0.036 -1.324  -0.099 -1.340  -0.237 -1.344  -0.373 -1.368  -0.506 -1.337  -0.564 -1.244  -0.532 -1.110  -0.501 -0.976  -0.470 -0.842  -0.439 -0.708  -0.408 -0.573  -0.377 -0.439  -0.346 -0.305  -0.315 -0.170  -0.284 -0.036  -0.253 0.098  -0.221 0.232  -0.190 0.367  -0.159 0.501  -0.128 0.635  -0.097 0.769  -0.066 0.904  -0.035 1.038  -0.004 1.172  0.027 1.307  0.058 1.441  0.089 1.575  0.116 1.699  0.079 1.571  0.079 1.433  0.105 1.299  0.179 1.183
3#apb#apb09#app0910/k  -0.786 1.682  -0.868 1.508  -0.882 1.314  -0.862 1.117  -0.827 0.923  -0.770 0.734  -0.712 0.545  -0.671 0.351  -0.633 0.157  -0.596 -0.037  -0.525 -0.222  -0.452 -0.405  -0.380 -0.590  -0.311 -0.775  -0.279 -0.969  -0.241 -1.039  -0.148 -0.864  -0.056 -0.689  0.037 -0.514  0.129 -0.340  0.222 -0.165  0.314 0.010  0.407 0.185  0.499 0.360  0.592 0.535  0.684 0.710  0.777 0.885  0.869 1.060  0.817 1.039  0.660 0.919  0.499 0.803  0.338 0.689  0.175 0.576  0.007 0.472  -0.161 0.368  -0.338 0.280  -0.501 0.169  -0.535 -0.012  -0.423 -0.169  -0.281 -0.305  -0.120 -0.420  0.031 -0.547  0.171 -0.687  0.311 -0.826  0.471 -0.943  0.630 -1.061  0.754 -1.214  0.879 -1.368  0.990 -1.532  1.097 -1.698
