1b#tos#f1#f1012064/A  0.549 1.771  0.413 1.605  0.306 1.361  0.134 1.158  0.091 0.889  -0.056 0.653  -0.166 0.399  -0.287 0.149  -0.398 -0.100  -0.541 -0.338  -0.645 -0.592  -0.798 -0.824  -0.872 -1.088  -0.959 -1.335  -0.860 -1.278  -0.747 -1.024  -0.633 -0.770  -0.520 -0.516  -0.406 -0.262  -0.292 -0.008  -0.179 0.246  -0.065 0.500  0.048 0.755  0.162 1.009  0.276 1.263  0.389 1.517  0.198 1.511  0.251 1.245  0.392 1.016  0.409 0.744  0.444 0.474  0.444 0.196  0.456 -0.081  0.549 -0.314  0.549 -0.592  0.597 -0.854  0.654 -1.113  0.689 -1.386  0.624 -1.368  0.449 -1.152  0.274 -0.936  0.099 -0.720  -0.077 -0.503  -0.252 -0.287  -0.486 -0.193  -0.594 -0.193  -0.321 -0.158  -0.043 -0.158  0.236 -0.158  0.514 -0.158
1b#tos#f1#f1012064/D  -0.385 1.261  -0.461 1.293  -0.385 1.105  -0.385 0.898  -0.385 0.692  -0.385 0.485  -0.414 0.281  -0.425 0.076  -0.425 -0.131  -0.426 -0.337  -0.465 -0.540  -0.479 -0.745  -0.504 -0.948  -0.504 -1.155  -0.504 -1.362  -0.481 -1.161  -0.457 -0.956  -0.433 -0.751  -0.409 -0.546  -0.385 -0.341  -0.362 -0.135  -0.338 0.070  -0.314 0.275  -0.366 0.467  -0.540 0.545  -0.584 0.707  -0.457 0.791  -0.329 0.942  -0.133 0.989  0.065 1.022  0.272 1.022  0.479 1.022  0.685 1.022  0.808 0.905  0.958 0.801  1.043 0.628  1.086 0.463  1.126 0.266  1.126 0.059  1.080 -0.123  0.969 -0.284  0.854 -0.443  0.749 -0.595  0.591 -0.726  0.424 -0.847  0.285 -0.989  0.096 -1.071  -0.040 -1.217  -0.186 -1.317  -0.345 -1.364
1b#tos#f1#f1012064/F  -0.447 1.017  -0.583 0.944  -0.444 0.914  -0.278 0.927  -0.120 0.988  0.045 1.017  0.210 1.042  0.378 1.051  0.547 1.051  0.716 1.051  0.885 1.051  0.783 1.051  0.614 1.051  0.445 1.051  0.276 1.051  0.107 1.051  -0.062 1.051  -0.204 0.986  -0.276 0.861  -0.276 0.692  -0.210 0.543  -0.208 0.374  -0.208 0.205  -0.208 0.036  -0.208 -0.133  -0.208 -0.302  -0.208 -0.471  -0.230 -0.638  -0.256 -0.805  -0.276 -0.972  -0.276 -1.141  -0.276 -1.311  -0.276 -1.480  -0.276 -1.649  -0.267 -1.679  -0.244 -1.512  -0.222 -1.344  -0.199 -1.177  -0.176 -1.009  -0.154 -0.842  -0.131 -0.674  -0.108 -0.507  -0.242 -0.496  -0.096 -0.519  0.072 -0.517  0.229 -0.454  0.388 -0.403  0.554 -0.374  0.719 -0.335  0.884 -0.314
1b#tos#f1#f1012064/J  -0.621 1.009  -0.750 1.009  -0.828 0.958  -0.820 0.906  -0.692 0.906  -0.563 0.906  -0.435 0.906  -0.307 0.907  -0.183 0.940  -0.058 0.969  0.069 0.974  0.198 0.974  0.326 0.974  0.445 0.985  0.549 1.009  0.626 0.999  0.507 0.951  0.388 0.904  0.269 0.865  0.192 0.768  0.101 0.731  0.101 0.602  0.082 0.493  0.032 0.414  0.032 0.286  0.032 0.157  0.032 0.029  0.032 -0.100  0.032 -0.228  0.101 -0.288  0.101 -0.417  0.204 -0.471  0.204 -0.599  0.296 -0.676  0.321 -0.779  0.342 -0.887  0.376 -1.002  0.376 -1.130  0.376 -1.259  0.318 -1.329  0.224 -1.364  0.110 -1.398  0.016 -1.433  -0.113 -1.430  -0.221 -1.374  -0.253 -1.261  -0.353 -1.192  -0.381 -1.091  -0.415 -0.976  -0.415 -0.848
1b#tos#f1#f1012064/K  -0.492 1.594  -0.705 1.589  -0.634 1.443  -0.634 1.225  -0.634 1.007  -0.634 0.789  -0.634 0.571  -0.634 0.354  -0.634 0.136  -0.634 -0.082  -0.627 -0.299  -0.598 -0.515  -0.598 -0.733  -0.598 -0.951  -0.598 -1.168  -0.565 -1.353  -0.430 -1.202  -0.312 -1.019  -0.194 -0.835  -0.077 -0.652  0.041 -0.469  0.159 -0.286  0.277 -0.103  0.394 0.081  0.512 0.264  0.630 0.447  0.748 0.630  0.866 0.813  0.983 0.996  1.015 1.132  0.885 0.990  0.712 0.881  0.538 0.751  0.361 0.636  0.180 0.527  0.025 0.380  -0.143 0.270  -0.280 0.102  -0.424 -0.041  -0.464 -0.146  -0.305 -0.257  -0.167 -0.364  -0.022 -0.512  0.174 -0.598  0.264 -0.764  0.450 -0.857  0.638 -0.927  0.744 -1.090  0.932 -1.176  1.142 -1.211
1b#tos#f1#f1012064/M  -0.268 0.971  -0.443 0.903  -0.493 0.720  -0.597 0.541  -0.634 0.325  -0.673 0.109  -0.736 -0.099  -0.789 -0.315  -0.855 -0.527  -0.875 -0.748  -0.904 -0.967  -0.968 -1.179  -1.044 -1.350  -0.971 -1.141  -0.887 -0.934  -0.804 -0.728  -0.721 -0.521  -0.637 -0.314  -0.554 -0.107  -0.471 0.100  -0.387 0.306  -0.304 0.513  -0.221 0.720  -0.137 0.927  -0.345 0.937  -0.268 0.907  -0.223 0.701  -0.133 0.568  -0.110 0.350  -0.049 0.145  0.002 -0.057  0.069 -0.260  0.267 -0.311  0.339 -0.114  0.474 0.004  0.562 0.156  0.670 0.326  0.754 0.530  0.874 0.696  0.993 0.850  1.081 0.723  1.081 0.500  1.094 0.278  1.115 0.058  1.115 -0.165  1.148 -0.382  1.182 -0.600  1.182 -0.823  1.216 -1.032  1.283 -1.187
1b#tos#f1#f1012064/N  -0.663 0.818  -0.752 0.847  -0.772 0.610  -0.793 0.375  -0.882 0.154  -0.923 -0.079  -0.930 -0.317  -0.940 -0.554  -1.070 -0.744  -1.078 -0.979  -1.043 -1.145  -0.984 -0.914  -0.926 -0.683  -0.867 -0.452  -0.809 -0.221  -0.750 0.010  -0.691 0.240  -0.633 0.471  -0.574 0.702  -0.663 0.818  -0.577 0.705  -0.417 0.543  -0.277 0.353  -0.117 0.177  0.023 -0.016  0.154 -0.212  0.288 -0.407  0.372 -0.630  0.521 -0.806  0.694 -0.958  0.745 -0.730  0.793 -0.496  0.840 -0.263  0.887 -0.029  0.935 0.204  0.982 0.437  1.029 0.671  1.077 0.904  1.060 1.085  0.865 1.137  0.847 0.976  0.820 0.741  0.788 0.515  0.766 0.280  0.684 0.057  0.669 -0.178  0.610 -0.403  0.580 -0.637  0.551 -0.868  0.551 -1.106
1b#tos#f1#f1012064/Q  0.406 -0.594  0.335 -0.808  0.115 -0.844  -0.120 -0.844  -0.355 -0.844  -0.552 -0.727  -0.744 -0.606  -0.859 -0.421  -0.878 -0.188  -0.878 0.047  -0.878 0.282  -0.878 0.517  -0.859 0.750  -0.727 0.926  -0.648 1.117  -0.468 1.235  -0.276 1.365  -0.071 1.439  0.120 1.511  0.355 1.511  0.571 1.448  0.725 1.299  0.834 1.100  0.870 0.901  0.870 0.666  0.834 0.467  0.719 0.267  0.608 0.060  0.477 -0.132  0.406 -0.345  0.265 -0.518  0.156 -0.700  -0.040 -0.791  -0.196 -0.880  -0.431 -0.880  -0.643 -0.951  -0.664 -0.737  -0.664 -0.502  -0.628 -0.282  -0.497 -0.117  -0.327 -0.007  -0.100 0.012  0.063 -0.064  0.228 -0.202  0.362 -0.345  0.477 -0.505  0.607 -0.666  0.757 -0.805  0.992 -0.808  1.227 -0.808
1b#tos#f1#f1012064/R  -0.375 1.415  -0.410 1.347  -0.380 1.112  -0.357 0.874  -0.340 0.635  -0.312 0.397  -0.305 0.156  -0.305 -0.086  -0.305 -0.328  -0.305 -0.570  -0.333 -0.809  -0.340 -1.051  -0.340 -1.293  -0.340 -1.534  -0.337 -1.453  -0.334 -1.211  -0.330 -0.969  -0.326 -0.727  -0.323 -0.485  -0.319 -0.244  -0.315 -0.002  -0.312 0.240  -0.308 0.482  -0.334 0.712  -0.479 0.841  -0.584 0.979  -0.477 1.160  -0.255 1.221  -0.051 1.310  0.191 1.310  0.421 1.260  0.633 1.154  0.755 0.956  0.809 0.734  0.809 0.492  0.749 0.260  0.590 0.082  0.445 -0.083  0.273 -0.222  0.089 -0.329  -0.130 -0.361  -0.340 -0.393  -0.133 -0.488  0.076 -0.603  0.295 -0.674  0.477 -0.801  0.656 -0.941  0.851 -1.071  1.053 -1.169  1.262 -1.232
1b#tos#f1#f1012064/S  0.783 0.759  0.709 0.839  0.709 0.972  0.675 1.090  0.597 1.176  0.495 1.220  0.363 1.239  0.231 1.243  0.098 1.243  -0.035 1.243  -0.152 1.205  -0.285 1.205  -0.351 1.097  -0.439 1.004  -0.530 0.915  -0.594 0.824  -0.594 0.691  -0.594 0.558  -0.543 0.447  -0.462 0.344  -0.395 0.237  -0.336 0.163  -0.207 0.153  -0.093 0.089  0.028 0.061  0.104 -0.023  0.187 -0.073  0.290 -0.132  0.310 -0.247  0.336 -0.353  0.433 -0.433  0.448 -0.551  0.522 -0.638  0.522 -0.770  0.522 -0.903  0.448 -0.962  0.375 -1.064  0.319 -1.154  0.189 -1.177  0.068 -1.222  -0.036 -1.290  -0.132 -1.326  -0.248 -1.273  -0.354 -1.212  -0.389 -1.097  -0.517 -1.066  -0.551 -0.940  -0.589 -0.815  -0.669 -0.714  -0.669 -0.582
1b#tos#f1#f1012064/T  -0.774 0.473  -0.914 0.473  -1.055 0.473  -1.195 0.473  -1.252 0.389  -1.389 0.367  -1.411 0.305  -1.270 0.305  -1.130 0.305  -0.989 0.305  -0.851 0.332  -0.712 0.347  -0.572 0.347  -0.432 0.349  -0.298 0.393  -0.164 0.431  -0.023 0.431  0.117 0.431  0.258 0.431  0.398 0.431  0.539 0.431  0.679 0.431  0.820 0.431  0.952 0.459  1.076 0.516  1.216 0.516  1.139 0.500  1.000 0.480  0.861 0.460  0.721 0.440  0.582 0.421  0.443 0.401  0.307 0.370  0.212 0.305  0.195 0.182  0.195 0.041  0.195 -0.099  0.195 -0.240  0.195 -0.380  0.195 -0.521  0.195 -0.662  0.195 -0.802  0.195 -0.943  0.195 -1.083  0.195 -1.224  0.195 -1.364  0.195 -1.505  0.195 -1.645  0.195 -1.786  0.195 -1.927
