1b#tos#f3#f3014059/D  -0.365 1.071  -0.576 1.071  -0.562 0.928  -0.555 0.723  -0.555 0.512  -0.555 0.301  -0.547 0.092  -0.460 -0.065  -0.460 -0.276  -0.460 -0.487  -0.460 -0.698  -0.460 -0.909  -0.427 -1.107  -0.423 -1.122  -0.448 -0.912  -0.472 -0.703  -0.496 -0.493  -0.521 -0.283  -0.545 -0.074  -0.569 0.136  -0.594 0.346  -0.618 0.555  -0.643 0.765  -0.793 0.832  -0.678 0.737  -0.470 0.773  -0.260 0.785  -0.057 0.819  0.150 0.832  0.361 0.832  0.572 0.832  0.688 0.928  0.899 0.928  1.055 0.836  1.151 0.660  1.160 0.451  1.160 0.240  1.160 0.029  1.017 -0.075  1.017 -0.286  0.939 -0.437  0.874 -0.621  0.694 -0.692  0.636 -0.845  0.471 -0.918  0.361 -1.047  0.170 -1.130  -0.019 -1.210  -0.174 -1.311  -0.317 -1.312
1b#tos#f3#f3014059/E  -0.026 0.948  -0.271 0.903  -0.493 0.776  -0.751 0.762  -0.711 0.762  -0.452 0.762  -0.198 0.814  0.044 0.901  0.304 0.901  0.500 1.030  0.758 1.040  0.987 1.146  1.118 1.176  0.867 1.109  0.616 1.043  0.366 0.976  0.115 0.910  -0.136 0.844  -0.387 0.777  -0.583 0.701  -0.583 0.441  -0.583 0.182  -0.583 -0.078  -0.583 -0.337  -0.583 -0.596  -0.583 -0.856  -0.599 -1.109  -0.713 -1.201  -0.638 -0.953  -0.564 -0.704  -0.489 -0.456  -0.435 -0.304  -0.180 -0.278  0.076 -0.258  0.289 -0.211  0.549 -0.211  0.762 -0.165  0.540 -0.298  0.317 -0.432  0.095 -0.565  -0.128 -0.699  -0.350 -0.832  -0.484 -1.040  -0.238 -1.046  0.021 -1.046  0.281 -1.046  0.540 -1.046  0.799 -1.046  1.059 -1.046  1.318 -1.046
1b#tos#f3#f3014059/H  -0.638 0.923  -0.808 0.923  -0.838 0.782  -0.838 0.612  -0.838 0.442  -0.838 0.272  -0.838 0.102  -0.868 -0.065  -0.878 -0.234  -0.935 -0.390  -0.958 -0.555  -0.998 -0.716  -1.096 -0.852  -1.117 -1.013  -1.099 -0.941  -1.008 -0.797  -0.917 -0.653  -0.826 -0.509  -0.735 -0.366  -0.615 -0.275  -0.445 -0.275  -0.275 -0.274  -0.120 -0.209  0.034 -0.155  0.191 -0.124  0.341 -0.075  0.485 0.004  0.639 0.020  0.687 0.150  0.698 0.320  0.710 0.489  0.722 0.659  0.733 0.829  0.745 0.998  0.757 1.168  0.719 1.083  0.679 0.953  0.796 0.845  0.799 0.677  0.799 0.507  0.799 0.337  0.799 0.167  0.799 -0.003  0.799 -0.173  0.799 -0.343  0.799 -0.513  0.799 -0.683  0.799 -0.853  0.799 -1.023  0.799 -1.193
1b#tos#f3#f3014059/I  -0.406 1.093  -0.536 1.085  -0.433 1.050  -0.295 1.050  -0.157 1.050  -0.023 1.069  0.110 1.093  0.238 1.134  0.376 1.137  0.514 1.137  0.609 1.180  0.522 1.211  0.389 1.249  0.255 1.256  0.156 1.189  0.114 1.093  0.113 0.956  0.113 0.818  0.113 0.680  0.095 0.544  0.070 0.409  0.070 0.271  0.070 0.133  0.070 -0.006  0.070 -0.144  0.055 -0.278  -0.007 -0.402  -0.017 -0.538  -0.017 -0.676  -0.017 -0.814  0.015 -0.896  -0.123 -0.885  -0.261 -0.873  -0.398 -0.862  -0.536 -0.854  -0.674 -0.854  -0.752 -0.914  -0.752 -1.052  -0.633 -1.070  -0.494 -1.070  -0.356 -1.070  -0.221 -1.062  -0.106 -0.985  0.032 -0.984  0.167 -0.966  0.301 -0.941  0.440 -0.941  0.578 -0.941  0.712 -0.910  0.849 -0.897
1b#tos#f3#f3014059/J  -0.282 1.000  -0.388 0.963  -0.490 0.924  -0.497 0.888  -0.388 0.915  -0.275 0.925  -0.166 0.946  -0.056 0.963  0.057 0.976  0.167 1.000  0.281 1.000  0.384 1.028  0.494 1.038  0.608 1.038  0.671 1.022  0.578 0.955  0.485 0.889  0.392 0.823  0.299 0.756  0.207 0.690  0.101 0.662  0.056 0.594  0.093 0.495  0.101 0.383  0.165 0.290  0.168 0.177  0.168 0.063  0.168 -0.051  0.170 -0.164  0.206 -0.242  0.206 -0.356  0.206 -0.470  0.206 -0.584  0.206 -0.698  0.206 -0.813  0.206 -0.927  0.206 -1.041  0.168 -1.140  0.093 -1.222  0.013 -1.279  -0.095 -1.315  -0.170 -1.365  -0.284 -1.365  -0.398 -1.365  -0.489 -1.309  -0.580 -1.252  -0.688 -1.233  -0.777 -1.164  -0.828 -1.062  -0.883 -0.990
1b#tos#f3#f3014059/K  -0.464 1.564  -0.667 1.589  -0.667 1.394  -0.667 1.167  -0.586 0.974  -0.586 0.747  -0.586 0.520  -0.586 0.293  -0.586 0.066  -0.550 -0.156  -0.531 -0.380  -0.505 -0.603  -0.505 -0.829  -0.505 -1.056  -0.519 -1.274  -0.542 -1.164  -0.454 -0.955  -0.366 -0.746  -0.278 -0.537  -0.189 -0.328  -0.101 -0.119  -0.013 0.090  0.075 0.299  0.163 0.508  0.251 0.717  0.340 0.926  0.428 1.135  0.506 1.297  0.417 1.160  0.312 0.980  0.201 0.783  0.110 0.576  0.066 0.373  -0.054 0.195  -0.122 -0.006  -0.181 -0.215  -0.287 -0.386  -0.209 -0.250  -0.101 -0.055  -0.060 -0.192  0.123 -0.270  0.264 -0.402  0.455 -0.488  0.590 -0.622  0.751 -0.782  0.934 -0.886  1.111 -1.023  1.314 -1.104  1.413 -1.259  1.639 -1.267
1b#tos#f3#f3014059/L  -0.358 1.444  -0.448 1.444  -0.511 1.472  -0.506 1.482  -0.434 1.442  -0.434 1.351  -0.396 1.299  -0.393 1.209  -0.358 1.127  -0.358 1.036  -0.358 0.946  -0.358 0.855  -0.358 0.765  -0.332 0.679  -0.320 0.590  -0.320 0.500  -0.320 0.409  -0.320 0.319  -0.320 0.228  -0.320 0.138  -0.320 0.047  -0.320 -0.043  -0.348 -0.129  -0.358 -0.218  -0.358 -0.309  -0.358 -0.399  -0.358 -0.490  -0.358 -0.580  -0.358 -0.671  -0.328 -0.731  -0.243 -0.737  -0.201 -0.808  -0.111 -0.808  -0.020 -0.808  0.070 -0.808  0.161 -0.808  0.251 -0.808  0.342 -0.808  0.431 -0.801  0.519 -0.779  0.608 -0.770  0.699 -0.770  0.789 -0.770  0.880 -0.770  0.970 -0.770  1.015 -0.696  1.104 -0.693  1.194 -0.693  1.283 -0.692  1.245 -0.617
1b#tos#f3#f3014059/M  -0.651 -0.990  -0.789 -1.029  -0.843 -1.128  -0.905 -1.067  -0.920 -0.929  -0.959 -0.791  -0.959 -0.637  -0.959 -0.483  -0.959 -0.329  -0.929 -0.179  -0.920 -0.026  -0.920 0.128  -0.920 0.282  -0.814 0.346  -0.739 0.476  -0.663 0.586  -0.613 0.690  -0.548 0.701  -0.497 0.598  -0.421 0.469  -0.344 0.347  -0.344 0.193  -0.344 0.039  -0.267 -0.038  -0.260 -0.100  -0.214 0.038  -0.107 0.137  -0.038 0.275  0.025 0.386  0.088 0.526  0.128 0.663  0.279 0.670  0.387 0.734  0.487 0.802  0.635 0.817  0.779 0.801  0.869 0.698  0.913 0.559  0.964 0.426  0.964 0.272  1.066 0.176  1.093 0.030  1.117 -0.121  1.117 -0.275  1.117 -0.429  1.117 -0.583  1.156 -0.721  1.156 -0.875  1.194 -0.990  1.194 -1.144
1b#tos#f3#f3014059/N  -0.712 -0.793  -0.771 -0.909  -0.884 -0.886  -0.927 -0.777  -0.927 -0.625  -0.927 -0.472  -0.927 -0.320  -0.927 -0.168  -0.927 -0.016  -0.927 0.136  -0.927 0.288  -0.927 0.440  -0.927 0.593  -0.927 0.745  -0.912 0.882  -0.803 0.925  -0.676 0.846  -0.569 0.739  -0.540 0.598  -0.461 0.481  -0.319 0.424  -0.276 0.298  -0.238 0.152  -0.154 0.084  -0.113 -0.058  -0.029 -0.185  0.061 -0.300  0.154 -0.414  0.233 -0.541  0.329 -0.642  0.428 -0.753  0.469 -0.879  0.577 -0.924  0.688 -0.965  0.792 -0.917  0.812 -0.773  0.864 -0.634  0.878 -0.484  0.878 -0.332  0.882 -0.180  0.921 -0.034  0.921 0.118  0.921 0.270  0.921 0.422  0.940 0.572  0.964 0.721  1.006 0.855  1.006 1.008  1.006 1.160  1.006 1.226
1b#tos#f3#f3014059/O  0.362 0.758  0.232 0.844  0.112 0.892  -0.054 0.892  -0.220 0.892  -0.310 0.815  -0.456 0.758  -0.579 0.662  -0.693 0.566  -0.800 0.450  -0.803 0.285  -0.875 0.148  -0.937 -0.004  -0.937 -0.170  -0.937 -0.336  -0.937 -0.502  -0.937 -0.668  -0.850 -0.808  -0.793 -0.945  -0.758 -1.077  -0.643 -1.137  -0.489 -1.199  -0.325 -1.214  -0.159 -1.214  0.007 -1.214  0.104 -1.102  0.224 -1.006  0.388 -0.990  0.519 -0.895  0.631 -0.785  0.721 -0.674  0.808 -0.544  0.855 -0.397  0.894 -0.240  0.900 -0.076  0.942 0.081  0.945 0.246  0.945 0.412  0.945 0.579  0.945 0.745  0.810 0.777  0.715 0.847  0.549 0.847  0.407 0.823  0.272 0.748  0.112 0.713  -0.054 0.713  -0.162 0.637  -0.278 0.579  -0.355 0.489
1b#tos#f3#f3014059/P  -0.230 1.312  -0.418 1.248  -0.371 1.079  -0.371 0.863  -0.371 0.647  -0.371 0.431  -0.423 0.243  -0.515 0.075  -0.557 -0.137  -0.559 -0.353  -0.559 -0.569  -0.566 -0.785  -0.606 -0.996  -0.606 -1.212  -0.606 -1.428  -0.606 -1.644  -0.583 -1.538  -0.541 -1.326  -0.499 -1.114  -0.456 -0.902  -0.414 -0.690  -0.372 -0.479  -0.329 -0.267  -0.287 -0.055  -0.244 0.157  -0.202 0.369  -0.160 0.581  -0.230 0.701  -0.399 0.748  -0.268 0.701  -0.052 0.701  0.147 0.772  0.358 0.795  0.574 0.795  0.753 0.884  0.967 0.889  1.136 0.842  1.322 0.812  1.369 0.615  1.276 0.421  1.177 0.273  1.047 0.104  0.899 -0.052  0.730 -0.183  0.592 -0.338  0.379 -0.374  0.232 -0.518  0.099 -0.627  -0.061 -0.710  -0.230 -0.757
