2#apb#apb42#app4204/A  0.060 0.738  -0.014 0.572  -0.134 0.358  -0.237 0.137  -0.328 -0.090  -0.419 -0.317  -0.499 -0.547  -0.541 -0.788  -0.606 -1.024  -0.640 -1.011  -0.624 -0.769  -0.539 -0.540  -0.433 -0.320  -0.315 -0.106  -0.202 0.111  -0.088 0.328  0.025 0.544  0.139 0.761  0.256 0.976  0.374 1.190  0.492 1.405  0.609 1.619  0.722 1.836  0.670 1.696  0.597 1.462  0.567 1.220  0.547 0.976  0.534 0.732  0.554 0.488  0.586 0.246  0.634 0.006  0.697 -0.230  0.786 -0.456  0.916 -0.663  1.057 -0.863  0.828 -0.851  0.584 -0.832  0.340 -0.812  0.096 -0.792  -0.148 -0.772  -0.391 -0.752  -0.635 -0.732  -0.879 -0.713  -1.123 -0.693  -1.238 -0.601  -0.997 -0.561  -0.764 -0.487  -0.529 -0.418  -0.292 -0.360  -0.054 -0.303
2#apb#apb42#app4204/g  0.142 0.825  0.207 0.926  0.181 1.043  0.063 1.014  -0.052 0.972  -0.167 0.929  -0.282 0.885  -0.397 0.841  -0.512 0.796  -0.626 0.752  -0.736 0.698  -0.844 0.638  -0.897 0.542  -0.778 0.514  -0.661 0.477  -0.546 0.521  -0.431 0.564  -0.316 0.607  -0.195 0.631  -0.075 0.655  0.045 0.683  0.163 0.718  0.283 0.738  0.381 0.713  0.383 0.677  0.395 0.555  0.416 0.434  0.451 0.316  0.478 0.196  0.496 0.075  0.518 -0.046  0.550 -0.165  0.580 -0.284  0.601 -0.405  0.620 -0.526  0.608 -0.649  0.584 -0.767  0.521 -0.873  0.453 -0.974  0.360 -1.055  0.268 -1.137  0.177 -1.219  0.086 -1.302  -0.016 -1.369  -0.124 -1.427  -0.233 -1.484  -0.352 -1.514  -0.472 -1.544  -0.590 -1.579  -0.708 -1.614
2#apb#apb42#app4204/o  0.471 0.887  0.369 0.989  0.228 1.015  0.087 1.009  -0.052 0.971  -0.191 0.933  -0.313 0.861  -0.430 0.777  -0.546 0.692  -0.661 0.604  -0.772 0.513  -0.884 0.422  -0.995 0.331  -1.047 0.197  -1.096 0.062  -1.138 -0.075  -1.126 -0.218  -1.114 -0.362  -1.082 -0.495  -0.972 -0.588  -0.861 -0.680  -0.750 -0.772  -0.627 -0.837  -0.485 -0.862  -0.343 -0.887  -0.202 -0.912  -0.059 -0.928  0.083 -0.910  0.226 -0.893  0.369 -0.875  0.511 -0.850  0.648 -0.807  0.786 -0.765  0.924 -0.723  1.044 -0.643  1.135 -0.548  1.135 -0.404  1.133 -0.261  1.079 -0.127  1.026 0.007  0.954 0.129  0.857 0.236  0.761 0.343  0.660 0.444  0.533 0.513  0.407 0.582  0.280 0.650  0.148 0.708  0.016 0.767  -0.124 0.782
2#apb#apb42#app4204/u  -0.747 0.786  -0.855 0.786  -0.938 0.747  -0.982 0.648  -1.027 0.549  -1.066 0.448  -1.089 0.342  -1.113 0.236  -1.130 0.130  -1.130 0.021  -1.130 -0.087  -1.115 -0.193  -1.077 -0.295  -1.039 -0.396  -0.965 -0.467  -0.871 -0.521  -0.777 -0.571  -0.671 -0.545  -0.566 -0.518  -0.464 -0.483  -0.367 -0.435  -0.270 -0.386  -0.192 -0.316  -0.129 -0.227  -0.067 -0.139  -0.005 -0.050  0.046 0.045  0.090 0.144  0.134 0.244  0.159 0.347  0.159 0.455  0.192 0.392  0.255 0.304  0.318 0.215  0.401 0.148  0.492 0.088  0.582 0.028  0.676 -0.024  0.780 -0.056  0.883 -0.088  0.987 -0.120  1.091 -0.152  1.199 -0.154  1.307 -0.154  1.416 -0.154  1.524 -0.154  1.632 -0.154  1.741 -0.154  1.823 -0.092  1.900 -0.015
2#apb#apb42#app4204/r  -0.388 0.248  -0.379 0.120  -0.364 -0.008  -0.350 -0.136  -0.354 -0.264  -0.373 -0.391  -0.383 -0.518  -0.347 -0.642  -0.312 -0.766  -0.266 -0.886  -0.216 -1.005  -0.168 -1.124  -0.168 -1.252  -0.127 -1.356  -0.080 -1.456  -0.080 -1.438  -0.080 -1.309  -0.092 -1.181  -0.115 -1.055  -0.138 -0.928  -0.161 -0.801  -0.177 -0.674  -0.190 -0.545  -0.203 -0.417  -0.227 -0.292  -0.281 -0.175  -0.335 -0.058  -0.389 0.059  -0.442 0.175  -0.484 0.296  -0.505 0.423  -0.520 0.551  -0.520 0.680  -0.449 0.760  -0.329 0.808  -0.206 0.845  -0.082 0.879  0.042 0.913  0.167 0.947  0.291 0.978  0.416 1.010  0.541 1.041  0.666 1.072  0.790 1.060  0.913 1.023  1.037 0.986  1.161 0.951  1.289 0.951  1.418 0.951  1.547 0.951
2#apb#apb42#app4204/a  0.284 0.063  0.414 0.120  0.522 0.228  0.630 0.336  0.663 0.467  0.623 0.614  0.563 0.755  0.451 0.827  0.299 0.843  0.147 0.853  -0.006 0.853  -0.155 0.834  -0.296 0.774  -0.437 0.713  -0.577 0.653  -0.683 0.548  -0.776 0.426  -0.870 0.305  -0.963 0.184  -1.051 0.059  -1.139 -0.066  -1.225 -0.192  -1.255 -0.342  -1.285 -0.492  -1.254 -0.634  -1.162 -0.755  -1.054 -0.863  -0.912 -0.827  -0.767 -0.779  -0.623 -0.727  -0.480 -0.673  -0.376 -0.569  -0.291 -0.442  -0.209 -0.313  -0.140 -0.176  -0.072 -0.039  0.003 0.051  0.150 0.009  0.297 -0.035  0.443 -0.079  0.589 -0.123  0.733 -0.176  0.877 -0.228  1.024 -0.261  1.177 -0.261  1.330 -0.261  1.483 -0.268  1.634 -0.289  1.786 -0.311  1.937 -0.333
2#apb#apb42#app4204/H  -0.139 1.607  -0.359 1.466  -0.480 1.225  -0.562 0.968  -0.589 0.697  -0.609 0.425  -0.609 0.153  -0.580 -0.116  -0.518 -0.382  -0.465 -0.649  -0.396 -0.912  -0.284 -0.934  -0.176 -0.684  -0.067 -0.434  0.041 -0.184  0.150 0.067  0.258 0.317  0.366 0.567  0.475 0.817  0.583 1.067  0.692 1.317  0.800 1.567  0.677 1.566  0.574 1.325  0.521 1.058  0.470 0.790  0.436 0.520  0.420 0.248  0.425 -0.024  0.442 -0.296  0.483 -0.566  0.517 -0.836  0.612 -1.087  0.767 -1.293  0.510 -1.201  0.254 -1.108  -0.003 -1.016  -0.259 -0.923  -0.515 -0.831  -0.772 -0.738  -1.028 -0.645  -1.245 -0.517  -1.050 -0.384  -0.777 -0.377  -0.505 -0.360  -0.234 -0.330  0.036 -0.298  0.308 -0.281  0.573 -0.226  0.829 -0.135
2#apb#apb42#app4204/i  0.307 -0.183  0.307 -0.277  0.317 -0.370  0.331 -0.463  0.344 -0.556  0.347 -0.649  0.347 -0.743  0.347 -0.837  0.335 -0.930  0.319 -1.022  0.307 -1.115  0.307 -1.209  0.291 -1.300  0.250 -1.361  0.184 -1.305  0.167 -1.213  0.149 -1.121  0.132 -1.029  0.114 -0.936  0.097 -0.844  0.079 -0.752  0.062 -0.660  0.044 -0.568  0.027 -0.476  0.009 -0.384  -0.008 -0.291  -0.026 -0.199  -0.043 -0.107  -0.061 -0.015  -0.078 0.077  -0.096 0.169  -0.113 0.261  -0.131 0.353  -0.148 0.446  -0.166 0.538  -0.183 0.630  -0.201 0.722  -0.218 0.814  -0.236 0.906  -0.253 0.998  -0.271 1.090  -0.288 1.183  -0.306 1.275  -0.323 1.367  -0.341 1.459  -0.358 1.551  -0.376 1.643  -0.393 1.735  -0.420 1.824  -0.483 1.873
2#apb#apb42#app4204/l  0.215 1.663  0.193 1.597  0.161 1.536  0.119 1.480  0.081 1.423  0.070 1.354  0.060 1.285  0.049 1.216  0.038 1.147  0.028 1.078  0.017 1.009  0.008 0.940  -0.001 0.871  -0.009 0.801  -0.018 0.732  -0.027 0.663  -0.035 0.594  -0.044 0.524  -0.052 0.455  -0.055 0.385  -0.059 0.316  -0.063 0.246  -0.066 0.176  -0.070 0.107  -0.074 0.037  -0.077 -0.033  -0.081 -0.102  -0.083 -0.172  -0.076 -0.241  -0.068 -0.311  -0.060 -0.380  -0.053 -0.449  -0.045 -0.519  -0.037 -0.588  -0.030 -0.657  -0.022 -0.727  -0.018 -0.796  -0.018 -0.866  -0.018 -0.936  -0.018 -1.006  -0.018 -1.075  -0.018 -1.145  -0.014 -1.215  -0.000 -1.283  0.013 -1.351  0.027 -1.420  0.041 -1.488  0.055 -1.557  0.068 -1.625  0.082 -1.694
2#apb#apb42#app4204/l  0.008 1.607  0.070 1.638  0.070 1.568  0.070 1.498  0.070 1.428  0.070 1.358  0.070 1.288  0.070 1.219  0.070 1.149  0.070 1.079  0.070 1.009  0.070 0.939  0.070 0.869  0.069 0.800  0.065 0.730  0.062 0.660  0.058 0.590  0.055 0.521  0.051 0.451  0.048 0.381  0.044 0.312  0.041 0.242  0.035 0.172  0.026 0.103  0.017 0.034  0.009 -0.036  -0.000 -0.105  -0.009 -0.174  -0.017 -0.243  -0.024 -0.313  -0.028 -0.383  -0.032 -0.452  -0.036 -0.522  -0.040 -0.592  -0.044 -0.661  -0.048 -0.731  -0.052 -0.801  -0.058 -0.870  -0.069 -0.939  -0.081 -1.008  -0.092 -1.077  -0.104 -1.146  -0.115 -1.215  -0.116 -1.284  -0.116 -1.354  -0.116 -1.424  -0.092 -1.488  -0.061 -1.551  -0.054 -1.619  -0.023 -1.658
2#apb#apb42#app4204/s  0.002 1.283  -0.076 1.260  -0.182 1.179  -0.287 1.097  -0.392 1.016  -0.499 0.937  -0.612 0.866  -0.724 0.794  -0.836 0.723  -0.934 0.632  -1.028 0.538  -1.113 0.438  -1.155 0.312  -1.206 0.198  -1.111 0.123  -0.982 0.091  -0.853 0.078  -0.723 0.110  -0.594 0.142  -0.465 0.174  -0.336 0.207  -0.203 0.211  -0.070 0.211  0.063 0.211  0.196 0.203  0.327 0.181  0.458 0.159  0.589 0.135  0.717 0.097  0.844 0.058  0.969 0.013  1.088 -0.046  1.208 -0.106  1.237 -0.232  1.233 -0.358  1.167 -0.474  1.095 -0.584  0.985 -0.658  0.874 -0.732  0.763 -0.806  0.647 -0.866  0.515 -0.888  0.384 -0.910  0.253 -0.932  0.121 -0.954  -0.010 -0.977  -0.141 -1.001  -0.272 -1.026  -0.403 -1.050  -0.533 -1.075
