1d#tos#f2#f2034065/\"  -0.287 1.515  -0.353 1.416  -0.486 1.384  -0.486 1.219  -0.543 1.089  -0.687 1.012  -0.739 0.856  -0.784 0.698  -0.784 0.533  -0.784 0.368  -0.784 0.204  -0.784 0.039  -0.784 -0.126  -0.784 -0.291  -0.784 -0.456  -0.749 -0.607  -0.661 -0.741  -0.609 -0.898  -0.585 -1.059  -0.585 -1.224  -0.464 -1.268  -0.299 -1.268  -0.168 -1.218  -0.108 -1.064  -0.048 -0.911  0.012 -0.757  0.072 -0.603  0.132 -0.450  0.193 -0.296  0.253 -0.143  0.313 0.011  0.373 0.165  0.433 0.318  0.493 0.472  0.553 0.625  0.613 0.779  0.673 0.933  0.707 0.945  0.707 0.780  0.707 0.615  0.707 0.450  0.707 0.286  0.709 0.122  0.806 -0.003  0.806 -0.168  0.806 -0.333  0.806 -0.498  0.806 -0.663  0.832 -0.822  0.906 -0.969
1d#tos#f2#f2034065/#  -0.055 1.390  -0.406 1.298  -0.406 0.856  -0.406 0.413  -0.425 -0.028  -0.582 -0.438  -0.582 -0.881  -0.582 -1.324  -0.542 -1.542  -0.391 -1.126  -0.239 -0.709  -0.088 -0.293  0.063 0.123  0.215 0.539  0.366 0.955  0.517 1.372  0.412 1.505  0.412 1.062  0.412 0.619  0.412 0.177  0.354 -0.252  0.354 -0.695  0.354 -1.138  0.354 -1.581  0.331 -1.673  0.122 -1.282  -0.086 -0.892  -0.294 -0.501  -0.503 -0.110  -0.711 0.281  -0.920 0.671  -1.107 0.659  -0.671 0.630  -0.228 0.630  0.215 0.630  0.658 0.630  1.101 0.630  1.459 0.512  1.029 0.407  0.599 0.302  0.169 0.197  -0.262 0.092  -0.692 -0.013  -0.933 -0.267  -0.889 -0.364  -0.446 -0.364  -0.003 -0.364  0.404 -0.247  0.847 -0.247  1.290 -0.247
1d#tos#f2#f2034065/$  0.972 0.227  0.802 0.397  0.708 0.609  0.437 0.651  0.156 0.651  -0.115 0.609  -0.377 0.524  -0.563 0.397  -0.795 0.265  -0.851 0.014  -0.663 -0.112  -0.391 -0.151  -0.120 -0.196  0.161 -0.196  0.415 -0.281  0.670 -0.362  0.892 -0.460  0.984 -0.718  0.929 -0.902  0.764 -1.040  0.502 -1.087  0.221 -1.087  -0.043 -1.044  -0.238 -0.943  -0.455 -0.833  -0.674 -0.713  -0.892 -0.620  -0.778 -0.371  -0.683 -0.106  -0.589 0.159  -0.495 0.424  -0.400 0.689  -0.306 0.954  -0.212 1.219  -0.117 1.484  -0.023 1.749  0.039 1.827  0.039 1.546  0.081 1.282  0.081 1.001  0.081 0.719  0.081 0.438  0.081 0.157  0.081 -0.125  0.081 -0.406  0.081 -0.687  0.081 -0.969  0.111 -1.246  0.124 -1.526  0.124 -1.807
1d#tos#f2#f2034065/&  1.223 -1.047  1.020 -1.132  0.811 -1.047  0.634 -0.963  0.463 -0.896  0.301 -0.801  0.181 -0.638  0.059 -0.465  -0.057 -0.288  -0.168 -0.162  -0.282 0.021  -0.338 0.224  -0.435 0.426  -0.549 0.606  -0.579 0.823  -0.633 1.027  -0.520 1.165  -0.387 1.314  -0.167 1.356  0.063 1.398  0.300 1.398  0.515 1.347  0.674 1.225  0.759 1.072  0.759 0.835  0.675 0.682  0.583 0.467  0.372 0.386  0.145 0.344  -0.073 0.272  -0.300 0.230  -0.490 0.163  -0.667 0.049  -0.790 -0.108  -0.970 -0.196  -1.063 -0.373  -1.139 -0.534  -1.120 -0.752  -0.893 -0.794  -0.747 -0.906  -0.556 -0.963  -0.345 -0.883  -0.161 -0.794  0.023 -0.710  0.233 -0.626  0.423 -0.555  0.531 -0.415  0.716 -0.331  0.911 -0.288  1.054 -0.162
1d#tos#f2#f2034065/(  0.922 1.310  0.853 1.258  0.784 1.206  0.715 1.155  0.646 1.103  0.572 1.065  0.486 1.065  0.399 1.065  0.313 1.065  0.269 1.023  0.222 0.983  0.136 0.983  0.066 0.944  0.024 0.875  -0.008 0.820  -0.069 0.786  -0.097 0.704  -0.124 0.622  -0.176 0.575  -0.240 0.538  -0.278 0.461  -0.325 0.390  -0.385 0.328  -0.385 0.242  -0.385 0.155  -0.385 0.069  -0.385 -0.017  -0.385 -0.104  -0.385 -0.190  -0.385 -0.276  -0.385 -0.363  -0.385 -0.449  -0.385 -0.535  -0.385 -0.621  -0.385 -0.708  -0.385 -0.794  -0.385 -0.880  -0.334 -0.946  -0.273 -1.007  -0.211 -1.068  -0.150 -1.129  -0.140 -1.210  -0.068 -1.245  0.014 -1.272  0.096 -1.300  0.182 -1.303  0.268 -1.303  0.350 -1.330  0.432 -1.357  0.514 -1.384
1d#tos#f2#f2034065/)  0.120 1.412  0.044 1.412  -0.033 1.412  -0.034 1.335  -0.034 1.259  -0.109 1.258  -0.186 1.258  -0.262 1.258  -0.264 1.183  -0.211 1.128  -0.157 1.074  -0.110 1.017  -0.103 0.943  -0.049 0.889  -0.034 0.819  -0.034 0.742  -0.034 0.666  -0.034 0.589  -0.010 0.518  0.025 0.450  0.043 0.378  0.043 0.301  0.043 0.224  0.068 0.158  0.120 0.103  0.120 0.027  0.120 -0.050  0.120 -0.127  0.120 -0.203  0.120 -0.280  0.120 -0.356  0.120 -0.433  0.120 -0.510  0.120 -0.586  0.120 -0.663  0.120 -0.739  0.120 -0.816  0.120 -0.893  0.120 -0.969  0.087 -1.038  0.052 -1.106  0.043 -1.181  0.043 -1.257  0.018 -1.328  -0.016 -1.396  -0.050 -1.465  -0.084 -1.533  -0.127 -1.594  -0.196 -1.628  -0.264 -1.662
1d#tos#f2#f2034065/*  0.584 1.595  0.346 1.526  0.239 1.287  0.170 0.996  0.164 0.692  0.101 0.412  0.071 0.117  0.032 -0.173  0.032 -0.480  0.032 -0.786  0.032 -1.093  0.101 -1.371  0.168 -1.355  0.289 -1.073  0.411 -0.792  0.533 -0.510  0.654 -0.229  0.776 0.053  0.898 0.334  1.020 0.615  1.141 0.897  1.136 0.965  0.958 0.836  0.733 0.640  0.537 0.437  0.351 0.203  0.101 0.051  -0.061 -0.169  -0.313 -0.341  -0.477 -0.529  -0.665 -0.757  -0.876 -0.978  -0.934 -0.920  -0.934 -0.613  -0.934 -0.306  -0.934 0.000  -0.934 0.307  -0.934 0.614  -0.934 0.920  -1.072 0.998  -1.069 0.692  -0.860 0.489  -0.709 0.278  -0.472 0.119  -0.238 -0.066  -0.106 -0.318  0.129 -0.503  0.346 -0.719  0.584 -0.899  0.791 -1.095
1d#tos#f2#f2034065/.  0.618 1.306  0.545 1.306  0.472 1.306  0.400 1.306  0.327 1.306  0.254 1.306  0.181 1.306  0.131 1.269  0.099 1.204  0.066 1.139  0.034 1.074  0.001 1.009  -0.031 0.944  -0.064 0.879  -0.084 0.811  -0.084 0.738  -0.084 0.665  -0.084 0.593  -0.084 0.520  -0.084 0.447  -0.084 0.374  -0.084 0.301  -0.084 0.229  -0.084 0.156  -0.084 0.083  -0.084 0.010  -0.084 -0.063  -0.084 -0.135  -0.084 -0.208  -0.084 -0.281  -0.084 -0.354  -0.084 -0.427  -0.084 -0.499  -0.084 -0.572  -0.084 -0.645  -0.084 -0.718  -0.084 -0.790  -0.084 -0.863  -0.084 -0.936  -0.084 -1.009  -0.084 -1.082  -0.084 -1.154  -0.084 -1.227  -0.084 -1.300  -0.084 -1.373  -0.084 -1.446  -0.084 -1.518  -0.084 -1.591  -0.084 -1.664  -0.084 -1.737
1d#tos#f2#f2034065/  1.126 1.216  1.074 1.164  1.022 1.112  0.969 1.060  0.917 1.008  0.844 1.008  0.783 0.977  0.731 0.925  0.710 0.860  0.698 0.794  0.632 0.761  0.566 0.728  0.502 0.695  0.502 0.621  0.502 0.547  0.502 0.474  0.502 0.400  0.450 0.358  0.384 0.326  0.318 0.293  0.253 0.260  0.187 0.227  0.121 0.194  0.062 0.152  0.009 0.100  -0.043 0.048  -0.095 -0.004  -0.143 -0.059  -0.187 -0.118  -0.231 -0.177  -0.275 -0.236  -0.320 -0.295  -0.364 -0.354  -0.408 -0.413  -0.455 -0.469  -0.507 -0.521  -0.559 -0.573  -0.611 -0.625  -0.656 -0.683  -0.689 -0.748  -0.721 -0.814  -0.754 -0.880  -0.787 -0.946  -0.820 -1.012  -0.854 -1.077  -0.895 -1.138  -0.936 -1.200  -0.976 -1.261  -1.017 -1.322  -1.058 -1.383
1d#tos#f2#f2034065/?  -0.519 1.248  -0.622 1.227  -0.703 1.170  -0.639 1.126  -0.531 1.126  -0.423 1.126  -0.316 1.126  -0.208 1.126  -0.100 1.126  0.008 1.126  0.115 1.126  0.223 1.126  0.315 1.088  0.409 1.055  0.461 0.968  0.461 0.861  0.461 0.753  0.461 0.645  0.373 0.592  0.307 0.513  0.277 0.412  0.216 0.366  0.208 0.261  0.132 0.185  0.056 0.109  -0.020 0.033  -0.072 -0.061  -0.137 -0.145  -0.170 -0.240  -0.213 -0.329  -0.213 -0.437  -0.213 -0.545  -0.213 -0.653  -0.213 -0.760  -0.213 -0.868  -0.177 -0.967  -0.100 -1.010  0.006 -0.995  0.113 -0.979  0.220 -0.964  0.242 -0.991  0.145 -1.017  0.037 -1.017  0.032 -1.120  0.032 -1.228  0.044 -1.323  0.093 -1.382  0.155 -1.428  0.195 -1.527  0.216 -1.629
1d#tos#f2#f2034065/[  0.083 1.188  -0.019 1.144  -0.104 1.059  -0.091 1.014  0.028 1.012  0.125 0.956  0.245 0.956  0.365 0.956  0.474 0.906  0.592 0.898  0.712 0.898  0.725 0.892  0.606 0.878  0.486 0.864  0.367 0.850  0.248 0.836  0.128 0.822  0.009 0.808  -0.111 0.794  -0.230 0.783  -0.325 0.722  -0.423 0.667  -0.438 0.562  -0.380 0.466  -0.380 0.345  -0.380 0.225  -0.380 0.105  -0.380 -0.015  -0.380 -0.135  -0.380 -0.256  -0.380 -0.376  -0.380 -0.496  -0.380 -0.616  -0.380 -0.736  -0.380 -0.857  -0.322 -0.919  -0.264 -0.981  -0.234 -1.071  -0.114 -1.071  -0.187 -1.071  -0.206 -1.172  -0.159 -1.245  -0.039 -1.245  0.081 -1.245  0.144 -1.303  0.245 -1.349  0.360 -1.361  0.480 -1.361  0.601 -1.361  0.721 -1.361
