1c#tos#f2#f2018063/a  0.100 0.798  -0.005 0.848  -0.147 0.899  -0.267 0.987  -0.404 1.020  -0.555 1.020  -0.699 1.012  -0.713 0.866  -0.799 0.742  -0.877 0.623  -0.909 0.482  -1.013 0.394  -1.103 0.273  -1.143 0.136  -1.143 -0.015  -1.143 -0.166  -1.143 -0.317  -1.089 -0.421  -0.982 -0.499  -0.839 -0.547  -0.693 -0.579  -0.542 -0.579  -0.423 -0.505  -0.348 -0.391  -0.201 -0.357  -0.090 -0.293  0.010 -0.181  0.124 -0.083  0.233 0.013  0.332 0.107  0.367 0.249  0.367 0.400  0.367 0.512  0.355 0.363  0.322 0.217  0.322 0.066  0.322 -0.085  0.354 -0.231  0.428 -0.361  0.558 -0.401  0.661 -0.497  0.756 -0.613  0.896 -0.666  1.047 -0.668  1.198 -0.668  1.348 -0.665  1.483 -0.598  1.627 -0.570  1.770 -0.534  1.921 -0.534
1c#tos#f2#f2018063/b  -0.437 1.683  -0.546 1.724  -0.546 1.601  -0.546 1.450  -0.546 1.299  -0.546 1.148  -0.546 0.998  -0.546 0.847  -0.546 0.696  -0.546 0.546  -0.546 0.395  -0.546 0.244  -0.546 0.093  -0.546 -0.057  -0.546 -0.208  -0.546 -0.359  -0.546 -0.393  -0.502 -0.287  -0.447 -0.154  -0.353 -0.039  -0.247 0.067  -0.131 0.151  -0.051 0.266  0.036 0.370  0.164 0.423  0.292 0.479  0.442 0.479  0.593 0.479  0.720 0.401  0.809 0.285  0.877 0.160  0.948 0.048  1.041 -0.053  1.041 -0.204  1.041 -0.355  0.932 -0.397  0.901 -0.542  0.858 -0.670  0.714 -0.706  0.581 -0.776  0.494 -0.880  0.376 -0.968  0.240 -1.029  0.105 -1.094  -0.025 -1.163  -0.175 -1.163  -0.326 -1.163  -0.477 -1.163  -0.583 -1.236  -0.711 -1.272
1c#tos#f2#f2018063/d  0.180 -0.168  0.012 -0.109  -0.139 0.009  -0.319 0.052  -0.511 0.052  -0.702 0.047  -0.831 -0.094  -0.925 -0.260  -0.962 -0.449  -0.972 -0.641  -0.972 -0.833  -0.972 -1.026  -0.858 -1.129  -0.691 -1.210  -0.499 -1.210  -0.306 -1.210  -0.117 -1.194  0.055 -1.108  0.178 -0.992  0.195 -0.801  0.210 -0.609  0.225 -0.417  0.240 -0.225  0.255 -0.033  0.270 0.159  0.285 0.351  0.300 0.543  0.316 0.735  0.331 0.927  0.346 1.118  0.361 1.310  0.376 1.502  0.391 1.694  0.320 1.807  0.290 1.645  0.290 1.453  0.303 1.262  0.345 1.074  0.345 0.882  0.345 0.689  0.345 0.497  0.345 0.304  0.345 0.112  0.345 -0.081  0.345 -0.273  0.334 -0.463  0.248 -0.636  0.235 -0.825  0.235 -1.018  0.235 -1.210
1c#tos#f2#f2018063/f  -0.945 0.034  -1.108 0.034  -1.271 0.034  -1.145 0.034  -0.982 0.034  -0.819 0.034  -0.664 0.008  -0.534 -0.090  -0.379 -0.114  -0.216 -0.114  -0.056 -0.144  0.102 -0.184  0.261 -0.212  0.424 -0.212  0.587 -0.212  0.733 -0.193  0.758 -0.031  0.783 0.130  0.807 0.291  0.832 0.452  0.857 0.613  0.882 0.775  0.907 0.936  0.898 1.068  0.735 1.068  0.681 1.177  0.557 1.216  0.398 1.198  0.245 1.144  0.134 1.068  0.073 0.959  -0.058 0.866  -0.111 0.715  -0.157 0.563  -0.169 0.403  -0.206 0.248  -0.206 0.085  -0.206 -0.078  -0.206 -0.241  -0.206 -0.404  -0.206 -0.567  -0.206 -0.730  -0.206 -0.893  -0.206 -1.056  -0.206 -1.220  -0.206 -1.383  -0.206 -1.546  -0.206 -1.709  -0.206 -1.872  -0.157 -1.986
1c#tos#f2#f2018063/g  0.288 0.768  0.241 0.938  0.070 0.955  -0.013 1.109  -0.176 1.203  -0.359 1.236  -0.494 1.166  -0.600 1.033  -0.600 0.845  -0.440 0.815  -0.259 0.845  -0.111 0.951  -0.012 1.083  0.134 1.142  0.276 1.189  0.382 1.043  0.418 0.858  0.428 0.671  0.428 0.482  0.428 0.293  0.428 0.105  0.428 -0.084  0.421 -0.270  0.307 -0.421  0.253 -0.593  0.174 -0.762  0.129 -0.945  0.029 -1.078  -0.076 -1.212  -0.175 -1.355  -0.302 -1.488  -0.366 -1.661  -0.553 -1.661  -0.553 -1.472  -0.634 -1.307  -0.646 -1.123  -0.646 -0.934  -0.646 -0.745  -0.607 -0.563  -0.448 -0.518  -0.363 -0.350  -0.229 -0.216  -0.077 -0.107  0.043 0.029  0.227 0.067  0.416 0.067  0.604 0.067  0.789 0.050  0.960 -0.026  1.083 -0.120
1c#tos#f2#f2018063/h  -0.024 1.973  -0.118 2.029  -0.134 1.895  -0.134 1.745  -0.134 1.594  -0.134 1.444  -0.134 1.294  -0.134 1.144  -0.134 0.994  -0.138 0.845  -0.163 0.697  -0.187 0.549  -0.190 0.399  -0.192 0.249  -0.228 0.103  -0.275 -0.039  -0.331 -0.178  -0.356 -0.323  -0.356 -0.474  -0.382 -0.620  -0.411 -0.767  -0.411 -0.917  -0.507 -1.007  -0.522 -1.149  -0.519 -1.284  -0.472 -1.141  -0.404 -1.008  -0.356 -0.878  -0.349 -0.731  -0.244 -0.624  -0.196 -0.482  -0.190 -0.333  -0.154 -0.188  -0.079 -0.064  -0.044 0.071  0.062 0.178  0.091 0.314  0.241 0.314  0.321 0.197  0.437 0.112  0.504 -0.023  0.600 -0.129  0.681 -0.231  0.737 -0.370  0.806 -0.494  0.812 -0.643  0.859 -0.786  0.862 -0.935  0.862 -1.086  0.862 -1.236
1c#tos#f2#f2018063/i  -0.205 1.613  -0.205 1.539  -0.205 1.465  -0.205 1.391  -0.195 1.321  -0.143 1.268  -0.090 1.216  -0.028 1.175  0.033 1.134  0.077 1.083  0.077 1.009  0.134 0.992  0.186 0.939  0.180 0.868  0.169 0.794  0.158 0.721  0.147 0.648  0.136 0.574  0.125 0.501  0.114 0.428  0.103 0.354  0.092 0.281  0.081 0.208  0.070 0.135  0.059 0.061  0.048 -0.012  0.037 -0.085  0.026 -0.159  0.021 -0.232  0.021 -0.306  -0.002 -0.377  -0.026 -0.447  -0.036 -0.520  -0.078 -0.576  -0.092 -0.644  -0.092 -0.718  -0.077 -0.789  -0.044 -0.855  -0.036 -0.927  -0.036 -1.002  -0.036 -1.076  -0.036 -1.150  -0.036 -1.224  -0.036 -1.298  -0.036 -1.372  -0.036 -1.446  -0.036 -1.520  -0.036 -1.594  -0.032 -1.667  0.021 -1.719
1c#tos#f2#f2018063/l  0.122 1.588  0.052 1.588  -0.010 1.579  -0.010 1.509  -0.010 1.438  -0.010 1.368  -0.010 1.298  -0.010 1.228  -0.010 1.158  -0.010 1.087  -0.010 1.017  -0.010 0.947  -0.010 0.877  -0.010 0.807  -0.010 0.736  -0.010 0.666  -0.010 0.596  -0.010 0.526  -0.010 0.456  -0.010 0.385  -0.010 0.315  -0.010 0.245  -0.010 0.175  -0.010 0.105  -0.010 0.034  -0.010 -0.036  -0.010 -0.106  -0.010 -0.176  -0.010 -0.246  -0.010 -0.317  -0.010 -0.387  -0.010 -0.457  -0.010 -0.527  -0.010 -0.597  -0.010 -0.668  -0.010 -0.738  -0.010 -0.808  -0.010 -0.878  -0.010 -0.948  -0.010 -1.019  -0.010 -1.089  -0.010 -1.159  -0.010 -1.229  -0.010 -1.299  -0.010 -1.370  -0.010 -1.440  -0.007 -1.507  0.059 -1.514  0.090 -1.576  0.122 -1.639
1c#tos#f2#f2018063/n  -0.275 1.571  -0.432 1.571  -0.530 1.512  -0.530 1.355  -0.500 1.207  -0.413 1.076  -0.402 0.923  -0.402 0.766  -0.402 0.609  -0.418 0.455  -0.488 0.315  -0.530 0.168  -0.530 0.011  -0.530 -0.146  -0.530 -0.303  -0.530 -0.460  -0.530 -0.617  -0.530 -0.774  -0.530 -0.931  -0.530 -1.088  -0.530 -1.245  -0.530 -1.197  -0.530 -1.040  -0.530 -0.883  -0.530 -0.726  -0.530 -0.569  -0.530 -0.412  -0.423 -0.300  -0.345 -0.165  -0.259 -0.033  -0.145 0.045  -0.096 0.194  -0.018 0.329  0.089 0.423  0.220 0.486  0.377 0.486  0.534 0.486  0.691 0.486  0.844 0.469  0.938 0.370  0.938 0.213  0.938 0.056  1.029 -0.066  1.116 -0.197  1.129 -0.350  1.129 -0.507  1.129 -0.664  1.129 -0.821  1.129 -0.978  1.193 -1.108
1c#tos#f2#f2018063/p  -0.277 1.377  -0.445 1.333  -0.501 1.145  -0.501 0.934  -0.501 0.723  -0.501 0.511  -0.501 0.300  -0.501 0.089  -0.501 -0.123  -0.501 -0.334  -0.501 -0.545  -0.501 -0.757  -0.501 -0.968  -0.501 -1.179  -0.501 -1.391  -0.501 -1.602  -0.401 -1.756  -0.363 -1.558  -0.335 -1.349  -0.307 -1.139  -0.280 -0.930  -0.252 -0.720  -0.224 -0.511  -0.197 -0.301  -0.169 -0.092  -0.141 0.118  -0.114 0.327  -0.086 0.537  -0.058 0.746  -0.031 0.956  -0.003 1.165  0.059 1.098  0.270 1.097  0.421 1.007  0.612 0.922  0.786 0.809  0.936 0.706  0.972 0.519  1.145 0.426  1.234 0.303  1.234 0.092  1.088 -0.014  0.947 -0.134  0.735 -0.134  0.546 -0.226  0.339 -0.245  0.128 -0.245  -0.081 -0.273  -0.233 -0.357  -0.445 -0.357
1c#tos#f2#f2018063/s  0.837 1.073  0.704 1.073  0.571 1.073  0.437 1.073  0.304 1.073  0.179 1.107  0.060 1.167  -0.068 1.192  -0.201 1.192  -0.308 1.148  -0.394 1.073  -0.528 1.073  -0.582 0.994  -0.641 0.920  -0.641 0.787  -0.641 0.653  -0.584 0.544  -0.523 0.436  -0.420 0.380  -0.319 0.298  -0.189 0.266  -0.059 0.246  0.056 0.200  0.159 0.127  0.292 0.127  0.364 0.066  0.381 -0.050  0.505 -0.091  0.583 -0.192  0.667 -0.293  0.719 -0.405  0.719 -0.538  0.719 -0.672  0.686 -0.799  0.660 -0.929  0.548 -0.993  0.416 -0.996  0.341 -1.055  0.208 -1.055  0.075 -1.055  -0.038 -1.103  -0.143 -1.173  -0.276 -1.173  -0.409 -1.173  -0.539 -1.162  -0.650 -1.088  -0.759 -1.041  -0.759 -0.908  -0.759 -0.774  -0.759 -0.641
