2#app#app35#app3558/i  -0.033 0.106  -0.033 -0.001  0.033 -0.081  0.089 -0.165  0.089 -0.272  0.089 -0.379  0.163 -0.456  0.211 -0.543  0.211 -0.650  0.211 -0.758  0.211 -0.865  0.211 -0.972  0.211 -1.079  0.211 -1.186  0.211 -1.293  0.211 -1.400  0.206 -1.445  0.189 -1.340  0.173 -1.234  0.157 -1.128  0.141 -1.022  0.124 -0.916  0.108 -0.810  0.092 -0.704  0.075 -0.598  0.059 -0.492  0.043 -0.387  0.027 -0.281  0.010 -0.175  -0.006 -0.069  -0.022 0.037  -0.039 0.143  -0.055 0.249  -0.071 0.355  -0.087 0.461  -0.104 0.566  -0.120 0.672  -0.136 0.778  -0.153 0.884  -0.169 0.990  -0.185 1.096  -0.202 1.202  -0.218 1.308  -0.234 1.414  -0.250 1.519  -0.267 1.625  -0.276 1.732  -0.305 1.810  -0.398 1.824  -0.398 1.931
2#app#app35#app3558/n  -1.068 0.423  -1.068 0.291  -1.068 0.160  -0.998 0.057  -0.920 -0.043  -0.920 -0.174  -0.920 -0.306  -0.920 -0.438  -0.815 -0.465  -0.772 -0.553  -0.772 -0.685  -0.772 -0.817  -0.772 -0.870  -0.756 -0.745  -0.662 -0.652  -0.624 -0.536  -0.624 -0.404  -0.624 -0.273  -0.611 -0.144  -0.552 -0.026  -0.493 0.092  -0.476 0.219  -0.442 0.343  -0.383 0.461  -0.322 0.577  -0.229 0.670  -0.180 0.782  -0.133 0.867  -0.002 0.867  0.130 0.867  0.262 0.867  0.394 0.867  0.492 0.787  0.576 0.687  0.635 0.570  0.694 0.452  0.808 0.423  0.856 0.340  0.904 0.228  0.997 0.134  1.004 0.006  1.079 -0.095  1.152 -0.196  1.152 -0.328  1.152 -0.460  1.242 -0.554  1.300 -0.662  1.300 -0.794  1.317 -0.909  1.448 -0.909
2#app#app35#app3558/o  -0.009 1.113  -0.144 1.113  -0.279 1.113  -0.388 1.048  -0.479 0.951  -0.479 0.815  -0.564 0.715  -0.651 0.613  -0.711 0.492  -0.772 0.371  -0.855 0.267  -0.950 0.171  -0.950 0.035  -0.950 -0.100  -0.950 -0.235  -0.950 -0.371  -0.950 -0.506  -0.950 -0.641  -0.942 -0.769  -0.807 -0.769  -0.685 -0.823  -0.564 -0.884  -0.438 -0.926  -0.303 -0.926  -0.168 -0.926  -0.032 -0.926  0.070 -0.847  0.173 -0.769  0.308 -0.769  0.444 -0.769  0.567 -0.717  0.688 -0.656  0.812 -0.612  0.932 -0.597  0.932 -0.461  1.024 -0.364  1.089 -0.256  1.089 -0.120  1.089 0.015  0.994 0.111  0.932 0.220  0.913 0.348  0.818 0.443  0.722 0.539  0.626 0.635  0.531 0.730  0.435 0.826  0.339 0.922  0.244 1.017  0.148 1.113
2#app#app35#app3558/n  -1.158 1.030  -1.158 0.885  -1.158 0.739  -1.101 0.616  -0.998 0.513  -0.979 0.375  -0.940 0.239  -0.875 0.108  -0.810 -0.022  -0.745 -0.153  -0.680 -0.283  -0.622 -0.416  -0.622 -0.561  -0.622 -0.707  -0.524 -0.755  -0.443 -0.820  -0.443 -0.902  -0.443 -0.756  -0.443 -0.610  -0.443 -0.464  -0.443 -0.319  -0.410 -0.186  -0.307 -0.083  -0.265 0.045  -0.265 0.191  -0.265 0.337  -0.265 0.483  -0.145 0.554  -0.015 0.620  0.092 0.699  0.092 0.845  0.231 0.852  0.377 0.852  0.502 0.800  0.605 0.697  0.708 0.594  0.807 0.489  0.807 0.343  0.891 0.232  0.985 0.125  0.985 -0.021  1.041 -0.153  1.107 -0.284  1.164 -0.416  1.164 -0.562  1.164 -0.708  1.164 -0.854  1.164 -0.999  1.197 -1.113  1.342 -1.113
2#app#app35#app3558/e  -1.298 -0.587  -1.252 -0.455  -1.167 -0.362  -1.035 -0.316  -0.981 -0.192  -0.803 -0.192  -0.668 -0.088  -0.504 -0.055  -0.378 0.071  -0.200 0.071  -0.050 0.136  0.101 0.202  0.148 0.333  0.325 0.334  0.411 0.426  0.509 0.563  0.542 0.727  0.411 0.774  0.345 0.925  0.195 0.991  0.017 0.991  -0.161 0.991  -0.339 0.991  -0.383 0.854  -0.509 0.728  -0.641 0.682  -0.641 0.504  -0.772 0.458  -0.772 0.280  -0.772 0.102  -0.772 -0.076  -0.772 -0.254  -0.664 -0.324  -0.618 -0.455  -0.440 -0.455  -0.262 -0.455  -0.132 -0.570  0.039 -0.587  0.217 -0.587  0.395 -0.587  0.573 -0.587  0.751 -0.587  0.929 -0.587  1.107 -0.587  1.284 -0.587  1.462 -0.587  1.640 -0.587  1.791 -0.521  1.942 -0.455  1.857 -0.455
2#app#app35#app3558/c  0.664 0.826  0.540 0.848  0.540 0.906  0.540 0.760  0.540 0.615  0.540 0.469  0.540 0.324  0.540 0.178  0.540 0.138  0.540 0.283  0.540 0.429  0.457 0.539  0.417 0.668  0.417 0.814  0.293 0.836  0.262 0.949  0.116 0.949  -0.029 0.949  -0.174 0.949  -0.200 0.830  -0.342 0.826  -0.475 0.798  -0.578 0.695  -0.681 0.592  -0.698 0.456  -0.836 0.438  -0.938 0.335  -0.941 0.190  -0.941 0.045  -0.941 -0.100  -0.941 -0.246  -0.941 -0.391  -0.884 -0.523  -0.819 -0.653  -0.798 -0.779  -0.665 -0.808  -0.558 -0.902  -0.423 -0.926  -0.319 -1.026  -0.173 -1.026  -0.028 -1.026  0.118 -1.026  0.263 -1.026  0.408 -1.026  0.554 -1.026  0.699 -1.026  0.845 -1.026  0.990 -1.026  1.136 -1.026  1.281 -1.026
2#app#app35#app3558/l  -0.206 1.703  -0.206 1.630  -0.206 1.558  -0.206 1.486  -0.206 1.414  -0.206 1.341  -0.206 1.269  -0.206 1.197  -0.206 1.125  -0.206 1.052  -0.206 0.980  -0.206 0.908  -0.206 0.835  -0.206 0.763  -0.206 0.691  -0.172 0.633  -0.121 0.582  -0.091 0.522  -0.091 0.450  -0.091 0.377  -0.087 0.306  -0.069 0.236  -0.052 0.165  -0.034 0.095  -0.017 0.025  0.001 -0.045  0.018 -0.115  0.024 -0.187  0.024 -0.259  0.024 -0.331  0.024 -0.403  0.024 -0.476  0.024 -0.548  0.039 -0.614  0.091 -0.665  0.139 -0.717  0.139 -0.789  0.139 -0.861  0.139 -0.934  0.183 -0.987  0.234 -1.039  0.254 -1.103  0.254 -1.175  0.254 -1.247  0.254 -1.320  0.254 -1.392  0.297 -1.446  0.348 -1.497  0.369 -1.561  0.369 -1.633
2#app#app35#app3558/a  0.474 0.821  0.474 0.976  0.322 0.978  0.211 1.084  0.078 1.136  -0.076 1.136  -0.231 1.136  -0.364 1.084  -0.474 0.978  -0.628 0.977  -0.737 0.868  -0.784 0.732  -0.845 0.603  -0.954 0.494  -1.063 0.385  -1.098 0.245  -1.098 0.090  -1.098 -0.064  -1.098 -0.219  -1.098 -0.373  -1.034 -0.501  -0.918 -0.594  -0.784 -0.614  -0.766 -0.751  -0.612 -0.751  -0.457 -0.751  -0.303 -0.751  -0.148 -0.751  0.005 -0.748  0.114 -0.639  0.250 -0.594  0.404 -0.594  0.474 -0.509  0.532 -0.378  0.631 -0.265  0.631 -0.111  0.631 0.044  0.631 0.198  0.631 0.346  0.632 0.192  0.741 0.083  0.788 -0.052  0.788 -0.207  0.870 -0.279  0.946 -0.358  0.946 -0.513  0.997 -0.646  1.103 -0.757  1.106 -0.908  1.260 -0.908
2#app#app35#app3558/w  -1.234 0.847  -1.329 0.943  -1.275 0.889  -1.234 0.771  -1.234 0.636  -1.153 0.534  -1.117 0.414  -1.044 0.309  -1.001 0.191  -1.001 0.056  -0.951 -0.067  -0.890 -0.188  -0.881 -0.320  -0.785 -0.416  -0.689 -0.511  -0.570 -0.549  -0.464 -0.478  -0.419 -0.361  -0.419 -0.226  -0.342 -0.123  -0.303 -0.004  -0.303 0.131  -0.302 0.266  -0.242 0.387  -0.186 0.487  -0.165 0.361  -0.070 0.265  0.026 0.170  0.046 0.043  0.135 -0.056  0.248 -0.126  0.369 -0.187  0.470 -0.275  0.512 -0.393  0.579 -0.500  0.694 -0.549  0.745 -0.634  0.848 -0.665  0.983 -0.665  1.111 -0.648  1.207 -0.552  1.210 -0.419  1.210 -0.283  1.247 -0.163  1.327 -0.061  1.327 0.074  1.327 0.209  1.327 0.344  1.327 0.479  1.327 0.615
2#app#app35#app3558/e  -0.976 -0.461  -0.965 -0.294  -0.787 -0.294  -0.618 -0.269  -0.492 -0.143  -0.321 -0.127  -0.309 0.040  -0.131 0.040  0.047 0.040  0.225 0.040  0.390 0.072  0.516 0.198  0.691 0.207  0.868 0.211  1.028 0.291  1.187 0.371  1.192 0.546  1.174 0.707  1.025 0.736  0.985 0.874  0.858 0.926  0.795 1.040  0.617 1.040  0.438 1.040  0.260 1.040  0.191 0.931  0.070 0.874  -0.108 0.874  -0.286 0.874  -0.419 0.764  -0.545 0.638  -0.671 0.512  -0.797 0.386  -0.810 0.213  -0.810 0.034  -0.810 -0.144  -0.810 -0.322  -0.770 -0.461  -0.643 -0.512  -0.643 -0.690  -0.590 -0.847  -0.459 -0.961  -0.309 -0.989  -0.270 -1.128  -0.097 -1.151  0.063 -1.230  0.226 -1.295  0.391 -1.327  0.517 -1.453  0.692 -1.461
2#app#app35#app3558/d  0.137 -0.130  0.031 -0.032  -0.173 -0.032  -0.378 -0.032  -0.484 -0.130  -0.677 -0.158  -0.754 -0.326  -0.856 -0.435  -0.943 -0.604  -0.880 -0.782  -0.736 -0.927  -0.567 -1.014  -0.363 -1.014  -0.169 -1.057  0.023 -1.112  0.227 -1.112  0.432 -1.112  0.393 -0.912  0.354 -0.711  0.315 -0.510  0.277 -0.309  0.238 -0.109  0.199 0.092  0.160 0.293  0.121 0.494  0.082 0.694  0.043 0.895  0.005 1.096  -0.034 1.297  -0.073 1.497  -0.112 1.698  -0.151 1.899  -0.157 1.763  -0.059 1.600  -0.013 1.403  0.039 1.207  0.039 1.002  0.078 0.814  0.137 0.634  0.195 0.443  0.236 0.248  0.246 0.046  0.334 -0.138  0.341 -0.340  0.432 -0.523  0.432 -0.728  0.444 -0.927  0.530 -1.096  0.530 -1.301  0.530 -1.505
2#app#app35#app3558/h  -0.374 1.961  -0.390 1.828  -0.489 1.729  -0.492 1.591  -0.492 1.451  -0.492 1.311  -0.492 1.172  -0.492 1.032  -0.492 0.892  -0.492 0.753  -0.451 0.630  -0.374 0.522  -0.374 0.382  -0.374 0.243  -0.374 0.103  -0.374 -0.037  -0.374 -0.176  -0.374 -0.316  -0.374 -0.456  -0.374 -0.595  -0.374 -0.735  -0.374 -0.836  -0.416 -0.738  -0.492 -0.674  -0.492 -0.535  -0.492 -0.395  -0.374 -0.373  -0.339 -0.269  -0.216 -0.228  -0.140 -0.120  -0.086 -0.034  0.032 0.020  0.145 0.083  0.212 0.156  0.307 0.201  0.447 0.201  0.545 0.102  0.564 -0.029  0.660 -0.130  0.682 -0.260  0.692 -0.396  0.790 -0.495  0.799 -0.631  0.822 -0.761  0.916 -0.861  0.916 -1.001  0.916 -1.141  0.916 -1.280  0.916 -1.420  1.034 -1.442
2#app#app35#app3558/a  0.345 1.044  0.345 1.208  0.182 1.209  0.018 1.209  -0.145 1.209  -0.262 1.096  -0.405 1.044  -0.542 0.980  -0.643 0.858  -0.663 0.715  -0.808 0.695  -0.821 0.537  -0.937 0.421  -1.053 0.305  -1.138 0.177  -1.138 0.013  -1.138 -0.151  -1.138 -0.315  -1.097 -0.439  -0.973 -0.478  -0.946 -0.631  -0.830 -0.746  -0.675 -0.768  -0.511 -0.768  -0.347 -0.768  -0.184 -0.768  -0.020 -0.768  0.016 -0.640  0.143 -0.603  0.307 -0.603  0.345 -0.478  0.433 -0.351  0.510 -0.218  0.549 -0.071  0.664 0.045  0.675 0.205  0.675 0.369  0.675 0.532  0.675 0.403  0.675 0.239  0.675 0.076  0.675 -0.088  0.675 -0.252  0.775 -0.374  0.839 -0.512  0.911 -0.603  1.004 -0.674  1.074 -0.768  1.218 -0.817  1.334 -0.933
2#app#app35#app3558/n  -1.150 0.732  -1.150 0.592  -1.150 0.451  -1.069 0.344  -0.996 0.234  -0.996 0.093  -0.996 -0.047  -0.996 -0.188  -0.856 -0.188  -0.843 -0.316  -0.843 -0.456  -0.741 -0.495  -0.690 -0.584  -0.690 -0.724  -0.690 -0.739  -0.690 -0.599  -0.652 -0.495  -0.536 -0.471  -0.528 -0.334  -0.429 -0.234  -0.383 -0.113  -0.339 0.009  -0.239 0.109  -0.229 0.245  -0.193 0.380  -0.149 0.513  -0.105 0.646  -0.041 0.767  0.059 0.867  0.192 0.885  0.332 0.885  0.473 0.885  0.591 0.832  0.690 0.733  0.831 0.732  0.844 0.605  0.844 0.465  0.890 0.335  0.952 0.209  0.998 0.079  0.998 -0.061  0.998 -0.202  0.998 -0.342  0.998 -0.483  0.998 -0.623  1.079 -0.730  1.151 -0.841  1.151 -0.981  1.151 -1.122  1.151 -1.262
2#app#app35#app3558/d  0.107 -0.392  0.107 -0.188  0.005 -0.086  -0.156 0.016  -0.354 -0.010  -0.540 -0.086  -0.642 -0.188  -0.744 -0.290  -0.836 -0.416  -0.915 -0.587  -0.915 -0.791  -0.850 -0.968  -0.763 -1.107  -0.602 -1.210  -0.398 -1.210  -0.194 -1.210  0.010 -1.210  0.214 -1.210  0.304 -1.103  0.291 -0.899  0.278 -0.695  0.265 -0.492  0.252 -0.288  0.238 -0.085  0.225 0.119  0.212 0.322  0.199 0.526  0.186 0.730  0.173 0.933  0.160 1.137  0.147 1.340  0.133 1.544  0.120 1.748  0.107 1.951  0.107 1.760  0.107 1.556  0.107 1.352  0.107 1.148  0.149 0.954  0.209 0.764  0.209 0.560  0.209 0.356  0.285 0.170  0.311 -0.028  0.311 -0.232  0.413 -0.394  0.413 -0.598  0.413 -0.802  0.413 -1.006  0.413 -1.210
2#app#app35#app3558/,  -0.420 1.405  -0.333 1.405  -0.246 1.405  -0.160 1.405  -0.158 1.320  -0.158 1.233  -0.158 1.146  -0.074 1.143  0.012 1.143  0.099 1.143  0.162 1.085  0.223 1.024  0.284 0.962  0.346 0.901  0.365 0.822  0.365 0.736  0.365 0.649  0.365 0.562  0.365 0.475  0.365 0.389  0.365 0.302  0.365 0.215  0.365 0.128  0.365 0.042  0.365 -0.045  0.365 -0.132  0.365 -0.219  0.365 -0.305  0.365 -0.392  0.328 -0.464  0.267 -0.525  0.206 -0.586  0.144 -0.648  0.075 -0.689  -0.012 -0.689  -0.099 -0.689  -0.158 -0.716  -0.158 -0.803  -0.158 -0.889  -0.177 -0.969  -0.238 -1.030  -0.299 -1.091  -0.361 -1.153  -0.423 -1.212  -0.510 -1.212  -0.596 -1.212  -0.682 -1.213  -0.682 -1.300  -0.682 -1.387  -0.682 -1.474
2#app#app35#app3558/a  0.689 0.526  0.689 0.675  0.588 0.782  0.483 0.887  0.377 0.990  0.228 0.990  0.225 1.136  0.085 1.145  -0.064 1.145  -0.213 1.145  -0.326 1.058  -0.446 0.990  -0.549 0.943  -0.585 0.817  -0.718 0.750  -0.851 0.684  -0.958 0.581  -1.013 0.454  -1.013 0.306  -1.013 0.157  -1.013 0.008  -1.013 -0.141  -1.013 -0.290  -0.987 -0.428  -0.882 -0.533  -0.743 -0.558  -0.703 -0.666  -0.600 -0.712  -0.452 -0.712  -0.303 -0.712  -0.154 -0.712  -0.005 -0.712  0.122 -0.660  0.229 -0.558  0.378 -0.558  0.380 -0.411  0.380 -0.262  0.515 -0.248  0.663 -0.248  0.689 -0.125  0.689 -0.210  0.689 -0.359  0.689 -0.508  0.689 -0.657  0.783 -0.712  0.844 -0.800  0.926 -0.867  1.075 -0.867  1.203 -0.916  1.308 -1.022
2#app#app35#app3558/n  -0.920 0.931  -0.920 0.782  -0.896 0.656  -0.782 0.621  -0.782 0.472  -0.782 0.323  -0.782 0.174  -0.782 0.025  -0.782 -0.125  -0.782 -0.274  -0.699 -0.388  -0.645 -0.515  -0.645 -0.664  -0.645 -0.813  -0.645 -0.963  -0.645 -1.112  -0.645 -0.998  -0.645 -0.849  -0.633 -0.705  -0.527 -0.599  -0.508 -0.458  -0.508 -0.309  -0.405 -0.202  -0.370 -0.068  -0.370 0.081  -0.315 0.218  -0.248 0.351  -0.152 0.463  -0.096 0.589  -0.038 0.714  0.074 0.810  0.208 0.877  0.344 0.931  0.493 0.931  0.627 0.895  0.733 0.790  0.838 0.684  0.944 0.579  1.003 0.454  1.003 0.305  1.066 0.182  1.141 0.064  1.141 -0.085  1.141 -0.234  1.141 -0.384  1.141 -0.533  1.141 -0.682  1.141 -0.831  1.141 -0.980  1.141 -1.129
2#app#app35#app3558/d  0.327 -0.314  0.306 -0.114  0.147 -0.024  0.022 0.080  -0.164 0.135  -0.372 0.135  -0.544 0.045  -0.725 -0.020  -0.873 -0.167  -0.957 -0.341  -1.019 -0.524  -1.019 -0.732  -0.957 -0.915  -0.858 -1.068  -0.662 -1.122  -0.491 -1.212  -0.285 -1.220  -0.095 -1.301  0.113 -1.301  0.237 -1.216  0.237 -1.008  0.237 -0.799  0.237 -0.591  0.237 -0.382  0.237 -0.174  0.237 0.035  0.237 0.243  0.237 0.452  0.237 0.660  0.237 0.869  0.237 1.077  0.237 1.286  0.237 1.494  0.237 1.703  0.237 1.911  0.237 1.739  0.237 1.531  0.237 1.322  0.237 1.114  0.237 0.905  0.237 0.697  0.237 0.488  0.237 0.280  0.237 0.071  0.278 -0.128  0.327 -0.325  0.327 -0.533  0.416 -0.705  0.416 -0.913  0.416 -1.122
