3#apa#apa19#app1971/A  0.178 1.128  0.049 1.085  -0.087 0.857  -0.206 0.617  -0.326 0.378  -0.446 0.138  -0.566 -0.101  -0.609 -0.359  -0.728 -0.598  -0.824 -0.848  -0.852 -1.111  -0.937 -1.343  -0.832 -1.148  -0.750 -0.899  -0.630 -0.660  -0.479 -0.443  -0.359 -0.203  -0.337 0.059  -0.217 0.286  -0.133 0.540  -0.080 0.799  0.006 1.031  0.092 1.279  0.178 1.511  0.228 1.728  0.435 1.667  0.521 1.435  0.532 1.168  0.597 0.909  0.606 0.642  0.606 0.374  0.692 0.127  0.692 -0.141  0.727 -0.400  0.778 -0.656  0.813 -0.916  0.864 -1.172  0.800 -1.311  0.587 -1.148  0.375 -0.985  0.162 -0.823  -0.051 -0.660  -0.264 -0.497  -0.476 -0.335  -0.680 -0.211  -0.465 -0.159  -0.197 -0.159  0.071 -0.159  0.339 -0.159  0.606 -0.159
3#apa#apa19#app1971/Q  0.089 1.251  -0.120 1.251  -0.246 1.168  -0.429 1.069  -0.576 0.921  -0.724 0.773  -0.789 0.584  -0.912 0.418  -0.941 0.222  -0.999 0.037  -0.999 -0.172  -0.942 -0.368  -0.832 -0.536  -0.722 -0.699  -0.550 -0.814  -0.382 -0.924  -0.173 -0.924  0.036 -0.924  0.245 -0.924  0.434 -0.840  0.628 -0.803  0.758 -0.648  0.841 -0.474  0.841 -0.265  0.827 -0.059  0.734 0.128  0.641 0.315  0.547 0.502  0.401 0.635  0.277 0.792  0.133 0.937  -0.042 1.047  -0.190 1.195  -0.375 1.251  -0.357 1.090  -0.288 0.893  -0.219 0.696  -0.150 0.499  -0.081 0.301  -0.012 0.104  0.057 -0.093  0.126 -0.290  0.172 -0.491  0.251 -0.668  0.339 -0.840  0.487 -0.988  0.590 -1.154  0.744 -1.258  0.841 -1.419  1.009 -1.509
3#apa#apa19#app1971/U  -0.611 1.104  -0.736 1.104  -0.828 1.071  -0.828 0.947  -0.762 0.888  -0.719 0.806  -0.719 0.682  -0.719 0.557  -0.719 0.433  -0.719 0.308  -0.719 0.184  -0.668 0.080  -0.611 -0.021  -0.611 -0.145  -0.611 -0.270  -0.546 -0.367  -0.503 -0.474  -0.503 -0.598  -0.503 -0.723  -0.452 -0.835  -0.397 -0.947  -0.310 -1.036  -0.222 -1.124  -0.115 -1.166  0.010 -1.166  0.134 -1.166  0.257 -1.162  0.345 -1.074  0.463 -1.058  0.474 -0.941  0.530 -0.830  0.585 -0.719  0.641 -0.607  0.686 -0.493  0.686 -0.369  0.686 -0.244  0.686 -0.120  0.686 0.005  0.686 0.129  0.686 0.254  0.686 0.378  0.686 0.503  0.686 0.627  0.650 0.743  0.595 0.855  0.578 0.975  0.578 1.100  0.493 1.189  0.470 1.304  0.470 1.429
3#apa#apa19#app1971/I  0.062 1.473  0.062 1.544  0.062 1.592  0.062 1.521  0.062 1.450  0.062 1.378  0.062 1.307  0.062 1.236  0.062 1.164  0.062 1.093  0.062 1.022  0.062 0.950  0.062 0.879  0.062 0.807  0.062 0.736  0.062 0.665  0.062 0.593  0.062 0.522  0.062 0.451  0.062 0.379  0.062 0.308  0.037 0.242  0.005 0.179  -0.027 0.115  -0.059 0.051  -0.069 -0.018  -0.069 -0.089  -0.069 -0.161  -0.069 -0.232  -0.069 -0.303  -0.069 -0.375  -0.069 -0.446  -0.069 -0.517  -0.069 -0.589  -0.069 -0.660  -0.069 -0.732  -0.069 -0.803  -0.069 -0.874  -0.069 -0.946  -0.069 -1.017  -0.069 -1.088  -0.069 -1.160  -0.069 -1.231  -0.069 -1.302  -0.069 -1.374  -0.047 -1.436  0.003 -1.486  0.054 -1.537  0.062 -1.605  0.062 -1.676
3#apa#apa19#app1971/C  1.221 0.751  1.129 0.751  1.055 0.792  0.991 0.856  0.908 0.875  0.816 0.875  0.725 0.875  0.634 0.875  0.543 0.875  0.452 0.875  0.361 0.875  0.270 0.875  0.179 0.875  0.088 0.875  -0.004 0.875  -0.095 0.875  -0.145 0.834  -0.153 0.751  -0.244 0.751  -0.269 0.685  -0.292 0.604  -0.357 0.539  -0.393 0.463  -0.398 0.374  -0.462 0.310  -0.517 0.241  -0.517 0.150  -0.517 0.059  -0.517 -0.032  -0.517 -0.123  -0.517 -0.214  -0.517 -0.305  -0.517 -0.397  -0.517 -0.488  -0.517 -0.579  -0.493 -0.664  -0.452 -0.745  -0.411 -0.827  -0.357 -0.899  -0.293 -0.963  -0.228 -1.028  -0.164 -1.092  -0.099 -1.157  -0.035 -1.221  0.030 -1.285  0.094 -1.350  0.158 -1.414  0.223 -1.479  0.287 -1.543  0.352 -1.608
3#apa#apa19#app1971/K  -0.643 1.795  -0.754 1.682  -0.754 1.458  -0.754 1.234  -0.754 1.010  -0.754 0.786  -0.754 0.562  -0.748 0.340  -0.648 0.139  -0.643 -0.083  -0.643 -0.307  -0.643 -0.531  -0.545 -0.732  -0.532 -0.953  -0.532 -1.177  -0.409 -1.046  -0.270 -0.870  -0.131 -0.694  0.008 -0.518  0.146 -0.343  0.285 -0.167  0.424 0.009  0.563 0.185  0.701 0.360  0.840 0.536  0.979 0.712  1.118 0.888  1.070 0.733  0.879 0.654  0.688 0.574  0.477 0.523  0.293 0.400  0.089 0.352  -0.089 0.241  -0.280 0.160  -0.491 0.130  -0.643 0.058  -0.754 -0.055  -0.700 -0.257  -0.510 -0.336  -0.322 -0.425  -0.121 -0.520  0.095 -0.560  0.308 -0.631  0.511 -0.724  0.716 -0.785  0.905 -0.869  1.129 -0.869  1.242 -0.980  1.355 -1.091
3#apa#apa19#app1971/B  -0.634 -0.386  -0.634 -0.596  -0.634 -0.807  -0.553 -0.983  -0.454 -1.108  -0.347 -1.211  -0.325 -1.024  -0.325 -0.813  -0.428 -0.645  -0.466 -0.451  -0.531 -0.267  -0.570 -0.063  -0.634 0.137  -0.634 0.347  -0.634 0.558  -0.634 0.768  -0.634 0.979  -0.608 1.163  -0.500 1.266  -0.305 1.327  -0.104 1.369  0.106 1.369  0.310 1.353  0.485 1.266  0.652 1.163  0.708 1.008  0.652 0.853  0.489 0.738  0.316 0.647  0.126 0.562  -0.037 0.440  -0.221 0.414  -0.191 0.234  0.016 0.218  0.206 0.130  0.403 0.076  0.602 0.027  0.770 -0.076  0.858 -0.226  1.017 -0.310  1.017 -0.521  0.919 -0.690  0.843 -0.869  0.646 -0.902  0.479 -1.005  0.276 -1.024  0.100 -1.108  -0.110 -1.108  -0.321 -1.108  -0.531 -1.108
3#apa#apa19#app1971/R  -0.585 0.583  -0.506 0.400  -0.481 0.194  -0.481 -0.022  -0.481 -0.238  -0.481 -0.454  -0.481 -0.670  -0.481 -0.886  -0.481 -1.102  -0.481 -1.318  -0.606 -1.378  -0.689 -1.197  -0.689 -0.981  -0.689 -0.765  -0.635 -0.561  -0.585 -0.357  -0.585 -0.141  -0.585 0.075  -0.529 0.278  -0.432 0.471  -0.376 0.674  -0.332 0.880  -0.215 1.058  -0.127 1.229  0.041 1.341  0.180 1.418  0.396 1.418  0.598 1.383  0.751 1.230  0.934 1.151  0.981 0.955  0.981 0.739  0.920 0.583  0.828 0.431  0.675 0.278  0.462 0.270  0.309 0.120  0.124 0.019  -0.082 -0.043  -0.291 -0.062  -0.376 -0.242  -0.230 -0.398  -0.053 -0.517  0.151 -0.567  0.344 -0.664  0.516 -0.773  0.689 -0.878  0.896 -0.898  1.078 -0.982  1.189 -1.086
3#apa#apa19#app1971/O  0.370 0.290  0.303 0.425  0.273 0.568  0.176 0.679  0.152 0.824  0.085 0.958  -0.018 1.067  -0.128 1.165  -0.278 1.165  -0.423 1.151  -0.539 1.068  -0.664 1.006  -0.731 0.876  -0.779 0.733  -0.863 0.613  -0.894 0.475  -0.894 0.324  -0.894 0.174  -0.894 0.023  -0.894 -0.127  -0.894 -0.278  -0.877 -0.424  -0.810 -0.559  -0.711 -0.671  -0.580 -0.742  -0.458 -0.827  -0.351 -0.934  -0.245 -1.040  -0.107 -1.071  0.025 -1.115  0.154 -1.169  0.304 -1.169  0.455 -1.169  0.605 -1.169  0.728 -1.102  0.766 -0.967  0.856 -0.854  0.856 -0.703  0.856 -0.553  0.856 -0.402  0.856 -0.252  0.856 -0.101  0.790 0.034  0.723 0.168  0.655 0.303  0.588 0.438  0.564 0.582  0.429 0.650  0.370 0.763  0.273 0.874
3#apa#apa19#app1971/W  -0.959 0.712  -1.094 0.847  -1.129 0.911  -1.129 0.720  -1.060 0.558  -1.044 0.374  -1.044 0.183  -1.014 -0.004  -0.967 -0.189  -0.959 -0.379  -0.894 -0.543  -0.874 -0.726  -0.789 -0.881  -0.704 -1.037  -0.550 -1.073  -0.449 -0.933  -0.346 -0.782  -0.279 -0.607  -0.213 -0.432  -0.194 -0.245  -0.194 -0.055  -0.134 0.126  -0.059 0.301  0.003 0.481  0.050 0.666  0.061 0.855  0.061 0.888  0.061 0.697  0.061 0.507  0.061 0.316  0.096 0.133  0.146 -0.046  0.228 -0.217  0.241 -0.403  0.316 -0.563  0.451 -0.698  0.549 -0.859  0.713 -0.903  0.826 -0.776  0.911 -0.620  0.997 -0.465  1.050 -0.287  1.082 -0.103  1.116 0.083  1.162 0.269  1.167 0.459  1.167 0.650  1.167 0.841  1.167 1.031  1.167 1.222
3#apa#apa19#app1971/N  -0.537 0.536  -0.537 0.684  -0.603 0.492  -0.674 0.310  -0.742 0.125  -0.804 -0.068  -0.888 -0.256  -0.893 -0.462  -0.893 -0.670  -0.893 -0.878  -0.881 -0.877  -0.800 -0.702  -0.715 -0.514  -0.681 -0.321  -0.626 -0.136  -0.555 0.055  -0.537 0.259  -0.523 0.461  -0.448 0.637  -0.448 0.845  -0.448 1.053  -0.359 1.224  -0.355 1.067  -0.231 0.903  -0.179 0.708  -0.129 0.506  -0.092 0.303  -0.092 0.095  -0.011 -0.079  -0.003 -0.283  0.091 -0.453  0.184 -0.639  0.265 -0.827  0.305 -1.019  0.443 -1.169  0.574 -1.246  0.782 -1.246  0.844 -1.066  0.897 -0.871  0.977 -0.682  1.004 -0.481  1.066 -0.288  1.066 -0.080  1.066 0.128  1.066 0.336  1.066 0.543  1.040 0.740  0.977 0.922  0.977 1.130  0.888 1.248
