1c#apa#apa19#app1999/y  -1.464 0.838  -1.464 0.668  -1.464 0.818  -1.313 0.838  -1.284 0.697  -1.153 0.658  -1.019 0.572  -0.888 0.478  -0.726 0.459  -0.606 0.339  -0.566 0.186  -0.566 0.016  -0.473 -0.060  -0.386 -0.144  -0.312 -0.240  -0.207 -0.304  -0.152 -0.419  -0.027 -0.464  0.008 -0.599  0.160 -0.575  0.208 -0.412  0.257 -0.249  0.306 -0.087  0.355 0.076  0.404 0.238  0.452 0.401  0.501 0.564  0.550 0.726  0.599 0.889  0.647 1.052  0.691 1.178  0.691 1.008  0.691 0.839  0.691 0.669  0.691 0.499  0.691 0.329  0.691 0.159  0.691 -0.010  0.691 -0.180  0.691 -0.350  0.620 -0.490  0.511 -0.615  0.511 -0.785  0.511 -0.955  0.394 -1.076  0.273 -1.196  0.153 -1.316  0.033 -1.436  -0.087 -1.556  -0.207 -1.676
1c#apa#apa19#app1999/o  -0.791 0.723  -0.791 0.587  -0.791 0.451  -0.791 0.315  -0.791 0.179  -0.796 0.049  -0.933 0.049  -1.015 -0.005  -1.015 -0.141  -1.015 -0.277  -1.015 -0.413  -1.015 -0.549  -0.956 -0.626  -0.820 -0.626  -0.684 -0.626  -0.566 -0.644  -0.566 -0.780  -0.501 -0.851  -0.365 -0.851  -0.229 -0.851  -0.092 -0.851  0.044 -0.851  0.180 -0.851  0.316 -0.851  0.452 -0.851  0.579 -0.830  0.676 -0.734  0.772 -0.637  0.868 -0.541  0.964 -0.445  1.008 -0.327  1.008 -0.191  1.008 -0.055  1.008 0.081  1.008 0.217  1.008 0.353  1.008 0.490  0.881 0.498  0.756 0.526  0.660 0.622  0.564 0.718  0.468 0.814  0.371 0.911  0.251 0.948  0.115 0.948  0.109 1.078  0.067 1.173  -0.069 1.173  -0.205 1.173  -0.341 1.173
1c#apa#apa19#app1999/u  -0.610 1.499  -0.610 1.377  -0.610 1.255  -0.610 1.133  -0.610 1.011  -0.610 0.889  -0.659 0.815  -0.781 0.815  -0.838 0.750  -0.838 0.628  -0.838 0.506  -0.838 0.384  -0.838 0.262  -0.838 0.140  -0.758 0.051  -0.671 -0.036  -0.610 -0.132  -0.610 -0.255  -0.574 -0.362  -0.487 -0.448  -0.401 -0.534  -0.382 -0.649  -0.382 -0.771  -0.270 -0.781  -0.150 -0.785  -0.064 -0.872  0.023 -0.958  0.124 -1.009  0.246 -1.009  0.368 -1.009  0.490 -1.009  0.612 -1.009  0.734 -1.009  0.758 -0.911  0.758 -0.789  0.758 -0.667  0.758 -0.545  0.758 -0.422  0.758 -0.300  0.758 -0.178  0.758 -0.056  0.758 0.066  0.758 0.188  0.758 0.310  0.758 0.432  0.758 0.555  0.758 0.677  0.758 0.799  0.758 0.921  0.758 1.043
1c#apa#apa19#app1999/k  -0.614 1.908  -0.402 1.908  -0.363 1.735  -0.363 1.522  -0.363 1.310  -0.363 1.097  -0.363 0.885  -0.363 0.672  -0.497 0.515  -0.614 0.351  -0.614 0.139  -0.614 -0.074  -0.614 -0.286  -0.614 -0.499  -0.614 -0.712  -0.614 -0.924  -0.614 -1.137  -0.614 -1.349  -0.519 -1.193  -0.416 -1.007  -0.312 -0.821  -0.209 -0.636  -0.106 -0.450  -0.003 -0.264  0.101 -0.078  0.204 0.108  0.307 0.294  0.410 0.479  0.514 0.665  0.617 0.851  0.645 0.746  0.563 0.567  0.412 0.417  0.208 0.398  0.038 0.294  -0.112 0.144  -0.263 -0.006  -0.363 -0.177  -0.330 -0.358  -0.118 -0.358  0.095 -0.358  0.307 -0.358  0.393 -0.485  0.481 -0.610  0.693 -0.610  0.903 -0.616  1.053 -0.767  1.227 -0.861  1.400 -0.901  1.400 -1.113
1c#apa#apa19#app1999/n  -0.590 0.445  -0.590 0.272  -0.590 0.100  -0.590 -0.073  -0.590 -0.246  -0.590 -0.418  -0.590 -0.591  -0.654 -0.738  -0.776 -0.860  -0.870 -0.993  -0.870 -1.166  -0.870 -1.129  -0.870 -0.956  -0.700 -0.954  -0.590 -0.891  -0.590 -0.718  -0.590 -0.545  -0.590 -0.372  -0.590 -0.200  -0.529 -0.053  -0.406 0.069  -0.311 0.202  -0.311 0.375  -0.311 0.548  -0.311 0.720  -0.142 0.725  -0.031 0.786  -0.031 0.959  0.096 1.005  0.249 1.024  0.249 1.197  0.334 1.284  0.507 1.284  0.529 1.134  0.529 0.961  0.529 0.788  0.638 0.725  0.809 0.723  0.809 0.550  0.809 0.377  0.809 0.205  0.809 0.032  0.809 -0.141  0.809 -0.314  0.809 -0.486  0.809 -0.659  0.920 -0.785  1.042 -0.908  1.088 -1.061  1.088 -1.234
1c#apa#apa19#app1999/o  0.516 1.165  0.358 1.165  0.249 1.115  0.249 0.956  0.149 0.897  -0.009 0.897  -0.168 0.897  -0.286 0.856  -0.286 0.698  -0.376 0.630  -0.535 0.630  -0.553 0.489  -0.575 0.340  -0.688 0.228  -0.800 0.116  -0.820 -0.034  -0.820 -0.193  -0.820 -0.351  -0.820 -0.510  -0.820 -0.669  -0.820 -0.827  -0.808 -0.974  -0.650 -0.974  -0.553 -1.036  -0.553 -1.194  -0.441 -1.241  -0.283 -1.241  -0.124 -1.241  0.019 -1.204  0.131 -1.092  0.243 -0.979  0.400 -0.974  0.546 -0.944  0.658 -0.832  0.770 -0.720  0.784 -0.567  0.784 -0.408  0.784 -0.250  0.784 -0.091  0.784 0.067  0.784 0.226  0.768 0.378  0.656 0.490  0.544 0.603  0.516 0.750  0.505 0.897  0.347 0.897  0.206 0.940  0.094 1.052  -0.018 1.165
1c#apa#apa19#app1999/w  -1.095 1.163  -1.095 1.012  -1.095 0.860  -1.095 0.708  -1.095 0.557  -1.095 0.405  -1.095 0.254  -1.095 0.102  -1.095 -0.050  -1.095 -0.201  -1.095 -0.353  -1.095 -0.505  -1.029 -0.590  -0.877 -0.590  -0.726 -0.590  -0.580 -0.576  -0.473 -0.469  -0.365 -0.362  -0.258 -0.255  -0.151 -0.148  -0.093 -0.020  -0.093 0.132  -0.093 0.283  -0.093 0.435  -0.093 0.586  -0.093 0.586  -0.093 0.435  -0.093 0.283  -0.063 0.161  0.089 0.161  0.158 0.079  0.158 -0.073  0.253 -0.185  0.361 -0.292  0.408 -0.424  0.408 -0.576  0.545 -0.590  0.697 -0.590  0.848 -0.590  0.973 -0.526  1.081 -0.419  1.199 -0.340  1.351 -0.340  1.410 -0.247  1.410 -0.096  1.410 0.056  1.410 0.207  1.410 0.359  1.410 0.511  1.410 0.662
1c#apa#apa19#app1999/w  -1.046 0.992  -0.886 0.992  -1.013 0.992  -1.046 0.864  -1.046 0.704  -1.046 0.544  -1.046 0.384  -1.046 0.224  -1.046 0.064  -1.046 -0.097  -1.046 -0.257  -1.046 -0.417  -1.046 -0.577  -0.946 -0.695  -0.817 -0.772  -0.657 -0.772  -0.517 -0.752  -0.514 -0.593  -0.401 -0.480  -0.288 -0.367  -0.175 -0.253  -0.164 -0.098  -0.164 0.062  -0.164 0.222  -0.164 0.190  -0.164 0.030  -0.119 -0.112  -0.006 -0.225  0.108 -0.338  0.234 -0.419  0.365 -0.448  0.378 -0.595  0.538 -0.595  0.698 -0.595  0.858 -0.595  0.894 -0.471  1.002 -0.419  1.071 -0.327  1.146 -0.243  1.247 -0.184  1.247 -0.023  1.228 0.129  1.115 0.242  1.071 0.384  1.071 0.544  1.006 0.639  0.894 0.688  0.894 0.848  0.878 0.992  0.718 0.992
1c#apa#apa19#app1999/h  -0.856 1.949  -0.757 1.850  -0.658 1.751  -0.654 1.613  -0.654 1.473  -0.648 1.335  -0.549 1.236  -0.452 1.137  -0.452 0.997  -0.452 0.857  -0.452 0.717  -0.452 0.577  -0.384 0.465  -0.285 0.366  -0.249 0.241  -0.249 0.101  -0.249 -0.039  -0.249 -0.179  -0.249 -0.319  -0.249 -0.459  -0.164 -0.564  -0.065 -0.663  -0.047 -0.795  -0.047 -0.935  -0.047 -1.075  -0.047 -1.215  -0.047 -1.221  -0.047 -1.081  -0.047 -0.941  -0.047 -0.801  -0.047 -0.661  -0.047 -0.521  -0.047 -0.381  -0.047 -0.241  -0.047 -0.102  0.033 0.005  0.132 0.104  0.262 0.128  0.402 0.128  0.542 0.128  0.646 0.042  0.745 -0.057  0.762 -0.190  0.800 -0.314  0.899 -0.413  0.964 -0.526  0.964 -0.666  0.964 -0.806  0.964 -0.946  0.964 -1.086
1c#apa#apa19#app1999/a  -0.814 1.366  -0.624 1.366  -0.434 1.366  -0.244 1.366  -0.054 1.366  0.136 1.366  0.230 1.271  0.255 1.105  0.444 1.105  0.491 0.962  0.491 0.772  0.491 0.582  0.491 0.392  0.491 0.202  0.442 0.061  0.252 0.061  0.230 0.229  0.133 0.322  -0.057 0.322  -0.247 0.322  -0.394 0.220  -0.528 0.086  -0.708 0.061  -0.874 0.002  -1.008 -0.133  -1.075 -0.295  -1.075 -0.485  -1.075 -0.675  -1.075 -0.865  -1.003 -0.983  -0.813 -0.983  -0.623 -0.983  -0.434 -0.983  -0.244 -0.983  -0.054 -0.983  0.136 -0.983  0.230 -0.887  0.248 -0.704  0.382 -0.570  0.491 -0.425  0.491 -0.235  0.491 -0.045  0.550 0.002  0.684 -0.132  0.752 -0.294  0.752 -0.484  0.752 -0.674  0.894 -0.722  1.013 -0.793  1.013 -0.983
1c#apa#apa19#app1999/t  -0.301 2.043  -0.136 2.043  -0.133 1.881  -0.133 1.716  -0.133 1.551  -0.133 1.386  -0.086 1.229  -0.034 1.072  0.019 0.916  0.036 0.753  0.036 0.588  0.036 0.423  0.036 0.258  0.036 0.093  0.036 -0.072  0.100 -0.210  0.204 -0.332  0.204 -0.498  0.204 -0.663  0.210 -0.825  0.326 -0.942  0.372 -1.088  0.372 -1.253  0.372 -1.418  0.312 -1.426  0.203 -1.302  0.093 -1.179  -0.017 -1.056  -0.126 -0.932  -0.236 -0.809  -0.346 -0.685  -0.455 -0.562  -0.565 -0.439  -0.675 -0.315  -0.784 -0.192  -0.894 -0.069  -0.932 0.022  -0.766 0.022  -0.601 0.022  -0.436 0.022  -0.271 0.022  -0.106 0.022  0.059 0.022  0.224 0.022  0.389 0.022  0.554 0.022  0.719 0.022  0.884 0.022  1.049 0.022  1.214 0.022
