1c#apa#apa00#app0011/t  0.036 1.261  0.115 1.340  0.191 1.466  0.306 1.531  0.362 1.665  0.354 1.727  0.346 1.576  0.313 1.427  0.242 1.286  0.191 1.140  0.171 0.987  0.100 0.846  0.036 0.704  0.036 0.546  -0.007 0.399  -0.042 0.249  -0.042 0.092  -0.044 -0.066  -0.094 -0.215  -0.120 -0.369  -0.120 -0.526  -0.120 -0.684  -0.120 -0.842  -0.082 -0.990  -0.042 -1.139  -0.042 -1.296  0.031 -1.380  0.189 -1.380  0.269 -1.303  0.426 -1.301  0.552 -1.225  0.618 -1.190  0.500 -1.085  0.383 -0.980  0.265 -0.875  0.148 -0.769  0.030 -0.664  -0.087 -0.559  -0.205 -0.454  -0.322 -0.349  -0.440 -0.244  -0.557 -0.139  -0.675 -0.034  -0.792 0.071  -0.697 0.095  -0.572 0.173  -0.442 0.240  -0.324 0.343  -0.183 0.413  -0.042 0.484
1c#apa#apa00#app0011/h  -0.302 1.368  -0.302 1.526  -0.302 1.684  -0.302 1.755  -0.302 1.597  -0.374 1.469  -0.374 1.311  -0.438 1.168  -0.445 1.012  -0.445 0.854  -0.489 0.707  -0.517 0.555  -0.517 0.397  -0.517 0.240  -0.517 0.082  -0.517 -0.076  -0.517 -0.234  -0.517 -0.392  -0.517 -0.550  -0.517 -0.708  -0.517 -0.866  -0.448 -0.995  -0.435 -1.141  -0.305 -1.073  -0.244 -0.940  -0.159 -0.818  -0.159 -0.660  -0.159 -0.502  -0.071 -0.376  -0.021 -0.227  0.033 -0.090  0.094 0.043  0.128 0.187  0.215 0.308  0.348 0.369  0.478 0.436  0.630 0.430  0.695 0.299  0.702 0.144  0.702 -0.014  0.702 -0.172  0.702 -0.330  0.641 -0.473  0.630 -0.629  0.630 -0.786  0.630 -0.944  0.702 -1.073  0.742 -1.221  0.856 -1.295  0.988 -1.356
1c#apa#apa00#app0011/e  -0.460 -0.276  -0.415 -0.378  -0.295 -0.315  -0.191 -0.211  -0.088 -0.108  0.016 -0.004  0.119 0.099  0.242 0.177  0.369 0.247  0.473 0.351  0.581 0.448  0.712 0.514  0.826 0.602  0.930 0.706  0.967 0.836  0.931 0.947  0.865 1.027  0.747 1.065  0.636 1.151  0.490 1.151  0.377 1.070  0.239 1.049  0.093 1.049  -0.052 1.047  -0.098 0.947  -0.218 0.883  -0.321 0.779  -0.425 0.676  -0.460 0.544  -0.560 0.439  -0.626 0.308  -0.663 0.171  -0.663 0.024  -0.663 -0.122  -0.663 -0.268  -0.663 -0.415  -0.663 -0.561  -0.663 -0.708  -0.633 -0.847  -0.567 -0.978  -0.467 -1.084  -0.425 -1.193  -0.279 -1.193  -0.169 -1.280  -0.065 -1.384  0.076 -1.397  0.222 -1.397  0.369 -1.397  0.515 -1.397  0.661 -1.397
1c#apa#apa00#app0011/m  -0.709 1.654  -0.807 1.537  -0.807 1.322  -0.807 1.107  -0.807 0.892  -0.807 0.677  -0.900 0.484  -0.906 0.271  -0.906 0.056  -0.906 -0.159  -0.906 -0.374  -0.906 -0.589  -0.906 -0.804  -0.807 -0.895  -0.750 -0.693  -0.709 -0.488  -0.610 -0.314  -0.526 -0.134  -0.512 0.075  -0.431 0.257  -0.328 0.444  -0.184 0.602  -0.032 0.754  0.079 0.669  0.079 0.454  0.079 0.239  0.042 0.040  -0.019 -0.150  -0.019 -0.365  -0.019 -0.580  -0.019 -0.795  0.079 -0.911  0.178 -0.985  0.275 -0.810  0.358 -0.629  0.473 -0.462  0.522 -0.268  0.605 -0.087  0.757 0.065  0.839 0.246  0.966 0.351  1.065 0.467  1.262 0.458  1.262 0.243  1.262 0.028  1.214 -0.167  1.163 -0.361  1.163 -0.576  1.163 -0.791  1.163 -1.006
1c#apa#apa00#app0011/o  0.293 0.535  0.293 0.678  0.293 0.822  0.293 0.965  0.192 1.007  0.048 1.007  -0.085 0.983  -0.186 0.882  -0.288 0.780  -0.424 0.763  -0.525 0.661  -0.592 0.535  -0.661 0.412  -0.789 0.348  -0.903 0.269  -0.967 0.140  -1.005 0.006  -1.005 -0.137  -1.005 -0.280  -1.005 -0.424  -1.005 -0.567  -0.960 -0.691  -0.887 -0.805  -0.821 -0.881  -0.678 -0.881  -0.569 -0.964  -0.440 -0.999  -0.297 -0.999  -0.153 -0.999  -0.010 -0.999  0.133 -0.999  0.277 -0.999  0.417 -0.993  0.519 -0.892  0.620 -0.790  0.721 -0.689  0.765 -0.564  0.841 -0.452  0.883 -0.326  0.883 -0.183  0.883 -0.039  0.883 0.104  0.883 0.247  0.883 0.391  0.883 0.534  0.819 0.662  0.749 0.786  0.648 0.888  0.630 1.024  0.529 1.125
1c#apa#apa00#app0011/c  0.558 1.040  0.558 1.132  0.558 1.223  0.538 1.294  0.446 1.294  0.355 1.294  0.264 1.294  0.174 1.290  0.109 1.225  0.051 1.158  0.051 1.067  0.005 0.994  -0.059 0.930  -0.124 0.865  -0.189 0.800  -0.253 0.736  -0.318 0.671  -0.329 0.584  -0.358 0.505  -0.422 0.440  -0.456 0.363  -0.456 0.271  -0.456 0.180  -0.456 0.089  -0.456 -0.003  -0.456 -0.094  -0.456 -0.185  -0.456 -0.277  -0.456 -0.368  -0.456 -0.460  -0.456 -0.551  -0.432 -0.632  -0.367 -0.697  -0.329 -0.773  -0.328 -0.863  -0.263 -0.928  -0.197 -0.988  -0.105 -0.988  -0.014 -0.988  0.077 -0.988  0.169 -0.988  0.236 -1.047  0.301 -1.111  0.390 -1.115  0.482 -1.115  0.573 -1.115  0.665 -1.115  0.756 -1.115  0.847 -1.115  0.939 -1.115
1c#apa#apa00#app0011/k  -0.352 1.851  -0.430 1.682  -0.443 1.485  -0.523 1.316  -0.534 1.119  -0.534 0.917  -0.534 0.715  -0.534 0.513  -0.534 0.311  -0.580 0.120  -0.625 -0.071  -0.625 -0.273  -0.625 -0.475  -0.625 -0.677  -0.625 -0.879  -0.703 -1.048  -0.716 -1.060  -0.707 -0.860  -0.625 -0.678  -0.597 -0.487  -0.524 -0.314  -0.429 -0.137  -0.352 0.033  -0.272 0.202  -0.170 0.362  -0.079 0.526  0.056 0.644  0.215 0.759  0.417 0.759  0.618 0.759  0.740 0.679  0.911 0.583  1.013 0.479  0.986 0.304  0.889 0.180  0.711 0.122  0.550 0.023  0.383 -0.060  0.181 -0.060  0.015 -0.148  0.012 -0.349  0.103 -0.460  0.142 -0.645  0.285 -0.788  0.428 -0.931  0.576 -1.061  0.740 -1.152  0.921 -1.243  1.117 -1.256  1.287 -1.334
1c#apa#apa00#app0011/j  -0.379 0.189  -0.286 0.281  -0.170 0.397  -0.094 0.530  0.023 0.642  0.114 0.738  0.230 0.854  0.301 0.989  0.301 0.924  0.244 0.783  0.244 0.619  0.244 0.455  0.244 0.291  0.191 0.140  0.188 -0.023  0.188 -0.187  0.188 -0.351  0.244 -0.502  0.244 -0.666  0.244 -0.830  0.188 -0.981  0.188 -1.145  0.151 -1.300  0.131 -1.459  0.131 -1.623  -0.009 -1.680  -0.150 -1.624  -0.266 -1.532  -0.326 -1.393  -0.379 -1.251  -0.379 -1.087  -0.379 -0.923  -0.364 -0.761  -0.329 -0.600  -0.294 -0.440  -0.259 -0.280  -0.224 -0.120  -0.189 0.041  -0.155 0.201  -0.120 0.361  -0.085 0.521  -0.050 0.682  -0.015 0.842  0.020 1.002  0.054 1.162  0.089 1.323  0.124 1.483  0.159 1.643  0.158 1.775  0.074 1.888
1c#apa#apa00#app0011/u  -0.986 0.798  -0.839 0.945  -0.666 1.026  -0.466 1.058  -0.277 1.140  -0.187 1.251  -0.187 1.044  -0.301 0.950  -0.421 0.792  -0.530 0.630  -0.634 0.465  -0.679 0.270  -0.758 0.081  -0.847 -0.090  -0.872 -0.287  -0.940 -0.478  -0.986 -0.675  -0.986 -0.883  -0.924 -1.028  -0.729 -0.999  -0.582 -0.852  -0.435 -0.706  -0.288 -0.559  -0.142 -0.412  0.005 -0.265  0.152 -0.118  0.218 0.062  0.365 0.209  0.384 0.408  0.497 0.569  0.498 0.776  0.569 0.912  0.612 0.975  0.510 0.810  0.498 0.607  0.498 0.400  0.431 0.208  0.384 0.011  0.347 -0.188  0.269 -0.377  0.269 -0.584  0.269 -0.792  0.330 -0.974  0.515 -1.028  0.723 -1.028  0.904 -0.965  1.084 -0.898  1.251 -0.800  1.441 -0.728  1.639 -0.686
1c#apa#apa00#app0011/r  -0.427 0.973  -0.301 0.969  -0.301 0.840  -0.309 0.714  -0.401 0.622  -0.427 0.503  -0.427 0.373  -0.427 0.244  -0.427 0.114  -0.427 -0.015  -0.462 -0.139  -0.503 -0.262  -0.544 -0.385  -0.552 -0.513  -0.552 -0.643  -0.552 -0.773  -0.552 -0.902  -0.552 -1.032  -0.552 -1.161  -0.552 -1.291  -0.552 -1.407  -0.552 -1.277  -0.552 -1.148  -0.539 -1.023  -0.447 -0.932  -0.427 -0.811  -0.427 -0.681  -0.350 -0.583  -0.258 -0.492  -0.175 -0.397  -0.164 -0.272  -0.072 -0.180  0.019 -0.088  0.076 0.018  0.114 0.132  0.205 0.223  0.297 0.315  0.389 0.407  0.480 0.498  0.572 0.590  0.663 0.682  0.776 0.722  0.884 0.776  0.975 0.868  1.067 0.959  1.191 0.973  1.320 0.973  1.450 0.973  1.579 0.973  1.709 0.973
1c#apa#apa00#app0011/y  -0.529 1.139  -0.395 1.139  -0.285 1.196  -0.151 1.196  -0.128 1.085  -0.220 0.990  -0.242 0.865  -0.300 0.755  -0.357 0.645  -0.357 0.511  -0.357 0.377  -0.357 0.243  -0.244 0.223  -0.172 0.293  -0.078 0.387  0.017 0.482  0.112 0.577  0.166 0.688  0.261 0.783  0.274 0.911  0.369 1.006  0.388 1.132  0.388 1.012  0.388 0.878  0.388 0.745  0.388 0.611  0.388 0.477  0.365 0.348  0.330 0.223  0.330 0.089  0.330 -0.045  0.330 -0.179  0.288 -0.306  0.273 -0.437  0.257 -0.569  0.216 -0.696  0.216 -0.830  0.185 -0.958  0.159 -1.088  0.127 -1.214  0.067 -1.334  0.007 -1.454  -0.075 -1.557  -0.130 -1.667  -0.264 -1.667  -0.357 -1.626  -0.440 -1.527  -0.511 -1.415  -0.529 -1.285  -0.529 -1.152
