3#apa#apa15#app1524/I  0.168 1.637  0.118 1.587  0.069 1.538  0.020 1.489  -0.008 1.431  -0.008 1.361  -0.008 1.292  -0.008 1.222  -0.008 1.152  -0.008 1.083  -0.008 1.013  -0.008 0.943  -0.008 0.874  -0.008 0.804  -0.008 0.735  -0.008 0.665  -0.008 0.595  -0.008 0.526  -0.008 0.456  -0.008 0.386  -0.008 0.317  -0.008 0.247  -0.008 0.177  -0.008 0.108  -0.008 0.038  -0.008 -0.031  -0.008 -0.101  -0.008 -0.171  -0.008 -0.240  -0.008 -0.310  -0.008 -0.380  -0.008 -0.449  -0.008 -0.519  -0.008 -0.589  -0.008 -0.658  -0.008 -0.728  -0.008 -0.797  -0.008 -0.867  -0.008 -0.937  -0.008 -1.006  -0.008 -1.076  -0.008 -1.146  -0.008 -1.215  -0.008 -1.285  -0.008 -1.355  -0.008 -1.424  -0.008 -1.494  -0.008 -1.563  -0.008 -1.633  -0.008 -1.703
3#apa#apa15#app1524/f  0.517 0.763  0.517 0.915  0.517 1.067  0.517 1.219  0.445 1.340  0.337 1.448  0.230 1.555  0.098 1.604  -0.034 1.557  -0.142 1.450  -0.249 1.342  -0.324 1.221  -0.330 1.070  -0.359 0.921  -0.389 0.772  -0.419 0.623  -0.449 0.475  -0.478 0.326  -0.476 0.177  -0.446 0.028  -0.416 -0.121  -0.386 -0.270  -0.356 -0.419  -0.327 -0.568  -0.262 -0.705  -0.195 -0.841  -0.120 -0.973  -0.036 -1.099  0.049 -1.225  0.133 -1.352  0.181 -1.489  0.192 -1.544  0.224 -1.395  0.257 -1.247  0.290 -1.099  0.323 -0.951  0.356 -0.802  0.389 -0.654  0.422 -0.506  0.455 -0.358  0.488 -0.209  0.500 -0.078  0.348 -0.078  0.204 -0.126  0.060 -0.174  -0.084 -0.222  -0.228 -0.270  -0.372 -0.318  -0.516 -0.366  -0.660 -0.414
3#apa#apa15#app1524/M  -0.873 -1.599  -0.873 -1.424  -0.873 -1.248  -0.873 -1.073  -0.873 -0.897  -0.873 -0.722  -0.873 -0.546  -0.873 -0.370  -0.873 -0.195  -0.894 -0.024  -0.972 0.133  -1.012 0.299  -1.012 0.474  -1.012 0.650  -0.958 0.771  -0.782 0.771  -0.644 0.681  -0.531 0.547  -0.426 0.406  -0.320 0.266  -0.215 0.126  -0.127 -0.025  -0.048 -0.182  0.030 -0.339  0.109 -0.496  0.187 -0.653  0.295 -0.763  0.382 -0.674  0.382 -0.498  0.382 -0.323  0.382 -0.147  0.382 0.028  0.382 0.204  0.382 0.380  0.382 0.555  0.382 0.731  0.382 0.906  0.414 1.049  0.589 1.049  0.734 0.975  0.858 0.851  0.939 0.709  0.958 0.536  0.993 0.364  1.027 0.191  1.062 0.019  1.141 -0.129  1.218 -0.272  1.218 -0.448  1.218 -0.623
3#apa#apa15#app1524/y  -0.910 0.975  -0.910 0.857  -0.910 0.739  -0.910 0.621  -0.910 0.503  -0.910 0.385  -0.858 0.289  -0.775 0.205  -0.688 0.130  -0.570 0.130  -0.452 0.130  -0.334 0.130  -0.257 0.186  -0.220 0.298  -0.183 0.410  -0.145 0.522  -0.108 0.634  -0.071 0.746  -0.065 0.863  -0.060 0.980  0.023 1.063  0.106 1.146  0.147 1.126  0.147 1.008  0.147 0.890  0.147 0.772  0.147 0.654  0.147 0.536  0.147 0.418  0.147 0.300  0.147 0.182  0.176 0.070  0.229 -0.035  0.282 -0.141  0.335 -0.246  0.374 -0.357  0.403 -0.471  0.431 -0.586  0.460 -0.700  0.489 -0.815  0.517 -0.929  0.546 -1.044  0.570 -1.159  0.570 -1.277  0.570 -1.395  0.570 -1.513  0.570 -1.631  0.570 -1.749  0.570 -1.867  0.570 -1.985
3#apa#apa15#app1524/N  -0.624 -1.292  -0.733 -1.183  -0.752 -1.036  -0.752 -0.882  -0.752 -0.728  -0.752 -0.574  -0.752 -0.420  -0.752 -0.266  -0.752 -0.112  -0.752 0.042  -0.752 0.196  -0.752 0.350  -0.752 0.504  -0.752 0.658  -0.752 0.812  -0.752 0.966  -0.752 0.899  -0.747 0.747  -0.662 0.619  -0.577 0.491  -0.491 0.363  -0.398 0.239  -0.306 0.116  -0.213 -0.007  -0.121 -0.130  -0.050 -0.267  0.020 -0.404  0.113 -0.527  0.205 -0.650  0.298 -0.774  0.390 -0.897  0.497 -1.007  0.639 -1.036  0.657 -0.897  0.694 -0.747  0.732 -0.598  0.769 -0.448  0.814 -0.301  0.863 -0.155  0.910 -0.009  0.910 0.145  0.910 0.299  0.910 0.454  0.910 0.608  0.888 0.760  0.862 0.912  0.837 1.064  0.812 1.216  0.786 1.368  0.782 1.521
3#apa#apa15#app1524/a  0.553 0.222  0.553 0.424  0.553 0.626  0.553 0.828  0.454 0.930  0.271 0.976  0.129 1.119  -0.054 1.166  -0.255 1.166  -0.438 1.120  -0.581 0.977  -0.703 0.817  -0.815 0.649  -0.927 0.481  -1.039 0.313  -1.099 0.130  -1.099 -0.072  -1.099 -0.274  -1.099 -0.476  -1.099 -0.678  -1.099 -0.880  -0.983 -0.998  -0.791 -1.061  -0.600 -1.125  -0.408 -1.189  -0.261 -1.065  -0.118 -0.922  0.024 -0.779  0.167 -0.637  0.310 -0.494  0.378 -0.305  0.442 -0.113  0.506 0.078  0.553 0.272  0.553 0.474  0.553 0.676  0.370 0.694  0.168 0.694  0.081 0.579  0.081 0.377  0.114 0.189  0.257 0.046  0.400 -0.097  0.543 -0.239  0.685 -0.382  0.828 -0.525  0.971 -0.668  1.081 -0.834  1.172 -1.014  1.262 -1.195
3#apa#apa15#app1524/m  -1.107 0.241  -1.107 0.059  -1.107 -0.122  -1.107 -0.303  -1.107 -0.484  -1.107 -0.665  -1.107 -0.672  -1.107 -0.491  -1.107 -0.310  -1.107 -0.129  -1.061 0.045  -1.004 0.217  -0.946 0.389  -0.940 0.569  -0.816 0.698  -0.652 0.740  -0.471 0.740  -0.290 0.740  -0.109 0.740  -0.103 0.561  -0.046 0.390  0.011 0.218  0.059 0.044  0.059 -0.137  0.059 -0.318  0.059 -0.499  0.059 -0.680  0.059 -0.657  0.059 -0.476  0.059 -0.295  0.094 -0.118  0.138 0.058  0.182 0.233  0.227 0.408  0.355 0.536  0.483 0.665  0.633 0.740  0.788 0.678  0.926 0.574  1.074 0.528  1.131 0.356  1.188 0.184  1.225 0.009  1.225 -0.172  1.225 -0.353  1.225 -0.534  1.225 -0.715  1.225 -0.896  1.225 -1.077  1.225 -1.259
3#apa#apa15#app1524/e  -0.536 0.006  -0.536 0.139  -0.508 0.243  -0.375 0.243  -0.242 0.243  -0.109 0.243  -0.001 0.304  0.093 0.398  0.175 0.497  0.175 0.630  0.207 0.750  0.301 0.844  0.396 0.938  0.413 1.064  0.409 1.192  0.276 1.192  0.142 1.192  0.009 1.192  -0.124 1.192  -0.257 1.192  -0.328 1.107  -0.370 0.980  -0.412 0.854  -0.454 0.728  -0.496 0.602  -0.536 0.475  -0.536 0.342  -0.536 0.209  -0.536 0.076  -0.536 -0.057  -0.536 -0.190  -0.496 -0.313  -0.436 -0.432  -0.377 -0.551  -0.317 -0.670  -0.258 -0.789  -0.198 -0.908  -0.139 -1.027  -0.079 -1.146  0.032 -1.181  0.165 -1.181  0.298 -1.181  0.431 -1.181  0.564 -1.181  0.697 -1.181  0.830 -1.181  0.963 -1.181  1.096 -1.181  1.229 -1.181  1.362 -1.181
3#apa#apa15#app1524/=  1.250 -0.861  1.115 -0.861  0.981 -0.861  0.846 -0.861  0.711 -0.861  0.576 -0.861  0.441 -0.861  0.307 -0.861  0.172 -0.861  0.037 -0.861  -0.098 -0.861  -0.233 -0.861  -0.368 -0.861  -0.502 -0.861  -0.637 -0.861  -0.772 -0.861  -0.907 -0.861  -1.023 -0.853  -0.927 -0.758  -0.832 -0.663  -0.737 -0.568  -0.641 -0.472  -0.546 -0.377  -0.451 -0.282  -0.355 -0.186  -0.260 -0.091  -0.165 0.004  -0.069 0.100  0.026 0.195  0.121 0.290  0.217 0.386  0.312 0.481  0.407 0.576  0.503 0.672  0.598 0.767  0.693 0.862  0.789 0.958  0.680 1.020  0.560 1.080  0.439 1.141  0.316 1.191  0.182 1.191  0.065 1.147  -0.030 1.051  -0.128 0.963  -0.263 0.963  -0.398 0.963  -0.533 0.963  -0.668 0.963  -0.802 0.963
3#apa#apa15#app1524/\"  -0.370 0.945  -0.523 0.945  -0.676 0.945  -0.740 0.855  -0.740 0.702  -0.740 0.549  -0.740 0.396  -0.740 0.243  -0.740 0.090  -0.740 -0.063  -0.740 -0.216  -0.740 -0.369  -0.740 -0.522  -0.740 -0.675  -0.740 -0.829  -0.740 -0.982  -0.740 -1.135  -0.726 -1.275  -0.573 -1.275  -0.420 -1.275  -0.267 -1.275  -0.114 -1.275  0.011 -1.237  0.053 -1.090  0.095 -0.943  0.137 -0.795  0.179 -0.648  0.221 -0.501  0.263 -0.354  0.305 -0.207  0.347 -0.059  0.389 0.088  0.431 0.235  0.473 0.382  0.515 0.529  0.557 0.676  0.600 0.824  0.642 0.971  0.684 1.118  0.726 1.265  0.740 1.213  0.740 1.060  0.740 0.907  0.740 0.754  0.740 0.601  0.740 0.447  0.740 0.294  0.740 0.141  0.740 -0.012  0.740 -0.165
3#apa#apa15#app1524/Y  -1.098 0.679  -1.086 0.531  -0.977 0.422  -0.869 0.314  -0.760 0.206  -0.652 0.097  -0.546 -0.013  -0.461 -0.140  -0.376 -0.268  -0.291 -0.395  -0.185 -0.506  -0.109 -0.458  -0.052 -0.315  0.005 -0.173  0.062 -0.031  0.119 0.111  0.176 0.254  0.233 0.396  0.290 0.538  0.347 0.681  0.403 0.823  0.460 0.965  0.517 1.108  0.574 1.250  0.631 1.392  0.654 1.459  0.586 1.322  0.537 1.180  0.522 1.029  0.485 0.880  0.447 0.731  0.410 0.583  0.370 0.435  0.327 0.288  0.285 0.140  0.243 -0.007  0.201 -0.155  0.159 -0.302  0.116 -0.449  0.072 -0.596  0.028 -0.743  -0.016 -0.890  -0.060 -1.036  -0.104 -1.183  -0.148 -1.330  -0.192 -1.477  -0.236 -1.624  -0.280 -1.770  -0.348 -1.908  -0.417 -2.045
