1b#tos#f1#f1052063/A  0.054 1.649  -0.082 1.483  -0.164 1.232  -0.182 0.970  -0.267 0.725  -0.464 0.557  -0.464 0.292  -0.534 0.037  -0.601 -0.219  -0.684 -0.470  -0.733 -0.725  -0.794 -0.975  -0.794 -1.240  -0.794 -1.412  -0.719 -1.158  -0.645 -0.904  -0.571 -0.650  -0.496 -0.396  -0.422 -0.142  -0.347 0.112  -0.273 0.366  -0.198 0.620  -0.124 0.874  -0.049 1.128  0.007 1.385  0.243 1.413  0.366 1.272  0.542 1.167  0.572 0.905  0.639 0.707  0.754 0.487  0.760 0.223  0.800 -0.032  0.854 -0.284  0.901 -0.541  0.904 -0.805  0.948 -1.060  1.006 -1.199  0.785 -1.054  0.563 -0.909  0.342 -0.763  0.121 -0.618  -0.101 -0.473  -0.322 -0.328  -0.559 -0.234  -0.482 -0.234  -0.219 -0.220  0.042 -0.187  0.307 -0.187  0.572 -0.187
1b#tos#f1#f1052063/B  -0.573 1.049  -0.477 0.835  -0.477 0.580  -0.445 0.329  -0.429 0.076  -0.429 -0.179  -0.384 -0.427  -0.381 -0.681  -0.381 -0.936  -0.381 -1.190  -0.381 -1.444  -0.301 -1.392  -0.340 -1.141  -0.378 -0.890  -0.417 -0.638  -0.456 -0.387  -0.494 -0.136  -0.533 0.116  -0.572 0.367  -0.610 0.619  -0.649 0.870  -0.669 1.123  -0.438 1.145  -0.209 1.255  0.036 1.296  0.287 1.337  0.541 1.337  0.747 1.243  0.772 0.995  0.707 0.760  0.575 0.617  0.436 0.437  0.221 0.317  0.004 0.185  -0.250 0.185  -0.277 0.233  -0.024 0.246  0.227 0.281  0.481 0.281  0.682 0.131  0.831 -0.056  0.916 -0.225  0.964 -0.473  0.943 -0.722  0.793 -0.900  0.621 -1.085  0.456 -1.209  0.244 -1.287  0.061 -1.398  -0.189 -1.449
1b#tos#f1#f1052063/G  0.923 0.724  0.912 0.919  0.721 0.939  0.587 1.044  0.392 1.093  0.219 1.192  0.022 1.231  -0.184 1.231  -0.389 1.231  -0.561 1.140  -0.728 1.028  -0.892 0.923  -0.997 0.746  -1.042 0.553  -1.067 0.357  -1.184 0.236  -1.184 0.030  -1.146 -0.170  -1.104 -0.371  -1.028 -0.544  -0.887 -0.673  -0.721 -0.759  -0.583 -0.868  -0.406 -0.915  -0.201 -0.926  0.001 -0.954  0.207 -0.954  0.393 -0.922  0.567 -0.852  0.579 -0.740  0.456 -0.575  0.334 -0.410  0.211 -0.244  0.089 -0.079  -0.034 0.087  -0.130 0.173  0.003 0.100  0.208 0.100  0.412 0.111  0.614 0.139  0.820 0.139  0.899 0.139  0.776 0.043  0.611 -0.070  0.572 -0.259  0.572 -0.465  0.572 -0.671  0.572 -0.877  0.572 -1.083  0.650 -1.266
1b#tos#f1#f1052063/H  -1.004 0.977  -1.004 0.843  -0.965 0.667  -0.929 0.488  -0.926 0.307  -0.926 0.124  -0.926 -0.058  -0.926 -0.240  -0.926 -0.422  -0.896 -0.601  -0.882 -0.782  -0.838 -0.959  -0.810 -1.137  -0.792 -1.053  -0.766 -0.873  -0.740 -0.693  -0.714 -0.512  -0.689 -0.332  -0.663 -0.152  -0.733 -0.161  -0.572 -0.180  -0.393 -0.144  -0.220 -0.104  -0.039 -0.089  0.138 -0.050  0.318 -0.027  0.500 -0.027  0.650 0.050  0.811 0.071  0.805 0.253  0.799 0.435  0.793 0.617  0.788 0.799  0.782 0.981  0.776 1.163  0.676 1.248  0.646 1.127  0.718 0.966  0.735 0.785  0.735 0.603  0.735 0.421  0.735 0.239  0.735 0.057  0.735 -0.125  0.735 -0.307  0.735 -0.490  0.735 -0.672  0.808 -0.832  0.812 -1.013  0.850 -1.186
1b#tos#f1#f1052063/I  -0.393 1.212  -0.497 1.212  -0.434 1.212  -0.366 1.156  -0.286 1.096  -0.185 1.088  -0.082 1.088  0.022 1.088  0.125 1.088  0.228 1.088  0.331 1.088  0.264 1.088  0.160 1.088  0.057 1.088  -0.046 1.088  -0.063 1.002  -0.022 0.940  -0.022 0.836  -0.022 0.733  -0.022 0.630  -0.022 0.526  -0.022 0.423  -0.022 0.320  -0.022 0.216  -0.022 0.113  -0.022 0.010  -0.022 -0.093  -0.022 -0.197  -0.022 -0.300  -0.022 -0.403  -0.022 -0.507  -0.022 -0.610  -0.022 -0.713  -0.022 -0.817  -0.022 -0.920  -0.022 -1.023  -0.022 -1.127  -0.071 -1.181  -0.174 -1.181  -0.268 -1.222  -0.251 -1.222  -0.147 -1.222  -0.044 -1.222  0.059 -1.222  0.163 -1.222  0.266 -1.222  0.369 -1.222  0.473 -1.222  0.576 -1.222  0.679 -1.222
1b#tos#f1#f1052063/J  -0.328 1.110  -0.410 1.096  -0.383 1.028  -0.288 1.028  -0.193 1.028  -0.098 1.028  -0.003 1.028  0.092 1.028  0.187 1.028  0.282 1.028  0.377 1.028  0.472 1.028  0.409 1.028  0.314 1.028  0.219 1.028  0.124 1.028  0.121 0.937  0.104 0.849  0.080 0.764  0.080 0.669  0.121 0.591  0.121 0.496  0.121 0.401  0.121 0.306  0.121 0.211  0.121 0.116  0.121 0.021  0.121 -0.074  0.121 -0.169  0.121 -0.264  0.121 -0.359  0.121 -0.454  0.121 -0.549  0.138 -0.640  0.161 -0.729  0.161 -0.824  0.161 -0.919  0.160 -1.014  0.093 -1.081  0.026 -1.148  -0.027 -1.226  -0.085 -1.299  -0.152 -1.367  -0.206 -1.415  -0.295 -1.421  -0.390 -1.421  -0.485 -1.421  -0.580 -1.421  -0.669 -1.406  -0.736 -1.339
1b#tos#f1#f1052063/L  -0.351 1.641  -0.432 1.634  -0.468 1.558  -0.460 1.476  -0.429 1.403  -0.429 1.318  -0.429 1.233  -0.409 1.151  -0.390 1.069  -0.390 0.984  -0.384 0.899  -0.370 0.815  -0.356 0.731  -0.351 0.646  -0.351 0.561  -0.351 0.476  -0.351 0.390  -0.351 0.305  -0.351 0.220  -0.351 0.135  -0.351 0.049  -0.351 -0.036  -0.351 -0.121  -0.351 -0.206  -0.351 -0.291  -0.323 -0.370  -0.312 -0.453  -0.312 -0.538  -0.312 -0.623  -0.273 -0.692  -0.240 -0.745  -0.155 -0.745  -0.070 -0.745  0.015 -0.745  0.101 -0.745  0.186 -0.745  0.271 -0.745  0.356 -0.745  0.441 -0.745  0.527 -0.745  0.612 -0.745  0.697 -0.745  0.782 -0.745  0.867 -0.745  0.953 -0.745  1.027 -0.763  1.057 -0.841  1.121 -0.862  1.206 -0.862  1.291 -0.862
1b#tos#f1#f1052063/N  -0.589 1.486  -0.675 1.350  -0.675 1.128  -0.675 0.906  -0.675 0.685  -0.675 0.463  -0.640 0.245  -0.632 0.024  -0.548 -0.178  -0.546 -0.400  -0.546 -0.621  -0.463 -0.818  -0.440 -1.034  -0.377 -1.244  -0.386 -1.204  -0.403 -0.983  -0.420 -0.762  -0.437 -0.541  -0.454 -0.320  -0.471 -0.099  -0.488 0.122  -0.505 0.343  -0.522 0.564  -0.539 0.786  -0.666 0.888  -0.595 0.912  -0.412 0.787  -0.274 0.616  -0.142 0.444  -0.076 0.244  0.007 0.050  0.174 -0.091  0.240 -0.301  0.359 -0.488  0.498 -0.658  0.575 -0.853  0.707 -1.017  0.863 -1.121  0.949 -1.157  0.949 -0.935  0.949 -0.713  0.949 -0.491  0.949 -0.270  0.949 -0.048  0.949 0.174  0.949 0.396  0.949 0.617  0.949 0.839  0.988 1.051  1.035 1.230
1b#tos#f1#f1052063/O  0.531 0.924  0.392 0.924  0.252 0.924  0.185 0.996  0.113 1.097  -0.027 1.097  -0.167 1.097  -0.307 1.097  -0.447 1.097  -0.551 1.012  -0.650 0.913  -0.682 0.786  -0.682 0.647  -0.762 0.540  -0.769 0.403  -0.769 0.263  -0.769 0.123  -0.769 -0.016  -0.769 -0.156  -0.769 -0.296  -0.750 -0.433  -0.726 -0.568  -0.726 -0.708  -0.622 -0.793  -0.561 -0.913  -0.474 -1.019  -0.399 -1.114  -0.259 -1.114  -0.132 -1.144  -0.016 -1.200  0.124 -1.200  0.256 -1.165  0.381 -1.102  0.506 -1.040  0.624 -0.971  0.687 -0.846  0.705 -0.710  0.705 -0.570  0.789 -0.466  0.791 -0.327  0.791 -0.187  0.791 -0.047  0.791 0.093  0.766 0.225  0.692 0.343  0.644 0.473  0.618 0.610  0.588 0.737  0.474 0.803  0.358 0.880
1b#tos#f1#f1052063/P  -0.367 1.261  -0.504 1.359  -0.563 1.211  -0.555 1.009  -0.465 0.840  -0.453 0.635  -0.423 0.431  -0.416 0.226  -0.416 0.020  -0.397 -0.183  -0.367 -0.386  -0.353 -0.589  -0.288 -0.785  -0.270 -0.987  -0.235 -1.188  -0.221 -1.391  -0.171 -1.577  -0.075 -1.715  -0.106 -1.511  -0.136 -1.308  -0.167 -1.104  -0.198 -0.901  -0.229 -0.697  -0.259 -0.494  -0.290 -0.290  -0.321 -0.086  -0.352 0.117  -0.382 0.321  -0.413 0.524  -0.444 0.728  -0.403 0.870  -0.231 0.972  -0.047 1.058  0.158 1.065  0.364 1.065  0.570 1.065  0.771 1.025  0.958 0.941  1.050 0.782  1.050 0.576  1.050 0.370  1.001 0.184  0.936 -0.011  0.857 -0.201  0.660 -0.254  0.567 -0.437  0.375 -0.496  0.230 -0.596  0.048 -0.678  -0.123 -0.792
1b#tos#f1#f1052063/Q  0.265 -0.588  0.129 -0.686  0.006 -0.847  -0.208 -0.848  -0.406 -0.815  -0.556 -0.671  -0.680 -0.512  -0.769 -0.318  -0.870 -0.134  -0.935 0.060  -0.935 0.275  -0.935 0.489  -0.860 0.679  -0.799 0.882  -0.753 1.086  -0.641 1.261  -0.449 1.357  -0.307 1.463  -0.110 1.520  0.105 1.519  0.311 1.460  0.436 1.302  0.596 1.186  0.626 0.974  0.668 0.765  0.686 0.553  0.690 0.339  0.719 0.128  0.714 -0.085  0.648 -0.290  0.548 -0.456  0.448 -0.632  0.300 -0.778  0.108 -0.855  -0.099 -0.880  -0.254 -0.821  -0.417 -0.750  -0.584 -0.653  -0.676 -0.492  -0.544 -0.353  -0.366 -0.246  -0.158 -0.232  0.057 -0.232  0.263 -0.255  0.443 -0.370  0.597 -0.501  0.737 -0.621  0.881 -0.718  1.064 -0.811  1.270 -0.848
