1b#ced#racy0978_s_0l/M  -0.484 0.159  -0.537 0.367  -0.583 0.574  -0.692 0.518  -0.732 0.310  -0.732 0.096  -0.732 -0.119  -0.732 -0.333  -0.732 -0.547  -0.750 -0.760  -0.757 -0.973  -0.823 -1.143  -0.874 -0.964  -0.881 -0.751  -0.881 -0.537  -0.868 -0.323  -0.856 -0.110  -0.820 0.101  -0.785 0.313  -0.750 0.524  -0.711 0.735  -0.638 0.934  -0.484 0.928  -0.389 0.738  -0.307 0.540  -0.247 0.335  -0.190 0.130  -0.110 -0.069  -0.043 -0.272  0.027 -0.471  0.150 -0.612  0.270 -0.443  0.360 -0.249  0.439 -0.050  0.519 0.149  0.589 0.352  0.656 0.555  0.740 0.752  0.841 0.939  0.990 0.920  1.051 0.715  1.091 0.505  1.126 0.293  1.160 0.082  1.203 -0.128  1.267 -0.332  1.304 -0.542  1.375 -0.744  1.439 -0.949  1.525 -1.143
1b#ced#racy0978_s_0l/Y  -0.962 -0.730  -0.912 -0.559  -0.885 -0.383  -0.860 -0.207  -0.847 -0.030  -0.847 0.148  -0.847 0.327  -0.847 0.505  -0.847 0.684  -0.847 0.862  -0.847 1.041  -0.887 1.013  -0.924 0.841  -0.917 0.663  -0.885 0.489  -0.877 0.311  -0.826 0.140  -0.764 -0.027  -0.714 -0.198  -0.650 -0.364  -0.599 -0.535  -0.514 -0.692  -0.402 -0.829  -0.257 -0.929  -0.090 -0.979  0.081 -0.936  0.215 -0.819  0.334 -0.686  0.416 -0.529  0.497 -0.371  0.592 -0.222  0.659 -0.056  0.725 0.110  0.791 0.276  0.858 0.441  0.933 0.603  0.987 0.772  1.041 0.942  1.053 0.957  1.009 0.784  0.995 0.607  0.966 0.433  0.918 0.261  0.892 0.084  0.869 -0.093  0.847 -0.270  0.824 -0.447  0.802 -0.624  0.784 -0.802  0.765 -0.979
1b#ced#racy0978_s_0l/B  -0.442 0.124  -0.476 0.317  -0.524 0.508  -0.583 0.684  -0.662 0.515  -0.657 0.324  -0.630 0.128  -0.596 -0.066  -0.576 -0.263  -0.562 -0.461  -0.528 -0.656  -0.518 -0.712  -0.569 -0.520  -0.576 -0.321  -0.564 -0.123  -0.527 0.074  -0.498 0.271  -0.489 0.469  -0.433 0.661  -0.367 0.849  -0.285 1.030  -0.205 1.213  -0.085 1.371  0.061 1.504  0.227 1.452  0.260 1.259  0.238 1.062  0.206 0.866  0.157 0.676  0.105 0.484  0.055 0.291  0.034 0.100  0.212 0.070  0.407 0.094  0.604 0.070  0.799 0.043  0.994 0.012  1.127 -0.130  1.168 -0.320  1.121 -0.514  1.032 -0.693  0.913 -0.853  0.788 -1.007  0.647 -1.148  0.483 -1.260  0.311 -1.361  0.137 -1.458  -0.046 -1.535  -0.242 -1.559  -0.442 -1.562
1b#ced#racy0978_s_0l/O  -0.210 0.296  -0.174 0.440  -0.138 0.584  -0.097 0.726  -0.072 0.873  -0.061 1.020  -0.061 1.169  -0.081 1.314  -0.173 1.261  -0.242 1.130  -0.302 0.995  -0.358 0.857  -0.409 0.717  -0.456 0.577  -0.503 0.436  -0.550 0.295  -0.582 0.150  -0.604 0.003  -0.633 -0.143  -0.654 -0.290  -0.660 -0.438  -0.664 -0.586  -0.685 -0.733  -0.668 -0.879  -0.638 -1.025  -0.609 -1.171  -0.544 -1.301  -0.419 -1.378  -0.276 -1.376  -0.132 -1.340  0.011 -1.300  0.138 -1.224  0.245 -1.121  0.338 -1.006  0.430 -0.889  0.515 -0.767  0.583 -0.636  0.629 -0.495  0.668 -0.351  0.710 -0.209  0.753 -0.067  0.777 0.079  0.802 0.226  0.808 0.374  0.808 0.523  0.791 0.668  0.742 0.808  0.711 0.953  0.658 1.090  0.539 1.164
1b#ced#racy0978_s_0l/X  -1.160 -0.459  -1.160 -0.287  -1.160 -0.116  -1.189 0.050  -1.204 0.219  -1.245 0.386  -1.281 0.553  -1.281 0.724  -1.157 0.765  -1.054 0.628  -0.905 0.554  -0.782 0.435  -0.648 0.328  -0.513 0.223  -0.391 0.105  -0.279 -0.023  -0.144 -0.128  -0.030 -0.256  0.089 -0.379  0.210 -0.500  0.338 -0.612  0.481 -0.707  0.612 -0.813  0.717 -0.947  0.838 -1.069  0.970 -1.110  1.119 -1.025  1.195 -0.898  1.191 -0.727  1.150 -0.561  1.108 -0.395  1.069 -0.228  1.038 -0.060  0.998 0.107  0.963 0.275  0.887 0.425  0.819 0.581  0.737 0.731  0.599 0.825  0.440 0.886  0.277 0.842  0.140 0.740  0.023 0.615  -0.080 0.478  -0.183 0.341  -0.272 0.196  -0.364 0.051  -0.459 -0.092  -0.512 -0.253  -0.556 -0.418
1b#ced#racy0978_s_0l/W  -0.665 -0.022  -0.700 0.118  -0.722 0.258  -0.724 0.402  -0.751 0.543  -0.757 0.686  -0.779 0.827  -0.806 0.855  -0.837 0.719  -0.865 0.580  -0.865 0.436  -0.856 0.293  -0.837 0.151  -0.837 0.007  -0.832 -0.136  -0.808 -0.278  -0.808 -0.422  -0.784 -0.564  -0.779 -0.707  -0.751 -0.848  -0.695 -0.979  -0.591 -1.074  -0.463 -1.024  -0.362 -0.923  -0.273 -0.810  -0.207 -0.683  -0.140 -0.555  -0.055 -0.440  0.015 -0.315  0.077 -0.186  0.147 -0.061  0.201 0.072  0.295 0.177  0.415 0.188  0.503 0.080  0.556 -0.053  0.636 -0.173  0.736 -0.273  0.864 -0.335  0.964 -0.237  1.038 -0.113  1.102 0.015  1.166 0.144  1.223 0.276  1.278 0.409  1.346 0.536  1.412 0.662  1.470 0.794  1.519 0.928  1.586 1.053
1b#ced#racy0978_s_0l/I  -0.337 -2.041  -0.308 -1.927  -0.280 -1.812  -0.251 -1.698  -0.224 -1.583  -0.224 -1.465  -0.224 -1.347  -0.220 -1.230  -0.197 -1.114  -0.174 -0.998  -0.151 -0.883  -0.127 -0.767  -0.110 -0.651  -0.110 -0.533  -0.110 -0.415  -0.094 -0.298  -0.074 -0.182  -0.055 -0.066  -0.034 0.050  -0.013 0.167  0.003 0.283  0.003 0.401  0.003 0.519  0.027 0.634  0.056 0.748  0.060 0.866  0.060 0.984  0.060 1.102  0.060 1.220  0.062 1.337  0.090 1.452  0.116 1.545  0.116 1.427  0.116 1.309  0.116 1.191  0.116 1.073  0.116 0.955  0.116 0.838  0.116 0.720  0.116 0.602  0.127 0.485  0.150 0.369  0.173 0.253  0.173 0.135  0.173 0.017  0.173 -0.101  0.180 -0.218  0.196 -0.335  0.213 -0.452  0.230 -0.568
1b#ced#racy0978_s_0l/T  -0.122 0.121  -0.032 0.257  0.031 0.404  0.071 0.563  0.154 0.701  0.237 0.841  0.300 0.991  0.351 1.146  0.403 1.300  0.491 1.437  0.563 1.434  0.598 1.279  0.566 1.119  0.530 0.960  0.470 0.809  0.409 0.658  0.369 0.500  0.340 0.340  0.340 0.178  0.340 0.015  0.340 -0.148  0.340 -0.311  0.340 -0.474  0.353 -0.636  0.385 -0.796  0.406 -0.957  0.406 -1.120  0.368 -1.265  0.244 -1.371  0.121 -1.477  -0.003 -1.583  -0.108 -1.552  -0.198 -1.416  -0.289 -1.281  -0.379 -1.145  -0.466 -1.008  -0.539 -0.862  -0.604 -0.713  -0.655 -0.558  -0.707 -0.404  -0.759 -0.249  -0.783 -0.090  -0.783 0.073  -0.783 0.236  -0.708 0.378  -0.624 0.518  -0.523 0.645  -0.408 0.760  -0.268 0.841  -0.122 0.914
1b#ced#racy0978_s_0l/H  -0.685 -0.139  -0.685 0.094  -0.685 0.327  -0.679 0.558  -0.646 0.786  -0.646 1.018  -0.698 1.199  -0.795 1.033  -0.854 0.808  -0.879 0.580  -0.916 0.351  -0.917 0.118  -0.917 -0.114  -0.917 -0.347  -0.917 -0.580  -0.917 -0.812  -0.796 -0.864  -0.580 -0.777  -0.365 -0.689  -0.149 -0.602  0.066 -0.514  0.282 -0.426  0.420 -0.248  0.526 -0.042  0.642 0.160  0.723 0.377  0.835 0.577  0.962 0.772  1.036 0.992  1.186 1.008  1.217 0.786  1.195 0.556  1.165 0.326  1.156 0.095  1.195 -0.134  1.195 -0.367  1.195 -0.600  1.167 -0.750  0.936 -0.721  0.706 -0.692  0.475 -0.662  0.244 -0.633  0.013 -0.604  -0.191 -0.493  -0.406 -0.412  -0.600 -0.285  -0.808 -0.185  -0.847 -0.016  -0.629 0.054  -0.413 0.133
1b#ced#racy0978_s_0l/F  0.143 -1.425  0.066 -1.540  -0.011 -1.656  -0.114 -1.737  -0.123 -1.648  -0.116 -1.510  -0.116 -1.371  -0.147 -1.236  -0.149 -1.098  -0.176 -0.962  -0.203 -0.826  -0.229 -0.690  -0.260 -0.555  -0.304 -0.424  -0.333 -0.288  -0.377 -0.157  -0.416 -0.025  -0.439 0.112  -0.466 0.248  -0.523 0.373  -0.585 0.497  -0.625 0.629  -0.693 0.749  -0.742 0.878  -0.771 0.991  -0.645 1.044  -0.510 1.025  -0.375 0.996  -0.237 0.980  -0.099 0.980  0.039 0.968  0.175 0.947  0.314 0.949  0.450 0.977  0.586 0.956  0.722 0.963  0.812 0.942  0.783 0.806  0.754 0.671  0.725 0.535  0.696 0.399  0.667 0.264  0.638 0.128  0.556 0.029  0.454 -0.065  0.354 -0.161  0.244 -0.244  0.171 -0.360  0.161 -0.487  0.272 -0.570
1b#ced#racy0978_s_0l/I  0.003 -1.152  0.042 -1.025  0.082 -0.898  0.121 -0.771  0.160 -0.644  0.199 -0.517  0.241 -0.391  0.283 -0.265  0.299 -0.135  0.299 -0.002  0.299 0.131  0.299 0.264  0.299 0.397  0.299 0.530  0.278 0.660  0.246 0.789  0.214 0.918  0.201 1.049  0.201 1.182  0.185 1.312  0.143 1.438  0.099 1.560  -0.027 1.518  -0.153 1.476  -0.194 1.373  -0.194 1.240  -0.194 1.107  -0.194 0.974  -0.194 0.841  -0.194 0.709  -0.194 0.576  -0.194 0.443  -0.194 0.310  -0.194 0.177  -0.194 0.044  -0.194 -0.089  -0.194 -0.221  -0.194 -0.354  -0.194 -0.487  -0.194 -0.620  -0.187 -0.752  -0.167 -0.884  -0.147 -1.015  -0.126 -1.146  -0.106 -1.277  -0.095 -1.409  -0.095 -1.542  -0.095 -1.675  -0.095 -1.808  -0.095 -1.941
