3#app#app07#app0749/t  0.861 1.406  0.962 1.482  0.910 1.607  0.736 1.595  0.578 1.516  0.452 1.394  0.373 1.236  0.257 1.104  0.126 0.988  -0.032 0.909  -0.118 0.757  -0.197 0.599  -0.267 0.438  -0.323 0.270  -0.392 0.107  -0.448 -0.056  -0.448 -0.233  -0.448 -0.410  -0.448 -0.587  -0.348 -0.722  -0.285 -0.873  -0.160 -0.998  -0.034 -1.123  0.105 -1.212  0.282 -1.212  0.358 -1.313  0.535 -1.313  0.712 -1.313  0.664 -1.228  0.531 -1.111  0.399 -0.994  0.266 -0.877  0.134 -0.760  0.001 -0.643  -0.132 -0.526  -0.264 -0.409  -0.397 -0.292  -0.529 -0.175  -0.662 -0.058  -0.795 0.059  -0.927 0.176  -0.823 0.262  -0.655 0.298  -0.499 0.348  -0.343 0.399  -0.166 0.399  -0.031 0.298  0.146 0.298  0.323 0.298  0.458 0.197
3#app#app07#app0749/h  0.499 2.100  0.457 1.973  0.415 1.847  0.381 1.720  0.381 1.587  0.357 1.460  0.298 1.341  0.238 1.222  0.179 1.103  0.120 0.984  0.060 0.865  0.025 0.740  0.025 0.607  -0.034 0.499  -0.128 0.405  -0.222 0.311  -0.316 0.217  -0.381 0.102  -0.440 -0.017  -0.500 -0.136  -0.559 -0.255  -0.569 -0.386  -0.574 -0.516  -0.668 -0.610  -0.687 -0.735  -0.687 -0.868  -0.672 -0.986  -0.539 -0.986  -0.450 -0.942  -0.409 -0.826  -0.315 -0.732  -0.221 -0.638  -0.127 -0.544  -0.033 -0.450  0.025 -0.341  0.071 -0.227  0.143 -0.124  0.189 -0.036  0.262 -0.096  0.262 -0.229  0.262 -0.362  0.262 -0.495  0.262 -0.628  0.275 -0.749  0.381 -0.775  0.381 -0.908  0.420 -1.025  0.520 -1.105  0.643 -1.129  0.737 -1.223
3#app#app07#app0749/e  -0.332 -0.288  -0.184 -0.288  -0.180 -0.144  -0.040 -0.136  -0.028 -0.000  0.090 0.075  0.222 0.141  0.277 0.256  0.335 0.380  0.440 0.484  0.545 0.589  0.678 0.625  0.733 0.718  0.733 0.866  0.733 1.014  0.733 1.162  0.657 1.234  0.509 1.234  0.361 1.234  0.213 1.234  0.082 1.192  -0.022 1.087  -0.127 0.982  -0.213 0.864  -0.279 0.732  -0.358 0.612  -0.490 0.546  -0.623 0.480  -0.636 0.340  -0.694 0.206  -0.760 0.073  -0.789 -0.068  -0.789 -0.216  -0.789 -0.364  -0.789 -0.512  -0.758 -0.653  -0.692 -0.785  -0.620 -0.913  -0.515 -1.018  -0.380 -1.049  -0.261 -1.119  -0.147 -1.201  0.001 -1.201  0.149 -1.201  0.297 -1.201  0.445 -1.201  0.593 -1.201  0.741 -1.201  0.889 -1.201  1.037 -1.201
3#app#app07#app0749/i  0.052 0.282  0.052 0.418  -0.021 0.481  -0.154 0.475  -0.252 0.382  -0.376 0.352  -0.447 0.245  -0.499 0.130  -0.595 0.034  -0.692 -0.063  -0.746 -0.176  -0.746 -0.313  -0.746 -0.449  -0.698 -0.565  -0.646 -0.680  -0.575 -0.787  -0.479 -0.884  -0.383 -0.980  -0.286 -1.077  -0.174 -1.152  -0.052 -1.213  0.074 -1.237  0.178 -1.315  0.315 -1.315  0.451 -1.315  0.438 -1.180  0.424 -1.044  0.411 -0.909  0.397 -0.773  0.384 -0.637  0.370 -0.501  0.357 -0.366  0.343 -0.230  0.329 -0.094  0.316 0.041  0.302 0.177  0.289 0.313  0.275 0.448  0.262 0.584  0.248 0.720  0.234 0.855  0.221 0.991  0.207 1.127  0.194 1.262  0.180 1.398  0.167 1.534  0.153 1.669  0.179 1.779  0.315 1.779  0.451 1.779
3#app#app07#app0749/c  1.019 1.232  0.929 1.232  0.839 1.232  0.753 1.223  0.690 1.160  0.623 1.103  0.533 1.103  0.443 1.103  0.356 1.093  0.275 1.053  0.195 1.013  0.115 0.972  0.052 0.908  -0.012 0.845  -0.075 0.781  -0.139 0.718  -0.203 0.654  -0.266 0.590  -0.330 0.527  -0.393 0.463  -0.435 0.384  -0.475 0.304  -0.515 0.223  -0.526 0.136  -0.526 0.046  -0.526 -0.044  -0.526 -0.134  -0.526 -0.224  -0.526 -0.313  -0.526 -0.403  -0.526 -0.493  -0.526 -0.583  -0.526 -0.673  -0.482 -0.745  -0.419 -0.808  -0.398 -0.889  -0.377 -0.958  -0.287 -0.958  -0.204 -0.990  -0.124 -1.030  -0.044 -1.071  0.043 -1.087  0.132 -1.087  0.222 -1.087  0.312 -1.087  0.402 -1.087  0.492 -1.087  0.582 -1.087  0.672 -1.087  0.762 -1.087
3#app#app07#app0749/o  -0.602 1.078  -0.602 0.949  -0.602 0.820  -0.602 0.691  -0.685 0.596  -0.776 0.505  -0.801 0.387  -0.817 0.265  -0.908 0.174  -1.000 0.083  -1.000 -0.046  -1.000 -0.175  -1.000 -0.304  -1.000 -0.433  -0.966 -0.548  -0.875 -0.639  -0.784 -0.730  -0.693 -0.821  -0.602 -0.913  -0.473 -0.913  -0.344 -0.913  -0.215 -0.913  -0.087 -0.913  0.042 -0.913  0.171 -0.913  0.300 -0.913  0.419 -0.888  0.510 -0.797  0.601 -0.705  0.692 -0.614  0.783 -0.523  0.792 -0.398  0.825 -0.283  0.916 -0.191  0.991 -0.094  0.991 0.035  0.991 0.164  0.979 0.281  0.850 0.281  0.792 0.352  0.792 0.481  0.792 0.609  0.750 0.721  0.659 0.812  0.568 0.903  0.476 0.994  0.382 1.078  0.253 1.078  0.124 1.078  -0.005 1.078
3#app#app07#app0749/n  -1.041 -0.144  -0.937 -0.248  -0.855 -0.361  -0.855 -0.508  -0.855 -0.655  -0.855 -0.802  -0.855 -0.949  -0.872 -1.079  -1.019 -1.079  -1.041 -0.954  -0.957 -0.892  -0.855 -0.847  -0.850 -0.705  -0.703 -0.705  -0.588 -0.626  -0.485 -0.522  -0.481 -0.376  -0.409 -0.259  -0.305 -0.155  -0.294 -0.012  -0.229 0.108  -0.125 0.212  -0.021 0.316  0.083 0.419  0.187 0.523  0.267 0.637  0.267 0.784  0.330 0.916  0.396 1.048  0.466 1.176  0.570 1.280  0.688 1.351  0.827 1.343  0.827 1.196  0.746 1.083  0.642 0.979  0.640 0.833  0.640 0.686  0.640 0.539  0.640 0.392  0.640 0.245  0.640 0.098  0.640 -0.049  0.640 -0.197  0.640 -0.344  0.640 -0.491  0.640 -0.638  0.640 -0.785  0.680 -0.892  0.827 -0.892
3#app#app07#app0749/o  -0.302 0.685  -0.302 0.554  -0.359 0.447  -0.452 0.355  -0.483 0.237  -0.519 0.142  -0.649 0.142  -0.746 0.060  -0.838 -0.032  -0.845 -0.160  -0.895 -0.270  -0.987 -0.362  -1.026 -0.477  -1.026 -0.607  -1.026 -0.738  -1.026 -0.868  -0.970 -0.943  -0.839 -0.943  -0.709 -0.943  -0.578 -0.943  -0.448 -0.943  -0.317 -0.943  -0.220 -0.861  -0.128 -0.768  -0.000 -0.762  0.109 -0.712  0.202 -0.619  0.317 -0.581  0.439 -0.563  0.532 -0.470  0.624 -0.378  0.716 -0.286  0.809 -0.193  0.901 -0.101  0.963 0.004  0.963 0.134  0.963 0.265  0.963 0.396  0.963 0.526  0.963 0.657  0.918 0.776  0.859 0.893  0.801 1.010  0.719 1.110  0.627 1.202  0.507 1.227  0.376 1.227  0.245 1.227  0.152 1.139  0.059 1.046
3#app#app07#app0749/g  0.372 1.342  0.239 1.304  0.114 1.248  0.002 1.161  -0.129 1.092  -0.248 1.006  -0.379 0.965  -0.419 0.835  -0.543 0.776  -0.572 0.657  -0.572 0.508  -0.545 0.371  -0.424 0.304  -0.275 0.304  -0.127 0.304  0.021 0.304  0.161 0.340  0.277 0.417  0.350 0.493  0.428 0.606  0.530 0.681  0.561 0.800  0.561 0.948  0.561 0.833  0.561 0.684  0.561 0.536  0.561 0.387  0.561 0.239  0.561 0.090  0.561 -0.058  0.561 -0.207  0.561 -0.355  0.462 -0.464  0.415 -0.605  0.372 -0.746  0.342 -0.888  0.275 -1.020  0.170 -1.125  0.065 -1.230  -0.054 -1.300  -0.173 -1.373  -0.312 -1.395  -0.460 -1.395  -0.609 -1.395  -0.731 -1.331  -0.769 -1.198  -0.855 -1.085  -0.855 -0.937  -0.855 -0.788  -0.855 -0.640
3#app#app07#app0749/r  -0.919 -1.320  -0.919 -1.420  -0.899 -1.469  -0.828 -1.399  -0.758 -1.329  -0.750 -1.233  -0.750 -1.134  -0.750 -1.034  -0.750 -0.935  -0.750 -0.836  -0.696 -0.759  -0.626 -0.688  -0.581 -0.608  -0.581 -0.509  -0.517 -0.473  -0.417 -0.473  -0.411 -0.380  -0.395 -0.288  -0.325 -0.218  -0.254 -0.147  -0.242 -0.053  -0.230 0.035  -0.131 0.035  -0.072 0.075  -0.072 0.174  -0.072 0.274  -0.072 0.373  -0.002 0.443  0.068 0.514  0.097 0.601  0.097 0.700  0.175 0.751  0.264 0.796  0.353 0.840  0.440 0.886  0.510 0.956  0.581 1.026  0.670 1.051  0.769 1.051  0.775 0.958  0.775 0.858  0.775 0.759  0.775 0.660  0.775 0.560  0.857 0.543  0.944 0.531  0.944 0.432  0.973 0.345  1.043 0.274  1.113 0.204
3#app#app07#app0749/a  0.401 1.138  0.236 1.115  0.189 0.973  0.001 0.973  -0.160 0.907  -0.294 0.773  -0.428 0.641  -0.597 0.557  -0.767 0.479  -0.945 0.452  -1.078 0.319  -1.211 0.186  -1.248 0.012  -1.408 -0.016  -1.413 -0.200  -1.413 -0.389  -1.366 -0.558  -1.226 -0.676  -1.038 -0.676  -0.849 -0.676  -0.661 -0.676  -0.472 -0.676  -0.283 -0.676  -0.143 -0.560  -0.009 -0.427  0.146 -0.346  0.236 -0.248  0.358 -0.181  0.401 -0.036  0.566 -0.012  0.594 0.149  0.731 0.200  0.731 0.389  0.662 0.548  0.566 0.698  0.489 0.809  0.401 0.707  0.401 0.519  0.401 0.330  0.401 0.141  0.423 -0.038  0.557 -0.171  0.573 -0.353  0.707 -0.486  0.731 -0.665  0.905 -0.685  1.038 -0.818  1.218 -0.841  1.387 -0.922  1.556 -1.006
