2#apb#apb12#app1219/R  -0.364 0.459  -0.394 0.266  -0.334 0.052  -0.302 -0.169  -0.269 -0.390  -0.237 -0.611  -0.205 -0.831  -0.173 -1.052  -0.141 -1.273  -0.051 -1.281  -0.073 -1.089  -0.170 -0.888  -0.267 -0.688  -0.364 -0.487  -0.462 -0.286  -0.559 -0.086  -0.656 0.115  -0.754 0.316  -0.851 0.517  -0.951 0.713  -1.047 0.811  -0.872 0.949  -0.697 1.088  -0.522 1.226  -0.347 1.364  -0.171 1.503  0.050 1.480  0.256 1.402  0.422 1.259  0.504 1.058  0.522 0.838  0.501 0.616  0.436 0.403  0.353 0.196  0.258 -0.005  0.143 -0.196  -0.019 -0.348  -0.223 -0.433  -0.326 -0.255  -0.174 -0.101  0.042 -0.077  0.254 -0.140  0.458 -0.228  0.646 -0.345  0.821 -0.483  0.995 -0.622  1.140 -0.791  1.257 -0.981  1.385 -1.164  1.530 -1.330
2#apb#apb12#app1219/a  0.497 0.467  0.519 0.622  0.513 0.777  0.422 0.905  0.296 0.997  0.160 1.072  0.014 1.131  -0.101 1.036  -0.214 0.927  -0.327 0.818  -0.439 0.709  -0.552 0.600  -0.665 0.491  -0.777 0.382  -0.890 0.273  -1.003 0.163  -1.115 0.054  -1.228 -0.055  -1.341 -0.164  -1.337 -0.312  -1.311 -0.466  -1.228 -0.599  -1.113 -0.703  -0.976 -0.767  -0.820 -0.779  -0.666 -0.763  -0.513 -0.727  -0.362 -0.686  -0.220 -0.620  -0.078 -0.554  0.058 -0.476  0.194 -0.397  0.292 -0.275  0.388 -0.151  0.476 -0.023  0.476 0.134  0.491 0.290  0.464 0.321  0.445 0.166  0.443 0.012  0.508 -0.130  0.599 -0.258  0.727 -0.348  0.867 -0.415  1.018 -0.458  1.171 -0.478  1.327 -0.468  1.483 -0.454  1.638 -0.425  1.792 -0.396
2#apb#apb12#app1219/j  0.231 0.742  0.226 0.847  0.298 0.723  0.345 0.564  0.391 0.405  0.438 0.246  0.485 0.086  0.532 -0.073  0.579 -0.232  0.625 -0.391  0.672 -0.550  0.719 -0.709  0.698 -0.839  0.549 -0.913  0.401 -0.986  0.236 -1.006  0.071 -1.025  -0.094 -1.042  -0.259 -1.027  -0.424 -1.013  -0.589 -0.992  -0.752 -0.963  -0.901 -0.903  -1.024 -0.795  -1.010 -0.649  -0.882 -0.550  -0.736 -0.471  -0.574 -0.441  -0.409 -0.429  -0.243 -0.429  -0.082 -0.466  0.075 -0.522  0.207 -0.616  0.191 -0.463  0.169 -0.299  0.146 -0.135  0.124 0.030  0.102 0.194  0.080 0.359  0.058 0.523  0.036 0.687  0.013 0.852  -0.009 1.016  -0.031 1.180  -0.053 1.345  -0.075 1.509  -0.097 1.674  -0.119 1.838  -0.142 2.002  -0.191 2.105
2#apb#apb12#app1219/S  -0.541 0.921  -0.426 0.837  -0.299 0.813  -0.161 0.846  -0.026 0.887  0.064 0.931  -0.065 0.990  -0.194 1.049  -0.323 1.108  -0.451 1.164  -0.573 1.091  -0.692 1.015  -0.797 0.920  -0.891 0.814  -0.970 0.698  -0.978 0.559  -0.897 0.443  -0.778 0.374  -0.647 0.319  -0.513 0.277  -0.374 0.246  -0.236 0.215  -0.098 0.183  0.040 0.150  0.177 0.117  0.313 0.078  0.449 0.036  0.584 -0.006  0.703 -0.081  0.819 -0.163  0.933 -0.247  1.045 -0.333  1.113 -0.455  1.137 -0.590  1.127 -0.731  1.054 -0.853  0.952 -0.948  0.840 -1.035  0.702 -1.064  0.563 -1.092  0.422 -1.094  0.280 -1.087  0.140 -1.073  -0.000 -1.050  -0.137 -1.017  -0.270 -0.968  -0.402 -0.916  -0.529 -0.852  -0.631 -0.757  -0.556 -0.670
2#apb#apb12#app1219/t  -0.155 -0.278  -0.132 -0.373  -0.056 -0.569  0.020 -0.765  0.096 -0.961  0.172 -1.157  0.248 -1.353  0.335 -1.543  0.484 -1.681  0.530 -1.505  0.508 -1.296  0.486 -1.087  0.463 -0.878  0.441 -0.669  0.419 -0.460  0.397 -0.251  0.374 -0.042  0.352 0.167  0.330 0.376  0.467 0.468  0.673 0.509  0.877 0.562  1.078 0.623  1.186 0.672  0.978 0.641  0.770 0.610  0.562 0.579  0.354 0.548  0.146 0.517  -0.062 0.486  -0.270 0.454  -0.478 0.423  -0.685 0.392  -0.893 0.361  -1.101 0.330  -1.309 0.299  -1.517 0.268  -1.713 0.265  -1.504 0.292  -1.296 0.319  -1.087 0.346  -0.879 0.373  -0.671 0.400  -0.462 0.427  -0.254 0.454  -0.045 0.481  0.163 0.508  0.372 0.535  0.580 0.562  0.706 0.615
2#apb#apb12#app1219/e  -0.957 0.571  -0.889 0.739  -0.786 0.605  -0.725 0.421  -0.664 0.236  -0.603 0.051  -0.542 -0.134  -0.482 -0.318  -0.421 -0.503  -0.360 -0.688  -0.302 -0.874  -0.242 -1.059  -0.121 -1.202  0.055 -1.262  0.249 -1.246  0.442 -1.222  0.629 -1.172  0.812 -1.106  0.986 -1.020  1.151 -0.917  1.229 -0.768  1.057 -0.693  0.873 -0.628  0.690 -0.562  0.507 -0.497  0.323 -0.432  0.140 -0.367  -0.043 -0.302  -0.227 -0.237  -0.355 -0.156  -0.179 -0.085  0.013 -0.053  0.204 -0.015  0.398 -0.001  0.376 0.085  0.229 0.213  0.083 0.341  -0.064 0.470  -0.210 0.598  -0.356 0.726  -0.503 0.854  -0.649 0.982  -0.735 1.100  -0.554 1.172  -0.373 1.244  -0.190 1.308  -0.005 1.369  0.177 1.438  0.360 1.498  0.555 1.498
2#apb#apb12#app1219/v  -1.537 0.561  -1.510 0.637  -1.437 0.552  -1.371 0.462  -1.315 0.365  -1.260 0.267  -1.189 0.183  -1.097 0.120  -1.005 0.056  -0.912 -0.008  -0.820 -0.071  -0.728 -0.135  -0.635 -0.198  -0.543 -0.262  -0.451 -0.326  -0.358 -0.389  -0.266 -0.453  -0.174 -0.517  -0.082 -0.580  0.011 -0.644  0.103 -0.708  0.195 -0.771  0.288 -0.835  0.380 -0.899  0.472 -0.962  0.565 -1.026  0.628 -0.945  0.689 -0.851  0.749 -0.757  0.785 -0.651  0.817 -0.544  0.849 -0.436  0.852 -0.327  0.836 -0.216  0.819 -0.105  0.803 0.006  0.768 0.112  0.729 0.218  0.691 0.323  0.653 0.428  0.609 0.532  0.562 0.633  0.514 0.735  0.466 0.836  0.421 0.938  0.367 1.035  0.288 1.114  0.232 1.211  0.246 1.194  0.304 1.098
2#apb#apb12#app1219/e  -1.113 0.857  -1.015 0.660  -0.952 0.450  -0.907 0.235  -0.895 0.016  -0.878 -0.204  -0.856 -0.423  -0.839 -0.642  -0.804 -0.840  -0.584 -0.849  -0.365 -0.858  -0.145 -0.868  0.075 -0.877  0.295 -0.887  0.514 -0.896  0.731 -0.872  0.941 -0.810  1.136 -0.711  1.349 -0.658  1.522 -0.538  1.312 -0.490  1.096 -0.447  0.881 -0.404  0.665 -0.361  0.449 -0.318  0.234 -0.274  0.018 -0.231  -0.198 -0.188  -0.414 -0.145  -0.629 -0.102  -0.608 -0.045  -0.399 0.023  -0.190 0.091  0.019 0.159  0.235 0.183  0.452 0.206  0.668 0.244  0.875 0.298  0.987 0.472  0.813 0.602  0.602 0.664  0.391 0.726  0.180 0.788  -0.031 0.851  -0.242 0.913  -0.453 0.975  -0.664 1.038  -0.875 1.100  -1.086 1.162  -1.297 1.224
2#apb#apb12#app1219/T  0.005 0.275  -0.028 0.452  0.013 0.290  0.055 0.114  0.098 -0.063  0.141 -0.239  0.183 -0.416  0.226 -0.593  0.269 -0.769  0.312 -0.946  0.357 -1.122  0.410 -1.295  0.470 -1.465  0.512 -1.407  0.570 -1.235  0.611 -1.070  0.485 -0.940  0.358 -0.809  0.232 -0.679  0.106 -0.548  -0.021 -0.418  -0.147 -0.287  -0.274 -0.157  -0.400 -0.026  -0.527 0.104  -0.653 0.234  -0.780 0.365  -0.906 0.495  -1.057 0.533  -1.232 0.487  -1.412 0.461  -1.515 0.378  -1.335 0.398  -1.154 0.418  -0.974 0.438  -0.793 0.459  -0.612 0.479  -0.432 0.499  -0.251 0.519  -0.071 0.539  0.110 0.559  0.291 0.579  0.471 0.599  0.652 0.619  0.832 0.639  1.013 0.659  1.194 0.679  1.374 0.699  1.555 0.719  1.669 0.796
2#apb#apb12#app1219/e  -1.201 0.673  -1.081 0.512  -0.994 0.322  -0.920 0.126  -0.868 -0.076  -0.843 -0.284  -0.743 -0.462  -0.618 -0.629  -0.492 -0.797  -0.366 -0.965  -0.240 -1.132  -0.037 -1.129  0.170 -1.099  0.378 -1.074  0.578 -1.029  0.763 -0.930  0.944 -0.827  1.106 -0.695  1.235 -0.533  1.308 -0.339  1.319 -0.135  1.110 -0.137  0.900 -0.139  0.690 -0.142  0.481 -0.144  0.271 -0.147  0.062 -0.149  -0.148 -0.152  -0.357 -0.154  -0.291 -0.082  -0.098 0.001  0.095 0.083  0.287 0.166  0.480 0.248  0.672 0.331  0.864 0.415  0.984 0.554  0.776 0.579  0.568 0.604  0.360 0.629  0.152 0.654  -0.056 0.679  -0.264 0.704  -0.472 0.729  -0.680 0.754  -0.888 0.779  -1.096 0.804  -1.298 0.832  -1.318 1.020  -1.180 1.178
2#apb#apb12#app1219/d  -0.182 0.728  -0.299 0.723  -0.299 0.522  -0.298 0.321  -0.289 0.120  -0.281 -0.080  -0.273 -0.281  -0.264 -0.481  -0.256 -0.682  -0.247 -0.883  -0.205 -1.035  -0.249 -0.865  -0.326 -0.679  -0.403 -0.494  -0.479 -0.308  -0.556 -0.123  -0.633 0.063  -0.710 0.248  -0.787 0.434  -0.864 0.619  -0.940 0.805  -0.968 0.997  -0.805 1.035  -0.605 1.029  -0.404 1.022  -0.203 1.016  -0.003 1.009  0.198 1.003  0.399 0.996  0.599 0.989  0.800 0.983  0.928 0.844  1.033 0.673  1.114 0.489  1.172 0.300  1.193 0.100  1.168 -0.094  1.101 -0.284  1.010 -0.462  0.912 -0.638  0.788 -0.795  0.657 -0.946  0.483 -1.042  0.300 -1.125  0.101 -1.149  -0.093 -1.134  -0.277 -1.054  -0.448 -0.951  -0.605 -0.829  -0.708 -0.656
2#apb#apb12#app1219/U  -1.495 1.069  -1.452 0.974  -1.386 0.853  -1.311 0.736  -1.244 0.615  -1.177 0.494  -1.110 0.372  -1.044 0.251  -0.977 0.130  -0.910 0.009  -0.843 -0.112  -0.776 -0.233  -0.709 -0.355  -0.642 -0.476  -0.575 -0.597  -0.508 -0.718  -0.441 -0.839  -0.335 -0.915  -0.207 -0.931  -0.082 -0.871  0.019 -0.782  0.092 -0.665  0.138 -0.535  0.184 -0.404  0.194 -0.266  0.201 -0.128  0.208 0.010  0.216 0.148  0.232 0.285  0.265 0.420  0.272 0.557  0.263 0.695  0.242 0.832  0.285 0.895  0.398 0.820  0.484 0.712  0.566 0.600  0.642 0.484  0.707 0.362  0.776 0.242  0.848 0.124  0.907 -0.001  0.955 -0.130  1.003 -0.260  1.049 -0.391  1.107 -0.516  1.164 -0.642  1.220 -0.764  1.271 -0.643  1.315 -0.512
2#apb#apb12#app1219/l  -0.790 1.220  -0.791 1.127  -0.793 1.035  -0.795 0.942  -0.797 0.850  -0.798 0.758  -0.800 0.665  -0.802 0.573  -0.804 0.480  -0.805 0.388  -0.807 0.295  -0.809 0.203  -0.809 0.111  -0.809 0.018  -0.809 -0.074  -0.809 -0.167  -0.809 -0.259  -0.809 -0.352  -0.808 -0.444  -0.778 -0.531  -0.725 -0.595  -0.655 -0.579  -0.577 -0.530  -0.493 -0.492  -0.408 -0.454  -0.321 -0.423  -0.233 -0.397  -0.144 -0.371  -0.055 -0.345  0.035 -0.327  0.126 -0.312  0.218 -0.297  0.309 -0.282  0.399 -0.264  0.490 -0.246  0.581 -0.228  0.670 -0.204  0.758 -0.176  0.847 -0.149  0.936 -0.126  1.026 -0.103  1.115 -0.080  1.201 -0.047  1.289 -0.020  1.381 -0.007  1.470 0.015  1.560 0.038  1.651 0.051  1.744 0.055  1.836 0.055
2#apb#apb12#app1219/l  -0.961 1.224  -0.943 1.145  -0.926 1.065  -0.918 0.985  -0.913 0.904  -0.908 0.823  -0.903 0.742  -0.894 0.662  -0.884 0.581  -0.875 0.500  -0.865 0.420  -0.856 0.339  -0.847 0.259  -0.838 0.178  -0.829 0.098  -0.816 0.018  -0.796 -0.061  -0.777 -0.140  -0.733 -0.193  -0.654 -0.208  -0.574 -0.223  -0.494 -0.239  -0.415 -0.254  -0.335 -0.269  -0.255 -0.284  -0.176 -0.299  -0.096 -0.314  -0.016 -0.329  0.063 -0.344  0.143 -0.359  0.223 -0.374  0.302 -0.389  0.382 -0.404  0.462 -0.419  0.541 -0.434  0.621 -0.450  0.700 -0.456  0.776 -0.428  0.852 -0.399  0.928 -0.371  1.004 -0.343  1.082 -0.320  1.160 -0.298  1.238 -0.276  1.315 -0.252  1.392 -0.226  1.469 -0.200  1.543 -0.168  1.614 -0.129  1.685 -0.089
2#apb#apb12#app1219/a  -1.366 0.718  -1.315 0.516  -1.287 0.308  -1.261 0.101  -1.234 -0.107  -1.204 -0.314  -1.158 -0.518  -1.082 -0.475  -0.988 -0.288  -0.894 -0.101  -0.801 0.087  -0.707 0.274  -0.614 0.461  -0.509 0.641  -0.377 0.804  -0.239 0.961  -0.084 1.101  0.065 1.248  0.253 1.189  0.392 1.037  0.498 0.857  0.582 0.665  0.658 0.470  0.728 0.273  0.797 0.075  0.867 -0.122  0.966 -0.306  1.042 -0.500  1.104 -0.700  1.195 -0.887  1.314 -1.060  1.240 -0.952  1.048 -0.868  0.856 -0.784  0.665 -0.701  0.473 -0.617  0.281 -0.533  0.089 -0.450  -0.103 -0.366  -0.295 -0.283  -0.487 -0.199  -0.679 -0.115  -0.536 -0.095  -0.327 -0.087  -0.117 -0.079  0.092 -0.072  0.301 -0.064  0.510 -0.056  0.719 -0.048  0.929 -0.040
