3#app#app31#app3125/W  -0.700 -0.160  -0.700 0.027  -0.700 0.214  -0.683 0.397  -0.599 0.564  -0.569 0.744  -0.569 0.930  -0.569 1.117  -0.457 1.258  -0.409 1.408  -0.308 1.322  -0.308 1.135  -0.308 0.948  -0.308 0.762  -0.308 0.575  -0.308 0.388  -0.308 0.201  -0.308 0.014  -0.308 -0.173  -0.308 -0.360  -0.396 -0.510  -0.438 -0.680  -0.438 -0.866  -0.438 -1.053  -0.555 -1.192  -0.532 -1.336  -0.438 -1.243  -0.333 -1.100  -0.308 -0.923  -0.253 -0.759  -0.177 -0.603  -0.173 -0.418  -0.046 -0.298  -0.046 -0.485  0.038 -0.637  0.170 -0.769  0.339 -0.813  0.473 -0.686  0.513 -0.516  0.645 -0.384  0.793 -0.291  0.918 -0.191  0.999 -0.023  1.044 0.146  1.130 0.297  1.184 0.471  1.260 0.640  1.312 0.806  1.391 0.960  1.391 1.146
3#app#app31#app3125/I  0.131 0.615  0.131 0.840  0.139 0.844  0.131 0.627  0.016 0.449  -0.017 0.238  -0.098 0.046  -0.098 -0.179  -0.098 -0.404  0.016 -0.515  0.110 -0.646  0.221 -0.760  0.331 -0.875  0.172 -0.931  -0.044 -0.996  -0.259 -1.061  -0.475 -1.125  -0.691 -1.190  -0.697 -1.130  -0.538 -0.971  -0.352 -0.875  -0.148 -0.785  0.071 -0.760  0.279 -0.686  0.494 -0.646  0.719 -0.646  0.944 -0.646  1.041 -0.757  0.842 -0.652  0.643 -0.546  0.444 -0.441  0.245 -0.336  0.046 -0.230  -0.153 -0.125  -0.352 -0.020  -0.551 0.086  -0.750 0.191  -0.900 0.326  -0.900 0.551  -0.879 0.771  -0.770 0.958  -0.582 1.047  -0.423 1.207  -0.237 1.302  -0.037 1.363  0.158 1.464  0.372 1.531  0.597 1.531  0.822 1.531  0.933 1.417
3#app#app31#app3125/T  0.248 0.166  0.248 0.313  0.248 0.229  0.248 0.083  0.159 0.025  0.159 -0.122  0.159 -0.268  0.144 -0.412  0.098 -0.552  0.070 -0.694  0.070 -0.840  0.070 -0.987  0.070 -1.134  0.070 -1.280  0.070 -1.427  0.206 -1.437  0.328 -1.425  0.241 -1.307  0.154 -1.189  0.067 -1.071  -0.020 -0.953  -0.107 -0.834  -0.194 -0.716  -0.281 -0.598  -0.368 -0.480  -0.455 -0.362  -0.542 -0.244  -0.629 -0.126  -0.716 -0.008  -0.803 0.110  -0.890 0.228  -0.910 0.368  -0.910 0.515  -0.861 0.612  -0.745 0.688  -0.618 0.758  -0.479 0.790  -0.337 0.809  -0.205 0.875  -0.064 0.912  0.078 0.948  0.216 0.997  0.348 1.057  0.495 1.057  0.642 1.057  0.778 1.100  0.914 1.146  1.057 1.154  1.170 1.235  1.317 1.235
3#app#app31#app3125/H  -0.532 1.015  -0.532 1.157  -0.532 0.874  -0.638 0.635  -0.638 0.353  -0.728 0.091  -0.744 -0.187  -0.744 -0.470  -0.851 -0.727  -0.851 -1.010  -0.851 -1.293  -0.727 -1.389  -0.612 -1.131  -0.496 -0.873  -0.380 -0.615  -0.265 -0.357  -0.149 -0.100  -0.034 0.158  0.082 0.416  0.197 0.674  0.313 0.932  0.429 1.190  0.544 1.448  0.636 1.592  0.636 1.310  0.636 1.027  0.636 0.745  0.605 0.466  0.536 0.192  0.530 -0.090  0.530 -0.373  0.530 -0.655  0.530 -0.938  0.609 -1.188  0.668 -1.427  0.589 -1.286  0.381 -1.094  0.174 -0.903  -0.034 -0.711  -0.242 -0.519  -0.449 -0.328  -0.638 -0.128  -0.638 0.155  -0.423 0.326  -0.159 0.405  0.105 0.484  0.363 0.590  0.645 0.590  0.928 0.590  1.060 0.378
3#app#app31#app3125/A  0.017 0.805  0.127 0.842  0.017 0.596  -0.149 0.364  -0.202 0.085  -0.337 -0.165  -0.422 -0.431  -0.556 -0.671  -0.713 -0.912  -0.860 -1.143  -0.970 -1.388  -0.998 -1.226  -0.966 -0.942  -0.836 -0.681  -0.679 -0.440  -0.583 -0.171  -0.507 0.110  -0.412 0.385  -0.282 0.645  -0.200 0.917  0.006 1.123  0.057 1.393  0.263 1.599  0.456 1.617  0.565 1.372  0.565 1.080  0.605 0.795  0.675 0.516  0.675 0.224  0.700 -0.064  0.771 -0.346  0.784 -0.636  0.846 -0.902  0.897 -1.172  1.088 -1.262  0.843 -1.105  0.598 -0.947  0.353 -0.789  0.108 -0.632  -0.138 -0.474  -0.383 -0.317  -0.531 -0.376  -0.629 -0.182  -0.641 0.097  -0.445 0.256  -0.232 0.446  0.002 0.585  0.293 0.585  0.579 0.572  0.784 0.366
3#app#app31#app3125/Q  0.427 0.861  0.321 1.023  0.209 1.180  -0.059 1.180  -0.217 1.065  -0.407 0.876  -0.633 0.745  -0.680 0.496  -0.870 0.307  -1.058 0.117  -1.058 -0.151  -1.058 -0.419  -1.013 -0.669  -0.770 -0.730  -0.502 -0.730  -0.234 -0.730  -0.006 -0.633  0.228 -0.505  0.441 -0.385  0.533 -0.139  0.639 0.086  0.639 0.354  0.639 0.622  0.563 0.877  0.427 1.096  0.345 1.345  0.149 1.498  0.002 1.376  -0.011 1.108  -0.025 0.841  -0.038 0.573  -0.051 0.305  -0.065 0.038  -0.078 -0.230  -0.092 -0.498  -0.078 -0.704  0.003 -0.470  -0.070 -0.232  -0.103 0.022  -0.144 0.119  -0.092 -0.104  0.003 -0.332  0.109 -0.557  0.176 -0.797  0.310 -1.026  0.398 -1.279  0.533 -1.499  0.666 -1.711  0.796 -1.897  0.852 -1.684
3#app#app31#app3125/U  -1.187 0.300  -1.048 0.337  -1.048 0.512  -1.048 0.688  -1.041 0.579  -0.908 0.535  -0.908 0.359  -0.908 0.184  -1.017 0.053  -1.048 -0.110  -1.048 -0.286  -1.001 -0.443  -0.908 -0.580  -0.908 -0.756  -0.791 -0.814  -0.660 -0.923  -0.497 -0.953  -0.371 -0.833  -0.219 -0.748  -0.064 -0.666  0.061 -0.541  0.086 -0.376  0.211 -0.252  0.335 -0.128  0.417 0.027  0.503 0.179  0.627 0.304  0.751 0.428  0.763 0.599  0.803 0.758  0.902 0.893  0.902 1.069  0.902 1.245  0.763 1.269  0.763 1.093  0.707 0.940  0.582 0.816  0.484 0.681  0.484 0.505  0.484 0.329  0.484 0.153  0.484 -0.022  0.484 -0.198  0.484 -0.374  0.484 -0.550  0.484 -0.726  0.484 -0.901  0.484 -1.077  0.598 -1.206  0.624 -1.371
3#app#app31#app3125/A  -0.372 0.897  -0.321 0.800  -0.372 0.535  -0.515 0.309  -0.578 0.039  -0.695 -0.221  -0.785 -0.491  -0.816 -0.772  -0.941 -1.006  -0.964 -1.282  -0.871 -1.178  -0.758 -0.971  -0.668 -0.723  -0.564 -0.481  -0.486 -0.222  -0.372 0.037  -0.297 0.305  -0.170 0.560  -0.042 0.816  0.093 1.066  0.268 1.287  0.411 1.531  0.517 1.503  0.517 1.217  0.517 0.931  0.517 0.646  0.582 0.387  0.666 0.136  0.666 -0.149  0.666 -0.435  0.761 -0.681  0.814 -0.944  0.851 -1.215  0.962 -1.454  0.765 -1.296  0.554 -1.103  0.343 -0.911  0.132 -0.719  -0.080 -0.527  -0.291 -0.335  -0.502 -0.143  -0.668 0.069  -0.668 0.355  -0.480 0.452  -0.247 0.577  0.029 0.600  0.315 0.600  0.600 0.600  0.865 0.549  1.110 0.452
3#app#app31#app3125/L  0.325 1.691  0.434 1.691  0.480 1.627  0.480 1.518  0.480 1.409  0.480 1.300  0.455 1.201  0.377 1.124  0.325 1.036  0.325 0.927  0.255 0.846  0.178 0.769  0.072 0.761  -0.008 0.714  -0.057 0.617  -0.106 0.519  -0.140 0.418  -0.140 0.308  -0.209 0.228  -0.286 0.150  -0.363 0.073  -0.440 -0.004  -0.518 -0.081  -0.595 -0.159  -0.672 -0.236  -0.750 -0.313  -0.760 -0.418  -0.760 -0.527  -0.760 -0.637  -0.760 -0.746  -0.760 -0.855  -0.739 -0.943  -0.629 -0.943  -0.520 -0.943  -0.411 -0.943  -0.302 -0.943  -0.192 -0.943  -0.100 -0.903  -0.022 -0.826  0.071 -0.788  0.181 -0.788  0.290 -0.788  0.377 -0.736  0.455 -0.659  0.553 -0.633  0.663 -0.633  0.772 -0.633  0.881 -0.633  0.990 -0.633  1.100 -0.633
3#app#app31#app3125/M  -0.780 0.916  -0.780 0.876  -0.897 0.651  -0.897 0.377  -1.000 0.127  -1.014 -0.144  -1.088 -0.400  -1.131 -0.664  -1.131 -0.938  -1.131 -1.212  -1.084 -1.127  -1.013 -0.862  -0.942 -0.597  -0.872 -0.333  -0.801 -0.068  -0.731 0.197  -0.663 0.462  -0.663 0.736  -0.663 0.823  -0.461 0.683  -0.341 0.477  -0.230 0.249  -0.119 0.021  0.038 -0.188  0.184 -0.335  0.364 -0.129  0.545 0.077  0.725 0.284  0.906 0.490  0.855 0.510  0.642 0.449  0.491 0.318  0.297 0.125  0.154 -0.090  0.038 -0.316  0.038 -0.381  0.222 -0.184  0.333 0.044  0.505 0.247  0.645 0.449  0.802 0.566  0.959 0.683  1.089 0.538  1.089 0.264  1.089 -0.009  1.155 -0.268  1.206 -0.530  1.290 -0.719  1.328 -0.958  1.439 -1.186
3#app#app31#app3125/T  0.348 -0.157  0.348 0.008  0.348 0.173  0.348 0.338  0.276 0.431  0.146 0.346  0.112 0.195  -0.005 0.078  -0.038 -0.073  -0.123 -0.204  -0.123 -0.369  -0.123 -0.534  -0.123 -0.699  -0.123 -0.864  -0.123 -1.030  -0.123 -1.195  -0.104 -1.353  0.013 -1.469  0.101 -1.550  0.016 -1.408  -0.069 -1.266  -0.154 -1.125  -0.239 -0.983  -0.324 -0.841  -0.409 -0.700  -0.494 -0.558  -0.579 -0.416  -0.664 -0.274  -0.749 -0.133  -0.834 0.009  -0.919 0.151  -0.946 0.308  -0.946 0.474  -0.861 0.577  -0.704 0.630  -0.545 0.667  -0.390 0.709  -0.242 0.783  -0.125 0.900  0.039 0.902  0.205 0.902  0.370 0.902  0.535 0.902  0.700 0.902  0.852 0.935  0.982 1.020  1.147 1.020  1.312 1.020  1.478 1.020  1.525 0.902
