1c#tos#f2#f2041064/a  0.135 0.883  0.135 0.799  0.135 0.977  0.069 1.129  0.001 1.277  -0.178 1.277  -0.356 1.277  -0.493 1.176  -0.526 1.011  -0.652 0.885  -0.720 0.722  -0.727 0.547  -0.851 0.420  -0.915 0.261  -0.982 0.103  -0.982 -0.076  -0.982 -0.254  -0.982 -0.433  -0.982 -0.612  -0.917 -0.763  -0.867 -0.891  -0.688 -0.891  -0.553 -0.821  -0.442 -0.684  -0.294 -0.585  -0.198 -0.440  -0.074 -0.312  0.014 -0.158  0.140 -0.032  0.284 0.070  0.332 0.219  0.407 0.367  0.507 0.511  0.465 0.620  0.352 0.555  0.332 0.396  0.332 0.217  0.332 0.039  0.332 -0.140  0.407 -0.272  0.463 -0.415  0.495 -0.563  0.607 -0.632  0.776 -0.689  0.928 -0.774  0.984 -0.943  1.144 -0.980  1.275 -1.070  1.402 -1.154  1.580 -1.154
1c#tos#f2#f2041064/c  0.498 1.097  0.386 1.097  0.275 1.097  0.222 1.157  0.111 1.157  0.024 1.098  -0.055 1.019  -0.147 0.962  -0.253 0.926  -0.350 0.894  -0.412 0.801  -0.485 0.719  -0.577 0.657  -0.645 0.576  -0.680 0.470  -0.726 0.369  -0.748 0.262  -0.795 0.176  -0.888 0.114  -0.926 0.023  -0.926 -0.089  -0.926 -0.200  -0.926 -0.312  -0.926 -0.423  -0.904 -0.526  -0.825 -0.605  -0.730 -0.661  -0.623 -0.682  -0.512 -0.682  -0.400 -0.682  -0.289 -0.682  -0.177 -0.682  -0.066 -0.682  0.046 -0.682  0.158 -0.682  0.269 -0.682  0.381 -0.682  0.492 -0.682  0.593 -0.635  0.701 -0.623  0.813 -0.623  0.896 -0.566  0.963 -0.477  1.030 -0.387  1.129 -0.337  1.229 -0.287  1.306 -0.211  1.368 -0.118  1.460 -0.065  1.565 -0.029
1c#tos#f2#f2041064/d  0.057 -0.101  0.017 0.097  -0.088 0.214  -0.149 0.409  -0.257 0.580  -0.471 0.580  -0.676 0.571  -0.782 0.422  -0.885 0.272  -0.956 0.071  -1.042 -0.122  -1.061 -0.329  -1.147 -0.507  -1.147 -0.721  -1.015 -0.833  -0.810 -0.810  -0.628 -0.733  -0.460 -0.602  -0.319 -0.472  -0.180 -0.312  -0.025 -0.173  0.131 -0.027  0.256 0.146  0.405 0.299  0.476 0.484  0.588 0.617  0.652 0.796  0.735 0.993  0.773 1.192  0.790 1.399  0.790 1.537  0.686 1.366  0.594 1.209  0.448 1.068  0.423 0.867  0.339 0.673  0.258 0.476  0.223 0.265  0.175 0.057  0.057 -0.112  0.057 -0.327  0.034 -0.537  0.005 -0.746  0.005 -0.960  0.106 -1.141  0.234 -1.272  0.413 -1.357  0.584 -1.462  0.791 -1.489  0.999 -1.514
1c#tos#f2#f2041064/g  0.029 0.731  0.136 0.722  0.242 0.851  0.242 1.055  0.242 1.260  0.079 1.375  -0.105 1.425  -0.308 1.419  -0.451 1.318  -0.505 1.136  -0.558 0.985  -0.558 0.780  -0.456 0.678  -0.368 0.529  -0.220 0.464  -0.034 0.508  0.167 0.517  0.298 0.652  0.396 0.818  0.379 0.678  0.349 0.503  0.349 0.299  0.296 0.117  0.296 -0.088  0.242 -0.284  0.242 -0.488  0.242 -0.692  0.139 -0.865  0.136 -1.069  0.136 -1.273  0.115 -1.457  -0.089 -1.457  -0.294 -1.457  -0.481 -1.402  -0.658 -1.300  -0.841 -1.209  -0.985 -1.103  -0.807 -1.042  -0.684 -0.889  -0.535 -0.752  -0.352 -0.660  -0.197 -0.530  -0.015 -0.437  0.152 -0.320  0.297 -0.176  0.475 -0.091  0.665 -0.018  0.852 0.062  1.052 0.090  1.256 0.090
1c#tos#f2#f2041064/h  -0.155 1.811  -0.276 1.739  -0.253 1.610  -0.253 1.458  -0.253 1.306  -0.253 1.154  -0.253 1.003  -0.262 0.853  -0.319 0.712  -0.352 0.567  -0.360 0.417  -0.420 0.278  -0.461 0.132  -0.491 -0.017  -0.518 -0.165  -0.549 -0.311  -0.581 -0.453  -0.647 -0.585  -0.696 -0.687  -0.696 -0.839  -0.790 -0.897  -0.795 -0.750  -0.771 -0.603  -0.746 -0.458  -0.746 -0.306  -0.638 -0.199  -0.556 -0.074  -0.452 0.036  -0.371 0.137  -0.247 0.214  -0.100 0.236  0.035 0.194  0.107 0.072  0.141 -0.065  0.141 -0.217  0.185 -0.350  0.190 -0.500  0.269 -0.601  0.375 -0.676  0.512 -0.700  0.663 -0.700  0.815 -0.700  0.967 -0.700  1.100 -0.665  1.188 -0.543  1.315 -0.459  1.423 -0.353  1.508 -0.230  1.609 -0.118  1.716 -0.010
1c#tos#f2#f2041064/k  -0.503 2.094  -0.597 2.017  -0.503 1.848  -0.503 1.650  -0.503 1.453  -0.503 1.255  -0.503 1.057  -0.503 0.859  -0.503 0.662  -0.503 0.464  -0.503 0.266  -0.503 0.069  -0.503 -0.129  -0.503 -0.327  -0.503 -0.525  -0.503 -0.722  -0.503 -0.920  -0.484 -1.113  -0.447 -1.302  -0.430 -1.219  -0.319 -1.056  -0.209 -0.892  -0.098 -0.728  0.013 -0.564  0.124 -0.401  0.235 -0.237  0.345 -0.073  0.456 0.091  0.567 0.255  0.678 0.418  0.789 0.582  0.819 0.608  0.646 0.566  0.519 0.453  0.345 0.429  0.250 0.283  0.165 0.116  0.103 -0.061  -0.051 -0.148  -0.164 -0.233  -0.199 -0.395  -0.157 -0.509  0.025 -0.575  0.196 -0.673  0.375 -0.735  0.573 -0.735  0.770 -0.735  0.912 -0.791  1.109 -0.791  1.194 -0.905
1c#tos#f2#f2041064/l  -0.876 -1.102  -0.976 -1.189  -1.030 -1.270  -0.938 -1.175  -0.821 -1.089  -0.698 -1.013  -0.588 -0.923  -0.493 -0.815  -0.376 -0.727  -0.308 -0.598  -0.217 -0.485  -0.114 -0.381  -0.026 -0.264  0.054 -0.142  0.129 -0.016  0.231 0.089  0.326 0.199  0.401 0.325  0.477 0.450  0.552 0.576  0.618 0.707  0.671 0.843  0.724 0.978  0.724 1.124  0.724 1.271  0.724 1.417  0.640 1.479  0.545 1.457  0.434 1.364  0.345 1.256  0.303 1.120  0.201 1.037  0.112 0.935  0.065 0.796  -0.005 0.668  -0.063 0.535  -0.076 0.391  -0.076 0.244  -0.112 0.102  -0.156 -0.037  -0.160 -0.183  -0.160 -0.329  -0.160 -0.476  -0.160 -0.622  -0.160 -0.769  -0.160 -0.915  -0.118 -1.044  -0.034 -1.131  0.007 -1.268  0.051 -1.397
1c#tos#f2#f2041064/r  -0.341 1.491  -0.458 1.475  -0.458 1.342  -0.409 1.221  -0.365 1.096  -0.341 0.967  -0.341 0.834  -0.341 0.702  -0.341 0.569  -0.343 0.436  -0.359 0.305  -0.375 0.173  -0.392 0.041  -0.399 -0.091  -0.405 -0.223  -0.431 -0.353  -0.457 -0.483  -0.458 -0.616  -0.458 -0.749  -0.458 -0.881  -0.460 -1.014  -0.502 -1.140  -0.516 -1.270  -0.516 -1.403  -0.516 -1.291  -0.516 -1.158  -0.472 -1.036  -0.399 -0.964  -0.358 -0.849  -0.283 -0.747  -0.283 -0.614  -0.189 -0.529  -0.083 -0.449  0.015 -0.360  0.117 -0.275  0.227 -0.202  0.323 -0.110  0.403 -0.006  0.481 0.097  0.602 0.119  0.676 0.229  0.741 0.345  0.833 0.435  0.944 0.504  1.041 0.572  1.114 0.683  1.178 0.794  1.310 0.794  1.443 0.794  1.576 0.794
1c#tos#f2#f2041064/v  -1.266 0.316  -1.355 0.250  -1.332 0.419  -1.170 0.448  -1.025 0.557  -0.907 0.705  -0.761 0.777  -0.597 0.843  -0.434 0.909  -0.410 0.742  -0.435 0.567  -0.542 0.442  -0.542 0.251  -0.612 0.073  -0.673 -0.106  -0.673 -0.297  -0.738 -0.472  -0.739 -0.663  -0.739 -0.854  -0.673 -1.017  -0.599 -1.133  -0.410 -1.131  -0.410 -0.940  -0.233 -0.877  -0.093 -0.750  -0.005 -0.596  0.087 -0.434  0.212 -0.343  0.315 -0.255  0.321 -0.066  0.407 0.105  0.519 0.257  0.599 0.421  0.637 0.608  0.683 0.789  0.768 0.960  0.776 1.064  0.776 0.873  0.776 0.683  0.776 0.492  0.710 0.328  0.710 0.137  0.710 -0.054  0.734 -0.235  0.842 -0.381  0.864 -0.563  1.030 -0.635  1.185 -0.738  1.376 -0.738  1.566 -0.738
1c#tos#f2#f2041064/w  -1.295 0.203  -1.503 0.101  -1.477 0.248  -1.296 0.408  -1.089 0.513  -0.968 0.729  -0.767 0.877  -0.548 0.971  -0.527 0.741  -0.559 0.498  -0.629 0.289  -0.732 0.112  -0.793 -0.124  -0.859 -0.359  -0.885 -0.603  -0.885 -0.854  -0.747 -0.851  -0.635 -0.636  -0.472 -0.458  -0.274 -0.309  -0.177 -0.155  -0.091 0.064  0.022 0.252  0.142 0.467  0.219 0.694  0.285 0.650  0.156 0.436  0.081 0.226  -0.025 0.013  -0.067 -0.233  -0.118 -0.475  -0.220 -0.695  -0.146 -0.871  0.052 -0.812  0.226 -0.645  0.424 -0.534  0.493 -0.311  0.692 -0.161  0.841 0.036  0.957 0.239  1.110 0.414  1.157 0.636  1.197 0.582  1.162 0.340  1.162 0.089  1.162 -0.161  1.254 -0.355  1.431 -0.462  1.679 -0.456  1.878 -0.308
1c#tos#f2#f2041064/y  -0.424 0.877  -0.541 0.800  -0.646 0.783  -0.539 0.728  -0.452 0.621  -0.352 0.522  -0.296 0.396  -0.213 0.287  -0.128 0.179  -0.064 0.073  0.035 0.006  0.111 -0.069  0.186 0.021  0.225 0.138  0.318 0.233  0.381 0.359  0.444 0.484  0.506 0.610  0.569 0.735  0.632 0.860  0.695 0.986  0.757 1.111  0.775 1.209  0.759 1.084  0.759 0.944  0.759 0.804  0.699 0.682  0.617 0.593  0.565 0.468  0.487 0.352  0.409 0.235  0.331 0.119  0.234 0.018  0.171 -0.108  0.088 -0.219  -0.003 -0.322  -0.037 -0.458  -0.110 -0.575  -0.198 -0.685  -0.280 -0.798  -0.361 -0.912  -0.449 -1.022  -0.533 -1.134  -0.605 -1.254  -0.675 -1.375  -0.755 -1.488  -0.843 -1.597  -0.928 -1.708  -1.041 -1.773  -1.040 -1.820
