1d#tos#t1#t1078062/#  -1.147 0.738  -1.242 0.512  -0.821 0.512  -0.399 0.512  0.022 0.512  0.431 0.568  0.796 0.625  1.007 0.581  0.621 0.413  0.234 0.244  -0.152 0.076  -0.539 -0.093  -0.925 -0.261  -1.260 -0.448  -0.893 -0.503  -0.472 -0.503  -0.050 -0.503  0.363 -0.473  0.759 -0.390  1.164 -0.315  1.138 -0.127  0.804 0.131  0.471 0.389  0.137 0.646  -0.197 0.904  -0.531 1.161  -0.753 1.074  -0.640 0.765  -0.640 0.344  -0.596 -0.071  -0.584 -0.490  -0.527 -0.903  -0.527 -1.325  -0.349 -1.599  -0.238 -1.192  -0.128 -0.785  -0.017 -0.378  0.094 0.028  0.205 0.435  0.316 0.842  0.427 1.249  0.375 1.326  0.375 0.904  0.375 0.483  0.452 0.075  0.488 -0.338  0.600 -0.713  0.657 -1.125  0.657 -1.547  0.657 -1.969
1d#tos#t1#t1078062/$  0.792 0.531  0.757 0.676  0.535 0.740  0.285 0.829  0.025 0.915  -0.239 0.966  -0.505 0.918  -0.658 0.738  -0.706 0.472  -0.617 0.260  -0.343 0.242  -0.169 0.118  0.102 0.097  0.311 -0.000  0.479 -0.145  0.695 -0.206  0.792 -0.386  0.889 -0.594  0.854 -0.856  0.695 -0.982  0.511 -1.111  0.282 -1.160  0.006 -1.160  -0.263 -1.133  -0.505 -1.001  -0.727 -0.918  -0.760 -0.695  -0.671 -0.433  -0.582 -0.171  -0.493 0.091  -0.404 0.352  -0.315 0.614  -0.226 0.876  -0.137 1.138  -0.048 1.400  0.041 1.662  -0.029 1.584  -0.029 1.307  -0.029 1.031  -0.029 0.754  -0.029 0.477  -0.029 0.201  0.019 -0.056  0.019 -0.333  0.019 -0.609  0.067 -0.874  0.067 -1.151  0.067 -1.428  0.116 -1.656  0.116 -1.933
1d#tos#t1#t1078062/%  0.973 1.126  0.754 1.057  0.613 0.820  0.470 0.578  0.439 0.299  0.255 0.093  0.054 -0.094  -0.066 -0.340  -0.149 -0.590  -0.240 -0.835  -0.353 -1.077  -0.416 -1.215  -0.416 -0.931  -0.416 -0.647  -0.416 -0.364  -0.416 -0.080  -0.416 0.204  -0.416 0.487  -0.416 0.771  -0.501 0.950  -0.764 0.859  -1.037 0.816  -1.156 0.608  -1.271 0.393  -1.218 0.131  -0.954 0.111  -0.731 0.176  -0.576 0.341  -0.523 0.572  -0.764 0.645  -0.950 0.743  -0.903 0.686  -0.642 0.576  -0.381 0.465  -0.120 0.354  0.141 0.243  0.402 0.132  0.664 0.021  0.925 -0.090  0.984 -0.220  0.866 -0.416  0.709 -0.634  0.706 -0.917  0.788 -1.118  1.063 -1.171  1.240 -1.024  1.347 -0.847  1.273 -0.637  1.096 -0.530  0.866 -0.477
1d#tos#t1#t1078062/'  0.765 1.352  0.683 1.352  0.601 1.352  0.519 1.352  0.456 1.333  0.456 1.251  0.456 1.169  0.456 1.087  0.456 1.005  0.456 0.923  0.408 0.889  0.326 0.889  0.301 0.831  0.301 0.749  0.234 0.734  0.152 0.734  0.147 0.657  0.147 0.575  0.147 0.493  0.147 0.411  0.147 0.329  0.147 0.247  0.147 0.165  0.147 0.083  0.147 0.001  0.117 -0.068  0.059 -0.126  0.001 -0.184  -0.078 -0.192  -0.160 -0.192  -0.206 -0.259  -0.252 -0.327  -0.297 -0.395  -0.343 -0.463  -0.388 -0.532  -0.434 -0.600  -0.471 -0.671  -0.471 -0.753  -0.471 -0.835  -0.471 -0.917  -0.471 -0.999  -0.471 -1.081  -0.471 -1.163  -0.471 -1.245  -0.471 -1.327  -0.471 -1.409  -0.471 -1.491  -0.471 -1.573  -0.398 -1.582  -0.316 -1.582
1d#tos#t1#t1078062/(  0.364 1.463  0.281 1.463  0.276 1.384  0.232 1.345  0.162 1.331  0.123 1.288  0.058 1.244  -0.001 1.185  -0.073 1.156  -0.118 1.119  -0.118 1.035  -0.147 0.980  -0.162 0.912  -0.198 0.840  -0.244 0.771  -0.294 0.707  -0.294 0.624  -0.294 0.541  -0.294 0.457  -0.351 0.397  -0.382 0.327  -0.382 0.244  -0.338 0.179  -0.338 0.095  -0.338 0.012  -0.338 -0.071  -0.264 -0.109  -0.250 -0.184  -0.236 -0.262  -0.177 -0.320  -0.162 -0.398  -0.162 -0.481  -0.125 -0.549  -0.068 -0.609  -0.022 -0.678  0.013 -0.751  0.013 -0.835  0.063 -0.887  0.138 -0.924  0.189 -0.976  0.189 -1.059  0.216 -1.136  0.253 -1.211  0.299 -1.279  0.368 -1.324  0.442 -1.362  0.519 -1.388  0.603 -1.388  0.653 -1.441  0.715 -1.476
1d#tos#t1#t1078062/)  -0.439 1.376  -0.522 1.376  -0.585 1.356  -0.580 1.278  -0.509 1.250  -0.483 1.180  -0.400 1.180  -0.341 1.156  -0.331 1.082  -0.292 1.038  -0.262 0.984  -0.179 0.984  -0.145 0.935  -0.119 0.856  -0.096 0.777  -0.055 0.719  0.011 0.673  0.048 0.598  0.085 0.524  0.100 0.444  0.132 0.381  0.198 0.338  0.198 0.255  0.233 0.180  0.295 0.149  0.295 0.065  0.328 -0.010  0.344 -0.090  0.344 -0.173  0.344 -0.256  0.344 -0.339  0.344 -0.423  0.344 -0.506  0.344 -0.589  0.344 -0.673  0.332 -0.753  0.295 -0.827  0.295 -0.911  0.257 -0.982  0.210 -1.052  0.155 -1.113  0.116 -1.186  0.057 -1.239  -0.014 -1.282  -0.047 -1.351  -0.117 -1.365  -0.170 -1.414  -0.223 -1.463  -0.243 -1.526  -0.243 -1.609
1d#tos#t1#t1078062/  0.933 1.302  0.915 1.243  0.875 1.206  0.875 1.129  0.801 1.126  0.724 1.126  0.699 1.074  0.649 1.018  0.611 0.951  0.571 0.892  0.494 0.892  0.465 0.844  0.465 0.767  0.465 0.690  0.465 0.613  0.420 0.554  0.365 0.500  0.331 0.433  0.307 0.360  0.269 0.302  0.194 0.283  0.119 0.264  0.055 0.237  0.055 0.160  0.034 0.088  -0.001 0.019  -0.035 -0.050  -0.072 -0.118  -0.114 -0.182  -0.157 -0.246  -0.206 -0.305  -0.260 -0.360  -0.308 -0.419  -0.342 -0.488  -0.396 -0.540  -0.460 -0.583  -0.524 -0.626  -0.552 -0.696  -0.577 -0.769  -0.589 -0.844  -0.589 -0.921  -0.613 -0.994  -0.637 -1.067  -0.687 -1.118  -0.756 -1.153  -0.812 -1.205  -0.826 -1.274  -0.882 -1.296  -0.882 -1.373  -0.882 -1.450
1d#tos#t1#t1078062/:  0.037 1.346  -0.078 1.346  -0.146 1.300  -0.146 1.186  -0.146 1.072  -0.146 0.957  -0.101 0.889  -0.055 0.820  -0.119 0.732  -0.222 0.706  -0.337 0.706  -0.421 0.736  -0.421 0.850  -0.421 0.965  -0.421 1.079  -0.390 1.163  -0.311 1.113  -0.272 1.006  -0.233 0.898  -0.194 0.791  -0.155 0.683  -0.116 0.576  -0.077 0.468  -0.037 0.361  0.002 0.253  0.041 0.146  0.080 0.038  0.119 -0.069  0.158 -0.177  0.197 -0.284  0.236 -0.391  0.275 -0.499  0.314 -0.606  0.353 -0.714  0.392 -0.821  0.319 -0.850  0.220 -0.865  0.220 -0.980  0.220 -1.094  0.304 -1.124  0.311 -1.231  0.311 -1.345  0.250 -1.399  0.220 -1.483  0.113 -1.490  0.010 -1.464  -0.055 -1.376  -0.009 -1.307  0.105 -1.307  0.220 -1.307
1d#tos#t1#t1078062/=  -0.861 0.878  -1.044 0.878  -1.139 0.736  -1.279 0.693  -1.262 0.570  -1.118 0.508  -0.935 0.508  -0.751 0.508  -0.568 0.508  -0.385 0.508  -0.202 0.508  -0.030 0.552  0.142 0.600  0.325 0.600  0.508 0.600  0.691 0.600  0.874 0.600  1.058 0.600  1.241 0.600  1.216 0.485  1.047 0.416  0.877 0.347  0.708 0.277  0.539 0.208  0.369 0.139  0.200 0.069  0.030 -0.000  -0.139 -0.069  -0.309 -0.139  -0.478 -0.208  -0.648 -0.277  -0.792 -0.374  -0.890 -0.512  -1.038 -0.596  -1.098 -0.697  -0.915 -0.697  -0.732 -0.697  -0.549 -0.697  -0.366 -0.697  -0.183 -0.697  0.000 -0.697  0.183 -0.697  0.364 -0.707  0.528 -0.789  0.711 -0.790  0.894 -0.790  1.077 -0.790  1.209 -0.667  1.366 -0.605  1.550 -0.605
1d#tos#t1#t1078062/>  -0.277 1.288  -0.378 1.288  -0.478 1.288  -0.577 1.284  -0.632 1.207  -0.627 1.111  -0.527 1.111  -0.446 1.084  -0.414 0.989  -0.355 0.920  -0.260 0.888  -0.171 0.843  -0.088 0.787  0.003 0.756  0.078 0.730  0.085 0.635  0.181 0.603  0.274 0.566  0.357 0.511  0.433 0.451  0.484 0.401  0.574 0.378  0.646 0.307  0.669 0.216  0.718 0.164  0.729 0.074  0.696 -0.019  0.641 -0.101  0.570 -0.172  0.499 -0.243  0.427 -0.314  0.363 -0.390  0.318 -0.480  0.314 -0.579  0.245 -0.633  0.151 -0.670  0.058 -0.707  -0.007 -0.775  -0.040 -0.868  -0.048 -0.963  -0.138 -1.008  -0.228 -1.053  -0.277 -1.123  -0.297 -1.216  -0.368 -1.287  -0.439 -1.358  -0.510 -1.429  -0.609 -1.433  -0.632 -1.510  -0.691 -1.551
1d#tos#t1#t1078062/?  -0.459 0.855  -0.568 0.855  -0.580 0.831  -0.580 0.940  -0.572 1.045  -0.484 1.096  -0.376 1.096  -0.275 1.128  -0.173 1.157  -0.065 1.157  0.044 1.157  0.145 1.126  0.247 1.096  0.305 1.015  0.329 0.916  0.385 0.863  0.414 0.766  0.490 0.689  0.505 0.587  0.505 0.479  0.442 0.433  0.339 0.410  0.247 0.355  0.204 0.264  0.133 0.192  0.024 0.192  -0.024 0.132  -0.072 0.071  -0.158 0.048  -0.158 -0.060  -0.158 -0.169  -0.158 -0.277  -0.123 -0.351  -0.092 -0.433  -0.064 -0.538  -0.036 -0.643  -0.008 -0.748  0.020 -0.853  0.048 -0.958  0.076 -1.063  0.104 -1.167  0.132 -1.272  0.098 -1.361  0.022 -1.437  -0.037 -1.521  0.014 -1.609  0.083 -1.653  -0.001 -1.677  -0.037 -1.605  -0.098 -1.557
