3#app#app31#app3140/!  -0.062 1.505  -0.066 1.581  -0.122 1.637  -0.134 1.589  -0.134 1.510  -0.134 1.431  -0.134 1.353  -0.134 1.274  -0.134 1.195  -0.134 1.117  -0.134 1.038  -0.134 0.959  -0.134 0.881  -0.134 0.802  -0.134 0.724  -0.134 0.645  -0.134 0.566  -0.134 0.488  -0.134 0.409  -0.134 0.330  -0.113 0.273  -0.057 0.246  -0.044 0.168  -0.030 0.091  -0.017 0.014  -0.003 -0.064  0.010 -0.141  0.024 -0.219  0.037 -0.296  0.051 -0.374  0.064 -0.451  0.078 -0.529  0.091 -0.606  0.105 -0.684  0.118 -0.761  0.132 -0.839  0.145 -0.916  0.159 -0.994  0.172 -1.071  0.185 -1.149  0.199 -1.226  0.212 -1.304  0.226 -1.381  0.228 -1.329  0.157 -1.322  0.150 -1.249  0.083 -1.238  0.071 -1.189  0.015 -1.245  0.083 -1.249
3#app#app31#app3140/@  0.501 0.235  0.257 0.235  0.013 0.235  -0.181 0.113  -0.282 -0.059  -0.355 -0.273  -0.214 -0.376  -0.093 -0.254  0.134 -0.236  0.232 -0.033  0.379 0.079  0.501 0.272  0.501 0.516  0.597 0.627  0.425 0.800  0.200 0.846  0.012 0.902  -0.166 0.968  -0.410 0.968  -0.638 0.930  -0.847 0.846  -0.968 0.722  -1.121 0.536  -1.210 0.313  -1.210 0.069  -1.210 -0.175  -1.093 -0.371  -1.088 -0.613  -0.966 -0.806  -0.844 -1.000  -0.749 -1.204  -0.567 -1.354  -0.323 -1.354  -0.079 -1.354  0.120 -1.245  0.348 -1.186  0.501 -1.036  0.638 -0.849  0.811 -0.677  0.867 -0.456  0.983 -0.260  1.040 -0.031  1.112 0.196  1.112 0.440  1.054 0.660  0.881 0.833  0.643 0.846  0.399 0.846  0.220 0.688  0.134 0.480
3#app#app31#app3140/#  -0.392 1.123  -0.392 0.742  -0.424 0.375  -0.536 0.040  -0.557 -0.332  -0.679 -0.662  -0.679 -1.043  -0.679 -1.424  -0.474 -1.600  -0.315 -1.312  -0.216 -0.944  -0.117 -0.576  -0.018 -0.208  0.081 0.159  0.180 0.527  0.279 0.895  0.378 1.263  0.477 1.630  0.576 1.998  0.611 1.879  0.611 1.498  0.611 1.117  0.611 0.736  0.611 0.355  0.611 -0.026  0.679 -0.378  0.885 -0.597  0.530 -0.575  0.150 -0.553  -0.231 -0.530  -0.611 -0.508  -0.991 -0.486  -1.371 -0.463  -1.470 -0.310  -1.148 -0.167  -0.767 -0.167  -0.394 -0.120  -0.029 -0.023  0.319 0.117  0.699 0.120  1.005 0.105  0.651 -0.036  0.298 -0.177  -0.056 -0.319  -0.374 -0.453  -0.136 -0.310  0.101 -0.167  0.339 -0.023  0.720 -0.023  1.041 -0.167
3#app#app31#app3140/$  0.401 1.099  0.264 1.209  0.016 1.209  -0.176 1.074  -0.380 0.974  -0.500 0.767  -0.594 0.612  -0.594 0.364  -0.524 0.145  -0.348 -0.030  -0.173 -0.206  0.043 -0.325  0.277 -0.386  0.498 -0.497  0.732 -0.559  0.706 -0.780  0.474 -0.818  0.291 -0.925  0.119 -1.001  -0.129 -1.001  -0.267 -1.112  -0.515 -1.112  -0.576 -0.945  -0.500 -0.708  -0.424 -0.472  -0.349 -0.236  -0.273 0.000  -0.198 0.237  -0.122 0.473  -0.046 0.709  0.029 0.945  0.105 1.182  0.180 1.418  0.256 1.654  0.291 1.627  0.291 1.379  0.256 1.139  0.180 0.909  0.180 0.661  0.170 0.415  0.070 0.191  0.070 -0.057  0.070 -0.305  0.070 -0.553  0.070 -0.801  0.070 -1.049  0.070 -1.297  0.070 -1.545  0.083 -1.788  0.291 -1.885
3#app#app31#app3140/%  -0.610 0.955  -0.811 0.862  -1.012 0.770  -1.158 0.677  -1.260 0.485  -1.151 0.290  -0.944 0.213  -0.705 0.213  -0.504 0.306  -0.358 0.398  -0.332 0.612  -0.425 0.758  -0.522 0.955  -0.703 0.897  -0.597 0.805  -0.370 0.880  -0.143 0.956  0.084 1.032  0.311 1.107  0.538 1.183  0.688 1.153  0.688 0.914  0.666 0.678  0.608 0.446  0.510 0.228  0.403 0.014  0.284 -0.191  0.155 -0.389  0.048 -0.603  -0.132 -0.754  -0.323 -0.892  -0.452 -1.053  -0.517 -1.252  -0.401 -1.340  -0.231 -1.171  -0.062 -1.002  0.107 -0.832  0.276 -0.663  0.445 -0.494  0.614 -0.325  0.688 -0.385  0.556 -0.569  0.503 -0.787  0.503 -1.026  0.682 -1.086  0.815 -0.959  0.967 -0.783  0.967 -0.544  0.928 -0.344  0.688 -0.344
3#app#app31#app3140/^  -0.197 -0.588  -0.010 -0.588  0.058 -0.468  0.020 -0.296  -0.113 -0.163  -0.197 -0.010  -0.198 0.177  -0.386 0.177  -0.453 0.056  -0.506 -0.078  -0.694 -0.078  -0.708 -0.252  -0.708 -0.440  -0.708 -0.628  -0.708 -0.816  -0.868 -0.843  -0.963 -0.750  -0.963 -0.563  -0.963 -0.375  -0.963 -0.187  -0.907 -0.022  -0.774 0.110  -0.708 0.270  -0.708 0.458  -0.708 0.646  -0.604 0.791  -0.471 0.923  -0.453 1.103  -0.358 1.197  -0.171 1.197  0.017 1.197  0.162 1.093  0.294 0.960  0.313 0.780  0.313 0.592  0.313 0.404  0.313 0.217  0.461 0.177  0.568 0.096  0.568 -0.092  0.568 -0.279  0.662 -0.428  0.795 -0.561  0.971 -0.588  1.159 -0.588  1.347 -0.588  1.534 -0.588  1.722 -0.588  1.910 -0.588  2.098 -0.588
3#app#app31#app3140/&  1.138 -0.964  1.023 -0.853  0.796 -0.853  0.583 -0.839  0.454 -0.742  0.228 -0.742  0.009 -0.723  -0.180 -0.631  -0.360 -0.520  -0.541 -0.409  -0.656 -0.298  -0.749 -0.164  -0.749 0.063  -0.749 0.289  -0.683 0.500  -0.638 0.716  -0.546 0.904  -0.416 1.077  -0.304 1.257  -0.123 1.367  0.049 1.499  0.238 1.589  0.434 1.662  0.583 1.638  0.553 1.419  0.440 1.225  0.359 1.032  0.199 0.872  0.038 0.712  -0.043 0.519  -0.200 0.356  -0.301 0.154  -0.416 -0.026  -0.541 -0.201  -0.638 -0.387  -0.638 -0.613  -0.638 -0.840  -0.527 -0.955  -0.309 -0.964  -0.082 -0.964  0.144 -0.964  0.371 -0.964  0.583 -0.949  0.602 -0.742  0.694 -0.607  0.596 -0.421  0.486 -0.298  0.259 -0.298  0.139 -0.404  0.028 -0.520
3#app#app31#app3140/*  -0.908 -0.444  -0.870 -0.119  -0.507 -0.119  -0.178 -0.200  0.150 -0.282  0.477 -0.368  0.808 -0.444  1.171 -0.444  1.371 -0.607  1.422 -0.430  1.236 -0.120  1.049 0.191  0.863 0.502  0.676 0.813  0.429 1.017  0.391 0.693  0.229 0.368  0.229 0.006  0.067 -0.289  -0.080 -0.591  -0.337 -0.848  -0.593 -1.104  -0.849 -1.360  -1.033 -1.168  -1.195 -0.844  -1.357 -0.520  -1.395 -0.166  -1.146 0.043  -0.851 0.205  -0.516 0.272  -0.193 0.368  0.170 0.368  0.532 0.368  0.895 0.368  1.257 0.368  1.129 0.459  0.790 0.589  0.452 0.719  0.113 0.849  -0.225 0.980  -0.563 1.110  -0.904 1.176  -0.745 0.879  -0.534 0.595  -0.421 0.260  -0.421 -0.103  -0.258 -0.398  -0.096 -0.598  0.040 -0.905  0.229 -1.094
3#app#app31#app3140/(  0.321 1.329  0.261 1.389  0.200 1.449  0.115 1.449  0.080 1.399  0.065 1.329  -0.020 1.329  -0.040 1.263  -0.062 1.187  -0.122 1.127  -0.170 1.059  -0.197 0.978  -0.224 0.897  -0.251 0.816  -0.278 0.735  -0.281 0.650  -0.281 0.565  -0.284 0.480  -0.322 0.404  -0.360 0.328  -0.398 0.252  -0.401 0.167  -0.401 0.082  -0.401 -0.003  -0.401 -0.089  -0.401 -0.174  -0.401 -0.259  -0.401 -0.345  -0.401 -0.430  -0.375 -0.504  -0.314 -0.564  -0.281 -0.636  -0.278 -0.719  -0.202 -0.758  -0.126 -0.796  -0.049 -0.834  0.013 -0.891  0.073 -0.952  0.155 -0.959  0.229 -0.987  0.289 -1.048  0.361 -1.079  0.447 -1.079  0.532 -1.079  0.617 -1.079  0.702 -1.079  0.788 -1.079  0.873 -1.079  0.958 -1.079  1.044 -1.079
3#app#app31#app3140/)  -0.531 1.271  -0.531 1.359  -0.492 1.407  -0.404 1.407  -0.395 1.329  -0.365 1.271  -0.278 1.271  -0.211 1.223  -0.149 1.161  -0.088 1.099  -0.026 1.038  0.036 0.976  0.097 0.914  0.147 0.847  0.147 0.760  0.187 0.689  0.248 0.628  0.310 0.566  0.372 0.504  0.418 0.436  0.418 0.349  0.418 0.262  0.418 0.174  0.418 0.087  0.418 -0.000  0.418 -0.088  0.418 -0.175  0.376 -0.220  0.288 -0.220  0.282 -0.301  0.259 -0.379  0.197 -0.440  0.147 -0.507  0.147 -0.594  0.108 -0.665  0.046 -0.727  -0.006 -0.796  -0.045 -0.874  -0.084 -0.952  -0.123 -1.030  -0.208 -1.033  -0.260 -1.068  -0.260 -1.156  -0.312 -1.221  -0.374 -1.283  -0.395 -1.361  -0.386 -1.439  -0.299 -1.439  -0.260 -1.488  -0.260 -1.575
3#app#app31#app3140/`  -0.502 0.119  -0.502 0.221  -0.502 0.322  -0.502 0.424  -0.502 0.525  -0.502 0.626  -0.502 0.728  -0.502 0.829  -0.502 0.931  -0.591 0.943  -0.693 0.943  -0.794 0.943  -0.895 0.943  -0.831 0.943  -0.730 0.943  -0.629 0.943  -0.527 0.943  -0.502 0.867  -0.502 0.765  -0.502 0.664  -0.502 0.562  -0.452 0.482  -0.381 0.410  -0.309 0.338  -0.237 0.266  -0.166 0.195  -0.094 0.123  -0.047 0.033  -0.002 -0.057  0.044 -0.148  0.089 -0.239  0.134 -0.330  0.180 -0.420  0.225 -0.511  0.270 -0.602  0.316 -0.692  0.410 -0.705  0.511 -0.705  0.612 -0.705  0.714 -0.705  0.791 -0.762  0.863 -0.834  0.935 -0.906  1.007 -0.977  1.078 -1.049  1.146 -1.123  1.146 -1.224  1.146 -1.326  1.146 -1.427  1.146 -1.528
