1d#apb#apb17#app1791/.  -0.890 -1.719  -0.890 -1.446  -0.890 -1.173  -0.828 -0.910  -0.742 -0.652  -0.656 -0.393  -0.546 -0.166  -0.274 -0.166  -0.114 -0.053  -0.167 0.198  -0.141 0.300  -0.114 0.054  -0.114 -0.219  -0.276 -0.375  -0.534 -0.461  -0.580 -0.701  -0.580 -0.974  -0.580 -1.247  -0.580 -1.297  -0.420 -1.400  -0.298 -1.156  -0.176 -0.912  -0.092 -0.656  -0.047 -0.386  -0.002 -0.117  0.044 0.151  0.166 0.395  0.288 0.639  0.410 0.883  0.532 1.127  0.654 1.371  0.743 1.629  0.844 1.827  0.933 1.617  0.814 1.372  0.748 1.108  0.682 0.843  0.601 0.582  0.515 0.324  0.429 0.065  0.352 -0.195  0.205 -0.321  0.197 -0.367  0.197 -0.094  0.197 0.178  0.197 0.451  0.197 0.724  0.197 0.846  0.197 0.573  0.197 0.300
1d#apb#apb17#app1791/,  0.366 0.590  0.407 0.671  0.447 0.753  0.453 0.842  0.473 0.930  0.507 1.014  0.546 1.096  0.597 1.170  0.599 1.201  0.599 1.110  0.604 1.020  0.617 0.929  0.630 0.839  0.640 0.749  0.650 0.658  0.657 0.567  0.657 0.476  0.657 0.385  0.657 0.294  0.644 0.204  0.627 0.115  0.609 0.026  0.582 -0.061  0.545 -0.144  0.508 -0.227  0.458 -0.298  0.378 -0.342  0.298 -0.386  0.218 -0.429  0.136 -0.469  0.051 -0.500  -0.035 -0.530  -0.121 -0.561  -0.207 -0.591  -0.294 -0.617  -0.382 -0.640  -0.471 -0.662  -0.559 -0.684  -0.647 -0.706  -0.736 -0.721  -0.827 -0.715  -0.918 -0.710  -1.009 -0.705  -1.100 -0.699  -1.191 -0.694  -1.282 -0.698  -1.373 -0.704  -1.464 -0.710  -1.555 -0.716  -1.645 -0.722
1d#apb#apb17#app1791/;  -0.030 0.910  0.019 0.997  0.064 1.086  0.089 1.154  0.059 1.067  0.023 0.974  -0.021 0.885  -0.064 0.803  -0.070 0.837  -0.042 0.933  -0.000 1.023  0.053 1.107  0.101 1.195  0.162 1.273  0.162 1.174  0.128 1.081  0.109 0.983  0.095 0.884  0.082 0.785  0.069 0.686  0.055 0.587  0.042 0.488  0.028 0.389  0.015 0.290  0.002 0.191  -0.012 0.092  -0.025 -0.007  -0.039 -0.106  -0.052 -0.198  -0.030 -0.170  0.035 -0.246  0.097 -0.323  0.147 -0.410  0.178 -0.504  0.200 -0.601  0.222 -0.699  0.210 -0.797  0.190 -0.895  0.152 -0.986  0.105 -1.074  0.058 -1.162  0.000 -1.243  -0.068 -1.316  -0.135 -1.390  -0.203 -1.463  -0.278 -1.529  -0.355 -1.593  -0.432 -1.657  -0.509 -1.720  -0.586 -1.784
1d#apb#apb17#app1791/:  0.035 1.044  -0.024 1.118  0.014 1.212  0.078 1.266  0.131 1.315  0.147 1.377  0.162 1.283  0.179 1.220  0.172 1.149  0.162 1.209  0.162 1.310  0.162 1.312  0.155 1.212  0.128 1.115  0.116 1.014  0.105 0.914  0.093 0.813  0.081 0.713  0.070 0.613  0.058 0.512  0.046 0.412  0.035 0.311  0.023 0.211  0.011 0.111  -0.000 0.010  -0.012 -0.090  -0.024 -0.191  -0.035 -0.291  -0.047 -0.392  -0.058 -0.492  -0.070 -0.592  -0.082 -0.693  -0.093 -0.793  -0.105 -0.894  -0.117 -0.994  -0.097 -1.017  -0.037 -0.936  -0.077 -0.981  -0.130 -1.064  -0.175 -1.154  -0.187 -1.253  -0.206 -1.351  -0.250 -1.419  -0.225 -1.414  -0.174 -1.327  -0.122 -1.240  -0.057 -1.162  0.008 -1.085  0.035 -0.994  0.035 -0.956
1d#apb#apb17#app1791/$  0.873 0.211  1.074 0.401  0.987 0.589  0.711 0.621  0.435 0.614  0.159 0.590  -0.116 0.554  -0.391 0.518  -0.668 0.500  -0.710 0.356  -0.450 0.262  -0.185 0.180  0.082 0.107  0.343 0.015  0.596 -0.099  0.799 -0.275  0.730 -0.520  0.496 -0.663  0.248 -0.787  -0.011 -0.885  -0.272 -0.981  -0.533 -1.073  -0.804 -1.114  -1.043 -1.060  -0.953 -0.800  -0.815 -0.561  -0.655 -0.335  -0.495 -0.108  -0.334 0.118  -0.174 0.345  -0.014 0.571  0.146 0.798  0.307 1.024  0.467 1.251  0.627 1.477  0.762 1.625  0.716 1.359  0.586 1.113  0.450 0.872  0.310 0.633  0.169 0.393  0.045 0.145  -0.079 -0.103  -0.202 -0.352  -0.322 -0.602  -0.443 -0.852  -0.537 -1.112  -0.614 -1.378  -0.645 -1.653  -0.651 -1.930
1d#apb#apb17#app1791/#  -0.140 0.587  0.024 0.876  -0.136 0.500  -0.310 0.131  -0.515 -0.223  -0.710 -0.582  -0.954 -0.907  -1.051 -1.054  -0.762 -0.765  -0.473 -0.476  -0.184 -0.187  0.105 0.102  0.394 0.391  0.683 0.680  0.972 0.969  0.877 0.807  0.642 0.473  0.425 0.127  0.237 -0.236  0.076 -0.612  -0.098 -0.981  -0.330 -1.257  -0.604 -0.953  -0.877 -0.650  -1.151 -0.346  -1.425 -0.043  -1.344 0.210  -0.950 0.314  -0.546 0.379  -0.142 0.443  0.261 0.507  0.662 0.588  1.064 0.657  1.471 0.698  1.871 0.779  1.842 0.611  1.458 0.472  1.071 0.341  0.684 0.210  0.297 0.079  -0.091 -0.051  -0.478 -0.182  -0.865 -0.313  -1.252 -0.443  -0.965 -0.427  -0.561 -0.365  -0.156 -0.307  0.251 -0.268  0.653 -0.197  1.051 -0.105
1d#apb#apb17#app1791/&  0.389 0.576  0.343 0.757  0.091 0.793  -0.167 0.769  -0.422 0.725  -0.671 0.651  -0.911 0.554  -1.078 0.369  -0.970 0.149  -0.739 0.052  -0.483 0.006  -0.228 -0.041  0.031 -0.052  0.056 -0.060  -0.194 -0.131  -0.442 -0.206  -0.682 -0.296  -0.862 -0.479  -0.923 -0.724  -0.826 -0.944  -0.630 -1.113  -0.379 -1.148  -0.119 -1.147  0.138 -1.122  0.381 -1.031  0.480 -0.824  0.517 -0.567  0.555 -0.311  0.592 -0.054  0.629 0.203  0.666 0.460  0.704 0.717  0.741 0.974  0.778 1.231  0.816 1.488  0.880 1.659  0.795 1.414  0.704 1.171  0.616 0.927  0.528 0.682  0.431 0.442  0.330 0.203  0.224 -0.034  0.108 -0.267  -0.012 -0.496  -0.146 -0.719  -0.242 -0.959  -0.353 -1.190  -0.502 -1.400  -0.542 -1.653
1d#apb#apb17#app1791/!  0.407 1.219  0.390 1.289  0.384 1.360  0.384 1.432  0.384 1.436  0.384 1.364  0.384 1.292  0.380 1.220  0.373 1.148  0.366 1.076  0.351 1.006  0.327 0.938  0.302 0.870  0.278 0.803  0.254 0.735  0.238 0.664  0.225 0.594  0.212 0.523  0.196 0.453  0.167 0.387  0.138 0.321  0.109 0.255  0.088 0.186  0.068 0.117  0.047 0.048  0.022 -0.020  -0.004 -0.087  -0.030 -0.155  -0.056 -0.222  -0.082 -0.289  -0.108 -0.356  -0.135 -0.423  -0.161 -0.490  -0.188 -0.557  -0.214 -0.624  -0.241 -0.691  -0.267 -0.758  -0.294 -0.826  -0.320 -0.893  -0.347 -0.960  -0.373 -1.027  -0.400 -1.094  -0.426 -1.161  -0.453 -1.228  -0.461 -1.298  -0.461 -1.370  -0.461 -1.443  -0.461 -1.515  -0.461 -1.587  -0.461 -1.659
1d#apb#apb17#app1791/?  -0.602 0.596  -0.647 0.688  -0.647 0.791  -0.581 0.852  -0.486 0.893  -0.387 0.914  -0.284 0.921  -0.181 0.928  -0.079 0.931  0.024 0.926  0.127 0.920  0.230 0.914  0.331 0.902  0.432 0.879  0.532 0.856  0.631 0.828  0.727 0.792  0.824 0.757  0.876 0.672  0.903 0.575  0.875 0.488  0.788 0.432  0.701 0.377  0.615 0.321  0.533 0.259  0.453 0.194  0.373 0.129  0.293 0.064  0.212 0.002  0.124 -0.051  0.035 -0.104  -0.053 -0.157  -0.131 -0.221  -0.193 -0.304  -0.252 -0.388  -0.298 -0.480  -0.344 -0.572  -0.380 -0.668  -0.392 -0.767  -0.372 -0.868  -0.358 -0.969  -0.375 -1.070  -0.393 -1.172  -0.410 -1.273  -0.427 -1.375  -0.445 -1.476  -0.462 -1.578  -0.482 -1.679  -0.512 -1.775  -0.467 -1.852
1d#apb#apb17#app1791/  0.633 0.479  0.696 0.527  0.749 0.586  0.795 0.650  0.840 0.716  0.881 0.784  0.928 0.848  0.978 0.910  1.021 0.976  0.977 0.926  0.927 0.864  0.878 0.802  0.828 0.740  0.770 0.685  0.712 0.630  0.655 0.576  0.597 0.521  0.539 0.466  0.481 0.412  0.422 0.358  0.362 0.306  0.302 0.254  0.242 0.202  0.181 0.150  0.121 0.098  0.061 0.046  0.001 -0.007  -0.060 -0.058  -0.122 -0.108  -0.183 -0.159  -0.245 -0.209  -0.306 -0.260  -0.368 -0.310  -0.430 -0.360  -0.491 -0.411  -0.552 -0.462  -0.612 -0.515  -0.672 -0.567  -0.732 -0.619  -0.792 -0.671  -0.852 -0.724  -0.912 -0.776  -0.972 -0.828  -1.029 -0.883  -1.080 -0.945  -1.131 -1.006  -1.182 -1.067  -1.233 -1.128  -1.284 -1.189  -1.335 -1.250
1d#apb#apb17#app1791/'  -0.466 0.181  -0.441 0.273  -0.415 0.365  -0.390 0.457  -0.365 0.549  -0.340 0.641  -0.315 0.733  -0.290 0.825  -0.265 0.917  -0.240 1.010  -0.210 1.100  -0.167 1.185  -0.107 1.251  -0.017 1.281  0.074 1.311  0.125 1.261  0.155 1.170  0.185 1.080  0.186 0.985  0.186 0.889  0.186 0.794  0.186 0.698  0.186 0.603  0.186 0.507  0.186 0.412  0.186 0.317  0.186 0.221  0.186 0.126  0.186 0.030  0.186 -0.065  0.186 -0.161  0.186 -0.256  0.181 -0.351  0.171 -0.446  0.160 -0.541  0.150 -0.636  0.139 -0.731  0.128 -0.826  0.118 -0.920  0.107 -1.015  0.086 -1.108  0.061 -1.200  0.036 -1.292  0.011 -1.384  -0.014 -1.476  -0.039 -1.569  -0.065 -1.661  -0.090 -1.753  -0.115 -1.845  -0.140 -1.937
