2#apb#apb12#app1224/D  -0.250 1.071  -0.212 0.907  -0.177 0.687  -0.101 0.476  -0.024 0.266  0.052 0.055  0.128 -0.156  0.204 -0.367  0.281 -0.578  0.395 -0.733  0.368 -0.580  0.213 -0.418  0.057 -0.257  -0.098 -0.096  -0.254 0.065  -0.410 0.227  -0.565 0.388  -0.721 0.549  -0.877 0.710  -1.032 0.872  -1.228 0.906  -1.434 0.957  -1.219 0.891  -1.005 0.826  -0.791 0.760  -0.576 0.694  -0.362 0.629  -0.148 0.563  0.067 0.498  0.281 0.432  0.495 0.366  0.710 0.301  0.924 0.235  1.138 0.169  1.353 0.104  1.474 -0.022  1.432 -0.242  1.345 -0.443  1.189 -0.603  1.013 -0.742  0.813 -0.838  0.602 -0.911  0.386 -0.971  0.167 -1.014  -0.057 -1.014  -0.281 -1.003  -0.504 -0.980  -0.721 -0.929  -0.936 -0.874  -1.103 -0.832
2#apb#apb12#app1224/o  -0.578 0.185  -0.717 0.239  -0.707 0.390  -0.583 0.459  -0.428 0.495  -0.273 0.531  -0.119 0.567  0.036 0.603  0.190 0.639  0.345 0.674  0.500 0.710  0.654 0.746  0.809 0.782  0.955 0.801  1.022 0.657  1.088 0.513  1.141 0.363  1.194 0.214  1.197 0.055  1.190 -0.103  1.162 -0.259  1.126 -0.412  1.047 -0.550  0.962 -0.683  0.854 -0.800  0.734 -0.896  0.582 -0.940  0.426 -0.961  0.267 -0.961  0.110 -0.945  -0.043 -0.904  -0.196 -0.862  -0.344 -0.807  -0.490 -0.743  -0.636 -0.680  -0.778 -0.610  -0.919 -0.536  -1.058 -0.461  -1.159 -0.338  -1.238 -0.205  -1.252 -0.053  -1.187 0.092  -1.078 0.203  -0.954 0.303  -0.827 0.397  -0.688 0.473  -0.549 0.550  -0.407 0.622  -0.264 0.690  -0.120 0.758
2#apb#apb12#app1224/e  -0.926 0.970  -0.852 0.837  -0.789 0.698  -0.768 0.547  -0.749 0.395  -0.753 0.243  -0.760 0.090  -0.766 -0.062  -0.766 -0.215  -0.763 -0.366  -0.627 -0.435  -0.491 -0.504  -0.355 -0.573  -0.218 -0.642  -0.082 -0.712  0.054 -0.781  0.190 -0.850  0.327 -0.919  0.463 -0.988  0.599 -1.025  0.733 -0.952  0.873 -0.894  1.018 -0.845  1.151 -0.771  1.284 -0.696  1.373 -0.598  1.263 -0.504  1.125 -0.439  0.987 -0.373  0.849 -0.307  0.711 -0.242  0.573 -0.176  0.435 -0.110  0.297 -0.045  0.160 0.021  0.166 0.067  0.316 0.092  0.232 0.194  0.126 0.303  0.020 0.413  -0.087 0.522  -0.193 0.632  -0.300 0.742  -0.406 0.851  -0.513 0.961  -0.619 1.070  -0.726 1.180  -0.832 1.289  -0.939 1.399  -1.045 1.508
2#apb#apb12#app1224/F  -0.893 0.540  -0.710 0.425  -0.607 0.182  -0.512 -0.063  -0.442 -0.318  -0.399 -0.579  -0.355 -0.839  -0.312 -1.100  -0.268 -1.361  -0.225 -1.622  -0.259 -1.490  -0.335 -1.237  -0.407 -0.983  -0.473 -0.727  -0.514 -0.466  -0.560 -0.206  -0.609 0.054  -0.651 0.315  -0.693 0.576  -0.732 0.837  -0.777 1.097  -0.645 1.154  -0.385 1.105  -0.125 1.061  0.139 1.043  0.402 1.017  0.661 0.965  0.919 0.909  1.176 0.845  1.428 0.769  1.473 0.786  1.244 0.667  1.016 0.533  0.789 0.399  0.561 0.265  0.333 0.131  0.105 -0.003  -0.123 -0.136  -0.352 -0.267  -0.564 -0.359  -0.373 -0.396  -0.623 -0.414  -0.428 -0.413  -0.164 -0.403  0.100 -0.392  0.364 -0.382  0.629 -0.371  0.893 -0.360  1.156 -0.365  1.127 -0.422
2#apb#apb12#app1224/o  -1.068 -0.016  -1.068 0.123  -0.947 0.192  -0.798 0.240  -0.648 0.289  -0.499 0.338  -0.350 0.386  -0.201 0.435  -0.052 0.483  0.097 0.532  0.246 0.581  0.396 0.629  0.550 0.621  0.705 0.597  0.852 0.547  0.994 0.481  1.125 0.395  1.249 0.300  1.347 0.178  1.403 0.033  1.398 -0.120  1.350 -0.268  1.280 -0.408  1.177 -0.525  1.066 -0.636  0.929 -0.712  0.792 -0.789  0.642 -0.827  0.487 -0.855  0.333 -0.864  0.177 -0.842  0.023 -0.816  -0.127 -0.769  -0.276 -0.721  -0.421 -0.661  -0.562 -0.593  -0.702 -0.523  -0.834 -0.438  -0.966 -0.353  -1.050 -0.220  -1.133 -0.087  -1.147 0.068  -1.110 0.214  -1.035 0.352  -0.925 0.464  -0.811 0.571  -0.690 0.672  -0.551 0.737  -0.400 0.779  -0.245 0.807
2#apb#apb12#app1224/x  -1.699 0.534  -1.699 0.760  -1.568 0.906  -1.373 1.019  -1.183 1.096  -0.989 0.981  -0.794 0.867  -0.600 0.752  -0.405 0.637  -0.211 0.522  -0.016 0.407  0.178 0.292  0.209 0.083  0.187 -0.141  0.126 -0.358  0.048 -0.570  -0.047 -0.775  -0.134 -0.983  -0.221 -1.192  -0.145 -1.179  -0.035 -0.982  0.070 -0.782  0.175 -0.582  0.281 -0.382  0.386 -0.182  0.492 0.017  0.597 0.217  0.703 0.417  0.808 0.617  0.913 0.817  0.857 0.972  0.645 0.892  0.434 0.812  0.223 0.733  0.011 0.653  -0.158 0.515  -0.271 0.324  -0.338 0.108  -0.397 -0.109  -0.374 -0.334  -0.343 -0.557  -0.225 -0.745  -0.036 -0.860  0.182 -0.879  0.405 -0.847  0.626 -0.802  0.845 -0.745  1.065 -0.693  1.287 -0.654  1.510 -0.615
2#apb#apb12#app1224/G  -0.528 0.463  -0.476 0.536  -0.332 0.599  -0.189 0.662  -0.045 0.725  0.009 0.846  -0.011 1.002  -0.075 1.144  -0.152 1.280  -0.273 1.378  -0.424 1.359  -0.566 1.294  -0.640 1.156  -0.699 1.010  -0.744 0.860  -0.770 0.707  -0.778 0.550  -0.785 0.393  -0.790 0.237  -0.790 0.080  -0.778 -0.076  -0.749 -0.230  -0.708 -0.381  -0.653 -0.528  -0.581 -0.667  -0.480 -0.786  -0.367 -0.895  -0.239 -0.982  -0.098 -1.051  0.045 -1.117  0.188 -1.179  0.341 -1.214  0.497 -1.216  0.623 -1.138  0.700 -1.002  0.761 -0.858  0.772 -0.701  0.750 -0.546  0.696 -0.399  0.619 -0.266  0.487 -0.182  0.343 -0.146  0.324 -0.170  0.479 -0.147  0.635 -0.138  0.791 -0.117  0.945 -0.094  1.101 -0.077  1.254 -0.043  1.357 0.069
2#apb#apb12#app1224/a  -0.837 -0.197  -0.788 -0.408  -0.740 -0.619  -0.689 -0.830  -0.611 -1.032  -0.587 -1.018  -0.593 -0.801  -0.599 -0.585  -0.604 -0.368  -0.610 -0.152  -0.616 0.065  -0.621 0.282  -0.627 0.498  -0.633 0.715  -0.638 0.931  -0.626 1.144  -0.539 1.343  -0.400 1.500  -0.227 1.631  -0.026 1.662  0.158 1.549  0.296 1.381  0.379 1.184  0.444 0.977  0.506 0.770  0.568 0.562  0.628 0.354  0.683 0.145  0.711 -0.070  0.739 -0.285  0.749 -0.501  0.762 -0.717  0.789 -0.932  0.832 -1.143  0.913 -1.183  0.836 -1.013  0.644 -0.913  0.452 -0.813  0.260 -0.713  0.067 -0.614  -0.125 -0.514  -0.317 -0.414  -0.509 -0.314  -0.466 -0.216  -0.260 -0.151  -0.050 -0.101  0.165 -0.081  0.378 -0.056  0.586 0.003  0.796 0.056
2#apb#apb12#app1224/r  -0.576 0.491  -0.632 0.446  -0.632 0.258  -0.619 0.072  -0.595 -0.114  -0.570 -0.300  -0.546 -0.486  -0.522 -0.672  -0.498 -0.858  -0.474 -1.044  -0.450 -1.230  -0.520 -1.152  -0.576 -0.973  -0.605 -0.789  -0.620 -0.602  -0.634 -0.415  -0.641 -0.227  -0.648 -0.040  -0.646 0.147  -0.638 0.335  -0.632 0.522  -0.632 0.710  -0.609 0.896  -0.553 1.071  -0.444 1.222  -0.277 1.296  -0.089 1.296  0.092 1.247  0.259 1.163  0.411 1.057  0.530 0.913  0.607 0.746  0.621 0.559  0.550 0.388  0.451 0.229  0.339 0.079  0.200 -0.046  0.037 -0.138  -0.022 -0.089  0.164 -0.102  0.342 -0.158  0.500 -0.258  0.655 -0.364  0.811 -0.468  0.973 -0.563  1.135 -0.656  1.300 -0.745  1.471 -0.824  1.632 -0.913  1.820 -0.913
2#apb#apb12#app1224/c  0.042 0.012  0.137 0.093  0.228 0.177  0.311 0.270  0.346 0.372  0.296 0.486  0.246 0.600  0.196 0.714  0.146 0.828  0.096 0.942  0.046 1.056  -0.012 1.162  -0.124 1.216  -0.247 1.206  -0.365 1.167  -0.459 1.090  -0.543 0.998  -0.622 0.902  -0.693 0.800  -0.764 0.697  -0.804 0.581  -0.834 0.460  -0.861 0.339  -0.861 0.215  -0.861 0.090  -0.845 -0.033  -0.828 -0.157  -0.790 -0.274  -0.738 -0.387  -0.675 -0.492  -0.583 -0.576  -0.491 -0.660  -0.385 -0.725  -0.278 -0.788  -0.165 -0.840  -0.050 -0.886  0.066 -0.931  0.191 -0.931  0.315 -0.931  0.438 -0.919  0.560 -0.894  0.682 -0.868  0.800 -0.831  0.908 -0.770  1.017 -0.709  1.129 -0.658  1.249 -0.624  1.368 -0.589  1.478 -0.529  1.587 -0.470
2#apb#apb12#app1224/i  0.134 0.381  0.148 0.269  0.161 0.157  0.174 0.045  0.188 -0.067  0.201 -0.179  0.214 -0.291  0.228 -0.403  0.241 -0.515  0.255 -0.627  0.268 -0.739  0.281 -0.851  0.295 -0.963  0.308 -1.075  0.376 -1.161  0.422 -1.228  0.522 -1.276  0.623 -1.264  0.697 -1.210  0.642 -1.111  0.588 -1.013  0.533 -0.914  0.478 -0.815  0.423 -0.717  0.369 -0.618  0.314 -0.519  0.259 -0.421  0.205 -0.322  0.150 -0.223  0.095 -0.125  0.040 -0.026  -0.014 0.073  -0.069 0.171  -0.124 0.270  -0.178 0.369  -0.233 0.467  -0.288 0.566  -0.343 0.664  -0.397 0.763  -0.452 0.862  -0.507 0.960  -0.561 1.059  -0.616 1.158  -0.671 1.256  -0.726 1.355  -0.780 1.454  -0.835 1.552  -0.924 1.593  -1.035 1.595  -1.078 1.637
