1d#tos#t2#t2049062/\"  -0.559 1.045  -0.631 0.933  -0.783 0.900  -0.783 0.716  -0.783 0.532  -0.759 0.372  -0.671 0.275  -0.671 0.091  -0.671 -0.093  -0.671 -0.278  -0.671 -0.462  -0.671 -0.647  -0.671 -0.831  -0.622 -1.007  -0.564 -1.182  -0.559 -1.366  -0.544 -1.536  -0.413 -1.456  -0.341 -1.286  -0.269 -1.116  -0.197 -0.947  -0.125 -0.777  -0.053 -0.607  0.018 -0.437  0.090 -0.267  0.162 -0.098  0.234 0.072  0.306 0.242  0.378 0.412  0.449 0.582  0.521 0.751  0.593 0.921  0.665 1.091  0.737 1.261  0.735 1.381  0.563 1.368  0.478 1.269  0.451 1.112  0.451 0.927  0.451 0.743  0.451 0.559  0.478 0.377  0.523 0.199  0.563 0.019  0.563 -0.165  0.563 -0.349  0.563 -0.534  0.563 -0.718  0.563 -0.903  0.563 -1.087
1d#tos#t2#t2049062/+  -1.447 0.147  -1.470 -0.008  -1.633 -0.063  -1.535 -0.075  -1.363 -0.075  -1.192 -0.075  -1.020 -0.075  -0.848 -0.075  -0.676 -0.075  -0.504 -0.075  -0.332 -0.075  -0.160 -0.075  0.005 -0.034  0.170 0.015  0.336 0.057  0.506 0.073  0.678 0.073  0.850 0.073  1.022 0.073  1.194 0.073  1.292 -0.001  1.291 0.068  1.166 0.186  1.040 0.303  0.915 0.421  0.790 0.539  0.665 0.657  0.540 0.775  0.415 0.892  0.289 1.010  0.164 1.128  0.019 1.170  -0.102 1.048  -0.116 0.882  -0.116 0.710  -0.116 0.538  -0.116 0.367  -0.116 0.195  -0.116 0.023  -0.116 -0.149  -0.116 -0.321  -0.116 -0.493  -0.116 -0.665  -0.116 -0.837  -0.083 -0.995  0.032 -1.119  0.032 -1.291  0.032 -1.463  0.089 -1.611  0.106 -1.776
1d#tos#t2#t2049062/  -1.281 0.058  -1.354 0.058  -1.426 0.058  -1.449 0.008  -1.449 -0.065  -1.422 -0.110  -1.349 -0.110  -1.276 -0.110  -1.204 -0.110  -1.131 -0.110  -1.058 -0.110  -0.986 -0.110  -0.913 -0.110  -0.840 -0.110  -0.768 -0.110  -0.695 -0.110  -0.623 -0.110  -0.556 -0.083  -0.491 -0.051  -0.424 -0.026  -0.352 -0.026  -0.279 -0.026  -0.207 -0.026  -0.137 -0.008  -0.068 0.015  0.001 0.038  0.070 0.058  0.143 0.058  0.216 0.058  0.288 0.058  0.361 0.058  0.434 0.058  0.506 0.058  0.579 0.058  0.651 0.058  0.724 0.058  0.797 0.058  0.869 0.058  0.942 0.058  1.015 0.058  1.087 0.058  1.160 0.058  1.233 0.058  1.305 0.058  1.378 0.058  1.450 0.058  1.523 0.058  1.596 0.058  1.668 0.058  1.741 0.058
1d#tos#t2#t2049062/.  0.579 0.095  0.121 0.095  -0.002 0.432  -0.002 0.890  0.192 1.155  0.501 1.372  0.927 1.450  1.353 1.417  1.353 0.959  1.353 0.500  1.353 0.042  1.241 -0.348  0.831 -0.553  0.454 -0.803  0.104 -1.066  -0.354 -1.066  -0.776 -1.029  -0.776 -0.570  -0.776 -0.112  -0.776 0.347  -0.646 0.676  -0.188 0.676  0.270 0.676  0.685 0.570  0.772 0.148  0.772 -0.311  0.772 -0.769  0.497 -1.066  0.119 -1.259  -0.340 -1.259  -0.541 -0.913  -0.582 -0.471  -0.457 -0.042  -0.278 0.289  -0.013 0.482  0.192 0.229  0.385 -0.036  0.242 -0.435  -0.196 -0.485  -0.582 -0.413  -0.582 0.045  -0.582 0.504  -0.499 0.441  -0.195 0.170  -0.385 -0.098  -0.763 -0.292  -1.222 -0.292  -1.549 -0.161  -1.234 0.095  -0.776 0.095
1d#tos#t2#t2049062/  1.003 1.306  0.932 1.306  0.873 1.288  0.842 1.225  0.810 1.162  0.773 1.102  0.734 1.043  0.682 0.998  0.623 0.959  0.587 0.903  0.565 0.836  0.543 0.769  0.520 0.703  0.464 0.660  0.407 0.618  0.353 0.574  0.309 0.519  0.265 0.464  0.221 0.409  0.182 0.351  0.147 0.290  0.112 0.228  0.077 0.167  0.042 0.106  0.003 0.047  -0.036 -0.011  -0.075 -0.070  -0.114 -0.128  -0.150 -0.189  -0.185 -0.250  -0.220 -0.311  -0.255 -0.372  -0.292 -0.432  -0.338 -0.485  -0.383 -0.539  -0.429 -0.592  -0.475 -0.646  -0.521 -0.699  -0.558 -0.759  -0.594 -0.820  -0.630 -0.880  -0.660 -0.944  -0.686 -1.009  -0.712 -1.074  -0.733 -1.141  -0.751 -1.210  -0.772 -1.276  -0.811 -1.335  -0.845 -1.395  -0.845 -1.465
1d#tos#t2#t2049062/<  0.694 1.523  0.623 1.453  0.552 1.382  0.482 1.311  0.410 1.242  0.321 1.197  0.240 1.140  0.170 1.070  0.099 0.999  0.028 0.928  -0.042 0.858  -0.113 0.787  -0.184 0.716  -0.261 0.653  -0.344 0.598  -0.427 0.543  -0.429 0.444  -0.469 0.361  -0.540 0.290  -0.628 0.261  -0.639 0.172  -0.687 0.120  -0.780 0.113  -0.780 0.013  -0.847 -0.020  -0.781 -0.088  -0.711 -0.159  -0.611 -0.160  -0.528 -0.201  -0.458 -0.272  -0.387 -0.342  -0.299 -0.371  -0.202 -0.381  -0.119 -0.437  -0.036 -0.492  0.029 -0.566  0.084 -0.649  0.142 -0.731  0.214 -0.799  0.297 -0.855  0.380 -0.910  0.446 -0.982  0.502 -1.065  0.561 -1.142  0.661 -1.142  0.760 -1.142  0.807 -1.229  0.874 -1.283  0.953 -1.332  0.974 -1.423
1d#tos#t2#t2049062/>  -0.775 1.295  -0.872 1.295  -0.968 1.295  -0.968 1.198  -0.966 1.103  -0.897 1.058  -0.844 0.979  -0.756 0.959  -0.668 0.942  -0.615 0.862  -0.545 0.805  -0.451 0.782  -0.358 0.756  -0.267 0.725  -0.193 0.665  -0.125 0.597  -0.057 0.529  0.023 0.475  0.097 0.416  0.143 0.331  0.229 0.288  0.315 0.245  0.397 0.193  0.477 0.139  0.545 0.071  0.613 0.003  0.681 -0.065  0.750 -0.134  0.824 -0.173  0.860 -0.262  0.895 -0.305  0.815 -0.354  0.723 -0.385  0.676 -0.466  0.594 -0.508  0.509 -0.549  0.449 -0.624  0.389 -0.700  0.328 -0.774  0.241 -0.817  0.181 -0.891  0.123 -0.969  0.056 -1.036  -0.025 -1.089  -0.097 -1.152  -0.166 -1.220  -0.234 -1.289  -0.304 -1.354  -0.390 -1.397  -0.391 -1.494
1d#tos#t2#t2049062/]  -0.893 1.210  -0.941 1.120  -1.039 1.092  -1.056 1.029  -0.961 1.006  -0.885 0.938  -0.784 0.929  -0.688 0.893  -0.584 0.893  -0.480 0.893  -0.377 0.886  -0.281 0.847  -0.184 0.809  -0.081 0.802  0.023 0.802  0.127 0.802  0.222 0.766  0.324 0.757  0.383 0.712  0.421 0.646  0.421 0.542  0.421 0.438  0.421 0.334  0.421 0.230  0.421 0.126  0.426 0.023  0.470 -0.071  0.495 -0.172  0.522 -0.272  0.555 -0.371  0.557 -0.474  0.569 -0.575  0.626 -0.662  0.648 -0.759  0.648 -0.863  0.648 -0.967  0.633 -1.056  0.529 -1.056  0.425 -1.056  0.321 -1.053  0.223 -1.020  0.120 -1.011  0.016 -1.011  -0.088 -1.011  -0.192 -1.011  -0.296 -1.011  -0.400 -1.011  -0.504 -1.011  -0.608 -1.011  -0.712 -1.011
1d#tos#t2#t2049062/_  -1.115 0.088  -1.189 0.088  -1.248 0.051  -1.301 -0.002  -1.372 -0.008  -1.403 0.035  -1.389 0.073  -1.336 0.021  -1.274 -0.008  -1.200 -0.008  -1.126 -0.008  -1.051 -0.008  -0.977 -0.008  -0.903 -0.008  -0.829 -0.008  -0.755 -0.008  -0.681 -0.008  -0.606 -0.008  -0.532 -0.008  -0.458 -0.008  -0.384 -0.008  -0.310 -0.008  -0.236 -0.008  -0.161 -0.008  -0.087 -0.008  -0.013 -0.008  0.061 -0.008  0.135 -0.008  0.209 -0.008  0.284 -0.008  0.358 -0.008  0.432 -0.008  0.506 -0.008  0.580 -0.008  0.654 -0.008  0.729 -0.008  0.803 -0.008  0.877 -0.008  0.951 -0.008  1.025 -0.008  1.099 -0.008  1.174 -0.008  1.248 -0.008  1.322 -0.008  1.396 -0.008  1.470 -0.008  1.545 -0.008  1.619 -0.008  1.693 -0.008  1.767 -0.008
1d#tos#t2#t2049062/`  -0.866 0.660  -0.967 0.660  -1.068 0.660  -1.169 0.660  -1.269 0.660  -1.300 0.590  -1.274 0.516  -1.173 0.516  -1.072 0.516  -0.972 0.516  -0.871 0.516  -0.770 0.516  -0.669 0.516  -0.569 0.516  -0.468 0.516  -0.367 0.516  -0.266 0.516  -0.166 0.516  -0.065 0.516  0.036 0.516  0.137 0.516  0.238 0.516  0.338 0.516  0.439 0.516  0.540 0.516  0.641 0.516  0.725 0.499  0.725 0.398  0.725 0.297  0.725 0.197  0.725 0.096  0.725 -0.005  0.725 -0.106  0.725 -0.206  0.725 -0.307  0.725 -0.408  0.716 -0.505  0.645 -0.576  0.578 -0.650  0.553 -0.748  0.529 -0.846  0.504 -0.943  0.480 -1.041  0.456 -1.139  0.421 -1.229  0.337 -1.285  0.253 -1.341  0.169 -1.397  0.085 -1.453  0.001 -1.509
1d#tos#t2#t2049062/{  0.286 1.631  0.170 1.611  0.061 1.557  -0.050 1.515  -0.162 1.492  -0.254 1.431  -0.254 1.310  -0.293 1.205  -0.273 1.088  -0.216 0.988  -0.139 0.898  -0.069 0.828  0.001 0.743  0.036 0.646  0.095 0.549  0.132 0.443  0.132 0.322  0.131 0.201  0.056 0.126  -0.023 0.083  -0.109 0.048  -0.230 0.048  -0.352 0.048  -0.447 0.097  -0.462 0.203  -0.388 0.203  -0.283 0.164  -0.216 0.110  -0.177 0.028  -0.138 -0.055  -0.077 -0.128  -0.061 -0.243  -0.061 -0.364  -0.100 -0.447  -0.112 -0.566  -0.138 -0.683  -0.138 -0.804  -0.138 -0.925  -0.138 -1.046  -0.096 -1.148  -0.016 -1.193  0.083 -1.259  0.165 -1.302  0.273 -1.345  0.384 -1.380  0.505 -1.380  0.626 -1.380  0.748 -1.380  0.826 -1.322  0.904 -1.264
