3#apa#apa04#app0421/A  0.095 1.240  -0.018 1.008  -0.142 0.850  -0.260 0.620  -0.291 0.349  -0.437 0.115  -0.498 -0.139  -0.580 -0.384  -0.616 -0.648  -0.723 -0.883  -0.735 -1.156  -0.688 -1.086  -0.616 -0.837  -0.498 -0.607  -0.498 -0.328  -0.455 -0.056  -0.352 0.199  -0.260 0.440  -0.175 0.699  -0.142 0.970  -0.032 1.223  0.076 1.458  0.298 1.596  0.458 1.715  0.570 1.547  0.570 1.268  0.570 0.989  0.570 0.711  0.570 0.432  0.579 0.155  0.688 -0.098  0.688 -0.377  0.688 -0.656  0.807 -0.885  0.929 -1.135  1.044 -1.366  0.801 -1.241  0.554 -1.110  0.308 -0.980  0.061 -0.849  -0.185 -0.719  -0.431 -0.588  -0.678 -0.458  -0.924 -0.327  -0.778 -0.227  -0.518 -0.183  -0.266 -0.067  0.012 -0.065  0.291 -0.065  0.570 -0.065
3#apa#apa04#app0421/s  1.137 1.382  0.987 1.382  0.861 1.324  0.755 1.218  0.627 1.164  0.477 1.164  0.327 1.164  0.265 1.076  0.245 0.946  0.095 0.946  -0.054 0.946  -0.170 0.912  -0.170 0.762  -0.252 0.646  -0.359 0.540  -0.496 0.510  -0.606 0.470  -0.606 0.320  -0.728 0.292  -0.824 0.238  -0.824 0.088  -0.824 -0.061  -0.756 -0.143  -0.606 -0.143  -0.456 -0.143  -0.306 -0.143  -0.156 -0.143  -0.006 -0.143  0.144 -0.143  0.285 -0.163  0.391 -0.269  0.503 -0.361  0.653 -0.361  0.803 -0.361  0.895 -0.385  0.789 -0.491  0.678 -0.591  0.544 -0.658  0.410 -0.725  0.276 -0.792  0.168 -0.895  0.062 -1.001  -0.083 -1.015  -0.233 -1.015  -0.383 -1.015  -0.490 -1.117  -0.596 -1.223  -0.742 -1.233  -0.824 -1.301  -0.824 -1.451
3#apa#apa04#app0421/t  0.654 1.930  0.654 1.783  0.654 1.636  0.654 1.490  0.654 1.343  0.616 1.205  0.550 1.074  0.492 0.941  0.492 0.794  0.492 0.647  0.492 0.500  0.492 0.354  0.419 0.237  0.330 0.127  0.330 -0.020  0.330 -0.167  0.330 -0.313  0.330 -0.460  0.255 -0.576  0.168 -0.687  0.164 -0.833  0.098 -0.964  0.033 -1.095  0.006 -1.236  0.006 -1.382  -0.050 -1.473  -0.173 -1.437  -0.234 -1.303  -0.295 -1.169  -0.355 -1.036  -0.416 -0.902  -0.477 -0.768  -0.538 -0.635  -0.598 -0.501  -0.659 -0.367  -0.720 -0.234  -0.781 -0.100  -0.841 0.034  -0.902 0.167  -0.963 0.301  -0.829 0.309  -0.683 0.309  -0.536 0.309  -0.389 0.309  -0.242 0.309  -0.095 0.309  0.051 0.309  0.198 0.309  0.345 0.309  0.492 0.309
3#apa#apa04#app0421/h  0.202 2.187  0.202 2.041  0.185 1.899  0.120 1.769  0.076 1.633  0.047 1.494  -0.019 1.364  -0.051 1.226  -0.051 1.080  -0.101 0.946  -0.166 0.816  -0.231 0.685  -0.296 0.555  -0.305 0.411  -0.313 0.267  -0.379 0.137  -0.432 0.004  -0.432 -0.142  -0.461 -0.281  -0.526 -0.412  -0.559 -0.550  -0.559 -0.695  -0.559 -0.841  -0.559 -0.987  -0.559 -1.133  -0.519 -1.239  -0.390 -1.197  -0.287 -1.094  -0.184 -0.991  -0.081 -0.887  0.022 -0.784  0.076 -0.661  0.139 -0.541  0.202 -0.422  0.255 -0.298  0.329 -0.183  0.329 -0.037  0.408 0.030  0.456 0.128  0.456 0.040  0.329 0.021  0.329 -0.125  0.329 -0.270  0.329 -0.416  0.329 -0.562  0.329 -0.708  0.452 -0.731  0.556 -0.831  0.691 -0.858  0.837 -0.858
3#apa#apa04#app0421/e  -0.466 0.247  -0.311 0.247  -0.155 0.247  0.001 0.247  0.052 0.351  0.139 0.420  0.295 0.420  0.450 0.420  0.570 0.455  0.583 0.605  0.693 0.715  0.828 0.765  0.916 0.833  0.916 0.989  0.882 1.111  0.726 1.111  0.571 1.111  0.460 1.001  0.331 0.938  0.225 0.889  0.193 0.765  0.037 0.765  -0.119 0.765  -0.229 0.657  -0.339 0.547  -0.449 0.437  -0.466 0.288  -0.547 0.166  -0.665 0.074  -0.816 0.066  -0.885 -0.073  -0.955 -0.212  -0.984 -0.360  -0.984 -0.516  -0.984 -0.672  -0.947 -0.789  -0.797 -0.804  -0.687 -0.914  -0.552 -0.962  -0.417 -1.012  -0.307 -1.122  -0.156 -1.135  -0.001 -1.135  0.155 -1.135  0.310 -1.135  0.466 -1.135  0.622 -1.135  0.777 -1.135  0.933 -1.135  1.088 -1.135
3#apa#apa04#app0421/f  1.535 1.330  1.376 1.330  1.218 1.330  1.059 1.330  0.900 1.330  0.766 1.272  0.632 1.212  0.473 1.212  0.359 1.103  0.247 0.991  0.135 0.879  -0.006 0.848  -0.028 0.694  -0.099 0.552  -0.125 0.400  -0.125 0.241  -0.125 0.082  -0.125 -0.077  -0.125 -0.235  -0.125 -0.394  -0.125 -0.553  -0.106 -0.704  -0.006 -0.821  -0.006 -0.980  0.037 -1.128  0.108 -1.270  0.112 -1.428  0.074 -1.455  -0.012 -1.322  -0.098 -1.188  -0.184 -1.055  -0.270 -0.921  -0.356 -0.787  -0.441 -0.654  -0.527 -0.520  -0.613 -0.387  -0.699 -0.253  -0.785 -0.120  -0.871 0.014  -0.955 0.142  -0.912 0.026  -0.753 0.026  -0.594 0.026  -0.435 0.026  -0.277 0.026  -0.118 0.026  0.041 0.026  0.174 -0.036  0.309 -0.093  0.468 -0.093
3#apa#apa04#app0421/u  -0.524 1.065  -0.524 0.959  -0.524 0.853  -0.608 0.832  -0.714 0.832  -0.801 0.788  -0.876 0.713  -0.951 0.638  -0.990 0.548  -0.990 0.442  -0.990 0.337  -0.990 0.231  -0.990 0.125  -0.990 0.019  -0.990 -0.087  -0.990 -0.192  -0.990 -0.298  -0.919 -0.333  -0.813 -0.333  -0.722 -0.368  -0.647 -0.443  -0.572 -0.518  -0.487 -0.567  -0.381 -0.567  -0.275 -0.567  -0.169 -0.567  -0.063 -0.567  0.042 -0.567  0.148 -0.567  0.254 -0.567  0.360 -0.567  0.466 -0.567  0.571 -0.567  0.677 -0.567  0.783 -0.567  0.885 -0.557  0.960 -0.482  1.034 -0.407  1.108 -0.332  1.108 -0.226  1.108 -0.120  1.108 -0.014  1.108 0.091  1.108 0.197  1.108 0.303  1.108 0.409  1.108 0.515  1.108 0.620  1.108 0.726  1.108 0.832
3#apa#apa04#app0421/m  -1.433 0.162  -1.433 -0.018  -1.433 -0.198  -1.433 -0.378  -1.433 -0.559  -1.433 -0.739  -1.326 -0.812  -1.173 -0.747  -1.045 -0.619  -0.918 -0.492  -0.791 -0.365  -0.663 -0.237  -0.536 -0.110  -0.459 0.038  -0.459 0.218  -0.417 0.357  -0.264 0.384  -0.255 0.560  -0.128 0.688  -0.138 0.678  -0.264 0.550  -0.264 0.369  -0.264 0.189  -0.417 0.162  -0.459 0.024  -0.459 -0.156  -0.350 -0.228  -0.170 -0.228  0.010 -0.228  0.190 -0.228  0.371 -0.228  0.515 -0.192  0.515 -0.012  0.521 0.162  0.701 0.162  0.831 0.283  0.981 0.357  1.099 0.418  1.133 0.585  1.260 0.712  1.294 0.614  1.294 0.434  1.192 0.357  1.099 0.269  1.099 0.089  1.099 -0.091  1.099 -0.272  1.099 -0.452  1.114 -0.617  1.294 -0.617
3#apa#apa04#app0421/e  -0.701 0.037  -0.548 0.037  -0.501 0.143  -0.442 0.237  -0.289 0.237  -0.136 0.237  0.017 0.237  0.170 0.237  0.323 0.237  0.476 0.237  0.591 0.329  0.699 0.437  0.852 0.437  1.005 0.437  1.099 0.497  1.111 0.637  1.264 0.637  1.299 0.756  1.228 0.837  1.075 0.837  0.922 0.837  0.769 0.837  0.616 0.837  0.473 0.812  0.365 0.704  0.240 0.637  0.099 0.625  0.099 0.472  -0.019 0.437  -0.151 0.387  -0.260 0.279  -0.368 0.171  -0.476 0.062  -0.584 -0.046  -0.692 -0.154  -0.842 -0.163  -0.901 -0.256  -0.901 -0.409  -0.901 -0.562  -0.901 -0.715  -0.901 -0.868  -0.901 -1.021  -0.893 -1.171  -0.784 -1.279  -0.666 -1.363  -0.513 -1.363  -0.360 -1.363  -0.207 -1.363  -0.054 -1.363  0.099 -1.363
3#apa#apa04#app0421/s  0.585 1.133  0.444 1.133  0.302 1.133  0.161 1.133  0.020 1.133  -0.121 1.133  -0.263 1.133  -0.404 1.133  -0.530 1.097  -0.630 0.997  -0.738 0.917  -0.880 0.917  -0.926 0.822  -0.926 0.681  -0.926 0.540  -0.926 0.398  -0.914 0.270  -0.772 0.270  -0.631 0.270  -0.491 0.266  -0.391 0.167  -0.291 0.067  -0.155 0.054  -0.014 0.054  0.127 0.054  0.235 -0.028  0.335 -0.128  0.462 -0.162  0.603 -0.162  0.744 -0.162  0.801 -0.247  0.811 -0.378  0.952 -0.378  1.017 -0.455  1.017 -0.596  1.017 -0.737  0.948 -0.810  0.806 -0.810  0.665 -0.810  0.524 -0.810  0.383 -0.810  0.279 -0.900  0.179 -1.000  0.048 -1.026  -0.093 -1.026  -0.234 -1.026  -0.376 -1.026  -0.510 -1.042  -0.610 -1.141  -0.710 -1.241
3#apa#apa04#app0421/c  0.378 0.517  0.378 0.631  0.378 0.744  0.315 0.794  0.240 0.832  0.227 0.932  0.114 0.932  0.000 0.932  -0.113 0.932  -0.211 0.896  -0.291 0.816  -0.396 0.794  -0.492 0.754  -0.572 0.673  -0.678 0.656  -0.773 0.611  -0.853 0.531  -0.933 0.451  -1.005 0.367  -1.005 0.254  -1.005 0.141  -1.005 0.027  -1.005 -0.086  -1.005 -0.199  -1.005 -0.313  -0.892 -0.313  -0.788 -0.352  -0.687 -0.403  -0.585 -0.451  -0.472 -0.451  -0.368 -0.493  -0.267 -0.544  -0.164 -0.590  -0.051 -0.590  0.062 -0.590  0.176 -0.590  0.289 -0.590  0.402 -0.590  0.516 -0.590  0.629 -0.590  0.742 -0.590  0.855 -0.590  0.969 -0.590  1.082 -0.590  1.195 -0.590  1.309 -0.590  1.422 -0.590  1.535 -0.590  1.649 -0.590  1.762 -0.590
3#apa#apa04#app0421/l  0.287 1.584  0.287 1.512  0.280 1.447  0.207 1.447  0.149 1.432  0.149 1.359  0.149 1.286  0.149 1.214  0.149 1.141  0.149 1.069  0.123 1.007  0.072 0.956  0.020 0.904  0.012 0.835  0.012 0.763  0.012 0.690  0.012 0.618  0.012 0.545  0.012 0.472  0.012 0.400  0.012 0.327  0.012 0.255  0.012 0.182  0.012 0.109  0.012 0.037  0.012 -0.036  0.012 -0.108  0.012 -0.181  0.012 -0.253  0.012 -0.326  -0.027 -0.383  -0.078 -0.434  -0.126 -0.487  -0.126 -0.559  -0.126 -0.632  -0.126 -0.705  -0.126 -0.777  -0.126 -0.850  -0.126 -0.922  -0.126 -0.995  -0.126 -1.068  -0.126 -1.140  -0.126 -1.213  -0.126 -1.285  -0.126 -1.358  -0.126 -1.430  -0.126 -1.503  -0.126 -1.576  -0.126 -1.648  -0.126 -1.721
3#apa#apa04#app0421/e  -0.220 0.307  -0.074 0.307  -0.032 0.204  0.029 0.119  0.175 0.119  0.320 0.119  0.466 0.119  0.611 0.119  0.757 0.119  0.902 0.119  1.048 0.119  1.095 0.217  1.134 0.347  1.237 0.449  1.283 0.576  1.244 0.683  1.098 0.683  0.994 0.783  0.885 0.870  0.740 0.870  0.594 0.870  0.473 0.812  0.370 0.709  0.235 0.683  0.090 0.683  -0.049 0.666  -0.152 0.563  -0.254 0.460  -0.357 0.357  -0.460 0.254  -0.563 0.151  -0.695 0.119  -0.824 0.078  -0.927 -0.024  -1.008 -0.143  -1.073 -0.273  -1.138 -0.403  -1.158 -0.544  -1.158 -0.689  -1.148 -0.830  -1.045 -0.933  -0.930 -1.007  -0.785 -1.007  -0.639 -1.007  -0.494 -1.007  -0.366 -1.049  -0.263 -1.152  -0.135 -1.195  0.010 -1.195  0.156 -1.195
3#apa#apa04#app0421/a  0.904 0.839  0.739 0.839  0.648 0.912  0.648 1.077  0.501 1.096  0.336 1.096  0.171 1.096  0.006 1.096  -0.148 1.070  -0.265 0.953  -0.382 0.839  -0.547 0.839  -0.636 0.763  -0.636 0.598  -0.742 0.476  -0.859 0.360  -0.893 0.209  -0.917 0.069  -1.082 0.069  -1.150 -0.029  -1.150 -0.194  -1.150 -0.359  -1.094 -0.501  -0.977 -0.618  -0.847 -0.702  -0.682 -0.702  -0.636 -0.821  -0.609 -0.959  -0.444 -0.959  -0.279 -0.959  -0.114 -0.959  0.051 -0.959  0.134 -0.877  0.134 -0.712  0.289 -0.702  0.454 -0.702  0.619 -0.702  0.744 -0.605  0.861 -0.489  0.904 -0.342  0.904 -0.177  0.904 -0.012  0.904 0.153  0.904 0.318  0.793 0.214  0.676 0.097  0.648 -0.056  0.671 -0.212  0.788 -0.328  0.904 -0.445
