3#app#app18#app1820/f  -0.186 -1.651  -0.204 -1.849  -0.384 -1.813  -0.384 -1.597  -0.384 -1.381  -0.384 -1.165  -0.492 -1.057  -0.582 -0.931  -0.582 -0.715  -0.582 -0.499  -0.582 -0.283  -0.581 -0.067  -0.384 -0.049  -0.384 0.167  -0.329 0.329  -0.186 0.401  -0.095 0.527  0.012 0.635  0.102 0.814  0.273 0.922  0.465 0.980  0.623 1.120  0.804 1.155  0.857 1.318  1.002 1.248  1.091 1.120  1.117 1.054  0.948 0.919  0.779 0.784  0.611 0.649  0.442 0.514  0.273 0.379  0.105 0.244  -0.064 0.109  -0.233 -0.026  -0.401 -0.161  -0.570 -0.296  -0.739 -0.431  -0.943 -0.463  -0.977 -0.282  -0.778 -0.265  -0.568 -0.251  -0.415 -0.099  -0.212 -0.067  0.004 -0.067  0.220 -0.067  0.436 -0.067  0.639 -0.035  0.792 0.118  1.002 0.131
3#app#app18#app1820/o  0.128 0.559  -0.019 0.559  -0.166 0.559  -0.177 0.696  -0.177 0.843  -0.303 0.864  -0.450 0.864  -0.482 0.748  -0.482 0.601  -0.587 0.559  -0.734 0.559  -0.787 0.464  -0.787 0.317  -0.846 0.194  -0.951 0.090  -1.055 -0.014  -1.092 -0.146  -1.092 -0.293  -1.092 -0.441  -1.092 -0.588  -1.018 -0.661  -0.871 -0.661  -0.742 -0.706  -0.638 -0.810  -0.534 -0.914  -0.408 -0.966  -0.261 -0.966  -0.132 -0.922  -0.028 -0.818  0.076 -0.713  0.202 -0.661  0.349 -0.661  0.496 -0.661  0.644 -0.661  0.738 -0.609  0.738 -0.462  0.781 -0.356  0.928 -0.356  1.044 -0.325  1.044 -0.177  1.044 -0.030  1.044 0.117  1.044 0.264  1.044 0.412  1.044 0.559  1.044 0.706  1.044 0.853  0.947 0.961  0.843 1.065  0.738 1.169
3#app#app18#app1820/x  -1.066 0.415  -1.066 0.191  -1.066 0.338  -1.066 0.268  -0.957 0.153  -0.733 0.153  -0.519 0.130  -0.361 -0.028  -0.171 -0.109  -0.018 -0.180  0.014 -0.371  0.238 -0.371  0.244 -0.589  0.423 -0.633  0.506 -0.774  0.506 -0.998  0.570 -1.157  0.768 -1.132  0.768 -0.908  0.768 -0.684  0.768 -0.461  0.768 -0.237  0.768 -0.013  0.768 0.210  0.768 0.434  0.768 0.657  0.768 0.881  0.768 1.105  0.768 1.328  0.679 1.463  0.506 1.411  0.494 1.201  0.270 1.201  0.244 1.003  0.085 0.939  -0.018 0.817  -0.018 0.594  -0.062 0.415  -0.280 0.408  -0.280 0.185  -0.280 -0.039  -0.433 -0.109  -0.542 -0.224  -0.596 -0.425  -0.754 -0.584  -0.804 -0.787  -0.804 -1.010  -0.804 -1.234  -0.765 -1.419  -0.542 -1.419
3#app#app18#app1820/y  -1.297 0.423  -1.123 0.423  -1.113 0.259  -0.959 0.240  -0.930 0.095  -0.795 0.056  -0.658 -0.033  -0.523 -0.127  -0.379 -0.158  -0.359 -0.311  -0.196 -0.322  -0.194 -0.494  -0.021 -0.494  0.049 -0.340  0.114 -0.179  0.178 -0.018  0.243 0.144  0.307 0.305  0.372 0.467  0.436 0.628  0.501 0.789  0.566 0.951  0.630 1.112  0.695 1.274  0.721 1.442  0.721 1.432  0.639 1.340  0.538 1.267  0.538 1.094  0.500 0.936  0.377 0.813  0.354 0.648  0.354 0.474  0.354 0.300  0.275 0.160  0.171 0.029  0.171 -0.145  0.171 -0.319  0.171 -0.493  0.171 -0.667  0.008 -0.678  -0.012 -0.831  -0.012 -1.005  -0.146 -1.045  -0.196 -1.169  -0.196 -1.343  -0.196 -1.517  -0.263 -1.663  -0.379 -1.788  -0.379 -1.962
3#app#app18#app1820/z  -1.131 0.738  -0.967 0.738  -0.918 0.853  -0.852 0.952  -0.688 0.952  -0.524 0.952  -0.360 0.952  -0.196 0.952  -0.063 0.983  -0.063 1.148  0.083 1.165  0.248 1.165  0.412 1.165  0.576 1.165  0.578 1.003  0.498 0.872  0.382 0.756  0.364 0.599  0.275 0.524  0.151 0.484  0.151 0.320  -0.004 0.311  -0.063 0.205  -0.063 0.041  -0.069 -0.117  -0.234 -0.117  -0.277 -0.238  -0.277 -0.402  -0.299 -0.544  -0.463 -0.544  -0.490 -0.681  -0.552 -0.820  -0.668 -0.936  -0.704 -1.085  -0.640 -1.185  -0.475 -1.185  -0.311 -1.185  -0.185 -1.094  -0.069 -0.977  0.093 -0.971  0.226 -0.896  0.342 -0.780  0.497 -0.758  0.661 -0.758  0.792 -0.724  0.792 -0.560  0.940 -0.544  1.104 -0.544  1.219 -0.594  1.219 -0.758
3#app#app18#app1820/u  -1.222 0.642  -1.035 0.642  -1.182 0.642  -1.222 0.495  -1.222 0.308  -1.222 0.121  -1.222 -0.067  -1.222 -0.254  -1.176 -0.395  -1.015 -0.421  -1.015 -0.608  -1.015 -0.795  -0.842 -0.809  -0.655 -0.809  -0.468 -0.809  -0.393 -0.696  -0.301 -0.602  -0.186 -0.529  -0.149 -0.358  -0.017 -0.225  0.155 -0.187  0.229 -0.074  0.229 0.113  0.302 0.227  0.436 0.280  0.436 0.467  0.436 0.655  0.436 0.842  0.256 0.849  0.229 1.009  0.229 1.196  0.229 1.144  0.229 0.957  0.229 0.770  0.229 0.583  0.229 0.396  0.229 0.208  0.229 0.021  0.229 -0.166  0.346 -0.304  0.478 -0.437  0.610 -0.569  0.784 -0.602  0.971 -0.602  1.158 -0.602  1.265 -0.521  1.325 -0.395  1.472 -0.354  1.492 -0.187  1.680 -0.187
3#app#app18#app1820/l  0.326 0.931  0.326 1.015  0.326 1.099  0.297 1.155  0.213 1.155  0.129 1.155  0.101 1.212  0.101 1.296  0.101 1.378  0.101 1.294  0.101 1.209  0.080 1.134  0.021 1.074  -0.039 1.015  -0.098 0.955  -0.123 0.881  -0.123 0.797  -0.123 0.712  -0.123 0.628  -0.123 0.544  -0.123 0.460  -0.123 0.376  -0.123 0.291  -0.123 0.207  -0.123 0.123  -0.123 0.039  -0.123 -0.046  -0.123 -0.130  -0.123 -0.214  -0.123 -0.298  -0.123 -0.383  -0.123 -0.467  -0.123 -0.551  -0.123 -0.635  -0.123 -0.719  -0.123 -0.804  -0.123 -0.888  -0.123 -0.972  -0.123 -1.056  -0.068 -1.086  0.016 -1.086  0.100 -1.086  0.101 -1.169  0.101 -1.253  0.101 -1.338  0.101 -1.422  0.101 -1.506  0.101 -1.590  0.101 -1.675  0.101 -1.759
3#app#app18#app1820/u  -0.813 0.699  -1.001 0.699  -1.019 0.529  -1.019 0.340  -1.152 0.286  -1.226 0.171  -1.226 -0.018  -1.226 -0.206  -1.226 -0.394  -1.184 -0.540  -1.019 -0.564  -1.016 -0.750  -0.883 -0.884  -0.723 -0.953  -0.535 -0.953  -0.400 -0.900  -0.365 -0.747  -0.193 -0.731  -0.193 -0.542  -0.062 -0.409  0.071 -0.276  0.204 -0.143  0.220 0.039  0.220 0.228  0.350 0.286  0.426 0.397  0.426 0.586  0.426 0.774  0.426 0.962  0.426 1.150  0.426 1.298  0.426 1.110  0.426 0.921  0.254 0.905  0.220 0.751  0.220 0.563  0.220 0.375  0.220 0.187  0.300 0.079  0.426 0.017  0.426 -0.171  0.444 -0.352  0.577 -0.485  0.742 -0.540  0.931 -0.540  1.119 -0.540  1.307 -0.540  1.459 -0.504  1.477 -0.334  1.665 -0.334
3#app#app18#app1820/s  0.393 0.707  0.538 0.707  0.618 0.773  0.618 0.918  0.486 0.932  0.393 0.984  0.393 1.129  0.275 1.157  0.129 1.157  -0.016 1.157  -0.058 1.054  -0.082 0.932  -0.227 0.932  -0.283 0.842  -0.293 0.707  -0.439 0.707  -0.562 0.653  -0.665 0.550  -0.733 0.433  -0.733 0.288  -0.848 0.256  -0.959 0.222  -0.959 0.077  -0.858 0.031  -0.713 0.031  -0.567 0.031  -0.422 0.031  -0.276 0.031  -0.131 0.031  0.015 0.031  0.160 0.031  0.306 0.031  0.434 -0.010  0.537 -0.113  0.618 -0.225  0.618 -0.370  0.618 -0.516  0.618 -0.661  0.618 -0.807  0.618 -0.952  0.616 -1.097  0.513 -1.200  0.410 -1.303  0.271 -1.320  0.138 -1.349  0.035 -1.452  -0.072 -1.545  -0.217 -1.545  -0.363 -1.545  -0.508 -1.545
3#app#app18#app1820/q  0.213 0.872  0.115 0.872  0.213 1.023  0.040 1.098  -0.089 1.217  -0.305 1.185  -0.412 1.044  -0.607 0.915  -0.664 0.699  -0.823 0.610  -0.988 0.526  -0.949 0.306  -0.823 0.110  -0.677 0.008  -0.494 -0.148  -0.252 -0.164  -0.133 -0.036  0.050 0.038  0.128 0.273  0.207 0.509  0.285 0.744  0.364 0.979  0.213 1.051  0.213 1.135  0.055 1.044  0.040 0.811  0.040 0.563  0.040 0.315  0.040 0.067  0.028 -0.176  -0.133 -0.357  -0.133 -0.605  -0.133 -0.853  -0.133 -1.102  -0.133 -1.350  -0.133 -1.598  -0.005 -1.718  0.061 -1.870  0.247 -1.718  0.385 -1.609  0.558 -1.534  0.558 -1.286  0.558 -1.037  0.558 -0.789  0.558 -0.541  0.558 -0.293  0.558 -0.045  0.536 0.181  0.385 0.278  0.213 0.354
3#app#app18#app1820/u  -0.493 0.703  -0.678 0.703  -0.735 0.831  -0.735 0.875  -0.735 0.716  -0.735 0.901  -0.876 0.946  -0.977 0.862  -0.977 0.677  -0.977 0.492  -1.131 0.461  -1.219 0.364  -1.219 0.179  -1.219 -0.006  -1.219 -0.190  -1.110 -0.266  -0.977 -0.318  -0.977 -0.503  -0.797 -0.508  -0.612 -0.508  -0.427 -0.508  -0.242 -0.508  -0.057 -0.508  0.128 -0.508  0.234 -0.429  0.255 -0.266  0.440 -0.266  0.476 -0.116  0.568 -0.023  0.718 0.011  0.718 0.196  0.718 0.381  0.718 0.566  0.718 0.656  0.718 0.471  0.543 0.461  0.476 0.343  0.476 0.158  0.476 -0.027  0.476 -0.212  0.476 -0.397  0.550 -0.508  0.718 -0.525  0.718 -0.710  0.863 -0.750  1.048 -0.750  1.233 -0.750  1.418 -0.750  1.556 -0.639  1.687 -0.508
3#app#app18#app1820/i  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.935  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.935  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#app#app18#app1820/v  -0.615 1.207  -0.756 1.207  -0.898 1.207  -0.895 1.147  -0.794 1.047  -0.694 0.946  -0.615 0.838  -0.615 0.696  -0.615 0.555  -0.615 0.413  -0.615 0.271  -0.615 0.130  -0.615 -0.012  -0.615 -0.153  -0.615 -0.295  -0.615 -0.437  -0.615 -0.578  -0.615 -0.720  -0.586 -0.833  -0.444 -0.833  -0.303 -0.833  -0.275 -0.946  -0.275 -1.088  -0.218 -1.173  -0.076 -1.173  0.065 -1.172  0.065 -1.031  0.065 -0.889  0.150 -0.833  0.292 -0.833  0.405 -0.804  0.405 -0.662  0.405 -0.521  0.519 -0.493  0.660 -0.493  0.745 -0.436  0.745 -0.294  0.745 -0.153  0.745 -0.011  0.745 0.131  0.745 0.272  0.745 0.414  0.745 0.555  0.745 0.697  0.745 0.839  0.745 0.980  0.745 1.122  0.745 1.150  0.745 1.008  0.745 0.867
