2#tos#t3#t3010064/!  0.062 1.635  -0.016 1.635  -0.026 1.655  -0.026 1.576  -0.026 1.498  -0.026 1.420  -0.026 1.341  -0.026 1.263  -0.026 1.185  -0.026 1.107  -0.026 1.028  -0.026 0.950  -0.026 0.872  -0.026 0.793  -0.026 0.715  -0.026 0.637  -0.026 0.559  -0.026 0.480  -0.026 0.402  -0.026 0.324  -0.026 0.245  -0.026 0.167  -0.026 0.089  -0.026 0.011  -0.026 -0.068  -0.026 -0.146  -0.026 -0.224  -0.026 -0.303  -0.026 -0.381  -0.026 -0.459  -0.026 -0.417  -0.025 -0.352  -0.016 -0.429  -0.007 -0.507  0.002 -0.585  0.011 -0.663  0.020 -0.740  0.029 -0.818  0.038 -0.896  0.047 -0.974  0.056 -1.051  0.065 -1.129  0.074 -1.207  0.083 -1.285  0.092 -1.363  0.101 -1.440  0.077 -1.489  0.018 -1.509  0.009 -1.577  0.018 -1.577
2#tos#t3#t3010064/#  -0.448 0.865  -0.755 0.659  -0.658 0.659  -0.249 0.683  0.150 0.751  0.559 0.762  0.951 0.865  1.261 0.835  0.917 0.608  0.573 0.382  0.230 0.155  -0.114 -0.071  -0.458 -0.298  -0.802 -0.524  -1.153 -0.723  -0.800 -0.786  -0.397 -0.735  -0.028 -0.631  0.377 -0.580  0.772 -0.476  0.789 -0.298  0.517 0.012  0.245 0.321  -0.027 0.630  -0.299 0.939  -0.580 1.227  -0.861 1.095  -0.757 0.717  -0.654 0.369  -0.628 -0.038  -0.603 -0.446  -0.603 -0.857  -0.603 -1.269  -0.549 -1.659  -0.411 -1.271  -0.273 -0.883  -0.135 -0.495  0.003 -0.107  0.141 0.280  0.279 0.668  0.417 1.056  0.481 1.367  0.481 0.955  0.481 0.543  0.481 0.132  0.503 -0.278  0.533 -0.687  0.533 -1.098  0.533 -1.510  0.636 -1.818
2#tos#t3#t3010064/$  0.384 0.435  0.504 0.364  0.585 0.550  0.493 0.757  0.226 0.757  -0.027 0.707  -0.231 0.596  -0.420 0.487  -0.460 0.260  -0.384 0.042  -0.180 -0.085  0.039 -0.167  0.306 -0.167  0.572 -0.167  0.769 -0.256  0.826 -0.502  0.785 -0.752  0.705 -0.986  0.546 -1.171  0.304 -1.252  0.037 -1.252  -0.215 -1.216  -0.440 -1.172  -0.521 -1.007  -0.479 -0.744  -0.437 -0.480  -0.396 -0.216  -0.354 0.047  -0.313 0.311  -0.271 0.574  -0.229 0.838  -0.188 1.101  -0.146 1.365  -0.104 1.628  -0.063 1.892  -0.139 1.765  -0.139 1.498  -0.098 1.241  -0.096 0.974  -0.087 0.708  -0.077 0.441  -0.068 0.174  -0.059 -0.092  -0.049 -0.359  -0.040 -0.626  -0.031 -0.892  -0.021 -1.159  -0.139 -1.361  -0.124 -1.614  -0.058 -1.814
2#tos#t3#t3010064/%  -0.400 1.213  -0.497 1.098  -0.529 0.899  -0.529 0.687  -0.369 0.635  -0.240 0.760  -0.111 0.872  -0.133 1.075  -0.227 1.252  -0.417 1.253  -0.529 1.123  -0.355 1.080  -0.143 1.075  0.069 1.070  0.281 1.065  0.493 1.059  0.705 1.054  0.725 0.906  0.602 0.782  0.479 0.625  0.371 0.449  0.267 0.273  0.117 0.123  0.030 -0.070  -0.107 -0.230  -0.222 -0.406  -0.298 -0.604  -0.386 -0.786  -0.473 -0.957  -0.556 -1.151  -0.655 -1.324  -0.709 -1.525  -0.678 -1.495  -0.540 -1.334  -0.402 -1.172  -0.265 -1.011  -0.127 -0.850  0.011 -0.688  0.149 -0.527  0.286 -0.366  0.346 -0.343  0.307 -0.541  0.275 -0.739  0.285 -0.941  0.496 -0.932  0.627 -0.803  0.757 -0.649  0.822 -0.476  0.798 -0.274  0.597 -0.234
2#tos#t3#t3010064/&  1.065 -0.654  0.912 -0.823  0.669 -0.819  0.505 -0.710  0.336 -0.634  0.208 -0.486  0.112 -0.338  0.056 -0.151  -0.067 -0.022  -0.225 0.135  -0.281 0.355  -0.337 0.543  -0.364 0.775  -0.393 1.007  -0.339 1.197  -0.174 1.309  -0.103 1.487  0.121 1.533  0.365 1.533  0.561 1.485  0.673 1.353  0.729 1.166  0.729 0.922  0.617 0.758  0.505 0.626  0.372 0.503  0.280 0.330  0.112 0.255  -0.107 0.187  -0.225 0.061  -0.337 -0.071  -0.530 -0.166  -0.723 -0.312  -0.853 -0.430  -1.010 -0.559  -1.122 -0.691  -1.178 -0.878  -1.103 -1.047  -0.883 -1.103  -0.695 -1.159  -0.507 -1.103  -0.277 -1.047  -0.145 -0.935  -0.000 -0.803  0.139 -0.683  0.280 -0.564  0.446 -0.486  0.578 -0.374  0.766 -0.318  0.841 -0.150
2#tos#t3#t3010064/'  0.835 1.461  0.740 1.461  0.645 1.461  0.550 1.461  0.455 1.461  0.395 1.426  0.395 1.331  0.395 1.236  0.395 1.141  0.395 1.046  0.395 0.951  0.395 0.857  0.395 0.762  0.395 0.667  0.385 0.582  0.290 0.582  0.195 0.582  0.175 0.507  0.175 0.412  0.175 0.317  0.175 0.222  0.175 0.127  0.175 0.032  0.175 -0.063  0.175 -0.158  0.175 -0.253  0.128 -0.313  0.038 -0.343  -0.053 -0.373  -0.143 -0.403  -0.233 -0.433  -0.323 -0.463  -0.413 -0.493  -0.484 -0.537  -0.484 -0.632  -0.484 -0.727  -0.484 -0.822  -0.484 -0.916  -0.484 -1.011  -0.484 -1.106  -0.484 -1.201  -0.484 -1.296  -0.484 -1.391  -0.484 -1.306  -0.484 -1.211  -0.484 -1.116  -0.484 -1.022  -0.484 -0.927  -0.484 -0.832  -0.484 -0.737
2#tos#t3#t3010064/(  0.382 1.423  0.415 1.376  0.411 1.423  0.335 1.420  0.299 1.376  0.240 1.328  0.205 1.257  0.143 1.228  0.107 1.157  0.044 1.113  0.005 1.058  0.005 0.978  0.005 0.899  -0.027 0.836  -0.094 0.792  -0.136 0.736  -0.179 0.674  -0.183 0.596  -0.183 0.516  -0.183 0.437  -0.218 0.365  -0.230 0.289  -0.230 0.209  -0.230 0.130  -0.230 0.050  -0.230 -0.029  -0.230 -0.109  -0.230 -0.189  -0.230 -0.268  -0.230 -0.348  -0.221 -0.423  -0.183 -0.487  -0.183 -0.567  -0.139 -0.603  -0.089 -0.659  -0.089 -0.739  -0.056 -0.811  -0.041 -0.887  -0.006 -0.958  0.005 -1.035  0.005 -1.115  0.052 -1.175  0.052 -1.254  0.077 -1.309  0.146 -1.319  0.184 -1.375  0.241 -1.420  0.242 -1.499  0.302 -1.545  0.382 -1.545
2#tos#t3#t3010064/*  0.075 1.601  -0.032 1.602  -0.032 1.282  -0.032 0.962  0.075 0.708  0.129 0.395  0.129 0.075  0.129 -0.245  0.129 -0.564  0.182 -0.862  0.235 -1.129  0.087 -1.093  -0.095 -0.830  -0.277 -0.568  -0.460 -0.305  -0.642 -0.042  -0.825 0.220  -1.007 0.483  -1.196 0.693  -0.983 0.587  -0.779 0.408  -0.646 0.160  -0.436 -0.024  -0.208 -0.197  -0.039 -0.421  0.216 -0.593  0.409 -0.762  0.646 -0.909  0.733 -0.766  0.762 -0.448  0.790 -0.129  0.818 0.189  0.847 0.508  0.875 0.827  0.903 1.145  0.919 1.421  0.760 1.227  0.663 0.973  0.497 0.742  0.342 0.508  0.182 0.348  0.036 0.120  -0.065 -0.108  -0.192 -0.341  -0.305 -0.588  -0.411 -0.802  -0.566 -0.999  -0.673 -1.253  -0.780 -1.496  -0.886 -1.710
2#tos#t3#t3010064/+  -0.605 0.506  -0.725 0.441  -0.831 0.348  -0.996 0.324  -1.048 0.263  -0.883 0.261  -0.765 0.212  -0.599 0.212  -0.432 0.212  -0.266 0.212  -0.110 0.248  0.038 0.310  0.204 0.310  0.371 0.310  0.537 0.310  0.704 0.310  0.870 0.310  1.037 0.310  1.191 0.280  1.093 0.339  0.954 0.431  0.816 0.523  0.677 0.616  0.539 0.708  0.400 0.800  0.261 0.893  0.123 0.985  -0.025 1.045  -0.192 1.045  -0.213 0.998  -0.213 0.831  -0.213 0.665  -0.213 0.498  -0.213 0.332  -0.145 0.193  -0.115 0.039  -0.115 -0.127  -0.115 -0.294  -0.115 -0.460  -0.115 -0.627  -0.115 -0.793  -0.073 -0.950  -0.066 -1.115  -0.066 -1.281  -0.066 -1.448  -0.057 -1.611  -0.016 -1.760  -0.016 -1.927  -0.016 -2.093  -0.066 -2.142
2#tos#t3#t3010064/,  1.636 1.398  1.473 1.398  1.350 1.359  1.350 1.195  1.270 1.112  1.107 1.112  0.944 1.112  0.781 1.112  0.617 1.112  0.489 1.076  0.489 0.913  0.489 0.750  0.489 0.587  0.489 0.423  0.489 0.260  0.351 0.182  0.205 0.109  0.059 0.036  -0.084 -0.038  -0.084 -0.202  -0.114 -0.352  -0.230 -0.468  -0.345 -0.583  -0.460 -0.699  -0.576 -0.814  -0.657 -0.943  -0.657 -1.107  -0.596 -1.120  -0.480 -1.005  -0.371 -0.887  -0.371 -0.724  -0.371 -0.561  -0.371 -0.397  -0.371 -0.234  -0.371 -0.071  -0.371 0.092  -0.371 0.247  -0.371 0.084  -0.371 -0.079  -0.371 -0.242  -0.371 -0.406  -0.371 -0.569  -0.458 -0.696  -0.573 -0.811  -0.657 -0.851  -0.657 -0.688  -0.657 -0.525  -0.657 -0.362  -0.657 -0.199  -0.657 -0.035
2#tos#t3#t3010064/;  0.763 1.358  0.599 1.358  0.434 1.358  0.362 1.248  0.323 1.093  0.323 0.929  0.385 0.882  0.385 1.046  0.385 1.211  0.243 1.232  0.157 1.130  0.197 1.039  0.153 0.917  0.052 0.854  -0.050 0.791  -0.118 0.696  -0.173 0.602  -0.055 0.649  -0.055 0.814  -0.118 0.915  -0.174 0.819  -0.140 0.658  -0.106 0.497  -0.072 0.336  -0.038 0.175  -0.004 0.014  0.029 -0.147  0.063 -0.308  0.004 -0.405  -0.132 -0.475  -0.244 -0.571  -0.244 -0.735  -0.244 -0.900  -0.244 -1.064  -0.114 -1.098  -0.055 -0.992  -0.137 -0.909  -0.181 -0.903  -0.244 -1.042  -0.244 -0.990  -0.307 -0.930  -0.307 -1.094  -0.307 -1.259  -0.297 -1.413  -0.147 -1.447  -0.055 -1.415  0.008 -1.277  0.008 -1.112  -0.080 -1.035  -0.181 -1.098
