1c#app#app08#app0846/r  -0.545 0.013  -0.545 -0.097  -0.545 -0.207  -0.545 -0.317  -0.545 -0.427  -0.545 -0.536  -0.545 -0.646  -0.545 -0.756  -0.545 -0.866  -0.545 -0.976  -0.545 -1.086  -0.545 -1.195  -0.545 -1.305  -0.545 -1.215  -0.545 -1.105  -0.545 -0.995  -0.545 -0.885  -0.545 -0.775  -0.545 -0.665  -0.530 -0.562  -0.452 -0.484  -0.398 -0.397  -0.398 -0.287  -0.398 -0.177  -0.398 -0.067  -0.368 0.013  -0.258 0.013  -0.250 0.115  -0.250 0.225  -0.231 0.327  -0.154 0.404  -0.076 0.482  0.002 0.560  0.079 0.637  0.157 0.715  0.252 0.751  0.355 0.766  0.433 0.844  0.520 0.898  0.630 0.898  0.740 0.898  0.850 0.898  0.960 0.898  1.070 0.898  1.180 0.898  1.271 0.853  1.348 0.775  1.448 0.751  1.558 0.751  1.668 0.751
1c#app#app08#app0846/e  -1.050 0.250  -1.050 0.088  -0.933 0.043  -0.772 0.043  -0.610 0.043  -0.448 0.043  -0.286 0.043  -0.124 0.043  0.037 0.043  0.197 0.048  0.311 0.163  0.437 0.250  0.599 0.250  0.761 0.250  0.812 0.360  0.877 0.457  1.019 0.477  1.019 0.638  1.019 0.800  1.019 0.962  0.973 1.077  0.811 1.077  0.649 1.077  0.488 1.077  0.347 1.026  0.233 0.912  0.088 0.871  -0.057 0.829  -0.171 0.715  -0.286 0.600  -0.400 0.486  -0.514 0.371  -0.629 0.257  -0.636 0.098  -0.636 -0.064  -0.636 -0.225  -0.636 -0.387  -0.636 -0.549  -0.636 -0.711  -0.636 -0.873  -0.594 -0.992  -0.432 -0.992  -0.317 -1.104  -0.194 -1.199  -0.032 -1.199  0.087 -1.301  0.202 -1.416  0.316 -1.530  0.444 -1.613  0.605 -1.613
1c#app#app08#app0846/p  -0.537 0.709  -0.537 0.535  -0.537 0.361  -0.537 0.187  -0.537 0.013  -0.537 -0.161  -0.426 -0.289  -0.426 -0.463  -0.426 -0.637  -0.426 -0.811  -0.426 -0.985  -0.426 -1.159  -0.426 -1.333  -0.426 -1.507  -0.426 -1.681  -0.426 -1.604  -0.426 -1.430  -0.412 -1.260  -0.335 -1.104  -0.315 -0.935  -0.315 -0.761  -0.315 -0.587  -0.315 -0.413  -0.292 -0.244  -0.215 -0.088  -0.204 0.083  -0.204 0.257  -0.179 0.425  -0.102 0.581  -0.062 0.740  0.045 0.875  0.123 1.030  0.243 1.155  0.366 1.279  0.500 1.374  0.674 1.374  0.800 1.257  0.904 1.126  0.994 1.041  1.015 0.889  1.015 0.715  0.975 0.558  0.904 0.413  0.807 0.279  0.684 0.156  0.529 0.111  0.383 0.044  0.218 0.022  0.081 -0.067  -0.093 -0.067
1c#app#app08#app0846/l  -0.328 1.271  -0.254 1.271  -0.186 1.278  -0.186 1.352  -0.173 1.413  -0.099 1.413  -0.045 1.393  -0.045 1.319  -0.045 1.245  -0.045 1.170  -0.045 1.096  -0.045 1.022  -0.045 0.948  -0.045 0.874  -0.045 0.800  -0.045 0.726  -0.045 0.652  -0.045 0.577  -0.045 0.503  -0.045 0.429  -0.045 0.355  -0.045 0.281  -0.045 0.207  -0.045 0.133  -0.045 0.058  -0.045 -0.016  -0.045 -0.090  -0.045 -0.164  -0.045 -0.238  -0.033 -0.310  -0.000 -0.376  0.033 -0.442  0.066 -0.508  0.097 -0.575  0.097 -0.650  0.097 -0.724  0.097 -0.798  0.097 -0.872  0.097 -0.946  0.097 -1.020  0.097 -1.094  0.097 -1.168  0.097 -1.243  0.097 -1.317  0.097 -1.391  0.129 -1.452  0.182 -1.504  0.234 -1.557  0.239 -1.629  0.239 -1.703
1c#app#app08#app0846/i  -0.276 0.254  -0.276 0.144  -0.276 0.034  -0.276 -0.076  -0.276 -0.186  -0.276 -0.296  -0.234 -0.389  -0.156 -0.467  -0.155 -0.577  -0.155 -0.687  -0.155 -0.797  -0.100 -0.885  -0.035 -0.968  -0.035 -1.078  -0.035 -1.188  -0.035 -1.298  -0.035 -1.409  0.052 -1.431  0.085 -1.354  0.085 -1.244  0.085 -1.134  0.085 -1.024  0.085 -0.914  0.085 -0.804  0.085 -0.693  0.085 -0.583  0.085 -0.473  0.085 -0.363  0.085 -0.253  0.085 -0.143  0.085 -0.032  0.085 0.078  0.085 0.188  0.085 0.298  0.085 0.408  0.085 0.518  0.085 0.629  0.085 0.739  0.085 0.849  0.085 0.959  0.085 1.069  0.085 1.179  0.085 1.290  0.085 1.400  0.085 1.510  0.085 1.620  0.085 1.730  0.085 1.840  0.085 1.951  0.085 2.061
1c#app#app08#app0846/e  -1.254 0.398  -1.254 0.215  -1.074 0.211  -0.942 0.086  -0.784 0.023  -0.601 0.023  -0.417 0.023  -0.316 -0.059  -0.237 -0.165  -0.054 -0.165  0.130 -0.165  0.314 -0.165  0.497 -0.165  0.681 -0.165  0.849 -0.126  0.979 0.004  0.998 0.179  1.150 0.211  1.186 0.359  1.186 0.543  1.186 0.726  1.049 0.773  0.998 0.906  0.869 0.961  0.686 0.961  0.502 0.961  0.318 0.961  0.135 0.961  -0.017 0.884  -0.155 0.773  -0.332 0.757  -0.462 0.627  -0.592 0.497  -0.691 0.355  -0.719 0.183  -0.849 0.053  -0.878 -0.118  -0.878 -0.302  -0.878 -0.486  -0.787 -0.632  -0.657 -0.761  -0.527 -0.891  -0.353 -0.915  -0.212 -1.018  -0.064 -1.103  0.114 -1.130  0.278 -1.212  0.443 -1.291  0.627 -1.291  0.810 -1.291
1c#app#app08#app0846/d  0.396 -0.153  0.223 -0.091  0.044 -0.042  -0.154 -0.042  -0.353 -0.042  -0.505 -0.153  -0.674 -0.224  -0.847 -0.286  -0.936 -0.448  -1.049 -0.599  -1.158 -0.753  -1.158 -0.951  -1.080 -1.118  -0.895 -1.151  -0.697 -1.151  -0.498 -1.151  -0.300 -1.151  -0.147 -1.040  0.022 -0.970  0.163 -0.829  0.285 -0.681  0.365 -0.516  0.427 -0.343  0.506 -0.177  0.506 0.021  0.506 0.220  0.506 0.418  0.506 0.617  0.506 0.815  0.396 0.968  0.396 1.166  0.342 1.343  0.285 1.517  0.285 1.716  0.285 1.774  0.264 1.580  0.175 1.403  0.174 1.204  0.174 1.006  0.174 0.807  0.174 0.609  0.174 0.410  0.174 0.212  0.174 0.013  0.174 -0.185  0.180 -0.381  0.285 -0.536  0.304 -0.727  0.396 -0.888  0.506 -1.040
1c#app#app08#app0846/o  -0.429 0.803  -0.429 0.655  -0.572 0.650  -0.582 0.512  -0.676 0.403  -0.735 0.280  -0.735 0.131  -0.735 -0.017  -0.735 -0.165  -0.735 -0.313  -0.735 -0.461  -0.735 -0.609  -0.715 -0.748  -0.610 -0.853  -0.474 -0.881  -0.356 -0.954  -0.241 -1.034  -0.102 -1.055  0.003 -1.160  0.140 -1.187  0.288 -1.187  0.407 -1.117  0.521 -1.034  0.643 -1.009  0.657 -0.867  0.762 -0.762  0.796 -0.628  0.863 -0.508  0.949 -0.395  0.949 -0.247  0.949 -0.099  0.949 0.049  0.945 0.195  0.840 0.300  0.796 0.430  0.739 0.554  0.643 0.662  0.636 0.803  0.488 0.805  0.384 0.910  0.255 0.956  0.107 0.956  -0.041 0.956  -0.189 0.956  -0.337 0.956  -0.485 0.956  -0.628 0.933  -0.760 0.867  -0.893 0.803  -1.041 0.803
1c#app#app08#app0846/b  -0.651 1.686  -0.651 1.775  -0.608 1.642  -0.531 1.523  -0.531 1.372  -0.531 1.220  -0.531 1.069  -0.531 0.918  -0.507 0.771  -0.459 0.628  -0.411 0.484  -0.411 0.333  -0.411 0.182  -0.411 0.031  -0.411 -0.120  -0.435 -0.261  -0.531 -0.373  -0.498 -0.445  -0.392 -0.338  -0.285 -0.231  -0.178 -0.124  -0.071 -0.017  0.036 0.090  0.143 0.196  0.250 0.303  0.356 0.410  0.477 0.484  0.628 0.484  0.779 0.484  0.791 0.345  0.841 0.244  0.911 0.163  0.911 0.011  0.911 -0.140  0.911 -0.291  0.873 -0.433  0.806 -0.568  0.707 -0.681  0.671 -0.817  0.544 -0.845  0.437 -0.952  0.330 -1.059  0.187 -1.078  0.046 -1.103  -0.066 -1.199  -0.217 -1.199  -0.368 -1.199  -0.519 -1.199  -0.629 -1.100  -0.771 -1.078
1c#app#app08#app0846/b  -0.684 1.635  -0.684 1.793  -0.614 1.782  -0.575 1.640  -0.575 1.483  -0.575 1.325  -0.575 1.167  -0.575 1.009  -0.575 0.852  -0.575 0.694  -0.569 0.538  -0.498 0.397  -0.467 0.246  -0.467 0.088  -0.467 -0.069  -0.453 -0.221  -0.359 -0.340  -0.359 -0.498  -0.359 -0.656  -0.295 -0.749  -0.247 -0.637  -0.142 -0.523  -0.100 -0.382  -0.033 -0.252  0.017 -0.106  0.095 0.029  0.206 0.141  0.318 0.252  0.430 0.364  0.555 0.443  0.712 0.443  0.762 0.335  0.834 0.249  0.894 0.105  0.942 -0.041  0.942 -0.199  0.942 -0.357  0.942 -0.515  0.920 -0.663  0.808 -0.775  0.689 -0.876  0.548 -0.946  0.407 -1.017  0.263 -1.075  0.105 -1.075  -0.053 -1.075  -0.211 -1.075  -0.359 -1.065  -0.418 -0.966  -0.467 -0.858
1c#app#app08#app0846/e  -1.099 -0.038  -1.077 -0.179  -0.913 -0.179  -0.750 -0.179  -0.586 -0.179  -0.422 -0.179  -0.259 -0.179  -0.095 -0.179  0.057 -0.151  0.174 -0.038  0.337 -0.038  0.487 -0.003  0.593 0.117  0.629 0.244  0.760 0.297  0.833 0.443  0.875 0.597  0.875 0.761  0.875 0.924  0.875 1.088  0.734 1.111  0.691 1.231  0.527 1.231  0.364 1.231  0.233 1.153  0.095 1.090  -0.040 1.022  -0.156 0.906  -0.272 0.790  -0.387 0.674  -0.503 0.559  -0.619 0.443  -0.676 0.303  -0.676 0.140  -0.676 -0.024  -0.676 -0.188  -0.676 -0.351  -0.638 -0.499  -0.523 -0.615  -0.407 -0.730  -0.391 -0.887  -0.275 -1.003  -0.159 -1.119  -0.015 -1.166  0.136 -1.219  0.282 -1.293  0.404 -1.400  0.548 -1.448  0.711 -1.448  0.875 -1.448
