2#app#app18#app1851/!  -0.066 2.070  -0.191 2.070  -0.243 1.997  -0.243 1.873  -0.243 1.748  -0.243 1.623  -0.243 1.499  -0.243 1.374  -0.243 1.249  -0.243 1.124  -0.243 1.000  -0.243 0.875  -0.243 0.750  -0.243 0.626  -0.243 0.501  -0.243 0.376  -0.210 0.265  -0.122 0.177  -0.059 0.076  -0.038 -0.047  -0.018 -0.170  0.003 -0.293  0.023 -0.416  0.044 -0.539  0.064 -0.662  0.085 -0.785  0.105 -0.908  0.111 -0.851  0.149 -0.764  0.274 -0.764  0.288 -0.875  0.230 -0.941  0.105 -0.941  -0.019 -0.941  -0.066 -0.863  -0.041 -0.764  0.084 -0.764  0.111 -0.667  0.156 -0.587  0.281 -0.587  0.288 -0.705  0.288 -0.829  0.275 -0.941  0.151 -0.941  0.111 -0.856  0.111 -0.732  0.111 -0.607  0.216 -0.587  0.288 -0.535  0.288 -0.410
2#app#app18#app1851/@  0.227 -0.012  0.066 0.085  -0.128 0.148  -0.385 0.148  -0.463 -0.059  -0.577 -0.270  -0.577 -0.527  -0.447 -0.655  -0.189 -0.655  0.021 -0.540  0.227 -0.462  0.356 -0.334  0.322 -0.173  0.225 -0.012  0.066 -0.111  0.101 -0.334  0.359 -0.334  0.548 -0.265  0.709 -0.168  0.709 0.089  0.849 0.289  0.869 0.538  0.753 0.747  0.709 0.987  0.709 1.244  0.641 1.434  0.544 1.595  0.286 1.595  0.040 1.568  -0.162 1.434  -0.372 1.317  -0.450 1.113  -0.577 0.981  -0.624 0.743  -0.737 0.533  -0.737 0.275  -0.830 0.056  -0.898 -0.174  -0.898 -0.431  -0.898 -0.689  -0.806 -0.908  -0.577 -0.977  -0.479 -1.137  -0.279 -1.274  -0.031 -1.298  0.180 -1.184  0.418 -1.137  0.548 -1.009  0.772 -0.976  0.869 -0.816
2#app#app18#app1851/#  -0.676 1.125  -0.518 0.865  -0.417 0.548  -0.569 0.193  -0.676 -0.181  -0.676 -0.600  -0.676 -1.018  -0.570 -1.018  -0.369 -0.651  -0.169 -0.284  0.031 0.084  0.232 0.451  0.432 0.818  0.632 1.186  0.833 1.553  0.883 1.331  0.670 1.125  0.623 0.754  0.623 0.336  0.623 -0.083  0.623 -0.501  0.623 -0.920  0.279 -0.782  -0.095 -0.595  -0.469 -0.408  -0.844 -0.221  -1.218 -0.033  -1.456 0.238  -1.145 0.346  -0.727 0.346  -0.309 0.346  0.110 0.346  0.480 0.462  0.839 0.605  1.258 0.605  1.158 0.483  0.784 0.296  0.409 0.109  0.035 -0.078  -0.339 -0.265  -0.713 -0.453  -1.088 -0.640  -1.159 -0.954  -0.741 -0.954  -0.426 -0.703  -0.011 -0.694  0.407 -0.694  0.826 -0.694  1.244 -0.694  1.403 -0.434
2#app#app18#app1851/$  0.498 1.235  0.409 1.420  0.086 1.235  -0.050 0.972  -0.405 0.880  -0.688 0.597  -0.870 0.274  -0.604 0.141  -0.205 0.141  0.195 0.141  0.594 0.141  0.771 -0.081  0.771 -0.481  0.771 -0.880  0.498 -1.006  0.320 -1.227  0.009 -1.442  -0.365 -1.501  -0.597 -1.333  -0.866 -1.208  -0.769 -0.820  -0.672 -0.433  -0.575 -0.045  -0.478 0.342  -0.381 0.729  -0.323 0.802  -0.315 0.953  -0.050 0.664  -0.050 0.264  -0.050 -0.135  -0.050 -0.534  -0.229 -0.859  -0.323 -1.220  -0.295 -1.386  -0.198 -0.999  -0.101 -0.611  -0.004 -0.224  0.093 0.163  0.190 0.551  0.287 0.938  0.383 1.326  0.480 1.713  0.498 1.455  0.498 1.056  0.498 0.656  0.498 0.257  0.491 -0.140  0.224 -0.429  0.224 -0.828  0.224 -1.227
2#app#app18#app1851/%  -1.002 0.860  -1.126 0.681  -1.251 0.503  -1.359 0.308  -1.359 0.006  -1.273 -0.211  -0.970 -0.211  -0.667 -0.211  -0.543 -0.032  -0.467 0.194  -0.467 0.497  -0.645 0.621  -0.823 0.617  -0.670 0.612  -0.424 0.788  -0.178 0.964  0.069 1.140  0.315 1.316  0.426 1.228  0.247 1.104  0.247 0.801  0.069 0.677  0.069 0.374  -0.110 0.145  -0.110 -0.157  -0.288 -0.282  -0.305 -0.568  -0.467 -0.709  -0.467 -1.011  -0.445 -1.257  -0.244 -1.031  -0.043 -0.805  0.158 -0.578  0.360 -0.352  0.561 -0.126  0.762 0.100  0.961 0.321  0.834 0.146  0.731 -0.084  0.604 -0.334  0.429 -0.565  0.510 -0.831  0.724 -1.045  0.961 -1.061  1.127 -0.925  1.252 -0.746  1.277 -0.527  1.139 -0.281  1.085 -0.032  0.783 -0.032
2#app#app18#app1851/^  -0.682 -0.483  -0.682 -0.635  -0.682 -0.787  -0.682 -0.939  -0.682 -1.091  -0.727 -1.198  -0.879 -1.198  -1.031 -1.198  -1.040 -1.055  -1.040 -0.903  -0.977 -0.777  -0.869 -0.669  -0.762 -0.562  -0.682 -0.443  -0.682 -0.291  -0.682 -0.139  -0.585 -0.027  -0.477 0.080  -0.370 0.188  -0.325 0.321  -0.325 0.473  -0.290 0.590  -0.138 0.590  0.014 0.590  0.033 0.724  0.033 0.876  0.113 0.948  0.265 0.948  0.391 0.974  0.391 1.126  0.391 1.278  0.391 1.181  0.391 1.029  0.391 0.877  0.391 0.725  0.408 0.590  0.560 0.590  0.712 0.590  0.748 0.474  0.748 0.322  0.748 0.170  0.748 0.018  0.748 -0.134  0.748 -0.286  0.748 -0.438  0.856 -0.483  1.008 -0.483  1.106 -0.536  1.106 -0.688  1.106 -0.840
2#app#app18#app1851/&  0.376 1.060  0.057 1.060  -0.225 0.970  -0.474 0.804  -0.647 0.658  -0.647 0.339  -0.375 0.293  -0.056 0.293  0.262 0.293  0.376 0.087  0.120 0.024  0.044 -0.219  -0.136 -0.357  -0.337 -0.474  -0.578 -0.661  -0.869 -0.730  -0.874 -0.986  -0.555 -0.986  -0.237 -0.986  0.082 -0.986  0.318 -0.787  0.613 -0.730  0.676 -0.986  0.850 -0.884  0.741 -0.585  0.632 -0.285  0.523 0.014  0.414 0.314  0.305 0.613  0.197 0.913  0.088 1.212  -0.021 1.511  -0.130 1.811  0.120 1.780  0.120 1.462  0.120 1.143  0.120 0.824  0.150 0.578  0.375 0.804  0.233 0.519  0.091 0.234  -0.052 -0.051  -0.194 -0.336  -0.337 -0.621  -0.195 -0.730  -0.136 -0.989  -0.136 -1.308  -0.265 -1.497  -0.391 -1.690  -0.136 -1.752
2#app#app18#app1851/*  -0.967 0.622  -0.707 0.485  -0.514 0.168  -0.187 0.059  -0.008 -0.158  0.112 -0.458  0.393 -0.738  0.673 -1.018  0.852 -1.053  0.852 -0.657  0.852 -0.260  0.852 0.137  0.852 0.533  0.852 0.930  0.852 1.326  0.790 1.141  0.452 1.001  0.332 0.653  0.072 0.517  0.072 0.120  -0.187 -0.169  -0.335 -0.418  -0.472 -0.677  -0.707 -0.839  -0.707 -1.235  -0.797 -1.307  -1.001 -0.967  -1.205 -0.627  -1.409 -0.287  -1.240 -0.158  -0.843 -0.158  -0.447 -0.158  -0.050 -0.158  0.346 -0.158  0.743 -0.158  0.709 0.092  0.512 0.436  0.316 0.780  0.119 1.125  -0.078 1.469  -0.011 1.661  0.072 1.348  0.072 0.952  0.072 0.555  0.072 0.158  0.072 -0.238  0.072 -0.635  -0.178 -0.928  -0.064 -1.197  0.072 -1.457
2#app#app18#app1851/(  0.153 1.695  0.153 1.605  0.153 1.516  0.122 1.439  0.059 1.376  -0.004 1.313  -0.067 1.250  -0.073 1.163  -0.073 1.074  -0.107 1.018  -0.196 1.018  -0.286 1.018  -0.298 0.942  -0.298 0.852  -0.298 0.763  -0.298 0.674  -0.298 0.585  -0.298 0.495  -0.298 0.406  -0.298 0.317  -0.298 0.227  -0.298 0.138  -0.298 0.049  -0.298 -0.040  -0.298 -0.130  -0.298 -0.219  -0.298 -0.308  -0.298 -0.398  -0.298 -0.487  -0.298 -0.576  -0.298 -0.665  -0.298 -0.755  -0.239 -0.784  -0.149 -0.784  -0.073 -0.797  -0.073 -0.887  -0.073 -0.976  -0.018 -1.010  0.072 -1.010  0.161 -1.010  0.250 -1.010  0.340 -1.010  0.429 -1.010  0.518 -1.010  0.608 -1.010  0.697 -1.010  0.786 -1.010  0.875 -1.010  0.965 -1.010  1.054 -1.010
2#app#app18#app1851/)  -0.308 1.026  -0.405 1.026  -0.503 1.026  -0.527 0.952  -0.527 0.855  -0.477 0.807  -0.380 0.807  -0.308 0.833  -0.308 0.930  -0.310 1.026  -0.407 1.026  -0.505 1.026  -0.451 1.026  -0.354 1.026  -0.308 0.974  -0.308 0.876  -0.280 0.807  -0.183 0.807  -0.090 0.803  -0.090 0.706  -0.090 0.608  -0.035 0.534  0.034 0.465  0.103 0.396  0.129 0.309  0.129 0.212  0.155 0.125  0.224 0.057  0.293 -0.012  0.347 -0.087  0.347 -0.184  0.347 -0.282  0.347 -0.379  0.347 -0.476  0.347 -0.574  0.347 -0.671  0.347 -0.768  0.347 -0.866  0.347 -0.963  0.347 -1.060  0.347 -1.158  0.347 -1.255  0.347 -1.352  0.347 -1.450  0.347 -1.547  0.300 -1.597  0.202 -1.597  0.105 -1.597  0.008 -1.597  -0.090 -1.597
2#app#app18#app1851/`  -1.326 1.061  -1.228 1.061  -1.131 1.061  -1.034 1.061  -0.936 1.061  -0.839 1.061  -0.795 1.006  -0.795 0.909  -0.795 0.812  -0.795 0.714  -0.795 0.617  -0.785 0.530  -0.687 0.530  -0.590 0.530  -0.492 0.530  -0.395 0.530  -0.298 0.530  -0.265 0.465  -0.265 0.368  -0.265 0.271  -0.265 0.173  -0.265 0.076  -0.244 0.000  -0.146 0.000  -0.049 0.000  0.049 0.000  0.146 0.000  0.244 0.000  0.265 -0.076  0.265 -0.173  0.265 -0.271  0.265 -0.368  0.265 -0.465  0.298 -0.530  0.395 -0.530  0.492 -0.530  0.590 -0.530  0.687 -0.530  0.785 -0.530  0.795 -0.617  0.795 -0.714  0.795 -0.812  0.795 -0.909  0.795 -1.006  0.839 -1.061  0.936 -1.061  1.034 -1.061  1.131 -1.061  1.228 -1.061  1.326 -1.061
