3#apa#apa01#app0142/F  -0.574 0.822  -0.504 0.972  -0.425 1.113  -0.425 0.910  -0.425 0.690  -0.425 0.469  -0.425 0.249  -0.425 0.029  -0.425 -0.191  -0.425 -0.411  -0.425 -0.632  -0.345 -0.833  -0.275 -1.037  -0.275 -1.257  -0.275 -1.477  -0.275 -1.697  -0.275 -1.826  -0.275 -1.605  -0.275 -1.385  -0.275 -1.165  -0.275 -0.945  -0.275 -0.724  -0.275 -0.504  -0.275 -0.284  -0.275 -0.064  -0.275 0.156  -0.275 0.377  -0.275 0.597  -0.275 0.817  -0.209 0.972  0.011 0.972  0.214 1.012  0.389 1.122  0.609 1.122  0.769 1.268  0.988 1.271  0.999 1.157  0.881 0.971  0.763 0.785  0.644 0.599  0.526 0.413  0.408 0.228  0.290 0.042  0.171 -0.144  0.053 -0.330  0.042 -0.525  0.262 -0.525  0.482 -0.525  0.702 -0.525  0.922 -0.525
3#apa#apa01#app0142/I  -0.498 1.519  -0.422 1.519  -0.346 1.519  -0.289 1.500  -0.289 1.424  -0.289 1.348  -0.289 1.272  -0.289 1.196  -0.289 1.120  -0.248 1.061  -0.195 1.007  -0.141 0.954  -0.087 0.900  -0.080 0.827  -0.080 0.751  -0.080 0.675  -0.080 0.599  -0.080 0.523  -0.080 0.447  -0.080 0.371  -0.080 0.295  -0.080 0.219  -0.080 0.143  -0.080 0.067  -0.033 0.011  0.020 -0.043  0.074 -0.097  0.128 -0.150  0.129 -0.226  0.129 -0.302  0.129 -0.378  0.129 -0.454  0.129 -0.530  0.129 -0.606  0.129 -0.682  0.129 -0.758  0.129 -0.834  0.129 -0.910  0.129 -0.986  0.129 -1.062  0.129 -1.138  0.147 -1.195  0.223 -1.195  0.299 -1.195  0.337 -1.233  0.337 -1.309  0.337 -1.385  0.337 -1.460  0.337 -1.536  0.337 -1.612
3#apa#apa01#app0142/R  -0.726 1.058  -0.726 0.846  -0.726 0.634  -0.726 0.423  -0.726 0.211  -0.726 -0.001  -0.592 -0.157  -0.572 -0.361  -0.511 -0.547  -0.417 -0.720  -0.417 -0.932  -0.417 -1.144  -0.430 -1.162  -0.458 -0.952  -0.486 -0.742  -0.514 -0.532  -0.542 -0.322  -0.570 -0.112  -0.598 0.098  -0.626 0.308  -0.654 0.517  -0.682 0.727  -0.710 0.937  -0.636 1.058  -0.424 1.058  -0.213 1.058  -0.001 1.058  0.211 1.058  0.423 1.058  0.634 1.058  0.663 0.875  0.663 0.663  0.663 0.452  0.509 0.394  0.406 0.286  0.348 0.131  0.200 0.068  0.079 -0.023  0.070 -0.177  0.282 -0.177  0.493 -0.177  0.551 -0.332  0.734 -0.402  0.818 -0.579  0.924 -0.747  0.972 -0.938  1.018 -1.104  1.200 -1.177  1.378 -1.258  1.590 -1.258
3#apa#apa01#app0142/S  -0.035 1.137  -0.173 1.137  -0.311 1.137  -0.316 1.004  -0.447 0.997  -0.585 0.997  -0.686 0.907  -0.803 0.857  -0.922 0.811  -1.021 0.717  -1.157 0.714  -1.157 0.576  -1.019 0.576  -0.881 0.576  -0.877 0.442  -0.745 0.436  -0.607 0.436  -0.469 0.436  -0.331 0.436  -0.193 0.436  -0.055 0.436  -0.035 0.317  0.081 0.296  0.219 0.296  0.325 0.217  0.438 0.156  0.526 0.106  0.573 0.015  0.711 0.015  0.806 -0.028  0.847 -0.125  0.946 -0.164  0.946 -0.302  0.946 -0.440  0.946 -0.578  0.946 -0.716  0.918 -0.826  0.806 -0.852  0.782 -0.966  0.644 -0.966  0.526 -0.986  0.508 -1.106  0.370 -1.106  0.232 -1.106  0.094 -1.106  -0.044 -1.106  -0.182 -1.106  -0.316 -1.102  -0.318 -0.966  -0.456 -0.966
3#apa#apa01#app0142/T  -0.075 0.517  0.046 0.396  0.092 0.244  0.202 0.183  0.259 0.069  0.259 -0.102  0.259 -0.273  0.259 -0.444  0.317 -0.602  0.394 -0.755  0.427 -0.918  0.427 -1.089  0.427 -1.260  0.427 -1.431  0.507 -1.569  0.568 -1.614  0.477 -1.468  0.386 -1.323  0.296 -1.178  0.205 -1.033  0.114 -0.888  0.024 -0.743  -0.067 -0.598  -0.158 -0.453  -0.248 -0.308  -0.339 -0.163  -0.430 -0.018  -0.520 0.127  -0.611 0.272  -0.702 0.418  -0.792 0.563  -0.883 0.708  -0.974 0.853  -1.064 0.998  -1.077 0.872  -0.927 0.851  -0.756 0.851  -0.743 0.693  -0.580 0.684  -0.409 0.684  -0.239 0.686  -0.086 0.762  0.067 0.839  0.236 0.851  0.407 0.851  0.578 0.851  0.749 0.851  0.920 0.851  1.091 0.851  1.262 0.851
3#apa#apa01#app0142/M  -1.201 -1.034  -1.201 -0.860  -1.201 -0.686  -1.201 -0.512  -1.201 -0.339  -1.156 -0.184  -1.067 -0.046  -1.067 0.127  -1.067 0.301  -1.034 0.442  -0.933 0.515  -0.933 0.688  -0.799 0.728  -0.758 0.804  -0.623 0.710  -0.531 0.629  -0.410 0.576  -0.397 0.415  -0.397 0.242  -0.397 0.068  -0.294 -0.063  -0.262 -0.224  -0.262 -0.398  -0.210 -0.550  -0.128 -0.573  -0.030 -0.497  0.006 -0.359  0.049 -0.229  0.140 -0.146  0.227 -0.008  0.274 0.146  0.408 0.186  0.460 0.308  0.542 0.399  0.674 0.442  0.714 0.576  0.811 0.653  0.927 0.710  0.967 0.576  1.079 0.515  1.079 0.341  1.079 0.167  1.079 -0.007  1.079 -0.181  1.079 -0.354  1.101 -0.519  1.213 -0.646  1.213 -0.820  1.213 -0.994  1.347 -1.034
3#apa#apa01#app0142/A  -1.446 -0.872  -1.396 -1.048  -1.270 -0.949  -1.270 -0.723  -1.093 -0.673  -1.043 -0.468  -0.917 -0.295  -0.848 -0.097  -0.740 0.084  -0.653 0.274  -0.564 0.463  -0.414 0.539  -0.388 0.739  -0.388 0.965  -0.265 1.068  -0.211 1.240  -0.166 1.421  0.060 1.421  0.141 1.277  0.159 1.068  0.318 1.001  0.318 0.775  0.435 0.598  0.494 0.396  0.494 0.170  0.541 -0.036  0.671 -0.208  0.671 -0.434  0.812 -0.519  0.861 -0.695  1.023 -0.759  1.137 -0.872  1.363 -0.872  1.200 -0.835  1.119 -0.666  0.907 -0.589  0.694 -0.512  0.482 -0.434  0.269 -0.357  0.057 -0.280  -0.155 -0.203  -0.368 -0.125  -0.580 -0.048  -0.685 0.010  -0.459 0.010  -0.233 0.010  -0.007 0.010  0.219 0.010  0.445 0.010  0.671 0.010
3#apa#apa01#app0142/T  -0.261 0.541  -0.147 0.427  -0.073 0.296  -0.073 0.134  -0.073 -0.028  -0.073 -0.189  -0.073 -0.351  -0.073 -0.513  0.013 -0.588  0.115 -0.648  0.115 -0.810  0.115 -0.971  0.115 -1.133  0.216 -1.253  0.304 -1.379  0.314 -1.530  0.476 -1.530  0.415 -1.405  0.331 -1.268  0.246 -1.130  0.161 -0.992  0.076 -0.854  -0.008 -0.717  -0.093 -0.579  -0.178 -0.441  -0.263 -0.303  -0.347 -0.166  -0.432 -0.028  -0.517 0.110  -0.602 0.247  -0.686 0.385  -0.771 0.523  -0.856 0.661  -0.941 0.798  -0.993 0.918  -0.831 0.918  -0.669 0.918  -0.507 0.918  -0.346 0.918  -0.184 0.918  -0.022 0.918  0.139 0.918  0.301 0.918  0.463 0.918  0.625 0.918  0.786 0.918  0.948 0.918  1.110 0.918  1.272 0.918  1.433 0.918
3#apa#apa01#app0142/E  -0.409 0.965  -0.184 0.965  0.041 0.965  0.265 0.965  0.490 0.965  0.715 0.965  0.939 0.965  0.769 0.983  0.546 1.004  0.322 1.024  0.098 1.044  -0.126 1.065  -0.349 1.085  -0.573 1.105  -0.714 1.035  -0.714 0.810  -0.714 0.586  -0.714 0.361  -0.714 0.136  -0.714 -0.088  -0.770 -0.257  -0.867 -0.385  -0.867 -0.610  -0.867 -0.834  -0.829 -1.021  -0.714 -0.911  -0.532 -0.868  -0.409 -0.969  -0.236 -1.021  -0.011 -1.021  0.214 -1.021  0.438 -1.021  0.663 -1.021  0.888 -1.021  1.112 -1.021  1.219 -0.983  1.037 -0.850  0.856 -0.718  0.674 -0.586  0.492 -0.454  0.311 -0.322  0.129 -0.190  -0.053 -0.057  -0.234 0.075  -0.409 0.192  -0.327 0.049  -0.103 0.049  0.122 0.049  0.304 -0.053  0.508 -0.104
3#apa#apa01#app0142/E  -0.735 1.019  -0.678 0.883  -0.519 0.963  -0.349 1.019  -0.156 1.019  0.037 1.019  0.187 1.124  0.367 1.155  0.560 1.155  0.625 1.027  0.712 1.019  0.519 1.019  0.326 1.019  0.133 1.019  -0.060 1.019  -0.253 1.019  -0.446 1.019  -0.423 0.883  -0.327 0.786  -0.327 0.593  -0.327 0.400  -0.327 0.207  -0.460 0.069  -0.463 -0.122  -0.512 -0.304  -0.599 -0.476  -0.599 -0.669  -0.599 -0.862  -0.599 -1.055  -0.508 -1.157  -0.315 -1.157  -0.122 -1.157  0.071 -1.157  0.264 -1.157  0.426 -1.231  0.593 -1.293  0.761 -1.268  0.843 -1.157  0.792 -1.066  0.647 -0.939  0.502 -0.812  0.357 -0.685  0.211 -0.557  0.066 -0.430  -0.079 -0.303  -0.147 -0.205  0.046 -0.205  0.103 -0.341  0.296 -0.341  0.489 -0.341
3#apa#apa01#app0142/X  -1.552 1.226  -1.411 1.085  -1.255 0.978  -1.055 0.978  -1.055 0.778  -0.948 0.622  -0.806 0.480  -0.606 0.480  -0.450 0.373  -0.309 0.231  -0.308 0.031  -0.157 -0.017  0.013 -0.090  0.155 -0.232  0.296 -0.373  0.438 -0.515  0.638 -0.515  0.838 -0.515  0.935 -0.618  0.990 -0.764  1.182 -0.759  1.092 -0.580  1.003 -0.401  0.913 -0.222  0.824 -0.043  0.734 0.137  0.645 0.316  0.555 0.495  0.465 0.674  0.376 0.853  0.286 1.032  0.197 1.211  0.189 1.044  0.189 0.844  0.189 0.643  0.189 0.443  0.189 0.243  0.001 0.231  -0.060 0.091  -0.060 -0.109  -0.060 -0.309  -0.060 -0.509  -0.254 -0.515  -0.308 -0.661  -0.308 -0.861  -0.343 -1.047  -0.484 -1.189  -0.557 -1.359  -0.557 -1.559  -0.557 -1.759
