2#apa#apa04#app0404/[  1.322 0.570  1.199 0.570  1.095 0.588  1.067 0.684  0.955 0.709  0.868 0.796  0.745 0.798  0.639 0.814  0.613 0.912  0.490 0.912  0.367 0.912  0.244 0.912  0.121 0.912  -0.002 0.912  -0.125 0.912  -0.248 0.912  -0.371 0.912  -0.463 0.836  -0.570 0.798  -0.615 0.720  -0.529 0.684  -0.501 0.588  -0.427 0.496  -0.387 0.389  -0.441 0.288  -0.501 0.190  -0.501 0.067  -0.501 -0.056  -0.530 -0.172  -0.585 -0.282  -0.615 -0.398  -0.615 -0.521  -0.615 -0.644  -0.615 -0.767  -0.615 -0.890  -0.615 -1.013  -0.615 -0.916  -0.496 -0.912  -0.387 -0.927  -0.364 -1.026  -0.241 -1.026  -0.118 -1.026  0.005 -1.026  0.128 -1.026  0.251 -1.026  0.374 -1.026  0.497 -1.026  0.620 -1.026  0.743 -1.026  0.867 -1.026
2#apa#apa04#app0404/(  0.613 1.429  0.613 1.343  0.613 1.256  0.568 1.214  0.489 1.198  0.428 1.137  0.354 1.107  0.268 1.107  0.184 1.105  0.184 1.019  0.116 1.000  0.044 0.967  -0.017 0.906  -0.098 0.893  -0.137 0.846  -0.156 0.767  -0.217 0.707  -0.265 0.637  -0.304 0.560  -0.343 0.482  -0.381 0.405  -0.420 0.328  -0.458 0.251  -0.459 0.165  -0.459 0.079  -0.459 -0.007  -0.459 -0.094  -0.459 -0.180  -0.459 -0.266  -0.411 -0.333  -0.352 -0.394  -0.352 -0.480  -0.304 -0.547  -0.244 -0.608  -0.244 -0.695  -0.197 -0.761  -0.136 -0.823  -0.098 -0.900  -0.059 -0.977  -0.009 -1.035  0.077 -1.035  0.138 -1.096  0.199 -1.157  0.260 -1.218  0.321 -1.279  0.382 -1.340  0.461 -1.357  0.506 -1.398  0.526 -1.464  0.613 -1.464
2#apa#apa04#app0404/1  0.406 1.633  0.406 1.559  0.406 1.486  0.406 1.412  0.406 1.339  0.406 1.265  0.406 1.192  0.406 1.118  0.406 1.045  0.368 0.987  0.316 0.935  0.264 0.883  0.212 0.831  0.160 0.779  0.108 0.727  0.101 0.656  0.101 0.583  0.101 0.509  0.101 0.436  0.064 0.378  0.012 0.326  -0.040 0.274  -0.092 0.222  -0.144 0.170  -0.196 0.118  -0.204 0.048  -0.204 -0.026  -0.204 -0.099  -0.204 -0.173  -0.204 -0.246  -0.204 -0.320  -0.204 -0.393  -0.204 -0.467  -0.204 -0.541  -0.204 -0.614  -0.204 -0.688  -0.204 -0.761  -0.204 -0.835  -0.204 -0.908  -0.204 -0.982  -0.204 -1.055  -0.204 -1.129  -0.204 -1.202  -0.204 -1.276  -0.204 -1.349  -0.204 -1.423  -0.204 -1.496  -0.204 -1.570  -0.204 -1.643  -0.204 -1.717
2#apa#apa04#app0404/)  -0.409 1.471  -0.409 1.393  -0.375 1.349  -0.298 1.349  -0.220 1.349  -0.164 1.327  -0.164 1.249  -0.109 1.226  -0.041 1.216  -0.041 1.139  -0.011 1.074  0.044 1.019  0.081 0.956  0.081 0.878  0.081 0.801  0.081 0.723  0.081 0.645  0.102 0.572  0.137 0.503  0.172 0.433  0.203 0.363  0.203 0.285  0.203 0.207  0.203 0.130  0.203 0.052  0.203 -0.026  0.203 -0.104  0.203 -0.181  0.203 -0.259  0.203 -0.337  0.203 -0.414  0.203 -0.492  0.203 -0.570  0.203 -0.648  0.203 -0.725  0.153 -0.782  0.098 -0.837  0.081 -0.908  0.074 -0.983  0.019 -1.038  -0.036 -1.093  -0.041 -1.168  -0.064 -1.232  -0.133 -1.267  -0.203 -1.302  -0.272 -1.337  -0.286 -1.406  -0.299 -1.478  -0.354 -1.533  -0.409 -1.588
2#apa#apa04#app0404/(  0.428 1.584  0.428 1.502  0.412 1.428  0.354 1.370  0.296 1.312  0.218 1.305  0.149 1.292  0.149 1.210  0.149 1.129  0.149 1.047  0.089 1.026  0.010 1.024  0.010 0.942  0.010 0.861  0.010 0.779  0.010 0.698  0.010 0.616  -0.042 0.556  -0.099 0.498  -0.142 0.431  -0.168 0.354  -0.193 0.277  -0.219 0.199  -0.245 0.122  -0.269 0.044  -0.269 -0.037  -0.269 -0.119  -0.269 -0.200  -0.269 -0.282  -0.269 -0.363  -0.269 -0.445  -0.269 -0.526  -0.269 -0.608  -0.269 -0.689  -0.269 -0.771  -0.269 -0.852  -0.264 -0.932  -0.206 -0.989  -0.149 -1.047  -0.130 -1.121  -0.130 -1.202  -0.052 -1.206  0.030 -1.206  0.111 -1.206  0.188 -1.225  0.261 -1.262  0.334 -1.298  0.407 -1.335  0.486 -1.345  0.568 -1.345
2#apa#apa04#app0404/2  0.604 1.478  0.491 1.478  0.387 1.470  0.387 1.357  0.375 1.249  0.295 1.169  0.215 1.090  0.135 1.010  0.055 0.930  -0.024 0.850  -0.047 0.747  -0.047 0.634  -0.110 0.548  -0.190 0.468  -0.272 0.394  -0.385 0.394  -0.493 0.382  -0.573 0.302  -0.652 0.222  -0.732 0.143  -0.812 0.063  -0.892 -0.017  -0.914 -0.120  -0.914 -0.233  -0.914 -0.346  -0.914 -0.459  -0.914 -0.572  -0.914 -0.684  -0.808 -0.690  -0.695 -0.690  -0.582 -0.690  -0.469 -0.690  -0.357 -0.690  -0.244 -0.690  -0.131 -0.690  -0.018 -0.690  0.095 -0.690  0.207 -0.690  0.320 -0.690  0.433 -0.690  0.546 -0.690  0.659 -0.690  0.772 -0.690  0.866 -0.645  0.945 -0.566  1.025 -0.486  1.133 -0.474  1.246 -0.474  1.359 -0.474  1.471 -0.474
2#apa#apa04#app0404/)  -0.482 1.459  -0.421 1.399  -0.361 1.338  -0.275 1.338  -0.289 1.338  -0.361 1.324  -0.361 1.239  -0.316 1.172  -0.255 1.111  -0.195 1.051  -0.134 0.990  -0.055 0.974  0.004 0.947  0.004 0.861  0.058 0.798  0.118 0.738  0.125 0.655  0.125 0.569  0.128 0.485  0.189 0.424  0.249 0.364  0.310 0.303  0.368 0.241  0.368 0.156  0.368 0.070  0.368 -0.016  0.368 -0.101  0.368 -0.187  0.368 -0.272  0.368 -0.358  0.368 -0.444  0.368 -0.529  0.361 -0.612  0.300 -0.673  0.247 -0.736  0.247 -0.822  0.205 -0.890  0.144 -0.950  0.084 -1.011  0.023 -1.072  -0.055 -1.091  -0.118 -1.113  -0.118 -1.199  -0.190 -1.212  -0.265 -1.238  -0.326 -1.299  -0.397 -1.334  -0.482 -1.334  -0.543 -1.395  -0.603 -1.455
2#apa#apa04#app0404/(  0.814 1.277  0.737 1.277  0.661 1.277  0.584 1.277  0.508 1.277  0.434 1.268  0.365 1.234  0.297 1.200  0.229 1.166  0.170 1.118  0.116 1.064  0.086 1.000  0.086 0.923  0.086 0.847  0.072 0.777  0.018 0.723  -0.035 0.668  -0.035 0.592  -0.035 0.515  -0.035 0.439  -0.035 0.363  -0.049 0.292  -0.103 0.238  -0.156 0.184  -0.156 0.107  -0.156 0.031  -0.156 -0.046  -0.156 -0.122  -0.162 -0.197  -0.187 -0.270  -0.211 -0.342  -0.235 -0.415  -0.259 -0.487  -0.277 -0.561  -0.277 -0.637  -0.277 -0.713  -0.277 -0.790  -0.277 -0.866  -0.277 -0.943  -0.277 -1.019  -0.277 -1.095  -0.260 -1.165  -0.206 -1.219  -0.156 -1.274  -0.156 -1.351  -0.130 -1.416  -0.076 -1.470  -0.022 -1.524  0.032 -1.578  0.086 -1.632
2#apa#apa04#app0404/3  -0.969 1.129  -0.807 1.129  -0.644 1.129  -0.481 1.129  -0.318 1.129  -0.155 1.129  0.008 1.129  0.171 1.129  0.320 1.096  0.435 0.981  0.445 0.822  0.290 0.814  0.174 0.701  0.029 0.657  -0.134 0.657  -0.184 0.544  -0.302 0.500  -0.465 0.500  -0.590 0.408  -0.726 0.343  -0.866 0.289  -0.969 0.169  -0.947 0.029  -0.784 0.029  -0.631 0.004  -0.516 -0.111  -0.360 -0.129  -0.239 -0.230  -0.100 -0.286  0.063 -0.286  0.226 -0.286  0.389 -0.286  0.541 -0.334  0.686 -0.406  0.841 -0.443  1.003 -0.443  1.074 -0.536  1.074 -0.699  1.074 -0.861  0.963 -0.914  0.801 -0.914  0.638 -0.914  0.488 -0.971  0.343 -1.044  0.186 -1.071  0.055 -1.147  -0.074 -1.229  -0.222 -1.266  -0.337 -1.382  -0.498 -1.386
2#apa#apa04#app0404/)  -0.781 1.431  -0.781 1.346  -0.740 1.301  -0.655 1.301  -0.570 1.301  -0.495 1.276  -0.435 1.215  -0.375 1.155  -0.315 1.095  -0.254 1.035  -0.194 0.975  -0.134 0.914  -0.074 0.854  -0.014 0.794  0.047 0.734  0.107 0.673  0.167 0.613  0.227 0.553  0.281 0.487  0.328 0.417  0.376 0.346  0.423 0.275  0.470 0.204  0.517 0.133  0.517 0.048  0.517 -0.037  0.517 -0.123  0.517 -0.208  0.517 -0.293  0.517 -0.378  0.462 -0.440  0.402 -0.501  0.387 -0.580  0.373 -0.659  0.313 -0.719  0.252 -0.780  0.192 -0.840  0.132 -0.900  0.128 -0.983  0.093 -1.034  0.008 -1.034  -0.077 -1.034  -0.153 -1.056  -0.214 -1.116  -0.274 -1.176  -0.334 -1.236  -0.395 -1.294  -0.481 -1.294  -0.521 -1.338  -0.521 -1.423
2#apa#apa04#app0404/(  0.642 1.463  0.642 1.387  0.596 1.356  0.519 1.356  0.443 1.356  0.385 1.313  0.331 1.259  0.277 1.205  0.223 1.151  0.169 1.097  0.115 1.043  0.108 0.969  0.091 0.897  0.057 0.828  0.023 0.760  -0.011 0.692  -0.045 0.623  -0.079 0.555  -0.106 0.485  -0.106 0.409  -0.134 0.339  -0.168 0.271  -0.202 0.202  -0.213 0.128  -0.213 0.052  -0.213 -0.024  -0.243 -0.094  -0.278 -0.162  -0.312 -0.230  -0.320 -0.305  -0.320 -0.381  -0.320 -0.457  -0.320 -0.534  -0.320 -0.610  -0.320 -0.687  -0.320 -0.763  -0.287 -0.829  -0.245 -0.893  -0.202 -0.957  -0.160 -1.020  -0.117 -1.084  -0.067 -1.140  -0.013 -1.194  0.001 -1.265  0.020 -1.334  0.074 -1.388  0.136 -1.421  0.213 -1.421  0.267 -1.474  0.321 -1.528
