3#apb#apb38#app3809/P  0.160 0.934  0.037 1.060  -0.111 1.018  -0.175 0.842  -0.192 0.656  -0.190 0.468  -0.175 0.281  -0.160 0.093  -0.142 -0.094  -0.123 -0.281  -0.110 -0.469  -0.098 -0.657  -0.084 -0.844  -0.062 -1.031  -0.040 -1.218  -0.014 -1.405  0.009 -1.591  0.030 -1.778  0.036 -1.830  -0.020 -1.650  -0.067 -1.468  -0.115 -1.286  -0.169 -1.106  -0.221 -0.925  -0.272 -0.744  -0.317 -0.561  -0.358 -0.378  -0.391 -0.193  -0.414 -0.006  -0.426 0.181  -0.426 0.370  -0.397 0.555  -0.365 0.741  -0.323 0.923  -0.244 1.093  -0.145 1.253  -0.022 1.396  0.147 1.462  0.322 1.402  0.455 1.271  0.548 1.108  0.629 0.939  0.684 0.759  0.715 0.575  0.693 0.389  0.609 0.221  0.521 0.055  0.410 -0.097  0.273 -0.223  0.087 -0.209
3#apb#apb38#app3809/e  -0.734 -0.137  -0.590 -0.191  -0.450 -0.253  -0.300 -0.255  -0.150 -0.230  -0.009 -0.168  0.127 -0.101  0.247 -0.005  0.367 0.091  0.490 0.182  0.614 0.273  0.716 0.386  0.808 0.509  0.894 0.635  0.967 0.770  1.008 0.915  0.990 1.061  0.906 1.184  0.760 1.231  0.610 1.201  0.461 1.166  0.318 1.111  0.175 1.055  0.045 0.973  -0.082 0.888  -0.210 0.802  -0.336 0.715  -0.462 0.628  -0.554 0.505  -0.646 0.382  -0.709 0.244  -0.755 0.098  -0.803 -0.048  -0.854 -0.192  -0.867 -0.340  -0.842 -0.492  -0.817 -0.643  -0.790 -0.794  -0.738 -0.931  -0.623 -1.032  -0.495 -1.117  -0.350 -1.155  -0.197 -1.175  -0.044 -1.177  0.109 -1.171  0.261 -1.151  0.412 -1.124  0.561 -1.090  0.707 -1.043  0.853 -0.994
3#apb#apb38#app3809/g  0.040 0.932  -0.112 0.962  -0.255 0.894  -0.409 0.858  -0.552 0.796  -0.688 0.715  -0.814 0.619  -0.932 0.516  -1.031 0.392  -1.116 0.259  -1.147 0.112  -1.123 -0.043  -1.048 -0.182  -0.932 -0.272  -0.781 -0.310  -0.627 -0.275  -0.486 -0.207  -0.352 -0.123  -0.230 -0.024  -0.119 0.088  -0.013 0.206  0.085 0.330  0.181 0.455  0.272 0.585  0.364 0.713  0.464 0.836  0.532 0.974  0.622 1.072  0.702 0.944  0.758 0.796  0.805 0.645  0.821 0.489  0.830 0.331  0.864 0.176  0.900 0.022  0.901 -0.136  0.894 -0.293  0.855 -0.446  0.810 -0.598  0.743 -0.737  0.631 -0.849  0.517 -0.958  0.401 -1.065  0.267 -1.146  0.123 -1.210  -0.024 -1.270  -0.172 -1.325  -0.321 -1.377  -0.474 -1.417  -0.627 -1.457
3#apb#apb38#app3809/g  0.016 0.947  -0.092 0.995  -0.243 0.957  -0.390 0.903  -0.537 0.851  -0.676 0.783  -0.802 0.691  -0.925 0.595  -1.045 0.495  -1.147 0.377  -1.231 0.248  -1.265 0.100  -1.206 -0.035  -1.086 -0.132  -0.942 -0.192  -0.787 -0.195  -0.633 -0.179  -0.482 -0.137  -0.336 -0.084  -0.195 -0.018  -0.064 0.067  0.063 0.158  0.169 0.272  0.269 0.391  0.339 0.531  0.395 0.676  0.442 0.825  0.474 0.973  0.495 0.913  0.550 0.767  0.606 0.621  0.648 0.471  0.688 0.320  0.728 0.169  0.770 0.019  0.817 -0.130  0.858 -0.280  0.880 -0.435  0.910 -0.588  0.924 -0.741  0.889 -0.892  0.814 -1.029  0.688 -1.116  0.548 -1.183  0.400 -1.235  0.250 -1.273  0.096 -1.301  -0.058 -1.319  -0.214 -1.312  -0.370 -1.305
3#apb#apb38#app3809/y  -1.067 1.049  -1.133 1.015  -1.117 0.877  -1.070 0.746  -0.993 0.629  -0.909 0.518  -0.807 0.422  -0.705 0.327  -0.596 0.238  -0.486 0.152  -0.375 0.067  -0.258 -0.011  -0.142 -0.088  -0.015 -0.142  0.120 -0.178  0.189 -0.087  0.237 0.045  0.285 0.176  0.333 0.308  0.381 0.439  0.429 0.571  0.477 0.702  0.525 0.834  0.572 0.965  0.620 1.096  0.624 1.194  0.608 1.055  0.587 0.916  0.568 0.778  0.550 0.639  0.525 0.502  0.493 0.365  0.463 0.229  0.434 0.092  0.406 -0.045  0.363 -0.178  0.313 -0.309  0.263 -0.440  0.214 -0.571  0.173 -0.704  0.131 -0.838  0.089 -0.971  0.044 -1.104  -0.015 -1.231  -0.074 -1.357  -0.133 -1.484  -0.192 -1.611  -0.251 -1.738  -0.309 -1.865  -0.368 -1.992
3#apb#apb38#app3809/S  0.678 1.293  0.565 1.307  0.455 1.276  0.343 1.249  0.235 1.214  0.136 1.156  0.036 1.098  -0.065 1.043  -0.167 0.990  -0.268 0.936  -0.364 0.873  -0.459 0.808  -0.555 0.743  -0.649 0.677  -0.730 0.596  -0.811 0.515  -0.895 0.436  -0.977 0.357  -0.947 0.260  -0.844 0.210  -0.734 0.178  -0.623 0.146  -0.511 0.122  -0.397 0.104  -0.283 0.085  -0.172 0.059  -0.065 0.016  0.042 -0.026  0.148 -0.069  0.254 -0.115  0.359 -0.162  0.460 -0.217  0.556 -0.280  0.650 -0.345  0.741 -0.416  0.799 -0.513  0.809 -0.625  0.774 -0.732  0.717 -0.832  0.639 -0.916  0.561 -1.001  0.469 -1.068  0.373 -1.132  0.274 -1.192  0.174 -1.247  0.073 -1.303  -0.036 -1.339  -0.146 -1.374  -0.256 -1.406  -0.367 -1.437
3#apb#apb38#app3809/u  -0.635 0.791  -0.693 0.707  -0.759 0.628  -0.814 0.542  -0.855 0.447  -0.888 0.350  -0.917 0.252  -0.939 0.152  -0.948 0.049  -0.956 -0.053  -0.959 -0.156  -0.959 -0.258  -0.948 -0.360  -0.917 -0.458  -0.887 -0.556  -0.839 -0.641  -0.754 -0.698  -0.668 -0.755  -0.572 -0.791  -0.475 -0.823  -0.377 -0.855  -0.274 -0.855  -0.171 -0.855  -0.070 -0.842  0.030 -0.819  0.130 -0.796  0.222 -0.753  0.306 -0.695  0.390 -0.636  0.450 -0.554  0.503 -0.465  0.552 -0.376  0.585 -0.278  0.617 -0.181  0.649 -0.083  0.678 0.016  0.707 0.114  0.736 0.213  0.764 0.312  0.791 0.411  0.817 0.510  0.843 0.610  0.870 0.709  0.896 0.808  0.923 0.908  0.944 1.008  0.952 1.110  0.961 1.213  0.973 1.315  0.988 1.417
3#apb#apb38#app3809/e  -0.406 0.090  -0.266 0.070  -0.129 0.045  0.010 0.080  0.148 0.116  0.285 0.152  0.410 0.221  0.532 0.294  0.654 0.368  0.776 0.441  0.891 0.526  0.993 0.622  1.063 0.747  1.027 0.882  0.954 1.005  0.820 1.028  0.677 1.036  0.535 1.036  0.395 1.020  0.261 0.970  0.127 0.921  -0.001 0.858  -0.128 0.795  -0.251 0.724  -0.362 0.635  -0.474 0.546  -0.583 0.455  -0.688 0.358  -0.792 0.260  -0.871 0.143  -0.944 0.021  -0.993 -0.113  -1.031 -0.250  -1.031 -0.392  -1.001 -0.528  -0.933 -0.652  -0.837 -0.757  -0.733 -0.851  -0.601 -0.906  -0.469 -0.959  -0.329 -0.990  -0.190 -1.021  -0.052 -1.056  0.086 -1.093  0.224 -1.126  0.363 -1.157  0.504 -1.174  0.646 -1.165  0.787 -1.148  0.928 -1.127
3#apb#apb38#app3809/S  0.923 1.297  0.836 1.365  0.717 1.359  0.600 1.341  0.497 1.280  0.394 1.219  0.292 1.156  0.191 1.093  0.090 1.029  -0.006 0.957  -0.098 0.881  -0.191 0.805  -0.282 0.728  -0.370 0.647  -0.459 0.566  -0.547 0.486  -0.636 0.406  -0.726 0.326  -0.815 0.247  -0.882 0.148  -0.940 0.045  -0.912 -0.051  -0.798 -0.081  -0.680 -0.095  -0.561 -0.084  -0.441 -0.073  -0.322 -0.068  -0.202 -0.068  -0.083 -0.068  0.035 -0.089  0.153 -0.111  0.270 -0.136  0.386 -0.165  0.492 -0.215  0.586 -0.288  0.647 -0.390  0.657 -0.509  0.642 -0.627  0.603 -0.738  0.529 -0.832  0.452 -0.924  0.365 -1.005  0.277 -1.087  0.188 -1.166  0.098 -1.245  0.005 -1.321  -0.092 -1.391  -0.189 -1.461  -0.294 -1.518  -0.401 -1.571
3#apb#apb38#app3809/h  -0.150 1.893  -0.214 1.877  -0.303 1.786  -0.341 1.662  -0.391 1.543  -0.417 1.418  -0.425 1.288  -0.423 1.159  -0.415 1.030  -0.412 0.900  -0.412 0.771  -0.412 0.641  -0.408 0.512  -0.400 0.382  -0.391 0.253  -0.382 0.124  -0.373 -0.005  -0.364 -0.134  -0.355 -0.264  -0.342 -0.392  -0.325 -0.521  -0.308 -0.649  -0.293 -0.778  -0.278 -0.907  -0.267 -1.036  -0.255 -1.164  -0.242 -1.088  -0.240 -0.959  -0.230 -0.830  -0.221 -0.701  -0.213 -0.571  -0.175 -0.448  -0.134 -0.325  -0.076 -0.209  0.001 -0.108  0.104 -0.030  0.222 0.022  0.346 0.061  0.466 0.041  0.583 -0.015  0.684 -0.091  0.762 -0.194  0.817 -0.311  0.870 -0.429  0.921 -0.549  0.950 -0.673  0.961 -0.802  0.971 -0.931  0.970 -1.060  0.960 -1.190
3#apb#apb38#app3809/i  -0.042 -0.123  -0.067 -0.218  -0.092 -0.313  -0.117 -0.407  -0.142 -0.502  -0.159 -0.598  -0.159 -0.695  -0.159 -0.793  -0.159 -0.891  -0.159 -0.989  -0.151 -1.087  -0.137 -1.183  -0.123 -1.280  -0.110 -1.377  -0.097 -1.411  -0.088 -1.314  -0.079 -1.216  -0.070 -1.119  -0.061 -1.021  -0.052 -0.924  -0.043 -0.826  -0.034 -0.729  -0.025 -0.631  -0.016 -0.534  -0.007 -0.436  0.002 -0.339  0.011 -0.242  0.020 -0.144  0.029 -0.047  0.038 0.051  0.047 0.148  0.056 0.246  0.065 0.343  0.074 0.441  0.083 0.538  0.092 0.636  0.101 0.733  0.110 0.831  0.119 0.928  0.128 1.026  0.137 1.123  0.146 1.221  0.155 1.318  0.165 1.416  0.174 1.513  0.183 1.611  0.192 1.708  0.135 1.782  0.066 1.851  0.017 1.929
