3#app#app12#app1202/[  0.490 1.232  0.498 1.153  0.553 1.153  0.466 1.153  0.379 1.153  0.292 1.153  0.206 1.153  0.175 1.209  0.111 1.232  0.024 1.232  0.016 1.153  -0.071 1.153  -0.140 1.135  -0.140 1.048  -0.140 0.962  -0.140 0.875  -0.140 0.788  -0.140 0.701  -0.140 0.614  -0.140 0.528  -0.140 0.441  -0.140 0.354  -0.140 0.267  -0.140 0.180  -0.140 0.094  -0.140 0.007  -0.140 -0.080  -0.140 -0.167  -0.140 -0.254  -0.140 -0.340  -0.140 -0.427  -0.140 -0.514  -0.140 -0.601  -0.140 -0.688  -0.140 -0.775  -0.140 -0.861  -0.140 -0.948  -0.140 -1.035  -0.071 -1.053  -0.061 -1.130  -0.140 -1.138  -0.140 -1.225  -0.140 -1.311  -0.110 -1.368  -0.023 -1.368  0.064 -1.368  0.151 -1.368  0.238 -1.368  0.324 -1.368  0.411 -1.368
3#app#app12#app1202/(  0.228 1.499  0.313 1.499  0.343 1.444  0.319 1.383  0.234 1.383  0.228 1.304  0.193 1.233  0.133 1.173  0.056 1.152  -0.003 1.127  -0.003 1.042  -0.060 0.980  -0.118 0.919  -0.118 0.834  -0.159 0.766  -0.219 0.706  -0.234 0.627  -0.234 0.541  -0.236 0.457  -0.297 0.397  -0.349 0.334  -0.349 0.249  -0.349 0.164  -0.349 0.079  -0.349 -0.007  -0.349 -0.092  -0.349 -0.177  -0.349 -0.262  -0.349 -0.347  -0.290 -0.407  -0.234 -0.469  -0.234 -0.555  -0.234 -0.640  -0.212 -0.716  -0.152 -0.776  -0.118 -0.847  -0.118 -0.932  -0.118 -1.017  -0.056 -1.040  0.025 -1.055  0.102 -1.093  0.178 -1.131  0.257 -1.156  0.342 -1.156  0.427 -1.156  0.497 -1.194  0.557 -1.254  0.635 -1.271  0.720 -1.271  0.805 -1.271
3#app#app12#app1202/6  -0.206 1.778  -0.220 1.631  -0.353 1.602  -0.353 1.440  -0.353 1.278  -0.425 1.188  -0.501 1.102  -0.572 0.970  -0.649 0.840  -0.649 0.678  -0.706 0.540  -0.796 0.416  -0.796 0.254  -0.796 0.092  -0.796 -0.070  -0.796 -0.232  -0.796 -0.394  -0.796 -0.555  -0.796 -0.717  -0.649 -0.732  -0.634 -0.878  -0.480 -0.899  -0.366 -1.013  -0.209 -1.026  -0.048 -1.026  0.107 -1.008  0.221 -0.894  0.377 -0.878  0.493 -0.769  0.639 -0.731  0.680 -0.609  0.815 -0.583  0.830 -0.436  0.975 -0.419  0.997 -0.266  1.111 -0.152  1.122 0.005  1.110 0.155  0.975 0.181  0.934 0.302  0.772 0.302  0.610 0.302  0.448 0.302  0.315 0.233  0.201 0.119  0.089 0.003  0.076 -0.153  -0.038 -0.268  -0.058 -0.421  -0.058 -0.583
3#app#app12#app1202/)  -0.797 1.385  -0.797 1.306  -0.738 1.285  -0.659 1.285  -0.579 1.285  -0.500 1.285  -0.497 1.208  -0.457 1.145  -0.401 1.089  -0.345 1.033  -0.288 0.977  -0.232 0.920  -0.184 0.859  -0.148 0.788  -0.113 0.716  -0.065 0.654  -0.009 0.598  0.003 0.523  0.003 0.444  0.024 0.385  0.103 0.385  0.103 0.305  0.103 0.226  0.131 0.158  0.187 0.101  0.203 0.028  0.239 -0.015  0.303 -0.031  0.303 -0.110  0.303 -0.190  0.303 -0.269  0.303 -0.349  0.303 -0.428  0.303 -0.508  0.303 -0.587  0.303 -0.667  0.303 -0.746  0.303 -0.826  0.303 -0.905  0.303 -0.985  0.303 -1.064  0.290 -1.141  0.254 -1.212  0.219 -1.283  0.203 -1.358  0.186 -1.431  0.130 -1.487  0.103 -1.556  0.082 -1.615  0.003 -1.615
3#app#app12#app1202/(  0.321 1.399  0.407 1.399  0.392 1.399  0.321 1.384  0.321 1.298  0.255 1.277  0.199 1.247  0.199 1.161  0.119 1.155  0.077 1.110  0.077 1.024  0.077 0.938  0.018 0.911  -0.045 0.887  -0.045 0.801  -0.097 0.737  -0.158 0.676  -0.167 0.593  -0.167 0.507  -0.167 0.421  -0.167 0.335  -0.220 0.302  -0.289 0.284  -0.289 0.198  -0.289 0.112  -0.289 0.026  -0.289 -0.061  -0.289 -0.147  -0.289 -0.233  -0.280 -0.316  -0.219 -0.377  -0.167 -0.441  -0.167 -0.527  -0.167 -0.613  -0.167 -0.700  -0.167 -0.786  -0.167 -0.872  -0.137 -0.946  -0.076 -1.007  -0.045 -1.080  -0.041 -1.164  0.020 -1.225  0.077 -1.288  0.077 -1.374  0.134 -1.404  0.220 -1.404  0.306 -1.404  0.392 -1.404  0.478 -1.404  0.564 -1.404
3#app#app12#app1202/7  -1.382 0.776  -1.309 0.703  -1.236 0.634  -1.133 0.634  -1.030 0.634  -0.928 0.634  -0.825 0.634  -0.723 0.634  -0.620 0.634  -0.518 0.634  -0.415 0.634  -0.334 0.685  -0.262 0.758  -0.167 0.776  -0.064 0.776  0.039 0.776  0.141 0.776  0.244 0.776  0.346 0.776  0.449 0.776  0.551 0.776  0.611 0.733  0.611 0.630  0.611 0.528  0.611 0.425  0.584 0.349  0.482 0.349  0.468 0.260  0.468 0.157  0.468 0.055  0.468 -0.048  0.417 -0.129  0.345 -0.202  0.326 -0.297  0.326 -0.399  0.326 -0.502  0.282 -0.594  0.236 -0.685  0.190 -0.777  0.184 -0.878  0.184 -0.981  0.177 -1.081  0.105 -1.153  0.041 -1.229  0.041 -1.332  0.041 -1.434  0.067 -1.527  0.139 -1.599  0.184 -1.683  0.184 -1.786
3#app#app12#app1202/)  -0.678 1.419  -0.598 1.419  -0.581 1.356  -0.535 1.323  -0.485 1.293  -0.472 1.226  -0.392 1.226  -0.335 1.172  -0.278 1.116  -0.222 1.060  -0.196 0.991  -0.170 0.937  -0.100 0.928  -0.100 0.848  -0.048 0.790  -0.004 0.728  -0.004 0.649  0.052 0.592  0.093 0.529  0.093 0.450  0.093 0.370  0.124 0.298  0.159 0.226  0.189 0.154  0.189 0.074  0.243 0.017  0.285 -0.045  0.285 -0.125  0.285 -0.205  0.285 -0.284  0.285 -0.364  0.285 -0.444  0.285 -0.523  0.285 -0.603  0.285 -0.683  0.285 -0.762  0.285 -0.842  0.255 -0.892  0.189 -0.905  0.189 -0.985  0.135 -1.042  0.093 -1.104  0.093 -1.184  0.093 -1.264  0.046 -1.324  -0.004 -1.383  -0.004 -1.463  -0.055 -1.521  -0.100 -1.582  -0.100 -1.662
3#app#app12#app1202/(  0.257 1.484  0.342 1.484  0.375 1.432  0.356 1.366  0.271 1.366  0.257 1.295  0.219 1.248  0.139 1.243  0.139 1.158  0.139 1.072  0.115 1.011  0.029 1.011  0.021 0.935  0.001 0.854  -0.037 0.778  -0.075 0.702  -0.122 0.632  -0.182 0.572  -0.216 0.501  -0.219 0.417  -0.279 0.357  -0.334 0.294  -0.334 0.209  -0.334 0.124  -0.334 0.039  -0.334 -0.047  -0.334 -0.132  -0.301 -0.203  -0.241 -0.264  -0.216 -0.338  -0.216 -0.424  -0.216 -0.509  -0.216 -0.594  -0.191 -0.669  -0.131 -0.729  -0.098 -0.801  -0.098 -0.886  -0.098 -0.971  -0.040 -0.998  0.021 -1.023  0.021 -1.108  0.097 -1.117  0.139 -1.160  0.146 -1.242  0.207 -1.303  0.271 -1.353  0.356 -1.353  0.375 -1.419  0.408 -1.471  0.494 -1.471
3#app#app12#app1202/8  -0.140 1.109  -0.279 0.999  -0.418 0.888  -0.557 0.778  -0.696 0.667  -0.792 0.457  -0.835 0.225  -0.835 -0.024  -0.835 -0.274  -0.592 -0.281  -0.342 -0.281  -0.093 -0.281  0.018 -0.142  0.229 -0.050  0.406 0.126  0.484 0.343  0.555 0.564  0.555 0.813  0.555 1.063  0.491 1.248  0.380 1.387  0.131 1.387  -0.084 1.304  -0.301 1.226  -0.369 1.040  -0.223 0.837  -0.078 0.634  0.067 0.431  0.212 0.228  0.140 0.136  -0.001 0.028  -0.163 -0.142  -0.279 -0.275  -0.418 -0.386  -0.472 -0.613  -0.557 -0.827  -0.557 -1.077  -0.505 -1.305  -0.292 -1.393  -0.140 -1.490  0.068 -1.532  0.265 -1.405  0.510 -1.393  0.620 -1.254  0.720 -1.089  0.897 -0.912  0.972 -0.694  0.972 -0.444  0.911 -0.220  0.694 -0.142
3#app#app12#app1202/)  -0.699 1.353  -0.699 1.275  -0.649 1.247  -0.571 1.247  -0.493 1.247  -0.488 1.175  -0.443 1.142  -0.382 1.125  -0.382 1.047  -0.315 1.036  -0.276 0.996  -0.265 0.930  -0.187 0.930  -0.127 0.886  -0.072 0.831  -0.034 0.763  0.000 0.694  0.035 0.624  0.041 0.547  0.041 0.469  0.048 0.394  0.103 0.339  0.147 0.279  0.147 0.201  0.147 0.123  0.174 0.057  0.229 0.001  0.252 -0.067  0.252 -0.145  0.252 -0.223  0.252 -0.301  0.252 -0.379  0.252 -0.457  0.252 -0.535  0.252 -0.613  0.252 -0.691  0.252 -0.769  0.252 -0.847  0.252 -0.925  0.252 -1.003  0.252 -1.081  0.252 -1.159  0.252 -1.237  0.235 -1.308  0.180 -1.363  0.147 -1.427  0.145 -1.504  0.111 -1.574  0.076 -1.644  0.041 -1.714
3#app#app12#app1202/(  0.362 1.536  0.279 1.536  0.243 1.489  0.231 1.417  0.148 1.417  0.124 1.358  0.107 1.282  0.049 1.223  0.006 1.158  0.006 1.074  -0.044 1.012  -0.103 0.953  -0.113 0.874  -0.136 0.801  -0.195 0.742  -0.232 0.674  -0.232 0.591  -0.232 0.508  -0.262 0.437  -0.321 0.378  -0.351 0.307  -0.351 0.224  -0.351 0.141  -0.351 0.058  -0.351 -0.025  -0.351 -0.108  -0.351 -0.192  -0.329 -0.266  -0.271 -0.325  -0.232 -0.392  -0.232 -0.475  -0.232 -0.558  -0.203 -0.629  -0.145 -0.688  -0.113 -0.758  -0.111 -0.841  -0.052 -0.899  0.006 -0.959  0.006 -1.042  0.040 -1.111  0.099 -1.169  0.172 -1.195  0.255 -1.195  0.338 -1.195  0.421 -1.195  0.504 -1.195  0.587 -1.195  0.670 -1.195  0.754 -1.195  0.837 -1.195
3#app#app12#app1202/9  -0.038 0.846  -0.096 0.976  -0.284 0.976  -0.472 0.976  -0.630 0.903  -0.762 0.770  -0.816 0.605  -0.936 0.467  -0.991 0.327  -1.076 0.225  -1.054 0.046  -0.911 -0.062  -0.723 -0.062  -0.665 -0.192  -0.477 -0.192  -0.289 -0.192  -0.101 -0.192  0.050 -0.104  0.221 -0.062  0.352 -0.005  0.467 0.067  0.525 0.197  0.611 0.299  0.509 0.450  0.388 0.594  0.268 0.739  0.148 0.883  0.028 1.028  0.048 1.106  0.092 0.962  0.165 0.846  0.223 0.716  0.352 0.657  0.352 0.469  0.481 0.411  0.481 0.223  0.481 0.035  0.481 -0.152  0.481 -0.340  0.481 -0.528  0.481 -0.716  0.481 -0.904  0.481 -1.092  0.446 -1.266  0.352 -1.414  0.272 -1.569  0.222 -1.736  0.098 -1.873  -0.035 -2.006  -0.167 -2.139
3#app#app12#app1202/)  -0.633 1.416  -0.557 1.416  -0.524 1.375  -0.516 1.308  -0.441 1.308  -0.415 1.258  -0.415 1.183  -0.415 1.108  -0.358 1.091  -0.290 1.074  -0.237 1.020  -0.198 0.961  -0.198 0.886  -0.198 0.811  -0.178 0.745  -0.125 0.692  -0.078 0.634  -0.045 0.567  -0.011 0.499  0.019 0.431  0.019 0.356  0.019 0.281  0.019 0.206  0.019 0.131  0.060 0.073  0.113 0.020  0.166 -0.033  0.219 -0.086  0.236 -0.154  0.236 -0.229  0.236 -0.304  0.236 -0.379  0.236 -0.454  0.236 -0.530  0.236 -0.605  0.236 -0.680  0.236 -0.755  0.236 -0.830  0.236 -0.905  0.236 -0.980  0.236 -1.055  0.236 -1.130  0.236 -1.205  0.236 -1.280  0.236 -1.355  0.236 -1.430  0.236 -1.505  0.236 -1.580  0.236 -1.655  0.236 -1.730
3#app#app12#app1202/(  0.557 1.570  0.557 1.479  0.557 1.388  0.515 1.340  0.430 1.327  0.365 1.263  0.327 1.188  0.315 1.110  0.224 1.110  0.212 1.031  0.157 0.995  0.097 0.964  0.097 0.873  0.097 0.783  0.024 0.764  -0.018 0.716  -0.018 0.625  -0.018 0.534  -0.109 0.534  -0.133 0.468  -0.133 0.377  -0.133 0.286  -0.133 0.195  -0.217 0.189  -0.248 0.129  -0.248 0.038  -0.248 -0.053  -0.248 -0.144  -0.248 -0.234  -0.286 -0.309  -0.350 -0.374  -0.364 -0.459  -0.364 -0.550  -0.364 -0.641  -0.364 -0.732  -0.364 -0.822  -0.298 -0.847  -0.248 -0.889  -0.248 -0.980  -0.248 -1.070  -0.189 -1.137  -0.121 -1.193  -0.031 -1.193  0.037 -1.248  0.103 -1.308  0.194 -1.308  0.212 -1.381  0.261 -1.423  0.327 -1.447  0.327 -1.538
