1b#tos#f2#f2041064/A  -0.913 -0.747  -1.110 -0.747  -1.126 -0.884  -1.083 -0.705  -0.966 -0.578  -0.945 -0.386  -0.874 -0.203  -0.811 -0.017  -0.763 0.174  -0.682 0.353  -0.562 0.506  -0.448 0.666  -0.339 0.830  -0.264 0.983  -0.224 1.155  -0.118 1.246  -0.049 1.374  0.126 1.427  0.248 1.321  0.392 1.268  0.556 1.170  0.592 1.003  0.625 0.839  0.655 0.647  0.678 0.454  0.678 0.257  0.678 0.060  0.723 -0.131  0.731 -0.327  0.731 -0.524  0.805 -0.705  0.837 -0.896  0.837 -1.093  0.849 -1.278  0.800 -1.297  0.656 -1.163  0.511 -1.030  0.367 -0.896  0.223 -0.762  0.078 -0.628  -0.066 -0.495  -0.211 -0.361  -0.355 -0.227  -0.500 -0.093  -0.636 0.001  -0.450 0.048  -0.253 0.048  -0.063 0.084  0.132 0.101  0.306 0.154
1b#tos#f2#f2041064/D  -0.127 1.323  -0.223 1.218  -0.337 1.130  -0.416 0.971  -0.468 0.781  -0.540 0.593  -0.561 0.397  -0.597 0.201  -0.609 0.001  -0.633 -0.196  -0.658 -0.394  -0.658 -0.596  -0.669 -0.796  -0.706 -0.993  -0.706 -1.177  -0.637 -0.991  -0.561 -0.804  -0.485 -0.617  -0.410 -0.431  -0.334 -0.244  -0.258 -0.057  -0.182 0.130  -0.106 0.317  -0.031 0.503  -0.175 0.597  -0.030 0.719  0.050 0.841  0.220 0.937  0.415 0.967  0.612 0.985  0.813 0.985  1.015 0.985  1.111 0.849  1.195 0.677  1.224 0.488  1.224 0.286  1.167 0.108  1.045 -0.049  0.978 -0.226  0.818 -0.347  0.650 -0.459  0.476 -0.551  0.328 -0.683  0.147 -0.746  -0.033 -0.833  -0.129 -0.970  -0.318 -1.040  -0.475 -1.159  -0.610 -1.299  -0.802 -1.331
1b#tos#f2#f2041064/E  -0.590 1.411  -0.791 1.325  -0.741 1.058  -0.741 0.771  -0.711 0.488  -0.691 0.203  -0.640 -0.076  -0.640 -0.364  -0.640 -0.651  -0.540 -0.908  -0.445 -1.100  -0.453 -0.819  -0.466 -0.532  -0.480 -0.245  -0.494 0.042  -0.507 0.329  -0.521 0.616  -0.535 0.903  -0.661 1.009  -0.374 1.009  -0.086 1.009  0.201 1.009  0.447 0.909  0.734 0.909  1.000 0.859  0.966 0.783  0.709 0.654  0.452 0.526  0.195 0.397  -0.062 0.269  -0.306 0.138  -0.098 0.105  0.189 0.105  0.477 0.105  0.764 0.105  1.001 0.055  0.893 -0.081  0.667 -0.257  0.440 -0.433  0.213 -0.610  -0.014 -0.786  -0.241 -0.962  -0.444 -1.100  -0.349 -1.201  -0.061 -1.201  0.223 -1.173  0.507 -1.151  0.794 -1.151  1.082 -1.151  1.369 -1.151
1b#tos#f2#f2041064/H  -1.065 0.887  -1.214 0.844  -1.145 0.745  -1.073 0.602  -1.022 0.455  -1.022 0.296  -0.993 0.139  -0.979 -0.019  -0.979 -0.178  -0.979 -0.338  -0.979 -0.497  -0.979 -0.657  -0.958 -0.796  -0.907 -0.662  -0.874 -0.506  -0.842 -0.350  -0.809 -0.194  -0.776 -0.038  -0.839 0.024  -0.684 0.050  -0.527 0.067  -0.368 0.067  -0.213 0.092  -0.056 0.110  0.103 0.112  0.253 0.154  0.402 0.197  0.561 0.197  0.721 0.197  0.819 0.110  0.877 0.126  0.877 0.286  0.877 0.445  0.877 0.604  0.877 0.764  0.833 0.808  0.813 0.714  0.833 0.575  0.873 0.422  0.877 0.263  0.877 0.104  0.877 -0.056  0.877 -0.215  0.877 -0.375  0.877 -0.534  0.877 -0.693  0.877 -0.853  0.877 -1.012  0.877 -1.172  0.920 -1.313
1b#tos#f2#f2041064/J  -0.163 1.126  -0.163 1.008  -0.272 1.000  -0.188 1.000  -0.070 1.000  0.048 1.000  0.153 1.041  0.259 1.084  0.377 1.084  0.495 1.084  0.613 1.084  0.549 1.099  0.433 1.119  0.315 1.126  0.302 1.021  0.307 0.904  0.344 0.795  0.386 0.694  0.386 0.576  0.386 0.458  0.386 0.340  0.386 0.222  0.386 0.103  0.386 -0.015  0.411 -0.123  0.428 -0.234  0.428 -0.352  0.428 -0.470  0.428 -0.588  0.428 -0.706  0.428 -0.824  0.386 -0.900  0.302 -0.934  0.193 -0.943  0.088 -0.991  0.019 -1.070  -0.100 -1.070  -0.218 -1.070  -0.336 -1.070  -0.437 -1.028  -0.543 -1.016  -0.631 -0.985  -0.670 -0.906  -0.777 -0.865  -0.865 -0.790  -0.929 -0.708  -1.007 -0.654  -1.104 -0.623  -1.176 -0.555  -1.219 -0.479
1b#tos#f2#f2041064/N  -0.595 1.173  -0.768 1.138  -0.724 0.948  -0.681 0.750  -0.681 0.542  -0.681 0.334  -0.651 0.131  -0.595 -0.067  -0.595 -0.275  -0.595 -0.483  -0.595 -0.691  -0.595 -0.899  -0.552 -0.909  -0.552 -0.701  -0.552 -0.493  -0.552 -0.285  -0.552 -0.077  -0.552 0.131  -0.552 0.339  -0.552 0.546  -0.552 0.754  -0.552 0.962  -0.681 0.960  -0.595 0.788  -0.475 0.674  -0.371 0.537  -0.336 0.354  -0.230 0.192  -0.143 0.010  -0.035 -0.164  0.036 -0.348  0.093 -0.545  0.233 -0.697  0.269 -0.897  0.442 -0.932  0.531 -1.078  0.689 -1.159  0.831 -1.180  0.917 -1.033  1.003 -0.861  1.047 -0.663  1.090 -0.473  1.090 -0.265  1.111 -0.061  1.133 0.144  1.133 0.352  1.133 0.560  1.133 0.768  1.133 0.976  1.090 1.173
1b#tos#f2#f2041064/P  -0.036 1.336  -0.226 1.302  -0.321 1.173  -0.321 0.949  -0.321 0.725  -0.321 0.501  -0.321 0.277  -0.321 0.054  -0.321 -0.170  -0.321 -0.394  -0.273 -0.611  -0.273 -0.834  -0.226 -1.047  -0.178 -1.260  -0.131 -1.436  -0.083 -1.640  0.012 -1.741  -0.083 -1.584  -0.085 -1.360  -0.110 -1.138  -0.134 -0.915  -0.159 -0.692  -0.184 -0.470  -0.209 -0.247  -0.233 -0.025  -0.258 0.198  -0.283 0.420  -0.307 0.643  -0.332 0.865  -0.357 1.088  -0.441 1.193  -0.217 1.193  0.007 1.193  0.223 1.159  0.444 1.146  0.620 1.098  0.748 0.983  0.868 0.821  0.963 0.656  0.963 0.432  0.963 0.208  0.794 0.074  0.684 -0.104  0.546 -0.249  0.413 -0.413  0.212 -0.514  0.030 -0.643  -0.162 -0.735  -0.382 -0.756  -0.559 -0.709
1b#tos#f2#f2041064/Q  -0.129 1.544  -0.229 1.396  -0.385 1.226  -0.537 1.038  -0.662 0.833  -0.795 0.632  -0.820 0.389  -0.897 0.157  -0.968 -0.074  -0.968 -0.321  -0.968 -0.568  -0.891 -0.775  -0.770 -0.972  -0.601 -1.118  -0.353 -1.118  -0.106 -1.118  0.128 -1.063  0.359 -0.997  0.531 -0.837  0.728 -0.695  0.857 -0.493  0.955 -0.286  1.004 -0.047  1.004 0.200  1.004 0.447  0.882 0.629  0.790 0.810  0.610 0.943  0.442 1.051  0.206 1.100  -0.041 1.100  -0.204 0.994  -0.262 0.754  -0.320 0.513  -0.377 0.273  -0.435 0.033  -0.552 -0.132  -0.689 -0.280  -0.616 -0.132  -0.435 -0.013  -0.194 0.016  -0.000 -0.049  0.068 -0.254  0.140 -0.436  0.294 -0.586  0.412 -0.771  0.652 -0.822  0.899 -0.822  1.085 -0.724  1.152 -0.576
1b#tos#f2#f2041064/R  -0.577 1.204  -0.751 1.119  -0.707 0.903  -0.664 0.688  -0.664 0.429  -0.621 0.180  -0.621 -0.078  -0.621 -0.337  -0.621 -0.596  -0.577 -0.844  -0.535 -1.093  -0.534 -1.352  -0.491 -1.490  -0.491 -1.231  -0.478 -0.973  -0.458 -0.715  -0.438 -0.457  -0.418 -0.199  -0.398 0.059  -0.379 0.317  -0.359 0.575  -0.339 0.833  -0.319 1.091  -0.331 1.233  -0.078 1.247  0.180 1.247  0.439 1.247  0.644 1.161  0.849 1.030  1.004 0.860  1.027 0.607  0.899 0.402  0.707 0.233  0.490 0.094  0.278 -0.023  0.077 -0.182  -0.138 -0.325  -0.290 -0.488  -0.396 -0.502  -0.171 -0.375  0.054 -0.248  0.280 -0.120  0.505 0.007  0.464 -0.120  0.583 -0.335  0.695 -0.560  0.861 -0.755  0.984 -0.963  1.159 -1.138  1.288 -1.268
1b#tos#f2#f2041064/S  0.999 0.816  0.913 0.735  0.835 0.816  0.763 0.956  0.645 1.031  0.513 1.116  0.346 1.116  0.178 1.116  0.011 1.116  -0.157 1.116  -0.301 1.060  -0.435 0.967  -0.580 0.890  -0.722 0.811  -0.826 0.682  -0.888 0.537  -0.844 0.387  -0.733 0.289  -0.584 0.212  -0.438 0.138  -0.272 0.130  -0.104 0.130  0.063 0.130  0.227 0.126  0.346 0.045  0.506 0.013  0.653 -0.041  0.813 -0.084  0.877 -0.213  0.999 -0.259  1.041 -0.384  0.999 -0.534  0.864 -0.602  0.723 -0.690  0.566 -0.750  0.403 -0.770  0.236 -0.770  0.121 -0.856  -0.046 -0.856  -0.214 -0.856  -0.381 -0.856  -0.523 -0.792  -0.629 -0.686  -0.673 -0.562  -0.716 -0.674  -0.780 -0.802  -0.802 -0.956  -0.913 -1.052  -0.977 -1.199  -1.102 -1.241
1b#tos#f2#f2041064/T  -1.230 0.332  -1.338 0.252  -1.397 0.187  -1.263 0.187  -1.128 0.187  -0.994 0.187  -0.859 0.187  -0.725 0.187  -0.607 0.228  -0.500 0.304  -0.375 0.354  -0.246 0.381  -0.122 0.426  -0.000 0.478  0.133 0.482  0.245 0.556  0.374 0.576  0.501 0.619  0.635 0.623  0.759 0.657  0.875 0.720  0.998 0.768  1.132 0.768  1.121 0.756  0.989 0.732  0.857 0.709  0.724 0.686  0.592 0.662  0.459 0.639  0.339 0.593  0.244 0.498  0.220 0.372  0.176 0.248  0.176 0.114  0.168 -0.018  0.093 -0.130  0.079 -0.260  0.079 -0.395  0.062 -0.527  0.035 -0.659  0.030 -0.793  0.007 -0.925  -0.028 -1.054  -0.071 -1.182  -0.113 -1.310  -0.125 -1.442  -0.172 -1.567  -0.237 -1.681  -0.261 -1.811  -0.309 -1.897
