3#apb#apb16#app1611/B  -0.274 0.587  -0.325 0.388  -0.402 0.181  -0.479 -0.026  -0.560 -0.231  -0.645 -0.434  -0.751 -0.627  -0.861 -0.819  -0.988 -0.997  -1.028 -0.913  -0.965 -0.702  -0.880 -0.499  -0.793 -0.296  -0.697 -0.098  -0.600 0.100  -0.502 0.298  -0.402 0.494  -0.301 0.690  -0.195 0.884  -0.078 1.070  0.039 1.257  0.191 1.414  0.359 1.499  0.499 1.330  0.568 1.124  0.559 0.905  0.516 0.688  0.397 0.504  0.261 0.331  0.101 0.182  0.042 0.311  0.161 0.490  0.341 0.616  0.541 0.664  0.719 0.544  0.841 0.364  0.931 0.164  0.989 -0.049  1.028 -0.266  1.018 -0.481  0.941 -0.685  0.819 -0.869  0.655 -1.015  0.478 -1.144  0.283 -1.247  0.065 -1.281  -0.153 -1.278  -0.356 -1.205  -0.511 -1.062  -0.597 -0.858
3#apb#apb16#app1611/l  0.392 1.424  0.427 1.486  0.410 1.518  0.430 1.451  0.437 1.382  0.422 1.313  0.408 1.244  0.393 1.175  0.378 1.106  0.361 1.037  0.344 0.969  0.326 0.900  0.308 0.832  0.291 0.764  0.273 0.695  0.254 0.627  0.228 0.561  0.203 0.495  0.177 0.430  0.152 0.364  0.126 0.298  0.101 0.232  0.075 0.166  0.050 0.100  0.026 0.034  0.002 -0.033  -0.022 -0.099  -0.047 -0.166  -0.071 -0.232  -0.095 -0.298  -0.119 -0.365  -0.143 -0.431  -0.169 -0.497  -0.195 -0.563  -0.221 -0.628  -0.247 -0.694  -0.272 -0.760  -0.298 -0.826  -0.324 -0.892  -0.351 -0.957  -0.379 -1.022  -0.406 -1.087  -0.434 -1.152  -0.460 -1.217  -0.470 -1.287  -0.480 -1.357  -0.490 -1.427  -0.478 -1.495  -0.446 -1.551  -0.376 -1.565
3#apb#apb16#app1611/u  0.045 1.434  -0.060 1.429  -0.097 1.274  -0.176 1.129  -0.254 0.983  -0.330 0.837  -0.404 0.689  -0.478 0.541  -0.551 0.394  -0.622 0.245  -0.690 0.094  -0.758 -0.056  -0.826 -0.207  -0.894 -0.357  -0.964 -0.507  -1.034 -0.656  -1.089 -0.811  -1.122 -0.973  -1.099 -1.127  -0.965 -1.155  -0.808 -1.103  -0.670 -1.018  -0.545 -0.910  -0.421 -0.802  -0.296 -0.694  -0.179 -0.577  -0.062 -0.461  0.055 -0.344  0.164 -0.221  0.258 -0.085  0.351 0.051  0.444 0.188  0.538 0.323  0.645 0.449  0.752 0.575  0.858 0.701  0.941 0.844  1.020 0.919  1.007 0.784  0.972 0.623  0.946 0.460  0.918 0.298  0.855 0.145  0.792 -0.007  0.729 -0.160  0.677 -0.316  0.628 -0.474  0.590 -0.634  0.590 -0.799  0.621 -0.960
3#apb#apb16#app1611/e  -0.433 0.667  -0.484 0.496  -0.536 0.325  -0.609 0.162  -0.681 -0.001  -0.754 -0.164  -0.794 -0.332  -0.776 -0.510  -0.734 -0.681  -0.658 -0.838  -0.482 -0.868  -0.318 -0.936  -0.154 -1.000  0.015 -0.944  0.172 -0.867  0.293 -0.736  0.398 -0.592  0.503 -0.448  0.594 -0.295  0.680 -0.138  0.744 0.025  0.768 0.202  0.791 0.379  0.814 0.556  0.834 0.733  0.855 0.910  0.861 1.087  0.832 1.263  0.801 1.439  0.707 1.552  0.552 1.463  0.438 1.332  0.344 1.181  0.249 1.030  0.155 0.878  0.060 0.727  -0.035 0.576  -0.129 0.424  -0.195 0.261  -0.243 0.089  -0.290 -0.083  -0.342 -0.254  -0.422 -0.413  -0.502 -0.573  -0.533 -0.744  -0.533 -0.922  -0.533 -1.101  -0.494 -1.272  -0.430 -1.439  -0.366 -1.605
3#apb#apb16#app1611/S  0.777 0.836  0.849 0.916  0.921 0.996  0.984 1.083  0.995 1.175  0.887 1.175  0.788 1.140  0.691 1.092  0.598 1.040  0.507 0.981  0.417 0.923  0.327 0.864  0.236 0.806  0.145 0.748  0.055 0.691  -0.036 0.633  -0.127 0.576  -0.219 0.519  -0.310 0.463  -0.401 0.405  -0.487 0.340  -0.573 0.276  -0.630 0.185  -0.674 0.128  -0.578 0.080  -0.474 0.060  -0.366 0.060  -0.259 0.060  -0.151 0.060  -0.044 0.048  0.032 -0.011  0.075 -0.108  0.101 -0.212  0.111 -0.318  0.105 -0.426  0.098 -0.533  0.067 -0.636  0.035 -0.738  0.003 -0.841  -0.055 -0.932  -0.113 -1.022  -0.171 -1.113  -0.243 -1.193  -0.317 -1.271  -0.390 -1.350  -0.466 -1.426  -0.542 -1.502  -0.629 -1.563  -0.727 -1.605  -0.824 -1.557
3#apb#apb16#app1611/p  0.258 0.907  0.284 0.737  0.221 0.574  0.175 0.405  0.133 0.236  0.074 0.072  0.004 -0.088  -0.066 -0.248  -0.132 -0.410  -0.197 -0.572  -0.263 -0.734  -0.333 -0.894  -0.403 -1.054  -0.473 -1.214  -0.529 -1.379  -0.582 -1.546  -0.644 -1.709  -0.679 -1.677  -0.652 -1.504  -0.639 -1.330  -0.625 -1.156  -0.568 -0.991  -0.511 -0.826  -0.455 -0.660  -0.402 -0.494  -0.350 -0.327  -0.297 -0.160  -0.248 0.007  -0.201 0.176  -0.154 0.344  -0.107 0.512  -0.040 0.672  0.040 0.828  0.121 0.983  0.214 1.129  0.324 1.266  0.457 1.376  0.618 1.413  0.737 1.311  0.789 1.144  0.827 0.974  0.857 0.802  0.857 0.630  0.788 0.472  0.672 0.345  0.520 0.266  0.350 0.229  0.186 0.254  0.068 0.381  -0.026 0.529
3#apb#apb16#app1611/r  0.097 0.774  0.020 0.922  -0.123 1.008  -0.173 1.147  -0.233 1.278  -0.233 1.127  -0.233 0.959  -0.233 0.792  -0.233 0.624  -0.233 0.457  -0.233 0.289  -0.226 0.122  -0.209 -0.045  -0.193 -0.212  -0.176 -0.378  -0.159 -0.545  -0.170 -0.712  -0.180 -0.879  -0.191 -1.047  -0.167 -1.209  -0.110 -1.366  -0.053 -1.524  -0.050 -1.691  -0.083 -1.853  -0.126 -1.709  -0.140 -1.542  -0.154 -1.375  -0.159 -1.208  -0.159 -1.040  -0.159 -0.872  -0.155 -0.705  -0.122 -0.541  -0.089 -0.377  -0.056 -0.212  -0.024 -0.048  0.002 0.117  0.025 0.283  0.048 0.449  0.070 0.615  0.093 0.781  0.127 0.945  0.163 1.109  0.170 1.276  0.304 1.207  0.456 1.147  0.574 1.028  0.649 0.878  0.724 0.728  0.813 0.586  0.902 0.444
3#apb#apb16#app1611/i  0.189 -0.028  0.122 0.004  0.051 -0.062  0.032 -0.166  0.009 -0.270  -0.023 -0.371  -0.055 -0.473  -0.077 -0.576  -0.084 -0.682  -0.091 -0.789  -0.109 -0.893  -0.132 -0.997  -0.153 -1.101  -0.169 -1.207  -0.185 -1.312  -0.239 -1.402  -0.264 -1.423  -0.245 -1.318  -0.227 -1.213  -0.209 -1.109  -0.191 -1.004  -0.173 -0.899  -0.155 -0.794  -0.137 -0.689  -0.119 -0.584  -0.101 -0.479  -0.083 -0.375  -0.065 -0.270  -0.047 -0.165  -0.029 -0.060  -0.011 0.045  0.007 0.150  0.025 0.255  0.043 0.359  0.061 0.464  0.079 0.569  0.097 0.674  0.115 0.779  0.133 0.884  0.151 0.989  0.169 1.093  0.187 1.198  0.205 1.303  0.223 1.408  0.241 1.513  0.259 1.618  0.277 1.723  0.242 1.815  0.196 1.903  0.264 1.965
3#apb#apb16#app1611/n  0.012 1.127  -0.019 0.941  -0.050 0.756  -0.081 0.570  -0.111 0.385  -0.149 0.201  -0.200 0.020  -0.252 -0.161  -0.299 -0.343  -0.341 -0.526  -0.384 -0.709  -0.470 -0.876  -0.561 -1.040  -0.639 -1.211  -0.715 -1.383  -0.721 -1.484  -0.748 -1.297  -0.738 -1.110  -0.722 -0.923  -0.681 -0.741  -0.619 -0.563  -0.556 -0.386  -0.493 -0.209  -0.415 -0.038  -0.338 0.134  -0.261 0.305  -0.184 0.477  -0.098 0.644  -0.011 0.811  0.077 0.977  0.164 1.144  0.275 1.294  0.398 1.437  0.491 1.535  0.606 1.394  0.676 1.221  0.710 1.036  0.735 0.851  0.694 0.668  0.656 0.484  0.625 0.298  0.595 0.113  0.564 -0.073  0.546 -0.260  0.532 -0.447  0.515 -0.635  0.495 -0.822  0.485 -1.009  0.485 -1.197  0.521 -1.382
3#apb#apb16#app1611/g  0.188 0.720  0.122 0.839  0.031 0.944  -0.108 0.931  -0.231 0.879  -0.333 0.785  -0.426 0.682  -0.516 0.575  -0.589 0.457  -0.628 0.327  -0.589 0.204  -0.452 0.209  -0.317 0.245  -0.189 0.299  -0.070 0.370  0.041 0.455  0.130 0.562  0.216 0.671  0.267 0.797  0.281 0.935  0.269 1.073  0.232 1.207  0.185 1.282  0.162 1.144  0.162 1.005  0.162 0.865  0.160 0.726  0.153 0.587  0.152 0.447  0.158 0.308  0.167 0.169  0.178 0.030  0.188 -0.109  0.198 -0.248  0.207 -0.387  0.215 -0.526  0.215 -0.666  0.215 -0.805  0.212 -0.945  0.206 -1.084  0.197 -1.223  0.179 -1.361  0.160 -1.500  0.128 -1.635  0.078 -1.763  -0.031 -1.828  -0.161 -1.778  -0.284 -1.712  -0.391 -1.624  -0.497 -1.533
3#apb#apb16#app1611/s  0.579 0.653  0.652 0.711  0.652 0.808  0.646 0.905  0.630 1.001  0.567 1.073  0.492 1.133  0.408 1.183  0.321 1.227  0.232 1.244  0.138 1.219  0.044 1.193  -0.040 1.149  -0.117 1.089  -0.194 1.029  -0.259 0.957  -0.314 0.879  -0.337 0.784  -0.356 0.689  -0.375 0.593  -0.399 0.499  -0.426 0.406  -0.414 0.311  -0.393 0.216  -0.361 0.124  -0.321 0.036  -0.281 -0.053  -0.233 -0.137  -0.179 -0.218  -0.125 -0.299  -0.062 -0.372  0.003 -0.445  0.069 -0.517  0.129 -0.593  0.186 -0.672  0.244 -0.750  0.305 -0.826  0.315 -0.920  0.297 -1.014  0.265 -1.106  0.202 -1.180  0.137 -1.250  0.042 -1.272  -0.053 -1.294  -0.147 -1.316  -0.243 -1.336  -0.338 -1.356  -0.433 -1.376  -0.528 -1.396  -0.623 -1.416
