1d#app#app08#app0832/!  0.251 1.498  0.254 1.579  0.332 1.572  0.343 1.498  0.414 1.484  0.414 1.399  0.414 1.314  0.414 1.229  0.414 1.144  0.414 1.059  0.414 0.974  0.414 0.889  0.414 0.804  0.414 0.719  0.380 0.648  0.332 0.583  0.332 0.498  0.307 0.438  0.251 0.410  0.251 0.325  0.251 0.240  0.251 0.155  0.228 0.077  0.182 0.005  0.136 -0.066  0.090 -0.137  0.043 -0.209  -0.003 -0.280  -0.049 -0.351  -0.095 -0.423  -0.141 -0.494  -0.187 -0.565  -0.234 -0.637  -0.280 -0.708  -0.326 -0.779  -0.372 -0.851  -0.418 -0.922  -0.464 -0.993  -0.510 -1.065  -0.557 -1.136  -0.603 -1.207  -0.640 -1.274  -0.557 -1.267  -0.497 -1.207  -0.483 -1.128  -0.483 -1.043  -0.411 -1.029  -0.401 -0.954  -0.323 -0.948  -0.320 -0.866
1d#app#app08#app0832/@  0.355 0.018  0.362 0.018  0.483 0.158  0.379 0.376  0.181 0.526  -0.074 0.502  -0.311 0.399  -0.444 0.272  -0.565 0.115  -0.661 -0.106  -0.569 -0.328  -0.376 -0.490  -0.115 -0.490  0.019 -0.363  0.227 -0.237  0.355 -0.104  0.355 -0.120  0.483 -0.254  0.634 -0.363  0.864 -0.333  0.991 -0.199  0.991 0.061  0.991 0.322  0.951 0.566  0.803 0.776  0.737 1.021  0.610 1.229  0.462 1.416  0.201 1.416  -0.050 1.392  -0.268 1.289  -0.445 1.105  -0.590 0.888  -0.754 0.688  -0.884 0.464  -1.047 0.264  -1.163 0.031  -1.170 -0.228  -1.170 -0.489  -1.054 -0.722  -0.966 -0.948  -0.780 -1.130  -0.547 -1.247  -0.288 -1.253  -0.027 -1.253  0.232 -1.249  0.416 -1.065  0.638 -0.971  0.737 -0.751  0.864 -0.618
1d#app#app08#app0832/#  0.330 1.114  0.330 0.690  0.138 0.458  0.138 0.033  0.066 -0.374  -0.054 -0.770  -0.246 -1.115  -0.177 -1.245  0.013 -0.866  0.202 -0.486  0.392 -0.107  0.582 0.273  0.772 0.652  0.961 1.032  1.099 1.424  1.099 1.149  0.959 0.782  0.906 0.380  0.714 0.035  0.714 -0.389  0.714 -0.814  0.714 -1.238  0.509 -1.196  0.196 -0.909  -0.116 -0.622  -0.429 -0.336  -0.742 -0.049  -1.055 0.238  -1.368 0.524  -1.506 0.645  -1.126 0.538  -0.702 0.538  -0.278 0.538  0.088 0.396  0.491 0.345  0.915 0.345  0.860 0.314  0.439 0.257  0.018 0.201  -0.402 0.145  -0.823 0.089  -1.243 0.033  -1.664 -0.023  -1.560 -0.231  -1.157 -0.282  -0.791 -0.423  -0.366 -0.423  0.058 -0.423  0.482 -0.423  0.906 -0.423
1d#app#app08#app0832/$  1.028 0.477  0.880 0.689  0.634 0.896  0.341 1.069  -0.019 1.069  -0.357 1.016  -0.600 0.843  -0.748 0.631  -0.498 0.375  -0.244 0.120  0.011 -0.135  0.266 -0.389  0.542 -0.613  0.837 -0.812  0.880 -1.154  0.727 -1.448  0.367 -1.448  0.007 -1.448  -0.205 -1.300  -0.565 -1.300  -0.864 -1.152  -1.045 -0.886  -1.193 -0.674  -1.039 -0.368  -0.814 -0.087  -0.589 0.194  -0.364 0.475  -0.140 0.757  -0.009 0.772  -0.156 0.473  -0.156 0.112  -0.156 -0.248  -0.156 -0.608  -0.156 -0.968  -0.103 -0.685  -0.044 -0.329  0.015 0.026  0.075 0.381  0.134 0.736  0.193 1.091  0.252 1.446  0.430 1.661  0.436 1.307  0.436 0.947  0.288 0.648  0.288 0.288  0.288 -0.072  0.288 -0.432  0.288 -0.792  0.288 -1.152
1d#app#app08#app0832/%  -0.221 0.835  -0.467 0.835  -0.713 0.835  -0.959 0.835  -1.157 0.719  -1.178 0.482  -0.989 0.425  -0.791 0.539  -0.577 0.616  -0.365 0.698  -0.258 0.857  -0.019 0.910  0.221 0.964  0.461 1.017  0.701 1.070  0.800 1.108  0.735 0.928  0.598 0.818  0.509 0.609  0.336 0.436  0.162 0.262  -0.038 0.152  -0.174 -0.026  -0.360 -0.123  -0.495 -0.313  -0.611 -0.511  -0.785 -0.685  -0.981 -0.804  -1.076 -0.976  -1.090 -1.026  -0.878 -0.903  -0.665 -0.779  -0.453 -0.655  -0.241 -0.531  -0.029 -0.407  0.184 -0.284  0.396 -0.160  0.462 -0.291  0.456 -0.531  0.325 -0.646  0.387 -0.866  0.601 -0.941  0.847 -0.941  1.093 -0.941  1.202 -0.804  1.281 -0.638  1.279 -0.393  1.090 -0.258  0.844 -0.258  0.598 -0.258
1d#app#app08#app0832/^  -1.814 -0.277  -1.686 -0.277  -1.558 -0.277  -1.431 -0.277  -1.303 -0.277  -1.193 -0.234  -1.103 -0.144  -1.013 -0.054  -0.912 0.012  -0.785 0.012  -0.657 0.013  -0.543 0.070  -0.429 0.127  -0.315 0.184  -0.200 0.241  -0.086 0.298  0.041 0.301  0.168 0.301  0.208 0.388  0.208 0.516  0.208 0.644  0.208 0.771  0.229 0.879  0.356 0.879  0.484 0.879  0.497 0.993  0.497 1.121  0.497 1.087  0.497 0.959  0.497 0.832  0.497 0.704  0.497 0.576  0.497 0.449  0.497 0.321  0.497 0.193  0.497 0.066  0.497 -0.062  0.497 -0.190  0.497 -0.317  0.497 -0.445  0.497 -0.572  0.497 -0.700  0.497 -0.828  0.497 -0.955  0.497 -1.083  0.497 -1.211  0.497 -1.338  0.531 -1.432  0.659 -1.432  0.786 -1.432
1d#app#app08#app0832/&  0.251 -1.453  0.251 -1.239  0.189 -1.087  0.130 -0.932  0.041 -0.755  0.008 -0.554  -0.114 -0.462  -0.114 -0.248  -0.236 -0.155  -0.236 0.059  -0.255 0.254  -0.358 0.365  -0.480 0.458  -0.480 0.672  -0.480 0.886  -0.480 1.100  -0.358 1.264  -0.231 1.351  -0.114 1.449  0.076 1.473  0.290 1.473  0.504 1.473  0.689 1.401  0.760 1.229  0.861 1.115  0.802 0.926  0.736 0.739  0.585 0.587  0.495 0.410  0.368 0.249  0.251 0.083  0.116 -0.004  -0.036 -0.155  -0.218 -0.234  -0.374 -0.372  -0.545 -0.478  -0.713 -0.589  -0.900 -0.654  -0.968 -0.840  -0.878 -0.965  -0.714 -1.087  -0.500 -1.087  -0.336 -0.965  -0.122 -0.965  0.042 -0.843  0.219 -0.754  0.415 -0.701  0.606 -0.605  0.697 -0.478  0.861 -0.356
1d#app#app08#app0832/*  1.694 1.195  1.490 0.991  1.286 0.787  1.082 0.583  0.878 0.379  0.602 0.347  0.452 0.124  0.322 -0.134  0.086 -0.219  -0.144 -0.360  -0.348 -0.565  -0.552 -0.769  -0.834 -0.785  -0.851 -1.056  -0.927 -0.801  -1.007 -0.523  -1.086 -0.246  -1.165 0.032  -1.244 0.310  -1.324 0.587  -1.403 0.865  -1.177 0.912  -1.134 0.667  -0.883 0.629  -0.621 0.515  -0.363 0.385  -0.285 0.145  -0.078 0.064  0.148 -0.087  0.352 -0.291  0.556 -0.495  0.842 -0.502  1.129 -0.504  1.137 -0.785  1.399 -0.778  1.141 -0.649  0.883 -0.520  0.624 -0.391  0.366 -0.262  0.108 -0.133  -0.150 -0.004  -0.408 0.125  -0.666 0.254  -0.769 0.347  -0.506 0.284  -0.302 0.080  -0.020 0.064  0.269 0.064  0.557 0.064  0.846 0.064
1d#app#app08#app0832/(  0.434 1.556  0.434 1.478  0.434 1.400  0.390 1.367  0.312 1.367  0.245 1.356  0.245 1.279  0.245 1.201  0.206 1.139  0.151 1.084  0.096 1.028  0.055 0.968  0.055 0.890  0.055 0.812  0.026 0.741  -0.008 0.671  -0.043 0.601  -0.078 0.532  -0.113 0.462  -0.135 0.389  -0.135 0.311  -0.135 0.233  -0.187 0.177  -0.242 0.122  -0.297 0.067  -0.324 0.000  -0.324 -0.078  -0.324 -0.156  -0.324 -0.233  -0.324 -0.311  -0.324 -0.389  -0.324 -0.467  -0.313 -0.541  -0.258 -0.596  -0.203 -0.651  -0.148 -0.706  -0.108 -0.772  -0.074 -0.842  -0.039 -0.911  -0.004 -0.981  0.031 -1.051  0.055 -1.123  0.055 -1.201  0.055 -1.279  0.103 -1.337  0.158 -1.392  0.213 -1.447  0.245 -1.512  0.245 -1.590  0.245 -1.667
1d#app#app08#app0832/)  -0.614 1.488  -0.561 1.436  -0.509 1.384  -0.457 1.332  -0.385 1.328  -0.311 1.328  -0.293 1.273  -0.293 1.199  -0.274 1.130  -0.241 1.064  -0.208 0.998  -0.175 0.932  -0.142 0.866  -0.095 0.810  -0.043 0.758  0.009 0.706  0.028 0.640  0.028 0.566  0.043 0.496  0.076 0.430  0.109 0.364  0.142 0.298  0.175 0.232  0.188 0.162  0.188 0.088  0.188 0.014  0.188 -0.060  0.188 -0.133  0.188 -0.207  0.188 -0.281  0.188 -0.354  0.188 -0.428  0.188 -0.502  0.188 -0.576  0.188 -0.649  0.188 -0.723  0.188 -0.797  0.188 -0.870  0.188 -0.944  0.188 -1.018  0.188 -1.092  0.188 -1.165  0.187 -1.239  0.154 -1.305  0.121 -1.371  0.088 -1.437  0.055 -1.503  0.015 -1.557  -0.059 -1.557  -0.133 -1.557
1d#app#app08#app0832/`  -0.661 1.192  -0.585 1.192  -0.510 1.192  -0.434 1.192  -0.358 1.192  -0.283 1.192  -0.207 1.192  -0.132 1.192  -0.056 1.192  0.020 1.192  0.080 1.177  0.080 1.101  0.080 1.026  0.080 0.950  0.080 0.874  0.080 0.799  0.080 0.723  0.080 0.647  0.080 0.572  0.080 0.496  0.080 0.421  0.080 0.345  0.080 0.269  0.080 0.194  0.080 0.118  0.080 0.042  0.080 -0.033  0.080 -0.109  0.080 -0.185  0.080 -0.260  0.080 -0.336  0.080 -0.411  0.080 -0.487  0.080 -0.563  0.080 -0.638  0.080 -0.714  0.080 -0.790  0.080 -0.865  0.080 -0.941  0.080 -1.016  0.080 -1.092  0.080 -1.168  0.080 -1.243  0.080 -1.319  0.080 -1.395  0.080 -1.470  0.080 -1.546  0.080 -1.621  0.080 -1.697  0.080 -1.773
