2#app#app13#app1398/t  1.272 0.063  1.099 0.066  1.093 0.236  0.918 0.236  0.742 0.236  0.566 0.236  0.391 0.236  0.221 0.221  0.097 0.097  -0.065 0.063  -0.202 -0.030  -0.345 -0.110  -0.455 -0.175  -0.524 -0.282  -0.628 -0.354  -0.610 -0.383  -0.567 -0.212  -0.525 -0.042  -0.482 0.129  -0.439 0.299  -0.397 0.470  -0.354 0.640  -0.311 0.810  -0.269 0.981  -0.226 1.151  -0.184 1.322  -0.141 1.492  -0.110 1.571  -0.110 1.395  -0.110 1.220  -0.085 1.050  -0.006 0.893  0.063 0.733  0.063 0.558  0.063 0.382  0.063 0.206  0.063 0.030  0.063 -0.145  0.063 -0.321  0.063 -0.497  0.063 -0.672  0.063 -0.848  0.063 -1.024  0.063 -1.200  0.063 -1.375  0.063 -1.551  0.063 -1.727  0.017 -1.883  -0.108 -2.008  -0.110 -2.182
2#app#app13#app1398/h  0.152 2.163  0.152 1.999  0.152 1.834  0.086 1.686  0.013 1.539  -0.021 1.382  -0.021 1.218  -0.021 1.053  -0.049 0.896  -0.123 0.749  -0.194 0.601  -0.194 0.437  -0.194 0.272  -0.262 0.124  -0.336 -0.023  -0.367 -0.180  -0.367 -0.345  -0.367 -0.509  -0.367 -0.673  -0.367 -0.838  -0.390 -0.996  -0.464 -1.143  -0.537 -1.291  -0.540 -1.454  -0.540 -1.317  -0.495 -1.160  -0.443 -1.004  -0.391 -0.848  -0.367 -0.687  -0.331 -0.532  -0.257 -0.384  -0.194 -0.235  -0.184 -0.075  -0.068 0.041  -0.021 0.186  -0.021 0.351  0.060 0.434  0.225 0.434  0.325 0.370  0.380 0.261  0.498 0.214  0.498 0.050  0.519 -0.106  0.635 -0.222  0.671 -0.372  0.671 -0.536  0.739 -0.672  0.844 -0.793  0.852 -0.949  1.017 -0.949
2#app#app13#app1398/e  -0.172 0.102  -0.172 0.231  -0.123 0.311  0.007 0.311  0.107 0.381  0.198 0.473  0.308 0.520  0.437 0.520  0.455 0.632  0.487 0.729  0.616 0.729  0.664 0.811  0.664 0.940  0.664 1.069  0.613 1.147  0.484 1.147  0.354 1.147  0.225 1.147  0.096 1.147  -0.013 1.098  -0.104 1.006  -0.196 0.915  -0.287 0.823  -0.379 0.732  -0.381 0.603  -0.402 0.479  -0.460 0.363  -0.517 0.248  -0.575 0.132  -0.590 0.006  -0.590 -0.123  -0.590 -0.252  -0.590 -0.382  -0.590 -0.511  -0.590 -0.640  -0.565 -0.759  -0.474 -0.851  -0.382 -0.942  -0.381 -1.071  -0.333 -1.152  -0.204 -1.152  -0.103 -1.221  -0.012 -1.313  0.097 -1.362  0.227 -1.362  0.356 -1.362  0.485 -1.362  0.615 -1.362  0.744 -1.362  0.873 -1.362
2#app#app13#app1398/m  -0.920 0.643  -0.798 0.521  -0.676 0.399  -0.668 0.230  -0.725 0.081  -0.847 -0.041  -0.920 -0.183  -0.920 -0.355  -0.920 -0.528  -0.920 -0.700  -0.920 -0.873  -0.920 -1.045  -0.920 -1.030  -0.920 -0.857  -0.920 -0.685  -0.920 -0.512  -0.902 -0.348  -0.780 -0.226  -0.668 -0.099  -0.668 0.073  -0.592 0.214  -0.470 0.336  -0.416 0.486  -0.405 0.654  -0.283 0.776  -0.160 0.896  0.013 0.896  0.185 0.896  0.342 0.880  0.342 0.707  0.342 0.535  0.371 0.391  0.543 0.391  0.594 0.270  0.594 0.097  0.594 -0.075  0.594 -0.248  0.594 -0.420  0.594 -0.593  0.741 -0.619  0.847 -0.552  0.847 -0.380  0.959 -0.254  1.081 -0.132  1.247 -0.114  1.352 -0.047  1.352 0.126  1.512 0.138  1.684 0.138  1.857 0.138
2#app#app13#app1398/o  -0.128 0.172  -0.128 0.322  -0.080 0.425  0.070 0.425  0.126 0.519  0.126 0.670  0.267 0.678  0.417 0.678  0.568 0.678  0.718 0.678  0.868 0.678  0.885 0.545  0.885 0.395  0.885 0.245  0.885 0.095  0.885 -0.055  0.885 -0.206  0.885 -0.356  0.885 -0.506  0.885 -0.656  0.885 -0.806  0.804 -0.923  0.697 -1.029  0.574 -1.094  0.424 -1.094  0.274 -1.094  0.124 -1.094  -0.027 -1.094  -0.177 -1.094  -0.327 -1.094  -0.381 -0.998  -0.381 -0.848  -0.445 -0.713  -0.512 -0.578  -0.579 -0.444  -0.654 -0.315  -0.760 -0.209  -0.866 -0.103  -0.887 0.039  -0.887 0.189  -0.887 0.339  -0.887 0.490  -0.887 0.640  -0.887 0.790  -0.879 0.932  -0.728 0.932  -0.634 0.987  -0.634 1.138  -0.634 1.288  -0.634 1.438
2#app#app13#app1398/c  0.398 0.518  0.398 0.640  0.416 0.743  0.538 0.743  0.623 0.779  0.623 0.900  0.584 1.006  0.498 1.092  0.412 1.178  0.297 1.192  0.176 1.192  0.054 1.192  -0.062 1.180  -0.148 1.095  -0.234 1.009  -0.320 0.923  -0.406 0.837  -0.492 0.751  -0.500 0.633  -0.504 0.514  -0.590 0.428  -0.676 0.342  -0.725 0.241  -0.725 0.120  -0.725 -0.002  -0.725 -0.123  -0.725 -0.245  -0.725 -0.366  -0.725 -0.487  -0.722 -0.608  -0.636 -0.693  -0.550 -0.779  -0.450 -0.829  -0.328 -0.829  -0.276 -0.898  -0.276 -1.019  -0.189 -1.054  -0.067 -1.054  0.054 -1.054  0.175 -1.052  0.261 -0.967  0.347 -0.881  0.447 -0.829  0.568 -0.829  0.689 -0.829  0.811 -0.829  0.932 -0.829  1.054 -0.829  1.072 -0.726  1.072 -0.605
2#app#app13#app1398/k  -0.454 2.033  -0.454 1.830  -0.454 1.627  -0.454 1.425  -0.454 1.222  -0.454 1.020  -0.454 0.817  -0.454 0.614  -0.454 0.412  -0.454 0.209  -0.454 0.006  -0.421 -0.189  -0.331 -0.370  -0.240 -0.551  -0.184 -0.741  -0.184 -0.943  -0.184 -1.146  -0.184 -1.349  -0.184 -1.551  -0.182 -1.730  -0.146 -1.530  -0.110 -1.331  -0.073 -1.131  -0.037 -0.932  -0.001 -0.733  0.035 -0.533  0.072 -0.334  0.108 -0.135  0.144 0.065  0.180 0.264  0.217 0.463  0.253 0.663  0.289 0.862  0.325 1.062  0.355 1.186  0.355 0.984  0.355 0.781  0.249 0.685  0.085 0.645  0.085 0.443  0.085 0.240  0.085 0.037  0.085 -0.165  0.085 -0.368  0.210 -0.519  0.354 -0.662  0.556 -0.663  0.758 -0.663  0.961 -0.663  1.164 -0.663
2#app#app13#app1398/j  -0.069 0.572  0.048 0.565  0.048 0.441  0.048 0.317  0.067 0.201  0.155 0.113  0.165 -0.007  0.165 -0.131  0.165 -0.255  0.165 -0.379  0.165 -0.503  0.165 -0.627  0.165 -0.751  0.165 -0.875  0.165 -0.999  0.128 -1.108  0.048 -1.199  0.048 -1.323  0.023 -1.422  -0.069 -1.454  -0.069 -1.501  -0.069 -1.377  -0.069 -1.253  -0.069 -1.129  -0.069 -1.005  -0.069 -0.881  -0.069 -0.757  -0.069 -0.633  -0.069 -0.509  -0.069 -0.385  -0.069 -0.260  -0.069 -0.136  -0.069 -0.012  -0.069 0.112  -0.069 0.236  -0.069 0.360  -0.069 0.484  -0.069 0.608  -0.069 0.732  -0.069 0.856  -0.069 0.981  -0.069 1.105  -0.069 1.229  -0.069 1.353  -0.069 1.477  -0.069 1.601  -0.069 1.725  -0.069 1.849  -0.069 1.973  0.048 1.980
2#app#app13#app1398/u  -0.829 1.228  -0.829 1.113  -0.829 0.997  -0.829 0.882  -0.829 0.767  -0.829 0.652  -0.829 0.537  -0.829 0.422  -0.829 0.306  -0.829 0.191  -0.829 0.076  -0.829 -0.039  -0.829 -0.154  -0.773 -0.247  -0.691 -0.328  -0.610 -0.409  -0.545 -0.498  -0.545 -0.613  -0.545 -0.728  -0.485 -0.818  -0.403 -0.900  -0.322 -0.981  -0.232 -1.042  -0.117 -1.042  -0.001 -1.042  0.023 -0.951  0.023 -0.836  0.060 -0.758  0.176 -0.758  0.291 -0.758  0.351 -0.669  0.403 -0.566  0.454 -0.463  0.506 -0.360  0.557 -0.257  0.590 -0.150  0.590 -0.035  0.590 0.081  0.663 0.166  0.744 0.247  0.826 0.329  0.874 0.424  0.874 0.539  0.874 0.654  0.951 0.737  1.033 0.819  1.114 0.900  1.158 0.997  1.158 1.113  1.158 1.228
2#app#app13#app1398/r  -0.371 -1.856  -0.371 -1.764  -0.371 -1.673  -0.371 -1.582  -0.371 -1.491  -0.371 -1.400  -0.371 -1.308  -0.371 -1.217  -0.371 -1.126  -0.371 -1.035  -0.371 -0.944  -0.371 -0.852  -0.369 -0.761  -0.340 -0.675  -0.311 -0.588  -0.283 -0.502  -0.254 -0.415  -0.225 -0.329  -0.196 -0.242  -0.167 -0.156  -0.138 -0.069  -0.110 0.017  -0.098 0.107  -0.098 0.198  -0.098 0.289  -0.098 0.380  -0.098 0.472  -0.098 0.563  -0.098 0.654  -0.098 0.745  -0.098 0.837  -0.098 0.928  -0.098 1.019  -0.098 1.110  -0.038 1.141  0.053 1.141  0.144 1.141  0.218 1.098  0.282 1.033  0.347 0.969  0.411 0.904  0.476 0.840  0.540 0.775  0.605 0.711  0.669 0.646  0.734 0.582  0.798 0.517  0.863 0.453  0.927 0.388  0.992 0.324
2#app#app13#app1398/y  -0.580 1.607  -0.580 1.464  -0.580 1.321  -0.580 1.177  -0.580 1.034  -0.580 0.891  -0.580 0.748  -0.563 0.622  -0.419 0.622  -0.383 0.515  -0.383 0.372  -0.383 0.228  -0.282 0.127  -0.181 0.026  -0.080 -0.076  0.026 -0.166  0.170 -0.166  0.241 -0.066  0.286 0.070  0.332 0.206  0.377 0.342  0.422 0.477  0.467 0.613  0.513 0.749  0.558 0.885  0.602 1.011  0.602 0.868  0.559 0.734  0.495 0.606  0.431 0.478  0.345 0.366  0.244 0.264  0.208 0.136  0.208 -0.007  0.208 -0.150  0.208 -0.294  0.155 -0.415  0.054 -0.517  0.011 -0.642  0.011 -0.785  0.011 -0.928  0.011 -1.072  0.011 -1.215  0.004 -1.355  -0.098 -1.457  -0.186 -1.563  -0.186 -1.706  -0.186 -1.850  -0.186 -1.993  -0.186 -2.136
