1c#app#app07#app0755/p  0.306 1.263  0.295 1.079  0.220 0.921  0.176 0.743  0.104 0.569  0.044 0.390  -0.015 0.212  -0.075 0.033  -0.139 -0.144  -0.217 -0.315  -0.263 -0.498  -0.296 -0.683  -0.327 -0.864  -0.382 -1.039  -0.440 -1.204  -0.468 -1.381  -0.468 -1.570  -0.535 -1.730  -0.630 -1.795  -0.584 -1.612  -0.539 -1.429  -0.493 -1.246  -0.447 -1.063  -0.401 -0.880  -0.356 -0.697  -0.310 -0.514  -0.264 -0.332  -0.218 -0.149  -0.173 0.034  -0.127 0.217  -0.081 0.400  -0.035 0.583  0.010 0.766  0.056 0.949  0.102 1.132  0.188 1.263  0.377 1.263  0.565 1.263  0.737 1.246  0.823 1.143  0.823 0.954  0.776 0.785  0.737 0.613  0.673 0.488  0.565 0.358  0.433 0.250  0.291 0.129  0.132 0.058  -0.026 -0.016  -0.124 0.058
1c#app#app07#app0755/a  0.394 0.675  0.196 0.675  0.010 0.650  -0.130 0.510  -0.321 0.495  -0.462 0.358  -0.601 0.218  -0.741 0.079  -0.885 -0.054  -1.061 -0.143  -1.222 -0.241  -1.258 -0.403  -1.402 -0.456  -1.402 -0.653  -1.402 -0.851  -1.295 -0.941  -1.098 -0.941  -0.900 -0.941  -0.863 -0.781  -0.685 -0.762  -0.545 -0.623  -0.380 -0.520  -0.203 -0.432  -0.051 -0.309  0.088 -0.170  0.228 -0.030  0.367 0.110  0.507 0.249  0.646 0.389  0.753 0.542  0.753 0.739  0.835 0.854  0.933 0.954  0.933 1.152  0.797 1.213  0.644 1.105  0.573 0.937  0.573 0.740  0.480 0.581  0.394 0.419  0.394 0.222  0.394 0.024  0.394 -0.173  0.394 -0.370  0.510 -0.519  0.682 -0.582  0.753 -0.708  0.897 -0.762  1.094 -0.762  1.292 -0.762
1c#app#app07#app0755/s  0.704 1.512  0.625 1.434  0.547 1.356  0.455 1.297  0.356 1.248  0.257 1.198  0.159 1.148  0.080 1.070  0.002 0.991  -0.076 0.913  -0.154 0.835  -0.246 0.788  -0.356 0.788  -0.442 0.728  -0.520 0.650  -0.613 0.608  -0.724 0.608  -0.744 0.517  -0.744 0.406  -0.744 0.295  -0.683 0.246  -0.572 0.246  -0.563 0.144  -0.532 0.065  -0.421 0.065  -0.331 0.014  -0.253 -0.064  -0.164 -0.116  -0.053 -0.116  0.035 -0.171  0.113 -0.249  0.204 -0.297  0.314 -0.297  0.342 -0.380  0.351 -0.487  0.429 -0.565  0.507 -0.643  0.523 -0.748  0.523 -0.858  0.523 -0.969  0.523 -1.079  0.523 -1.190  0.424 -1.202  0.321 -1.222  0.243 -1.300  0.165 -1.378  0.056 -1.383  -0.044 -1.407  -0.123 -1.485  -0.201 -1.563
1c#app#app07#app0755/s  1.211 1.267  1.211 1.152  1.195 1.052  1.080 1.052  0.965 1.052  0.850 1.052  0.749 1.019  0.668 0.938  0.587 0.857  0.479 0.838  0.364 0.838  0.249 0.838  0.135 0.836  0.032 0.784  -0.070 0.733  -0.173 0.682  -0.276 0.630  -0.379 0.579  -0.481 0.528  -0.584 0.476  -0.687 0.425  -0.716 0.328  -0.716 0.213  -0.716 0.098  -0.716 -0.017  -0.602 -0.018  -0.502 -0.033  -0.502 -0.147  -0.471 -0.232  -0.356 -0.232  -0.242 -0.232  -0.127 -0.232  -0.074 -0.294  -0.074 -0.409  0.004 -0.446  0.119 -0.446  0.140 -0.539  0.140 -0.654  0.140 -0.769  0.140 -0.884  0.140 -0.999  0.122 -1.106  0.041 -1.187  -0.040 -1.269  -0.141 -1.302  -0.256 -1.302  -0.371 -1.302  -0.486 -1.302  -0.502 -1.401  -0.502 -1.516
1c#app#app07#app0755/e  -0.245 -0.183  -0.141 -0.079  -0.019 -0.015  0.091 0.023  0.109 0.153  0.257 0.153  0.362 0.256  0.466 0.360  0.571 0.465  0.675 0.569  0.762 0.681  0.762 0.829  0.762 0.977  0.762 1.125  0.649 1.160  0.501 1.160  0.353 1.160  0.205 1.160  0.067 1.136  -0.037 1.032  -0.142 0.927  -0.246 0.823  -0.369 0.741  -0.492 0.659  -0.615 0.577  -0.738 0.495  -0.749 0.353  -0.830 0.239  -0.916 0.127  -0.916 -0.021  -0.916 -0.169  -0.916 -0.317  -0.916 -0.465  -0.850 -0.585  -0.749 -0.691  -0.749 -0.839  -0.617 -0.854  -0.469 -0.854  -0.331 -0.896  -0.198 -0.962  -0.065 -1.022  0.083 -1.022  0.231 -1.022  0.379 -1.022  0.526 -1.022  0.674 -1.022  0.822 -1.022  0.970 -1.022  1.098 -1.042  1.098 -1.190
1c#app#app07#app0755/d  -0.106 0.050  -0.263 -0.014  -0.434 -0.042  -0.579 -0.134  -0.745 -0.191  -0.897 -0.293  -1.035 -0.411  -1.212 -0.416  -1.281 -0.571  -1.304 -0.745  -1.264 -0.911  -1.103 -0.963  -0.921 -0.956  -0.758 -0.874  -0.600 -0.812  -0.445 -0.718  -0.275 -0.672  -0.146 -0.542  -0.016 -0.413  0.123 -0.296  0.262 -0.199  0.315 -0.029  0.422 0.117  0.539 0.252  0.546 0.433  0.628 0.597  0.710 0.761  0.723 0.941  0.815 1.086  0.815 1.269  0.815 1.452  0.802 1.604  0.673 1.474  0.543 1.345  0.460 1.182  0.378 1.018  0.340 0.843  0.272 0.673  0.204 0.503  0.170 0.326  0.112 0.153  0.078 -0.025  0.078 -0.208  0.078 -0.391  0.129 -0.553  0.226 -0.706  0.334 -0.851  0.493 -0.940  0.578 -1.056  0.723 -1.148
1c#app#app07#app0755/t  0.426 1.940  0.304 1.818  0.225 1.678  0.131 1.545  0.080 1.393  0.025 1.244  -0.076 1.113  -0.076 0.940  -0.176 0.809  -0.176 0.637  -0.253 0.482  -0.330 0.328  -0.393 0.169  -0.435 0.001  -0.477 -0.166  -0.509 -0.331  -0.577 -0.487  -0.577 -0.660  -0.577 -0.832  -0.551 -0.994  -0.409 -1.068  -0.337 -1.168  -0.197 -1.248  -0.033 -1.269  0.139 -1.269  0.312 -1.269  0.484 -1.269  0.657 -1.269  0.659 -1.191  0.546 -1.061  0.433 -0.930  0.320 -0.800  0.207 -0.670  0.094 -0.539  -0.019 -0.409  -0.132 -0.279  -0.245 -0.148  -0.357 -0.018  -0.470 0.112  -0.567 0.235  -0.395 0.235  -0.239 0.304  -0.084 0.381  0.061 0.472  0.206 0.536  0.379 0.536  0.515 0.625  0.682 0.636  0.855 0.636  0.927 0.536
1c#app#app07#app0755/h  0.367 1.918  0.320 1.824  0.273 1.730  0.226 1.637  0.180 1.543  0.176 1.439  0.176 1.334  0.162 1.235  0.087 1.161  0.013 1.087  -0.014 0.994  -0.014 0.889  -0.041 0.789  -0.074 0.690  -0.107 0.590  -0.153 0.496  -0.200 0.402  -0.247 0.309  -0.294 0.215  -0.340 0.121  -0.387 0.028  -0.417 -0.073  -0.442 -0.174  -0.467 -0.276  -0.491 -0.378  -0.491 -0.482  -0.491 -0.587  -0.491 -0.692  -0.491 -0.797  -0.436 -0.847  -0.350 -0.802  -0.276 -0.728  -0.202 -0.654  -0.128 -0.579  -0.054 -0.505  -0.014 -0.417  0.044 -0.370  0.129 -0.418  0.176 -0.503  0.176 -0.608  0.216 -0.696  0.272 -0.778  0.297 -0.872  0.369 -0.947  0.416 -1.041  0.464 -1.134  0.538 -1.208  0.634 -1.228  0.653 -1.314  0.748 -1.324
1c#app#app07#app0755/r  -0.685 -1.628  -0.625 -1.567  -0.564 -1.506  -0.537 -1.432  -0.537 -1.346  -0.537 -1.260  -0.537 -1.174  -0.537 -1.088  -0.537 -1.002  -0.537 -0.916  -0.537 -0.830  -0.537 -0.744  -0.537 -0.658  -0.537 -0.572  -0.537 -0.486  -0.510 -0.411  -0.449 -0.350  -0.388 -0.289  -0.388 -0.203  -0.388 -0.117  -0.388 -0.031  -0.356 0.041  -0.295 0.102  -0.239 0.165  -0.239 0.251  -0.239 0.337  -0.239 0.423  -0.201 0.494  -0.140 0.554  -0.080 0.615  -0.019 0.676  0.042 0.737  0.103 0.798  0.164 0.858  0.232 0.902  0.318 0.902  0.404 0.902  0.490 0.902  0.576 0.902  0.659 0.897  0.720 0.836  0.781 0.775  0.842 0.715  0.903 0.654  0.968 0.605  1.054 0.605  1.101 0.565  1.101 0.479  1.163 0.456  1.249 0.456
1c#app#app07#app0755/o  0.325 0.925  0.169 0.925  0.053 0.825  -0.073 0.752  -0.230 0.752  -0.365 0.730  -0.371 0.579  -0.528 0.579  -0.641 0.476  -0.770 0.407  -0.883 0.363  -0.883 0.207  -0.883 0.050  -0.883 -0.107  -0.883 -0.264  -0.883 -0.420  -0.883 -0.577  -0.883 -0.734  -0.794 -0.802  -0.710 -0.875  -0.654 -0.975  -0.538 -1.015  -0.513 -1.147  -0.356 -1.147  -0.199 -1.147  -0.043 -1.147  0.075 -1.052  0.199 -0.975  0.347 -0.953  0.458 -0.842  0.598 -0.802  0.671 -0.718  0.739 -0.629  0.843 -0.577  0.843 -0.420  0.843 -0.264  0.843 -0.107  0.843 0.050  0.843 0.207  0.843 0.363  0.763 0.487  0.652 0.598  0.541 0.709  0.498 0.847  0.498 1.004  0.434 1.097  0.325 1.145  0.294 1.270  0.153 1.254  0.153 1.097
1c#app#app07#app0755/u  -0.625 0.904  -0.466 0.904  -0.455 0.756  -0.318 0.734  -0.374 0.645  -0.486 0.533  -0.599 0.420  -0.711 0.308  -0.824 0.195  -0.936 0.083  -1.049 -0.030  -1.136 -0.153  -1.154 -0.305  -1.266 -0.417  -1.306 -0.560  -1.215 -0.628  -1.056 -0.628  -0.897 -0.628  -0.796 -0.570  -0.749 -0.458  -0.600 -0.433  -0.488 -0.320  -0.342 -0.287  -0.213 -0.215  -0.100 -0.103  0.012 0.010  0.056 0.151  0.142 0.223  0.226 0.299  0.226 0.458  0.263 0.601  0.376 0.714  0.265 0.734  0.226 0.615  0.226 0.455  0.295 0.325  0.396 0.208  0.399 0.050  0.512 -0.063  0.624 -0.175  0.737 -0.288  0.849 -0.400  0.985 -0.458  1.144 -0.458  1.303 -0.458  1.462 -0.458  1.621 -0.458  1.780 -0.458  1.940 -0.458  2.099 -0.458
